accession	description	hits
Q8VHL1	Histone-lysine N-methyltransferase SETD7 OS=Mus musculus OX=10090 GN=Setd7 PE=1 SV=2	
Q99J25	rRNA methyltransferase 1, mitochondrial OS=Mus musculus OX=10090 GN=Mrm1 PE=2 SV=2	
Q7TS68	tRNA (cytosine(72)-C(5))-methyltransferase NSUN6 OS=Mus musculus OX=10090 GN=Nsun6 PE=2 SV=2	
Q8R5A0	N-lysine methyltransferase SMYD2 OS=Mus musculus OX=10090 GN=Smyd2 PE=1 SV=1	
Q9DCG9	Multifunctional methyltransferase subunit TRM112-like protein OS=Mus musculus OX=10090 GN=Trmt112 PE=1 SV=1	
Q8BWQ4	Cap-specific mRNA (nucleoside-2'-O-)-methyltransferase 2 OS=Mus musculus OX=10090 GN=Cmtr2 PE=2 SV=1	
Q5ND52	rRNA methyltransferase 3, mitochondrial OS=Mus musculus OX=10090 GN=Mrm3 PE=2 SV=1	
Q9CY21	Probable 18S rRNA (guanine-N(7))-methyltransferase OS=Mus musculus OX=10090 GN=Bud23 PE=1 SV=1	
Q6P2L6	Histone-lysine N-methyltransferase NSD3 OS=Mus musculus OX=10090 GN=Nsd3 PE=1 SV=2	
Q9DCL4	12S rRNA N4-methylcytidine methyltransferase OS=Mus musculus OX=10090 GN=Mettl15 PE=1 SV=2	
Q9CWH5	tRNA (guanine(10)-N2)-methyltransferase homolog OS=Mus musculus OX=10090 GN=Trmt11 PE=1 SV=1	
E9PYH6	Histone-lysine N-methyltransferase SETD1A OS=Mus musculus OX=10090 GN=Setd1a PE=1 SV=1	
P59913	Protein-L-isoaspartate O-methyltransferase domain-containing protein 1 OS=Mus musculus OX=10090 GN=Pcmtd1 PE=1 SV=1	
Q3UZW7	Protein-lysine N-methyltransferase EEF2KMT OS=Mus musculus OX=10090 GN=Eef2kmt PE=1 SV=1	
Q6SKR2	Methyltransferase N6AMT1 OS=Mus musculus OX=10090 GN=N6amt1 PE=1 SV=1	
Q8BMS4	Ubiquinone biosynthesis O-methyltransferase, mitochondrial OS=Mus musculus OX=10090 GN=Coq3 PE=1 SV=1	
O88974	Histone-lysine N-methyltransferase SETDB1 OS=Mus musculus OX=10090 GN=Setdb1 PE=1 SV=1	
Q99MY8	Histone-lysine N-methyltransferase ASH1L OS=Mus musculus OX=10090 GN=Ash1l PE=1 SV=3	
Q3UIK4	N6-adenosine-methyltransferase non-catalytic subunit OS=Mus musculus OX=10090 GN=Mettl14 PE=1 SV=1	
P55200	Histone-lysine N-methyltransferase 2A OS=Mus musculus OX=10090 GN=Kmt2a PE=1 SV=3	
Q6NZB1	Protein arginine N-methyltransferase 6 OS=Mus musculus OX=10090 GN=Prmt6 PE=1 SV=2	
Q5XJV7	Histone-lysine N-methyltransferase SETD5 OS=Mus musculus OX=10090 GN=Setd5 PE=1 SV=2	
Q8BHD8	Protein-L-isoaspartate O-methyltransferase domain-containing protein 2 OS=Mus musculus OX=10090 GN=Pcmtd2 PE=2 SV=1	
Q14AW5	Putative methyltransferase NSUN7 OS=Mus musculus OX=10090 GN=Nsun7 PE=2 SV=2	
Q9CZ57	5-methylcytosine rRNA methyltransferase NSUN4 OS=Mus musculus OX=10090 GN=Nsun4 PE=1 SV=1	
Q6Q783	Histone-lysine N-methyltransferase KMT5C OS=Mus musculus OX=10090 GN=Kmt5c PE=1 SV=1	
O54864	Histone-lysine N-methyltransferase SUV39H1 OS=Mus musculus OX=10090 GN=Suv39h1 PE=1 SV=1	
Q9EQK7	Protein-S-isoprenylcysteine O-methyltransferase OS=Mus musculus OX=10090 GN=Icmt PE=2 SV=2	
Q9D853	EEF1A lysine methyltransferase 2 OS=Mus musculus OX=10090 GN=Eef1akmt2 PE=1 SV=1	
Q9CPY0	rRNA methyltransferase 2, mitochondrial OS=Mus musculus OX=10090 GN=Mrm2 PE=1 SV=1	
Q91VF2	Histamine N-methyltransferase OS=Mus musculus OX=10090 GN=Hnmt PE=1 SV=1	
Q9CQL0	Protein N-lysine methyltransferase METTL21A OS=Mus musculus OX=10090 GN=Mettl21A PE=2 SV=1	
Q3UHX9	Putative methyltransferase C9orf114 homolog OS=Mus musculus OX=10090 GN=Spout1 PE=1 SV=1	
Q8CFT2	Histone-lysine N-methyltransferase SETD1B OS=Mus musculus OX=10090 GN=Setd1b PE=1 SV=2	
Q8CCT7	tRNA (cytosine(34)-C(5))-methyltransferase, mitochondrial OS=Mus musculus OX=10090 GN=Nsun3 PE=2 SV=1	
Q8C436	Protein N-lysine methyltransferase METTL21D OS=Mus musculus OX=10090 GN=Vcpkmt PE=1 SV=2	
O55239	Nicotinamide N-methyltransferase OS=Mus musculus OX=10090 GN=Nnmt PE=1 SV=1	
P40936	Indolethylamine N-methyltransferase OS=Mus musculus OX=10090 GN=Inmt PE=1 SV=1	
Q9EPL4	Protein-L-histidine N-pros-methyltransferase OS=Mus musculus OX=10090 GN=Mettl9 PE=1 SV=1	
Q8BMK1	tRNA N(3)-methylcytidine methyltransferase METTL2 OS=Mus musculus OX=10090 GN=Mettl2 PE=1 SV=2	
P97443	Histone-lysine N-methyltransferase Smyd1 OS=Mus musculus OX=10090 GN=Smyd1 PE=1 SV=3	
