gene	weight
FUS	-0.024
FXYD3	0.132
FXYD5	-0.13
FZD5	0.054
GADD45B	-0.002
GBP2	0.0
GBP4	0.007
GCH1	0.0
GDF15	0.002
GLUL	-0.119
GMPR	-0.015
GNAS	-0.01
GNG5	0.003
GPRC5A	0.174
GRHL2	0.009
GUK1	-0.013
H2AFZ	-0.05
HCLS1	-0.003
HELZ2	0.0
HERPUD1	-0.005
HEXIM1	0.002
HIF1A	-0.022
HLA-A	-0.044
HLA-B	-0.095
HLA-C	-0.08
HLA-DMA	-0.001
HLA-DPA1	-0.011
HLA-DPB1	-0.01
HLA-DQA1	-0.008
HLA-DQB1	-0.007
HLA-DRA	-0.006
HLA-DRB1	-0.004
HLA-DRB5	0.0
HLA-E	-0.047
HLA-F	-0.002
HMGN1	-0.007
HMGN2	-0.004
HMGN3	0.009
HNRNPA3	0.023
HNRNPC	-0.022
HNRNPH1	-0.064
HNRNPK	-0.041
HNRNPU	0.02
HOPX	0.138
HPGD	-0.029
HSBP1	0.019
HSP90B1	-0.055
HSPA1A	-0.087
HSPA1B	-0.017
HSPA4	-0.006
HSPA5	-0.009
HSPB1	0.034
HSPD1	-0.078
HSPE1	-0.099
HSPH1	-0.11
ICAM1	0.022
ID1	0.036
ID2	-0.1
IDS	-0.115
IER2	-0.002
IER3	-0.003
IFI27	0.014
IFI30	0.0
IFI35	0.001
IFI44	0.0
IFI44L	0.0
IFIH1	0.0
IFIT1	0.003
IFIT3	0.0
IFITM1	-0.001
IFITM2	-0.03
IFITM3	0.007
IFNAR2	0.005
IGHA1	0.0
IGKC	0.0
IGLC2	0.0
IKBKB	0.003
IL4R	-0.029
IL6	0.0
INTS6	0.003
IRF1	-0.006
IRF2	0.023
IRF4	0.0
IRF7	0.0
IRF8	-0.002
IRF9	0.005
ISG15	-0.005
ISG20	-0.016
ISOC1	0.0
ITGB1	0.064
JAK2	0.005
JUN	0.021
JUNB	-0.08
KDM6B	-0.157
KLF2	-0.055
KLF4	0.001
KLF6	-0.088
KRT10	-0.004
KRT18	0.098
KRT19	0.048
KRT7	0.144
KRT8	0.086
KTN1	0.066
LAMP3	0.039
LAMTOR4	-0.001
LAP3	-0.004
LAPTM4A	-0.137
LATS2	0.02
LCP2	-0.049
LDHA	-0.021
LDHB	-0.031
LGALS1	-0.049
LGALS3	-0.01
LGALS3BP	0.059
LLGL2	0.056
LMNA	-0.195
LMO7	0.165
LPCAT1	0.086
LRRFIP1	0.006
LSR	0.025
LY6E	0.035
LYSMD2	-0.001
LYZ	0.0
MAGI1	0.068
MAP1LC3B	-0.019
MAP2K7	0.001
MAP3K1	0.0
MAP3K5	0.003
MAPK10	0.025
MAPK8	0.011
MAPK9	0.003
MARVELD2	0.006
MARVELD3	0.021
MBNL1	0.044
MCL1	-0.09
MGP	0.0
MGST1	0.094
MGST3	0.013
MICALL2	0.012
MIF	0.003
MORF4L1	-0.031
MOV10	0.0
MPDZ	0.016
MPP7	0.004
MRPL14	0.053
MSN	0.006
MT-ND4L	0.057
MT-ND5	0.067
MT1E	0.009
MT1X	-0.003
MT2A	0.0
MTHFD2	0.002
MTRNR2L12	0.038
MUC1	0.114
MVB12A	0.001
MVP	0.04
MX1	0.0
MX2	0.01
MYD88	0.0
MYH10	0.005
MYH14	0.052
MYH9	0.017
MYL12A	-0.006
MYL12B	-0.001
MYL6	0.001
MYL6B	0.001
MYL9	0.06
MYO1C	0.096
MZT2B	-0.004
N4BP2L2	0.073
NAMPT	-0.004
NAP1L1	-0.05
NAPSA	0.116
NCL	-0.051
NCOA3	-0.001
NCOA7	0.006
NDUFA1	-0.005
NDUFB1	0.002
NDUFB10	0.013
NDUFB11	0.004
NDUFB2	0.004
NDUFB4	-0.005
NDUFB7	0.013
NDUFS5	-0.011
NDUFS6	0.009
NEAT1	0.016
NEDD4L	0.14
NEDD8	0.0
NF2	0.0
NFE2L2	-0.054
NFKB1	-0.138
NFKBIA	-0.154
NFKBIZ	-0.034
NKX2-1	0.119
NMI	0.0
NOD1	0.011
NOP53	-0.027
NPC2	0.076
NPHP1	0.014
NR4A1	-0.042
NR4A2	-0.119
NUB1	0.034
NUCKS1	0.001
NUP93	0.002
NUPR1	0.064
OAS1	0.0
OAS2	0.001
OCEL1	0.0
OCLN	0.071
OGFR	0.004
OST4	-0.022
P4HB	0.029
PABPC1	-0.012
PAK2	-0.02
PARD3	0.005
PARD6B	0.063
PARK7	-0.002
PARP12	0.007
PARP14	0.058
PARP9	0.026
PATJ	0.085
PCBP1	0.005
PCBP2	0.002
PCNA	0.0
PDCD6IP	0.047
PDE4B	-0.02
PDIA3	0.015
PEBP1	-0.006
PECAM1	0.002
PELI1	0.0
PFKP	0.0
PGC	0.05
PHLDA2	-0.003
PHPT1	0.006
PIGR	0.072
PIM1	0.003
PKM	0.007
PLCG2	0.02
PLEC	0.041
PLSCR1	-0.001
PML	0.002
PNP	-0.036
PNPT1	0.0
PNRC1	-0.049
POLR2L	0.045
POMP	-0.032
PPA1	0.043
PPDPF	0.018
PPIB	0.0
PPP1CB	-0.04
PPP1R15A	-0.134
PPP2CA	0.0
PPP2CB	0.019
PPP2R1A	0.005
PPP2R1B	0.028
PPP2R2A	0.019
PPP2R2D	-0.001
PRDX5	0.064
PRDX6	-0.006
PRKAA1	0.012
PRKAB1	0.004
PRKAB2	0.002
PRKACA	0.0
PRKACB	-0.002
PRKAG1	0.001
PRKAG2	-0.002
PRKAR1A	0.018
PRKCE	0.022
PRKCH	0.0
PRKCI	0.05
PRKCZ	0.092
PSAP	0.008
PSMA2	-0.005
PSMA3	-0.006
PSMA7	-0.018
PSMB1	-0.012
PSMB10	0.006
PSMB2	0.0
PSMB8	-0.012
PSMB9	-0.01
PSME1	0.002
PSME2	0.001
PTGES3	-0.025
PTGS2	-0.043
PTMS	0.023
PTP4A2	0.002
PTPN1	0.013
PTPN2	-0.001
PTPN6	-0.003
RAB11FIP1	0.138
RAB13	0.001
RAB8A	0.0
RAB8B	-0.045
RABAC1	0.004
RAC1	-0.006
RAMP2	0.0
RAN	-0.036
RAP1A	-0.001
RAP2C	0.002
RAPGEF2	0.014
RAPGEF6	0.007
RBCK1	0.024
RBM3	-0.025
RBM39	-0.13
RBM8A	-0.061
RBX1	0.003
RDX	0.105
REL	-0.164
RGCC	-0.008
RHOA	-0.01
RHOB	0.019
RIPK1	0.0
RIPK2	-0.002
RNASE1	0.121
RNF145	0.017
RNF213	0.038
ROCK1	0.017
ROCK2	0.018
ROMO1	0.002
RPL31	-0.018
RPL4	-0.037
RPS10	-0.045
RPS20	-0.049
RPS27L	-0.006
RRAD	0.004
RSAD2	0.003
RSRP1	0.032
RTN4	0.013
RUNX1	0.011
S100A13	0.047
S100A14	0.073
S100A4	-0.124
S100A9	0.002
SAMD9	0.01
SAMD9L	-0.001
SAMHD1	0.006
SAP18	-0.028
SARAF	-0.118
SBDS	-0.028
SCGB1A1	0.001
SCGB3A1	0.018
SCGB3A2	0.02
SCRIB	0.001
SDC4	0.094
SDCBP	-0.138
SEC11A	-0.03
SEC61B	-0.017
SEC61G	0.012
SECTM1	0.011
SELENOK	-0.189
SELENOP	0.028
SELENOW	0.034
SEM1	-0.005
SERP1	-0.016
SERPINA1	0.04
SERPING1	0.003
SERTAD1	-0.006
SET	-0.011
SFPQ	-0.053
SFTA2	0.159
SFTA3	0.133
SFTPA1	0.081
SFTPA2	0.079
SFTPB	0.155
SFTPC	0.069
SFTPD	0.098
SGK1	-0.121
SH3BGRL3	-0.168
SLC25A28	0.007
SLC25A3	-0.055
SLC25A5	-0.005
SLC25A6	-0.002
SLC34A2	0.129
SLC38A2	0.009
SLC39A9	0.009
SLC9A3R1	0.0
SLPI	0.067
SNAI1	0.0
SNHG8	-0.02
SNRPG	-0.015
SNU13	-0.037
SOCS1	-0.066
SOCS3	0.001
SOD1	-0.016
SOD2	0.0
SON	0.069
SOX4	0.028
SP110	-0.001
SPCS2	-0.001
SPINT2	0.096
SPPL2A	0.014
SPTBN1	0.112
SQSTM1	-0.1
SRC	0.012
SRF	0.001
SRGN	-0.232
SRI	0.003
SRRM2	0.063
SRSF2	-0.066
SRSF3	-0.018
SRSF5	-0.082
SRSF7	-0.122
SRSF9	-0.013
SSR2	0.006
ST3GAL5	0.07
ST8SIA4	0.0
STAT1	0.001
STAT2	0.015
STAT3	0.029
STK11	0.0
STRN	0.003
SUB1	-0.066
SYMPK	0.002
SYNPO	0.033
TACSTD2	0.155
TAGLN2	-0.016
TAP1	0.0
TAP2	0.0
TAPBP	0.029
TAPBPL	0.001
TBCA	-0.005
TBCD	0.0
TCIM	0.035
TENT5A	0.0
TGFBR1	0.004
TIMP1	0.0
TJAP1	0.0
TJP1	0.071
TJP3	0.018
TM4SF1	0.013
TMEM258	0.0
TMEM59	0.045
TNF	-0.001
TNFAIP2	0.0
TNFAIP3	-0.142
TNFSF10	0.001
TOB1	0.005
TOMM20	-0.008
TPI1	-0.018
TPM3	-0.012
TPM4	0.013
TPSAB1	-0.179
TPSB2	-0.158
TRA2B	-0.024
TRAFD1	0.002
TRAM1	0.063
TRIM14	0.0
TRIM25	0.024
TRIM26	0.002
TRIM5	0.008
TRMT112	-0.009
TSC22D1	0.0
TSC22D3	-0.091
TSPO	-0.002
TSTD1	0.029
TUBA1A	-0.095
TUBA1B	-0.022
TUBA1C	0.0
TUBA4A	-0.001
TUBB4B	-0.023
TXN	0.005
TXNIP	0.014
TYROBP	-0.086
UBA7	-0.013
UBE2B	-0.004
UBE2D3	-0.023
UBE2L6	0.0
UBE2S	-0.078
UBL5	-0.001
UPP1	-0.001
UQCR10	0.03
UQCR11	-0.002
UQCRB	-0.019
UQCRH	-0.05
UQCRQ	0.032
USP18	0.0
VAMP5	-0.009
VAMP8	0.043
VAPA	-0.002
VASP	-0.009
VEGFA	0.106
VIM	-0.232
VMP1	0.003
WAS	-0.005
WFDC2	0.064
WHAMM	-0.005
WSB1	0.061
XAF1	0.022
XBP1	0.009
XIST	0.071
YBX3	0.018
YWHAB	-0.005
YWHAE	0.009
YWHAZ	-0.085
ZEB1	-0.004
ZFAND5	0.001
ZFAS1	-0.01
ZFP36	-0.074
ZFP36L1	0.029
ZFP36L2	-0.076
ZNFX1	0.002
