gene	k_cohorts	meta_Z	meta_p	k_edge	mean_edge	in_IFN	in_MHC	in_TJ	in_family	obs_logFC_high_minus_low	obs_p
ATF3	4	0.47179401224431167	0.6370738252550976	4	0.05525000000000001	False	False	False	False	0.6899611470350868	0.2510586847957596
ATF4	2	-0.038606411148847074	0.969204190747505	2	0.014499999999999999	False	False	False	False	0.12504266545161286	0.6304621439329459
ATP1A1	4	0.8159778352634834	0.41451281275020313	4	0.0655	False	False	False	False	0.5130254738890357	0.2933117296745889
ATP1B1	4	1.3847655863679966	0.16612415696483918	4	0.10350000000000001	False	False	False	False	1.4582450333750796	0.0034156805219196728
ATP5C1	2	0.2572097095510072	0.7970168889676507	2	-0.0029999999999999996	False	False	False	False	0.08375768137267106	0.797026484927413
ATP5IF1	2	-0.7878551983893132	0.43078140950049626	2	0.002	False	False	False	False	-0.2055027965085858	0.2879169953861828
ATP6V0B	3	-0.03315464541016843	0.973551265939662	3	-0.011999999999999999	False	False	False	False	0.17228834484351638	0.600307871166496
AUTS2	4	-0.5104719904922509	0.6097208327302106	4	0.008	True	False	False	True	2.173643117050414	0.0030112020491790165
B2M	4	3.127420050395115	0.0017634777531381864	4	-0.0565	True	True	False	True	-0.8591721322412396	0.034457762370076125
BANK1	4	-2.2530790900181596	0.024254162629766596	4	-0.0015	True	False	False	True	0.34867238883929036	0.5031915063708454
BATF2	2	-0.9485988029018304	0.3428247000867669	2	0.006	True	False	False	True	-0.5995026927393482	0.1581282571664809
BCAP31	3	-0.3892734284955541	0.6970738902080971	3	0.026333333333333334	False	False	False	False	0.4246825315140718	0.2273732118461478
BEX3	2	0.8460181730493388	0.3975426063537342	2	-0.07250000000000001	False	False	False	False	0.8590404134395966	0.10609793712301173
BIRC3	2	-0.49281339888247494	0.6221444424176661	2	-0.012	False	False	False	False	-1.7494202307948272	0.013441682651958746
BLVRB	2	0.7453209834823932	0.45607769891683114	2	0.006	False	False	False	False	-0.4474584352198811	0.3546944687175759
BNIP3	3	1.044179543064613	0.29640232973348024	3	0.006333333333333334	False	False	False	False	-0.37403217596547944	0.4961773940644893
BPGM	4	-3.1171662835132468	0.001825985473876944	4	-0.00275	True	False	False	True	-0.12378515387847865	0.7664207730432305
BRD2	2	0.00445116123187577	0.9964484989029976	2	-0.007000000000000001	False	False	False	False	0.3807524813428248	0.3054384182187178
BRI3	4	-0.48090797596663054	0.6305819038101751	4	-0.00625	False	False	False	False	0.07842891458529	0.847971243047464
BSG	3	-0.14890698271413885	0.8816270312387331	3	-0.004666666666666668	False	False	False	False	-0.2573332882710734	0.41015479803132515
BST2	4	2.0931427194339842	0.03633641622638228	4	-0.04975000000000001	True	False	False	True	-1.6666530481626542	0.027027120741267247
BTG1	4	1.6574869576668667	0.09742106357209201	4	-0.039	True	False	False	True	-0.07498644539196979	0.8638977801961759
BTG2	3	0.3135139585913642	0.7538902174402371	3	0.052	False	False	False	False	1.1725577560828953	0.016589621866474873
C12ORF57	3	0.4002227660539572	0.6889924479187205	3	-0.028333333333333332	False	False	False	False	0.06893647018897898	0.8533392646229133
C15ORF48	2	0.5043555810661144	0.6140115260985297	2	0.026	False	False	False	False	-0.9179775546299449	0.2844982018462009
C16ORF89	3	2.4908653053343746	0.012743241980595095	3	0.055333333333333325	False	False	False	False	1.9262007470118367	0.0384953253964622
C19ORF33	2	1.3227508049763816	0.18591826206015405	2	-0.010999999999999998	False	False	False	False	-1.5985961228844658	0.09845030602632739
C1R	4	-0.6357716365866923	0.524925276860476	4	-0.036250000000000004	True	False	False	True	-1.046185196162438	0.141812591062008
C1S	4	-0.01467356956890764	0.9882926055175705	4	-0.0185	True	False	False	True	-1.6841704387498935	0.05296527781224836
C4ORF3	2	0.47566084308489487	0.6343160215784422	2	-0.005	False	False	False	False	-0.667221503873729	0.05540620092501718
C4ORF48	2	-0.034913248789649236	0.9721489160480765	2	-0.015	False	False	False	False	-0.4553067615062704	0.24370085123757212
C8ORF4	2	0.3941713002768224	0.6934545730553052	2	0.086	False	False	False	False	2.1346323643905825	0.02354418820925661
C9ORF16	2	0.06196984579088581	0.9505868454052179	2	-0.0585	False	False	False	False	-0.007919617386839425	0.9778795869345606
CACNA1D	2	-0.23264202313747603	0.8160393927224148	2	0.044	False	False	True	True	0.8229702801314026	0.11080798094707478
CALR	4	0.39433909340489354	0.6933307043834591	4	0.01275	False	True	False	True	0.029209830265831457	0.9339315757849325
CANX	4	-0.04491497655225335	0.9641750793294286	4	0.03925000000000001	False	True	False	True	0.16360773205273085	0.659502457312644
CAPG	2	1.4160233922949657	0.15676865568069775	2	-0.053000000000000005	False	False	False	False	-1.072734045086981	0.07251279202796639
CAPN2	3	0.23182075453418577	0.8166772363361352	3	0.042	False	False	False	False	0.015503948981340212	0.9740994845072287
CARHSP1	2	0.12328608047224593	0.9018805629163424	2	-0.0305	False	False	False	False	-0.2845240234853806	0.5447893615208158
CASP1	4	-1.6789907891589615	0.09315383888869289	4	-0.00225	True	False	False	True	-1.4054805799571306	0.007304507053984565
CASP3	4	-2.776844351547723	0.005488945732288531	4	-0.0032500000000000003	True	False	False	True	0.1416523017217612	0.7052292738400097
CASP4	4	-0.5728012138308345	0.566779297127354	4	0.00625	True	False	False	True	-0.4474327183651442	0.41538861781475356
CASP7	4	-1.960536268467266	0.0499331431576968	4	0.003	True	False	False	True	-0.12968768218125157	0.714964057846342
CASP8	4	-1.8887765455787098	0.058921776829077774	4	0.0	True	False	False	True	-0.0701157176050862	0.8505092865027001
CAST	4	0.40363136467351146	0.6864838178787334	4	0.012750000000000001	False	False	False	False	-0.787345511708782	0.09027321816599493
CAV1	2	1.8529584737175206	0.0638883109037316	2	-0.026499999999999996	False	False	False	False	-1.7530747836974083	0.05898972642835297
CCL2	4	-2.7971784442020624	0.005155105289104279	4	-0.0015	True	False	False	True	-0.519389328915236	0.4404675155216488
CCL5	4	-0.22731990564916277	0.8201749957626305	4	-0.01375	True	False	False	True	-2.458410097368419	0.00013749047582259488
CCND1	4	0.138576974773635	0.889784439199171	4	0.042749999999999996	False	False	True	True	0.24490152240180316	0.7302338572630425
CCNL1	4	0.5146078347089196	0.6068270891737406	4	0.03125	False	False	False	False	0.006836879961750879	0.9844010362022182
CCRL2	2	-2.866833108923147	0.004146015844631377	2	0.0	True	False	False	True	-0.11007678572245748	0.7942204571012952
CCT5	3	1.2966490369461505	0.19475197186923754	3	-0.03933333333333334	False	False	False	False	-0.26087510928666696	0.5320566932254889
CD151	4	0.9362613730003615	0.34913863085820385	4	0.05	False	False	False	False	0.2882541356667419	0.5200968779336846
CD24	3	0.8195013336168067	0.41250044138885944	3	0.11366666666666665	False	False	False	False	1.6746863563529226	0.006183513177005908
CD274	2	-2.0042129549538203	0.045047253412509904	2	0.0025	True	False	False	True	-1.1059445811552155	0.004010544076389859
CD38	3	-1.7067493389460204	0.08786865235762327	3	0.0	True	False	False	True	-1.2286757080662851	0.03316071697780882
CD40	4	-1.771644403221977	0.07645360395238267	4	-0.0022500000000000003	True	False	False	True	-0.8542873401591958	0.1315832137232797
CD44	3	1.5015584837956137	0.13321117205762312	3	-0.04499999999999999	False	False	False	False	-0.8259773936522344	0.2075556085350746
CD46	3	0.4937238041216644	0.6215012515736035	3	0.05933333333333333	False	False	False	False	0.4813246164714188	0.2112780111095253
CD47	4	-0.2748823344252866	0.7834066396220767	4	0.03375	True	False	False	True	0.5239509513863512	0.2081578591649673
CD55	4	0.480899680148673	0.6305878001154415	4	0.07200000000000001	False	False	False	False	-0.02018448916957184	0.9745965831934036
CD59	4	0.964770786129235	0.3346596313869802	4	0.015499999999999998	False	False	False	False	-0.19156495584110048	0.6753740853571354
CD69	4	0.7308701008542824	0.46485850020160324	4	-0.05525	True	False	False	True	-2.214426587149576	0.001958526981318756
CD74	4	2.6035012609953325	0.009227692818339975	4	-0.041249999999999995	True	False	False	True	-1.1990826275328614	0.15485516085877674
CD81	3	0.1325070071730427	0.8945832809752265	3	0.017666666666666667	False	False	False	False	0.38847152047555594	0.41779515941123196
CD9	4	1.162663447818141	0.24496607730429265	4	0.0605	False	False	False	False	-0.38553363296633325	0.5282663308377576
CD99	3	0.5332822804027145	0.5938381918195319	3	0.008000000000000002	False	False	False	False	-0.8172978156901486	0.18963877309095778
CDC42	4	0.29056907540155347	0.7713809142820406	4	-0.01775	False	False	True	True	0.19803494699208068	0.6227233584935697
CDH1	4	0.6917643401453771	0.4890853342260477	4	0.05275	False	False	True	True	0.9648057764247173	0.06267457917943427
CDK4	4	0.9717974476970058	0.331151325868131	4	0.04275	False	False	True	True	0.06980729637161665	0.8609768513569228
CDKN1A	4	-0.23334560430043305	0.8154930487249399	4	-0.0032499999999999994	True	False	False	True	0.06244171474168481	0.8913446404696741
CEACAM6	4	2.0731447407093486	0.03815881127535926	4	0.09725	False	False	False	False	2.9628572794184156	0.0042570844955774016
CEBPB	4	-1.5228475091745535	0.127796860727487	4	-0.0032500000000000003	False	False	False	False	-0.16450922358815875	0.7525341872880769
CEBPD	4	0.34180855586666536	0.7324949703441076	4	0.06225	False	False	False	False	0.4464508702908294	0.45263323915954873
CFB	3	-0.8647296209378778	0.38718720758358316	3	0.018333333333333333	True	False	False	True	-1.6532015862131673	0.01403759824176711
CFH	4	-0.5037718618779601	0.6144217030042882	4	-0.020999999999999998	True	False	False	True	-1.1489859836435443	0.07676450833477387
CGN	4	0.1369155180677851	0.8910975727068123	4	0.037750000000000006	False	False	True	True	0.2101634038394904	0.6837819786802595
CGNL1	4	-1.0157588731062086	0.3097442250107849	4	0.017750000000000002	False	False	True	True	1.2305000945915578	0.01212147773259899
CHCHD10	3	-0.031126813338726456	0.975168406074386	3	-0.007333333333333333	False	False	False	False	-0.32041287187217554	0.24612186894368016
CIB1	3	-0.2217372508234279	0.8245184299016224	3	0.011999999999999999	False	False	False	False	-0.558122432082565	0.2782261423642033
CIITA	3	-3.280458606439639	0.0010363847144230789	3	-0.0006666666666666666	True	False	False	True	-0.39711163448150927	0.37486857780384697
CITED2	3	-0.34575921233655094	0.7295236804853225	3	0.009333333333333332	False	False	False	False	0.1346597896942012	0.7626792404492712
CKB	3	1.062009641159066	0.2882313083717677	3	-0.04733333333333334	False	False	False	False	0.07708136140811044	0.9084547845722802
CKS1B	2	1.7067994247825287	0.08785933939261754	2	-0.0775	False	False	False	False	0.2767537392847588	0.4806513425480298
CKS2	3	1.3194714059270911	0.18701156342496383	3	-0.04633333333333334	False	False	False	False	0.1304415488016381	0.7572002980239019
CLDN1	4	-0.6547374492705658	0.5126368094539758	4	0.007000000000000001	False	False	True	True	0.23127781284271642	0.7761908021276738
CLDN10	3	-1.8063978781321999	0.07085621278837216	3	0.001	False	False	True	True	-0.6880804503292398	0.41774815466785403
CLDN12	4	-1.732000789319022	0.08327342190384192	4	0.006750000000000001	False	False	True	True	0.49053768494189154	0.1933098413257302
CLDN15	3	-1.5304334103403854	0.12590948434767382	3	-0.0006666666666666666	False	False	True	True	0.6297656383341934	0.03320727690882472
CLDN18	2	0.2597260167237609	0.7950751227077055	2	0.07650000000000001	False	False	True	True	0.7755464316195092	0.13907417739089015
CLDN23	4	-1.160145004633931	0.24598977347855933	4	0.010499999999999999	False	False	True	True	0.10986244720647569	0.8065996481678039
CLDN3	4	1.171743310619742	0.24130012877084372	4	0.10025	False	False	True	True	1.8248774057821493	0.003557378366022855
CLDN6	2	-1.061108243059593	0.2886407121736686	2	0.005	False	False	True	True	-0.18773015715607652	0.790828195629881
CLDN7	4	1.5579951118085322	0.11923440688567073	4	0.08875000000000001	False	False	True	True	0.09470147846945168	0.8429705279729889
CLDN9	2	-0.2797749866916439	0.7796501433671328	2	0.017	False	False	True	True	0.7517106470704625	0.22151248699253165
CLU	2	-0.644941744462651	0.5189649382996107	2	-0.006999999999999999	False	False	False	False	-0.8579580224909166	0.31257094602453306
CMPK2	3	-2.4611574713622386	0.013848956648382515	3	0.0003333333333333333	True	False	False	True	-0.42106694994051297	0.36379389186194
CMTR1	4	-3.4961075257915977	0.0004720984195211187	4	-0.0025	True	False	False	True	-0.07502537283288321	0.8368405741522036
CNIH4	2	0.6365498478450813	0.5244181017066287	2	-0.012000000000000002	False	False	False	False	0.3527180495501767	0.38773010858737395
CNP	4	-1.1795415984778834	0.23818258253539093	4	0.0085	True	False	False	True	0.061972985021959415	0.8515763982005915
COL1A1	2	0.8435403288369691	0.3989263207787901	2	-0.055	False	False	False	False	-0.021559366503342715	0.9828374244991358
COMT	2	-0.14700912767349159	0.8831248157592932	2	-0.0075	False	False	False	False	0.2523508529721082	0.554442307513068
COTL1	2	1.703056818109674	0.0885574359513909	2	0.0435	False	False	False	False	-0.5985732636954177	0.4680325866119407
CPM	2	1.0710664395830793	0.284139556927857	2	0.086	False	False	False	False	0.8596700722281099	0.23901744985302428
CRABP2	2	1.124690324917381	0.2607202829682672	2	0.006999999999999999	False	False	False	False	0.9728466968394979	0.27898484927045336
CRB3	4	0.41567562394027086	0.6776473806968849	4	0.031	False	False	True	True	0.8736124085806073	0.10760246259614317
CRIP1	4	-0.949820652471055	0.3422033901082321	4	-0.00575	False	False	False	False	-0.8247844011638152	0.2062898520965966
CRIP2	3	-1.0207619374536618	0.3073672417326123	3	0.005333333333333333	False	False	False	False	1.1173706757778508	0.1112107250896932
CSF1	4	-0.820587654693042	0.4118811819862256	4	-0.018750000000000003	True	False	False	True	0.10376940903966861	0.8431009366957943
CST3	4	-0.819192222660743	0.4126767514873968	4	0.0325	False	False	False	False	0.32507168063790043	0.518191139648275
CSTB	3	-0.13784776896299877	0.8903607305251101	3	0.0023333333333333344	False	False	False	False	-0.7809023376943205	0.13893374303598868
CTNNB1	2	-0.8941204562267243	0.37125744544375516	2	0.0135	False	False	False	False	0.1521958624370033	0.6984823158353278
CTSB	3	-0.41320943975610264	0.6794531725994557	3	0.00033333333333333365	False	False	False	False	-0.8658210585829264	0.0870374562771952
CTSD	4	0.1805320223797644	0.8567349171486298	4	0.016	False	False	False	False	-0.28058438562485133	0.5370342273699983
CTSH	3	2.2752455051602962	0.022891206479494705	3	0.07533333333333334	False	False	False	False	0.6001002045180026	0.33361068347478284
CTSZ	2	-1.1059917764796359	0.26873007878006916	2	-0.0065	False	False	False	False	-0.009058185985790914	0.9851639443675831
CTTN	4	-0.7699760322686299	0.4413141102233178	4	0.02125	False	False	True	True	-0.04163037452752836	0.9061539269870094
CUTA	2	0.07246360010312657	0.9422329721963536	2	-0.034	False	False	False	False	0.2700477033204485	0.35929004551981
CXCL17	3	2.3317945355608485	0.019711502646437236	3	0.14866666666666667	False	False	False	False	2.50460885804689	0.034882704264940625
CXCL2	3	0.2724696139531614	0.785260952277088	3	0.028666666666666663	False	False	False	False	0.4373140967607118	0.6119591213622795
CXCL8	2	-1.6143432719788602	0.10645298902158794	2	0.011	False	False	False	False	0.2536060455379406	0.7070448328169
CYB5A	4	1.1633643854153934	0.24468169290747543	4	0.043000000000000003	False	False	False	False	1.0885391472546073	0.04661391304247928
CYBA	4	1.1008450501746179	0.27096410097047163	4	-0.0135	False	False	False	False	-0.8558152749975959	0.038323011341321225
CYCS	2	0.5142351740012252	0.607087578601476	2	-0.0495	False	False	False	False	-0.21637023369039984	0.49928830207294955
CYSTM1	4	0.18667440489334197	0.8519159252491291	4	0.02325	False	False	False	False	-0.255879399115205	0.5943860815613473
DAD1	3	0.16198506020857006	0.871317618717484	3	-0.013666666666666667	False	False	False	False	-0.2334045770195002	0.4969405131322498
DBI	2	-0.28402785788789275	0.7763890319000172	2	0.012	False	False	False	False	0.13987487222917008	0.7364072256353797
DCXR	2	-1.3505429838867384	0.17684187557904374	2	0.002	False	False	False	False	0.7397697813333612	0.019677583547098136
DDIT4	2	-0.0768623383796414	0.9387330584978457	2	-0.0275	False	False	False	False	-1.0241660379926538	0.014034305062961
DDT	3	0.23853105934813829	0.811469228559491	3	-0.019666666666666666	False	False	False	False	0.05323784432555565	0.8761604048070757
DDX58	4	-2.734293803475614	0.006251423597363083	4	0.00175	True	False	False	True	-0.42799142747142516	0.3126566309862281
DDX60	4	-0.8977947949598747	0.36929496013850205	4	0.00025	True	False	False	True	-0.5027887951737626	0.3203522773228195
DEK	2	1.3993999938848858	0.16169306873203415	2	-0.0975	False	False	False	False	0.3272102501672896	0.5050633627774376
DHCR24	2	0.841026452116382	0.4003331156666303	2	0.092	False	False	False	False	0.9328683358435411	0.10542589819201784
DHX58	2	-1.265767741817587	0.20559624731109272	2	0.003	True	False	False	True	-0.4035810087045869	0.2883900930696928
DLG1	4	-0.77613018588854	0.437672122185358	4	0.01225	False	False	True	True	-0.0397816798203161	0.912292694090702
DLG3	4	-2.161129740665324	0.030685318789381	4	0.00475	False	False	True	True	1.0459234409578588	0.01511600037855498
DNAJA1	3	1.7489309451498924	0.08030295673022644	3	-0.06766666666666667	False	False	False	False	0.03699961261317961	0.9265181379427679
DNAJB1	4	-0.106836671544908	0.914918554270101	4	-0.0042499999999999994	False	False	False	False	-0.04577558551034954	0.9119900820015185
DNAJB6	2	1.4636262070377062	0.1432961079492974	2	-0.0465	False	False	False	False	-0.17494879477466255	0.617800342939542
DNAJC15	2	0.22953521251020964	0.8184529554599825	2	-0.0075	False	False	False	False	-0.8825862070768492	0.23001564611190392
DNPH1	2	0.4886504630366767	0.6250891801050955	2	-0.034	False	False	False	False	-0.4035727119133666	0.35688570236178246
DSTN	2	1.181908977382427	0.23724181947599332	2	0.1955	False	False	False	False	0.3378393058393173	0.4236586738895494
DUSP1	4	0.5775065193868616	0.5635973358560962	4	0.028000000000000004	False	False	False	False	-0.07406701467620339	0.87910872589093
DUSP23	2	-0.910568625899799	0.36252270767225225	2	-0.0025	False	False	False	False	0.29424811445926546	0.49302508361566966
DUSP6	2	0.028606151993913774	0.9771787055121136	2	-0.023	False	False	False	False	0.6066154534293495	0.2696752636974154
DYNLT1	3	-0.3346417309887337	0.7378953613012964	3	0.03666666666666667	False	False	False	False	0.20495197925338282	0.6210314962910897
ECH1	2	1.7073422448105748	0.08775845844569036	2	-0.007000000000000003	False	False	False	False	0.07947751662808368	0.8680604621470911
ECT2	3	-0.980377284494229	0.3268999182970337	3	-0.012333333333333333	False	False	True	True	0.03735083523883828	0.9349460532725559
EGR1	4	0.45344101661881253	0.6502312069209366	4	0.04825	False	False	False	False	0.15604219113154436	0.7808323022074324
EID1	2	0.31868701621601725	0.7499638612601618	2	-0.0225	False	False	False	False	0.29185895203568474	0.5070313743096798
EIF2AK2	4	-1.608299039137586	0.10776970101124725	4	0.0045	True	False	False	True	-0.09944458480064666	0.7924126594495855
EIF3E	2	1.041435716376593	0.2976733733979151	2	-0.0615	False	False	False	False	-0.038683274172641925	0.9034847061289745
EIF4A2	2	-0.037483201554297636	0.9700997339520429	2	0.0045000000000000005	False	False	False	False	-0.23869368300700355	0.491345331282822
EIF4E3	4	-2.4912258581649263	0.0127303165966657	4	0.0015	True	False	False	True	0.2340509913266095	0.6236224582211296
EIF4EBP1	2	1.6631086924917506	0.09629068021362729	2	-0.0575	False	False	False	False	-0.6649106089832341	0.16752715634379822
EIF5	3	1.2441687604867424	0.21343745857200858	3	-0.015333333333333336	False	False	False	False	0.17111596833932755	0.6170309300806414
EIF5A	3	1.9441472362999417	0.05187769842268297	3	-0.015	False	False	False	False	-0.873774195399311	0.07029984324647895
ELF1	4	0.032662407340963484	0.973943802480935	4	-0.048	True	False	False	True	-0.7209165221272837	0.0698196249317182
ELF3	4	2.2147226000232734	0.026779110649192715	4	0.11524999999999999	False	False	False	False	1.1900264908016949	0.11624559974475487
EMP2	4	-0.06283969767674852	0.9498941541441445	4	0.05425	False	False	False	False	1.1089166613563735	0.09562009175808127
EPB41L4B	4	-1.66809397153717	0.0952970737227155	4	0.0072499999999999995	False	False	True	True	0.6122151900933481	0.17275587498910333
EPCAM	4	1.238352564801109	0.21558536105996728	4	0.14600000000000002	False	False	False	False	0.941499139482546	0.08345270698052411
EPHA2	4	-0.7803759598598815	0.4351696138650356	4	0.023	False	False	True	True	-0.3919476637305427	0.5315310747177204
EPHB2	3	-2.864886297372639	0.004171589994700492	3	-0.004333333333333333	False	False	True	True	0.26228200119790235	0.652330999096435
EPSTI1	4	-1.0725397803942793	0.2834776562776984	4	-0.00825	True	False	False	True	-1.9158080197266678	0.002943935736912786
ERAP1	4	-1.9750824972728924	0.048258786749249154	4	0.003	False	True	False	True	-0.7379341638690774	0.0962680170793535
ERAP2	4	-1.2898224607559365	0.19711230758196352	4	0.008	False	True	False	True	-0.5904514678572804	0.3008628155632535
ERBB2	4	0.5091311523032236	0.6106602971835408	4	0.05925	False	False	True	True	0.1971014819466526	0.6971898808574403
ERGIC3	2	-0.4937453885071242	0.6214860059592329	2	0.0245	False	False	False	False	-0.09615334377275118	0.7619335856486877
ERH	2	0.16641558752261998	0.8678299079242684	2	0.050499999999999996	False	False	False	False	0.1253937856122159	0.7440039054352351
ERP29	2	0.04264155770006732	0.9659872673472342	2	0.1565	False	False	False	False	0.20779185459070731	0.5024834033670684
ERRFI1	3	0.0013239975373319148	0.9989436031150605	3	0.028666666666666663	False	False	False	False	0.09182260711435503	0.8732708656853905
ESAM	3	-3.4174853514574415	0.0006320249516386748	3	0.0033333333333333335	False	False	True	True	0.8403608426489503	0.10543458438789453
EXT1	4	-1.8013171622520536	0.07165290430399937	4	0.0095	False	False	True	True	-0.10119413577143915	0.8066442210921475
EZR	4	0.38068479884829254	0.7034371498273276	4	0.00475	False	False	True	True	-0.1188541184680241	0.8250457604341386
F11R	4	-0.028670132884086985	0.9771276770772697	4	0.05450000000000001	False	False	True	True	0.4934241311202209	0.21334471161968185
FABP5	2	0.7666955382150079	0.44326255706035467	2	-0.014	False	False	False	False	-1.2829183921078273	0.09169745666479462
FAM177A1	3	-0.006341354111303362	0.9949403653703522	3	0.03	False	False	False	False	0.6321163500890508	0.22849747559323605
FAS	4	-1.6671634442190757	0.09548190943560489	4	0.01	True	False	False	True	-0.8666844410472464	0.1114596686816132
