gene	weight
CGN	0.021
CGNL1	0.017
CHCHD10	-0.005
CIITA	0.0
CITED2	0.019
CKB	-0.016
CKLF	-0.023
CKS1B	-0.064
CKS2	-0.057
CLDN1	0.008
CLDN10	-0.001
CLDN12	0.002
CLDN15	-0.001
CLDN23	0.027
CLDN3	0.079
CLDN4	0.0
CLDN6	0.01
CLDN7	0.076
CLDN9	0.033
CLPTM1L	0.027
CLTB	0.026
CMPK2	0.002
CMTR1	-0.006
CNIH4	0.011
CNP	-0.014
COL1A1	-0.01
COMT	-0.009
COPS6	-0.018
COX14	0.024
CP	0.001
CRABP2	0.036
CRB3	0.039
CRIP1	-0.021
CRIP2	-0.009
CSF1	0.003
CST3	0.056
CST6	-0.012
CTNNB1	0.011
CTSA	0.002
CTSB	0.005
CTSC	0.022
CTSD	0.087
CTSH	0.054
CTSZ	0.0
CTTN	0.004
CXCL17	0.044
CXCL2	0.037
CXCL8	0.022
CYB5A	0.044
CYBA	0.021
CYC1	-0.026
CYSTM1	0.023
DAP	0.039
DCXR	0.004
DDIT4	-0.002
DDT	-0.035
DDX58	0.0
DDX60	-0.01
DEK	-0.048
DHCR24	0.035
DHX58	0.002
DLG1	0.01
DLG3	0.011
DMKN	-0.02
DNAJB1	0.029
DNAJC15	-0.004
DNPH1	-0.061
DUSP1	0.068
DUSP23	0.0
DUSP6	0.008
ECH1	0.056
ECT2	-0.006
EFNA1	0.035
EGR1	0.072
EIF2AK2	0.003
EIF3L	-0.021
EIF4E3	-0.001
EIF4EBP1	-0.033
EIF5	-0.013
EIF5A	-0.066
ELF1	0.007
ELF3	0.053
EMP2	0.027
EPB41L4B	-0.002
EPCAM	0.059
EPHA2	0.003
EPHB2	0.0
EPSTI1	-0.007
ERAP1	0.001
ERAP2	0.029
ERBB2	0.004
ERO1A	-0.001
ERRFI1	0.01
ESAM	0.01
EXT1	0.002
EZR	-0.017
F11R	0.035
FAM162A	-0.039
FAM177A1	0.01
FAM3C	0.001
FAS	0.006
FLNA	-0.018
FOS	0.068
FOSB	0.097
FXYD3	0.085
FXYD5	-0.031
FZD5	0.005
GBP2	0.029
GBP4	0.001
GCH1	-0.001
GDF15	0.018
GGCT	0.007
GLRX	0.019
GLUL	0.033
GMPR	0.002
GPRC5A	0.066
GPX3	0.046
GRHL2	-0.005
GRN	0.039
GSN	-0.018
GTF3A	-0.027
GTF3C6	-0.02
GZMA	-0.002
H1F0	0.027
H2AFJ	0.007
H2AFV	-0.042
H2AFZ	-0.086
HCLS1	0.0
HEBP2	0.011
HELZ2	0.0
HERC6	0.001
HERPUD1	0.023
HES1	0.006
HIF1A	-0.002
HIGD2A	-0.011
HIST1H1C	0.063
HIST1H2AC	0.066
HLA-A	0.056
HLA-B	0.063
HLA-C	0.083
HLA-DMA	0.074
HLA-DPA1	0.085
HLA-DPB1	0.061
HLA-DQA1	0.024
HLA-DQB1	0.068
HLA-DRA	0.097
HLA-DRB1	0.111
HLA-E	0.042
HLA-F	0.015
HLA-G	-0.001
HMGA1	-0.083
HMGB2	-0.067
HMGB3	-0.002
HMGN3	-0.011
HN1	-0.066
HOPX	0.057
HP	0.002
HPGD	-0.002
HSP90B1	0.017
HSPA1A	0.011
HSPA4	-0.029
HSPA5	0.01
HSPH1	0.002
ICAM1	0.052
ID1	0.002
IDO1	0.012
IER2	0.077
IER3	0.01
IFI16	-0.002
IFI27	0.023
IFI35	-0.008
IFI44	0.001
IFI44L	0.0
IFI6	0.034
IFIH1	-0.002
IFIT1	0.0
IFIT2	0.01
IFIT3	0.004
IFITM1	0.006
IFITM2	0.007
IFITM3	0.007
IFNAR2	-0.001
IGFBP3	0.0
IGKC	0.021
IKBKB	0.006
IL15	0.001
IL15RA	0.008
IL32	0.0
IL4R	0.002
IL6	0.014
IL7	-0.001
ILDR1	0.002
IRF1	0.023
IRF2	0.007
IRF5	0.002
IRF7	0.011
IRF9	0.01
ISG15	0.003
ISG20	0.005
ISOC1	-0.002
ITGA3	0.017
ITGB1	-0.004
ITM2B	0.068
JUN	0.09
JUNB	0.07
JUND	0.048
KIF5B	0.003
KLF6	0.046
KRT10	0.014
KRT19	0.006
KRT7	0.043
KRTCAP2	-0.009
KTN1	0.003
LAGE3	-0.035
LAMP1	0.026
LAMP3	0.032
LAP3	-0.004
LAPTM4B	0.014
LATS2	0.016
LCN2	0.017
LDHB	-0.032
LGALS1	-0.068
LGALS3	-0.003
LGALS3BP	0.092
LITAF	-0.007
LLGL1	0.002
LLGL2	0.005
LMAN2	0.046
LMNA	0.003
LMO7	0.045
LPAR6	0.001
LPCAT1	0.036
LSM5	-0.062
LSR	0.036
LY6E	0.042
LYSMD2	0.002
MAGI1	0.027
MAL2	0.025
MALAT1	-0.004
MALL	0.015
MANF	0.008
MAP2K7	0.007
MAP3K1	0.0
MAP3K13	0.018
MAP3K5	0.0
MAPK8	-0.007
MAPK9	0.0
MARCKSL1	-0.04
MARVELD2	0.009
MARVELD3	0.013
MCL1	0.023
MDK	0.021
METTL7B	0.004
MGLL	0.002
MGST1	0.076
MICALL2	0.003
MOV10	0.004
MPC2	0.023
MPDZ	0.002
MPP7	0.002
MRPL33	-0.03
MRPL41	-0.016
MRPS15	-0.013
MRPS6	0.003
MSN	0.052
MT-ATP6	-0.083
MT-CO1	-0.084
MT-CO2	-0.061
MT-CO3	-0.084
MT-CYB	-0.08
MT-ND1	-0.078
MT-ND2	-0.087
MT-ND3	-0.09
MT-ND4	-0.1
MT-ND4L	-0.044
MT-ND5	-0.079
MT1E	0.004
MT1X	-0.009
MT2A	-0.015
MTCH1	-0.043
MTDH	0.011
MTHFD2	-0.021
MUC1	0.073
MUC5B	0.001
MVB12A	-0.003
MVP	0.045
MX1	0.003
MX2	0.001
MYD88	0.002
MYDGF	0.022
MYH10	0.0
MYH14	0.001
MYH9	-0.003
MYL12A	-0.074
MYL12B	-0.089
MYL6	-0.018
MYL6B	-0.036
MYL9	-0.061
MYO1C	0.009
NAA10	0.009
NAMPT	-0.009
NAPSA	0.112
NCOA3	0.011
NCOA7	0.02
NDRG1	0.001
NDUFB1	-0.042
NDUFB8	-0.062
NDUFB9	-0.029
NEAT1	0.039
NEDD4	0.0
NEDD4L	0.02
NENF	0.004
NF2	0.01
NFKB1	0.01
NFKBIA	0.011
NFKBIZ	0.056
NGFRAP1	0.03
NHP2	-0.007
NKX2-1	0.053
NLRC5	0.0
NME1	-0.082
NME3	0.02
NME4	-0.04
NMI	0.011
NNMT	0.006
NOD1	0.01
NPC2	0.096
NPHP1	0.001
NPHP4	0.0
NQO1	0.011
NUB1	0.014
NUP93	-0.016
NUPR1	0.024
OAS1	0.003
OAS2	0.002
OAS3	-0.003
OASL	0.002
OCEL1	0.015
OCIAD2	0.034
OCLN	0.016
OGFR	0.003
PAK2	-0.009
PARD3	0.001
PARD6A	0.003
PARD6B	0.034
PARD6G	0.004
PARP12	-0.002
PARP14	0.007
PARP9	0.003
PCNA	-0.053
PCSK1N	0.014
PDCD6IP	0.014
PDE4B	0.001
PDIA3	0.035
PDIA4	0.001
PDLIM1	0.03
PDXK	-0.003
PDZK1IP1	0.056
PEBP1	0.058
PECAM1	0.022
PELI1	0.005
PERP	0.06
PFKP	-0.016
PGAM1	-0.097
PHLDA2	0.019
PIGR	0.033
PIM1	-0.034
PLA2G16	0.058
PLA2G4A	-0.001
PLEC	0.007
PLP2	-0.001
PLPP2	0.022
PLSCR1	0.006
PML	-0.006
PNP	0.001
PNPT1	-0.004
PNRC1	0.025
POF1B	0.0
POLR2J3	-0.016
PON2	0.014
PPIC	0.039
PPP1CB	-0.006
PPP1R14B	-0.024
PPP1R15A	0.024
PPP2CA	-0.013
PPP2CB	0.001
PPP2R1A	-0.009
PPP2R1B	0.007
PPP2R2A	-0.005
PPP2R2D	-0.006
PRDX4	0.021
PRKAA1	0.004
PRKAA2	0.006
PRKAB1	0.022
PRKAB2	0.0
PRKACA	0.001
PRKACB	0.011
PRKAG1	-0.001
PRKAG2	-0.003
PRKCE	0.0
PRKCH	0.001
PRKCI	0.004
PRKCZ	0.003
PROCR	-0.002
PRSS8	0.046
PSMA2	-0.053
PSMA3	-0.028
PSMA4	-0.032
PSMB1	-0.03
PSMB10	-0.004
PSMB2	-0.035
PSMB6	-0.013
PSMB8	0.014
PSMB9	-0.019
PSME1	-0.003
PSME2	-0.019
PTGS2	-0.003
PTMS	-0.065
PTP4A2	0.014
PTPN1	0.014
PTPN2	-0.006
PTPN6	0.007
PYCARD	0.023
QSOX1	0.045
RAB13	-0.007
RAB25	0.019
RAB8A	-0.011
RAB8B	0.002
RABAC1	0.057
RAC1	-0.025
RAMP1	-0.012
RAMP2	-0.002
RAP1A	-0.019
RAP2C	0.0
RAPGEF2	-0.009
RAPGEF6	0.0
RARRES3	0.026
RBCK1	-0.002
RBM3	-0.024
RDX	-0.019
RHOA	-0.014
RHOB	0.052
RHOBTB3	0.051
RIPK1	0.009
RIPK2	0.001
RNASE1	0.006
RND3	-0.006
RNF145	-0.001
RNF213	0.015
ROCK1	-0.011
ROCK2	0.025
RPA3	-0.045
RPL17	-0.094
RPL22L1	-0.016
RPN2	0.003
RPS19BP1	-0.011
RPS27L	0.02
RPS4Y1	-0.03
RSAD2	0.003
RTN4	0.024
RTP4	0.002
RUNX1	0.028
S100A13	-0.001
S100A14	0.025
S100A16	-0.019
S100A2	-0.009
S100A4	-0.049
S100A9	-0.009
S100P	0.029
SAA1	0.0
SAMD9	0.003
SAMD9L	0.003
SAMHD1	0.0
SARAF	0.018
SCAND1	-0.039
SCGB3A1	0.0
SCRIB	-0.001
SDC1	0.026
SDC4	0.049
SDF2L1	0.0
SEC11C	0.002
SECTM1	-0.002
SELL	-0.002
SELM	0.047
SEPP1	0.104
SEPT7	-0.05
SERINC2	0.048
SERPINA1	-0.002
SERPINB1	0.004
SERPING1	0.044
SFN	-0.001
SFTA2	0.043
SFTA3	0.055
SFTPA1	0.062
SFTPA2	0.058
SFTPB	0.111
SLC16A3	0.021
SLC25A28	0.002
SLC25A37	-0.006
SLC25A39	-0.007
SLC34A2	0.111
SLC39A9	0.002
SLC9A3R1	0.0
SLC9A3R2	0.021
SLIRP	-0.07
SLPI	0.064
SMIM22	0.022
SNAI1	0.0
SNHG7	-0.028
SNHG8	0.008
SNRPB	-0.087
SNRPC	-0.098
SNRPD1	-0.084
SOCS1	0.001
SOCS3	0.014
SOD2	0.034
SON	0.007
SOX4	0.055
SP110	0.001
SPATS2L	-0.011
SPINT1	0.08
SPP1	-0.004
SPPL2A	0.013
SPTSSA	0.013
SQSTM1	0.049
SRC	-0.001
SRD5A3	0.015
SRF	0.014
SRI	-0.015
SRSF9	-0.019
SSPN	0.014
ST3GAL5	0.016
ST8SIA4	0.0
STARD10	0.069
STAT1	-0.002
STAT2	0.012
STAT3	0.016
STK11	-0.011
STMN1	-0.056
STRA13	-0.028
STRN	0.002
STUB1	0.0
SUMO3	-0.003
SYMPK	0.015
SYNGR2	0.036
SYNPO	0.003
TACSTD2	0.06
TAP1	0.019
TAP2	0.008
TAPBP	0.042
TAPBPL	0.009
TBCD	0.0
TCEA1	-0.012
TDRD7	0.0
TFF3	0.004
TFPI	0.025
TGFBR1	-0.001
TGM2	0.025
TIAM1	-0.006
TIMP1	0.034
TJAP1	0.016
TJP1	0.031
TJP2	0.011
TJP3	0.014
TKT	0.033
TM4SF1	0.052
TMBIM4	0.063
TMC5	0.015
TMED10	0.003
TMEM123	0.015
TMEM140	0.001
TMEM165	0.009
TMEM59	0.095
TNFAIP2	0.006
TNFAIP3	0.034
TNFRSF12A	0.007
TNFSF10	0.048
TNNT1	-0.048
TOR1B	0.001
TPM1	-0.04
TPM4	-0.004
TRAFD1	0.015
TRAM1	0.026
TRIM14	0.0
TRIM21	0.003
TRIM25	0.013
TRIM26	0.0
TRIM5	0.0
TSC22D1	0.031
TSC22D3	0.033
TSPAN1	0.021
TSPAN13	0.069
TSPO	-0.002
TSTD1	0.023
TUBA1A	-0.051
TUBA1B	-0.088
TUBA1C	-0.052
TUBA4A	0.004
TUBB	-0.08
TUBB4B	-0.047
TXNIP	0.033
TYMP	-0.009
UBA7	0.007
UBE2L3	-0.01
UBE2L6	0.003
UPP1	-0.013
UQCC2	-0.036
USP18	-0.001
VAMP5	-0.023
VAMP8	0.058
VASP	0.018
VDAC2	-0.039
VEGFA	0.01
VIM	-0.077
VMP1	0.0
WFDC2	0.059
WHAMM	0.005
WSB1	-0.002
XAF1	-0.001
XBP1	0.094
YBX3	0.024
ZFP36	0.069
ZFP36L1	0.017
ZFP36L2	0.011
ZNFX1	0.008
