gene	weight
CLDN18	0.016
CLDN2	0.035
CLDN23	0.01
CLDN3	0.29
CLDN4	0.0
CLDN7	0.171
CLTA	-0.017
CLU	0.004
CMPK2	0.0
CMTR1	0.0
CNBP	0.079
CNP	0.059
COL1A1	-0.1
COTL1	0.179
COX17	0.193
COX5A	0.054
CPM	0.121
CRB3	0.056
CRIP1	0.001
CRIP2	0.025
CSF1	-0.012
CST3	0.012
CSTB	-0.023
CTNNB1	0.016
CTSB	-0.026
CTSD	-0.074
CTSH	0.085
CTSS	-0.003
CTSZ	-0.013
CTTN	0.008
CXCL17	0.317
CXCL2	-0.005
CXCR4	-0.068
CYB5A	-0.001
CYBA	-0.019
CYCS	0.0
CYSTM1	0.031
DAD1	-0.009
DBI	0.038
DDIT4	-0.053
DDX21	-0.019
DDX58	-0.001
DDX60	-0.002
DLG1	0.002
DLG3	0.01
DNAJA1	-0.028
DNAJB1	-0.031
DNAJB6	0.022
DSTN	0.26
DUSP1	0.008
DYNLT1	0.084
ECT2	0.007
EGR1	0.109
EID1	-0.053
EIF2AK2	0.002
EIF4A1	0.033
EIF4A2	-0.003
EIF4E3	0.007
EIF5	0.036
EIF5A	0.117
ELF1	-0.024
ELF3	0.286
EMP2	0.017
EPB41L4B	0.031
EPCAM	0.395
EPHA2	0.038
EPHB2	0.0
EPSTI1	-0.023
ERAP1	0.0
ERAP2	0.0
ERBB2	0.114
ERGIC3	0.048
ERH	0.107
ERP29	0.313
ERRFI1	0.026
ESAM	0.0
EXT1	0.0
EZR	0.016
F11R	0.078
FAM133B	0.046
FAM177A1	0.066
FAM96B	0.146
FAS	0.0
FIS1	-0.013
FKBP1A	0.008
FKBP2	0.089
FOLR1	-0.024
FOS	0.081
FOSB	0.068
FUS	0.04
FXYD3	0.143
FXYD5	-0.064
FZD5	0.062
GABARAPL2	0.081
GADD45B	-0.007
GBP2	-0.081
GBP4	-0.01
GCH1	0.005
GLUL	0.001
GMPR	0.0
GNAS	0.056
GNB2	0.085
GPRC5A	0.182
GRHL2	0.018
GRN	-0.039
GSTP1	0.394
GZMA	-0.004
H2AFZ	0.051
HCLS1	-0.003
HELZ2	0.03
HERC6	0.0
HERPUD1	-0.002
HES1	0.026
HIF1A	-0.005
HIGD2A	-0.01
HIST1H4C	0.085
HLA-A	-0.085
HLA-B	-0.203
HLA-C	-0.142
HLA-DMA	-0.131
HLA-DPA1	-0.242
HLA-DPB1	-0.209
HLA-DQA1	-0.138
HLA-DQB1	-0.174
HLA-DRA	-0.179
HLA-DRB1	-0.313
HLA-E	-0.112
HLA-F	-0.025
HLA-G	-0.003
HMGB2	0.0
HMGB3	0.375
HMGN2	0.071
HMGN3	0.069
HN1	0.039
HOPX	0.095
HSBP1	0.321
HSP90B1	0.245
HSPA1A	-0.008
HSPA1B	0.032
HSPA4	-0.001
HSPA5	0.02
HSPA6	0.019
HSPD1	0.048
HSPH1	0.006
ICAM1	0.003
ID1	0.153
ID2	0.043
IER2	0.082
IER3	0.014
IER5	0.014
IFI27	0.011
IFI30	-0.008
IFI35	-0.042
IFI44	-0.013
IFI44L	-0.028
IFI6	0.0
IFIH1	0.0
IFIT1	-0.007
IFIT2	-0.003
IFIT3	-0.001
IFITM1	-0.009
IFITM2	-0.068
IFITM3	-0.16
IFNAR2	-0.001
IGFBP2	0.282
IGFBP7	-0.075
IGHA1	-0.042
IGKC	-0.064
IGLC2	-0.001
IKBKB	-0.001
IL15	0.002
IL15RA	-0.006
IL32	-0.013
IL4R	0.0
IL6	-0.028
ILDR1	0.013
IRF1	-0.015
IRF2	-0.001
IRF7	0.001
IRF8	-0.016
IRF9	0.0
ISG15	-0.005
ISG20	0.021
ISOC1	0.016
ITGB1	-0.017
JAK2	0.001
JUN	0.07
JUNB	-0.049
JUND	0.071
KDELR2	-0.028
KLF6	0.039
KLK11	0.322
KRT18	0.171
KRT19	0.001
KRT7	0.049
KRT8	0.179
LAMP3	0.004
LAMTOR4	-0.005
LAMTOR5	0.08
LAP3	-0.008
LAPTM4A	-0.011
LAPTM4B	0.236
LATS2	0.0
LCN2	0.055
LCP2	-0.002
LDHA	0.03
LDHB	0.062
LGALS1	-0.358
LGALS3	-0.041
LGALS3BP	0.018
LLGL2	0.093
LMAN2	0.057
LMNA	0.005
LPCAT1	0.078
LSM5	-0.02
LSR	0.19
LY6E	-0.031
LYSMD2	-0.001
LYZ	0.007
MAGI1	0.025
MAL2	0.064
MALL	0.174
MANF	0.006
MAP1LC3B	0.014
MAP2K7	0.001
MAP3K1	0.0
MAP3K5	0.0
MAPK10	-0.004
MAPK8	0.001
MAPK9	0.006
MARCKSL1	0.115
MARVELD2	0.075
MARVELD3	0.274
MCL1	0.059
MDH2	0.186
MDK	0.039
METTL26	-0.009
METTL7B	0.004
MGST1	0.122
MGST3	-0.025
MICALL2	-0.003
MOV10	0.0
MPDZ	0.0
MPP7	0.011
MRFAP1	0.098
MRPL14	0.027
MRPL18	0.001
MRPL33	0.057
MRPL51	0.049
MRPS21	-0.013
MSN	-0.012
MT-ND1	0.154
MT-ND4L	0.057
MT-ND5	0.089
MT1E	-0.15
MT1X	-0.057
MT2A	-0.129
MTHFD2	-0.003
MTRNR2L12	0.0
MTRNR2L8	0.01
MUC1	0.076
MVB12A	-0.059
MVP	-0.049
MX1	-0.006
MX2	0.001
MYD88	0.0
MYDGF	0.001
MYH10	-0.007
MYH14	0.035
MYH9	-0.038
MYL12A	-0.032
MYL12B	0.116
MYL6	-0.061
MYL6B	-0.006
MYL9	-0.101
MYLIP	0.14
MYO1C	0.001
NAMPT	0.038
NAPSA	-0.001
NCL	0.023
NCOA3	-0.004
NCOA7	0.065
NDUFA11	-0.026
NDUFA12	0.064
NDUFAB1	0.041
NDUFB1	0.005
NDUFB3	0.03
NDUFB9	0.118
NDUFC1	0.133
NDUFS6	0.014
NDUFS8	-0.005
NEAT1	0.127
NEDD4L	0.108
NEDD8	0.014
NENF	0.024
NF2	0.0
NFKB1	-0.002
NFKBIA	0.049
NFKBIZ	0.027
NHP2	0.068
NKX2-1	0.207
NLRC5	-0.001
NME1	-0.001
NMI	0.0
NNMT	-0.262
NOD1	0.0
NPC2	-0.063
NPHP1	0.0
NQO1	0.49
NR4A1	0.102
NUB1	0.004
NUCKS1	-0.003
NUP93	0.001
NUPR1	-0.015
OAS1	0.0
OAS2	-0.001
OAS3	0.0
OAT	0.437
OCEL1	-0.001
OCIAD2	0.222
OCLN	0.06
ODC1	0.191
OGFR	0.0
P4HB	0.125
PAK2	-0.004
PARD3	0.0
PARD6A	0.004
PARD6B	0.022
PARK7	-0.041
PARP12	0.0
PARP14	0.013
PARP9	0.002
PATJ	0.048
PCBD1	0.098
PCNA	0.027
PDCD6	0.074
PDCD6IP	0.0
PDE4B	-0.007
PDIA3	0.166
PDIA4	0.213
PDIA6	0.19
PEBP1	0.02
PECAM1	-0.002
PELI1	0.024
PERP	0.149
PFKP	-0.01
PGAM1	-0.012
PGC	0.043
PGK1	0.032
PHLDA2	0.066
PHPT1	0.009
PIGR	0.082
PIM1	0.007
PKM	-0.04
PLA2G4A	0.016
PLEC	-0.005
PLP2	-0.072
PLSCR1	0.047
PML	-0.013
PNISR	0.0
PNP	0.02
PNPT1	-0.001
PNRC1	-0.069
POMP	0.079
PPA1	-0.023
PPIB	0.009
PPP1R14B	-0.005
PPP1R15A	0.066
PPP2CA	0.018
PPP2CB	0.036
PPP2R1A	0.096
PPP2R1B	0.004
PPP2R2A	0.014
PPP2R2D	0.014
PRDX2	0.018
PRDX4	0.152
PRELID1	0.118
PRKAA1	0.001
PRKAA2	0.023
PRKAB1	0.027
PRKAB2	0.0
PRKACA	-0.004
PRKACB	0.0
PRKAG1	0.075
PRKAG2	0.0
PRKCE	0.0
PRKCH	-0.001
PRKCI	0.11
PRKCZ	0.024
PROCR	-0.089
PRR13	0.016
PSMA2	-0.052
PSMA3	0.121
PSMA4	0.024
PSMB2	0.036
PSMB3	0.013
PSMB8	-0.001
PSMB9	-0.04
PSME1	-0.003
PSME2	-0.019
PTGS2	0.004
PTMS	0.167
PTP4A1	0.216
PTPN1	-0.002
PTPN2	-0.002
PTPN6	0.001
RAB13	-0.023
RAB8A	0.006
RAB8B	-0.004
RABAC1	-0.004
RAC1	-0.115
RAN	0.041
RAP1A	-0.011
RAP2C	0.0
RAPGEF2	-0.002
RAPGEF6	0.0
RARRES3	-0.079
RBCK1	0.047
RDX	-0.008
REL	-0.034
RGS1	-0.065
RGS2	0.004
RHEB	0.316
RHOA	-0.033
RHOB	0.293
RHOC	-0.098
RIPK1	0.002
RIPK2	-0.004
RNASE1	0.056
RNASET2	0.039
RNF145	0.038
RNF213	-0.003
ROCK1	0.003
ROCK2	0.001
ROMO1	0.078
RPL22L1	0.073
RPL36A	-0.015
RPN2	0.127
RRBP1	0.102
RSL1D1	0.0
RSRP1	-0.012
RTN4	0.004
RTP4	0.004
RUNX1	0.002
S100A10	-0.137
S100A13	-0.054
S100A14	0.068
S100A16	-0.113
S100A4	-0.292
S100A9	0.0
S100P	0.069
SAA1	-0.173
SAMD9	0.0
SAMD9L	-0.002
SAMHD1	0.001
SCGB3A1	-0.022
SCGB3A2	0.018
SCRIB	0.001
SDC1	0.113
SDC4	0.049
SDCBP	-0.008
SEC11C	0.389
SECTM1	0.0
SELM	-0.166
SEPP1	0.004
SEPT7	-0.098
SEPW1	0.185
SERPINA1	0.023
SERPING1	-0.096
SERPINH1	0.007
SET	0.017
SF3B6	0.039
SFTA2	0.198
SFTA3	0.214
SFTPA1	0.03
SFTPA2	0.048
SFTPB	0.03
SHFM1	0.045
SLAMF7	-0.001
SLC25A28	0.0
SLC34A2	0.098
SLC39A9	0.003
SLC9A3R1	0.015
SLIRP	0.081
SLPI	0.007
SMIM14	0.001
SMIM22	0.21
SNAI1	0.008
SNAI2	-0.103
SNHG8	-0.016
SNRPB	0.177
SNRPD1	0.095
SNRPE	0.057
SNRPF	0.137
SNX3	-0.056
SOCS1	-0.015
SOCS3	0.003
SOD2	-0.002
SOX4	0.214
SP110	0.0
SPATS2L	-0.034
SPCS1	-0.037
SPCS2	0.027
SPINK1	0.155
SPINT2	0.399
SPPL2A	0.0
SPTSSA	0.188
SRC	0.014
SRF	0.002
SRGN	-0.077
SRI	0.051
SRP9	0.051
SRSF2	0.037
SRSF3	0.063
SRSF7	0.019
SRSF9	0.126
SSBP1	0.006
SSPN	-0.048
SSR3	-0.041
ST3GAL5	0.024
ST8SIA4	0.0
STAT1	0.0
STAT2	0.004
STAT3	0.044
STK11	0.0
STRN	0.003
SUMO1	0.099
SYMPK	0.0
SYNPO	-0.001
TACSTD2	0.051
TALDO1	0.153
TAP1	-0.01
TAP2	0.0
TAPBP	0.0
TAPBPL	0.002
TBCD	0.005
TCEAL9	0.008
TCEB1	0.029
TDRD7	0.001
TFF3	0.249
TGFBR1	0.001
TIMP1	-0.064
TIMP3	-0.001
TJAP1	0.0
TJP1	0.033
TJP2	0.027
TJP3	0.0
TKT	0.084
TM4SF1	0.017
TMC5	0.189
TMCO1	0.015
TMED10	0.108
TMED2	0.141
TMED9	0.16
TMEM140	-0.006
TMEM14C	-0.064
TNFAIP2	0.0
TNFAIP3	-0.012
TNFRSF12A	-0.007
TNFSF10	0.0
TOP1	0.007
TOR1B	0.007
TPM1	-0.056
TPM4	-0.144
TRA2B	0.082
TRAFD1	0.063
TRIM14	0.0
TRIM21	0.0
TRIM25	0.0
TRIM26	0.001
TRIM5	0.0
TSC22D1	0.018
TSC22D3	-0.085
TSPO	-0.058
TSTD1	0.026
TUBA1A	0.017
TUBA1B	0.12
TUBA1C	-0.021
TUBA4A	0.004
TUBB	-0.086
TUBB4B	0.008
TXNDC17	0.017
TXNIP	-0.003
TYMP	-0.093
UBA7	-0.007
UBE2L6	-0.021
UPP1	0.0
USP18	0.0
VAMP5	-0.002
VAMP8	0.033
VAPA	0.118
VASP	0.017
VDAC1	0.024
VDAC2	0.004
VIM	-0.366
VMP1	0.011
WAS	-0.007
WFDC2	0.093
WHAMM	0.0
WSB1	0.077
XAF1	-0.007
XBP1	0.246
XIST	0.018
YBX3	0.084
YWHAQ	0.035
ZEB1	-0.056
ZFAND5	0.013
ZFP36	0.036
ZFP36L1	0.051
ZFP36L2	-0.046
ZNFX1	0.0
ZNHIT1	-0.052
