gene	distance	Z	FC	p.value	p.adj
RPS10	3.56747360586394e-07	1.11715315861843	0.0018739136272583	0.965471379726431	0.99999999999513
CDK4	3.52191099321762e-07	1.11142607219746	0.0018263532611566	0.965912097897041	0.99999999999513
TPM3	3.47439050799362e-07	1.10537965020826	0.0017774004749194	0.966371765275031	0.99999999999513
PCNA	3.44759028103011e-07	1.10193592843688	0.0017500857460659	0.966631009781006	0.99999999999513
SRSF3	3.39694527564141e-07	1.09536031627742	0.0016990459843971	0.967120919695124	0.99999999999513
MTHFD2	3.38609836851621e-07	1.09394023843476	0.0016882127393941	0.967225847897554	0.99999999999513
PPP2R1A	3.36720150744962e-07	1.09145621244962	0.0016694224384008	0.96740864916346	0.99999999999513
PSIP1	3.36410355524252e-07	1.09104775544841	0.0016663519884767	0.967438617774425	0.99999999999513
LGALS3	3.34448337944674e-07	1.08845280433531	0.0016469716222972	0.967628418222948	0.99999999999513
TXNDC17	3.29149948110431e-07	1.08137442082146	0.0015952017377354	0.968140979728694	0.99999999999513
VDAC1	3.25743353516081e-07	1.07676768953812	0.0015623529736998	0.968470537615596	0.99999999999513
TCEA1	3.19060477901902e-07	1.06759994348279	0.0014989048155536	0.969117062294663	0.99999999999513
PRDX2	3.18446767170412e-07	1.06674918587502	0.0014931440941266	0.969176435833879	0.99999999999513
PLAAT4	3.16752861205316e-07	1.06439313784564	0.0014773014537169	0.969340313912877	0.99999999999513
ZFAS1	3.10381756630607e-07	1.05542632572238	0.0014184708181491	0.969956702272183	0.99999999999513
ARPC1B	3.02645182707523e-07	1.04430673209823	0.0013486385301411	0.970705220453959	0.99999999999513
PSMB8	2.99496607721094e-07	1.03970617275784	0.0013207233237833	0.97100985440377	0.99999999999513
C15ORF48	2.98284529128976e-07	1.0379232418989	0.0013100548813156	0.971127127725332	0.99999999999513
GAS5	2.8990983939932e-07	1.02541860594906	0.0012375248908556	0.971937428475567	0.99999999999513
UBE2L6	2.85302360437972e-07	1.0183962329208	0.0011985019962009	0.972383241714738	0.99999999999513
WAS	2.75553592537929e-07	1.00318653806515	0.0011179958390326	0.973326547175248	0.99999999999513
S100P	2.71965675278564e-07	0.997463642724873	0.0010890710727477	0.973673728914464	0.99999999999513
HNRNPU	2.64672577147317e-07	0.985613031886956	0.0010314446426919	0.974379454610996	0.99999999999513
FUS	2.59498287596276e-07	0.977021316437499	0.0009915098312851	0.974880163360388	0.99999999999513
CCNL1	2.58614750620604e-07	0.975538470772729	0.0009847695614552	0.974965662990411	0.99999999999513
MARCKSL1	2.58211536031827e-07	0.974860200516073	0.0009817011834311	0.975004682050871	0.99999999999513
SYNE2	2.53449646774639e-07	0.966775230832509	0.0009458263582183	0.975465494392729	0.99999999999513
