gene	weight
ISOC1	-0.018
ITGB1	0.01
ITGB7	-0.016
ITM2B	0.025
JAK2	0.001
JAM3	-0.032
JPT1	-0.055
JUN	0.022
JUNB	0.009
JUND	-0.022
JUP	-0.004
KDELR1	-0.017
KDELR2	-0.01
KLF5	0.006
KLF6	0.045
KRT10	-0.012
KRT17	-0.001
KRT18	0.005
KRT19	-0.003
KRT7	0.013
KRT8	0.001
KRTCAP2	-0.008
KTN1	0.003
LAGE3	-0.059
LAMP3	0.0
LAP3	-0.013
LAPTM4A	-0.001
LAPTM4B	-0.025
LATS2	0.0
LCN2	0.044
LCP2	-0.025
LDHA	-0.1
LDHB	-0.065
LGALS1	-0.008
LGALS3	0.031
LGALS3BP	0.031
LINC01578	-0.003
LLGL1	-0.005
LLGL2	0.04
LMNA	0.005
LMO7	0.059
LPAR6	0.001
LRRFIP1	0.006
LSM4	-0.147
LSR	-0.001
LY6E	0.015
LYSMD2	-0.001
MAGI1	0.001
MAL2	-0.006
MALAT1	0.087
MAP2K7	-0.027
MAP3K1	-0.003
MAP3K5	0.001
MAPK10	0.016
MAPK8	-0.005
MAPK9	-0.003
MARCKS	0.0
MARCKSL1	-0.113
MARVELD2	0.0
MARVELD3	0.005
MCL1	0.021
MDK	-0.024
METTL7B	0.004
MGST1	0.019
MGST3	-0.007
MICALL2	0.032
MORF4L1	-0.011
MOV10	0.002
MPDZ	0.001
MPP7	-0.001
MRPL14	-0.045
MSN	-0.023
MT-ATP6	0.095
MT-ATP8	0.032
MT-CO1	0.129
MT-CO2	0.117
MT-CO3	0.084
MT-CYB	0.107
MT-ND1	0.115
MT-ND2	0.115
MT-ND3	0.128
MT-ND4	0.109
MT-ND4L	0.07
MT-ND5	0.133
MT-ND6	0.068
MT2A	-0.007
MTCH1	-0.03
MTDH	-0.006
MTHFD2	-0.071
MTRNR2L12	0.06
MUC1	0.119
MVB12A	-0.001
MVP	0.013
MX1	-0.008
MX2	0.015
MYD88	0.001
MYH10	-0.012
MYH14	0.053
MYH9	-0.012
MYL12A	-0.025
MYL12B	-0.033
MYL6	-0.089
MYL6B	-0.057
MYL9	0.0
MYO1C	0.003
MZT2B	-0.043
NAMPT	-0.001
NAP1L1	-0.11
NAPSA	0.029
NASP	-0.107
NCOA3	0.002
NCOA7	0.001
NDRG1	0.01
NDUFB9	-0.054
NDUFC1	-0.019
NDUFC2	-0.045
NEAT1	0.137
NEDD4	0.0
NEDD4L	0.004
NF2	0.0
NFKB1	0.012
NFKBIA	0.005
NLRC5	0.003
NME1	-0.116
NMI	-0.016
NOD1	0.001
NOP10	-0.037
NOP53	-0.012
NPC2	0.025
NPHP1	0.003
NPHP4	0.0
NR4A1	0.016
NUB1	-0.014
NUCKS1	-0.098
NUP93	-0.016
OAS1	-0.008
OAS2	-0.003
OAS3	0.0
OASL	-0.001
OCEL1	0.0
OCIAD2	-0.005
OCLN	0.007
ODC1	-0.05
OGFR	-0.016
P4HB	-0.007
PAFAH1B3	-0.119
PAK2	-0.06
PARD3	0.001
PARD6A	-0.041
PARD6B	0.002
PARD6G	-0.007
PARP1	-0.133
PARP12	0.0
PARP14	0.038
PARP9	0.001
PATJ	0.012
PCBD1	-0.015
PCBP1	-0.09
PCNA	-0.122
PCSK1N	-0.001
PDCD5	-0.108
PDCD6IP	0.001
PDE4B	-0.013
PDIA3	-0.006
PDIA4	0.001
PDIA6	-0.02
PDLIM1	-0.013
PELI1	0.003
PERP	-0.003
PFKP	-0.011
PGAM1	-0.101
PGK1	-0.065
PHLDA2	0.024
PHPT1	-0.029
PIM1	-0.052
PLA2G4A	-0.003
PLAAT3	-0.009
PLAAT4	0.028
PLD3	-0.008
PLEC	0.08
PLP2	-0.017
PLSCR1	-0.013
PML	0.002
PNP	-0.024
PNPT1	-0.001
PNRC1	-0.004
POF1B	0.003
POLR2I	-0.053
POLR2K	-0.052
PPA1	-0.027
PPIB	-0.009
PPP1R14B	-0.018
PPP1R15A	0.053
PPP2CA	-0.037
PPP2CB	0.0
PPP2R1A	-0.063
PPP2R1B	-0.004
PPP2R2A	0.0
PPP2R2D	0.001
PRDX2	-0.112
PRKAA1	0.001
PRKAA2	-0.005
PRKAB1	0.0
PRKAB2	0.0
PRKACA	-0.012
PRKACB	-0.027
PRKAG1	-0.004
PRKAG2	0.0
PRKCE	0.004
PRKCH	-0.028
PRKCI	-0.001
PRKCZ	0.0
PROCR	-0.001
PRR13	-0.029
PRRC2C	-0.02
PSAP	0.026
PSENEN	-0.005
PSIP1	-0.114
PSMA2	-0.103
PSMA3	-0.073
PSMB10	-0.027
PSMB2	-0.106
PSMB8	-0.039
PSMB9	-0.063
PSMD8	-0.119
PSME1	-0.081
PSME2	-0.074
PTGS2	0.006
PTMS	-0.095
PTP4A2	-0.03
PTPN1	-0.013
PTPN2	-0.003
PTPN6	-0.022
PTTG1IP	0.023
RAB11FIP1	0.005
RAB13	-0.009
RAB25	-0.01
RAB5IF	-0.013
RAB8A	-0.058
RAB8B	-0.012
RABAC1	-0.008
RAC1	-0.024
RAD21	-0.073
RAMP2	-0.02
RANBP1	-0.122
RAP1A	-0.012
RAP2C	-0.001
RAPGEF2	0.005
RAPGEF6	-0.017
RBCK1	-0.011
RBM3	-0.025
RBM39	-0.013
RDX	-0.012
RHEB	-0.089
RHOA	-0.069
RHOB	0.04
RHOC	-0.005
RIPK1	-0.002
RIPK2	-0.01
RNF213	0.049
RNF31	0.001
ROCK1	-0.024
ROCK2	0.0
ROMO1	-0.035
RPA3	-0.051
RPL22L1	-0.035
RPS10	-0.063
RPS20	-0.068
RPS4Y1	-0.04
RSAD2	0.0
RTP4	-0.004
RUNX1	0.003
S100A10	-0.001
S100A11	-0.007
S100A13	0.016
S100A14	-0.006
S100A16	0.006
S100A2	-0.004
S100A4	-0.004
S100A6	0.078
S100A9	0.005
S100P	0.042
SAMD9	0.001
SAMD9L	0.003
SAMHD1	-0.001
SARAF	-0.002
SAT1	0.073
SCRIB	0.0
SDC1	0.026
SDC4	0.035
SEC11A	-0.008
SEC11C	-0.04
SEC61G	-0.021
SEC62	0.001
SECTM1	0.006
SELENOW	0.001
SELL	-0.037
SEPTIN7	-0.054
SERPINB1	0.004
SERPING1	0.002
SFN	-0.011
SFPQ	-0.122
SFTA2	0.041
SIVA1	-0.068
SLC25A28	-0.006
SLC25A6	-0.072
SLC39A9	0.006
SLC9A3R1	-0.02
SLPI	0.047
SMIM22	0.028
SNAI1	0.0
SNHG29	-0.054
SNHG32	-0.048
SNHG5	-0.04
SNHG6	-0.082
SNHG7	-0.043
SNHG8	-0.012
SNRPB	-0.18
SNRPD1	-0.128
SOCS1	-0.006
SOCS3	0.003
SOD1	-0.076
SOD2	0.002
SON	-0.005
SOX4	-0.004
SP110	-0.007
SPATS2L	0.002
SPINT1	0.042
SPINT2	-0.02
SPPL2A	0.002
SPTSSA	0.003
SQSTM1	0.022
SRC	0.001
SRF	-0.019
SRI	-0.009
SRP9	-0.135
SRRM2	-0.017
SRSF2	-0.087
SRSF3	-0.143
SRSF7	-0.073
SSPN	0.0
SSR2	-0.011
ST3GAL5	0.01
ST8SIA4	0.001
STAT1	-0.008
STAT2	0.001
STAT3	-0.001
STK11	0.0
STMN1	-0.193
STRN	-0.001
SYMPK	-0.02
SYNE2	-0.061
SYNGR2	0.005
SYNPO	0.0
TACSTD2	0.064
TAF10	-0.014
TALDO1	-0.035
TAP1	-0.017
TAP2	-0.003
TAPBP	0.025
TAPBPL	0.004
TAX1BP1	0.001
TBCB	-0.124
TBCD	-0.005
TCEA1	-0.059
TDRD7	0.002
TENT5A	0.001
TGFBR1	-0.002
TIAM1	-0.037
TIMP1	0.027
TJAP1	0.0
TJP1	0.0
TJP2	0.004
TJP3	0.019
TKT	-0.014
TLE5	-0.063
TM4SF1	0.042
TMBIM6	0.009
TMED9	-0.003
TMEM123	-0.002
TMEM140	0.001
TMEM147	-0.048
TMEM14B	-0.014
TMEM14C	-0.02
TMEM59	0.001
TNF	-0.001
TNFAIP2	0.004
TNFAIP3	0.002
TNFRSF12A	0.009
TNFSF10	0.014
TOR1B	0.0
TPM1	-0.007
TPM3	-0.046
TPM4	-0.028
TRA2B	-0.065
TRAFD1	-0.004
TRAM1	0.0
TRIM14	0.0
TRIM21	0.001
TRIM25	-0.001
TRIM26	-0.007
TRIM5	-0.001
TSC22D1	0.003
TSPAN1	0.048
TSPAN13	-0.005
TSPAN3	0.014
TSPO	-0.006
TSTD1	-0.003
TUBA1A	-0.066
TUBA1B	-0.245
TUBA1C	-0.102
TUBA4A	-0.022
TUBB	-0.203
TUBB4B	-0.041
TXNDC17	-0.039
TXNIP	0.007
TYMP	0.018
UBA7	0.012
UBE2L6	-0.034
UBE2S	-0.115
UCP2	-0.024
UPP1	0.001
UQCRFS1	-0.098
USP18	0.0
VAMP5	-0.006
VAMP8	0.001
VASP	-0.006
VDAC1	-0.055
VIM	-0.036
WAS	-0.054
WFDC2	0.043
WHAMM	0.005
XAF1	0.02
XBP1	0.0
YBX3	-0.004
YPEL3	-0.033
ZEB1	-0.035
ZFAS1	-0.045
ZFP36	0.023
ZFP36L1	0.028
ZFP36L2	0.003
ZNF706	-0.061
ZNFX1	0.005
