receiver	ligand	receptor	lr_class	axis	n_p_high	n_p_low	frac_q_high	frac_q_low
TNK	CXCL16	CXCR6	recruit_effector	CXCL16-CXCR6	62	62	0.5806451612903226	0.27419354838709675
TNK	CCL5	CCR5	recruit_effector	CCL5-CCR5	62	62	0.04838709677419355	0.04838709677419355
TNK	CCL5	CCR1	recruit_effector	CCL5-CCR1	63	63	0.047619047619047616	0.047619047619047616
TNK	CX3CL1	CX3CR1	recruit_effector	CX3CL1-CX3CR1	53	53	0.1509433962264151	0.07547169811320754
TNK	CCL2	CCR2	recruit_myeloid	CCL2-CCR2	52	52	0.038461538461538464	0.038461538461538464
TNK	CXCL8	CXCR2	recruit_myeloid	CXCL8-CXCR2	50	50	0.04	0.04
TNK	CXCL8	CXCR1	recruit_myeloid	CXCL8-CXCR1	37	37	0.0	0.0
TNK	CXCL1	CXCR2	recruit_myeloid	CXCL1-CXCR2	49	49	0.04081632653061224	0.04081632653061224
TNK	CXCL2	CXCR2	recruit_myeloid	CXCL2-CXCR2	50	50	0.04	0.04
TNK	CCL7	CCR2	recruit_myeloid	CCL7-CCR2	29	29	0.0	0.0
TNK	CCL3	CCR1	recruit_myeloid	CCL3-CCR1	63	63	0.047619047619047616	0.047619047619047616
TNK	CSF1	CSF1R	recruit_myeloid	CSF1-CSF1R	56	56	0.07142857142857142	0.07142857142857142
TNK	HLA-A	CD8A	mhc_cd8	HLA-A-CD8A	64	64	0.3125	0.09375
TNK	HLA-B	CD8A	mhc_cd8	HLA-B-CD8A	64	64	0.265625	0.109375
TNK	HLA-C	CD8A	mhc_cd8	HLA-C-CD8A	64	64	0.328125	0.109375
TNK	CXCL12	CXCR4	ambiguous	CXCL12-CXCR4	38	38	0.07894736842105263	0.05263157894736842
MYE	F11R	F11R	barrier_exclusion	F11R-F11R	64	64	0.453125	0.0625
MYE	F11R	ITGAL_ITGB2	barrier_exclusion	F11R-LFA1	63	63	0.5238095238095238	0.2222222222222222
MYE	NECTIN2	TIGIT	barrier_exclusion	NECTIN2-TIGIT	62	62	0.03225806451612903	0.03225806451612903
MYE	NECTIN2	CD96	barrier_exclusion	NECTIN2-CD96	62	62	0.04838709677419355	0.04838709677419355
MYE	PVR	TIGIT	barrier_exclusion	PVR-TIGIT	62	62	0.03225806451612903	0.03225806451612903
MYE	PVR	CD96	barrier_exclusion	PVR-CD96	62	62	0.04838709677419355	0.04838709677419355
MYE	CDH1	CDH1	barrier_exclusion	CDH1-CDH1	64	64	0.046875	0.046875
MYE	CDH1	ITGAE_ITGB7	barrier_exclusion	CDH1-integrin	63	63	0.4126984126984127	0.12698412698412698
MYE	CDH1	KLRG1	barrier_exclusion	CDH1-KLRG1	64	64	0.046875	0.046875
MYE	LGALS9	HAVCR2	barrier_exclusion	LGALS9-TIM3	64	64	0.3125	0.1875
MYE	LGALS9	CD44	barrier_exclusion	LGALS9-CD44	64	64	0.390625	0.21875
MYE	LGALS9	PTPRC	barrier_exclusion	LGALS9-CD45	64	64	0.421875	0.328125
MYE	CD274	PDCD1	barrier_exclusion	PDL1-PD1	56	56	0.03571428571428571	0.03571428571428571
MYE	PDCD1LG2	PDCD1	barrier_exclusion	PDL2-PD1	56	56	0.05357142857142857	0.05357142857142857
MYE	HLA-E	KLRC1_KLRD1	barrier_exclusion	HLA-E-NKG2A	45	45	0.0	0.0
MYE	CD47	SIRPA	barrier_exclusion	CD47-SIRPA	64	64	0.78125	0.40625
MYE	CD24	SIGLEC10	barrier_exclusion	CD24-SIGLEC10	64	64	0.609375	0.3125
MYE	TGFB1	TGFBR1_TGFBR2	barrier_exclusion	TGFB-TGFBR	63	63	0.06349206349206349	0.09523809523809523
MYE	MIF	CD74	barrier_exclusion	MIF-CD74	64	64	0.9375	0.890625
MYE	CXCL9	CXCR3	recruit_effector	CXCL9-CXCR3	56	56	0.03571428571428571	0.03571428571428571
MYE	CXCL10	CXCR3	recruit_effector	CXCL10-CXCR3	58	58	0.05172413793103448	0.05172413793103448
MYE	CXCL11	CXCR3	recruit_effector	CXCL11-CXCR3	56	56	0.05357142857142857	0.05357142857142857
MYE	CXCL16	CXCR6	recruit_effector	CXCL16-CXCR6	50	50	0.02	0.02
MYE	CCL5	CCR5	recruit_effector	CCL5-CCR5	64	64	0.046875	0.109375
MYE	CCL5	CCR1	recruit_effector	CCL5-CCR1	64	64	0.109375	0.21875
MYE	CX3CL1	CX3CR1	recruit_effector	CX3CL1-CX3CR1	56	56	0.21428571428571427	0.10714285714285714
MYE	CCL2	CCR2	recruit_myeloid	CCL2-CCR2	61	61	0.04918032786885246	0.04918032786885246
MYE	CXCL8	CXCR2	recruit_myeloid	CXCL8-CXCR2	59	59	0.05084745762711865	0.05084745762711865
MYE	CXCL8	CXCR1	recruit_myeloid	CXCL8-CXCR1	24	24	0.0	0.0
MYE	CXCL1	CXCR2	recruit_myeloid	CXCL1-CXCR2	59	59	0.05084745762711865	0.05084745762711865
MYE	CXCL2	CXCR2	recruit_myeloid	CXCL2-CXCR2	59	59	0.06779661016949153	0.05084745762711865
MYE	CCL7	CCR2	recruit_myeloid	CCL7-CCR2	54	54	0.037037037037037035	0.037037037037037035
MYE	CCL3	CCR1	recruit_myeloid	CCL3-CCR1	64	64	0.046875	0.046875
MYE	CSF1	CSF1R	recruit_myeloid	CSF1-CSF1R	64	64	0.375	0.234375
MYE	HLA-A	CD8A	mhc_cd8	HLA-A-CD8A	58	58	0.05172413793103448	0.05172413793103448
MYE	HLA-B	CD8A	mhc_cd8	HLA-B-CD8A	58	58	0.05172413793103448	0.05172413793103448
MYE	HLA-C	CD8A	mhc_cd8	HLA-C-CD8A	58	58	0.05172413793103448	0.05172413793103448
MYE	CXCL12	CXCR4	ambiguous	CXCL12-CXCR4	56	56	0.05357142857142857	0.03571428571428571
