	geo_accession	title	source_name_ch1	characteristics_ch1	description	data_processing	cldn4_mas5	cd8a_mas5	tacstd2_mas5
GSM102138	GSM102138	LS-55	lung	Cancer	lung squamous carcinoma	Affymetrix Microarray Suite version 5.0	1208.2	332.8	11999.9
GSM102139	GSM102139	LS-57	lung	Cancer	lung squamous carcinoma	Affymetrix Microarray Suite version 5.0	534.0	519.4	8510.5
GSM102140	GSM102140	LS-59	lung	Cancer	lung squamous carcinoma	Affymetrix Microarray Suite version 5.0	478.4	376.5	9883.3
GSM102141	GSM102141	LS-61	lung	Cancer	lung squamous carcinoma	Affymetrix Microarray Suite version 5.0	689.2	413.6	16417.0
GSM102142	GSM102142	LS-63	lung	Cancer	lung squamous carcinoma	Affymetrix Microarray Suite version 5.0	871.0	776.3	13997.0
GSM102143	GSM102143	LS-65	lung	Cancer	lung squamous carcinoma	Affymetrix Microarray Suite version 5.0	685.3	780.7	15273.8
GSM102144	GSM102144	LS-67	lung	Cancer	lung squamous carcinoma	Affymetrix Microarray Suite version 5.0	846.0	292.4	10716.6
GSM102145	GSM102145	LS-69	lung	Cancer	lung squamous carcinoma	Affymetrix Microarray Suite version 5.0	348.8	506.3	13669.0
GSM102146	GSM102146	LS-71	lung	Cancer	lung squamous carcinoma	Affymetrix Microarray Suite version 5.0	273.7	992.5	880.5
GSM102147	GSM102147	LS-73	lung	Cancer	lung squamous carcinoma	Affymetrix Microarray Suite version 5.0	840.9	329.0	8488.1
GSM102148	GSM102148	LS-75	lung	Cancer	lung squamous carcinoma	Affymetrix Microarray Suite version 5.0	1064.5	356.9	21997.1
GSM102149	GSM102149	LS-77	lung	Cancer	lung squamous carcinoma	Affymetrix Microarray Suite version 5.0	373.1	738.9	41642.7
GSM102150	GSM102150	LS-79	lung	Cancer	lung squamous carcinoma	Affymetrix Microarray Suite version 5.0	1145.7	566.0	10992.1
GSM102151	GSM102151	LS-81	lung	Cancer	lung squamous carcinoma	Affymetrix Microarray Suite version 5.0	1317.7	438.2	10653.1
GSM102152	GSM102152	LS-83	lung	Cancer	lung squamous carcinoma	Affymetrix Microarray Suite version 5.0	496.0	446.2	6702.7
GSM102153	GSM102153	LS-85	lung	Cancer	lung squamous carcinoma	Affymetrix Microarray Suite version 5.0	1850.9	746.7	10106.9
GSM102154	GSM102154	LS-87	lung	Cancer	lung squamous carcinoma	Affymetrix Microarray Suite version 5.0	413.5	428.8	11294.3
GSM102155	GSM102155	LS-89	lung	Cancer	lung squamous carcinoma	Affymetrix Microarray Suite version 5.0	920.5	346.8	11120.6
GSM102156	GSM102156	LS-91	lung	Cancer	lung squamous carcinoma	Affymetrix Microarray Suite version 5.0	61.8	531.5	7278.9
GSM102157	GSM102157	LS-95	lung	Cancer	lung squamous carcinoma	Affymetrix Microarray Suite version 5.0	551.9	241.2	6656.8
GSM102158	GSM102158	LS-97	lung	Cancer	lung squamous carcinoma	Affymetrix Microarray Suite version 5.0	646.6	583.6	1351.1
GSM102159	GSM102159	LS-99	lung	Cancer	lung squamous carcinoma	Affymetrix Microarray Suite version 5.0	982.7	402.5	15585.3
GSM102160	GSM102160	LS-101	lung	Cancer	lung squamous carcinoma	Affymetrix Microarray Suite version 5.0	604.1	441.1	8512.0
GSM102161	GSM102161	LS-103	lung	Cancer	lung squamous carcinoma	Affymetrix Microarray Suite version 5.0	463.0	483.2	140.6
GSM102162	GSM102162	LS-105	lung	Cancer	lung squamous carcinoma	Affymetrix Microarray Suite version 5.0	500.5	594.2	10347.2
GSM102163	GSM102163	LS-107	lung	Cancer	lung squamous carcinoma	Affymetrix Microarray Suite version 5.0	457.1	724.5	6453.2
GSM102164	GSM102164	LS-109	lung	Cancer	lung squamous carcinoma	Affymetrix Microarray Suite version 5.0	322.9	363.1	7900.6
GSM102165	GSM102165	LS-111	lung	Cancer	lung squamous carcinoma	Affymetrix Microarray Suite version 5.0	719.5	445.9	10999.3
GSM102166	GSM102166	LS-113	lung	Cancer	lung squamous carcinoma	Affymetrix Microarray Suite version 5.0	1342.7	537.6	4876.1
GSM102167	GSM102167	LS-115	lung	Cancer	lung squamous carcinoma	Affymetrix Microarray Suite version 5.0	636.5	400.1	14163.8
GSM102168	GSM102168	LS-117	lung	Cancer	lung squamous carcinoma	Affymetrix Microarray Suite version 5.0	935.0	365.9	8659.6
GSM102169	GSM102169	LS-119	lung	Cancer	lung squamous carcinoma	Affymetrix Microarray Suite version 5.0	886.7	537.9	15355.8
GSM102170	GSM102170	LS-121	lung	Cancer	lung squamous carcinoma	Affymetrix Microarray Suite version 5.0	425.7	167.7	7480.9
GSM102171	GSM102171	LS-123	lung	Cancer	lung squamous carcinoma	Affymetrix Microarray Suite version 5.0	875.1	608.6	3424.2
GSM102172	GSM102172	LS-125	lung	Cancer	lung squamous carcinoma	Affymetrix Microarray Suite version 5.0	1438.7	840.3	14625.8
GSM102173	GSM102173	LS-127	lung	Cancer	lung squamous carcinoma	Affymetrix Microarray Suite version 5.0	825.5	394.5	7488.5
GSM102174	GSM102174	LS-129	lung	Cancer	lung squamous carcinoma	Affymetrix Microarray Suite version 5.0	863.0	562.2	4955.6
GSM102175	GSM102175	LS-131	lung	Cancer	lung squamous carcinoma	Affymetrix Microarray Suite version 5.0	1924.9	543.3	3197.5
GSM102176	GSM102176	LS-133	lung	Cancer	lung squamous carcinoma	Affymetrix Microarray Suite version 5.0	1088.9	500.5	2978.2
GSM102177	GSM102177	LS-135	lung	Cancer	lung squamous carcinoma	Affymetrix Microarray Suite version 5.0	688.2	664.3	5791.6
GSM102178	GSM102178	LS-139	lung	Cancer	lung squamous carcinoma	Affymetrix Microarray Suite version 5.0	578.6	524.0	11138.5
GSM102179	GSM102179	LS-2	lung	Cancer	lung squamous carcinoma	Affymetrix Microarray Suite version 5.0	503.3	386.0	7164.3
GSM102180	GSM102180	LS-6	lung	Cancer	lung squamous carcinoma	Affymetrix Microarray Suite version 5.0	793.6	460.8	7968.4
GSM102181	GSM102181	LS-8	lung	Cancer	lung squamous carcinoma	Affymetrix Microarray Suite version 5.0	333.2	699.7	7774.1
GSM102182	GSM102182	LS-10	lung	Cancer	lung squamous carcinoma	Affymetrix Microarray Suite version 5.0	67.8	478.8	91.2
GSM102183	GSM102183	LS-12	lung	Cancer	lung squamous carcinoma	Affymetrix Microarray Suite version 5.0	275.5	746.8	13158.2
GSM102184	GSM102184	LS-14	lung	Cancer	lung squamous carcinoma	Affymetrix Microarray Suite version 5.0	435.2	317.7	13334.3
GSM102185	GSM102185	LS-16	lung	Cancer	lung squamous carcinoma	Affymetrix Microarray Suite version 5.0	728.1	776.3	4836.5
GSM102186	GSM102186	LS-18	lung	Cancer	lung squamous carcinoma	Affymetrix Microarray Suite version 5.0	247.4	396.3	1481.9
GSM102187	GSM102187	LS-20	lung	Cancer	lung squamous carcinoma	Affymetrix Microarray Suite version 5.0	1186.3	478.2	11222.5
GSM102188	GSM102188	LS-22	lung	Cancer	lung squamous carcinoma	Affymetrix Microarray Suite version 5.0	544.6	401.5	9246.6
GSM102189	GSM102189	LS-24	lung	Cancer	lung squamous carcinoma	Affymetrix Microarray Suite version 5.0	434.0	276.6	6971.2
GSM102190	GSM102190	LS-26	lung	Cancer	lung squamous carcinoma	Affymetrix Microarray Suite version 5.0	1042.9	384.4	1698.7
GSM102191	GSM102191	LS-28	lung	Cancer	lung squamous carcinoma	Affymetrix Microarray Suite version 5.0	921.1	464.9	16414.7
GSM102192	GSM102192	LS-30	lung	Cancer	lung squamous carcinoma	Affymetrix Microarray Suite version 5.0	555.6	642.9	944.3
GSM102193	GSM102193	LS-32	lung	Cancer	lung squamous carcinoma	Affymetrix Microarray Suite version 5.0	514.6	312.4	10701.0
GSM102194	GSM102194	LS-34	lung	Cancer	lung squamous carcinoma	Affymetrix Microarray Suite version 5.0	1085.4	260.1	6494.1
GSM102195	GSM102195	LS-36	lung	Cancer	lung squamous carcinoma	Affymetrix Microarray Suite version 5.0	252.8	404.7	10864.2
GSM102196	GSM102196	LS-38	lung	Cancer	lung squamous carcinoma	Affymetrix Microarray Suite version 5.0	395.9	811.4	1866.7
GSM102197	GSM102197	LS-40	lung	Cancer	lung squamous carcinoma	Affymetrix Microarray Suite version 5.0	1721.8	478.6	14658.3
GSM102198	GSM102198	LS-42	lung	Cancer	lung squamous carcinoma	Affymetrix Microarray Suite version 5.0	939.2	581.9	7272.7
GSM102199	GSM102199	LS-44	lung	Cancer	lung squamous carcinoma	Affymetrix Microarray Suite version 5.0	1508.2	872.4	7028.9
GSM102200	GSM102200	LS-46	lung	Cancer	lung squamous carcinoma	Affymetrix Microarray Suite version 5.0	255.6	596.9	3249.9
GSM102201	GSM102201	LS-48	lung	Cancer	lung squamous carcinoma	Affymetrix Microarray Suite version 5.0	1226.9	420.8	3361.7
GSM102202	GSM102202	LS-50	lung	Cancer	lung squamous carcinoma	Affymetrix Microarray Suite version 5.0	196.4	320.9	852.1
GSM102203	GSM102203	LS-52	lung	Cancer	lung squamous carcinoma	Affymetrix Microarray Suite version 5.0	1250.2	533.1	6974.5
GSM102204	GSM102204	LS-54	lung	Cancer	lung squamous carcinoma	Affymetrix Microarray Suite version 5.0	442.6	547.9	3750.0
GSM102205	GSM102205	LS-56	lung	Cancer	lung squamous carcinoma	Affymetrix Microarray Suite version 5.0	1146.5	740.8	14210.6
GSM102206	GSM102206	LS-58	lung	Cancer	lung squamous carcinoma	Affymetrix Microarray Suite version 5.0	2229.6	337.5	11939.8
GSM102207	GSM102207	LS-60	lung	Cancer	lung squamous carcinoma	Affymetrix Microarray Suite version 5.0	555.4	304.1	18298.3
GSM102208	GSM102208	LS-62	lung	Cancer	lung squamous carcinoma	Affymetrix Microarray Suite version 5.0	685.9	227.8	8818.6
GSM102209	GSM102209	LS-64	lung	Cancer	lung squamous carcinoma	Affymetrix Microarray Suite version 5.0	800.1	786.9	16763.0
GSM102210	GSM102210	LS-66	lung	Cancer	lung squamous carcinoma	Affymetrix Microarray Suite version 5.0	392.8	678.7	5114.2
GSM102211	GSM102211	LS-68	lung	Cancer	lung squamous carcinoma	Affymetrix Microarray Suite version 5.0	560.2	871.0	3175.5
GSM102212	GSM102212	LS-70	lung	Cancer	lung squamous carcinoma	Affymetrix Microarray Suite version 5.0	1077.9	559.8	11602.4
GSM102213	GSM102213	LS-72	lung	Cancer	lung squamous carcinoma	Affymetrix Microarray Suite version 5.0	249.1	533.5	556.6
GSM102214	GSM102214	LS-74	lung	Cancer	lung squamous carcinoma	Affymetrix Microarray Suite version 5.0	1041.0	436.5	11402.5
GSM102215	GSM102215	LS-78	lung	Cancer	lung squamous carcinoma	Affymetrix Microarray Suite version 5.0	306.8	499.4	4654.2
GSM102216	GSM102216	LS-80	lung	Cancer	lung squamous carcinoma	Affymetrix Microarray Suite version 5.0	847.0	457.0	13269.9
GSM102217	GSM102217	LS-82	lung	Cancer	lung squamous carcinoma	Affymetrix Microarray Suite version 5.0	972.4	713.8	7183.1
GSM102218	GSM102218	LS-86	lung	Cancer	lung squamous carcinoma	Affymetrix Microarray Suite version 5.0	481.0	354.2	6469.8
GSM102219	GSM102219	LS-88	lung	Cancer	lung squamous carcinoma	Affymetrix Microarray Suite version 5.0	664.4	504.6	7783.6
GSM102220	GSM102220	LS-90	lung	Cancer	lung squamous carcinoma	Affymetrix Microarray Suite version 5.0	794.1	230.8	4500.9
GSM102221	GSM102221	LS-92	lung	Cancer	lung squamous carcinoma	Affymetrix Microarray Suite version 5.0	789.5	545.2	1384.3
GSM102222	GSM102222	LS-94	lung	Cancer	lung squamous carcinoma	Affymetrix Microarray Suite version 5.0	783.4	743.9	6185.9
GSM102223	GSM102223	LS-96	lung	Cancer	lung squamous carcinoma	Affymetrix Microarray Suite version 5.0	2354.8	408.7	11834.5
GSM102224	GSM102224	LS-98	lung	Cancer	lung squamous carcinoma	Affymetrix Microarray Suite version 5.0	335.2	570.2	3833.6
GSM102225	GSM102225	LS-100	lung	Cancer	lung squamous carcinoma	Affymetrix Microarray Suite version 5.0	323.0	833.5	1959.8
GSM102226	GSM102226	LS-102	lung	Cancer	lung squamous carcinoma	Affymetrix Microarray Suite version 5.0	470.7	1258.3	11265.6
GSM102227	GSM102227	LS-104	lung	Cancer	lung squamous carcinoma	Affymetrix Microarray Suite version 5.0	878.3	584.4	6443.7
GSM102228	GSM102228	LS-106	lung	Cancer	lung squamous carcinoma	Affymetrix Microarray Suite version 5.0	886.9	635.3	11763.7
GSM102229	GSM102229	LS-108	lung	Cancer	lung squamous carcinoma	Affymetrix Microarray Suite version 5.0	936.0	490.8	10481.2
GSM102230	GSM102230	LS-114	lung	Cancer	lung squamous carcinoma	Affymetrix Microarray Suite version 5.0	1327.7	733.2	9642.9
GSM102231	GSM102231	LS-116	lung	Cancer	lung squamous carcinoma	Affymetrix Microarray Suite version 5.0	498.8	662.0	13246.0
GSM102232	GSM102232	LS-118	lung	Cancer	lung squamous carcinoma	Affymetrix Microarray Suite version 5.0	308.8	496.9	7320.2
GSM102233	GSM102233	LS-120	lung	Cancer	lung squamous carcinoma	Affymetrix Microarray Suite version 5.0	705.0	657.8	2593.9
GSM102234	GSM102234	LS-122	lung	Cancer	lung squamous carcinoma	Affymetrix Microarray Suite version 5.0	1297.3	324.2	14457.4
GSM102235	GSM102235	LS-124	lung	Cancer	lung squamous carcinoma	Affymetrix Microarray Suite version 5.0	255.4	357.8	3899.2
GSM102236	GSM102236	LS-126	lung	Cancer	lung squamous carcinoma	Affymetrix Microarray Suite version 5.0	438.5	764.9	4551.5
GSM102237	GSM102237	LS-128	lung	Cancer	lung squamous carcinoma	Affymetrix Microarray Suite version 5.0	263.1	930.7	343.3
GSM102238	GSM102238	LS-130	lung	Cancer	lung squamous carcinoma	Affymetrix Microarray Suite version 5.0	1551.1	924.0	6781.7
GSM102239	GSM102239	LS-132	lung	Cancer	lung squamous carcinoma	Affymetrix Microarray Suite version 5.0	515.3	558.6	173.2
GSM102240	GSM102240	LS-134	lung	Cancer	lung squamous carcinoma	Affymetrix Microarray Suite version 5.0	874.3	736.9	3950.2
GSM102241	GSM102241	LS-136	lung	Cancer	lung squamous carcinoma	Affymetrix Microarray Suite version 5.0	147.4	1006.1	1461.8
GSM102242	GSM102242	LS-138	lung	Cancer	lung squamous carcinoma	Affymetrix Microarray Suite version 5.0	393.9	315.5	6904.3
GSM102243	GSM102243	LS-140	lung	Cancer	lung squamous carcinoma	Affymetrix Microarray Suite version 5.0	299.9	738.2	6261.9
