cohort	strict_luad	n_cohort	platform	endpoint	endpoint_family	n_genes	genes_used	subset	covariate_class	covariate_name	n	rho	p	story_negative	primary_family	eligible_max	q_primary
OncoSG	True	169	cBioPortal z-score RSEM	CD8A_CD8B_zmean	CD8	2	CD8A,CD8B	high_tumor	none	none	87	-0.4334584821754027	2.743401334871489e-05	True	True	True	0.00019042432794990336
OncoSG	True	169	cBioPortal z-score RSEM	CD8A_CD8B_zmean	CD8	2	CD8A,CD8B	high_tumor	composition	published_PURITY	87	-0.325461474083426	0.002230055904628174	True	True	True	0.008228613092802366
OncoSG	True	169	cBioPortal z-score RSEM	cytotoxic6_zmean	CD8	6	CD8A,GZMA,GZMB,PRF1,NKG7,GNLY	all	none	none	169	-0.41095917657003633	2.856832582289774e-08	True	True	True	1.123687482367311e-06
OncoSG	True	169	cBioPortal z-score RSEM	cytotoxic6_zmean	CD8	6	CD8A,GZMA,GZMB,PRF1,NKG7,GNLY	all	composition	published_PURITY	169	-0.3451654504460709	4.603929512601455e-06	True	True	True	4.346109459895773e-05
OncoSG	True	169	cBioPortal z-score RSEM	cytotoxic6_zmean	CD8	6	CD8A,GZMA,GZMB,PRF1,NKG7,GNLY	high_tumor	none	none	87	-0.43803309761609677	2.204701102130746e-05	True	True	True	0.00016916019522612806
OncoSG	True	169	cBioPortal z-score RSEM	cytotoxic6_zmean	CD8	6	CD8A,GZMA,GZMB,PRF1,NKG7,GNLY	high_tumor	composition	published_PURITY	87	-0.3187910305152147	0.0027756149302742956	True	True	True	0.009924926114314147
OncoSG	True	169	cBioPortal z-score RSEM	immune8_zmean	ImmuneScore	8	CD8A,GZMA,GZMB,IFNG,EOMES,CXCL9,CXCL10,TBX21	all	none	none	169	-0.3872333548804137	1.9818179340487578e-07	True	True	True	4.677090324355068e-06
OncoSG	True	169	cBioPortal z-score RSEM	immune8_zmean	ImmuneScore	8	CD8A,GZMA,GZMB,IFNG,EOMES,CXCL9,CXCL10,TBX21	all	composition	published_PURITY	169	-0.3177689432608658	2.700924161461279e-05	True	True	True	0.00019042432794990336
OncoSG	True	169	cBioPortal z-score RSEM	immune8_zmean	ImmuneScore	8	CD8A,GZMA,GZMB,IFNG,EOMES,CXCL9,CXCL10,TBX21	high_tumor	none	none	87	-0.43429685791353784	2.636283175311268e-05	True	True	True	0.00019042432794990336
OncoSG	True	169	cBioPortal z-score RSEM	immune8_zmean	ImmuneScore	8	CD8A,GZMA,GZMB,IFNG,EOMES,CXCL9,CXCL10,TBX21	high_tumor	composition	published_PURITY	87	-0.32096189943654213	0.0025861849747857383	True	True	True	0.009389840831529758
OncoSG	True	169	cBioPortal z-score RSEM	immune8_deposited_mean	ImmuneScoreAnchor	8	CD8A,GZMA,GZMB,IFNG,EOMES,CXCL9,CXCL10,TBX21	all	none	none	169	-0.3872333548804137	1.9818179340487578e-07	True	False	False	
OncoSG	True	169	cBioPortal z-score RSEM	immune8_deposited_mean	ImmuneScoreAnchor	8	CD8A,GZMA,GZMB,IFNG,EOMES,CXCL9,CXCL10,TBX21	all	composition	published_PURITY	169	-0.3177689432608658	2.700924161461279e-05	True	False	False	
OncoSG	True	169	cBioPortal z-score RSEM	immune8_deposited_mean	ImmuneScoreAnchor	8	CD8A,GZMA,GZMB,IFNG,EOMES,CXCL9,CXCL10,TBX21	high_tumor	none	none	87	-0.43429685791353784	2.636283175311268e-05	True	False	False	
OncoSG	True	169	cBioPortal z-score RSEM	immune8_deposited_mean	ImmuneScoreAnchor	8	CD8A,GZMA,GZMB,IFNG,EOMES,CXCL9,CXCL10,TBX21	high_tumor	composition	published_PURITY	87	-0.32096189943654213	0.0025861849747857383	True	False	False	
OncoSG	True	169	cBioPortal z-score RSEM	ayers_gep18_zmean	GEP18_companion	17	CD27,CD274,CD276,CD8A,CMKLR1,CXCL9,CXCR6,HLA-DQA1,HLA-DRB1,HLA-E,IDO1,LAG3,NKG7,PDCD1LG2,PSMB10,STAT1,TIGIT	all	none	none	169	-0.41367410869673316	2.2666428565721818e-08	True	False	False	
OncoSG	True	169	cBioPortal z-score RSEM	ayers_gep18_zmean	GEP18_companion	17	CD27,CD274,CD276,CD8A,CMKLR1,CXCL9,CXCR6,HLA-DQA1,HLA-DRB1,HLA-E,IDO1,LAG3,NKG7,PDCD1LG2,PSMB10,STAT1,TIGIT	all	composition	published_PURITY	169	-0.34868954117947826	3.6214259128479746e-06	True	False	False	
OncoSG	True	169	cBioPortal z-score RSEM	ayers_gep18_zmean	GEP18_companion	17	CD27,CD274,CD276,CD8A,CMKLR1,CXCL9,CXCR6,HLA-DQA1,HLA-DRB1,HLA-E,IDO1,LAG3,NKG7,PDCD1LG2,PSMB10,STAT1,TIGIT	high_tumor	none	none	87	-0.43218269300867534	2.914231102067886e-05	True	False	False	
OncoSG	True	169	cBioPortal z-score RSEM	ayers_gep18_zmean	GEP18_companion	17	CD27,CD274,CD276,CD8A,CMKLR1,CXCL9,CXCR6,HLA-DQA1,HLA-DRB1,HLA-E,IDO1,LAG3,NKG7,PDCD1LG2,PSMB10,STAT1,TIGIT	high_tumor	composition	published_PURITY	87	-0.29175754287759437	0.006417937009515484	True	False	False	
GSE31210	True	226	GPL570 MAS5	CD8A	CD8	1	CD8A	all	none	none	226	-0.28946343872233704	9.756269255820285e-06	True	True	True	8.223141229905668e-05
GSE31210	True	226	GPL570 MAS5	CD8A	CD8	1	CD8A	all	composition	ESTIMATE_StromalScore	226	-0.19395299363612917	0.003490466102931105	True	True	True	0.0121139705925256
GSE31210	True	226	GPL570 MAS5	CD8A	CD8	1	CD8A	all	cosine_purity	ESTIMATE_cosine_TumorPurity	226	-0.10741829738288264	0.10806469480389407	True	True	True	0.19032289532626134
GSE31210	True	226	GPL570 MAS5	CD8A	CD8	1	CD8A	all	estimate_score	ESTIMATEScore_stromal_plus_immune	226	-0.10741829738288262	0.10806469480389415	True	True	True	0.19032289532626134
GSE31210	True	226	GPL570 MAS5	CD8A	CD8	1	CD8A	high_tumor	none	none	113	-0.21788708496905984	0.02043050822038426	True	True	True	0.04343783729739356
GSE31210	True	226	GPL570 MAS5	CD8A	CD8	1	CD8A	high_tumor	composition	ESTIMATE_StromalScore	113	-0.2265968580942237	0.016282921754346383	True	True	True	0.03921193402067088
GSE31210	True	226	GPL570 MAS5	CD8A	CD8	1	CD8A	high_tumor	cosine_purity	ESTIMATE_cosine_TumorPurity	113	-0.22290049121356464	0.018162185166339342	True	True	True	0.04121418941592389
GSE31210	True	226	GPL570 MAS5	CD8A	CD8	1	CD8A	high_tumor	estimate_score	ESTIMATEScore_stromal_plus_immune	113	-0.22290049121356464	0.018162185166339342	True	True	True	0.04121418941592389
GSE31210	True	226	GPL570 MAS5	CD8B	CD8	1	CD8B	all	none	none	226	-0.019341156290203113	0.7724466295562502	True	True	True	0.8558563595083335
GSE31210	True	226	GPL570 MAS5	CD8B	CD8	1	CD8B	all	composition	ESTIMATE_StromalScore	226	-0.05744024413163735	0.39116146181666156	True	True	True	0.5263292616079032
GSE31210	True	226	GPL570 MAS5	CD8B	CD8	1	CD8B	all	cosine_purity	ESTIMATE_cosine_TumorPurity	226	-0.05581808653275248	0.40469939613957184	True	True	True	0.5335701535694913
GSE31210	True	226	GPL570 MAS5	CD8B	CD8	1	CD8B	all	estimate_score	ESTIMATEScore_stromal_plus_immune	226	-0.055818086532752484	0.40469939613957173	True	True	True	0.5335701535694913
GSE31210	True	226	GPL570 MAS5	CD8B	CD8	1	CD8B	high_tumor	none	none	113	-0.07170304078781024	0.45042231150963835	True	True	True	0.5745927865744576
GSE31210	True	226	GPL570 MAS5	CD8B	CD8	1	CD8B	high_tumor	composition	ESTIMATE_StromalScore	113	-0.0764287967116021	0.42316359215487487	True	True	True	0.5517492140803893
GSE31210	True	226	GPL570 MAS5	CD8B	CD8	1	CD8B	high_tumor	cosine_purity	ESTIMATE_cosine_TumorPurity	113	-0.08460378651980305	0.3751277509889792	True	True	True	0.5147101699616227
GSE31210	True	226	GPL570 MAS5	CD8B	CD8	1	CD8B	high_tumor	estimate_score	ESTIMATEScore_stromal_plus_immune	113	-0.08460378651980306	0.37512775098897927	True	True	True	0.5147101699616227
GSE31210	True	226	GPL570 MAS5	CD8A_CD8B_zmean	CD8	2	CD8A,CD8B	all	none	none	226	-0.1793151664002703	0.00687806272034539	True	True	True	0.020198871322438382
GSE31210	True	226	GPL570 MAS5	CD8A_CD8B_zmean	CD8	2	CD8A,CD8B	all	composition	ESTIMATE_StromalScore	226	-0.15120448298685008	0.02329917728740179	True	True	True	0.04866022867103383
GSE31210	True	226	GPL570 MAS5	CD8A_CD8B_zmean	CD8	2	CD8A,CD8B	all	cosine_purity	ESTIMATE_cosine_TumorPurity	226	-0.08583612691298673	0.1995834377199471	True	True	True	0.3038818793671453
GSE31210	True	226	GPL570 MAS5	CD8A_CD8B_zmean	CD8	2	CD8A,CD8B	all	estimate_score	ESTIMATEScore_stromal_plus_immune	226	-0.08583612691298674	0.19958343771994697	True	True	True	0.3038818793671453
GSE31210	True	226	GPL570 MAS5	CD8A_CD8B_zmean	CD8	2	CD8A,CD8B	high_tumor	none	none	113	-0.2062179785747555	0.028425435670557626	True	True	True	0.057831058778031026
GSE31210	True	226	GPL570 MAS5	CD8A_CD8B_zmean	CD8	2	CD8A,CD8B	high_tumor	composition	ESTIMATE_StromalScore	113	-0.20523723923452067	0.02994441887362552	True	True	True	0.0604007081553472
GSE31210	True	226	GPL570 MAS5	CD8A_CD8B_zmean	CD8	2	CD8A,CD8B	high_tumor	cosine_purity	ESTIMATE_cosine_TumorPurity	113	-0.18857794404500067	0.04645495048929617	True	True	True	0.08841426060866045
GSE31210	True	226	GPL570 MAS5	CD8A_CD8B_zmean	CD8	2	CD8A,CD8B	high_tumor	estimate_score	ESTIMATEScore_stromal_plus_immune	113	-0.1885779440450007	0.04645495048929615	True	True	True	0.08841426060866045
GSE31210	True	226	GPL570 MAS5	cytotoxic6_zmean	CD8	6	CD8A,GZMA,GZMB,PRF1,NKG7,GNLY	all	none	none	226	-0.3458459059425884	9.504757870733856e-08	True	True	True	2.726986837376936e-06
GSE31210	True	226	GPL570 MAS5	cytotoxic6_zmean	CD8	6	CD8A,GZMA,GZMB,PRF1,NKG7,GNLY	all	composition	ESTIMATE_StromalScore	226	-0.2610166117183848	7.421614386120077e-05	True	True	True	0.00046104422656291765
GSE31210	True	226	GPL570 MAS5	cytotoxic6_zmean	CD8	6	CD8A,GZMA,GZMB,PRF1,NKG7,GNLY	all	cosine_purity	ESTIMATE_cosine_TumorPurity	226	-0.18612282112537107	0.005097494080885515	True	True	True	0.015623488351804955
GSE31210	True	226	GPL570 MAS5	cytotoxic6_zmean	CD8	6	CD8A,GZMA,GZMB,PRF1,NKG7,GNLY	all	estimate_score	ESTIMATEScore_stromal_plus_immune	226	-0.18612282112537107	0.005097494080885515	True	True	True	0.015623488351804955
GSE31210	True	226	GPL570 MAS5	cytotoxic6_zmean	CD8	6	CD8A,GZMA,GZMB,PRF1,NKG7,GNLY	high_tumor	none	none	113	-0.24386186705702312	0.009244301687258276	True	True	True	0.023974232947175312
GSE31210	True	226	GPL570 MAS5	cytotoxic6_zmean	CD8	6	CD8A,GZMA,GZMB,PRF1,NKG7,GNLY	high_tumor	composition	ESTIMATE_StromalScore	113	-0.2501155332521425	0.007821200474589642	True	True	True	0.02197384895241852
GSE31210	True	226	GPL570 MAS5	cytotoxic6_zmean	CD8	6	CD8A,GZMA,GZMB,PRF1,NKG7,GNLY	high_tumor	cosine_purity	ESTIMATE_cosine_TumorPurity	113	-0.24703647734790027	0.008642284140576443	True	True	True	0.023342333576759747
GSE31210	True	226	GPL570 MAS5	cytotoxic6_zmean	CD8	6	CD8A,GZMA,GZMB,PRF1,NKG7,GNLY	high_tumor	estimate_score	ESTIMATEScore_stromal_plus_immune	113	-0.24703647734790027	0.008642284140576443	True	True	True	0.023342333576759747
GSE31210	True	226	GPL570 MAS5	immune8_zmean	ImmuneScore	8	CD8A,GZMA,GZMB,IFNG,EOMES,CXCL9,CXCL10,TBX21	all	none	none	226	-0.3021496237963432	3.7335342264930513e-06	True	True	True	4.0050639884198184e-05
GSE31210	True	226	GPL570 MAS5	immune8_zmean	ImmuneScore	8	CD8A,GZMA,GZMB,IFNG,EOMES,CXCL9,CXCL10,TBX21	all	composition	ESTIMATE_StromalScore	226	-0.20803965285336068	0.001703286346530217	True	True	True	0.00658976357018248
GSE31210	True	226	GPL570 MAS5	immune8_zmean	ImmuneScore	8	CD8A,GZMA,GZMB,IFNG,EOMES,CXCL9,CXCL10,TBX21	all	cosine_purity	ESTIMATE_cosine_TumorPurity	226	-0.11722992116605858	0.0793089473584534	True	False	False	
GSE31210	True	226	GPL570 MAS5	immune8_zmean	ImmuneScore	8	CD8A,GZMA,GZMB,IFNG,EOMES,CXCL9,CXCL10,TBX21	all	estimate_score	ESTIMATEScore_stromal_plus_immune	226	-0.11722992116605856	0.07930894735845344	True	False	False	
GSE31210	True	226	GPL570 MAS5	immune8_zmean	ImmuneScore	8	CD8A,GZMA,GZMB,IFNG,EOMES,CXCL9,CXCL10,TBX21	high_tumor	none	none	113	-0.21648146915962477	0.02127748742010471	True	True	True	0.044834705635220636
GSE31210	True	226	GPL570 MAS5	immune8_zmean	ImmuneScore	8	CD8A,GZMA,GZMB,IFNG,EOMES,CXCL9,CXCL10,TBX21	high_tumor	composition	ESTIMATE_StromalScore	113	-0.22038707709870617	0.019544518816424182	True	True	True	0.042316572850239514
GSE31210	True	226	GPL570 MAS5	immune8_zmean	ImmuneScore	8	CD8A,GZMA,GZMB,IFNG,EOMES,CXCL9,CXCL10,TBX21	high_tumor	cosine_purity	ESTIMATE_cosine_TumorPurity	113	-0.2164449222165964	0.02189506186473496	True	False	False	
GSE31210	True	226	GPL570 MAS5	immune8_zmean	ImmuneScore	8	CD8A,GZMA,GZMB,IFNG,EOMES,CXCL9,CXCL10,TBX21	high_tumor	estimate_score	ESTIMATEScore_stromal_plus_immune	113	-0.21644492221659636	0.021895061864734996	True	False	False	
GSE31210	True	226	GPL570 MAS5	immune8_deposited_mean	ImmuneScoreAnchor	8	CD8A,GZMA,GZMB,IFNG,EOMES,CXCL9,CXCL10,TBX21	all	none	none	226	-0.20584980442607825	0.001865654225978775	True	False	False	
GSE31210	True	226	GPL570 MAS5	immune8_deposited_mean	ImmuneScoreAnchor	8	CD8A,GZMA,GZMB,IFNG,EOMES,CXCL9,CXCL10,TBX21	all	composition	ESTIMATE_StromalScore	226	-0.12338233453105683	0.06467585709688359	True	False	False	
GSE31210	True	226	GPL570 MAS5	immune8_deposited_mean	ImmuneScoreAnchor	8	CD8A,GZMA,GZMB,IFNG,EOMES,CXCL9,CXCL10,TBX21	all	cosine_purity	ESTIMATE_cosine_TumorPurity	226	-0.025687874745266667	0.7015453615271424	True	False	False	
GSE31210	True	226	GPL570 MAS5	immune8_deposited_mean	ImmuneScoreAnchor	8	CD8A,GZMA,GZMB,IFNG,EOMES,CXCL9,CXCL10,TBX21	all	estimate_score	ESTIMATEScore_stromal_plus_immune	226	-0.02568787474526671	0.701545361527142	True	False	False	
GSE31210	True	226	GPL570 MAS5	immune8_deposited_mean	ImmuneScoreAnchor	8	CD8A,GZMA,GZMB,IFNG,EOMES,CXCL9,CXCL10,TBX21	high_tumor	none	none	113	-0.16749284716215318	0.07619127225396226	True	False	False	
GSE31210	True	226	GPL570 MAS5	immune8_deposited_mean	ImmuneScoreAnchor	8	CD8A,GZMA,GZMB,IFNG,EOMES,CXCL9,CXCL10,TBX21	high_tumor	composition	ESTIMATE_StromalScore	113	-0.16738181898205914	0.07773241441386484	True	False	False	
GSE31210	True	226	GPL570 MAS5	immune8_deposited_mean	ImmuneScoreAnchor	8	CD8A,GZMA,GZMB,IFNG,EOMES,CXCL9,CXCL10,TBX21	high_tumor	cosine_purity	ESTIMATE_cosine_TumorPurity	113	-0.14424438349964694	0.1291756370488713	True	False	False	
GSE31210	True	226	GPL570 MAS5	immune8_deposited_mean	ImmuneScoreAnchor	8	CD8A,GZMA,GZMB,IFNG,EOMES,CXCL9,CXCL10,TBX21	high_tumor	estimate_score	ESTIMATEScore_stromal_plus_immune	113	-0.14424438349964697	0.1291756370488713	True	False	False	
GSE31210	True	226	GPL570 MAS5	ayers_gep18_zmean	GEP18_companion	18	CCL5,CD27,CD274,CD276,CD8A,CMKLR1,CXCL9,CXCR6,HLA-DQA1,HLA-DRB1,HLA-E,IDO1,LAG3,NKG7,PDCD1LG2,PSMB10,STAT1,TIGIT	all	none	none	226	-0.24759892401855677	0.00016970492736528126	True	False	False	
GSE31210	True	226	GPL570 MAS5	ayers_gep18_zmean	GEP18_companion	18	CCL5,CD27,CD274,CD276,CD8A,CMKLR1,CXCL9,CXCR6,HLA-DQA1,HLA-DRB1,HLA-E,IDO1,LAG3,NKG7,PDCD1LG2,PSMB10,STAT1,TIGIT	all	composition	ESTIMATE_StromalScore	226	-0.13096028906031257	0.04977172649761541	True	False	False	
GSE31210	True	226	GPL570 MAS5	ayers_gep18_zmean	GEP18_companion	18	CCL5,CD27,CD274,CD276,CD8A,CMKLR1,CXCL9,CXCR6,HLA-DQA1,HLA-DRB1,HLA-E,IDO1,LAG3,NKG7,PDCD1LG2,PSMB10,STAT1,TIGIT	all	cosine_purity	ESTIMATE_cosine_TumorPurity	226	-0.013008812763277857	0.8461339488560398	True	False	False	
GSE31210	True	226	GPL570 MAS5	ayers_gep18_zmean	GEP18_companion	18	CCL5,CD27,CD274,CD276,CD8A,CMKLR1,CXCL9,CXCR6,HLA-DQA1,HLA-DRB1,HLA-E,IDO1,LAG3,NKG7,PDCD1LG2,PSMB10,STAT1,TIGIT	all	estimate_score	ESTIMATEScore_stromal_plus_immune	226	-0.013008812763277856	0.8461339488560399	True	False	False	
GSE31210	True	226	GPL570 MAS5	ayers_gep18_zmean	GEP18_companion	18	CCL5,CD27,CD274,CD276,CD8A,CMKLR1,CXCL9,CXCR6,HLA-DQA1,HLA-DRB1,HLA-E,IDO1,LAG3,NKG7,PDCD1LG2,PSMB10,STAT1,TIGIT	high_tumor	none	none	113	-0.1484463370816422	0.11660875240584558	True	False	False	
GSE31210	True	226	GPL570 MAS5	ayers_gep18_zmean	GEP18_companion	18	CCL5,CD27,CD274,CD276,CD8A,CMKLR1,CXCL9,CXCR6,HLA-DQA1,HLA-DRB1,HLA-E,IDO1,LAG3,NKG7,PDCD1LG2,PSMB10,STAT1,TIGIT	high_tumor	composition	ESTIMATE_StromalScore	113	-0.15129476062502323	0.11130123575567269	True	False	False	
GSE31210	True	226	GPL570 MAS5	ayers_gep18_zmean	GEP18_companion	18	CCL5,CD27,CD274,CD276,CD8A,CMKLR1,CXCL9,CXCR6,HLA-DQA1,HLA-DRB1,HLA-E,IDO1,LAG3,NKG7,PDCD1LG2,PSMB10,STAT1,TIGIT	high_tumor	cosine_purity	ESTIMATE_cosine_TumorPurity	113	-0.12494737421768815	0.18930602873903857	True	False	False	
GSE31210	True	226	GPL570 MAS5	ayers_gep18_zmean	GEP18_companion	18	CCL5,CD27,CD274,CD276,CD8A,CMKLR1,CXCL9,CXCR6,HLA-DQA1,HLA-DRB1,HLA-E,IDO1,LAG3,NKG7,PDCD1LG2,PSMB10,STAT1,TIGIT	high_tumor	estimate_score	ESTIMATEScore_stromal_plus_immune	113	-0.12494737421768817	0.1893060287390384	True	False	False	
GSE31210	True	226	GPL570 MAS5	estimate_immune141	ImmuneScore	138	Yoshihara_Immune141_present_138_of_141	all	none	none	226	-0.30607617636739304	2.7476117168727572e-06	True	True	True	3.0877922151522415e-05
GSE31210	True	226	GPL570 MAS5	estimate_immune141	ImmuneScore	138	Yoshihara_Immune141_present_138_of_141	all	composition	ESTIMATE_StromalScore	226	-0.15700969461057224	0.018439966200939722	True	True	True	0.041446019270683566
GSE31210	True	226	GPL570 MAS5	estimate_immune141	ImmuneScore	138	Yoshihara_Immune141_present_138_of_141	all	cosine_purity	ESTIMATE_cosine_TumorPurity	226	-0.022667730025736407	0.7352384084461319	True	False	False	
GSE31210	True	226	GPL570 MAS5	estimate_immune141	ImmuneScore	138	Yoshihara_Immune141_present_138_of_141	all	estimate_score	ESTIMATEScore_stromal_plus_immune	226	-0.0226677300257364	0.735238408446132	True	False	False	
GSE31210	True	226	GPL570 MAS5	estimate_immune141	ImmuneScore	138	Yoshihara_Immune141_present_138_of_141	high_tumor	none	none	113	-0.12534100738572096	0.1859012318918546	True	True	True	0.2905476207051502
GSE31210	True	226	GPL570 MAS5	estimate_immune141	ImmuneScore	138	Yoshihara_Immune141_present_138_of_141	high_tumor	composition	ESTIMATE_StromalScore	113	-0.13810560828040017	0.14646153748546376	True	True	True	0.23674604689431128
GSE31210	True	226	GPL570 MAS5	estimate_immune141	ImmuneScore	138	Yoshihara_Immune141_present_138_of_141	high_tumor	cosine_purity	ESTIMATE_cosine_TumorPurity	113	-0.12059893954091529	0.20529491055604063	True	False	False	
GSE31210	True	226	GPL570 MAS5	estimate_immune141	ImmuneScore	138	Yoshihara_Immune141_present_138_of_141	high_tumor	estimate_score	ESTIMATEScore_stromal_plus_immune	113	-0.12059893954091529	0.20529491055604063	True	False	False	
GSE72094	True	442	GPL15048 HuRSTA	CD8A	CD8	1	CD8A	all	none	none	442	-0.22719754525860025	1.3910196837496416e-06	True	True	True	1.9258121789900868e-05
GSE72094	True	442	GPL15048 HuRSTA	CD8A	CD8	1	CD8A	all	composition	ESTIMATE_StromalScore	442	-0.15272434276979063	0.0012953845533028173	True	True	True	0.0052708750789562915
GSE72094	True	442	GPL15048 HuRSTA	CD8A	CD8	1	CD8A	all	cosine_purity	ESTIMATE_cosine_TumorPurity	442	-0.08425783118455028	0.07713837571410684	True	True	True	0.1433437532955056
GSE72094	True	442	GPL15048 HuRSTA	CD8A	CD8	1	CD8A	all	estimate_score	ESTIMATEScore_stromal_plus_immune	442	-0.08425783118455028	0.07713837571410684	True	True	True	0.1433437532955056
GSE72094	True	442	GPL15048 HuRSTA	CD8A	CD8	1	CD8A	high_tumor	none	none	221	-0.06005203064026592	0.37428413504222263	True	True	True	0.5147101699616227
GSE72094	True	442	GPL15048 HuRSTA	CD8A	CD8	1	CD8A	high_tumor	composition	ESTIMATE_StromalScore	221	-0.024000160962900637	0.723336638263792	True	True	True	0.8207088780300716
GSE72094	True	442	GPL15048 HuRSTA	CD8A	CD8	1	CD8A	high_tumor	cosine_purity	ESTIMATE_cosine_TumorPurity	221	-0.026382588000981352	0.6971610868550165	True	True	True	0.7948309975738352
GSE72094	True	442	GPL15048 HuRSTA	CD8A	CD8	1	CD8A	high_tumor	estimate_score	ESTIMATEScore_stromal_plus_immune	221	-0.026382588000981373	0.6971610868550162	True	True	True	0.7948309975738352
GSE72094	True	442	GPL15048 HuRSTA	CD8B	CD8	1	CD8B	all	none	none	442	-0.20561857009645862	1.316845423960998e-05	True	True	True	0.00010716397243268812
GSE72094	True	442	GPL15048 HuRSTA	CD8B	CD8	1	CD8B	all	composition	ESTIMATE_StromalScore	442	-0.1375819108045157	0.0037940284279863764	True	True	True	0.012827272994981558
GSE72094	True	442	GPL15048 HuRSTA	CD8B	CD8	1	CD8B	all	cosine_purity	ESTIMATE_cosine_TumorPurity	442	-0.07153252404375443	0.1336554842740446	True	True	True	0.22057828173898272
GSE72094	True	442	GPL15048 HuRSTA	CD8B	CD8	1	CD8B	all	estimate_score	ESTIMATEScore_stromal_plus_immune	442	-0.07153252404375443	0.1336554842740446	True	True	True	0.22057828173898272
GSE72094	True	442	GPL15048 HuRSTA	CD8B	CD8	1	CD8B	high_tumor	none	none	221	-0.041915794856971327	0.5353486912227503	True	True	True	0.6720334634498355
GSE72094	True	442	GPL15048 HuRSTA	CD8B	CD8	1	CD8B	high_tumor	composition	ESTIMATE_StromalScore	221	-0.014068145613852183	0.8356304150224072	True	True	True	0.8964035361149458
GSE72094	True	442	GPL15048 HuRSTA	CD8B	CD8	1	CD8B	high_tumor	cosine_purity	ESTIMATE_cosine_TumorPurity	221	-0.009887213149297394	0.8840641163068071	True	True	True	0.9356014863157242
GSE72094	True	442	GPL15048 HuRSTA	CD8B	CD8	1	CD8B	high_tumor	estimate_score	ESTIMATEScore_stromal_plus_immune	221	-0.009887213149297415	0.8840641163068069	True	True	True	0.9356014863157242
GSE72094	True	442	GPL15048 HuRSTA	CD8A_CD8B_zmean	CD8	2	CD8A,CD8B	all	none	none	442	-0.2222795158889757	2.369012665783805e-06	True	True	True	2.7954349456248898e-05
GSE72094	True	442	GPL15048 HuRSTA	CD8A_CD8B_zmean	CD8	2	CD8A,CD8B	all	composition	ESTIMATE_StromalScore	442	-0.15041238161171566	0.001536315331214417	True	True	True	0.006042840302776706
GSE72094	True	442	GPL15048 HuRSTA	CD8A_CD8B_zmean	CD8	2	CD8A,CD8B	all	cosine_purity	ESTIMATE_cosine_TumorPurity	442	-0.08274376355272832	0.08262313613916741	True	True	True	0.1511555048747559
GSE72094	True	442	GPL15048 HuRSTA	CD8A_CD8B_zmean	CD8	2	CD8A,CD8B	all	estimate_score	ESTIMATEScore_stromal_plus_immune	442	-0.08274376355272836	0.08262313613916726	True	True	True	0.1511555048747559
GSE72094	True	442	GPL15048 HuRSTA	CD8A_CD8B_zmean	CD8	2	CD8A,CD8B	high_tumor	none	none	221	-0.050371885666003306	0.45623634730228224	True	True	True	0.5788805266846162
GSE72094	True	442	GPL15048 HuRSTA	CD8A_CD8B_zmean	CD8	2	CD8A,CD8B	high_tumor	composition	ESTIMATE_StromalScore	221	-0.017582256618775566	0.7953872496450988	True	True	True	0.8690342172048302
