subset	score	adjustment	gene	k	N	rho	p	I2	ci_lo	ci_hi
author	pct	KRT	EPCAM	2	43	-0.352499	0.029342	0	-0.604111	-0.0369775
author	pct	KRT	MUC1	2	43	-0.00185372	0.994572	0.614989	-0.489932	0.48711
author	pct	KRT1819	CLDN1	2	43	0.226979	0.171742	0	-0.0999632	0.509684
author	pct	KRT1819	CLDN4	2	43	-0.500761	0.00113096	0	-0.707231	-0.215584
author	pct	KRT1819	CLDN7	2	43	-0.331306	0.45528	0.865524	-0.847749	0.507613
author	pct	KRT1819	EPCAM	2	43	-0.37119	0.0211049	0	-0.617592	-0.0584353
author	pct	KRT1819	MUC1	2	43	-0.00076916	0.997864	0.653553	-0.510818	0.50968
author	mean	none	CLDN1	2	43	0.193884	0.232293	0	-0.125192	0.476613
author	mean	none	CLDN4	2	43	-0.283956	0.075726	0	-0.547078	0.0302333
author	mean	none	CLDN7	2	43	-0.155461	0.717594	0.855977	-0.764143	0.599671
author	mean	none	EPCAM	2	43	-0.14063	0.389169	0	-0.433168	0.178714
author	mean	none	MUC1	2	43	0.0754622	0.816984	0.746601	-0.511471	0.614383
author	mean	KRT	CLDN1	2	43	0.28166	0.0867834	0	-0.0417914	0.551674
author	mean	KRT	CLDN4	2	43	-0.320236	0.0495755	0	-0.580496	-0.000610025
author	mean	KRT	CLDN7	2	43	-0.19823	0.678893	0.878573	-0.818421	0.635291
author	mean	KRT	EPCAM	2	43	-0.161874	0.333966	0	-0.457868	0.166428
author	mean	KRT	MUC1	2	43	0.0891741	0.762131	0.672328	-0.453871	0.583918
author	mean	KRT1819	CLDN1	2	43	0.26405	0.109588	0	-0.0607681	0.538299
author	mean	KRT1819	CLDN4	2	43	-0.326182	0.0451898	0	-0.584881	-0.00724854
author	mean	KRT1819	CLDN7	2	43	-0.191284	0.706353	0.891786	-0.834019	0.671711
author	mean	KRT1819	EPCAM	2	43	-0.175258	0.294798	0	-0.468687	0.153003
author	mean	KRT1819	MUC1	2	43	0.0840756	0.790427	0.715664	-0.490915	0.608045
marker	pct	none	CLDN1	2	22	0.13619	0.583578	0	-0.338997	0.556012
marker	pct	none	CLDN4	2	22	-0.63795	0.00253747	0	-0.846793	-0.258695
marker	pct	none	CLDN7	2	22	-0.610463	0.00510296	0.0236782	-0.835578	-0.209816
marker	pct	none	EPCAM	2	22	-0.610922	0.0200014	0.306572	-0.864002	-0.1114
marker	pct	none	MUC1	2	22	-0.687441	0.000745291	0	-0.870002	-0.339111
marker	pct	KRT	CLDN1	2	22	0.181993	0.491059	0	-0.327289	0.609343
marker	pct	KRT	CLDN4	2	22	-0.422358	0.0918278	0	-0.750627	0.0731432
marker	pct	KRT	CLDN7	2	22	-0.385044	0.128764	0	-0.730501	0.117321
marker	pct	KRT	EPCAM	2	22	-0.405786	0.107181	0	-0.741763	0.0930067
marker	pct	KRT	MUC1	2	22	-0.632592	0.0052667	0	-0.853678	-0.218323
marker	pct	KRT1819	CLDN1	2	22	0.184996	0.483769	0	-0.324512	0.611293
marker	pct	KRT1819	CLDN4	2	22	-0.432599	0.0831449	0	-0.756047	0.0606677
marker	pct	KRT1819	CLDN7	2	22	-0.343817	0.179899	0	-0.707543	0.163925
marker	pct	KRT1819	EPCAM	2	22	-0.399565	0.113373	0	-0.738405	0.100362
marker	pct	KRT1819	MUC1	2	22	-0.591484	0.0109552	0	-0.834803	-0.154858
marker	mean	none	CLDN1	2	22	0.157545	0.52512	0	-0.319537	0.570908
marker	mean	none	CLDN4	2	22	-0.60637	0.00491363	0	-0.831557	-0.20999
marker	mean	none	CLDN7	2	22	-0.577178	0.145073	0.675429	-0.91272	0.223314
marker	mean	none	EPCAM	2	22	-0.540461	0.178074	0.671688	-0.902408	0.268669
marker	mean	none	MUC1	2	22	-0.660816	0.0113972	0.341743	-0.88739	-0.177124
marker	mean	KRT	CLDN1	2	22	0.196662	0.455936	0	-0.313637	0.61882
marker	mean	KRT	CLDN4	2	22	-0.38026	0.134128	0	-0.727876	0.122845
marker	mean	KRT	CLDN7	2	22	-0.314357	0.394759	0.479686	-0.791243	0.400295
marker	mean	KRT	EPCAM	2	22	-0.301928	0.333864	0.283469	-0.736924	0.309901
marker	mean	KRT	MUC1	2	22	-0.570526	0.0152778	0	-0.824955	-0.123832
marker	mean	KRT1819	CLDN1	2	22	0.201947	0.443588	0	-0.308666	0.622204
marker	mean	KRT1819	CLDN4	2	22	-0.343601	0.180196	0	-0.707421	0.164163
marker	mean	KRT1819	CLDN7	2	22	-0.248943	0.59422	0.661815	-0.83053	0.592345
marker	mean	KRT1819	EPCAM	2	22	-0.249618	0.529311	0.53505	-0.781629	0.492634
marker	mean	KRT1819	MUC1	2	22	-0.514435	0.0333338	0	-0.797816	-0.0448803
