dataset	score	adjustment	gene	n	rho	p
GSE131907	mean	none	CLDN4	21	-0.396104	0.0754764
GSE205335	mean	none	CLDN4	22	-0.16996	0.449542
GSE189357	mean	none	CLDN4	9	-0.516667	0.15439
GSE123902	mean	none	CLDN7	13	-0.791209	0.00127502
GSE131907	mean	none	CLDN7	21	-0.531169	0.0132217
GSE205335	mean	none	CLDN7	22	0.26821	0.22749
GSE189357	mean	none	CLDN7	9	-0.166667	0.668231
GSE123902	mean	none	EPCAM	13	-0.769231	0.00211223
GSE131907	mean	none	EPCAM	21	-0.193506	0.400659
GSE205335	mean	none	EPCAM	22	-0.0897798	0.691126
GSE189357	mean	none	EPCAM	9	-0.116667	0.765008
GSE123902	mean	none	MUC1	13	-0.785714	0.00145419
GSE131907	mean	none	MUC1	21	-0.248052	0.27829
GSE205335	mean	none	MUC1	22	0.380011	0.0810722
GSE189357	mean	none	MUC1	9	-0.4	0.286105
GSE123902	mean	KRT	CLDN1	13	0.0146726	0.963902
GSE131907	mean	KRT	CLDN1	21	0.322388	0.165663
GSE205335	mean	KRT	CLDN1	22	0.242237	0.290075
GSE189357	mean	KRT	CLDN1	9	0.486535	0.221487
GSE123902	mean	KRT	CLDN4	13	-0.270219	0.395641
GSE131907	mean	KRT	CLDN4	21	-0.394436	0.0852567
GSE205335	mean	KRT	CLDN4	22	-0.246336	0.281736
GSE189357	mean	KRT	CLDN4	9	-0.552683	0.155408
GSE123902	mean	KRT	CLDN7	13	-0.574709	0.0506279
GSE131907	mean	KRT	CLDN7	21	-0.596596	0.00549108
GSE205335	mean	KRT	CLDN7	22	0.275402	0.226929
GSE189357	mean	KRT	CLDN7	9	0.118178	0.78047
GSE123902	mean	KRT	EPCAM	13	-0.518039	0.0844758
GSE131907	mean	KRT	EPCAM	21	-0.134311	0.572379
GSE205335	mean	KRT	EPCAM	22	-0.187676	0.415271
GSE189357	mean	KRT	EPCAM	9	0.0850696	0.841262
GSE123902	mean	KRT	MUC1	13	-0.634178	0.0267777
GSE131907	mean	KRT	MUC1	21	-0.205782	0.384082
GSE205335	mean	KRT	MUC1	22	0.364491	0.104274
GSE189357	mean	KRT	MUC1	9	-0.436724	0.279305
GSE123902	mean	KRT1819	CLDN1	13	0.0374688	0.907964
GSE131907	mean	KRT1819	CLDN1	21	0.275054	0.240521
GSE205335	mean	KRT1819	CLDN1	22	0.253595	0.267339
GSE189357	mean	KRT1819	CLDN1	9	0.466711	0.243686
GSE123902	mean	KRT1819	CLDN4	13	-0.289999	0.360538
GSE131907	mean	KRT1819	CLDN4	21	-0.419138	0.0658402
GSE205335	mean	KRT1819	CLDN4	22	-0.232147	0.311246
GSE189357	mean	KRT1819	CLDN4	9	-0.434524	0.282012
GSE123902	mean	KRT1819	CLDN7	13	-0.596384	0.0406761
GSE131907	mean	KRT1819	CLDN7	21	-0.610241	0.00427168
GSE205335	mean	KRT1819	CLDN7	22	0.308409	0.173767
GSE189357	mean	KRT1819	CLDN7	9	0.265133	0.525682
GSE123902	mean	KRT1819	EPCAM	13	-0.543898	0.0675494
GSE131907	mean	KRT1819	EPCAM	21	-0.178888	0.450477
GSE205335	mean	KRT1819	EPCAM	22	-0.171825	0.456423
GSE189357	mean	KRT1819	EPCAM	9	0.205366	0.625628
GSE123902	mean	KRT1819	MUC1	13	-0.642013	0.0243956
GSE131907	mean	KRT1819	MUC1	21	-0.231169	0.326779
GSE205335	mean	KRT1819	MUC1	22	0.37894	0.0902577
GSE189357	mean	KRT1819	MUC1	9	-0.218057	0.603919
