gene,GSM5772210,GSM5772211,GSM5772212,GSM5772213,GSM5772214,GSM5772215,GSM5772216
ABO,0.0,0.304,0.109,0.0,0.0,2.755,0.0
ABR,17.761,24.932,27.067,19.959,25.82,19.684,28.18
ABRA,0.0,0.109,0.0,0.0,0.046,0.0,0.0
ABRACL,77.223,30.269,44.291,58.049,77.065,46.545,70.211
ABT1,27.831,17.35,21.723,19.757,18.378,30.723,20.904
ABTB1,15.583,9.028,10.921,13.003,13.017,13.155,12.064
ABTB2,0.0,0.177,0.159,0.228,0.176,0.103,0.039
ACAA1,97.419,77.758,87.823,71.685,96.649,69.221,91.723
ACAA2,217.7,147.579,153.368,158.312,169.884,100.495,167.703
ACACA,1.771,1.566,1.071,2.087,1.599,3.169,2.155
ACACB,2.347,2.25,2.909,3.297,4.818,0.738,2.42
ACAD10,9.633,9.463,9.393,8.226,9.785,5.872,10.157
ACAD11,3.712,3.458,5.206,5.348,6.336,8.622,3.844
ACAD8,13.087,12.183,11.501,17.146,14.569,12.819,19.373
ACAD9,28.164,18.224,21.02,19.291,16.4,27.284,20.842
ACADL,0.0,0.182,0.0,0.0,0.052,0.586,0.0
ACADM,20.507,21.386,20.852,20.746,20.48,29.538,21.728
ACADS,38.501,35.76,35.943,33.769,33.138,19.108,34.832
ACADSB,4.918,2.97,2.999,3.312,3.164,3.917,3.124
ACADVL,230.62,253.001,280.687,286.432,213.766,111.527,252.393
ACAN,0.026,0.0,0.036,0.0,0.0,0.0,0.022
ACAP1,5.121,2.955,1.367,4.601,1.847,14.223,5.042
ACAP2,8.229,9.861,10.391,11.119,9.387,5.596,9.248
ACAP3,4.053,3.667,2.823,4.409,1.991,0.547,4.078
ACAT1,71.104,70.388,75.073,69.586,73.058,49.15,72.761
ACAT2,38.021,14.383,23.24,32.58,24.823,29.488,46.1
ACBD3,16.675,21.339,20.546,18.857,22.121,18.965,19.359
ACBD4,2.451,2.429,3.67,3.332,3.147,2.313,2.517
ACBD5,8.475,12.479,11.27,13.518,11.749,9.766,10.811
ACBD6,16.028,12.236,13.319,12.962,15.194,12.892,13.408
ACBD7,0.145,0.088,0.095,0.042,0.0,0.423,0.115
ACCS,10.489,7.979,15.98,8.59,9.976,3.749,8.256
ACCSL,0.0,0.0,0.0,0.0,0.0,0.076,0.0
ACD,7.883,5.228,9.216,4.04,3.685,5.764,6.441
ACE,5.923,25.45,25.377,26.267,38.74,11.528,28.349
ACE2,0.0,0.084,0.0,0.284,0.0,0.074,0.0
ACER1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ACER2,0.043,1.154,0.34,0.608,0.714,0.828,0.343
ACER3,18.161,26.773,30.179,25.347,28.575,6.995,23.468
ACHE,0.257,0.853,0.0,0.644,0.0,0.748,0.102
ACIN1,4.222,6.716,6.343,5.863,7.08,5.11,7.46
ACKR1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
