gene	present	n_r	n_nr	mwu_U	mwu_p	auc	rank_biserial	median_r	median_nr	median_diff	logor	se	or	or_lo	or_hi	logit_p	logit_converged	logit_note	cohort	class
Ayers_IFNG_6	True	14	12	80.0	0.8571364155923	0.47619047619047616	-0.04761904761904767	0.0828328679610892	0.28657364113688544	-0.20374077317579625	-0.09403305164095947	0.4025935596267815	0.9102526763989337	0.41349228251171644	2.0038099135935976	0.8153202203691179			Hugo_GSE78220	positive_control_score
CD8A	True	10	23	155.0	0.12178249222120788	0.6739130434782609	0.34782608695652173	3.1357677625000924	1.6695457877741404	1.466221974725952	0.6139874949724898	0.46559133004410724	1.8477847607351288	0.7418772268926784	4.602255465241417	0.1872606575633724	True		Riaz_GSE91061	positive_control
CD274	True	10	23	129.0	0.5969192192431503	0.5608695652173913	0.12173913043478257	1.359715959216627	1.0609699202706424	0.2987460389459846	0.33262236931691275	0.40838160115012445	1.3946205475073978	0.6263752986336961	3.105113620815448	0.41536480486518024	True		Riaz_GSE91061	positive_control
IFNG	True	10	23	143.5	0.269321897132051	0.6239130434782608	0.24782608695652164	0.4756109121930025	-0.5720372952752282	1.0476482074682307	0.5439484449883988	0.4184767567747737	1.7227958149630949	0.7586111146616681	3.912446525883107	0.19365940294286454	True		Riaz_GSE91061	positive_control
GZMB	True	10	23	138.0	0.3781049611004279	0.6	0.19999999999999996	2.7074579847685607	2.182338535338471	0.5251194494300897	0.43885206457008724	0.42053471085371025	1.5509258335360085	0.6801812523858888	3.5363675971544097	0.29669026039085933	True		Riaz_GSE91061	positive_control
PRF1	True	10	23	151.0	0.16433376314046644	0.6565217391304348	0.31304347826086953	2.363845002821935	1.040573784170948	1.3232712186509872	0.5502408708187776	0.42708611536927377	1.733670558225583	0.7506258788644589	4.004143327705505	0.1976205104056794	True		Riaz_GSE91061	positive_control
CXCL9	True	10	23	156.0	0.1126241160783603	0.6782608695652174	0.3565217391304347	5.654606154540884	4.501628030429298	1.152978124111586	0.7405066505226372	0.4696385532504866	2.0969976903714573	0.8352828125194289	5.2645633880093055	0.11485106980925641	True		Riaz_GSE91061	positive_control
CXCL10	True	10	23	143.0	0.28136478490438865	0.6217391304347826	0.24347826086956514	5.332992624986471	4.760206390561473	0.5727862344249983	0.614916947942096	0.4793521832254076	1.849502988150278	0.7228067864620352	4.732469820766514	0.19955925382048323	True		Riaz_GSE91061	positive_control
STAT1	True	10	23	132.0	0.5180494011092558	0.5739130434782609	0.14782608695652177	6.616542387570555	6.063083856118973	0.5534585314515823	0.33348849236705363	0.3944825661220811	1.3958289837614968	0.6442313764302683	3.024283856996434	0.39789754635630925	True		Riaz_GSE91061	positive_control
HLA-DRA	True	10	23	138.0	0.3781049611004279	0.6	0.19999999999999996	7.218043519507368	6.682040539399375	0.5360029801079937	0.4425828428771164	0.4131300933112397	1.5567228008677039	0.6927042489937297	3.4984423471658603	0.2840382875000419	True		Riaz_GSE91061	positive_control
CLDN3	True	10	23	113.5	0.9668108565427194	0.4934782608695652	-0.013043478260869601	-3.17681517134824	-3.0845254408305944	-0.09228973051764555	-0.04446827788264534	0.39053954184360257	0.9565059420061062	0.44489108486014234	2.0564665110801243	0.9093458402484842	True		Riaz_GSE91061	epithelial_control
CLDN7	True	10	23	89.0	0.31783710356383055	0.3869565217391304	-0.22608695652173916	-0.6635632660059998	0.75744677446995	-1.4210100404759498	-0.5328729481008329	0.4225750346040832	0.5869163649469098	0.2563734737182202	1.3436289427552153	0.20730387698392483	True		Riaz_GSE91061	epithelial_control
EPCAM	True	10	23	116.0	0.9843732183156827	0.5043478260869565	0.008695652173912993	-1.3813613807463758	-1.5881456901226318	0.20678430937625603	-0.18340339097071556	0.4062249828145529	0.8324322923290547	0.3754596173308681	1.8455873530110132	0.6516419766195813	True		Riaz_GSE91061	epithelial_control
CDH1	True	10	23	63.0	0.04365259619522403	0.27391304347826084	-0.4521739130434783	1.7872781167073892	5.305140294899856	-3.517862178192467	-0.7699203801080892	0.4175515696842337	0.46304993482931495	0.20426819714748384	1.0496751091929533	0.06519874815397095	True		Riaz_GSE91061	epithelial_control
KRT5	True	10	23	107.0	0.7678546782852186	0.4652173913043478	-0.06956521739130439	-1.8557975455870284	-1.6331484182752107	-0.22264912731181763	-0.38729059503757723	0.5024856928443618	0.6788937830946964	0.25355803353664763	1.8177170815532988	0.4408554272012728	True		Riaz_GSE91061	epithelial_control
KRT14	True	10	23	60.5	0.033142796286542445	0.26304347826086955	-0.4739130434782609	-3.131831363823098	-1.9146660116461744	-1.2171653521769235	-1.966281569683143	1.390147052211562	0.13997638212893718	0.009177781299967453	2.134871916590095	0.15723233602205153	True		Riaz_GSE91061	epithelial_control
KRT1	True	10	23	112.0	0.9211942004806473	0.48695652173913045	-0.02608695652173909	-2.015227019150119	-2.100882932305601	0.08565591315548193	-0.5661668877812024	0.5962942784866346	0.56769732104379	0.17641719309836074	1.8268074820837328	0.34237875912738447	True		Riaz_GSE91061	epithelial_control
KRT10	True	10	23	78.0	0.15276987508203363	0.3391304347826087	-0.32173913043478264	3.355998654016061	3.498353206541293	-0.14235455252523188	-2.1397536627542415	1.3626336170528648	0.11768382936182034	0.008143660133508228	1.7006460812720334	0.116343611666531	True		Riaz_GSE91061	epithelial_control
SFN	True	10	23	70.5	0.08048486182609962	0.3065217391304348	-0.3869565217391304	-3.08265517161533	-2.160935724276352	-0.9217194473389778	-1.802917131643626	1.3320119275185538	0.16481739223912958	0.012110765519542514	2.2430268954239687	0.17588660575216075	True		Riaz_GSE91061	epithelial_control
CLDN4	True	10	23	133.0	0.4928661109279533	0.5782608695652174	0.15652173913043477	-1.8081108053227075	-2.230151128131847	0.4220403228091396	-0.3748193907726543	0.44044545677108976	0.6874134207868351	0.289936749186414	1.6297941271806218	0.39476896551631446	True		Riaz_GSE91061	gene_of_interest
Ayers_IFNG_6	True	10	23	148.0	0.20297414540655057	0.6434782608695652	0.28695652173913033	0.42994951454721647	0.16394829293122784	0.2660012216159886	0.6676522192956077	0.4467671291471806	1.9496545817008026	0.8121978151013418	4.680082754806037	0.13506910110938025			Riaz_GSE91061	positive_control_score
CD8A	True	2	6	6.0	1.0	0.5	0.0	3.2039859719627457	1.8953609909940454	1.3086249809687003	0.1589131957324666	0.8621263558623401	1.1722361871605986	0.21635072489346915	6.351435518256024	0.8537569057269175	True		MGH_GSE115821	positive_control
CD274	True	2	6	11.0	0.14285714285714285	0.9166666666666666	0.8333333333333333	4.296616456387649	1.0959349491989991	3.2006815071886496	2.294274921953157	1.6583349026061647	9.917242629802557	0.38440388812228843	255.85511597917312	0.16651741211102933	True		MGH_GSE115821	positive_control
IFNG	True	2	6	6.0	1.0	0.5	0.0	0.9321887351067959	0.2493675318076196	0.6828212032991763	0.24886162839142864	0.8748427325840359	1.2825645502708867	0.23088624688537207	7.124598575281273	0.776054498807675	True		MGH_GSE115821	positive_control
GZMB	True	2	6	7.0	0.8571428571428571	0.5833333333333334	0.16666666666666674	4.500525154835784	3.102004398109922	1.398520756725862	0.48040336723801746	0.8954886015603597	1.6167264051504124	0.2794996351316296	9.351726945473866	0.5916333034144055	True		MGH_GSE115821	positive_control
PRF1	True	2	6	7.0	0.8571428571428571	0.5833333333333334	0.16666666666666674	2.949479344055206	1.9398677016298884	1.0096116424253174	0.10997351626233581	0.8663671575112442	1.1162485076347617	0.20431218986162528	6.098562849532961	0.8989907473912824	True		MGH_GSE115821	positive_control
CXCL9	True	2	6	6.0	1.0	0.5	0.0	6.709330185232706	5.492806613743777	1.2165235714889286	0.3214306255715049	0.8494198026259345	1.3790993284796205	0.26094850562645133	7.288468478664284	0.7051245732817244	True		MGH_GSE115821	positive_control
CXCL10	True	2	6	11.0	0.14285714285714285	0.9166666666666666	0.8333333333333333	9.747618120343617	5.67431592884869	4.073302191494927	2.05939636871194	1.4610589787559793	7.841235166589077	0.4474102904419704	137.42412781122187	0.1586805503510501	True		MGH_GSE115821	positive_control
STAT1	True	2	6	9.0	0.42857142857142855	0.75	0.5	8.548895049342455	6.714282581677442	1.8346124676650133	0.9290051097215133	0.9751942624472779	2.5319888729974744	0.37442055126902996	17.12237117127845	0.3407745573420293	True		MGH_GSE115821	positive_control
HLA-DRA	True	2	6	8.0	0.6428571428571428	0.6666666666666666	0.33333333333333326	7.164879081933083	4.928469810783282	2.2364092711498014	0.7260977438038628	0.9857894126099894	2.0669988902367447	0.2993776362794889	14.271221008142659	0.46138707082067176	True		MGH_GSE115821	positive_control
CLDN3	True	2	6	7.0	0.8571428571428571	0.5833333333333334	0.16666666666666674	-0.8987707650753262	-1.6931045101512954	0.7943337450759692	0.45984526920262186	0.906860960729878	1.583828898925348	0.26777660384410407	9.36793560400633	0.612103164584512	True		MGH_GSE115821	epithelial_control
CLDN7	True	2	6	5.0	0.8571428571428571	0.4166666666666667	-0.16666666666666663	1.2508883322983009	0.06798846585343948	1.1828998664448613	0.053337427979561536	0.8675628940673815	1.0547854992182868	0.1926103882045942	5.776284756663156	0.9509772529124016	True		MGH_GSE115821	epithelial_control
EPCAM	True	2	6	9.0	0.42857142857142855	0.75	0.5	1.1588807894480464	-0.5591156185479743	1.7179964079960208	2.3736057634071472	2.0467322475136913	10.736034174651481	0.19437044280111324	593.0038957477973	0.24616890545538161	True		MGH_GSE115821	epithelial_control
CDH1	True	2	6	3.0	0.42857142857142855	0.25	-0.5	2.715485709155055	6.555082514306106	-3.839596805151051	-1.3321808462972093	1.0963161732097892	0.26390110552576945	0.03077783331148412	2.262790651729768	0.22431158268101592	True		MGH_GSE115821	epithelial_control
KRT5	True	2	6	3.0	0.42857142857142855	0.25	-0.5	1.5302107542940142	3.644373651685443	-2.1141628973914286	-0.872625442100004	1.113238962318939	0.4178530588548304	0.04714280836566725	3.7036652004273765	0.4331212354099764	True		MGH_GSE115821	epithelial_control
KRT14	True	2	6	6.0	1.0	0.5	0.0	4.047403921907982	4.004362344842825	0.0430415770651571	0.012208302309146041	0.8709410961874935	1.0122831278192292	0.18362929655754945	5.5803575468489335	0.9888161243187152	True		MGH_GSE115821	epithelial_control
KRT1	True	2	6	4.0	0.6428571428571428	0.3333333333333333	-0.33333333333333337	1.1144687965271578	2.6578711851238035	-1.5434023885966457	-1.2115166775224733	1.4061340956599209	0.2977453531187832	0.018919928299815703	4.685657043673493	0.38891098269284174	True		MGH_GSE115821	epithelial_control
KRT10	True	2	6	5.0	0.8571428571428571	0.4166666666666667	-0.16666666666666663	4.9873344014560885	6.06060043040128	-1.0732660289451914	-0.6752768898615749	1.127565089995447	0.509015459872927	0.05583778622662023	4.640168529212301	0.5492524901108005	True		MGH_GSE115821	epithelial_control
SFN	True	2	6	4.0	0.6428571428571428	0.3333333333333333	-0.33333333333333337	0.3897816467557096	2.1053881056756474	-1.7156064589199378	-0.5422577613983239	0.937149934633987	0.5814340300233541	0.09263653828171957	3.649375694945532	0.5628426783473426	True		MGH_GSE115821	epithelial_control
CLDN4	True	2	6	8.0	0.6428571428571428	0.6666666666666666	0.33333333333333326	0.565378129686605	-0.08692503949347594	0.6523031691800809	0.3128640157578663	0.8681135988042353	1.3673355822919424	0.24941461722307662	7.4959784451184275	0.7185515797401517	True		MGH_GSE115821	gene_of_interest
Ayers_IFNG_6	True	2	6	9.0	0.42857142857142855	0.75	0.5	0.4611093777250427	-0.3936826345504062	0.8547920122754489	0.7787667061469653	0.9430093799099574	2.1787835275054164	0.3431691933111929	13.83311134057474	0.4088997695331169			MGH_GSE115821	positive_control_score
