gene	rho	p	n
Sorl1	0.635626705061896	9.248193523847569e-07	49
Cnksr1	0.6355214895965419	9.298491092569071e-07	49
Mill1	0.6341199560244924	9.99323300998346e-07	49
Dlx5	0.6337284704014612	1.0195752240813502e-06	49
Serinc2	0.6329601068810433	1.0604384337596787e-06	49
Sh3rf2	0.632614627504391	1.0793039510909942e-06	49
Mpzl2	0.6323328902727154	1.0949193812400856e-06	49
Map3k9	0.6321381543868848	1.1058352946399427e-06	49
Elf5	0.6320633765063426	1.1100538051418907e-06	49
Prss27	0.631827168994404	1.123477734902666e-06	49
Crnn	0.6316423200546775	1.13408807368295e-06	49
Gjb3	0.6300124151778539	1.2317630642304993e-06	49
Tent5b	0.6292265867856335	1.281600056378417e-06	49
Cldn3	0.6283037636515151	1.342517310034538e-06	49
Krt14	0.626801109960559	1.4475011714385414e-06	49
Pfkfb2	0.6256064410148424	1.5363598771145837e-06	49
Vwa2	0.6255114237333015	1.5436405474862178e-06	49
Pappa	0.6254639133183993	1.5472930331576771e-06	49
Clip4	0.6253175911688668	1.5585924543059285e-06	49
Casp14	0.6252995917473126	1.559987707052098e-06	49
Zfp711	0.6251829551976288	1.569057140854118e-06	49
Hr	0.6218166009110454	1.8529337766694366e-06	49
Dact2	0.6217523750883087	1.8587866575530544e-06	49
Tmem102	0.6207582983842709	1.951594945021401e-06	49
Nipal2	0.6202656909953981	1.999163522612386e-06	49
Nts	0.6201490554280985	2.01058299559009e-06	49
Bbox1	0.620125689283555	2.012877983230971e-06	49
Slc13a5	0.6198733224633136	2.0378205990849537e-06	49
Krt79	0.6192219373214829	2.1035329219551946e-06	49
Sult2b1	0.6191580563606207	2.1100821372691526e-06	49
Wnt4	0.6181162914407327	2.2195943541967115e-06	49
Krt16	0.6180386039596271	2.2279688569524693e-06	49
Gpr161	0.6180267608072484	2.2292480910722932e-06	49
Calml3	0.6175775694904743	2.2782738143539183e-06	49
Ly6g6g	0.6174248181276222	2.295172214011491e-06	49
Tbc1d30	0.6172488498299474	2.3147832330102113e-06	49
Gramd2	0.6164429470325273	2.406601877813725e-06	49
Chdh	0.615375114292189	2.533474447976564e-06	49
Slc5a9	0.614828707905205	2.6007694217578612e-06	49
Arrdc1	0.6141803559257828	2.682770770377585e-06	49
Trpv6	0.6122808398099622	2.9370330769146153e-06	49
Ltf	0.612059295144434	2.9681012687215166e-06	49
Bnc1	0.6113318349109043	3.0722732673078604e-06	49
Pglyrp3	0.6110326609541191	3.1160907766271564e-06	49
Cwh43	0.6109290895912012	3.1313945740016206e-06	49
Edar	0.6103169684762808	3.223274820569658e-06	49
Myo1b	0.6096608223969432	3.3245353027365507e-06	49
Sh3gl2	0.6093023058046093	3.381102183855409e-06	49
Atp6v1c2	0.6090285395423303	3.4248966237550534e-06	49
Il1b	0.6089561733694295	3.436560623256198e-06	49
Defb1	0.6088606101854156	3.4520199581335097e-06	49
Krt78	0.6087632496472282	3.467836340239948e-06	49
Syt8	0.6086821699695465	3.4810591146862798e-06	49
Slc25a48	0.6076515089842356	3.653267668781435e-06	49
Gsdma	0.6075440227639615	3.6716746135433687e-06	49
Pkp1	0.6072291279049309	3.726096187290176e-06	49
Il1a	0.6064390448184911	3.865950655330655e-06	49
Sowahb	0.6064190354818093	3.869554907109391e-06	49
Upk2	0.6057967341250349	3.983215997295293e-06	49
Prss52	0.6050407520565633	4.1254540165332875e-06	49
Gtpbp10	0.6048317867859724	4.1655929620499945e-06	49
Epcam	0.6044907352263347	4.231881638531185e-06	49
Map3k20	0.6044100682099732	4.2477027966945615e-06	49
Myh14	0.6044074426886016	4.248218657779515e-06	49
Kif27	0.6044023892720045	4.24921171384325e-06	49
Gm6551	0.603846341518317	4.359804999413788e-06	49
Serpinb12	0.6037689153942603	4.375414191661491e-06	49
Macc1	0.6019627054177404	4.75457249333746e-06	49
Klra8	0.6019420408868897	4.75908127319501e-06	49
Kcnk7	0.6017976693623626	4.790692240961906e-06	49
Rad51ap2	0.6014341489311362	4.871150379316828e-06	49
Esrp2	0.600932302798311	4.984281540899966e-06	49
Gabrp	0.6008367260335247	5.006101291687324e-06	49
Mb	0.6005623706338821	5.069227741871425e-06	49
Teddm3	0.6004184049527788	5.102646899409679e-06	49
Utf1	0.6001964053887562	5.154580304426102e-06	49
Gpa33	0.5996838722586703	5.2763543797220005e-06	49
Ap1m2	0.5989969738189834	5.443735095562347e-06	49
Gtsf1l	0.5986544503920107	5.529024016868561e-06	49
Mafb	0.5985334404267317	5.559450202512965e-06	49
Susd4	0.5980061254629532	5.693853683406112e-06	49
Marveld2	0.5976693933401015	5.781247618596986e-06	49
Crb3	0.5973331374236964	5.869755353638684e-06	49
Kcne3	0.5969569919095095	5.970247642875989e-06	49
Celsr2	0.5967170621943854	6.035177214508649e-06	49
Csf3	0.5961899174013897	6.180134148349822e-06	49
Kcnj15	0.5953683265119125	6.412495134074466e-06	49
Ttc22	0.5949454408629123	6.535220903384081e-06	49
Moxd1	0.5947316680063687	6.598083425344899e-06	49
Klk7	0.5945394914425041	6.655072261891405e-06	49
Il18r1	0.5943763900586111	6.70379585505574e-06	49
Samd12	0.5943566828450421	6.709705319371849e-06	49
Ano9	0.5942800478898111	6.7327311380097155e-06	49
Lce3c	0.593729553362067	6.9002938682382645e-06	49
Tmprss2	0.5936279502028613	6.931638899464251e-06	49
Kazn	0.5934264471647747	6.994193416857146e-06	49
Pof1b	0.5933119011800488	7.029985360947423e-06	49
Tnc	0.5924790197798102	7.295372044758129e-06	49
Ifi202b	0.5923943799143551	7.322853665035921e-06	49
Fgfbp1	0.5922428509247782	7.372292663322869e-06	49
Fut9	0.5918596328741442	7.498704843538202e-06	49
Tmem79	0.5913281857476639	7.67733211347154e-06	49
Tmem132a	0.5907059731933092	7.891462777509442e-06	49
Mslnl	0.5904441408007701	7.983210398274926e-06	49
Cgn	0.5904382116963688	7.98529936196988e-06	49
Map7	0.5903963556238031	8.00006062622628e-06	49
Mrgprb3	0.5898873275572393	8.181608242136797e-06	49
Atf7ip2	0.5893868572644814	8.363809422350295e-06	49
Fermt1	0.5893594507372513	8.373894526684477e-06	49
Oacyl	0.5892524556615542	8.413374453617389e-06	49
Cbr2	0.5891158838723396	8.464017766355838e-06	49
Gramd1c	0.5887827707525763	8.588726132143183e-06	49
Entpd3	0.5886552255054124	8.63692345415564e-06	49
Nfe2l3	0.5883680720858033	8.746350374174668e-06	49
Ccdc68	0.5882104589100482	8.80695595003647e-06	49
Cers3	0.5875533344405234	9.063839274294265e-06	49
Krt7	0.5874731568884648	9.095651771388903e-06	49
Sp6	0.5874692878077821	9.09718953427184e-06	49
Shroom3	0.5871573708956034	9.221953879585064e-06	49
Nexmif	0.5863614827581711	9.547501140578073e-06	49
Gjb4	0.586023785145641	9.6888129324558e-06	49
Tbc1d1	0.5855585784254654	9.886646942147509e-06	49
Drc7	0.5852724704157423	1.0010163298853891e-05	49
Erfe	0.585198799880946	1.004219768924739e-05	49
Cxcl14	0.585137394381105	1.0068971153887787e-05	49
Skint4	0.5848248433018588	1.0206271461818809e-05	49
Fads2b	0.5844500997139427	1.0373170875701816e-05	49
Nrarp	0.5842159274190551	1.047873981330205e-05	49
Scgb2b27	0.5840004074084433	1.0576775786786862e-05	49
Bcl11b	0.583967801149036	1.0591681296672074e-05	49
Inhbb	0.5837478809768288	1.069272249988745e-05	49
Rptn	0.583550715102944	1.0784065214689823e-05	49
Catsper4	0.5835313694210146	1.0793066356542558e-05	49
D7Ertd443e	0.5831822479540081	1.0956702108372734e-05	49
Nipal4	0.5827271965910507	1.1173426689619211e-05	49
Dsg2	0.5825646451698065	1.1251798542580616e-05	49
Defb14	0.5825038271299338	1.128125131185913e-05	49
Clmn	0.5823958568955615	1.1333714183916279e-05	49
Ly6d	0.582141060297813	1.1458414278055841e-05	49
Gm648	0.582132444182009	1.1462653147038507e-05	49
Stfa2l1	0.5821266894688629	1.1465485098425674e-05	49
Tmem238l	0.5817727943805258	1.1640886623777652e-05	49
Epb41l5	0.581542479210994	1.1756364923597382e-05	49
Tmprss11e	0.5814233642023016	1.1816502232778088e-05	49
Ocln	0.5805310148098664	1.2276131893275209e-05	49
Cdh15	0.5805191300256752	1.228236331051355e-05	49
AU018091	0.5803385125947356	1.2377424410143084e-05	49
Map7d2	0.5802874254492361	1.2404435088333917e-05	49
Cnga2	0.5802468918233388	1.242590461979788e-05	49
Trmt9b	0.5800998959210371	1.2504052228086472e-05	49
Ybx2	0.5800668572471566	1.2521678920841845e-05	49
Klrc1	0.5800520362024058	1.2529593646683101e-05	49
Tnni2	0.5799418690473492	1.2588569885851229e-05	49
Gm10129	0.5797687543094577	1.2681761796199615e-05	49
Cdkl2	0.5787142403275635	1.326331873369723e-05	49
Golga7b	0.578430514327002	1.3423938483805837e-05	49
Edn2	0.5783463463361739	1.3471930658250006e-05	49
Fam83h	0.5780920277732088	1.3617905124129249e-05	49
Als2cl	0.5772435561081797	1.4115532375206893e-05	49
Ttll10	0.5769221345473384	1.4308385813901512e-05	49
Chmp4c	0.5769157634573873	1.4312232919612496e-05	49
Foxe1	0.5766554330852878	1.4470248524150136e-05	49
Map3k21	0.5766336385300389	1.4483550118519015e-05	49
Gm4565	0.576437709106806	1.4603636548206985e-05	49
Dgkk	0.576148298455346	1.4782698700088829e-05	49
Cib2	0.5761440052755352	1.4785370119247174e-05	49
Trim29	0.5748624625084353	1.5603007400604644e-05	49
Lama3	0.5747547058907607	1.5673622765180717e-05	49
Krt15	0.5741685139533639	1.606295543586339e-05	49
Prr9	0.574017106464236	1.6164954551874365e-05	49
AA792892	0.5739470311461489	1.6212364188242555e-05	49
S100a9	0.5735957841261674	1.6451938326372367e-05	49
Prss8	0.5735031757760983	1.65156447340216e-05	49
Prr15l	0.5730166953615384	1.6854050682176214e-05	49
Smoc2	0.5728608724638734	1.6963788142126595e-05	49
Edn1	0.5727585946750187	1.703617425431003e-05	49
Vps54	0.5724921147840162	1.722611181151292e-05	49
Prl8a6	0.5723831042647418	1.7304371563298496e-05	49
Krtap3-2	0.572237963019704	1.7409078437909463e-05	49
Dsc2	0.5716208868768261	1.7860795461353046e-05	49
Grhl3	0.5711493679330162	1.8213211573286566e-05	49
Eya2	0.5710585811140633	1.828179725134842e-05	49
Esyt3	0.5706904609284179	1.8562342158002838e-05	49
Fam160a1	0.5704703357882621	1.8731988983014963e-05	49
Ncmap	0.5700665694831822	1.9046882525378643e-05	49
Ly6m	0.5695306557119509	1.9472368391127952e-05	49
Mboat1	0.569324487234574	1.9638373320259618e-05	49
Slc52a3	0.5689895282839399	1.9910860197661928e-05	49
Shroom4	0.5685645112640072	2.0261619958532225e-05	49
Elmod1	0.5681849708136966	2.0579648495151446e-05	49
Nuak2	0.5673026274289025	2.1336833849569556e-05	49
Sprr2a3	0.5671290858517563	2.148874402751157e-05	49
Cdh3	0.5670497541746874	2.15585183102924e-05	49
Vipr1	0.5664664452518349	2.2077993271467465e-05	49
Sprr2k	0.566442995108491	2.2099116073625188e-05	49
Gm6882	0.5662764651028077	2.2249654482056444e-05	49
Prss22	0.5658150910651204	2.2671667165049135e-05	49
Prnd	0.565748105638115	2.273354658400899e-05	49
Scgb1a1	0.5657212600531076	2.27583894454818e-05	49
Cep126	0.5656580467890345	2.2816985609410733e-05	49
Urah	0.5656073697130511	2.286406146408217e-05	49
Jag2	0.5653649527977712	2.3090490640127506e-05	49
2310030G06Rik	0.5653042665032814	2.3147496617585133e-05	49
Wnk2	0.5652587309657142	2.3190355669431423e-05	49
Mroh4	0.5650200059721819	2.3416246296044626e-05	49
Irs4	0.5647423723403118	2.3681499464186995e-05	49
Muc16	0.5645878516965734	2.383032442145123e-05	49
Myo5b	0.5640937223004611	2.4312035301811296e-05	49
Wdr72	0.5639800919588988	2.4424069326729628e-05	49
Endod1	0.5636114446900442	2.4790815952409302e-05	49
Rab25	0.5633875132760824	2.5016059138058436e-05	49
Cecr2	0.5624521550406918	2.597739990874193e-05	49
Tgm1	0.5623885759950271	2.604396254452898e-05	49
Sdr42e1	0.5617620149732347	2.6708367695671388e-05	49
Adamts16	0.5617517562694959	2.6719374557555595e-05	49
Mroh3	0.5616729851219322	2.680402950087352e-05	49
Sh3yl1	0.5614619831386369	2.7032008930026733e-05	49
Nhlrc1	0.561297388550242	2.721108342610807e-05	49
Rhov	0.5612446202129796	2.7268724462457727e-05	49
Slc26a9	0.5612147472192309	2.7301405717886674e-05	49
Cited4	0.5611630040708647	2.735809829877289e-05	49
Rnf144b	0.5609563515194842	2.7585599112350636e-05	49
C130073F10Rik	0.5607673750685254	2.7795161877195273e-05	49
Zfp750	0.5607540862055193	2.7809953316645718e-05	49
Bmp3	0.560477422961458	2.811954748738474e-05	49
Myh4	0.5601667152169797	2.8471014015788935e-05	49
Smarca5	0.5601044284745903	2.854195567890956e-05	49
Skint1	0.5600133318739517	2.8646003076955133e-05	49
Skint3	0.5596439742521025	2.9071453609382606e-05	49
BC016579	0.5588971414414424	2.9949504028094554e-05	49
Gzme	0.5588019204558902	3.0063190333440828e-05	49
Lemd1	0.5582801331345185	3.069323566446535e-05	49
Krt36	0.5581848308606422	3.0809612970317254e-05	49
Camsap2	0.5580115317008517	3.102227498127469e-05	49
Mpzl3	0.5575593454156326	3.158353771208201e-05	49
Clec2f	0.5575477895870129	3.159800253755338e-05	49
Tchh	0.5574347475220892	3.1739822515234506e-05	49
Galnt3	0.5564146797752556	3.3046282929973546e-05	49
Prl2a1	0.5554794956346069	3.4287248748281554e-05	49
Psca	0.5550935102748658	3.481180753142433e-05	49
Atp6v0a4	0.5548304268134359	3.51735540024415e-05	49
Ninj2	0.5547232030446191	3.532197711324925e-05	49
Prl3d2	0.55453596276174	3.558254190891633e-05	49
Zscan4e	0.5544026414994009	3.576914722031293e-05	49
Wfdc2	0.5543924300725876	3.57834767978003e-05	49
Plagl1	0.5542961842360878	3.5918796695265366e-05	49
Rbm47	0.5539670743144487	3.638507779209969e-05	49
Gpr160	0.5538654458064025	3.653018365289983e-05	49
Col7a1	0.5536560438203686	3.6830845931544355e-05	49
Scn5a	0.5534095894724055	3.718761835114833e-05	49
Serpinb11	0.5533362598770851	3.729438263773995e-05	49
Esr2	0.553310608172226	3.733179664710063e-05	49
Lmx1a	0.5531868014478601	3.75128585595093e-05	49
Proser2	0.5530052276937414	3.7779860762910884e-05	49
Arhgef38	0.5529251085256084	3.789822892978421e-05	49
AI429214	0.5526921943480363	3.8244272825079316e-05	49
Scgb2b17	0.5523023049290436	3.883003464635367e-05	49
Celsr1	0.5516760081669286	3.978823126744232e-05	49
Fut1	0.5515543241309574	3.9976899568735865e-05	49
Arhgef5	0.551546736532295	3.998869111649437e-05	49
Calcb	0.5514872901856441	4.0081184552827696e-05	49
Spin2c	0.5513582359694188	4.0282658049944666e-05	49
Flg	0.5507589582081561	4.1230457949337167e-05	49
Zscan4c	0.5506185037693635	4.145553626612382e-05	49
Inhba	0.5505431181982993	4.1576806108399246e-05	49
Perp	0.5504792005734821	4.167988281479373e-05	49
Ptprf	0.5500924628272461	4.2308572844793955e-05	49
Lman1l	0.5500084392483257	4.24463088992606e-05	49
Btn1a1	0.5496311298870318	4.306990116157795e-05	49
Plekha7	0.5494702502728914	4.333833928460784e-05	49
Npy5r	0.5492337245873963	4.373578562497715e-05	49
Fam187b	0.5492214152278175	4.375656092095808e-05	49
Crybg1	0.5490177320515425	4.410164694878699e-05	49
Ripply1	0.5489354294683463	4.4241793188064924e-05	49
Scin	0.5488835504273925	4.4330343487563104e-05	49
Fbln7	0.5487293808577017	4.4594449747442434e-05	49
Fcgbp	0.5486820925687194	4.467574757373153e-05	49
Stim2	0.5486783433855308	4.468219896621093e-05	49
Gpx2	0.5484681169028309	4.504531564057076e-05	49
Trp63	0.5480532775479402	4.576980462627815e-05	49
Tekt5	0.5478839593006082	4.606856640955278e-05	49
Luzp1	0.5473773534991527	4.697318490689947e-05	49
Eva1a	0.5472562027518767	4.7191916856609185e-05	49
Tmprss11b	0.5472375841110301	4.722561460481184e-05	49
Tom1l1	0.5470372230285275	4.758964560717104e-05	49
Gsdmc2	0.5466759460520002	4.825254984389098e-05	49
S100z	0.5464099677374405	4.87459904358546e-05	49
Slc6a3	0.546055248205022	4.9411262411948275e-05	49
Pkp3	0.5458501045021003	4.979979524131167e-05	49
Cd24a	0.5458331425002299	4.98320455242068e-05	49
Large2	0.5458074635618186	4.988090597174894e-05	49
Hspa1b	0.5457508973411158	4.9988691969099834e-05	49
Tnfsf15	0.5456803586056561	5.012340147302971e-05	49
Gja4	0.545372714482819	5.0714816037532106e-05	49
Elmo3	0.5452278919477456	5.0995430871620835e-05	49
Tfap2c	0.5451224963217148	5.120054424538633e-05	49
Kcnq1	0.5449083106192153	5.1619708650625046e-05	49
Fscn3	0.5448182623964155	5.179687148870052e-05	49
Atp8b1	0.5447917402243883	5.184915792366954e-05	49
Slc9a4	0.5442236112305344	5.298086217858878e-05	49
Odf4	0.5441093388000787	5.321120750809693e-05	49
Hspb1	0.5440245324677924	5.3382749233055885e-05	49
Zscan4f	0.5434314448972164	5.4596650898054e-05	49
Nkpd1	0.5433092031546058	5.484997129840527e-05	49
Ccdc96	0.5433046895070127	5.48593454693127e-05	49
Cyp7b1	0.5432271281300002	5.502065834359267e-05	49
Gjb2	0.5431324505556487	5.521815862051003e-05	49
Pdzrn3	0.5430804339181013	5.53269431382802e-05	49
Lsr	0.5428209693568401	5.587251019060841e-05	49
Fat2	0.5427627327031467	5.599563761236673e-05	49
Kif23	0.5424562178419835	5.664779665371558e-05	49
Nkd2	0.5423736312826956	5.6824698623083846e-05	49
Plch2	0.5422825797593464	5.702031910594811e-05	49
Ovol1	0.5419280278595221	5.778795158699018e-05	49
AA986860	0.5416643109546231	5.836504506044777e-05	49
Clic6	0.5415265065303088	5.8668698618460535e-05	49
Fras1	0.5411848594298156	5.9427772403360305e-05	49
Nkx6-1	0.5409366905297552	5.998478354435374e-05	49
Lrit1	0.5406390984671814	6.0659026351863294e-05	49
Cidea	0.5402911739201922	6.145610124923663e-05	49
Arg1	0.5401720728133397	6.17311506110585e-05	49
Fgfr2	0.5399646436664437	6.221287501234343e-05	49
Gucy1b2	0.539741240527973	6.273554431125478e-05	49
Adamts17	0.5394950187778151	6.33162543368154e-05	49
Clca2	0.5392399614255086	6.392298835115747e-05	49
Tiam1	0.5389476343115596	6.46249230687847e-05	49
Cldn23	0.5388766961399264	6.479631992562625e-05	49
Cobl	0.538804031515701	6.497231945545165e-05	49
Cyp1b1	0.5387936957636253	6.499738898875583e-05	49
Lrrc26	0.5387933646736619	6.499819219913522e-05	49
Tmprss11g	0.5385054966258992	6.569999614689075e-05	49
C1qtnf4	0.5381218276901581	6.664613902374798e-05	49
Npr3	0.5365445747538363	7.066816610475378e-05	49
Ppp1r36	0.5364099653590093	7.102150483876972e-05	49
Pglyrp4	0.5362193886304355	7.152451763875394e-05	49
Tmem125	0.5359869508650427	7.214243026787927e-05	49
Ucn2	0.535977515371714	7.216761641541959e-05	49
Lmntd2	0.5352705485311198	7.407776326036072e-05	49
Cpne8	0.5351164478489796	7.450021657154433e-05	49
Arhgap44	0.5350328810081498	7.473022795896244e-05	49
Gm4513	0.5345769074054733	7.599674099661802e-05	49
Cdcp1	0.5341884185583532	7.709126174731542e-05	49
Tex15	0.533989413627455	7.765749983630735e-05	49
Atp10b	0.5339466643844313	7.777963137942681e-05	49
Shroom2	0.5339043966429138	7.790055995385311e-05	49
Wnt9a	0.5333722407887149	7.943784308914466e-05	49
Spata18	0.533260125604604	7.976523588142672e-05	49
Cyp2f2	0.5330393593797927	8.041351434584658e-05	49
Zscan4b	0.5327981939044274	8.112719713867267e-05	49
Msx2	0.5327849895571984	8.11664395436454e-05	49
Sec14l2	0.5324442521946393	8.218510813451291e-05	49
Slc9a3	0.5324268944761914	8.223731224278852e-05	49
Rnf222	0.532361284619185	8.243491072795727e-05	49
Vsig10	0.5318786044179532	8.390200163892338e-05	49
Cblc	0.5317665175103024	8.42460824290883e-05	49
Sostdc1	0.5314408034693804	8.525328069373535e-05	49
Dsc3	0.5314185375642795	8.532253326393544e-05	49
Synpr	0.5303882061079606	8.85839192628933e-05	49
Pard6g	0.5292413175980066	9.234792369759667e-05	49
Nat8l	0.5285793231507545	9.458647609750481e-05	49
Jade3	0.5285412825355051	9.47166047626749e-05	49
Sfrp1	0.5284607078748722	9.499277322235655e-05	49
2900026A02Rik	0.5279891040404202	9.662399012973252e-05	49
Rgn	0.5279318165258838	9.682387284697036e-05	49
Tmie	0.5278659532603631	9.705414388959e-05	49
Sh3d21	0.5274665517598015	9.846127466600204e-05	49
Olfr376	0.5272287667639142	9.930783546281037e-05	49
Gm47995	0.5271132251738748	9.972158033879136e-05	49
Tmem44	0.5270140335384527	0.0001000780321987796	49
Krt75	0.5267690899481593	0.00010096324201602196	49
Slc4a11	0.5267312096501097	0.0001011007752864296	49
Krt5	0.5266355775424297	0.0001014487512587358	49
