gene	t
Try5	-0.5740275756410232
Zbtb22	-0.5740484999235074
Atp5o	-0.5746358102086403
Yes1	-0.574909105909408
Sap18	-0.5751002035246112
Rpl12	-0.5752146792681588
Psrc1	-0.5752408193043372
Gm38274	-0.5753340815730099
Gm43523	-0.5753569611640658
Senp8	-0.5755426064163284
Rps2-ps10	-0.5759806473775149
Ptcd1	-0.5762033332012938
Vmn1r227	-0.5762391474242079
6430550D23Rik	-0.5763113305396013
Shc1	-0.576315565121582
Nrp2	-0.5764715124416778
1700123O20Rik	-0.5765886685651489
Gm55300	-0.5773150578577946
Gm55801	-0.5773174678147275
Ttyh3	-0.5778054113451575
Gm47588	-0.5785820157672072
1110019D14Rik	-0.5790900224747403
Gm5468	-0.5791283768567311
Kdm5c	-0.5792243430783807
Gm10812	-0.5793487997579216
Gm31462	-0.5793487997579216
Gm19287	-0.5793487997579216
Gm8000	-0.5793487997579216
BC037039	-0.5793487997579216
Pcdhgb1	-0.5793487997579216
Gm4954	-0.5793487997579216
Gm10425	-0.5793589920022
Zmym5	-0.5794650524862737
6330537M06Rik	-0.5799703885179315
Tuba1a	-0.5806959291326066
Chp1	-0.5809190378117359
Slc25a51	-0.5811886804140595
Adarb1	-0.581535179083382
Gm17494	-0.5818406819804336
Txndc17	-0.5820599505079855
Gm42611	-0.5821147599180668
Mtbp	-0.5822283942834476
Thap2	-0.5823470024323453
Gm7941	-0.5824146420078655
Cct7	-0.5825322523184445
Fzd9	-0.5827110106564579
Cd63	-0.5828846259708539
Ide	-0.5833161485559097
Morf4l1	-0.5833599579602025
Vps33a	-0.5845738679501338
2810414N06Rik	-0.5846715665512926
Strn4	-0.5848837990138694
Dph2	-0.5852814275645459
Pdpk1	-0.5853039679731032
9430091E24Rik	-0.5853316699803868
Tmem14c	-0.5853545882608476
Lcat	-0.5853813011092227
Khnyn	-0.5855297601843219
Gm9066	-0.5865797824511181
Zfp521	-0.5866613731498209
Gm45804	-0.5867293276110541
Ddx6	-0.5868250561271907
Als2cl	-0.5869087861567694
Calcoco1	-0.5869098274368877
Ugp2	-0.5870786980411947
Gm6974	-0.5876281517749847
Tmem241	-0.5881274699381004
Exosc3	-0.5881328162158183
