Protein	Description	Exp. q-value: Combined	Protein FDR Confidence: Combined	Sum PEP Score	Coverage [%]	# Peptides	# PSMs	# Unique Peptides	# AAs	MW [kDa]	calc. pI	Score Sequest HT: Sequest HT	# Razor Peptides	Abundances (Normalized): A1: Pg_1	Abundances (Normalized): A2: Pg_2	Abundances (Normalized): A3: Pg_3	Found in Sample: A1: Pg_1	Found in Sample: A2: Pg_2	Found in Sample: A3: Pg_3
EOS17144	pep supercontig:Para_gold_dnLKV18_V1:acPFM-supercont1.2:1252965:1256492:-1 gene:C803_03043 transcript:EOS17144 gene_biotype:protein_coding transcript_biotype:protein_coding description:SusC/RagA family TonB-linked outer membrane protein	0	High	463.03	52	54	218	54	1175	131.7	6.18	454.38	0	1543398371	1483499862	1486818402	High	High	High
EOS18005	pep supercontig:Para_gold_dnLKV18_V1:acPFM-supercont1.2:186906:190283:1 gene:C803_02211 transcript:EOS18005 gene_biotype:protein_coding transcript_biotype:protein_coding description:protein translocase subunit secA	0	High	446.499	51	60	200	59	1125	128.4	5.9	369.34	1	497503852.3	495397590.8	492472691.7	High	High	High
EOS16065	pep supercontig:Para_gold_dnLKV18_V1:acPFM-supercont1.3:1356716:1360405:1 gene:C803_04380 transcript:EOS16065 gene_biotype:protein_coding transcript_biotype:protein_coding description:phosphoribosylformylglycinamidine synthase	0	High	441.823	56	52	195	52	1229	135.6	5.38	395.8	0	539083830.7	528581906.4	519928310.6	High	High	High
EOS18193	pep supercontig:Para_gold_dnLKV18_V1:acPFM-supercont1.1:2169164:2172619:-1 gene:C803_01854 transcript:EOS18193 gene_biotype:protein_coding transcript_biotype:protein_coding description:hypothetical protein	0	High	440.957	53	59	259	59	1151	125.6	6.95	442.94	0	1032869291	1052781756	1076549622	High	High	High
EOS19178	pep supercontig:Para_gold_dnLKV18_V1:acPFM-supercont1.1:1227757:1229808:-1 gene:C803_01011 transcript:EOS19178 gene_biotype:protein_coding transcript_biotype:protein_coding description:molecular chaperone HtpG	0	High	433.233	58	46	189	46	683	78.6	5.17	406.61	0	1664049580	1741538148	1723405772	High	High	High
EOS15309	pep supercontig:Para_gold_dnLKV18_V1:acPFM-supercont1.3:319098:322418:-1 gene:C803_03619 transcript:EOS15309 gene_biotype:protein_coding transcript_biotype:protein_coding description:SusC/RagA family TonB-linked outer membrane protein	0	High	432.562	56	44	163	43	1106	122.4	6.65	359.66	0	866116107.5	879971803.4	860181959.6	High	High	High
EOS12537	pep supercontig:Para_gold_dnLKV18_V1:acPFM-supercont1.9:43253:45382:1 gene:C803_05668 transcript:EOS12537 gene_biotype:protein_coding transcript_biotype:protein_coding description:elongation factor G	0	High	427.36	64	39	240	39	709	78.3	5.17	569.59	0	2966512989	2875786870	2845145911	High	High	High
EOS20171	"pep supercontig:Para_gold_dnLKV18_V1:acPFM-supercont1.1:1050953:1053673:1 gene:C803_00853 transcript:EOS20171 gene_biotype:protein_coding transcript_biotype:protein_coding description:pyruvate, phosphate dikinase"	0	High	422.985	54	48	256	48	906	99.4	5.47	419.78	0	1807953840	1830833498	1845532683	High	High	High
EOS17222	pep supercontig:Para_gold_dnLKV18_V1:acPFM-supercont1.2:988627:991626:1 gene:C803_02856 transcript:EOS17222 gene_biotype:protein_coding transcript_biotype:protein_coding description:hypothetical protein	0	High	409.605	54	54	250	54	999	114.7	5.34	406.92	0	1885348215	1852449508	1865919810	High	High	High
EOS15886	pep supercontig:Para_gold_dnLKV18_V1:acPFM-supercont1.3:1124717:1127032:1 gene:C803_04199 transcript:EOS15886 gene_biotype:protein_coding transcript_biotype:protein_coding description:hypothetical protein	0	High	405.556	63	36	193	36	771	87	8.6	411.88	0	1409962907	1390302501	1367747617	High	High	High
EOS17439	pep supercontig:Para_gold_dnLKV18_V1:acPFM-supercont1.2:488459:490774:-1 gene:C803_02450 transcript:EOS17439 gene_biotype:protein_coding transcript_biotype:protein_coding description:hypothetical protein	0	High	396.962	56	40	156	39	771	87.4	6.92	338.9	1	953813112.6	925426512.8	911611789.4	High	High	High
EOS17142	pep supercontig:Para_gold_dnLKV18_V1:acPFM-supercont1.2:1247321:1250926:-1 gene:C803_03041 transcript:EOS17142 gene_biotype:protein_coding transcript_biotype:protein_coding description:alpha-mannosidase	0	High	383.688	46	48	137	48	1201	133.9	6.06	257.39	0	354936971.4	354867044.5	355417261	High	High	High
EOS17026	pep supercontig:Para_gold_dnLKV18_V1:acPFM-supercont1.2:1083363:1085357:1 gene:C803_02921 transcript:EOS17026 gene_biotype:protein_coding transcript_biotype:protein_coding description:hypothetical protein	0	High	382.162	77	42	295	41	664	75.9	5.36	492.35	1	6497846677	6361609197	6369909847	High	High	High
EOS17971	pep supercontig:Para_gold_dnLKV18_V1:acPFM-supercont1.2:147646:151026:1 gene:C803_02177 transcript:EOS17971 gene_biotype:protein_coding transcript_biotype:protein_coding description:beta-galactosidase	0	High	381.315	57	54	185	54	1126	127.4	6.35	301.5	0	568188248.7	560468607.9	576104251	High	High	High
EOS13950	pep supercontig:Para_gold_dnLKV18_V1:acPFM-supercont1.5:23044:26286:1 gene:C803_04776 transcript:EOS13950 gene_biotype:protein_coding transcript_biotype:protein_coding description:tricorn protease	0	High	373.758	45	48	216	48	1080	121.1	5.74	414.87	0	995076053.7	955419137.7	953544587.1	High	High	High
EOS17997	pep supercontig:Para_gold_dnLKV18_V1:acPFM-supercont1.2:177396:178760:-1 gene:C803_02203 transcript:EOS17997 gene_biotype:protein_coding transcript_biotype:protein_coding description:hypothetical protein	0	High	373.533	60	30	176	30	454	50.6	5.63	351.03	0	1707587549	1741734683	1786083157	High	High	High
EOS14101	"pep supercontig:Para_gold_dnLKV18_V1:acPFM-supercont1.5:222796:226014:-1 gene:C803_04927 transcript:EOS14101 gene_biotype:protein_coding transcript_biotype:protein_coding description:carbamoyl-phosphate synthase, large subunit"	0	High	372.615	53	51	168	48	1072	118.8	5.59	287.98	2	417505109.9	434162713	438936808.8	High	High	High
EOS12665	pep supercontig:Para_gold_dnLKV18_V1:acPFM-supercont1.8:68023:70968:1 gene:C803_05594 transcript:EOS12665 gene_biotype:protein_coding transcript_biotype:protein_coding description:SusC/RagA family TonB-linked outer membrane protein	0	High	372.116	48	40	227	39	981	108.7	5.55	419.37	1	2066463415	2159699488	2073341397	High	High	High
EOS13947	pep supercontig:Para_gold_dnLKV18_V1:acPFM-supercont1.5:12735:16025:-1 gene:C803_04773 transcript:EOS13947 gene_biotype:protein_coding transcript_biotype:protein_coding description:hypothetical protein	0	High	369.532	46	44	162	44	1096	123.9	6.13	303.96	0	370355349.1	357102770.6	357019289.8	High	High	High
EOS16261	pep supercontig:Para_gold_dnLKV18_V1:acPFM-supercont1.3:121968:123575:-1 gene:C803_03478 transcript:EOS16261 gene_biotype:protein_coding transcript_biotype:protein_coding description:phosphoenolpyruvate carboxykinase [ATP]	0	High	367.359	62	32	141	32	535	58.9	5.55	332.69	0	665967362.5	642617885.1	630229101.7	High	High	High
EOS15651	pep supercontig:Para_gold_dnLKV18_V1:acPFM-supercont1.3:832525:835749:-1 gene:C803_03963 transcript:EOS15651 gene_biotype:protein_coding transcript_biotype:protein_coding description:SusC/RagA family TonB-linked outer membrane protein	0	High	365.661	51	46	157	45	1074	120.3	6.2	323.39	1	737478164.4	724296471.9	693901801.2	High	High	High
EOS17724	pep supercontig:Para_gold_dnLKV18_V1:acPFM-supercont1.2:810414:813614:-1 gene:C803_02737 transcript:EOS17724 gene_biotype:protein_coding transcript_biotype:protein_coding description:SusC/RagA family TonB-linked outer membrane protein	0	High	362.731	57	44	192	41	1066	118.1	5.49	348.38	2	954376730.3	973646426.7	981331135.7	High	High	High
EOS12681	pep supercontig:Para_gold_dnLKV18_V1:acPFM-supercont1.8:87766:90678:1 gene:C803_05610 transcript:EOS12681 gene_biotype:protein_coding transcript_biotype:protein_coding description:hypothetical protein	0	High	356.701	54	52	164	51	970	110.4	5.58	284.89	1	481700961.5	488448496.3	493267902.2	High	High	High
EOS16040	pep supercontig:Para_gold_dnLKV18_V1:acPFM-supercont1.3:1320990:1322789:-1 gene:C803_04355 transcript:EOS16040 gene_biotype:protein_coding transcript_biotype:protein_coding description:ribosomal protein S1	0	High	354.252	56	44	179	44	599	67.3	5.39	346.82	0	1294522583	1370388114	1377538224	High	High	High
EOS17251	pep supercontig:Para_gold_dnLKV18_V1:acPFM-supercont1.2:1041733:1047408:1 gene:C803_02885 transcript:EOS17251 gene_biotype:protein_coding transcript_biotype:protein_coding description:hypothetical protein	0	High	347.5	33	54	162	54	1891	213.5	6.2	297	0	278428214.5	286128950.3	280737371.9	High	High	High
EOS18346	pep supercontig:Para_gold_dnLKV18_V1:acPFM-supercont1.1:2348976:2352437:-1 gene:C803_02008 transcript:EOS18346 gene_biotype:protein_coding transcript_biotype:protein_coding description:SusC/RagA family TonB-linked outer membrane protein	0	High	345.474	48	41	120	40	1153	127.7	5.88	273.82	0	330638959.1	314465484.7	321315171.4	High	High	High
EOS18372	pep supercontig:Para_gold_dnLKV18_V1:acPFM-supercont1.1:2392562:2395669:-1 gene:C803_02034 transcript:EOS18372 gene_biotype:protein_coding transcript_biotype:protein_coding description:SusC/RagA family TonB-linked outer membrane protein	0	High	340.424	56	40	140	39	1035	114	6.79	327.86	1	551254052	502924026.9	489785769.4	High	High	High
EOS15675	pep supercontig:Para_gold_dnLKV18_V1:acPFM-supercont1.3:866769:870854:1 gene:C803_03987 transcript:EOS15675 gene_biotype:protein_coding transcript_biotype:protein_coding description:hypothetical protein	0	High	320.765	27	37	142	37	1361	148.9	4.82	286.52	0	486163761.8	498921898.7	494702866.3	High	High	High
EOS15969	pep supercontig:Para_gold_dnLKV18_V1:acPFM-supercont1.3:1229767:1231239:1 gene:C803_04283 transcript:EOS15969 gene_biotype:protein_coding transcript_biotype:protein_coding description:tat (twin-arginine translocation) pathway signal sequence	0	High	317.065	74	34	152	34	490	54.2	7.99	298.95	0	853134225.9	883379450.3	885401442.8	High	High	High
EOS17848	pep supercontig:Para_gold_dnLKV18_V1:acPFM-supercont1.2:14480:16126:-1 gene:C803_02054 transcript:EOS17848 gene_biotype:protein_coding transcript_biotype:protein_coding description:diphosphate-fructose-6-phosphate 1-phosphotransferase	0	High	313.744	67	36	159	36	548	60.2	6.2	313.75	0	1144978467	1161352536	1131853346	High	High	High
EOS17446	pep supercontig:Para_gold_dnLKV18_V1:acPFM-supercont1.2:499203:502301:-1 gene:C803_02457 transcript:EOS17446 gene_biotype:protein_coding transcript_biotype:protein_coding description:beta-galactosidase	0	High	309.902	49	44	163	44	1032	117	6.13	296.7	0	531050024	523447240.8	521478154.7	High	High	High
EOS12927	pep supercontig:Para_gold_dnLKV18_V1:acPFM-supercont1.7:150488:152998:1 gene:C803_05432 transcript:EOS12927 gene_biotype:protein_coding transcript_biotype:protein_coding description:beta-galactosidase	0	High	304.538	49	34	131	34	836	94.6	6.15	232.64	0	268034141.5	269272095.1	268267961.7	High	High	High
EOS13117	pep supercontig:Para_gold_dnLKV18_V1:acPFM-supercont1.6:14127:17312:1 gene:C803_05053 transcript:EOS13117 gene_biotype:protein_coding transcript_biotype:protein_coding description:hypothetical protein	0	High	301.906	50	39	128	39	1061	118.6	6.68	256.98	0	180710435.9	171226755.2	172156023.5	High	High	High
EOS13985	pep supercontig:Para_gold_dnLKV18_V1:acPFM-supercont1.5:81287:84559:1 gene:C803_04811 transcript:EOS13985 gene_biotype:protein_coding transcript_biotype:protein_coding description:SusC/RagA family TonB-linked outer membrane protein	0	High	298.811	45	41	157	40	1090	120.5	5.43	241.85	0	926917597.4	918059896.7	911448481.7	High	High	High
EOS15310	pep supercontig:Para_gold_dnLKV18_V1:acPFM-supercont1.3:323328:325460:-1 gene:C803_03620 transcript:EOS15310 gene_biotype:protein_coding transcript_biotype:protein_coding description:hypothetical protein	0	High	296.646	50	36	178	35	710	80.3	5.26	317.34	0	870435465.8	868791600.5	862306929.6	High	High	High
EOS16752	pep supercontig:Para_gold_dnLKV18_V1:acPFM-supercont1.2:1533511:1534500:-1 gene:C803_03289 transcript:EOS16752 gene_biotype:protein_coding transcript_biotype:protein_coding description:elongation factor Ts	0	High	296.039	84	36	217	36	329	35.6	5.36	358.65	0	1101524409	1093973212	1092709549	High	High	High
EOS14333	pep supercontig:Para_gold_dnLKV18_V1:acPFM-supercont1.4:5451:8339:1 gene:C803_04469 transcript:EOS14333 gene_biotype:protein_coding transcript_biotype:protein_coding description:hypothetical protein	0	High	290.67	49	45	161	45	962	109.7	6.09	284.72	0	573999602.2	556184117.3	545082834.7	High	High	High
EOS19461	"pep supercontig:Para_gold_dnLKV18_V1:acPFM-supercont1.1:172871:176095:1 gene:C803_00140 transcript:EOS19461 gene_biotype:protein_coding transcript_biotype:protein_coding description:carbamoyl-phosphate synthase, large subunit"	0	High	290.542	46	47	160	44	1074	119.5	5.48	291.49	0	407561537.2	404826288.3	407241825.7	High	High	High
EOS14149	pep supercontig:Para_gold_dnLKV18_V1:acPFM-supercont1.5:287633:290368:1 gene:C803_04975 transcript:EOS14149 gene_biotype:protein_coding transcript_biotype:protein_coding description:hypothetical protein	0	High	289.827	49	40	170	38	911	102.6	7.58	300.05	2	693559332.2	667791889.2	664607472.7	High	High	High
EOS15795	pep supercontig:Para_gold_dnLKV18_V1:acPFM-supercont1.3:1014960:1018982:-1 gene:C803_04108 transcript:EOS15795 gene_biotype:protein_coding transcript_biotype:protein_coding description:beta-galactosidase	0	High	284.684	41	44	145	44	1340	151.4	6.27	233.83	0	238965619.4	253479554.3	257808610.1	High	High	High
EOS16220	pep supercontig:Para_gold_dnLKV18_V1:acPFM-supercont1.3:68802:71024:1 gene:C803_03437 transcript:EOS16220 gene_biotype:protein_coding transcript_biotype:protein_coding description:polyribonucleotide nucleotidyltransferase	0	High	284.382	60	45	165	45	740	81.3	5.43	248.41	0	586823902	604430815	614933783.2	High	High	High
EOS17723	pep supercontig:Para_gold_dnLKV18_V1:acPFM-supercont1.2:808377:810401:-1 gene:C803_02736 transcript:EOS17723 gene_biotype:protein_coding transcript_biotype:protein_coding description:hypothetical protein	0	High	284.325	47	32	134	32	674	76	5.08	278.78	0	1034549385	988019521.9	1020175807	High	High	High
EOS17200	pep supercontig:Para_gold_dnLKV18_V1:acPFM-supercont1.2:1327658:1330960:-1 gene:C803_03102 transcript:EOS17200 gene_biotype:protein_coding transcript_biotype:protein_coding description:SusC/RagA family TonB-linked outer membrane protein	0	High	283.409	42	36	115	35	1100	122.2	5.77	235.64	0	639188916.3	612103329.8	635445153	High	High	High
EOS15881	pep supercontig:Para_gold_dnLKV18_V1:acPFM-supercont1.3:1116151:1119534:1 gene:C803_04194 transcript:EOS15881 gene_biotype:protein_coding transcript_biotype:protein_coding description:hypothetical protein	0	High	281.14	38	32	110	31	1127	122.5	5.31	234.84	1	454023434.6	450082689.4	434647870.5	High	High	High
EOS18727	pep supercontig:Para_gold_dnLKV18_V1:acPFM-supercont1.1:1557055:1558749:1 gene:C803_01296 transcript:EOS18727 gene_biotype:protein_coding transcript_biotype:protein_coding description:alkaline phosphatase	0	High	270.899	59	23	94	23	564	62.3	5.44	236.65	0	340287661.7	329523784.8	297619579.7	High	High	High
EOS17397	pep supercontig:Para_gold_dnLKV18_V1:acPFM-supercont1.2:429311:431389:-1 gene:C803_02408 transcript:EOS17397 gene_biotype:protein_coding transcript_biotype:protein_coding description:hypothetical protein	0	High	268.997	52	29	83	29	692	78.6	5.3	197.43	0	210926673.2	245401265.3	242456076	High	High	High
EOS14331	pep supercontig:Para_gold_dnLKV18_V1:acPFM-supercont1.4:2980:4527:1 gene:C803_04467 transcript:EOS14331 gene_biotype:protein_coding transcript_biotype:protein_coding description:hypothetical protein	0	High	268.913	54	25	148	25	515	57	5.08	257.18	0	1976289917	1930129304	1907922607	High	High	High
EOS17037	"pep supercontig:Para_gold_dnLKV18_V1:acPFM-supercont1.2:1092678:1095350:-1 gene:C803_02932 transcript:EOS17037 gene_biotype:protein_coding transcript_biotype:protein_coding description:outer membrane protein assembly complex, YaeT protein"	0	High	266.071	42	40	169	40	890	101.4	6.6	285.85	0	875196477	824422960.8	822626304.2	High	High	High
EOS13176	pep supercontig:Para_gold_dnLKV18_V1:acPFM-supercont1.6:95127:96314:1 gene:C803_05117 transcript:EOS13176 gene_biotype:protein_coding transcript_biotype:protein_coding description:elongation factor Tu	0	High	265.697	67	29	279	29	395	43.5	5.53	431.8	0	4231417293	4792099947	4911111100	High	High	High
EOS15894	pep supercontig:Para_gold_dnLKV18_V1:acPFM-supercont1.3:1137625:1139283:1 gene:C803_04207 transcript:EOS15894 gene_biotype:protein_coding transcript_biotype:protein_coding description:hypothetical protein	0	High	264.347	54	31	154	31	552	62	5.07	310.03	0	2987301172	3246778498	3188614814	High	High	High
EOS18284	pep supercontig:Para_gold_dnLKV18_V1:acPFM-supercont1.1:2273208:2275670:-1 gene:C803_01946 transcript:EOS18284 gene_biotype:protein_coding transcript_biotype:protein_coding description:phenylalanyl-tRNA synthetase beta chain	0	High	263.29	45	46	164	46	820	91.2	5.14	287.5	0	626925347.4	591908326.4	601991696.4	High	High	High
EOS17223	pep supercontig:Para_gold_dnLKV18_V1:acPFM-supercont1.2:991636:993435:1 gene:C803_02857 transcript:EOS17223 gene_biotype:protein_coding transcript_biotype:protein_coding description:hypothetical protein	0	High	251.179	45	27	126	27	599	67	5.9	255.07	0	621429395.2	565422413	588915259.3	High	High	High
EOS13986	pep supercontig:Para_gold_dnLKV18_V1:acPFM-supercont1.5:84568:86625:1 gene:C803_04812 transcript:EOS13986 gene_biotype:protein_coding transcript_biotype:protein_coding description:hypothetical protein	0	High	248.278	46	29	130	29	685	77.6	5.33	269.78	0	1222619313	1146491020	1119862241	High	High	High
EOS19653	pep supercontig:Para_gold_dnLKV18_V1:acPFM-supercont1.1:440025:442340:1 gene:C803_00332 transcript:EOS19653 gene_biotype:protein_coding transcript_biotype:protein_coding description:hypothetical protein	0	High	247.996	48	31	113	29	771	87.5	6.18	183.91	2	335207492.5	408977373.9	396560508.6	High	High	High
EOS16012	pep supercontig:Para_gold_dnLKV18_V1:acPFM-supercont1.3:1282738:1286364:1 gene:C803_04326 transcript:EOS16012 gene_biotype:protein_coding transcript_biotype:protein_coding description:hypothetical protein	0	High	247.969	33	34	115	34	1208	135.9	5.3	227.54	0	201671935.4	196786879.9	198791182.1	High	High	High
EOS18043	pep supercontig:Para_gold_dnLKV18_V1:acPFM-supercont1.2:229214:230401:1 gene:C803_02250 transcript:EOS18043 gene_biotype:protein_coding transcript_biotype:protein_coding description:8-amino-7-oxononanoate synthase	0	High	247.137	66	26	115	26	395	43.6	6.18	235.22	0	485637049.1	487865120.9	476159232.5	High	High	High
EOS17361	pep supercontig:Para_gold_dnLKV18_V1:acPFM-supercont1.2:383835:387263:-1 gene:C803_02371 transcript:EOS17361 gene_biotype:protein_coding transcript_biotype:protein_coding description:isoleucyl-tRNA synthetase	0	High	245.917	35	29	74	29	1142	130.5	5.27	155.18	0	168906267	165812869.3	161905643.6	High	High	High
EOS17707	pep supercontig:Para_gold_dnLKV18_V1:acPFM-supercont1.2:782850:785465:-1 gene:C803_02720 transcript:EOS17707 gene_biotype:protein_coding transcript_biotype:protein_coding description:valyl-tRNA synthetase	0	High	244.767	42	37	142	37	871	99.7	5.33	246.93	0	282883165.1	288034107.6	292164509.1	High	High	High
EOS14577	pep supercontig:Para_gold_dnLKV18_V1:acPFM-supercont1.4:304001:305866:-1 gene:C803_04718 transcript:EOS14577 gene_biotype:protein_coding transcript_biotype:protein_coding description:hypothetical protein	0	High	242.914	56	30	113	30	621	70.1	6.37	196.89	0	217407427	216698232.3	218919482.7	High	High	High
EOS16116	pep supercontig:Para_gold_dnLKV18_V1:acPFM-supercont1.3:1428048:1430369:-1 gene:C803_04431 transcript:EOS16116 gene_biotype:protein_coding transcript_biotype:protein_coding description:hexosaminidase	0	High	241.29	42	35	134	34	773	85.8	5.57	212.31	1	441509505.9	461306159	453619597.7	High	High	High
EOS16290	"pep supercontig:Para_gold_dnLKV18_V1:acPFM-supercont1.3:156335:159148:1 gene:C803_03507 transcript:EOS16290 gene_biotype:protein_coding transcript_biotype:protein_coding description:TonB-dependent outer membrane receptor, SusC/RagA subfamily, signature region"	0	High	238.287	39	34	95	34	937	105.8	6.84	192.21	0	152499933.3	143145736.8	144147675.2	High	High	High
EOS16050	pep supercontig:Para_gold_dnLKV18_V1:acPFM-supercont1.3:1332523:1334073:-1 gene:C803_04365 transcript:EOS16050 gene_biotype:protein_coding transcript_biotype:protein_coding description:hypothetical protein	0	High	237.553	53	21	89	21	516	56.5	6.43	222.8	0	397215556.3	422506518.8	399910793.9	High	High	High
EOS19181	pep supercontig:Para_gold_dnLKV18_V1:acPFM-supercont1.1:1235320:1236540:1 gene:C803_01014 transcript:EOS19181 gene_biotype:protein_coding transcript_biotype:protein_coding description:hypothetical protein	0	High	237.05	50	22	88	22	406	46	5.19	203.52	0	1071701067	1072183038	1085207491	High	High	High
EOS18365	pep supercontig:Para_gold_dnLKV18_V1:acPFM-supercont1.1:2380375:2381442:-1 gene:C803_02027 transcript:EOS18365 gene_biotype:protein_coding transcript_biotype:protein_coding description:phosphoserine aminotransferase	0	High	236.608	70	22	112	22	355	39.1	6.07	234.6	0	1334232522	1242751403	1208204927	High	High	High
EOS17447	pep supercontig:Para_gold_dnLKV18_V1:acPFM-supercont1.2:502331:503497:-1 gene:C803_02458 transcript:EOS17447 gene_biotype:protein_coding transcript_biotype:protein_coding description:hypothetical protein	0	High	234.544	73	19	63	19	388	43.7	5.87	162.59	0	221121036.7	206212528.3	211876225.3	High	High	High
EOS18274	pep supercontig:Para_gold_dnLKV18_V1:acPFM-supercont1.1:2261346:2263934:-1 gene:C803_01936 transcript:EOS18274 gene_biotype:protein_coding transcript_biotype:protein_coding description:chaperone ClpB	0	High	234.432	48	43	132	43	862	97.2	5.73	185.91	0	220495017.1	214742051.3	220341669.5	High	High	High
EOS15586	pep supercontig:Para_gold_dnLKV18_V1:acPFM-supercont1.3:744285:747575:-1 gene:C803_03897 transcript:EOS15586 gene_biotype:protein_coding transcript_biotype:protein_coding description:SusC/RagA family TonB-linked outer membrane protein	0	High	234.067	39	33	106	30	1096	121	6.9	205.66	2	366123708	347054201.9	347219668.8	High	High	High
EOS18345	pep supercontig:Para_gold_dnLKV18_V1:acPFM-supercont1.1:2347119:2348939:-1 gene:C803_02007 transcript:EOS18345 gene_biotype:protein_coding transcript_biotype:protein_coding description:hypothetical protein	0	High	232.368	53	27	82	26	606	69	5.44	169.85	1	226187824.6	222536201.3	216330583.9	High	High	High
EOS13202	"pep supercontig:Para_gold_dnLKV18_V1:acPFM-supercont1.6:125116:127659:1 gene:C803_05144 transcript:EOS13202 gene_biotype:protein_coding transcript_biotype:protein_coding description:ribonucleoside-diphosphate reductase, adenosylcobalamin-dependent"	0	High	230.749	43	36	122	36	847	95.9	5.66	207.86	0	278068669.1	294644796	293801029.7	High	High	High
EOS15991	pep supercontig:Para_gold_dnLKV18_V1:acPFM-supercont1.3:1254264:1256576:-1 gene:C803_04305 transcript:EOS15991 gene_biotype:protein_coding transcript_biotype:protein_coding description:iron complex outermembrane recepter protein	0	High	228.99	52	28	94	27	770	86.3	6.58	205.98	1	207074370.4	199085004.8	197652209.5	High	High	High
EOS17733	pep supercontig:Para_gold_dnLKV18_V1:acPFM-supercont1.2:826852:828492:-1 gene:C803_02747 transcript:EOS17733 gene_biotype:protein_coding transcript_biotype:protein_coding description:chaperonin	0	High	228.344	56	35	109	35	546	58.3	5.12	183.06	0	529691963	522501042	517014593	High	High	High
EOS15308	pep supercontig:Para_gold_dnLKV18_V1:acPFM-supercont1.3:317424:319085:-1 gene:C803_03618 transcript:EOS15308 gene_biotype:protein_coding transcript_biotype:protein_coding description:hypothetical protein	0	High	227.176	48	22	91	22	553	62	4.91	183.32	0	587934660.5	559519634.5	558445734.6	High	High	High
