sample	CD3D	CD3E	CD8A	CLDN4	GNLY	KLRD1	NKG7	TACSTD2
A208	-0.514	-0.3341	-0.4054	0.1182	0.0799	0.4437	0.1236	0.4702
A209	1.8431	2.6229	1.6123	-4.6615	1.499	2.1088	1.3974	-3.3394
A210	-0.2199	-0.1822	0.1206	0.8001	0.1484	0.4116	0.0468	-0.3412
A211	0.186	0.459	0.2388	-1.1632	0.8089	1.4706	0.9571	-0.6733
A212	-0.259	0.1266	0.5385	-0.2376	0.313	0.5071	0.3203	-0.2971
A213	-0.2222	0.0023	-0.1715	-0.1865	-1.0734	-0.4211	-0.9249	-1.3635
A214	0.9139	1.7673	1.327	-1.3035	2.6063	1.8245	2.4874	0.6427
A215	-0.0225	0.2237	0.6504	-1.6855	2.2757	2.4247	1.9381	-0.3894
A216	-0.1068	-0.1017	0.0868	-0.1227	1.369	0.3999	0.8213	0.2338
A217	-0.1963	0.055	-0.4837	1.0426	-0.3146	-0.0957	-0.0883	0.2615
A218	1.4646	1.4638	1.9377	-1.1285	1.2276	1.2706	1.5572	-1.5925
A219	-1.9121	-1.6133	-2.1999	0.9766	-1.2189	-1.3704	-1.8059	1.1376
A220	-0.4244	-0.1081	-0.2346	0.9248	-0.7881	0.1652	-0.8706	-0.7142
A221	-0.7262	-0.2716	0.0821	-1.9446	0.7653	1.3031	0.8847	-0.9305
A222	0.0312	0.3216	-0.2394	0.7467	-1.1639	-0.9219	-0.4932	-0.0004
A232	-0.8268	-0.8778	-0.9089	0.4453	0.5045	-0.5848	-0.8545	0.5507
A233	1.215	1.2439	1.9744	-0.2346	1.5967	1.8453	1.3884	0.0365
A234	0.3109	0.5983	0.2912	-0.2581	-0.0964	-0.0405	-0.0298	-0.8895
A239	0.1117	0.3631	0.535	-0.3572	0.6122	0.1446	0.3329	0.2423
A240	1.3585	1.2592	1.5049	-0.846	1.108	1.2291	1.0166	-0.1451
A241	1.1156	1.0805	1.4141	-0.3486	0.6814	1.0368	1.3372	-0.2086
A243	-0.617	-0.6047	-1.6643	0.6288	-1.2097	-0.2903	-0.8039	0.7601
A247	1.8274	1.2823	1.821	-0.7613	1.3663	1.321	1.5181	-0.0259
A249	-0.807	-0.7394	-1.5774	-0.2796	-1.1192	-0.6936	-1.286	0.4579
A250	-0.5402	-0.5759	0.1753	0.5431	-0.3683	0.2282	-0.1856	0.0749
A252	-0.3991	0.1798	0.4187	-1.9194	1.8002	1.9127	1.766	-0.5454
A255	0.6397	0.7374	0.4687	-0.0075	0.8151	0.6318	0.6439	-1.0917
A258	-0.2137	0.3173	-0.0732	0.238	1.1231	1.4928	1.1683	0.0807
A259	-0.9073	-0.7163	-0.553	0.7087	-0.4005	-0.6852	-0.9727	-0.2426
A260	-0.3272	-0.3826	-0.0031	1.7471	-0.6105	-0.3004	-0.1863	-4.6656
A261	-1.0415	-0.9434	-0.7333	0.6054	-0.3407	-0.6852	-0.3959	1.0849
A262	-1.1882	-1.1118	-1.6284	-0.0208	0.21	-1.9355	-1.4949	0.2005
A263	0.2209	0.2709	-0.3169	0.03	-1.1193	-0.5899	-0.2156	-0.5474
A264	0.581	0.7656	0.8841	-2.424	-0.2213	0.9567	1.0526	-1.7025
A265	1.1075	1.1181	1.242	0.2514	1.2736	0.737	0.7805	0.0955
A266	0.3588	0.5354	0.8216	-0.4338	0.4565	0.9603	0.6476	-1.2715
A267	0.6715	0.8083	0.6771	-0.0617	0.0601	-0.1733	0.4758	-0.7566
A268	-0.5029	0.1463	-0.3458	-1.2428	1.8293	1.984	1.6202	-0.7872
A269	-0.307	-0.0116	-0.934	1.5184	-1.4368	-0.4755	-0.8611	0.1957
A270	0.6759	0.7757	0.7708	-0.6553	0.8679	1.8855	1.3572	-0.2208
A271	0.1568	0.1796	0.4422	0.1224	-0.445	0.6332	0.5996	-0.2662
A272	-1.314	-1.3391	-1.3239	1.7774	-1.1593	-2.9586	-1.4919	1.8516
A273	-0.5633	-0.2967	-0.6016	-0.4185	-0.5316	-0.132	-0.1593	-0.2499
A274	-0.5115	-0.1892	-0.3129	0.9597	0.4328	0.1188	0.273	-0.3584
A275	-0.7871	-0.4391	-0.1811	1.3096	-0.1812	-0.1135	-0.2398	0.8406
A276	0.2728	0.4619	0.1212	0.0792	-0.9053	-0.0644	-0.1092	-1.3065
A277	-0.5604	-0.3574	-0.9503	2.8746	-1.0392	-0.9189	-1.1962	0.3195
A278	0.1826	0.3369	0.3467	-0.0487	-0.3975	0.1991	0.0924	-0.8766
A279	-0.1949	-0.1136	-0.0558	0.7768	0.0782	-0.1796	-0.3147	0.4834
A280	-0.3116	0.1074	-0.0521	0.838	-0.4329	-0.6629	-0.5736	0.4268
A281	0.3195	0.69	0.2722	-0.867	0.3099	0.3417	0.4384	-0.9784
A282	-0.1161	-0.0841	-0.6171	-0.4293	-0.5647	-1.26	-0.9073	-1.5391
A283	0.3336	0.547	0.5916	-0.5506	0.8209	1.6831	1.1789	-0.541
A284	-0.9724	-0.4983	-1.7978	-1.0822	-0.7843	-0.5878	-0.8165	-1.1705
A285	0.7909	0.9249	0.7841	0.476	0.3327	0.5186	0.5353	-1.3054
A306	0.0315	0.1305	0.7071	1.2363	-0.064	-0.0418	0.149	-0.2166
A307	0.1027	0.174	0.5699	1.195	0.5977	-0.1341	0.3855	0.883
A310	-0.9333	-1.2084	-0.9798	0.6689	-0.5768	-1.1609	-0.9837	1.573
A315	-0.3063	-0.1493	0.0195	-0.2668	-0.2881	0.6021	0.0972	-0.723
A316	0.1498	-0.0087	-0.2762	-0.1309	0.5686	0.2026	-0.0807	-0.2282
A320	-0.4268	-0.5733	-0.1552	-0.1787	0.0699	0.6169	0.2404	-0.6355
A322	-1.6837	-1.8367	-1.8442	-0.2813	-1.0769	-1.2509	-1.5869	-0.1168
A323	-0.3373	-0.7905	-0.0522	0.9229	0.9109	0.2235	0.5806	0.9144
A375	-1.3087	-0.9196	-0.6611	-0.4761	-0.7742	-0.6855	-0.8174	-0.59
A377	-0.2452	-0.2547	-0.3419	0.0886	-0.2695	0.0735	0.0279	-0.5134
A379	0.3924	0.3737	-0.1041	0.128	0.122	-0.781	0.1157	1.7788
A380	-0.5986	-0.3194	-0.0532	-0.1887	1.1121	0.705	0.4658	0.0421
A381	-0.5084	-0.5385	-1.0335	1.0378	-0.9966	-1.8898	-0.9752	0.6702
A425	0.0091	0.0478	0.2306	0.7718	1.2033	1.3928	0.7469	0.0809
A426	0.1751	0.2074	-0.3268	-0.0022	-0.9276	-1.2007	-0.4099	1.2207
A428	-1.5395	-1.3395	-2.1618	0.3838	-1.5548	-1.3548	-1.3457	1.179
A430	0.103	-0.0082	-0.892	0.1798	-1.7627	-1.0538	-1.1606	0.4475
A432	0.9476	0.5216	0.299	0.2075	0.544	0.5687	0.7164	0.8715
A433	0.7462	0.2852	1.2113	0.6065	0.9706	0.9359	1.04	0.0874
A434	1.1194	0.6224	0.8386	0.7399	0.4488	0.2001	0.5914	1.177
A483	1.045	1.0522	1.1253	-0.0137	1.5619	0.1869	1.0939	0.7944
A486	2.0015	1.7727	0.8455	-0.4049	1.9516	0.8385	1.5845	0.598
A488	1.7493	1.5309	0.8408	0.5727	0.2708	-0.7358	1.0918	0.1906
A490	0.56	0.2769	-1.1138	0.5774	0.802	-1.4882	0.1469	-0.2071
A492	-0.0943	-0.0953	-0.3687	0.9407	-0.2673	-0.1205	-0.3686	-0.5312
A493	1.7029	1.3818	0.9778	-0.1951	1.9061	0.6729	1.7596	0.2993
A496	1.6196	1.8413	1.6239	-1.7998	1.6886	1.0463	1.8112	-2.0022
A499	2.5588	2.4855	2.2886	-1.5436	2.2825	1.3243	2.2853	-1.4784
A500	3.4713	3.2659	2.1237	-3.6276	0.9621	1.0087	1.9101	-2.2112
A503	0.4639	0.3864	-0.5494	0.5172	-0.2098	-0.7177	-0.4346	0.5179
A504	0.1217	0.2483	-0.2414	0.8542	0.4602	0.091	0.2017	0.0863
A508	2.5263	2.2411	2.3362	-1.3338	2.7996	2.009	2.9801	-1.2102
A509	0.9537	0.8658	0.8828	0.5876	0.5781	0.4037	0.7799	-0.3729
A510	0.4086	0.0822	-0.4022	1.101	-0.2601	-0.4636	-0.0185	0.2992
A511	0.8006	0.7941	0.6569	-1.132	-0.0346	-0.15	0.2875	-0.4224
A512	-1.0899	-0.8535	-0.7317	-0.0866	-0.5515	-1.4827	-1.2711	1.4787
A514	0.6257	0.7729	0.9557	-0.0985	0.2772	0.3729	0.8169	0.0146
A517	1.4994	1.7101	1.0581	-1.0959	0.2613	0.0642	0.4037	-0.0685
A519	-0.067	0.0407	-0.2119	0.4444	0.0076	-0.0949	0.127	-0.5253
A521	0.8091	1.1714	0.7516	-0.5658	-0.0439	0.2171	0.4415	-0.7924
A522	0.0112	0.3181	0.23	-1.221	0.8637	1.1664	1.0044	-0.8058
A524	1.1575	1.1765	1.557	-1.1489	0.5489	0.8767	1.2176	-0.9425
A530	-0.1635	0.1959	0.0874	-0.5856	0.2186	0.5481	0.525	-0.5868
A532	1.1354	1.4119	1.3831	-1.8945	0.5311	0.8496	1.2312	-1.297
A534	-0.2835	-0.0066	0.0037	0.1685	-1.1054	-0.5455	-0.5578	-0.4249
A537	0.3442	0.2146	0.7417	-0.1626	0.1931	0.036	-0.1548	0.4336
A538	1.063	1.3341	1.0853	-0.0441	0.7314	0.9465	0.8424	-0.0054
