cohort	stratum	gene	family	contrast	n	effect	p	thesis_stat	thesis_match
LUAD	all	DCLRE1C	NHEJ	mw_q1q4	258	0.15749999999999886	0.010107182370361355	-0.15749999999999886	False
LUAD	all	DCLRE1C	NHEJ	mw_d1d10	104	0.23815000000000097	0.09867614971116208	-0.23815000000000097	False
LUAD	all	DCLRE1C	NHEJ	mw_median	515	0.11355000000000004	0.02353216617043496	-0.11355000000000004	False
LUAD	all	DCLRE1C	NHEJ	mw_p20	206	0.14670000000000094	0.01370175161936906	-0.14670000000000094	False
LUAD	all	TMEM173	STING	spearman	515	0.19291896740598768	1.0390988057477662e-05	-0.19291896740598768	False
LUAD	all	TMEM173	STING	mw_q1q4	258	-0.5504999999999995	6.277567504423891e-05	-0.5504999999999995	False
LUAD	all	TMEM173	STING	mw_d1d10	104	-0.6157000000000004	0.009221665602983476	-0.6157000000000004	False
LUAD	all	TMEM173	STING	mw_median	515	-0.3890999999999991	7.019293480465546e-05	-0.3890999999999991	False
LUAD	all	TMEM173	STING	mw_p20	206	-0.557599999999999	0.00011981486020544956	-0.557599999999999	False
LUAD	all	TBK1	STING	spearman	515	-0.22767956900250852	1.7598175764866226e-07	0.22767956900250852	True
LUAD	all	TBK1	STING	mw_q1q4	258	0.19740000000000002	2.43497730553359e-07	0.19740000000000002	True
LUAD	all	TBK1	STING	mw_d1d10	104	0.21424999999999983	0.0005906388309412994	0.21424999999999983	True
LUAD	all	TBK1	STING	mw_median	515	0.1675500000000003	6.58855957847222e-06	0.1675500000000003	True
LUAD	all	TBK1	STING	mw_p20	206	0.21720000000000006	2.3631515376984985e-06	0.21720000000000006	True
LUAD	all	IRF3	STING	spearman	515	0.07761070470484907	0.0784684676206244	-0.07761070470484907	False
LUAD	all	IRF3	STING	mw_q1q4	258	0.0030999999999998806	0.26145233089111886	0.0030999999999998806	True
LUAD	all	IRF3	STING	mw_d1d10	104	0.06299999999999883	0.660782956590428	0.06299999999999883	True
LUAD	all	IRF3	STING	mw_median	515	-0.024649999999999395	0.08306774751348431	-0.024649999999999395	False
LUAD	all	IRF3	STING	mw_p20	206	-0.0029000000000003467	0.1700117957461018	-0.0029000000000003467	False
LUAD	all	HLA-A	APM	spearman	515	0.05921746648822365	0.17967044272116778	-0.05921746648822365	False
LUAD	all	HLA-A	APM	mw_q1q4	258	-0.08370000000000033	0.17974165508486684	-0.08370000000000033	False
LUAD	all	HLA-A	APM	mw_d1d10	104	-0.07110000000000127	0.2511917910560896	-0.07110000000000127	False
LUAD	all	HLA-A	APM	mw_median	515	-0.00140000000000029	0.42898992067236286	-0.00140000000000029	False
LUAD	all	HLA-A	APM	mw_p20	206	-0.1189	0.30150352583303663	-0.1189	False
LUAD	all	HLA-B	APM	spearman	515	0.03533215789138575	0.42364372277047113	-0.03533215789138575	False
LUAD	all	HLA-B	APM	mw_q1q4	258	0.029799999999999827	0.6032254763881557	0.029799999999999827	True
LUAD	all	HLA-B	APM	mw_d1d10	104	-0.11195000000000022	0.9042677221546954	-0.11195000000000022	False
LUAD	all	HLA-B	APM	mw_median	515	0.05954999999999977	0.4906004190114366	0.05954999999999977	True
LUAD	all	HLA-B	APM	mw_p20	206	-0.1294000000000004	0.7144897956276284	-0.1294000000000004	False
LUAD	all	HLA-C	APM	spearman	515	0.023407015194845452	0.596131632325267	-0.023407015194845452	False
LUAD	all	HLA-C	APM	mw_q1q4	258	-0.02319999999999922	0.6409488455698295	-0.02319999999999922	False
LUAD	all	HLA-C	APM	mw_d1d10	104	-0.15470000000000006	0.8734490091049013	-0.15470000000000006	False
LUAD	all	HLA-C	APM	mw_median	515	0.07790000000000141	0.8811293387279772	0.07790000000000141	True
LUAD	all	HLA-C	APM	mw_p20	206	-0.09769999999999968	0.7092633366540916	-0.09769999999999968	False
LUAD	immune_low	PRKDC	NHEJ	spearman	258	-0.1964109869742178	0.0015220481582377938	-0.1964109869742178	False
LUAD	immune_low	LIG4	NHEJ	spearman	258	-0.1885027882330079	0.0023626110783146826	-0.1885027882330079	False
LUAD	immune_low	XRCC4	NHEJ	spearman	258	-0.0303744733957029	0.6272300298546098	-0.0303744733957029	False
LUAD	immune_low	XRCC5	NHEJ	spearman	258	-0.21067965710388617	0.00065948411129232	-0.21067965710388617	False
LUAD	immune_low	XRCC6	NHEJ	spearman	258	-0.045157460658857965	0.47018219578835485	-0.045157460658857965	False
LUAD	immune_low	NHEJ1	NHEJ	spearman	258	-0.20551235366408932	0.0008985563882674491	-0.20551235366408932	False
LUAD	immune_low	DCLRE1C	NHEJ	spearman	258	-0.09196364903028188	0.14072258471697	-0.09196364903028188	False
LUAD	immune_low	TMEM173	STING	spearman	258	0.3147220607307365	2.4378051632971673e-07	-0.3147220607307365	False
LUAD	immune_low	TBK1	STING	spearman	258	-0.20144203356289966	0.0011405652886369924	0.20144203356289966	True
LUAD	immune_low	IRF3	STING	spearman	258	0.11738804447475516	0.05971522980632964	-0.11738804447475516	False
LUAD	immune_low	HLA-A	APM	spearman	258	0.15962988021313154	0.010226548316671528	-0.15962988021313154	False
LUAD	immune_low	HLA-B	APM	spearman	258	0.21436845511725106	0.0005264238256617468	-0.21436845511725106	False
LUAD	immune_low	HLA-C	APM	spearman	258	0.1415770621841599	0.022936509203849473	-0.1415770621841599	False
LUAD	immune_high	PRKDC	NHEJ	spearman	257	-0.0890505682903725	0.15460297253661945	-0.0890505682903725	False
LUAD	immune_high	LIG4	NHEJ	spearman	257	-0.1281187534353344	0.04013535607152819	-0.1281187534353344	False
LUAD	immune_high	XRCC4	NHEJ	spearman	257	0.10757030977167302	0.0852373627554459	0.10757030977167302	True
LUAD	immune_high	XRCC5	NHEJ	spearman	257	0.015430602496561528	0.8055427690006028	0.015430602496561528	True
LUAD	immune_high	XRCC6	NHEJ	spearman	257	0.1240092978076848	0.04703314905333468	0.1240092978076848	True
LUAD	immune_high	NHEJ1	NHEJ	spearman	257	-0.08679510656127022	0.1653600960311764	-0.08679510656127022	False
LUAD	immune_high	DCLRE1C	NHEJ	spearman	257	-0.14522946539727613	0.019847506832971883	-0.14522946539727613	False
LUAD	immune_high	TMEM173	STING	spearman	257	0.13314834812331325	0.03287274245341785	-0.13314834812331325	False
LUAD	immune_high	TBK1	STING	spearman	257	-0.24996805468687652	5.072225317689547e-05	0.24996805468687652	True
LUAD	immune_high	IRF3	STING	spearman	257	0.04088643718725271	0.5140546888407326	-0.04088643718725271	False
LUAD	immune_high	HLA-A	APM	spearman	257	0.08041871218150494	0.1987896030932404	-0.08041871218150494	False
LUAD	immune_high	HLA-B	APM	spearman	257	0.0013955189983934563	0.9822383026869616	-0.0013955189983934563	False
LUAD	immune_high	HLA-C	APM	spearman	257	0.0356702086615132	0.5691996679638706	-0.0356702086615132	False
LUAD	krt_low	PRKDC	NHEJ	spearman	258	-0.11234995633616661	0.07161581547307487	-0.11234995633616661	False
LUAD	krt_low	LIG4	NHEJ	spearman	258	-0.10716342068781119	0.08581642111053293	-0.10716342068781119	False
LUAD	krt_low	XRCC4	NHEJ	spearman	258	0.02966591346015677	0.6352890384141788	0.02966591346015677	True
LUAD	krt_low	XRCC5	NHEJ	spearman	258	-0.12099887202487354	0.05223033293736589	-0.12099887202487354	False
LUAD	krt_low	XRCC6	NHEJ	spearman	258	0.04095160815559881	0.5125572805685337	0.04095160815559881	True
LUAD	krt_low	NHEJ1	NHEJ	spearman	258	-0.03099740322810704	0.6201812584207125	-0.03099740322810704	False
LUAD	krt_low	DCLRE1C	NHEJ	spearman	258	-0.15804761849863072	0.011012810377715452	-0.15804761849863072	False
LUAD	krt_low	TMEM173	STING	spearman	258	0.17916130149149084	0.003887119415857067	-0.17916130149149084	False
LUAD	krt_low	TBK1	STING	spearman	258	-0.2524883328689828	4.086472635334677e-05	0.2524883328689828	True
LUAD	krt_low	IRF3	STING	spearman	258	0.12330618122334741	0.04786896227648919	-0.12330618122334741	False
LUAD	krt_low	HLA-A	APM	spearman	258	0.09342436094365734	0.13449586241270545	-0.09342436094365734	False
LUAD	krt_low	HLA-B	APM	spearman	258	0.08983206144209854	0.15020135692866324	-0.08983206144209854	False
LUAD	krt_low	HLA-C	APM	spearman	258	0.08354141853372693	0.18099505387828332	-0.08354141853372693	False
LUAD	krt_high	PRKDC	NHEJ	spearman	257	-0.13757420764178296	0.02743815557916248	-0.13757420764178296	False
LUAD	krt_high	LIG4	NHEJ	spearman	257	-0.18256774172567933	0.0033114569671106944	-0.18256774172567933	False
LUAD	krt_high	XRCC4	NHEJ	spearman	257	-0.06348447219459226	0.31068042259143175	-0.06348447219459226	False
LUAD	krt_high	XRCC5	NHEJ	spearman	257	-0.132648558025307	0.0335404489902705	-0.132648558025307	False
LUAD	krt_high	XRCC6	NHEJ	spearman	257	-0.00951378597604809	0.8793623943561067	-0.00951378597604809	False
LUAD	krt_high	NHEJ1	NHEJ	spearman	257	-0.23788185695322142	0.00011794309254263322	-0.23788185695322142	False
LUAD	krt_high	DCLRE1C	NHEJ	spearman	257	-0.08716694697238017	0.16354911058115335	-0.08716694697238017	False
LUAD	krt_high	TMEM173	STING	spearman	257	0.2908095780426955	2.114166567659466e-06	-0.2908095780426955	False
LUAD	krt_high	TBK1	STING	spearman	257	-0.2350354986217158	0.0001429843298138253	0.2350354986217158	True
LUAD	krt_high	IRF3	STING	spearman	257	0.016191272350662273	0.7961619101994833	-0.016191272350662273	False
LUAD	krt_high	HLA-A	APM	spearman	257	0.005248395665690814	0.9332722109160672	-0.005248395665690814	False
LUAD	krt_high	HLA-B	APM	spearman	257	-0.007697623411351621	0.9022634496994636	0.007697623411351621	True
LUAD	krt_high	HLA-C	APM	spearman	257	-0.03050949186547871	0.6263763538699811	0.03050949186547871	True
LUSC	all	PRKDC	NHEJ	spearman	501	-0.2293849011032116	2.0930613343574748e-07	-0.2293849011032116	False
LUSC	all	PRKDC	NHEJ	mw_q1q4	251	0.4056999999999995	7.710856993115131e-07	-0.4056999999999995	False
LUSC	all	PRKDC	NHEJ	mw_d1d10	101	0.4369499999999995	8.51658693073013e-05	-0.4369499999999995	False
LUSC	all	PRKDC	NHEJ	mw_median	501	0.28644999999999854	3.517724883111002e-06	-0.28644999999999854	False
LUSC	all	PRKDC	NHEJ	mw_p20	201	0.3995499999999996	9.633481359788566e-07	-0.3995499999999996	False
LUSC	all	LIG4	NHEJ	spearman	501	-0.08185044992740888	0.06716665746407872	-0.08185044992740888	False
LUSC	all	LIG4	NHEJ	mw_q1q4	251	0.16405000000000047	0.07163996371792632	-0.16405000000000047	False
LUSC	all	LIG4	NHEJ	mw_d1d10	101	0.1803499999999998	0.47782741660175676	-0.1803499999999998	False
LUSC	all	LIG4	NHEJ	mw_median	501	0.0746999999999991	0.13470445493315453	-0.0746999999999991	False
LUSC	all	LIG4	NHEJ	mw_p20	201	0.15834999999999955	0.17674101619638827	-0.15834999999999955	False
LUSC	all	XRCC4	NHEJ	spearman	501	-0.07854701194403634	0.07901279714786467	-0.07854701194403634	False
LUSC	all	XRCC4	NHEJ	mw_q1q4	251	0.12209999999999965	0.0593312297868197	-0.12209999999999965	False
LUSC	all	XRCC4	NHEJ	mw_d1d10	101	0.2790499999999989	0.032114033678440894	-0.2790499999999989	False
LUSC	all	XRCC4	NHEJ	mw_median	501	0.0749499999999994	0.4268135991324855	-0.0749499999999994	False
LUSC	all	XRCC4	NHEJ	mw_p20	201	0.22754999999999992	0.07446233293069086	-0.22754999999999992	False
LUSC	all	XRCC5	NHEJ	spearman	501	-0.06294968495467888	0.15946276326247308	-0.06294968495467888	False
LUSC	all	XRCC5	NHEJ	mw_q1q4	251	0.06930000000000014	0.4791361807350598	-0.06930000000000014	False
LUSC	all	XRCC5	NHEJ	mw_d1d10	101	0.22084999999999866	0.08028554037518404	-0.22084999999999866	False
LUSC	all	XRCC5	NHEJ	mw_median	501	0.08860000000000134	0.04794619823362897	-0.08860000000000134	False
LUSC	all	XRCC5	NHEJ	mw_p20	201	0.08660000000000068	0.3089693275466393	-0.08660000000000068	False
LUSC	all	XRCC6	NHEJ	spearman	501	-0.05585817089937031	0.2119846727883865	-0.05585817089937031	False
LUSC	all	XRCC6	NHEJ	mw_q1q4	251	0.12894999999999968	0.2475568105322591	-0.12894999999999968	False
LUSC	all	XRCC6	NHEJ	mw_d1d10	101	0.08680000000000199	0.6514901642458351	-0.08680000000000199	False
LUSC	all	XRCC6	NHEJ	mw_median	501	0.08580000000000076	0.2699140839044928	-0.08580000000000076	False
LUSC	all	XRCC6	NHEJ	mw_p20	201	0.13939999999999841	0.15703109505686655	-0.13939999999999841	False
LUSC	all	NHEJ1	NHEJ	spearman	501	-0.06127339842182823	0.17089134160001987	-0.06127339842182823	False
LUSC	all	NHEJ1	NHEJ	mw_q1q4	251	0.07829999999999959	0.3098862179036387	-0.07829999999999959	False
LUSC	all	NHEJ1	NHEJ	mw_d1d10	101	0.047399999999999665	0.5659988681459419	-0.047399999999999665	False
LUSC	all	NHEJ1	NHEJ	mw_median	501	0.1111500000000003	0.06018985673155267	-0.1111500000000003	False
LUSC	all	NHEJ1	NHEJ	mw_p20	201	0.07264999999999944	0.40275682262319623	-0.07264999999999944	False
LUSC	all	DCLRE1C	NHEJ	spearman	501	-0.01869065859751069	0.6764260628517191	-0.01869065859751069	False
LUSC	all	DCLRE1C	NHEJ	mw_q1q4	251	0.05799999999999983	0.5940730763584232	-0.05799999999999983	False
LUSC	all	DCLRE1C	NHEJ	mw_d1d10	101	0.04125000000000156	0.9972902392830355	-0.04125000000000156	False
LUSC	all	DCLRE1C	NHEJ	mw_median	501	0.08099999999999952	0.6199458106562274	-0.08099999999999952	False
LUSC	all	DCLRE1C	NHEJ	mw_p20	201	0.03890000000000171	0.9584150357872374	-0.03890000000000171	False
LUSC	all	TMEM173	STING	spearman	501	-0.0012218436617921669	0.9782362018562218	0.0012218436617921669	True
LUSC	all	TMEM173	STING	mw_q1q4	251	0.14904999999999902	0.6159174764626205	0.14904999999999902	True
LUSC	all	TMEM173	STING	mw_d1d10	101	0.3619500000000002	0.16689665053690028	0.3619500000000002	True
LUSC	all	TMEM173	STING	mw_median	501	-0.006349999999999412	0.3870289639581056	-0.006349999999999412	False
LUSC	all	TMEM173	STING	mw_p20	201	0.19930000000000092	0.5402909256644258	0.19930000000000092	True
LUSC	all	TBK1	STING	spearman	501	0.11427470272492166	0.010472779674588236	-0.11427470272492166	False
LUSC	all	TBK1	STING	mw_q1q4	251	-0.12990000000000101	0.00575860858539866	-0.12990000000000101	False
LUSC	all	TBK1	STING	mw_d1d10	101	-0.15360000000000085	0.08087342215423744	-0.15360000000000085	False
LUSC	all	TBK1	STING	mw_median	501	-0.06409999999999805	0.03113895649400301	-0.06409999999999805	False
LUSC	all	TBK1	STING	mw_p20	201	-0.14785000000000004	0.004085519119599593	-0.14785000000000004	False
LUSC	all	IRF3	STING	spearman	501	0.03622565106844642	0.41846912390463864	-0.03622565106844642	False
LUSC	all	IRF3	STING	mw_q1q4	251	0.07275000000000098	0.5262154481751911	0.07275000000000098	True
LUSC	all	IRF3	STING	mw_d1d10	101	0.15629999999999988	0.7702314497366897	0.15629999999999988	True
LUSC	all	IRF3	STING	mw_median	501	-0.016850000000001586	0.2603857113561079	-0.016850000000001586	False
LUSC	all	IRF3	STING	mw_p20	201	0.1003500000000006	0.36118825761534323	0.1003500000000006	True
LUSC	all	HLA-A	APM	spearman	501	0.03209462397215623	0.4735190128260491	-0.03209462397215623	False
LUSC	all	HLA-A	APM	mw_q1q4	251	-0.07859999999999978	0.7195482851867765	-0.07859999999999978	False
LUSC	all	HLA-A	APM	mw_d1d10	101	0.06579999999999941	0.5034654481843474	0.06579999999999941	True
LUSC	all	HLA-A	APM	mw_median	501	-0.1673000000000009	0.059811925003110784	-0.1673000000000009	False
LUSC	all	HLA-A	APM	mw_p20	201	-0.040300000000000225	0.8338370165581975	-0.040300000000000225	False
LUSC	all	HLA-B	APM	spearman	501	0.006767161169460043	0.8799023984430427	-0.006767161169460043	False
LUSC	all	HLA-B	APM	mw_q1q4	251	0.03369999999999962	0.8096914572666423	0.03369999999999962	True
LUSC	all	HLA-B	APM	mw_d1d10	101	0.17185000000000095	0.19334876859824235	0.17185000000000095	True
LUSC	all	HLA-B	APM	mw_median	501	-0.0182500000000001	0.1301009131695452	-0.0182500000000001	False
LUSC	all	HLA-B	APM	mw_p20	201	0.13724999999999987	0.5778062371549488	0.13724999999999987	True
LUSC	all	HLA-C	APM	spearman	501	0.022842719519828195	0.609996340430596	-0.022842719519828195	False
LUSC	all	HLA-C	APM	mw_q1q4	251	0.19824999999999982	0.8681131946128493	0.19824999999999982	True
LUSC	all	HLA-C	APM	mw_d1d10	101	0.4007499999999986	0.3754006875571424	0.4007499999999986	True
LUSC	all	HLA-C	APM	mw_median	501	-0.0638500000000004	0.07925374177444633	-0.0638500000000004	False
LUSC	all	HLA-C	APM	mw_p20	201	0.24179999999999957	0.6046059338357956	0.24179999999999957	True
LUSC	immune_low	PRKDC	NHEJ	spearman	251	-0.2092940309573371	0.0008489649594634921	-0.2092940309573371	False
LUSC	immune_low	LIG4	NHEJ	spearman	251	-0.08853698400397049	0.161982246155219	-0.08853698400397049	False
LUSC	immune_low	XRCC4	NHEJ	spearman	251	-0.09740092813560873	0.12378475814585127	-0.09740092813560873	False
LUSC	immune_low	XRCC5	NHEJ	spearman	251	-0.05494256776946388	0.3860713349244407	-0.05494256776946388	False
LUSC	immune_low	XRCC6	NHEJ	spearman	251	-0.09425958694342056	0.13643045141059026	-0.09425958694342056	False
LUSC	immune_low	NHEJ1	NHEJ	spearman	251	-0.10963510867211033	0.08300577089803915	-0.10963510867211033	False
LUSC	immune_low	DCLRE1C	NHEJ	spearman	251	0.02521686125034835	0.6909403333476379	0.02521686125034835	True
LUSC	immune_low	TMEM173	STING	spearman	251	-0.13983957873624542	0.02673857410274622	0.13983957873624542	True
LUSC	immune_low	TBK1	STING	spearman	251	0.18428513022683904	0.003387552385282974	-0.18428513022683904	False
LUSC	immune_low	IRF3	STING	spearman	251	-0.0057818294682826545	0.927377427304318	0.0057818294682826545	True
LUSC	immune_low	HLA-A	APM	spearman	251	-0.0363536537774549	0.5664653757140566	0.0363536537774549	True
LUSC	immune_low	HLA-B	APM	spearman	251	-0.04928785728081244	0.43689837012134164	0.04928785728081244	True
LUSC	immune_low	HLA-C	APM	spearman	251	-0.008889020426306606	0.8885585524366657	0.008889020426306606	True
LUSC	immune_high	PRKDC	NHEJ	spearman	250	-0.2492632355044788	6.761674735989656e-05	-0.2492632355044788	False
LUSC	immune_high	LIG4	NHEJ	spearman	250	-0.08607008427409182	0.17491276526079955	-0.08607008427409182	False
LUSC	immune_high	XRCC4	NHEJ	spearman	250	-0.06584674876086019	0.29971873222577966	-0.06584674876086019	False
LUSC	immune_high	XRCC5	NHEJ	spearman	250	-0.07392276134369338	0.24419798859577793	-0.07392276134369338	False
LUSC	immune_high	XRCC6	NHEJ	spearman	250	-0.021205235855022205	0.7386501367277565	-0.021205235855022205	False
LUSC	immune_high	NHEJ1	NHEJ	spearman	250	-0.016269200801959045	0.7979767572454329	-0.016269200801959045	False
LUSC	immune_high	DCLRE1C	NHEJ	spearman	250	-0.0702754958724113	0.26831394508993145	-0.0702754958724113	False
LUSC	immune_high	TMEM173	STING	spearman	250	0.09531731028065878	0.1328467504277003	-0.09531731028065878	False
LUSC	immune_high	TBK1	STING	spearman	250	0.03321809300098344	0.6011577886083728	-0.03321809300098344	False
LUSC	immune_high	IRF3	STING	spearman	250	0.08076807431907018	0.2031118478643258	-0.08076807431907018	False
LUSC	immune_high	HLA-A	APM	spearman	250	0.08625128570131337	0.17400316275260705	-0.08625128570131337	False
LUSC	immune_high	HLA-B	APM	spearman	250	0.055093382649985395	0.38572491087237737	-0.055093382649985395	False
LUSC	immune_high	HLA-C	APM	spearman	250	0.038236673152535414	0.5473304758457441	-0.038236673152535414	False
LUSC	krt_low	PRKDC	NHEJ	spearman	251	-0.19741316441903484	0.001672320410583574	-0.19741316441903484	False
LUSC	krt_low	LIG4	NHEJ	spearman	251	0.009016127682817024	0.886975573993474	0.009016127682817024	True
LUSC	krt_low	XRCC4	NHEJ	spearman	251	-0.05308673103020264	0.40234272907501306	-0.05308673103020264	False
LUSC	krt_low	XRCC5	NHEJ	spearman	251	-0.12943393262528272	0.04046109299334662	-0.12943393262528272	False
LUSC	krt_low	XRCC6	NHEJ	spearman	251	-0.09381261268029727	0.13830756967440208	-0.09381261268029727	False
LUSC	krt_low	NHEJ1	NHEJ	spearman	251	-0.13138577009245356	0.03750923320569142	-0.13138577009245356	False
LUSC	krt_low	DCLRE1C	NHEJ	spearman	251	0.11592868828091431	0.06670219210885342	0.11592868828091431	True
LUSC	krt_low	TMEM173	STING	spearman	251	-0.015345107452179024	0.8088476026821769	0.015345107452179024	True
LUSC	krt_low	TBK1	STING	spearman	251	0.10949046081975368	0.08341520232698012	-0.10949046081975368	False
LUSC	krt_low	IRF3	STING	spearman	251	0.006484922394174168	0.918575119982838	-0.006484922394174168	False
LUSC	krt_low	HLA-A	APM	spearman	251	0.060722455079199544	0.33800877206473956	-0.060722455079199544	False
LUSC	krt_low	HLA-B	APM	spearman	251	0.07648151707105376	0.22727190897884814	-0.07648151707105376	False
LUSC	krt_low	HLA-C	APM	spearman	251	0.10092965317004483	0.11068526428521248	-0.10092965317004483	False
LUSC	krt_high	PRKDC	NHEJ	spearman	250	-0.2093316708401799	0.000867807625067191	-0.2093316708401799	False
LUSC	krt_high	LIG4	NHEJ	spearman	250	-0.022028158056373738	0.728897612712422	-0.022028158056373738	False
LUSC	krt_high	XRCC4	NHEJ	spearman	250	-0.059378543060100146	0.34979997811989155	-0.059378543060100146	False
LUSC	krt_high	XRCC5	NHEJ	spearman	250	-0.018100537935730295	0.7758098672672288	-0.018100537935730295	False
LUSC	krt_high	XRCC6	NHEJ	spearman	250	-0.12037953674982323	0.05733522714285706	-0.12037953674982323	False
LUSC	krt_high	NHEJ1	NHEJ	spearman	250	0.04989052930134113	0.432234049852464	0.04989052930134113	True
LUSC	krt_high	DCLRE1C	NHEJ	spearman	250	-0.09155217988100955	0.14892319071490473	-0.09155217988100955	False
LUSC	krt_high	TMEM173	STING	spearman	250	0.11339140666055922	0.0735074836907308	-0.11339140666055922	False
LUSC	krt_high	TBK1	STING	spearman	250	0.092948026244553	0.1427991718167181	-0.092948026244553	False
LUSC	krt_high	IRF3	STING	spearman	250	0.05624699154782246	0.375839924711295	-0.05624699154782246	False
LUSC	krt_high	HLA-A	APM	spearman	250	0.07735350391543924	0.22293386377101365	-0.07735350391543924	False
LUSC	krt_high	HLA-B	APM	spearman	250	0.07807274811382096	0.21864820871360424	-0.07807274811382096	False
LUSC	krt_high	HLA-C	APM	spearman	250	0.061668385736156704	0.33149807151877364	-0.061668385736156704	False
