set	gene	source	n_in_set
IFNg	SP110	MSigDB Hallmark interferon gamma response; four HGNC aliases mapped onto HiSeqV2	200
IFNg	OASL	MSigDB Hallmark interferon gamma response; four HGNC aliases mapped onto HiSeqV2	200
IFNg	PSMB8	MSigDB Hallmark interferon gamma response; four HGNC aliases mapped onto HiSeqV2	200
IFNg	IFI44L	MSigDB Hallmark interferon gamma response; four HGNC aliases mapped onto HiSeqV2	200
IFNg	IFITM3	MSigDB Hallmark interferon gamma response; four HGNC aliases mapped onto HiSeqV2	200
IFNg	DDX60	MSigDB Hallmark interferon gamma response; four HGNC aliases mapped onto HiSeqV2	200
IFNg	LGALS3BP	MSigDB Hallmark interferon gamma response; four HGNC aliases mapped onto HiSeqV2	200
IFNg	GBP4	MSigDB Hallmark interferon gamma response; four HGNC aliases mapped onto HiSeqV2	200
IFNg	IRF8	MSigDB Hallmark interferon gamma response; four HGNC aliases mapped onto HiSeqV2	200
IFNg	PSMB9	MSigDB Hallmark interferon gamma response; four HGNC aliases mapped onto HiSeqV2	200
IFNg	PML	MSigDB Hallmark interferon gamma response; four HGNC aliases mapped onto HiSeqV2	200
IFNg	IFIH1	MSigDB Hallmark interferon gamma response; four HGNC aliases mapped onto HiSeqV2	200
IFNg	UBE2L6	MSigDB Hallmark interferon gamma response; four HGNC aliases mapped onto HiSeqV2	200
IFNg	IFI27	MSigDB Hallmark interferon gamma response; four HGNC aliases mapped onto HiSeqV2	200
IFNg	ADAR	MSigDB Hallmark interferon gamma response; four HGNC aliases mapped onto HiSeqV2	200
IFNg	LY6E	MSigDB Hallmark interferon gamma response; four HGNC aliases mapped onto HiSeqV2	200
IFNg	STAT2	MSigDB Hallmark interferon gamma response; four HGNC aliases mapped onto HiSeqV2	200
IFNg	CXCL9	MSigDB Hallmark interferon gamma response; four HGNC aliases mapped onto HiSeqV2	200
IFNg	IL10RA	MSigDB Hallmark interferon gamma response; four HGNC aliases mapped onto HiSeqV2	200
IFNg	PLA2G4A	MSigDB Hallmark interferon gamma response; four HGNC aliases mapped onto HiSeqV2	200
IFNg	TRIM21	MSigDB Hallmark interferon gamma response; four HGNC aliases mapped onto HiSeqV2	200
IFNg	USP18	MSigDB Hallmark interferon gamma response; four HGNC aliases mapped onto HiSeqV2	200
IFNg	PTGS2	MSigDB Hallmark interferon gamma response; four HGNC aliases mapped onto HiSeqV2	200
IFNg	EPSTI1	MSigDB Hallmark interferon gamma response; four HGNC aliases mapped onto HiSeqV2	200
IFNg	C1S	MSigDB Hallmark interferon gamma response; four HGNC aliases mapped onto HiSeqV2	200
IFNg	DDX58	MSigDB Hallmark interferon gamma response; four HGNC aliases mapped onto HiSeqV2	200
IFNg	IL15	MSigDB Hallmark interferon gamma response; four HGNC aliases mapped onto HiSeqV2	200
IFNg	NLRC5	MSigDB Hallmark interferon gamma response; four HGNC aliases mapped onto HiSeqV2	200
IFNg	NMI	MSigDB Hallmark interferon gamma response; four HGNC aliases mapped onto HiSeqV2	200
IFNg	IDO1	MSigDB Hallmark interferon gamma response; four HGNC aliases mapped onto HiSeqV2	200
IFNg	PSMB10	MSigDB Hallmark interferon gamma response; four HGNC aliases mapped onto HiSeqV2	200
IFNg	CXCL11	MSigDB Hallmark interferon gamma response; four HGNC aliases mapped onto HiSeqV2	200
IFNg	ITGB7	MSigDB Hallmark interferon gamma response; four HGNC aliases mapped onto HiSeqV2	200
IFNg	SAMHD1	MSigDB Hallmark interferon gamma response; four HGNC aliases mapped onto HiSeqV2	200
IFNg	HERC6	MSigDB Hallmark interferon gamma response; four HGNC aliases mapped onto HiSeqV2	200
IFNg	CMPK2	MSigDB Hallmark interferon gamma response; four HGNC aliases mapped onto HiSeqV2	200
IFNg	SAMD9L	MSigDB Hallmark interferon gamma response; four HGNC aliases mapped onto HiSeqV2	200
IFNg	RTP4	MSigDB Hallmark interferon gamma response; four HGNC aliases mapped onto HiSeqV2	200
IFNg	PTPN2	MSigDB Hallmark interferon gamma response; four HGNC aliases mapped onto HiSeqV2	200
IFNg	PARP14	MSigDB Hallmark interferon gamma response; four HGNC aliases mapped onto HiSeqV2	200
IFNg	TNFAIP2	MSigDB Hallmark interferon gamma response; four HGNC aliases mapped onto HiSeqV2	200
IFNg	IFITM2	MSigDB Hallmark interferon gamma response; four HGNC aliases mapped onto HiSeqV2	200
IFNg	PLSCR1	MSigDB Hallmark interferon gamma response; four HGNC aliases mapped onto HiSeqV2	200
IFNg	SOCS1	MSigDB Hallmark interferon gamma response; four HGNC aliases mapped onto HiSeqV2	200
IFNg	CASP1	MSigDB Hallmark interferon gamma response; four HGNC aliases mapped onto HiSeqV2	200
IFNg	ICAM1	MSigDB Hallmark interferon gamma response; four HGNC aliases mapped onto HiSeqV2	200
IFNg	WARS	MSigDB Hallmark interferon gamma response; four HGNC aliases mapped onto HiSeqV2	200
IFNg	PSME1	MSigDB Hallmark interferon gamma response; four HGNC aliases mapped onto HiSeqV2	200
IFNg	ISG20	MSigDB Hallmark interferon gamma response; four HGNC aliases mapped onto HiSeqV2	200
IFNg	IRF2	MSigDB Hallmark interferon gamma response; four HGNC aliases mapped onto HiSeqV2	200
IFNg	TRIM14	MSigDB Hallmark interferon gamma response; four HGNC aliases mapped onto HiSeqV2	200
IFNg	FCGR1A	MSigDB Hallmark interferon gamma response; four HGNC aliases mapped onto HiSeqV2	200
IFNg	MARCH1	MSigDB Hallmark interferon gamma response; four HGNC aliases mapped onto HiSeqV2	200
IFNg	SOCS3	MSigDB Hallmark interferon gamma response; four HGNC aliases mapped onto HiSeqV2	200
IFNg	JAK2	MSigDB Hallmark interferon gamma response; four HGNC aliases mapped onto HiSeqV2	200
IFNg	HLA-DMA	MSigDB Hallmark interferon gamma response; four HGNC aliases mapped onto HiSeqV2	200
IFNg	PARP12	MSigDB Hallmark interferon gamma response; four HGNC aliases mapped onto HiSeqV2	200
IFNg	TNFAIP6	MSigDB Hallmark interferon gamma response; four HGNC aliases mapped onto HiSeqV2	200
IFNg	TRIM26	MSigDB Hallmark interferon gamma response; four HGNC aliases mapped onto HiSeqV2	200
IFNg	VCAM1	MSigDB Hallmark interferon gamma response; four HGNC aliases mapped onto HiSeqV2	200
IFNg	CD274	MSigDB Hallmark interferon gamma response; four HGNC aliases mapped onto HiSeqV2	200
IFNg	CIITA	MSigDB Hallmark interferon gamma response; four HGNC aliases mapped onto HiSeqV2	200
IFNg	NAMPT	MSigDB Hallmark interferon gamma response; four HGNC aliases mapped onto HiSeqV2	200
IFNg	SELP	MSigDB Hallmark interferon gamma response; four HGNC aliases mapped onto HiSeqV2	200
IFNg	GPR18	MSigDB Hallmark interferon gamma response; four HGNC aliases mapped onto HiSeqV2	200
IFNg	FPR1	MSigDB Hallmark interferon gamma response; four HGNC aliases mapped onto HiSeqV2	200
IFNg	PRIC285	MSigDB Hallmark interferon gamma response; four HGNC aliases mapped onto HiSeqV2	200
IFNg	PSME2	MSigDB Hallmark interferon gamma response; four HGNC aliases mapped onto HiSeqV2	200
IFNg	SERPING1	MSigDB Hallmark interferon gamma response; four HGNC aliases mapped onto HiSeqV2	200
IFNg	CCL5	MSigDB Hallmark interferon gamma response; four HGNC aliases mapped onto HiSeqV2	200
IFNg	RNF31	MSigDB Hallmark interferon gamma response; four HGNC aliases mapped onto HiSeqV2	200
IFNg	SOD2	MSigDB Hallmark interferon gamma response; four HGNC aliases mapped onto HiSeqV2	200
IFNg	TRIM25	MSigDB Hallmark interferon gamma response; four HGNC aliases mapped onto HiSeqV2	200
IFNg	LAP3	MSigDB Hallmark interferon gamma response; four HGNC aliases mapped onto HiSeqV2	200
IFNg	PSMA3	MSigDB Hallmark interferon gamma response; four HGNC aliases mapped onto HiSeqV2	200
IFNg	RNF213	MSigDB Hallmark interferon gamma response; four HGNC aliases mapped onto HiSeqV2	200
IFNg	PELI1	MSigDB Hallmark interferon gamma response; four HGNC aliases mapped onto HiSeqV2	200
IFNg	CFB	MSigDB Hallmark interferon gamma response; four HGNC aliases mapped onto HiSeqV2	200
IFNg	CD86	MSigDB Hallmark interferon gamma response; four HGNC aliases mapped onto HiSeqV2	200
IFNg	TXNIP	MSigDB Hallmark interferon gamma response; four HGNC aliases mapped onto HiSeqV2	200
IFNg	HLA-DQA1	MSigDB Hallmark interferon gamma response; four HGNC aliases mapped onto HiSeqV2	200
IFNg	GCH1	MSigDB Hallmark interferon gamma response; four HGNC aliases mapped onto HiSeqV2	200
IFNg	PNP	MSigDB Hallmark interferon gamma response; four HGNC aliases mapped onto HiSeqV2	200
IFNg	CCL7	MSigDB Hallmark interferon gamma response; four HGNC aliases mapped onto HiSeqV2	200
IFNg	PTPN6	MSigDB Hallmark interferon gamma response; four HGNC aliases mapped onto HiSeqV2	200
IFNg	SPPL2A	MSigDB Hallmark interferon gamma response; four HGNC aliases mapped onto HiSeqV2	200
IFNg	IL4R	MSigDB Hallmark interferon gamma response; four HGNC aliases mapped onto HiSeqV2	200
IFNg	PNPT1	MSigDB Hallmark interferon gamma response; four HGNC aliases mapped onto HiSeqV2	200
IFNg	DHX58	MSigDB Hallmark interferon gamma response; four HGNC aliases mapped onto HiSeqV2	200
IFNg	BTG1	MSigDB Hallmark interferon gamma response; four HGNC aliases mapped onto HiSeqV2	200
IFNg	CASP8	MSigDB Hallmark interferon gamma response; four HGNC aliases mapped onto HiSeqV2	200
IFNg	IFI30	MSigDB Hallmark interferon gamma response; four HGNC aliases mapped onto HiSeqV2	200
IFNg	CCL2	MSigDB Hallmark interferon gamma response; four HGNC aliases mapped onto HiSeqV2	200
IFNg	FGL2	MSigDB Hallmark interferon gamma response; four HGNC aliases mapped onto HiSeqV2	200
IFNg	CASP7	MSigDB Hallmark interferon gamma response; four HGNC aliases mapped onto HiSeqV2	200
IFNg	SECTM1	MSigDB Hallmark interferon gamma response; four HGNC aliases mapped onto HiSeqV2	200
IFNg	IL15RA	MSigDB Hallmark interferon gamma response; four HGNC aliases mapped onto HiSeqV2	200
IFNg	CD40	MSigDB Hallmark interferon gamma response; four HGNC aliases mapped onto HiSeqV2	200
IFNg	TRAFD1	MSigDB Hallmark interferon gamma response; four HGNC aliases mapped onto HiSeqV2	200
IFNg	HLA-DRB1	MSigDB Hallmark interferon gamma response; four HGNC aliases mapped onto HiSeqV2	200
IFNg	GBP6	MSigDB Hallmark interferon gamma response; four HGNC aliases mapped onto HiSeqV2	200
IFNg	LCP2	MSigDB Hallmark interferon gamma response; four HGNC aliases mapped onto HiSeqV2	200
IFNg	HLA-G	MSigDB Hallmark interferon gamma response; four HGNC aliases mapped onto HiSeqV2	200
IFNg	MT2A	MSigDB Hallmark interferon gamma response; four HGNC aliases mapped onto HiSeqV2	200
IFNg	RIPK1	MSigDB Hallmark interferon gamma response; four HGNC aliases mapped onto HiSeqV2	200
IFNg	KLRK1	MSigDB Hallmark interferon gamma response; four HGNC aliases mapped onto HiSeqV2	200
IFNg	UPP1	MSigDB Hallmark interferon gamma response; four HGNC aliases mapped onto HiSeqV2	200
IFNg	PSMB2	MSigDB Hallmark interferon gamma response; four HGNC aliases mapped onto HiSeqV2	200
IFNg	TDRD7	MSigDB Hallmark interferon gamma response; four HGNC aliases mapped onto HiSeqV2	200
IFNg	HIF1A	MSigDB Hallmark interferon gamma response; four HGNC aliases mapped onto HiSeqV2	200
IFNg	EIF4E3	MSigDB Hallmark interferon gamma response; four HGNC aliases mapped onto HiSeqV2	200
IFNg	VAMP8	MSigDB Hallmark interferon gamma response; four HGNC aliases mapped onto HiSeqV2	200
IFNg	PFKP	MSigDB Hallmark interferon gamma response; four HGNC aliases mapped onto HiSeqV2	200
IFNg	CD38	MSigDB Hallmark interferon gamma response; four HGNC aliases mapped onto HiSeqV2	200
IFNg	ZBP1	MSigDB Hallmark interferon gamma response; four HGNC aliases mapped onto HiSeqV2	200
IFNg	BANK1	MSigDB Hallmark interferon gamma response; four HGNC aliases mapped onto HiSeqV2	200
IFNg	TOR1B	MSigDB Hallmark interferon gamma response; four HGNC aliases mapped onto HiSeqV2	200
IFNg	RBCK1	MSigDB Hallmark interferon gamma response; four HGNC aliases mapped onto HiSeqV2	200
IFNg	PDE4B	MSigDB Hallmark interferon gamma response; four HGNC aliases mapped onto HiSeqV2	200
IFNg	MVP	MSigDB Hallmark interferon gamma response; four HGNC aliases mapped onto HiSeqV2	200
IFNg	IL7	MSigDB Hallmark interferon gamma response; four HGNC aliases mapped onto HiSeqV2	200
IFNg	BPGM	MSigDB Hallmark interferon gamma response; four HGNC aliases mapped onto HiSeqV2	200
IFNg	FTSJD2	MSigDB Hallmark interferon gamma response; four HGNC aliases mapped onto HiSeqV2	200
IFNg	AUTS2	MSigDB Hallmark interferon gamma response; four HGNC aliases mapped onto HiSeqV2	200
IFNg	B2M	MSigDB Hallmark interferon gamma response; four HGNC aliases mapped onto HiSeqV2	200
IFNg	RIPK2	MSigDB Hallmark interferon gamma response; four HGNC aliases mapped onto HiSeqV2	200
IFNg	CD69	MSigDB Hallmark interferon gamma response; four HGNC aliases mapped onto HiSeqV2	200
IFNg	MYD88	MSigDB Hallmark interferon gamma response; four HGNC aliases mapped onto HiSeqV2	200
IFNg	PSMA2	MSigDB Hallmark interferon gamma response; four HGNC aliases mapped onto HiSeqV2	200
IFNg	PIM1	MSigDB Hallmark interferon gamma response; four HGNC aliases mapped onto HiSeqV2	200
IFNg	NOD1	MSigDB Hallmark interferon gamma response; four HGNC aliases mapped onto HiSeqV2	200
IFNg	CFH	MSigDB Hallmark interferon gamma response; four HGNC aliases mapped onto HiSeqV2	200
IFNg	TAPBP	MSigDB Hallmark interferon gamma response; four HGNC aliases mapped onto HiSeqV2	200
IFNg	SLC25A28	MSigDB Hallmark interferon gamma response; four HGNC aliases mapped onto HiSeqV2	200
IFNg	PTPN1	MSigDB Hallmark interferon gamma response; four HGNC aliases mapped onto HiSeqV2	200
IFNg	TNFAIP3	MSigDB Hallmark interferon gamma response; four HGNC aliases mapped onto HiSeqV2	200
IFNg	SSPN	MSigDB Hallmark interferon gamma response; four HGNC aliases mapped onto HiSeqV2	200
IFNg	NUP93	MSigDB Hallmark interferon gamma response; four HGNC aliases mapped onto HiSeqV2	200
IFNg	MTHFD2	MSigDB Hallmark interferon gamma response; four HGNC aliases mapped onto HiSeqV2	200
IFNg	CDKN1A	MSigDB Hallmark interferon gamma response; four HGNC aliases mapped onto HiSeqV2	200
IFNg	IRF4	MSigDB Hallmark interferon gamma response; four HGNC aliases mapped onto HiSeqV2	200
IFNg	NFKB1	MSigDB Hallmark interferon gamma response; four HGNC aliases mapped onto HiSeqV2	200
IFNg	BATF2	MSigDB Hallmark interferon gamma response; four HGNC aliases mapped onto HiSeqV2	200
IFNg	HLA-B	MSigDB Hallmark interferon gamma response; four HGNC aliases mapped onto HiSeqV2	200
IFNg	LATS2	MSigDB Hallmark interferon gamma response; four HGNC aliases mapped onto HiSeqV2	200
IFNg	IRF5	MSigDB Hallmark interferon gamma response; four HGNC aliases mapped onto HiSeqV2	200
IFNg	SLAMF7	MSigDB Hallmark interferon gamma response; four HGNC aliases mapped onto HiSeqV2	200
IFNg	ISOC1	MSigDB Hallmark interferon gamma response; four HGNC aliases mapped onto HiSeqV2	200
IFNg	P2RY14	MSigDB Hallmark interferon gamma response; four HGNC aliases mapped onto HiSeqV2	200
IFNg	STAT3	MSigDB Hallmark interferon gamma response; four HGNC aliases mapped onto HiSeqV2	200
IFNg	NCOA3	MSigDB Hallmark interferon gamma response; four HGNC aliases mapped onto HiSeqV2	200
IFNg	HLA-A	MSigDB Hallmark interferon gamma response; four HGNC aliases mapped onto HiSeqV2	200
IFNg	IL6	MSigDB Hallmark interferon gamma response; four HGNC aliases mapped onto HiSeqV2	200
IFNg	GZMA	MSigDB Hallmark interferon gamma response; four HGNC aliases mapped onto HiSeqV2	200
IFNg	IFNAR2	MSigDB Hallmark interferon gamma response; four HGNC aliases mapped onto HiSeqV2	200
IFNg	CD74	MSigDB Hallmark interferon gamma response; four HGNC aliases mapped onto HiSeqV2	200
IFNg	RAPGEF6	MSigDB Hallmark interferon gamma response; four HGNC aliases mapped onto HiSeqV2	200
IFNg	CASP4	MSigDB Hallmark interferon gamma response; four HGNC aliases mapped onto HiSeqV2	200
IFNg	FAS	MSigDB Hallmark interferon gamma response; four HGNC aliases mapped onto HiSeqV2	200
IFNg	OGFR	MSigDB Hallmark interferon gamma response; four HGNC aliases mapped onto HiSeqV2	200
IFNg	ARL4A	MSigDB Hallmark interferon gamma response; four HGNC aliases mapped onto HiSeqV2	200
IFNg	SRI	MSigDB Hallmark interferon gamma response; four HGNC aliases mapped onto HiSeqV2	200
IFNg	LYSMD2	MSigDB Hallmark interferon gamma response; four HGNC aliases mapped onto HiSeqV2	200
IFNg	CSF2RB	MSigDB Hallmark interferon gamma response; four HGNC aliases mapped onto HiSeqV2	200
IFNg	ST3GAL5	MSigDB Hallmark interferon gamma response; four HGNC aliases mapped onto HiSeqV2	200
IFNg	C1R	MSigDB Hallmark interferon gamma response; four HGNC aliases mapped onto HiSeqV2	200
IFNg	CASP3	MSigDB Hallmark interferon gamma response; four HGNC aliases mapped onto HiSeqV2	200
IFNg	CMKLR1	MSigDB Hallmark interferon gamma response; four HGNC aliases mapped onto HiSeqV2	200
IFNg	NFKBIA	MSigDB Hallmark interferon gamma response; four HGNC aliases mapped onto HiSeqV2	200
IFNg	METTL7B	MSigDB Hallmark interferon gamma response; four HGNC aliases mapped onto HiSeqV2	200
IFNg	ST8SIA4	MSigDB Hallmark interferon gamma response; four HGNC aliases mapped onto HiSeqV2	200
IFNg	XCL1	MSigDB Hallmark interferon gamma response; four HGNC aliases mapped onto HiSeqV2	200
IFNg	IL2RB	MSigDB Hallmark interferon gamma response; four HGNC aliases mapped onto HiSeqV2	200
IFNg	VAMP5	MSigDB Hallmark interferon gamma response; four HGNC aliases mapped onto HiSeqV2	200
IFNg	IL18BP	MSigDB Hallmark interferon gamma response; four HGNC aliases mapped onto HiSeqV2	200
IFNg	ZNFX1	MSigDB Hallmark interferon gamma response; four HGNC aliases mapped onto HiSeqV2	200
IFNg	ARID5B	MSigDB Hallmark interferon gamma response; four HGNC aliases mapped onto HiSeqV2	200
IFNg	APOL6	MSigDB Hallmark interferon gamma response; four HGNC aliases mapped onto HiSeqV2	200
IFNg	STAT4	MSigDB Hallmark interferon gamma response; four HGNC aliases mapped onto HiSeqV2	200
STING	DDX41	Reactome R-HSA-1834941 minus KEGG-NHEJ genes and absent CGAS; STING1=TMEM173	11
STING	DTX4	Reactome R-HSA-1834941 minus KEGG-NHEJ genes and absent CGAS; STING1=TMEM173	11
STING	IFI16	Reactome R-HSA-1834941 minus KEGG-NHEJ genes and absent CGAS; STING1=TMEM173	11
STING	IRF3	Reactome R-HSA-1834941 minus KEGG-NHEJ genes and absent CGAS; STING1=TMEM173	11
STING	NLRC3	Reactome R-HSA-1834941 minus KEGG-NHEJ genes and absent CGAS; STING1=TMEM173	11
STING	NLRP4	Reactome R-HSA-1834941 minus KEGG-NHEJ genes and absent CGAS; STING1=TMEM173	11
STING	STAT6	Reactome R-HSA-1834941 minus KEGG-NHEJ genes and absent CGAS; STING1=TMEM173	11
STING	TMEM173	Reactome R-HSA-1834941 minus KEGG-NHEJ genes and absent CGAS; STING1=TMEM173	11
STING	TBK1	Reactome R-HSA-1834941 minus KEGG-NHEJ genes and absent CGAS; STING1=TMEM173	11
STING	TREX1	Reactome R-HSA-1834941 minus KEGG-NHEJ genes and absent CGAS; STING1=TMEM173	11
STING	TRIM21	Reactome R-HSA-1834941 minus KEGG-NHEJ genes and absent CGAS; STING1=TMEM173	11
APM	HLA-A	MHC-I antigen processing machinery (HLA, B2M, TAP, immunoproteasome, loading, ERAP)	19
APM	HLA-B	MHC-I antigen processing machinery (HLA, B2M, TAP, immunoproteasome, loading, ERAP)	19
APM	HLA-C	MHC-I antigen processing machinery (HLA, B2M, TAP, immunoproteasome, loading, ERAP)	19
APM	HLA-E	MHC-I antigen processing machinery (HLA, B2M, TAP, immunoproteasome, loading, ERAP)	19
APM	B2M	MHC-I antigen processing machinery (HLA, B2M, TAP, immunoproteasome, loading, ERAP)	19
APM	TAP1	MHC-I antigen processing machinery (HLA, B2M, TAP, immunoproteasome, loading, ERAP)	19
APM	TAP2	MHC-I antigen processing machinery (HLA, B2M, TAP, immunoproteasome, loading, ERAP)	19
APM	TAPBP	MHC-I antigen processing machinery (HLA, B2M, TAP, immunoproteasome, loading, ERAP)	19
APM	PSMB8	MHC-I antigen processing machinery (HLA, B2M, TAP, immunoproteasome, loading, ERAP)	19
APM	PSMB9	MHC-I antigen processing machinery (HLA, B2M, TAP, immunoproteasome, loading, ERAP)	19
APM	PSMB10	MHC-I antigen processing machinery (HLA, B2M, TAP, immunoproteasome, loading, ERAP)	19
APM	PSME1	MHC-I antigen processing machinery (HLA, B2M, TAP, immunoproteasome, loading, ERAP)	19
APM	PSME2	MHC-I antigen processing machinery (HLA, B2M, TAP, immunoproteasome, loading, ERAP)	19
APM	ERAP1	MHC-I antigen processing machinery (HLA, B2M, TAP, immunoproteasome, loading, ERAP)	19
APM	ERAP2	MHC-I antigen processing machinery (HLA, B2M, TAP, immunoproteasome, loading, ERAP)	19
APM	NLRC5	MHC-I antigen processing machinery (HLA, B2M, TAP, immunoproteasome, loading, ERAP)	19
APM	CALR	MHC-I antigen processing machinery (HLA, B2M, TAP, immunoproteasome, loading, ERAP)	19
APM	PDIA3	MHC-I antigen processing machinery (HLA, B2M, TAP, immunoproteasome, loading, ERAP)	19
APM	CANX	MHC-I antigen processing machinery (HLA, B2M, TAP, immunoproteasome, loading, ERAP)	19
APM_nonIFN	HLA-C	APM genes that are not in the Hallmark IFN-γ set used here	8
APM_nonIFN	HLA-E	APM genes that are not in the Hallmark IFN-γ set used here	8
APM_nonIFN	TAP2	APM genes that are not in the Hallmark IFN-γ set used here	8
APM_nonIFN	ERAP1	APM genes that are not in the Hallmark IFN-γ set used here	8
APM_nonIFN	ERAP2	APM genes that are not in the Hallmark IFN-γ set used here	8
APM_nonIFN	CALR	APM genes that are not in the Hallmark IFN-γ set used here	8
APM_nonIFN	PDIA3	APM genes that are not in the Hallmark IFN-γ set used here	8
APM_nonIFN	CANX	APM genes that are not in the Hallmark IFN-γ set used here	8
