set	gene	n_in_set
IFNg	CXCL9	200
IFNg	IL10RA	200
IFNg	PLA2G4A	200
IFNg	TRIM21	200
IFNg	USP18	200
IFNg	PTGS2	200
IFNg	EPSTI1	200
IFNg	C1S	200
IFNg	DDX58	200
IFNg	IL15	200
IFNg	NLRC5	200
IFNg	NMI	200
IFNg	IDO1	200
IFNg	PSMB10	200
IFNg	CXCL11	200
IFNg	ITGB7	200
IFNg	SAMHD1	200
IFNg	HERC6	200
IFNg	CMPK2	200
IFNg	SAMD9L	200
IFNg	RTP4	200
IFNg	PTPN2	200
IFNg	PARP14	200
IFNg	TNFAIP2	200
IFNg	IFITM2	200
IFNg	PLSCR1	200
IFNg	SOCS1	200
IFNg	CASP1	200
IFNg	ICAM1	200
IFNg	WARS	200
IFNg	PSME1	200
IFNg	ISG20	200
IFNg	IRF2	200
IFNg	TRIM14	200
IFNg	FCGR1A	200
IFNg	MARCH1	200
IFNg	SOCS3	200
IFNg	JAK2	200
IFNg	HLA-DMA	200
IFNg	PARP12	200
IFNg	TNFAIP6	200
IFNg	TRIM26	200
IFNg	VCAM1	200
IFNg	CD274	200
IFNg	CIITA	200
IFNg	NAMPT	200
IFNg	SELP	200
IFNg	GPR18	200
IFNg	FPR1	200
IFNg	PRIC285	200
IFNg	PSME2	200
IFNg	SERPING1	200
IFNg	CCL5	200
IFNg	RNF31	200
IFNg	SOD2	200
IFNg	TRIM25	200
IFNg	LAP3	200
IFNg	PSMA3	200
IFNg	RNF213	200
IFNg	PELI1	200
IFNg	CFB	200
IFNg	CD86	200
IFNg	TXNIP	200
IFNg	HLA-DQA1	200
IFNg	GCH1	200
IFNg	PNP	200
IFNg	CCL7	200
IFNg	PTPN6	200
IFNg	SPPL2A	200
IFNg	IL4R	200
IFNg	PNPT1	200
IFNg	DHX58	200
IFNg	BTG1	200
IFNg	CASP8	200
IFNg	IFI30	200
IFNg	CCL2	200
IFNg	FGL2	200
IFNg	CASP7	200
IFNg	SECTM1	200
IFNg	IL15RA	200
IFNg	CD40	200
IFNg	TRAFD1	200
IFNg	HLA-DRB1	200
IFNg	GBP6	200
IFNg	LCP2	200
IFNg	HLA-G	200
IFNg	MT2A	200
IFNg	RIPK1	200
IFNg	KLRK1	200
IFNg	UPP1	200
IFNg	PSMB2	200
IFNg	TDRD7	200
IFNg	HIF1A	200
IFNg	EIF4E3	200
IFNg	VAMP8	200
IFNg	PFKP	200
IFNg	CD38	200
IFNg	ZBP1	200
IFNg	BANK1	200
IFNg	TOR1B	200
IFNg	RBCK1	200
IFNg	PDE4B	200
IFNg	MVP	200
IFNg	IL7	200
IFNg	BPGM	200
IFNg	FTSJD2	200
IFNg	AUTS2	200
IFNg	B2M	200
IFNg	RIPK2	200
