cohort	stratum	method	contrast	nhej_set	ifn_set	sting_set	apm_set	n	n_match	n_sig_match	n_sig_wrong	top_p_matches	top_family	top_geneset	top_p	signed_logp	qualifies	nhej_effect	nhej_p	nhej_match	ifn_effect	ifn_p	ifn_match	sting_effect	sting_p	sting_match	apm_effect	apm_p	apm_match
LUAD	immune_high	ssgsea	partial_krt	NHEJ_core	IFNa	STING_reactome	APM	257	3	1	0	True	APM	APM	0.0144597372156808	0.8240452692839408	False	-0.1225670693068855	0.0501282766894638	False	-0.0383932413193522	0.54086124307039	True	-0.003059359085241	0.9611501610868132	True	-0.1527019940185006	0.0144597372156808	True
LUAD	immune_high	zmean	partial_krt	NHEJ_KEGG	IFNg	STING_reactome	APM_nonIFN	257	3	1	1	True	APM	APM_nonIFN	2.789217013011456e-07	6.134213794272723	False	-0.1226931002301131	0.0498910010924111	False	-0.0530647966916931	0.3978442423979531	True	-0.0611148013541207	0.3300753110736869	True	-0.3144309236799335	2.789217013011456e-07	True
LUAD	immune_high	zmean	partial_krt	NHEJ_KEGG	IFNa	STING_reactome	APM_nonIFN	257	3	1	1	True	APM	APM_nonIFN	2.789217013011456e-07	5.973665181144919	False	-0.1226931002301131	0.0498910010924111	False	-0.0351329771719668	0.5757867815334159	True	-0.0611148013541207	0.3300753110736869	True	-0.3144309236799335	2.789217013011456e-07	True
LUAD	immune_high	zmean	partial_krt	NHEJ_reactome	IFNg	STING_reactome	APM_nonIFN	257	3	1	1	True	APM	APM_nonIFN	2.789217013011456e-07	5.389144648417263	False	-0.1630206495867306	0.0089733182856046	False	-0.0530647966916931	0.3978442423979531	True	-0.0611148013541207	0.3300753110736869	True	-0.3144309236799335	2.789217013011456e-07	True
LUAD	immune_high	zmean	partial_krt	NHEJ_reactome	IFNa	STING_reactome	APM_nonIFN	257	3	1	1	True	APM	APM_nonIFN	2.789217013011456e-07	5.228596035289459	False	-0.1630206495867306	0.0089733182856046	False	-0.0351329771719668	0.5757867815334159	True	-0.0611148013541207	0.3300753110736869	True	-0.3144309236799335	2.789217013011456e-07	True
LUAD	immune_high	zmean	mw_q1q4	NHEJ_KEGG	IFNg	STING_reactome	APM_nonIFN	129	3	1	1	True	APM	APM_nonIFN	1.53117318008725e-06	4.875024535411396	False	0.1541016649329223	0.0239012945582657	False	0.0185813432025206	0.7612566942029149	True	0.0941601776977261	0.273427033459714	True	0.3632475203449293	1.53117318008725e-06	True
LUAD	immune_high	gsva	partial_krt	NHEJ_KEGG	IFNg	STING_reactome	APM_nonIFN	257	3	1	1	True	APM	APM_nonIFN	8.326878462716475e-07	4.545974481256272	False	-0.1706663503133894	0.0061925061894687	False	-0.0474389868888623	0.4498081742725752	True	-0.0453222271192163	0.4703080352104982	True	-0.3022189319787922	8.326878462716475e-07	True
LUAD	immune_high	zmean	spearman	NHEJ_KEGG	IFNg	STING_reactome	APM_nonIFN	257	3	1	1	True	APM	APM_nonIFN	4.571604105814053e-06	4.481445591277126	False	-0.1307750943733715	0.0361469198667472	False	-0.0079588399732703	0.8989641787004556	True	-0.0662160922611814	0.2902783891299662	True	-0.2814836965906156	4.571604105814053e-06	True
LUAD	immune_high	gsva	partial_krt	NHEJ_KEGG	IFNa	STING_reactome	APM_nonIFN	257	3	1	1	True	APM	APM_nonIFN	8.326878462716475e-07	4.398643642769801	False	-0.1706663503133894	0.0061925061894687	False	-0.0301185723970173	0.6314779377544608	True	-0.0453222271192163	0.4703080352104982	True	-0.3022189319787922	8.326878462716475e-07	True
LUAD	immune_high	gsva	partial_krt	NHEJ_reactome	IFNg	STING_reactome	APM_nonIFN	257	3	1	1	True	APM	APM_nonIFN	8.326878462716475e-07	4.032484469458074	False	-0.1932188626419399	0.0018983506596762	False	-0.0474389868888623	0.4498081742725752	True	-0.0453222271192163	0.4703080352104982	True	-0.3022189319787922	8.326878462716475e-07	True
LUAD	immune_high	zmean	mw_q1q4	NHEJ_reactome	IFNg	STING_reactome	APM_nonIFN	129	3	1	1	True	APM	APM_nonIFN	1.53117318008725e-06	3.983819540349305	False	0.1705571936462625	0.0030705518055115	False	0.0185813432025206	0.7612566942029149	True	0.0941601776977261	0.273427033459714	True	0.3632475203449293	1.53117318008725e-06	True
LUAD	immune_high	gsva	partial_krt	NHEJ_reactome	IFNa	STING_reactome	APM_nonIFN	257	3	1	1	True	APM	APM_nonIFN	8.326878462716475e-07	3.8851536309716046	False	-0.1932188626419399	0.0018983506596762	False	-0.0301185723970173	0.6314779377544608	True	-0.0453222271192163	0.4703080352104982	True	-0.3022189319787922	8.326878462716475e-07	True
