sample	CD274	CLDN4	CD8A	CD8B
TCGA-44-6147-01	4.3696	13.7565	8.2178	5.9589
TCGA-44-6148-01	5.4895	11.9937	7.2125	8.4435
TCGA-44-6774-01	5.5689	12.2869	6.826	4.2919
TCGA-44-6775-01	6.2897	12.7879	7.1936	4.9202
TCGA-44-6776-01	4.2449	12.9028	6.5931	5.0894
TCGA-44-6777-01	7.612	12.4753	7.7095	5.3193
TCGA-44-6778-01	8.2703	11.2938	9.8727	7.2176
TCGA-44-6779-01	7.1094	12.3705	9.9315	7.6456
TCGA-44-7659-01	6.1088	13.439	7.1749	4.4546
TCGA-44-7660-01	6.2292	12.3919	6.7412	7.9729
TCGA-44-7661-01	9.9704	13.1095	8.0978	5.6448
TCGA-44-7662-01	7.1425	13.66	7.9429	5.7933
TCGA-44-7667-01	4.7353	12.1373	6.402	3.5009
TCGA-44-7669-01	6.544	11.8764	8.3189	5.7149
TCGA-44-7670-01	5.438	13.4328	7.5309	7.7056
TCGA-44-7671-01	4.3377	12.6456	5.7947	3.924
TCGA-44-7672-01	7.1885	13.4386	8.868	6.5048
TCGA-44-8117-01	6.7924	14.331	7.4843	4.6434
TCGA-44-8119-01	5.873	12.0346	7.9341	5.7158
TCGA-44-8120-01	5.4742	13.6934	7.1094	4.0857
TCGA-44-A479-01	6.8676	10.89	9.968	7.1472
TCGA-44-A47A-01	6.1624	12.4884	7.2718	5.3181
TCGA-44-A47B-01	4.3081	12.1678	9.0348	6.2941
TCGA-44-A47G-01	7.6691	12.7558	9.829	7.1494
TCGA-44-A4SS-01	6.0155	14.2554	9.2294	6.9211
TCGA-44-A4SU-01	5.4659	13.7425	7.0698	4.9782
TCGA-49-4486-01	3.2697	13.6094	6.9813	5.1394
TCGA-49-4487-01	5.8858	12.8205	10.0429	7.1972
TCGA-49-4488-01	6.6762	14.2491	9.0679	7.2564
TCGA-49-4490-01	3.4978	14.7058	6.848	5.789
TCGA-49-4494-01	6.1057	14.4296	8.7417	7.171
TCGA-49-4501-01	6.0327	13.6714	7.9818	6.53
TCGA-49-4505-01	6.553	14.4127	9.1952	7.5838
TCGA-49-4506-01	5.2783	11.0784	10.3526	9.1142
TCGA-49-4507-01	4.5322	12.1646	10.6705	8.2868
TCGA-49-4510-01	4.9548	13.7191	6.9828	6.6481
TCGA-49-4512-01	4.2233	13.6541	5.5345	2.9851
TCGA-49-4514-01	3.3478	12.6243	8.7819	7.1
TCGA-49-6742-01	4.4999	13.5595	6.7797	4.4515
TCGA-49-6743-01	7.1778	12.7352	7.8856	5.5247
TCGA-49-6744-01	6.1239	13.0655	9.4185	7.25
TCGA-49-6745-01	9.7282	13.9721	9.4148	6.7368
TCGA-49-6761-01	8.3896	13.4638	9.035	6.1725
TCGA-49-6767-01	7.7093	14.9288	9.3511	6.6153
TCGA-49-AAQV-01	6.3978	13.8427	7.8898	6.1996
TCGA-49-AAR0-01	4.8708	13.9141	8.1094	5.9767
TCGA-49-AAR2-01	4.0415	12.3571	8.094	5.856
TCGA-49-AAR3-01	8.6717	12.7714	10.5799	8.2236
TCGA-49-AAR4-01	6.8706	13.5861	11.6511	9.3425
TCGA-49-AAR9-01	4.0534	14.4641	7.2992	4.9027
TCGA-49-AARE-01	4.1571	14.5891	7.9365	5.7373
TCGA-49-AARN-01	6.0428	13.4552	7.667	5.9587
TCGA-49-AARO-01	6.6872	13.9747	8.2409	6.4509
TCGA-49-AARQ-01	4.8624	12.1781	7.8816	8.3173
TCGA-49-AARR-01	6.5759	12.4642	8.5877	6.9539
TCGA-4B-A93V-01	9.3718	12.8136	7.1542	5.632
TCGA-50-5044-01	7.8536	10.4577	8.9701	6.4082
TCGA-50-5045-01	6.9154	13.0188	9.481	7.7513
TCGA-50-5049-01	7.0997	13.5377	10.9426	9.2025
TCGA-50-5051-01	4.4019	13.4833	7.1495	5.1005
TCGA-50-5055-01	5.0251	12.7665	10.0987	8.176
TCGA-50-5066-01	6.4612	13.162	10.3138	9.6245
TCGA-50-5068-01	5.8222	13.7123	9.7169	8.4222
TCGA-50-5072-01	5.5319	13.0629	6.5162	4.9553
TCGA-50-5930-01	5.2039	12.7199	9.1193	6.5743
TCGA-50-5931-01	2.9899	13.0229	5.8216	7.2104
TCGA-50-5932-01	4.5511	14.3326	5.8251	3.4562
TCGA-50-5933-01	9.0321	12.5462	7.5837	5.0728
TCGA-50-5935-01	5.5883	14.1507	7.9981	5.5883
TCGA-50-5936-01	5.083	14.0301	6.5963	4.0944
TCGA-50-5939-01	7.0028	11.7306	6.0884	4.2833
TCGA-50-5941-01	7.6556	13.1522	10.0181	7.4803
TCGA-50-5942-01	5.0429	12.384	8.0742	5.722
TCGA-50-5944-01	5.1103	13.5533	6.5499	4.6664
TCGA-50-5946-01	4.8888	13.5318	6.8598	6.8438
TCGA-50-6590-01	8.8981	11.949	9.2312	6.9958
TCGA-50-6591-01	2.6727	10.4684	1.9953	4.1478
TCGA-50-6592-01	6.4007	13.6928	9.8472	7.187
TCGA-50-6593-01	6.941	13.1307	6.3544	4.1953
TCGA-50-6594-01	10.6897	13.8267	6.1865	2.5679
TCGA-50-6595-01	8.9916	12.3902	8.169	5.8316
TCGA-50-6597-01	3.2453	12.832	7.8037	6.6569
TCGA-50-6673-01	4.8033	12.8528	6.021	3.4719
TCGA-50-7109-01	4.6672	12.7292	8.8716	6.2605
TCGA-50-8457-01	5.7139	13.6486	8.8824	7.0534
TCGA-50-8459-01	5.2871	11.3731	7.9849	5.9539
TCGA-50-8460-01	5.7788	13.2652	7.9626	6.3495
TCGA-53-7624-01	7.1934	12.3371	7.4323	6.5013
TCGA-53-7626-01	6.4974	13.952	9.651	7.0709
TCGA-53-7813-01	4.7929	11.7644	9.2268	7.5471
TCGA-53-A4EZ-01	4.5977	12.4489	7.3565	5.3758
TCGA-55-1592-01	5.9134	13.2875	6.9209	4.7247
TCGA-55-1594-01	6.2193	11.8043	7.5941	9.3607
TCGA-55-1595-01	6.1034	12.7133	8.4188	6.4741
TCGA-55-1596-01	4.4411	13.5284	7.5734	5.5048
TCGA-55-5899-01	5.984	12.7733	8.209	6.1673
TCGA-55-6543-01	6.8278	13.5398	6.647	4.3185
TCGA-55-6642-01	5.9375	12.0786	8.8991	7.1285
TCGA-55-6712-01	7.791	13.9914	10.2819	8.2561
TCGA-55-6968-01	6.9145	13.0584	8.7796	6.6525
TCGA-55-6969-01	6.2712	12.4594	9.1315	6.8039
TCGA-55-6970-01	6.7842	11.7718	8.5305	5.9095
TCGA-55-6971-01	7.2296	12.1784	10.3594	7.6881
TCGA-55-6972-01	2.7458	14.1394	5.6789	4.1798
TCGA-55-6975-01	3.4671	12.4289	7.617	5.0379
TCGA-55-6978-01	9.4316	13.3122	10.6161	8.4426
TCGA-55-6979-01	8.2778	13.2114	9.8298	7.7544
TCGA-55-6980-01	6.3942	14.0199	7.6306	5.6586
TCGA-55-6981-01	6.2057	14.9573	5.3698	2.836
TCGA-55-6982-01	6.3435	14.8829	7.4147	5.7674
TCGA-55-6983-01	5.025	13.1022	8.9082	6.5802
TCGA-55-6984-01	5.2312	13.5138	6.4717	4.5197
TCGA-55-6985-01	6.8194	14.2372	8.7783	6.4023
TCGA-55-6986-01	5.5921	13.3351	7.3428	4.7636
TCGA-55-6987-01	7.9345	12.335	10.7359	8.1703
TCGA-55-7227-01	7.2963	13.1812	8.0979	5.9173
TCGA-55-7281-01	4.9098	14.6259	8.4095	5.8856
TCGA-55-7283-01	5.5271	14.1729	8.4172	5.8984
TCGA-55-7284-01	6.1835	13.2588	8.0965	6.2081
TCGA-55-7570-01	4.6668	12.6991	8.1794	8.7821
TCGA-55-7573-01	5.493	12.4929	7.9796	5.3303
TCGA-55-7574-01	5.6037	12.0012	9.6388	7.4168
TCGA-55-7576-01	6.0392	13.845	8.4702	6.0867
TCGA-55-7724-01	5.9336	10.7851	8.6359	6.1526
TCGA-55-7725-01	6.9284	11.6398	8.6707	6.5131
TCGA-55-7726-01	5.0419	12.2533	6.7479	3.0177
TCGA-55-7727-01	6.2171	12.0609	8.319	6.0474
TCGA-55-7728-01	6.3532	12.821	8.2088	6.2447
TCGA-55-7815-01	6.9098	9.6647	7.5953	4.2507
TCGA-55-7816-01	6.7095	10.4825	9.1754	7.0035
TCGA-55-7903-01	7.685	13.7809	8.7632	6.0825
TCGA-55-7907-01	5.7384	13.47	8.6764	6.8376
TCGA-55-7910-01	4.9369	12.1569	5.6724	4.2167
TCGA-55-7911-01	7.8547	13.1006	9.9155	7.1935
TCGA-55-7913-01	3.8567	13.9538	6.7592	4.4748
TCGA-55-7914-01	6.3212	13.1786	8.8211	6.6997
TCGA-55-7994-01	9.6723	12.9841	9.7072	7.7964
TCGA-55-7995-01	7.3116	13.7061	10.0194	8.4575
TCGA-55-8085-01	5.5946	12.7947	9.2834	7.0501
TCGA-55-8087-01	4.0624	13.2314	5.4799	3.9032
TCGA-55-8089-01	7.9199	11.6759	10.5624	7.8975
TCGA-55-8090-01	7.9441	13.9407	6.7361	4.5612
TCGA-55-8091-01	8.0089	13.004	7.1038	4.4099
TCGA-55-8092-01	6.4771	12.4752	10.1065	8.056
TCGA-55-8094-01	3.2241	13.6028	5.3761	3.6916
TCGA-55-8096-01	5.2986	13.0661	7.565	5.8751
TCGA-55-8097-01	4.8188	13.5792	6.9669	5.2717
TCGA-55-8203-01	6.0988	13.3033	8.7978	6.9722
TCGA-55-8204-01	6.6241	12.1725	7.993	5.729
TCGA-55-8205-01	9.5738	12.9263	10.1244	7.9661
TCGA-55-8206-01	5.8056	13.083	6.351	4.6222
TCGA-55-8207-01	5.9378	13.9501	7.9521	5.6862
TCGA-55-8208-01	8.1892	12.9167	9.5071	7.7275
TCGA-55-8299-01	7.3726	11.3939	10.4172	8.273
TCGA-55-8301-01	8.2932	13.3162	9.4844	7.6541
TCGA-55-8302-01	9.0066	14.9435	8.1994	5.6361
TCGA-55-8505-01	3.9205	13.815	5.4009	3.6084
TCGA-55-8506-01	6.235	13.2701	7.5058	5.296
TCGA-55-8507-01	4.9431	13.0026	6.9648	4.7822
TCGA-55-8508-01	5.1846	13.7315	7.3073	5.47
TCGA-55-8510-01	7.1597	13.7664	9.2203	7.0373
TCGA-55-8511-01	8.4893	13.6603	8.8618	6.4394
TCGA-55-8512-01	5.3976	13.4602	7.1723	7.6232
TCGA-55-8513-01	6.5158	12.5247	6.867	4.5848
TCGA-55-8514-01	5.7864	14.4052	5.8362	3.3266
TCGA-55-8614-01	5.0742	12.7772	7.7422	4.9911
TCGA-55-8615-01	3.7902	12.1794	4.5846	2.9913
TCGA-55-8616-01	6.392	14.2407	7.648	5.9026
TCGA-55-8619-01	6.0367	13.0374	9.0462	7.3886
TCGA-55-8620-01	5.8014	13.4318	8.6605	6.6327
TCGA-55-8621-01	7.8705	12.3754	8.517	5.8391
TCGA-55-A48X-01	6.1174	13.7898	8.5985	6.3075
TCGA-55-A48Y-01	4.5272	11.1427	7.0817	5.1775
TCGA-55-A48Z-01	6.6228	14.2594	8.1717	6.4028
TCGA-55-A490-01	4.785	13.1959	7.0802	4.4041
TCGA-55-A491-01	6.5733	14.1298	7.7473	7.6055
TCGA-55-A492-01	1.0505	12.8497	6.2272	4.8771
TCGA-55-A493-01	8.8056	14.1584	8.8862	6.6282
TCGA-55-A494-01	3.2366	14.8775	4.8768	7.2996
TCGA-55-A4DF-01	7.5775	12.3733	8.8928	7.4912
TCGA-55-A4DG-01	4.9814	13.1414	8.7333	6.5108
TCGA-55-A57B-01	6.0799	14.5326	6.4896	4.6827
TCGA-62-8394-01	5.2002	14.3344	6.6672	7.5556
TCGA-62-8395-01	3.471	13.0498	6.9314	4.9866
TCGA-62-8397-01	5.1117	13.2464	5.6621	3.8216
TCGA-62-8398-01	6.4545	13.4028	7.3698	5.0236
TCGA-62-8399-01	6.4279	13.5222	7.8585	5.1769
TCGA-62-8402-01	7.4787	12.3061	9.1259	9.1931
TCGA-62-A46O-01	4.0538	10.838	5.6129	4.0045
TCGA-62-A46P-01	3.7038	11.2594	6.5923	4.6473
TCGA-62-A46R-01	5.7149	13.7209	8.5005	7.2721
TCGA-62-A46S-01	5.4391	12.7215	7.4544	5.552
TCGA-62-A46U-01	8.8211	12.7864	9.0884	6.2828
TCGA-62-A46V-01	4.3821	12.5703	4.2377	2.576
TCGA-62-A46Y-01	7.4834	13.5356	8.7866	6.1121
TCGA-62-A470-01	4.8122	12.2752	6.0503	4.8122
TCGA-62-A471-01	4.555	12.5541	7.8271	5.5078
TCGA-62-A472-01	7.3502	13.1811	8.9349	6.7308
TCGA-64-1676-01	7.9603	13.836	8.7868	7.7488
TCGA-64-1677-01	6.8009	13.1946	8.4603	6.7284
TCGA-64-1678-01	3.0862	12.9673	7.3736	5.1175
TCGA-64-1679-01	6.664	13.4903	5.1273	3.553
TCGA-64-1680-01	4.8406	14.2411	6.7127	4.6817
TCGA-64-1681-01	5.1431	13.886	5.9811	3.6514
TCGA-64-5774-01	5.3985	13.3238	6.8882	9.0682
TCGA-64-5775-01	9.218	10.5857	5.9055	4.1463
TCGA-64-5778-01	6.8797	13.6608	10.7756	8.8641
TCGA-64-5779-01	5.1774	11.4315	8.6598	6.3433
TCGA-64-5781-01	6.1776	12.9169	10.4882	8.6451
TCGA-64-5815-01	6.2105	13.4496	7.1617	4.5233
TCGA-67-3770-01	5.4044	13.0756	7.6114	6.2155
TCGA-67-3771-01	5.8336	12.5918	8.5329	6.4643
TCGA-67-3772-01	3.9554	13.9398	7.3361	5.8839
TCGA-67-3773-01	6.6089	13.3417	8.7083	6.9817
TCGA-67-3774-01	5.703	11.7095	7.9773	5.6118
TCGA-67-4679-01	6.1614	13.4536	8.0275	6.0903
TCGA-67-6215-01	4.8359	12.5587	5.9031	3.2006
TCGA-67-6216-01	6.7662	13.0958	8.1905	6.3215
TCGA-67-6217-01	5.8963	13.1887	9.129	6.9783
TCGA-69-7760-01	4.7673	13.4997	5.312	2.0437
TCGA-69-7761-01	6.7384	12.3437	9.9294	7.1149
TCGA-69-7763-01	5.4052	12.0187	7.1645	4.7234
TCGA-69-7764-01	5.2531	12.682	8.6253	6.1286
TCGA-69-7765-01	6.015	13.0924	8.0837	5.5021
TCGA-69-7973-01	5.2538	12.5765	7.5688	8.1499
TCGA-69-7974-01	8.6475	13.4729	8.1152	5.9017
TCGA-69-7978-01	9.4672	13.366	9.773	7.4774
TCGA-69-7979-01	5.8171	14.1813	6.222	4.0327
TCGA-69-7980-01	6.72	13.7292	8.8397	6.6021
TCGA-69-8253-01	4.6438	13.1877	6.4477	4.7851
TCGA-69-8254-01	6.501	13.6928	7.9095	5.1377
TCGA-69-8255-01	6.2031	11.5661	10.5609	8.1381
TCGA-69-8453-01	6.5558	13.4106	8.6337	6.3122
TCGA-69-A59K-01	9.6668	12.3452	8.7898	6.0486
TCGA-71-6725-01	4.4736	14.4992	2.8561	1.3562
TCGA-71-8520-01	5.9193	13.7887	6.0734	4.3377
TCGA-73-4658-01	9.0617	13.6656	8.4664	6.0194
TCGA-73-4659-01	6.0065	12.9723	6.2933	4.6099
TCGA-73-4662-01	7.3794	14.4697	8.5477	6.5266
TCGA-73-4666-01	9.4287	14.6697	10.1458	8.24
TCGA-73-4668-01	5.7119	14.1461	7.3968	4.8105
TCGA-73-4670-01	5.5605	13.3303	6.4401	4.2301
TCGA-73-4675-01	3.4884	12.6741	6.1437	4.7561
TCGA-73-4676-01	7.4172	13.5947	7.9386	5.4683
TCGA-73-4677-01	5.1101	12.4689	8.1632	5.7982
TCGA-73-7498-01	4.643	13.2693	7.0778	4.9533
TCGA-73-7499-01	5.8653	13.5325	10.438	8.6894
TCGA-73-A9RS-01	6.7949	12.1329	7.9665	5.213
TCGA-75-5122-01	8.9641	11.4644	12.1906	9.9797
TCGA-75-5125-01	10.1127	13.3007	8.9893	6.0545
TCGA-75-5126-01	10.0323	13.7678	9.5542	7.3312
TCGA-75-5146-01	4.1127	13.118	7.9807	6.647
TCGA-75-5147-01	5.9958	13.4697	7.9549	6.0091
TCGA-75-6203-01	6.4984	11.6967	8.091	5.6975
TCGA-75-6205-01	7.8654	12.0092	9.7921	6.9528
TCGA-75-6206-01	4.9638	12.5753	6.6501	4.0646
TCGA-75-6207-01	9.2922	14.5601	7.0102	4.654
TCGA-75-6211-01	4.3267	12.5362	7.9167	5.2903
TCGA-75-6212-01	5.6692	12.5559	6.2594	3.833
TCGA-75-6214-01	6.5395	12.9645	6.657	5.3283
TCGA-75-7025-01	5.0672	12.2662	8.5539	6.1568
TCGA-75-7027-01	4.5772	12.7511	7.0076	4.7579
TCGA-75-7030-01	5.6123	12.5374	8.9043	6.2479
TCGA-75-7031-01	5.3114	12.7458	9.3213	6.4785
TCGA-78-7143-01	5.9528	14.0954	6.7614	5.0717
TCGA-78-7145-01	5.9966	14.0899	5.1897	2.343
TCGA-78-7146-01	6.8508	13.3372	7.8162	4.8757
TCGA-78-7147-01	4.091	13.6936	8.2209	6.7576
TCGA-78-7148-01	4.6703	13.4157	8.8928	6.4629
TCGA-78-7149-01	2.576	12.5215	6.702	4.7504
TCGA-78-7150-01	4.358	12.0061	7.0977	4.973
TCGA-78-7152-01	4.5977	13.2431	8.7102	6.2163
TCGA-78-7153-01	2.4056	12.5995	7.9462	5.5934
TCGA-78-7154-01	4.8271	12.6142	7.2889	4.7006
TCGA-78-7155-01	4.694	10.4799	7.6855	5.5459
TCGA-78-7156-01	3.0811	12.3403	6.5778	4.3855
TCGA-78-7158-01	5.1303	13.264	5.7015	4.2673
TCGA-78-7159-01	5.1131	12.4767	7.5781	7.743
TCGA-78-7160-01	6.3195	13.0426	9.8597	7.3994
TCGA-78-7161-01	3.7143	12.2616	6.8396	4.5492
TCGA-78-7162-01	5.3534	12.3719	8.6246	6.531
TCGA-78-7163-01	5.7749	13.5808	7.6334	5.3835
TCGA-78-7166-01	4.6223	12.6705	6.8966	4.5959
TCGA-78-7167-01	2.191	12.835	6.6561	4.7942
TCGA-78-7220-01	5.2887	12.2959	8.0585	7.0016
TCGA-78-7535-01	4.8078	13.239	6.4312	4.0868
TCGA-78-7536-01	5.0213	13.2286	7.8977	5.3992
TCGA-78-7537-01	4.0299	12.2184	7.898	5.7961
TCGA-78-7539-01	6.1155	13.2402	9.4463	7.5436
TCGA-78-7540-01	4.9147	14.5673	6.4995	4.2651
TCGA-78-7542-01	9.1497	12.8545	7.7211	5.6382
TCGA-78-7633-01	4.3221	12.593	4.9649	2.8746
TCGA-78-8640-01	4.8291	14.0946	7.9667	5.4267
TCGA-78-8648-01	6.7846	11.7257	10.1817	8.0137
TCGA-78-8655-01	5.6733	13.7552	8.6665	6.8052
TCGA-78-8660-01	7.0723	13.2234	9.2443	6.9068
TCGA-78-8662-01	3.3597	13.9595	6.6092	4.5135
TCGA-80-5607-01	6.1158	13.845	9.412	6.9239
TCGA-80-5608-01	5.8337	13.6778	7.9449	6.8917
TCGA-80-5611-01	5.6129	12.4841	7.0922	5.261
TCGA-83-5908-01	10.2316	13.1045	10.6927	8.759
TCGA-86-6562-01	6.1863	14.4829	6.1432	3.9007
TCGA-86-6851-01	7.329	13.2668	9.8722	7.4793
TCGA-86-7701-01	6.284	12.3385	9.3304	6.4145
TCGA-86-7711-01	5.9727	11.1622	7.9031	5.8082
TCGA-86-7713-01	5.1354	12.6879	5.5525	4.4701
TCGA-86-7714-01	4.6688	12.7505	6.4507	4.237
TCGA-86-7953-01	5.5299	13.6516	7.8545	5.5663
TCGA-86-7954-01	6.8521	13.2073	8.5377	7.1769
TCGA-86-7955-01	4.4651	13.05	6.6057	3.4908
TCGA-86-8054-01	5.0137	12.8096	6.391	4.5837
TCGA-86-8055-01	6.395	12.8991	7.0368	5.1928
TCGA-86-8056-01	6.0167	12.8386	7.1603	5.3272
TCGA-86-8073-01	4.6473	13.8745	7.4015	5.1995
TCGA-86-8074-01	6.3152	12.9824	7.3542	4.6612
TCGA-86-8075-01	6.718	14.2683	5.7042	4.1113
TCGA-86-8076-01	6.1291	12.4861	10.0969	8.2022
TCGA-86-8278-01	6.5756	12.5008	6.7491	4.8321
TCGA-86-8279-01	4.231	14.4039	5.2605	3.3058
TCGA-86-8280-01	6.5273	13.4181	8.2895	6.2036
TCGA-86-8281-01	3.8659	12.7703	6.7157	4.6453
TCGA-86-8358-01	4.9154	11.9182	7.8811	6.9886
TCGA-86-8359-01	4.9716	13.6241	10.5685	8.1534
TCGA-86-8585-01	5.9461	11.735	9.2124	7.1625
TCGA-86-8668-01	5.8835	14.7916	7.383	5.2556
TCGA-86-8669-01	5.8664	12.8296	7.7624	5.4544
TCGA-86-8671-01	6.8463	12.2985	10.2771	8.2742
TCGA-86-8672-01	6.6651	13.3592	9.4884	7.2747
TCGA-86-8673-01	4.0735	13.1412	8.5033	6.4368
TCGA-86-8674-01	4.2891	13.1878	5.689	3.8
TCGA-86-A456-01	6.7156	13.1409	8.0095	5.0417
TCGA-86-A4D0-01	4.758	11.9008	7.2501	4.3606
TCGA-86-A4JF-01	8.0353	14.0192	8.1811	6.0175
TCGA-86-A4P7-01	5.7329	13.33	9.0276	6.936
TCGA-86-A4P8-01	6.4826	11.8368	9.6005	7.2893
TCGA-91-6828-01	6.4955	12.5842	8.9467	6.2935
TCGA-91-6829-01	6.284	12.8931	7.7464	5.4201
TCGA-91-6830-01	6.3344	13.2094	8.8622	6.562
TCGA-91-6831-01	6.0064	12.0528	6.8579	7.9982
TCGA-91-6835-01	7.3534	13.8149	10.3606	8.3864
TCGA-91-6836-01	7.7359	13.8929	7.7654	5.2666
TCGA-91-6840-01	4.8332	13.0328	8.9322	6.9455
TCGA-91-6847-01	5.0236	13.385	7.4937	3.035
TCGA-91-6848-01	8.9854	7.0946	9.1729	6.5149
TCGA-91-6849-01	4.6708	12.3254	8.4011	5.9584
TCGA-91-7771-01	5.9968	13.116	9.5143	6.8774
TCGA-91-8496-01	6.7737	13.2592	7.7095	6.0455
TCGA-91-8497-01	6.0559	12.6068	7.636	5.6623
TCGA-91-8499-01	5.1157	12.0507	7.8468	5.4827
TCGA-91-A4BC-01	5.4187	11.4798	11.6524	9.7272
TCGA-91-A4BD-01	3.8228	13.2195	6.7543	4.8606
TCGA-93-7347-01	6.016	13.2093	10.0839	7.9319
TCGA-93-7348-01	4.9718	13.8334	7.8299	4.9411
TCGA-93-8067-01	4.9763	12.7653	6.2837	3.93
TCGA-93-A4JN-01	5.7267	12.635	6.6957	4.445
TCGA-93-A4JO-01	6.3587	13.485	9.2272	7.3219
TCGA-93-A4JP-01	6.4667	12.758	7.0287	4.3276
TCGA-93-A4JQ-01	7.2587	13.6969	8.2785	6.0623
TCGA-95-7039-01	6.4142	14.7622	8.0745	5.9805
TCGA-95-7043-01	3.2664	13.2802	7.4642	4.2501
TCGA-95-7562-01	5.6286	14.0595	7.935	5.3074
TCGA-95-7567-01	6.4765	14.1207	8.4446	6.0065
TCGA-95-7944-01	7.8804	7.7218	10.8339	8.2448
TCGA-95-7947-01	6.2338	14.0832	8.0649	5.9498
TCGA-95-7948-01	3.5675	14.0887	6.8182	5.1909
TCGA-95-8039-01	6.6106	13.4214	7.361	4.9022
TCGA-95-8494-01	6.9469	13.6873	5.7351	3.781
TCGA-95-A4VK-01	5.0105	13.7725	8.4828	6.175
TCGA-95-A4VN-01	10.368	12.9753	9.6505	7.5662
TCGA-95-A4VP-01	5.216	11.6863	8.634	7.1065
TCGA-97-7546-01	7.3423	12.8738	8.776	6.3649
