contrast	label	term	es	nes	nom_p	n_set_in_rank	mean_stat	lead_genes	n_lead	fdr	short
XRCC4_KO_plus_mirin_vs_WT	XRCC4 KO + mirin vs scrambled	HALLMARK_DNA_REPAIR	0.2904926603183002	1.356222343961187	0.002997002997002997	144	0.07434055852164873	RRM2B,CSTF3,DDB2,STX3,XPC,SURF1,NUDT9,RAE1,ARL6IP1,SF3A3,DGUOK,POLR2E,CLP1,SSRP1,POLR2F,POLE4,POLR1C,ERCC3,TAF12,GTF2H1,GTF2F1,ADRM1,EIF1B,BCAP31,POLB	45	0.011526934603857682	DNA repair
XRCC4_KO_plus_mirin_vs_WT	XRCC4 KO + mirin vs scrambled	HALLMARK_HYPOXIA	-0.6456663686405315	-2.5627773118990795	0.000999000999000999	157	-0.46593123389045804	ENO1,XPNPEP1,PAM,EFNA1,KDM3A,SIAH2,HK1,TGFB3,ALDOA,NFIL3,PDGFB,TGM2,GPI,PRDX5,BTG1,CHST2,NDST1,PLAC8,MIF,PIM1,PHKG1,CDKN1C,CCNG2,GYS1,PDK3	82	0.004540913631822723	hypoxia
XRCC4_KO_plus_mirin_vs_WT	XRCC4 KO + mirin vs scrambled	HALLMARK_INTERFERON_ALPHA_RESPONSE	-0.5708689587302187	-2.074119200173691	0.000999000999000999	85	-0.29394129016557724	PSME1,LAP3,IFI27,TRAFD1,IRF1,HLA-C,IL4R,UBE2L6,PSMA3,PSMB8,CASP1,PSMB9,UBA7,SLC25A28,TAP1,TDRD7,MVB12A,IFITM3,RTP4,MOV10,OAS1,B2M,IFIT3,LAMP3,DHX58	38	0.004540913631822723	IFN-α
XRCC4_KO_plus_mirin_vs_WT	XRCC4 KO + mirin vs scrambled	HALLMARK_INTERFERON_GAMMA_RESPONSE	-0.4980725356072434	-1.968527032224078	0.000999000999000999	149	-0.23052754618810634	IFIT2,PSME2,SRI,CASP4,RAPGEF6,HIF1A,BPGM,CSF2RB,PSME1,LAP3,IFI27,TRAFD1,IRF1,IL4R,SECTM1,RNF213,UBE2L6,PSMA3,BTG1,ST3GAL5,PLA2G4A,PIM1,PSMB8,CASP1,ISOC1	62	0.004540913631822723	IFN-γ
XRCC4_KO_plus_mirin_vs_WT	XRCC4 KO + mirin vs scrambled	HALLMARK_P53_PATHWAY	0.3039697206857576	1.4687622308018267	0.000999000999000999	176	0.052858214616970045	CLCA2,SLC3A2,NUPR1,SLC7A11,CDKN1A,ZMAT3,SAT1,GADD45A,RRP8,FDXR,PHLDA3,DDB2,PLXNB2,MDM2,TCN2,OSGIN1,XPC,NOTCH1,MKNK2,SESN1,RETSAT,CCNK,TSPYL2,CCND2,TGFA	36	0.004540913631822723	p53
mirin_on_XRCC4_KO	mirin on XRCC4 KO vs KO	HALLMARK_DNA_REPAIR	-0.16655971631014144	-0.7183683783411716	0.5734265734265734	144	-0.012517164513358726	POLR2K,POLR2C,UMPS,COX17,RBX1,AK1,NT5C,SDCBP,GTF2H5,GUK1,RPA3,MRPL40,SAC3D1,POLA1,PDE4B,POLR2H,NME4,CETN2,IMPDH2,MPC2,ERCC8,RFC2,ITPA,NME1,ADA	31	0.5784215784215784	DNA repair
mirin_on_XRCC4_KO	mirin on XRCC4 KO vs KO	HALLMARK_HYPOXIA	-0.5169592970905796	-2.2426152847740144	0.000999000999000999	157	-0.2029450013671863	PRDX5,ALDOA,CAV1,GAPDH,GALK1,NFIL3,TGFB3,PGM2,ANKZF1,KLF6,SLC25A1,ENO3,COL5A1,UGP2,GYS1,ENO1,GPI,MIF,ZFP36,MXI1,PDK3,SLC2A1,SCARB1,S100A4,P4HA1	50	0.00333000333000333	hypoxia
mirin_on_XRCC4_KO	mirin on XRCC4 KO vs KO	HALLMARK_INTERFERON_ALPHA_RESPONSE	0.5126537586645032	2.1026902395088	0.000999000999000999	85	0.1899891502539313	RSAD2,IFI27,HERC6,ISG15,IFIT3,IFI44L,IFIT2,IRF7,IRF9,HELZ2,UBA7,CSF1,IFIH1,PLSCR1,TRIM5,LAMP3,OGFR,PARP14,IFI44,GBP4,IRF1,OAS1,PARP12,DHX58,TRIM26	35	0.00333000333000333	IFN-α
mirin_on_XRCC4_KO	mirin on XRCC4 KO vs KO	HALLMARK_INTERFERON_GAMMA_RESPONSE	0.42859967769315266	1.938487908599589	0.000999000999000999	149	0.11958524859769194	RSAD2,CDKN1A,OAS2,IFI27,HERC6,ISG15,IFIT3,IFI44L,IFIT2,OAS3,VAMP5,IRF7,IRF9,HELZ2,ZNFX1,XAF1,IFIT1,CD274,IFIH1,PLSCR1,OGFR,PARP14,IFI44,GBP4,CCL5	44	0.00333000333000333	IFN-γ
mirin_on_XRCC4_KO	mirin on XRCC4 KO vs KO	HALLMARK_P53_PATHWAY	0.39972782812802865	1.8359069391866203	0.000999000999000999	176	0.09700841339199175	SLC3A2,CDKN1A,SAT1,MDM2,FDXR,PHLDA3,CTSF,XPC,NUPR1,RRP8,GADD45A,BTG2,DDB2,IER5,PPP1R15A,OSGIN1,RNF19B,PVT1,PERP,TCN2,KLF4,EPHA2,PLXNB2,NOTCH1,CLCA2	53	0.00333000333000333	p53
