cohort,gene,role,alias,n,spearman_rho,spearman_p,partial_rho,partial_p,partial_n,partial_covariates,primary_label,spearman_fdr_ligands,spearman_fdr_all_partners
depmap_lung_cell_lines,HALLMARK_TGFB_ZMEAN,pathway_score,z-mean of HALLMARK_TGF_BETA_SIGNALING genes present,214,0.23296520438662732,0.000591640326085453,,,0,,ASSOCIATED_POSITIVE,,0.0011093256114102243
depmap_lung_cell_lines,FTBRS_ZMEAN,pathway_score,z-mean of Mariathasan 2018 F-TBRS genes present,214,0.35235816497146966,1.1890371909440652e-07,,,0,,ASSOCIATED_POSITIVE,,2.972592977360163e-07
depmap_NSCLC_cell_lines,TGFB1,primary_ligand,TGF-β1 ligand (named in claim A11),143,-0.23454744495842825,0.00480826689007863,,,0,,ASSOCIATED_NEGATIVE,0.014424800670235891,0.018031000837794863
depmap_NSCLC_cell_lines,TGFB2,primary_ligand,TGF-β2 ligand,143,0.0060646665204060505,0.9426918228522284,,,0,,NULL,0.9426918228522284,0.9426918228522284
depmap_NSCLC_cell_lines,TGFB3,primary_ligand,TGF-β3 ligand,143,-0.149059203652177,0.07560369089077267,,,0,,NULL,0.113405536336159,0.1260061514846211
depmap_NSCLC_cell_lines,TGFBR1,receptor,TGF-β receptor I / ALK5,143,-0.2606269410437119,0.0016676465883973177,,,0,,ASSOCIATED_NEGATIVE,,0.010745995557247503
depmap_NSCLC_cell_lines,TGFBR2,receptor,TGF-β receptor II,143,0.12189794352585072,0.14697262761256336,,,0,,NULL,,0.20041721947167732
depmap_NSCLC_cell_lines,TGFBR3,receptor,TGF-β receptor III / betaglycan,143,-0.17081121013569814,0.04138091187445872,,,0,,NULL,,0.09264910313193236
depmap_NSCLC_cell_lines,SMAD2,smad,R-SMAD,143,-0.25461742238263474,0.0021491991114495007,,,0,,ASSOCIATED_NEGATIVE,,0.010745995557247503
depmap_NSCLC_cell_lines,SMAD3,smad,R-SMAD (in HALLMARK set),143,0.16930326662785203,0.0432362481282351,,,0,,NULL,,0.09264910313193236
depmap_NSCLC_cell_lines,SMAD4,smad,Co-SMAD,143,-0.2074311950190721,0.012924413976489283,,,0,,ASSOCIATED_NEGATIVE,,0.03877324192946785
depmap_NSCLC_cell_lines,SMAD6,smad,I-SMAD (BMP-biased),143,-0.15622101565388918,0.062435221759096826,,,0,,NULL,,0.11706604079830656
depmap_NSCLC_cell_lines,SMAD7,smad,I-SMAD / TGF-β feedback,143,-0.13791497251054324,0.1004641098863578,,,0,,NULL,,0.1506961648295367
depmap_NSCLC_cell_lines,CLDN4,positive_control,"claudin-4 (junction positive control, not TGF-β)",143,0.667437179146622,8.811122112650595e-20,,,0,,ASSOCIATED_POSITIVE,,1.3216683168975893e-18
depmap_NSCLC_cell_lines,CD8A,immune_context,"CD8 T-cell marker (immune context, not TGF-β)",143,-0.06425168005096649,0.4458313625107251,,,0,,NULL,,0.5144208028969904
depmap_NSCLC_cell_lines,HALLMARK_TGFB_ZMEAN,pathway_score,z-mean of HALLMARK_TGF_BETA_SIGNALING genes present,143,0.06931314752518852,0.4107468858653353,,,0,,NULL,,0.5134336073316691
depmap_NSCLC_cell_lines,FTBRS_ZMEAN,pathway_score,z-mean of Mariathasan 2018 F-TBRS genes present,143,0.04313219340357804,0.609002877756962,,,0,,NULL,,0.6525030833110308
