cohort,gene,role,split,tacstd2_q1,tacstd2_q3,n_high,n_low,median_high,median_low,delta_median,p_mannwhitney,U,fdr_bh
LUAD,SMAD2,smad,median,9.012643710964152,9.012643710964152,258,258,3.05771012879277,3.116605677249404,-0.05889554845663403,0.9747972878094824,33228.0,
LUAD,SMAD3,smad,Q4_vs_Q1,8.287082720661441,9.649705113214265,129,129,5.053141754407827,4.30001387051049,0.7531278838973368,3.4914212796188263e-12,12490.0,
LUAD,SMAD3,smad,median,9.012643710964152,9.012643710964152,258,258,4.909731913196392,4.404034532823708,0.5056973803726841,2.3397054091483947e-12,45158.0,
LUAD,SMAD4,smad,Q4_vs_Q1,8.287082720661441,9.649705113214265,129,129,3.9115861318694702,3.904320310202479,0.00726582166699119,0.9933433448568697,8326.0,
LUAD,SMAD4,smad,median,9.012643710964152,9.012643710964152,258,258,3.896804637102772,3.9233509225846577,-0.026546285481885867,0.7603682161385297,32765.0,
LUAD,SMAD6,smad,Q4_vs_Q1,8.287082720661441,9.649705113214265,129,129,2.3602518908582155,2.1208827332486524,0.23936915760956312,0.04314148960482592,9533.0,
LUAD,SMAD6,smad,median,9.012643710964152,9.012643710964152,258,258,2.336915665914278,2.3037350953398255,0.03318057057445234,0.4250004516488616,34633.5,
LUAD,SMAD7,smad,Q4_vs_Q1,8.287082720661441,9.649705113214265,129,129,4.389016059688509,4.289037665097852,0.09997839459065716,0.24686192355733816,9015.0,
LUAD,SMAD7,smad,median,9.012643710964152,9.012643710964152,258,258,4.509686289577586,4.3586387994057585,0.15104749017182773,0.05101743922418874,36587.0,
LUAD,CLDN4,positive_control,Q4_vs_Q1,8.287082720661441,9.649705113214265,129,129,8.768097959025432,7.411461838092701,1.3566361209327313,3.861830858323595e-24,14395.0,
LUAD,CLDN4,positive_control,median,9.012643710964152,9.012643710964152,258,258,8.534903031703344,7.755568236124869,0.7793347955784746,4.1465010099553116e-24,50434.0,
LUAD,CD8A,immune_context,Q4_vs_Q1,8.287082720661441,9.649705113214265,129,129,3.7050489713936816,3.998294809156212,-0.2932458377625302,0.053536891014181055,7163.0,
LUAD,CD8A,immune_context,median,9.012643710964152,9.012643710964152,258,258,3.744946825405396,3.9609459942095313,-0.21599916880413517,0.08239092681978374,30340.0,
LUAD,HALLMARK_TGFB_ZMEAN,pathway_score,Q4_vs_Q1,8.287082720661441,9.649705113214265,129,129,0.22696492434370352,-0.12946887800964035,0.3564338023533439,8.257043237970031e-11,12214.0,
LUAD,HALLMARK_TGFB_ZMEAN,pathway_score,median,9.012643710964152,9.012643710964152,258,258,0.15257815384048423,-0.09866618326650647,0.2512443371069907,3.3184711121556505e-11,44513.0,
LUAD,FTBRS_ZMEAN,pathway_score,Q4_vs_Q1,8.287082720661441,9.649705113214265,129,129,0.13973719553148828,-0.15129961630934344,0.29103681184083174,8.810942765392316e-05,10671.0,
LUAD,FTBRS_ZMEAN,pathway_score,median,9.012643710964152,9.012643710964152,258,258,0.11861776390505777,-0.1308245714151886,0.24944233532024637,3.7191914080541204e-07,41890.0,
LUSC,TGFB1,primary_ligand,Q4_vs_Q1,8.695153457363416,10.416732620699756,126,126,6.716910343675593,6.387071088264604,0.329839255410989,0.002263184260524169,9705.0,0.003394776390786254
LUSC,TGFB1,primary_ligand,median,9.574978131676652,9.574978131676652,250,251,6.669126632158544,6.424349396568081,0.24477723559046272,0.0007261116375203526,36851.0,
LUSC,TGFB2,primary_ligand,Q4_vs_Q1,8.695153457363416,10.416732620699756,126,126,1.8947380673860277,2.255806821207508,-0.3610687538214803,0.0035760436131039375,6252.0,0.0035760436131039375
LUSC,TGFB2,primary_ligand,median,9.574978131676652,9.574978131676652,250,251,2.054955623084518,2.129019185729329,-0.07406356264481095,0.09772778743376223,28691.5,
LUSC,TGFB3,primary_ligand,Q4_vs_Q1,8.695153457363416,10.416732620699756,126,126,3.644295999175273,4.1842512779838,-0.5399552788085273,0.0007621706680846223,5990.0,0.002286512004253867
LUSC,TGFB3,primary_ligand,median,9.574978131676652,9.574978131676652,250,251,3.843621575560614,4.111214977149334,-0.26759340158872025,0.006229161544575101,26942.5,
LUSC,TGFBR1,receptor,Q4_vs_Q1,8.695153457363416,10.416732620699756,126,126,4.737201971931713,4.930467791433641,-0.1932658195019279,0.004649617767495433,6300.0,
LUSC,TGFBR1,receptor,median,9.574978131676652,9.574978131676652,250,251,4.83493863429956,4.9535306555842125,-0.11859202128465274,0.0023125325823339688,26438.0,
LUSC,TGFBR2,receptor,Q4_vs_Q1,8.695153457363416,10.416732620699756,126,126,4.910790246901625,5.198884111507721,-0.288093864606096,0.06967452498505429,6888.0,
LUSC,TGFBR2,receptor,median,9.574978131676652,9.574978131676652,250,251,5.03384339056425,5.156578640995874,-0.12273525043162348,0.08602203669357243,28593.0,
LUSC,TGFBR3,receptor,Q4_vs_Q1,8.695153457363416,10.416732620699756,126,126,2.9798093594941184,2.932654613144897,0.047154746349221455,0.9119164310079904,8002.5,
LUSC,TGFBR3,receptor,median,9.574978131676652,9.574978131676652,250,251,2.9633856847148854,2.989538691179072,-0.02615300646418639,0.8739662309566859,31117.5,
LUSC,SMAD2,smad,Q4_vs_Q1,8.695153457363416,10.416732620699756,126,126,3.2800337264884485,3.411709688828517,-0.1316759623400685,0.03119877339801441,6691.0,
LUSC,SMAD2,smad,median,9.574978131676652,9.574978131676652,250,251,3.274619365238358,3.4204419785930247,-0.1458226133546665,0.004300881400041698,26748.5,
LUSC,SMAD3,smad,Q4_vs_Q1,8.695153457363416,10.416732620699756,126,126,5.810834981960738,5.116460152589576,0.6943748293711627,2.006243838601592e-11,11818.0,
LUSC,SMAD3,smad,median,9.574978131676652,9.574978131676652,250,251,5.671763863771421,5.226516236492374,0.44524762727904665,1.6908785359772672e-08,40515.0,
LUSC,SMAD4,smad,Q4_vs_Q1,8.695153457363416,10.416732620699756,126,126,3.82232753787015,4.035529834768032,-0.21320229689788217,0.00026795175145696496,5829.0,
LUSC,SMAD4,smad,median,9.574978131676652,9.574978131676652,250,251,3.8773851687387717,4.041532123179908,-0.16414695444113647,3.035500932517051e-05,24617.0,
LUSC,SMAD6,smad,Q4_vs_Q1,8.695153457363416,10.416732620699756,126,126,1.8245926870642037,1.9199180121168555,-0.09532532505265179,0.10738425990728248,7006.0,
LUSC,SMAD6,smad,median,9.574978131676652,9.574978131676652,250,251,1.799677265979806,1.8529975876133165,-0.053320321633510526,0.1572640596943108,29083.0,
LUSC,SMAD7,smad,Q4_vs_Q1,8.695153457363416,10.416732620699756,126,126,3.600085191591817,4.017191469384505,-0.41710627779268794,6.651317399566555e-05,5630.0,
LUSC,SMAD7,smad,median,9.574978131676652,9.574978131676652,250,251,3.7453239039923947,3.930690035310685,-0.18536613131829016,0.0009650498848572676,26027.0,
LUSC,CLDN4,positive_control,Q4_vs_Q1,8.695153457363416,10.416732620699756,126,126,7.878906124206585,6.680849761056827,1.1980563631497585,3.8388035550406847e-14,12316.0,
LUSC,CLDN4,positive_control,median,9.574978131676652,9.574978131676652,250,251,7.403156214516185,6.912136064773358,0.4910201497428277,1.0641585598424316e-10,41838.0,
LUSC,CD8A,immune_context,Q4_vs_Q1,8.695153457363416,10.416732620699756,126,126,3.291727090184965,4.146822454766962,-0.855095364581997,6.903470448784773e-08,4817.0,
LUSC,CD8A,immune_context,median,9.574978131676652,9.574978131676652,250,251,3.369779613168106,4.062000791307771,-0.6922211781396648,7.659958556750151e-08,22666.0,
LUSC,HALLMARK_TGFB_ZMEAN,pathway_score,Q4_vs_Q1,8.695153457363416,10.416732620699756,126,126,0.02378313451557957,-0.025031160738588583,0.04881429525416815,0.8934375264526051,7860.0,
LUSC,HALLMARK_TGFB_ZMEAN,pathway_score,median,9.574978131676652,9.574978131676652,250,251,0.05481568543754686,0.013514132668396373,0.04130155276915049,0.7781308561395824,31832.0,
LUSC,FTBRS_ZMEAN,pathway_score,Q4_vs_Q1,8.695153457363416,10.416732620699756,126,126,-0.06930452221600664,-0.051291865087503025,-0.018012657128503612,0.6587627455142571,7682.0,
LUSC,FTBRS_ZMEAN,pathway_score,median,9.574978131676652,9.574978131676652,250,251,-0.0024898145776111424,-0.0028892050839503993,0.0003993905063392569,0.5360800623708062,30372.0,
POOLED,TGFB1,primary_ligand,Q4_vs_Q1,8.467764482307498,10.005041178287616,255,255,6.583135433374937,6.0498964570187415,0.5332389763561958,1.3505404533820225e-11,43767.0,4.0516213601460676e-11
POOLED,TGFB1,primary_ligand,median,9.24864037982588,9.24864037982588,508,509,6.537126316869184,6.223559630343965,0.3135666865252187,6.511663499094997e-11,159877.0,
POOLED,TGFB2,primary_ligand,Q4_vs_Q1,8.467764482307498,10.005041178287616,255,255,2.300211601793545,1.956614287557227,0.3435973142363178,0.056078188061915855,35692.0,0.0841172820928738
POOLED,TGFB2,primary_ligand,median,9.24864037982588,9.24864037982588,508,509,2.3219815072510412,2.1327742332763258,0.18920727397471548,0.022436860763302504,139978.5,
POOLED,TGFB3,primary_ligand,Q4_vs_Q1,8.467764482307498,10.005041178287616,255,255,3.7091031173010633,3.852867789141107,-0.1437646718400436,0.18754102076728651,30319.0,0.18754102076728651
POOLED,TGFB3,primary_ligand,median,9.24864037982588,9.24864037982588,508,509,3.7272343143223408,3.850349385676017,-0.12311507135367616,0.6980496241556755,127468.5,
POOLED,TGFBR1,receptor,Q4_vs_Q1,8.467764482307498,10.005041178287616,255,255,4.805834138514589,4.885178984425786,-0.07934484591119695,0.021355072629357045,28682.0,
POOLED,TGFBR1,receptor,median,9.24864037982588,9.24864037982588,508,509,4.875611722791074,4.906847314108066,-0.031235591316991496,0.1640183911757951,122767.5,
POOLED,TGFBR2,receptor,Q4_vs_Q1,8.467764482307498,10.005041178287616,255,255,5.463991845154268,5.556263860833618,-0.09227201567934973,0.03358933853239848,28976.0,
POOLED,TGFBR2,receptor,median,9.24864037982588,9.24864037982588,508,509,5.62055547070139,5.804993153052624,-0.18443768235123414,0.0050344017638559784,116149.0,
POOLED,TGFBR3,receptor,Q4_vs_Q1,8.467764482307498,10.005041178287616,255,255,2.8252971853968525,2.4619213967907267,0.36337578860612574,0.004669618566339448,37220.5,
POOLED,TGFBR3,receptor,median,9.24864037982588,9.24864037982588,508,509,2.664619003221817,2.6394868702252423,0.025132132996574796,0.3410133705756203,133746.0,
POOLED,SMAD2,smad,Q4_vs_Q1,8.467764482307498,10.005041178287616,255,255,3.201947456441158,3.210388864445403,-0.008441408004244977,0.8291889536270682,32153.0,
POOLED,SMAD2,smad,median,9.24864037982588,9.24864037982588,508,509,3.1800970722831625,3.209359782374916,-0.02926271009175352,0.49708672049868297,126105.0,
POOLED,SMAD3,smad,Q4_vs_Q1,8.467764482307498,10.005041178287616,255,255,5.561683557909852,4.489183244607674,1.0725003133021778,1.4673185308948555e-30,51634.0,
POOLED,SMAD3,smad,median,9.24864037982588,9.24864037982588,508,509,5.302949527758923,4.740879002076738,0.5620705256821843,2.9709187592757183e-25,177914.5,
POOLED,SMAD4,smad,Q4_vs_Q1,8.467764482307498,10.005041178287616,255,255,3.852648103581146,3.977014259954358,-0.12436615637321191,0.004691587092355795,27807.0,
POOLED,SMAD4,smad,median,9.24864037982588,9.24864037982588,508,509,3.906050404886693,3.975941947859989,-0.0698915429732958,0.0029678847924813293,115370.5,
POOLED,SMAD6,smad,Q4_vs_Q1,8.467764482307498,10.005041178287616,255,255,1.99294966248085,2.0692897127155345,-0.07634005023468449,0.024854580801699534,28778.5,
POOLED,SMAD6,smad,median,9.24864037982588,9.24864037982588,508,509,2.0057053799648212,2.168994964927553,-0.16328958496273183,0.0037950456671349917,115728.0,
POOLED,SMAD7,smad,Q4_vs_Q1,8.467764482307498,10.005041178287616,255,255,3.882163701553874,4.1672856627086645,-0.2851219611547906,6.8942980458704625e-06,25029.0,
POOLED,SMAD7,smad,median,9.24864037982588,9.24864037982588,508,509,4.046215886400931,4.2399020718538685,-0.19368618545293703,5.393951699698951e-05,110374.0,
POOLED,CLDN4,positive_control,Q4_vs_Q1,8.467764482307498,10.005041178287616,255,255,8.02923034638697,7.203955789182325,0.8252745572046454,3.612577185267282e-18,46974.0,
POOLED,CLDN4,positive_control,median,9.24864037982588,9.24864037982588,508,509,7.969710542555944,7.442811657347106,0.5268988852088379,2.1341112927192545e-11,160650.0,
POOLED,CD8A,immune_context,Q4_vs_Q1,8.467764482307498,10.005041178287616,255,255,3.361838527705001,4.118052347998158,-0.7562138202931568,8.13423093386472e-11,21699.0,
POOLED,CD8A,immune_context,median,9.24864037982588,9.24864037982588,508,509,3.516946596966716,4.035307185811751,-0.5183605888450353,4.064215198144484e-09,101739.0,
POOLED,HALLMARK_TGFB_ZMEAN,pathway_score,Q4_vs_Q1,8.467764482307498,10.005041178287616,255,255,0.09119842166828651,-0.08003046236410152,0.17122888403238803,6.933360372569024e-06,39994.0,
POOLED,HALLMARK_TGFB_ZMEAN,pathway_score,median,9.24864037982588,9.24864037982588,508,509,0.09072882706466427,-0.016559847716487473,0.10728867478115174,0.00012360099628600118,147266.0,
POOLED,FTBRS_ZMEAN,pathway_score,Q4_vs_Q1,8.467764482307498,10.005041178287616,255,255,0.035953176838455156,-0.1520839848445641,0.18803716168301926,0.006296468945001941,37059.0,
POOLED,FTBRS_ZMEAN,pathway_score,median,9.24864037982588,9.24864037982588,508,509,0.040742756165369945,-0.06427774758495591,0.10502050375032586,0.014646787587636441,140719.0,
