cohort,cancer,tissue,gene,measure,cutoff,endpoint,n_R,n_NR,n_with_binary,n_high_R,n_high_NR,n_low_R,n_low_NR,n_used,or,logor,se_logor,or_lo,or_hi,p,haldane,estimable,effect,histology_split,reason
GSE135222,NSCLC,lung,TACSTD2,residual,median,DCB,7,20,27,3.0,11.0,4.0,9.0,27.0,0.6136363636363636,-0.48835276791393206,0.8862017464175611,0.10803411837232843,3.48546915039488,0.6776167471819646,False,True,OR,all,
GSE135222,NSCLC,lung,TACSTD2,residual,tertile,DCB,7,20,27,1.0,8.0,2.0,7.0,18.0,0.4375,-0.8266785731844679,1.3296078906418776,0.0322992897279341,5.926020405162716,1.0,False,True,OR,all,
GSE135222,NSCLC,lung,TACSTD2,residual,continuous,DCB,7,20,27,,,,,27.0,1.0609088543975285,0.05912595056714842,0.45895650155672374,0.4315254488834794,2.608253117518897,0.8974946072897341,,True,OR,all,
GSE166449,NSCLC,lung,CLDN4,raw,median,author_R_vs_NR,7,15,22,3.0,8.0,4.0,7.0,22.0,0.65625,-0.42121346507630353,0.9225998461903601,0.10758122195734238,4.0031527311593935,1.0,False,True,OR,all,
GSE166449,NSCLC,lung,CLDN4,raw,tertile,author_R_vs_NR,7,15,22,2.0,6.0,2.0,6.0,16.0,1.0,0.0,1.1547005383792515,0.10401573895102821,9.613929681072701,1.0,False,True,OR,all,
GSE166449,NSCLC,lung,CLDN4,raw,continuous,author_R_vs_NR,7,15,22,,,,,22.0,1.166271591698949,0.15381198679063157,0.4757014171770106,0.4590653102687833,2.962954061607504,0.7464398483574326,,True,OR,all,
GSE166449,NSCLC,lung,CLDN4,residual,median,author_R_vs_NR,7,15,22,3.0,8.0,4.0,7.0,22.0,0.65625,-0.42121346507630353,0.9225998461903601,0.10758122195734238,4.0031527311593935,1.0,False,True,OR,all,
GSE166449,NSCLC,lung,CLDN4,residual,tertile,author_R_vs_NR,7,15,22,3.0,5.0,2.0,6.0,16.0,1.8,0.5877866649021191,1.0954451150103321,0.2102862122913456,15.407572206926588,1.0,False,True,OR,all,
GSE166449,NSCLC,lung,CLDN4,residual,continuous,author_R_vs_NR,7,15,22,,,,,22.0,1.3038227245117615,0.2653005068024621,0.486492186753942,0.5024675696028983,3.38321077775577,0.5855241397688967,,True,OR,all,
GSE166449,NSCLC,lung,TACSTD2,raw,median,author_R_vs_NR,7,15,22,5.0,6.0,2.0,9.0,22.0,3.75,1.3217558399823195,0.9888264649460884,0.5399147451110786,26.045778759212943,0.3614551083591332,False,True,OR,all,
GSE166449,NSCLC,lung,TACSTD2,raw,tertile,author_R_vs_NR,7,15,22,2.0,6.0,1.0,7.0,16.0,2.3333333333333335,0.8472978603872037,1.3451854182690985,0.16708283703128068,32.58530044845452,1.0,False,True,OR,all,
GSE166449,NSCLC,lung,TACSTD2,raw,continuous,author_R_vs_NR,7,15,22,,,,,22.0,1.3044969101500938,0.26581745698325054,0.5060801523377357,0.4837922782302108,3.517443880700776,0.599410980608905,,True,OR,all,
GSE166449,NSCLC,lung,TACSTD2,residual,median,author_R_vs_NR,7,15,22,3.0,8.0,4.0,7.0,22.0,0.65625,-0.42121346507630353,0.9225998461903601,0.10758122195734238,4.0031527311593935,1.0,False,True,OR,all,
GSE166449,NSCLC,lung,TACSTD2,residual,tertile,author_R_vs_NR,7,15,22,3.0,5.0,2.0,6.0,16.0,1.8,0.5877866649021191,1.0954451150103321,0.2102862122913456,15.407572206926588,1.0,False,True,OR,all,
GSE166449,NSCLC,lung,TACSTD2,residual,continuous,author_R_vs_NR,7,15,22,,,,,22.0,1.1027695852460822,0.0978248202134435,0.47779428126701246,0.43229287412869916,2.8131408841630985,0.8377732733217864,,True,OR,all,
GSE190265,NSCLC,lung,CLDN4,raw,median,DCB,14,29,43,8.0,14.0,6.0,15.0,43.0,1.4285714285714286,0.3566749439387324,0.6555622813752365,0.39525382419498484,5.163305707888221,0.7469875049513863,False,True,OR,all,
GSE190265,NSCLC,lung,CLDN4,raw,tertile,DCB,14,29,43,5.0,10.0,5.0,10.0,30.0,1.0,0.0,0.7745966692414834,0.21910384757601217,4.564045821482331,1.0,False,True,OR,all,
GSE190265,NSCLC,lung,CLDN4,raw,continuous,DCB,14,29,43,,,,,43.0,0.8508034906231674,-0.16157409291039568,0.3362363104602096,0.4401686802139764,1.6445208671018516,0.6308453783478534,,True,OR,all,
GSE190265,NSCLC,lung,CLDN4,raw,median,DCB,5,6,11,3.0,3.0,2.0,3.0,11.0,1.5,0.4054651081081644,1.224744871391589,0.1360089155582555,16.543033159001094,1.0,False,True,OR,LUSC,
GSE190265,NSCLC,lung,CLDN4,raw,tertile,DCB,5,6,11,1.0,3.0,2.0,2.0,8.0,0.3333333333333333,-1.0986122886681098,1.5275252316519465,0.01669640682806238,6.654791791750173,1.0,False,True,OR,LUSC,
GSE190265,NSCLC,lung,CLDN4,raw,continuous,DCB,5,6,11,,,,,11.0,0.4104892528811581,-0.890405530989842,0.7599415003118999,0.09256067795779095,1.8204428754051534,0.24132699644023214,,True,OR,LUSC,
GSE190265,NSCLC,lung,CLDN4,raw,median,DCB,4,10,14,4.0,3.0,0.0,7.0,14.0,19.285714285714285,2.959364629383116,1.625198400586784,0.7976987685899228,466.26469809859844,0.06993006993006992,True,True,OR,nonLUSC,
GSE190265,NSCLC,lung,CLDN4,raw,tertile,DCB,4,10,14,3.0,2.0,0.0,5.0,10.0,15.400000000000002,2.7343675094195836,1.6933790088259828,0.557297902620613,425.5533690056779,0.16666666666666666,True,True,OR,nonLUSC,
GSE190265,NSCLC,lung,CLDN4,raw,continuous,DCB,4,10,14,,,,,14.0,7.019381653080759,1.9486751305514016,1.0939146176143848,0.8225076298495636,59.90426958181354,0.07485076501167119,,True,OR,nonLUSC,
GSE190265,NSCLC,lung,CLDN4,residual,median,DCB,14,29,43,7.0,15.0,7.0,14.0,43.0,0.9333333333333333,-0.06899287148695143,0.6510065466717856,0.2605486437530428,3.3433722723069743,1.0,False,True,OR,all,
GSE190265,NSCLC,lung,CLDN4,residual,tertile,DCB,14,29,43,5.0,10.0,5.0,10.0,30.0,1.0,0.0,0.7745966692414834,0.21910384757601217,4.564045821482331,1.0,False,True,OR,all,
GSE190265,NSCLC,lung,CLDN4,residual,continuous,DCB,14,29,43,,,,,43.0,0.8161959049592012,-0.2031008732256629,0.3394357494264343,0.41962453068346467,1.5875519817374208,0.5496074179947759,,True,OR,all,
GSE190265,NSCLC,lung,CLDN4,residual,median,DCB,5,6,11,3.0,3.0,2.0,3.0,11.0,1.5,0.4054651081081644,1.224744871391589,0.1360089155582555,16.543033159001094,1.0,False,True,OR,LUSC,
GSE190265,NSCLC,lung,CLDN4,residual,tertile,DCB,5,6,11,1.0,3.0,2.0,2.0,8.0,0.3333333333333333,-1.0986122886681098,1.5275252316519465,0.01669640682806238,6.654791791750173,1.0,False,True,OR,LUSC,
GSE190265,NSCLC,lung,CLDN4,residual,continuous,DCB,5,6,11,,,,,11.0,0.35085757258572076,-1.047374913974732,0.8177039701786163,0.07064593592808241,1.7425069768494708,0.2002382878758988,,True,OR,LUSC,
GSE190265,NSCLC,lung,CLDN4,residual,median,DCB,4,10,14,4.0,3.0,0.0,7.0,14.0,19.285714285714285,2.959364629383116,1.625198400586784,0.7976987685899228,466.26469809859844,0.06993006993006992,True,True,OR,nonLUSC,
GSE190265,NSCLC,lung,CLDN4,residual,tertile,DCB,4,10,14,3.0,2.0,0.0,5.0,10.0,15.400000000000002,2.7343675094195836,1.6933790088259828,0.557297902620613,425.5533690056779,0.16666666666666666,True,True,OR,nonLUSC,
GSE190265,NSCLC,lung,CLDN4,residual,continuous,DCB,4,10,14,,,,,14.0,6.366095007514021,1.8509862529574619,1.0357279425612818,0.8360720257019946,48.47329464308647,0.07391557877956469,,True,OR,nonLUSC,
GSE190265,NSCLC,lung,TACSTD2,raw,median,DCB,14,29,43,8.0,14.0,6.0,15.0,43.0,1.4285714285714286,0.3566749439387324,0.6555622813752365,0.39525382419498484,5.163305707888221,0.7469875049513863,False,True,OR,all,
GSE190265,NSCLC,lung,TACSTD2,raw,tertile,DCB,14,29,43,5.0,10.0,5.0,10.0,30.0,1.0,0.0,0.7745966692414834,0.21910384757601217,4.564045821482331,1.0,False,True,OR,all,
GSE190265,NSCLC,lung,TACSTD2,raw,continuous,DCB,14,29,43,,,,,43.0,0.8597801797630746,-0.15107852733374788,0.32449704264345186,0.45516616408173033,1.624070539172787,0.6415179392688464,,True,OR,all,
GSE190265,NSCLC,lung,TACSTD2,raw,median,DCB,5,6,11,2.0,4.0,3.0,2.0,11.0,0.3333333333333333,-1.0986122886681098,1.2583057392117916,0.028300054811768276,3.926180067499613,0.5670995670995672,False,True,OR,LUSC,
GSE190265,NSCLC,lung,TACSTD2,raw,tertile,DCB,5,6,11,1.0,3.0,2.0,2.0,8.0,0.3333333333333333,-1.0986122886681098,1.5275252316519465,0.01669640682806238,6.654791791750173,1.0,False,True,OR,LUSC,
GSE190265,NSCLC,lung,TACSTD2,raw,continuous,DCB,5,6,11,,,,,11.0,0.21957959990129453,-1.516040470286262,1.069419669175078,0.02699501601998428,1.786077869230346,0.15629907218648512,,True,OR,LUSC,
GSE190265,NSCLC,lung,TACSTD2,raw,median,DCB,4,10,14,2.0,5.0,2.0,5.0,14.0,1.0,0.0,1.1832159566199232,0.09836174951134759,10.166553614264803,1.0,False,True,OR,nonLUSC,
GSE190265,NSCLC,lung,TACSTD2,raw,tertile,DCB,4,10,14,2.0,3.0,1.0,4.0,10.0,2.6666666666666665,0.9808292530117262,1.4433756729740643,0.15752248547000908,45.14346691453777,1.0,False,True,OR,nonLUSC,
GSE190265,NSCLC,lung,TACSTD2,raw,continuous,DCB,4,10,14,,,,,14.0,1.4034024056176833,0.33889957797002696,0.7134434024019976,0.34664658997071807,5.681689562444193,0.6347730247991927,,True,OR,nonLUSC,
GSE190265,NSCLC,lung,TACSTD2,residual,median,DCB,14,29,43,8.0,14.0,6.0,15.0,43.0,1.4285714285714286,0.3566749439387324,0.6555622813752365,0.39525382419498484,5.163305707888221,0.7469875049513863,False,True,OR,all,
GSE190265,NSCLC,lung,TACSTD2,residual,tertile,DCB,14,29,43,5.0,10.0,5.0,10.0,30.0,1.0,0.0,0.7745966692414834,0.21910384757601217,4.564045821482331,1.0,False,True,OR,all,
GSE190265,NSCLC,lung,TACSTD2,residual,continuous,DCB,14,29,43,,,,,43.0,0.9203205351202874,-0.08303326187949084,0.3256053983771581,0.4861588567748671,1.742208077793635,0.7987138830370735,,True,OR,all,
GSE190265,NSCLC,lung,TACSTD2,residual,median,DCB,5,6,11,2.0,4.0,3.0,2.0,11.0,0.3333333333333333,-1.0986122886681098,1.2583057392117916,0.028300054811768276,3.926180067499613,0.5670995670995672,False,True,OR,LUSC,
GSE190265,NSCLC,lung,TACSTD2,residual,tertile,DCB,5,6,11,1.0,3.0,2.0,2.0,8.0,0.3333333333333333,-1.0986122886681098,1.5275252316519465,0.01669640682806238,6.654791791750173,1.0,False,True,OR,LUSC,
GSE190265,NSCLC,lung,TACSTD2,residual,continuous,DCB,5,6,11,,,,,11.0,0.2601719233028777,-1.3464126230191409,0.970590211872408,0.038821951256842444,1.7435864886669783,0.16537768201031455,,True,OR,LUSC,
GSE190265,NSCLC,lung,TACSTD2,residual,median,DCB,4,10,14,2.0,5.0,2.0,5.0,14.0,1.0,0.0,1.1832159566199232,0.09836174951134759,10.166553614264803,1.0,False,True,OR,nonLUSC,
GSE190265,NSCLC,lung,TACSTD2,residual,tertile,DCB,4,10,14,2.0,3.0,1.0,4.0,10.0,2.6666666666666665,0.9808292530117262,1.4433756729740643,0.15752248547000908,45.14346691453777,1.0,False,True,OR,nonLUSC,
GSE190265,NSCLC,lung,TACSTD2,residual,continuous,DCB,4,10,14,,,,,14.0,1.6364202426548211,0.4925110772329811,0.7302231587547693,0.39112568958008037,6.846574597146697,0.500014760202093,,True,OR,nonLUSC,
GSE190266,NSCLC,lung,CLDN4,raw,median,DCB,17,52,69,11.0,24.0,6.0,28.0,69.0,2.138888888888889,0.7602864833975739,0.5787544470297484,0.6879272191383001,6.650188496310428,0.26470866137579313,False,True,OR,all,
GSE190266,NSCLC,lung,CLDN4,raw,tertile,DCB,17,52,69,9.0,14.0,5.0,18.0,46.0,2.3142857142857145,0.8391010931830252,0.6618876325292973,0.6324218226491157,8.468901887211672,0.336772393493891,False,True,OR,all,
GSE190266,NSCLC,lung,CLDN4,raw,continuous,DCB,17,52,69,,,,,69.0,1.7093843063883298,0.5361332509356291,0.33482840410440057,0.8868047711129918,3.294969537950768,0.10932865442277595,,True,OR,all,
GSE190266,NSCLC,lung,CLDN4,raw,median,DCB,1,12,13,1.0,6.0,0.0,6.0,13.0,3.0000000000000004,1.0986122886681098,1.7246329970051524,0.1021136995074864,88.13704765774516,1.0,True,True,OR,LUSC,
GSE190266,NSCLC,lung,CLDN4,raw,tertile,DCB,1,12,13,0.0,5.0,0.0,5.0,10.0,1.0,0.0,2.088931871468374,0.01666730158116131,59.997714394889115,1.0,True,True,OR,LUSC,
GSE190266,NSCLC,lung,CLDN4,raw,continuous,DCB,1,12,13,,,,,13.0,1.5277874466600196,0.4238205754792566,1.3092874974722268,0.11737481476918003,19.886161156139554,0.7461627347474291,,True,OR,LUSC,
GSE190266,NSCLC,lung,CLDN4,raw,median,DCB,15,39,54,10.0,17.0,5.0,22.0,54.0,2.588235294117647,0.9509762898620452,0.6358286521275289,0.7443470645507736,8.999782838882025,0.2237778821528969,False,True,OR,nonLUSC,
GSE190266,NSCLC,lung,CLDN4,raw,tertile,DCB,15,39,54,9.0,9.0,4.0,14.0,36.0,3.5,1.252762968495368,0.737326788914382,0.8249788430395619,14.84886564468242,0.16418242491657392,False,True,OR,nonLUSC,
GSE190266,NSCLC,lung,CLDN4,raw,continuous,DCB,15,39,54,,,,,54.0,1.6441947347272028,0.49725074139966696,0.3544587604285961,0.8207896378965339,3.293628721523207,0.16066302971371604,,True,OR,nonLUSC,
GSE190266,NSCLC,lung,CLDN4,residual,median,DCB,17,52,69,8.0,27.0,9.0,25.0,69.0,0.823045267489712,-0.19474407679251174,0.5595964154175294,0.2748436053221055,2.4646871865303988,0.785075683575665,False,True,OR,all,
GSE190266,NSCLC,lung,CLDN4,residual,tertile,DCB,17,52,69,6.0,17.0,7.0,16.0,46.0,0.8067226890756303,-0.21477530164369313,0.6563896243357098,0.22284050996721338,2.920481097288679,1.0,False,True,OR,all,
GSE190266,NSCLC,lung,CLDN4,residual,continuous,DCB,17,52,69,,,,,69.0,1.0572039167444436,0.05562760856940097,0.2805378281441347,0.6100425716906858,1.8321346303459258,0.8428188371753667,,True,OR,all,
GSE190266,NSCLC,lung,CLDN4,residual,median,DCB,1,12,13,0.0,7.0,1.0,5.0,13.0,0.24444444444444446,-1.4087672169719492,1.7267941920849113,0.008285205426182503,7.212022315213128,0.46153846153846156,True,True,OR,LUSC,
GSE190266,NSCLC,lung,CLDN4,residual,tertile,DCB,1,12,13,0.0,5.0,1.0,4.0,10.0,0.2727272727272727,-1.2992829841302609,1.7523433084607225,0.008792327008410214,8.459667755545103,1.0,True,True,OR,LUSC,
GSE190266,NSCLC,lung,CLDN4,residual,continuous,DCB,1,12,13,,,,,13.0,0.002364149024956316,-6.047337142103557,8.267821811839067,2.16751865566558e-10,25786.170733029347,0.46451623386148955,,True,OR,LUSC,
GSE190266,NSCLC,lung,CLDN4,residual,median,DCB,15,39,54,8.0,19.0,7.0,20.0,54.0,1.2030075187969924,0.1848246870120731,0.6086778473088299,0.3648810409550334,3.966298403704804,1.0,False,True,OR,nonLUSC,
GSE190266,NSCLC,lung,CLDN4,residual,tertile,DCB,15,39,54,5.0,13.0,5.0,13.0,36.0,1.0,0.0,0.7442084075352507,0.23255035918373798,4.300143863505712,1.0,False,True,OR,nonLUSC,
GSE190266,NSCLC,lung,CLDN4,residual,continuous,DCB,15,39,54,,,,,54.0,1.1845056287305293,0.16932549659403995,0.3069907348331185,0.648965096809444,2.1619862014031948,0.5812460824195951,,True,OR,nonLUSC,
GSE207422,NSCLC,lung,CLDN4,raw,median,ORR,17,7,24,7.0,5.0,10.0,2.0,24.0,0.28,-1.2729656758128873,0.9710083124552245,0.04174640378735315,1.8780060768671745,0.3707093821510298,False,True,OR,all,
GSE207422,NSCLC,lung,CLDN4,raw,tertile,ORR,17,7,24,4.0,4.0,6.0,2.0,16.0,0.3333333333333333,-1.0986122886681098,1.0801234497346432,0.040129070782762497,2.768843358287753,0.6083916083916084,False,True,OR,all,
GSE207422,NSCLC,lung,CLDN4,raw,continuous,ORR,17,7,24,,,,,24.0,0.9723117475088977,-0.028078798054080426,0.4614826181231257,0.39353521256505264,2.4023012532519705,0.9514828448879865,,True,OR,all,
GSE207422,NSCLC,lung,CLDN4,raw,median,author_R_vs_NR,9,15,24,2.0,10.0,7.0,5.0,24.0,0.14285714285714285,-1.9459101490553135,0.9710083124552245,0.02129918560579241,0.9581663657485581,0.08937945887737245,False,True,OR,all,
GSE207422,NSCLC,lung,CLDN4,raw,tertile,author_R_vs_NR,9,15,24,1.0,7.0,3.0,5.0,16.0,0.23809523809523808,-1.4350845252893227,1.2946777499402993,0.01882342987456475,3.011637240470709,0.5692307692307692,False,True,OR,all,
GSE207422,NSCLC,lung,CLDN4,raw,continuous,author_R_vs_NR,9,15,24,,,,,24.0,0.8984122063552583,-0.10712628887898931,0.4267251094113524,0.3892601069851938,2.073535094000332,0.8017809779517122,,True,OR,all,
GSE207422,NSCLC,lung,CLDN4,raw,median,ORR,4,4,8,1.0,3.0,3.0,1.0,8.0,0.11111111111111109,-2.1972245773362196,1.632993161855452,0.004526115673355771,2.727654329521874,0.48571428571428565,False,True,OR,LUAD,
GSE207422,NSCLC,lung,CLDN4,raw,tertile,ORR,4,4,8,1.0,2.0,2.0,1.0,6.0,0.25,-1.3862943611198906,1.7320508075688772,0.008386651502439052,7.452318721223057,1.0,False,True,OR,LUAD,
GSE207422,NSCLC,lung,CLDN4,raw,continuous,ORR,4,4,8,,,,,8.0,1.059507836547017,0.05780449515664225,0.7569630137656371,0.24030579716702086,4.67136818561362,0.9391297498574546,,True,OR,LUAD,
GSE207422,NSCLC,lung,CLDN4,raw,median,author_R_vs_NR,3,5,8,0.0,4.0,3.0,1.0,8.0,0.047619047619047616,-3.044522437723423,1.7817416127494958,0.0014492110142965008,1.5646953230243605,0.14285714285714288,True,True,OR,LUAD,
GSE207422,NSCLC,lung,CLDN4,raw,tertile,author_R_vs_NR,3,5,8,0.0,3.0,2.0,1.0,6.0,0.08571428571428572,-2.456735772821304,1.8309508328682538,0.0023687345650158062,3.101630247651315,0.4000000000000001,True,True,OR,LUAD,
GSE207422,NSCLC,lung,CLDN4,raw,continuous,author_R_vs_NR,3,5,8,,,,,8.0,0.7323903741000556,-0.3114416092227445,0.7769506984220185,0.1597308643094142,3.3581215652559724,0.6885296905136968,,True,OR,LUAD,
GSE207422,NSCLC,lung,CLDN4,raw,median,ORR,9,3,12,4.0,2.0,5.0,1.0,12.0,0.4,-0.916290731874155,1.396424004376894,0.025905971410703523,6.176182219281424,1.0,False,True,OR,LUSC,
GSE207422,NSCLC,lung,CLDN4,raw,tertile,ORR,9,3,12,2.0,2.0,3.0,1.0,8.0,0.3333333333333333,-1.0986122886681098,1.5275252316519465,0.01669640682806238,6.654791791750173,1.0,False,True,OR,LUSC,
GSE207422,NSCLC,lung,CLDN4,raw,continuous,ORR,9,3,12,,,,,12.0,1.75933898385146,0.5649381611460954,0.6551952098678852,0.4871201604996652,6.354230251781204,0.3885532426764582,,True,OR,LUSC,
GSE207422,NSCLC,lung,CLDN4,raw,median,author_R_vs_NR,4,8,12,1.0,5.0,3.0,3.0,12.0,0.2,-1.6094379124341003,1.3662601021279464,0.013741872609067523,2.9108114401821896,0.5454545454545454,False,True,OR,LUSC,
GSE207422,NSCLC,lung,CLDN4,raw,tertile,author_R_vs_NR,4,8,12,1.0,3.0,2.0,2.0,8.0,0.3333333333333333,-1.0986122886681098,1.5275252316519465,0.01669640682806238,6.654791791750173,1.0,False,True,OR,LUSC,
GSE207422,NSCLC,lung,CLDN4,raw,continuous,author_R_vs_NR,4,8,12,,,,,12.0,0.9100445291045093,-0.09426174758654725,0.6273131083023639,0.26612332765162056,3.112019725069768,0.8805573772757462,,True,OR,LUSC,
GSE207422,NSCLC,lung,CLDN4,raw,median,ORR,4,4,8,1.0,3.0,3.0,1.0,8.0,0.11111111111111109,-2.1972245773362196,1.632993161855452,0.004526115673355771,2.727654329521874,0.48571428571428565,False,True,OR,nonLUSC,
GSE207422,NSCLC,lung,CLDN4,raw,tertile,ORR,4,4,8,1.0,2.0,2.0,1.0,6.0,0.25,-1.3862943611198906,1.7320508075688772,0.008386651502439052,7.452318721223057,1.0,False,True,OR,nonLUSC,
GSE207422,NSCLC,lung,CLDN4,raw,continuous,ORR,4,4,8,,,,,8.0,1.059507836547017,0.05780449515664225,0.7569630137656371,0.24030579716702086,4.67136818561362,0.9391297498574546,,True,OR,nonLUSC,
GSE207422,NSCLC,lung,CLDN4,raw,median,author_R_vs_NR,3,5,8,0.0,4.0,3.0,1.0,8.0,0.047619047619047616,-3.044522437723423,1.7817416127494958,0.0014492110142965008,1.5646953230243605,0.14285714285714288,True,True,OR,nonLUSC,
GSE207422,NSCLC,lung,CLDN4,raw,tertile,author_R_vs_NR,3,5,8,0.0,3.0,2.0,1.0,6.0,0.08571428571428572,-2.456735772821304,1.8309508328682538,0.0023687345650158062,3.101630247651315,0.4000000000000001,True,True,OR,nonLUSC,
GSE207422,NSCLC,lung,CLDN4,raw,continuous,author_R_vs_NR,3,5,8,,,,,8.0,0.7323903741000556,-0.3114416092227445,0.7769506984220185,0.1597308643094142,3.3581215652559724,0.6885296905136968,,True,OR,nonLUSC,
GSE207422,NSCLC,lung,CLDN4,residual,median,ORR,17,7,24,7.0,5.0,10.0,2.0,24.0,0.28,-1.2729656758128873,0.9710083124552245,0.04174640378735315,1.8780060768671745,0.3707093821510298,False,True,OR,all,
GSE207422,NSCLC,lung,CLDN4,residual,tertile,ORR,17,7,24,3.0,5.0,6.0,2.0,16.0,0.2,-1.6094379124341003,1.0954451150103321,0.023365134699038403,1.7119524674362876,0.3146853146853147,False,True,OR,all,
GSE207422,NSCLC,lung,CLDN4,residual,continuous,ORR,17,7,24,,,,,24.0,0.7925169269113911,-0.232541414580072,0.4872026725167872,0.3049953791818375,2.059319984210691,0.6331491262242777,,True,OR,all,
GSE207422,NSCLC,lung,CLDN4,residual,median,author_R_vs_NR,9,15,24,4.0,8.0,5.0,7.0,24.0,0.7,-0.35667494393873245,0.8472645058404977,0.13301233969717982,3.683868738160308,1.0,False,True,OR,all,
