term	rho	p	n_genes_present	q	cohort	split	bucket	expected	primary
KEGG_TIGHT_JUNCTION	0.06722959271804291	0.1257412464397449	127	0.13541365001203298	TCGA-HNSC	quartile	TJ	UP	True
GOBP_CORNIFICATION	0.04633038805566679	0.29164524738780917	8	0.29164524738780917	TCGA-HNSC	quartile	KERATIN_BARRIER	UP	True
GOBP_EPIDERMAL_CELL_DIFFERENTIATION	0.17776263585908533	4.5744855035759807e-05	229	5.822072459096702e-05	TCGA-HNSC	quartile	KERATIN_BARRIER	UP	True
GOBP_EPITHELIAL_TO_MESENCHYMAL_TRANSITION	-0.36273188812975	1.2923393492682875e-17	160	3.6185501779512047e-17	TCGA-HNSC	quartile	EMT	DOWN	True
GOBP_ESTABLISHMENT_OF_SKIN_BARRIER	0.3464823088755742	4.1075805473366123e-16	30	9.584354610452096e-16	TCGA-HNSC	quartile	KERATIN_BARRIER	UP	True
GOBP_KERATINIZATION	0.18399739769134554	2.4237374479721967e-05	79	3.434962601369286e-05	TCGA-HNSC	quartile	KERATIN_BARRIER	UP	True
GOBP_KERATINOCYTE_DIFFERENTIATION	0.18387936696614707	2.453544715263776e-05	167	3.434962601369286e-05	TCGA-HNSC	quartile	KERATIN_BARRIER	UP	True
GOBP_TIGHT_JUNCTION_ORGANIZATION	0.09164125691883784	0.036697746097411804	76	0.0428140371136471	TCGA-HNSC	quartile	TJ	UP	True
CUSTOM_TJ_CORE	0.3856979106428096	6.866845101889068e-20	25	2.4033957856611735e-19	TCGA-HNSC	quartile	TJ	UP	True
CUSTOM_CLAUDIN_PAR_FOCAL	0.5785923756418805	8.51917811654677e-48	5	1.1926849363165477e-46	TCGA-HNSC	quartile	TJ	UP	True
CUSTOM_BARRIER_KERATIN	0.2742401654717411	2.0052187786138566e-10	30	3.509132862574249e-10	TCGA-HNSC	quartile	KERATIN_BARRIER	UP	True
CUSTOM_EMT_CORE	-0.443904468337731	1.6147081816648907e-26	15	1.1302957271654235e-25	TCGA-HNSC	quartile	EMT	DOWN	True
HALLMARK_APICAL_JUNCTION	-0.29028649803606854	1.4836126290647896e-11	192	2.967225258129579e-11	TCGA-HNSC	median	TJ	UP	True
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	-0.4226261657134374	6.063916361079518e-24	194	2.8298276351704416e-23	TCGA-HNSC	median	EMT	DOWN	True
KEGG_TIGHT_JUNCTION	0.06722959271804291	0.1257412464397449	127	0.13541365001203298	TCGA-HNSC	median	TJ	UP	True
GOBP_CORNIFICATION	0.04633038805566679	0.29164524738780917	8	0.29164524738780917	TCGA-HNSC	median	KERATIN_BARRIER	UP	True
GOBP_EPIDERMAL_CELL_DIFFERENTIATION	0.17776263585908533	4.5744855035759807e-05	229	5.822072459096702e-05	TCGA-HNSC	median	KERATIN_BARRIER	UP	True
GOBP_EPITHELIAL_TO_MESENCHYMAL_TRANSITION	-0.36273188812975	1.2923393492682875e-17	160	3.6185501779512047e-17	TCGA-HNSC	median	EMT	DOWN	True
GOBP_ESTABLISHMENT_OF_SKIN_BARRIER	0.3464823088755742	4.1075805473366123e-16	30	9.584354610452096e-16	TCGA-HNSC	median	KERATIN_BARRIER	UP	True
GOBP_KERATINIZATION	0.18399739769134554	2.4237374479721967e-05	79	3.434962601369286e-05	TCGA-HNSC	median	KERATIN_BARRIER	UP	True
GOBP_KERATINOCYTE_DIFFERENTIATION	0.18387936696614707	2.453544715263776e-05	167	3.434962601369286e-05	TCGA-HNSC	median	KERATIN_BARRIER	UP	True
GOBP_TIGHT_JUNCTION_ORGANIZATION	0.09164125691883784	0.036697746097411804	76	0.0428140371136471	TCGA-HNSC	median	TJ	UP	True
CUSTOM_TJ_CORE	0.3856979106428096	6.866845101889068e-20	25	2.4033957856611735e-19	TCGA-HNSC	median	TJ	UP	True
CUSTOM_CLAUDIN_PAR_FOCAL	0.5785923756418805	8.51917811654677e-48	5	1.1926849363165477e-46	TCGA-HNSC	median	TJ	UP	True
CUSTOM_BARRIER_KERATIN	0.2742401654717411	2.0052187786138566e-10	30	3.509132862574249e-10	TCGA-HNSC	median	KERATIN_BARRIER	UP	True
CUSTOM_EMT_CORE	-0.443904468337731	1.6147081816648907e-26	15	1.1302957271654235e-25	TCGA-HNSC	median	EMT	DOWN	True
HALLMARK_APICAL_JUNCTION	-0.11187335721660635	0.024001310636726482	192	0.024001310636726482	TCGA-BLCA	quartile	TJ	UP	True
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	-0.2112808616560625	1.723960095141163e-05	194	3.447920190282326e-05	TCGA-BLCA	quartile	EMT	DOWN	True
KEGG_TIGHT_JUNCTION	0.11902685860323135	0.016286221080708183	127	0.017539007317685738	TCGA-BLCA	quartile	TJ	UP	True
GOBP_CORNIFICATION	0.14410318271629355	0.0035745702915252206	8	0.004549453098304826	TCGA-BLCA	quartile	KERATIN_BARRIER	UP	True
GOBP_EPIDERMAL_CELL_DIFFERENTIATION	0.21765146491257872	9.393818860113258e-06	229	2.630269280831712e-05	TCGA-BLCA	quartile	KERATIN_BARRIER	UP	True
GOBP_EPITHELIAL_TO_MESENCHYMAL_TRANSITION	-0.1339323597196644	0.006812478635644083	160	0.007947891741584763	TCGA-BLCA	quartile	EMT	DOWN	True
GOBP_ESTABLISHMENT_OF_SKIN_BARRIER	0.33157867265170976	6.7000592685052925e-12	30	3.12669432530247e-11	TCGA-BLCA	quartile	KERATIN_BARRIER	UP	True
GOBP_KERATINIZATION	0.16875891156245862	0.0006292968316096922	79	0.0009789061825039658	TCGA-BLCA	quartile	KERATIN_BARRIER	UP	True
GOBP_KERATINOCYTE_DIFFERENTIATION	0.21458697540340926	1.260873067407578e-05	167	2.9420371572843487e-05	TCGA-BLCA	quartile	KERATIN_BARRIER	UP	True
GOBP_TIGHT_JUNCTION_ORGANIZATION	0.15495829623496502	0.001715549086055733	76	0.0024017687204780265	TCGA-BLCA	quartile	TJ	UP	True
CUSTOM_TJ_CORE	0.3733034852494191	6.627413422842084e-15	25	4.639189395989459e-14	TCGA-BLCA	quartile	TJ	UP	True
CUSTOM_CLAUDIN_PAR_FOCAL	0.45679378163336337	2.252872432295819e-22	5	3.1540214052141465e-21	TCGA-BLCA	quartile	TJ	UP	True
CUSTOM_BARRIER_KERATIN	0.19430166390104087	7.963443028181138e-05	30	0.00013936025299316992	TCGA-BLCA	quartile	KERATIN_BARRIER	UP	True
CUSTOM_EMT_CORE	-0.24289981836354024	7.059489147890687e-07	15	2.4708212017617404e-06	TCGA-BLCA	quartile	EMT	DOWN	True
HALLMARK_APICAL_JUNCTION	-0.11187335721660635	0.024001310636726482	192	0.024001310636726482	TCGA-BLCA	median	TJ	UP	True
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	-0.2112808616560625	1.723960095141163e-05	194	3.447920190282326e-05	TCGA-BLCA	median	EMT	DOWN	True
KEGG_TIGHT_JUNCTION	0.11902685860323135	0.016286221080708183	127	0.017539007317685738	TCGA-BLCA	median	TJ	UP	True
GOBP_CORNIFICATION	0.14410318271629355	0.0035745702915252206	8	0.004549453098304826	TCGA-BLCA	median	KERATIN_BARRIER	UP	True
GOBP_EPIDERMAL_CELL_DIFFERENTIATION	0.21765146491257872	9.393818860113258e-06	229	2.630269280831712e-05	TCGA-BLCA	median	KERATIN_BARRIER	UP	True
GOBP_EPITHELIAL_TO_MESENCHYMAL_TRANSITION	-0.1339323597196644	0.006812478635644083	160	0.007947891741584763	TCGA-BLCA	median	EMT	DOWN	True
GOBP_ESTABLISHMENT_OF_SKIN_BARRIER	0.33157867265170976	6.7000592685052925e-12	30	3.12669432530247e-11	TCGA-BLCA	median	KERATIN_BARRIER	UP	True
GOBP_KERATINIZATION	0.16875891156245862	0.0006292968316096922	79	0.0009789061825039658	TCGA-BLCA	median	KERATIN_BARRIER	UP	True
GOBP_KERATINOCYTE_DIFFERENTIATION	0.21458697540340926	1.260873067407578e-05	167	2.9420371572843487e-05	TCGA-BLCA	median	KERATIN_BARRIER	UP	True
GOBP_TIGHT_JUNCTION_ORGANIZATION	0.15495829623496502	0.001715549086055733	76	0.0024017687204780265	TCGA-BLCA	median	TJ	UP	True
CUSTOM_TJ_CORE	0.3733034852494191	6.627413422842084e-15	25	4.639189395989459e-14	TCGA-BLCA	median	TJ	UP	True
CUSTOM_CLAUDIN_PAR_FOCAL	0.45679378163336337	2.252872432295819e-22	5	3.1540214052141465e-21	TCGA-BLCA	median	TJ	UP	True
CUSTOM_BARRIER_KERATIN	0.19430166390104087	7.963443028181138e-05	30	0.00013936025299316992	TCGA-BLCA	median	KERATIN_BARRIER	UP	True
CUSTOM_EMT_CORE	-0.24289981836354024	7.059489147890687e-07	15	2.4708212017617404e-06	TCGA-BLCA	median	EMT	DOWN	True
HALLMARK_APICAL_JUNCTION	0.10453521862837557	0.06920272434156549	192	0.07452601082937822	TCGA-CESC	quartile	TJ	UP	True
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	-0.10505416653590578	0.0678254458284345	194	0.07452601082937822	TCGA-CESC	quartile	EMT	DOWN	True
KEGG_TIGHT_JUNCTION	0.15064911087033112	0.008626781406198287	127	0.013419437742975113	TCGA-CESC	quartile	TJ	UP	True
GOBP_CORNIFICATION	0.3250376080858401	6.932575081794041e-09	8	1.3865150163588082e-08	TCGA-CESC	quartile	KERATIN_BARRIER	UP	True
GOBP_EPIDERMAL_CELL_DIFFERENTIATION	0.49572056704225975	3.386759136479994e-20	229	9.482925582143982e-20	TCGA-CESC	quartile	KERATIN_BARRIER	UP	True
GOBP_EPITHELIAL_TO_MESENCHYMAL_TRANSITION	-0.11790233318418503	0.04026796204745636	160	0.05125013351494446	TCGA-CESC	quartile	EMT	DOWN	True
GOBP_ESTABLISHMENT_OF_SKIN_BARRIER	0.6055442660300424	1.0509997732498534e-31	30	7.356998412748974e-31	TCGA-CESC	quartile	KERATIN_BARRIER	UP	True
GOBP_KERATINIZATION	0.4923696216177421	6.590944244247126e-20	79	1.5378869903243294e-19	TCGA-CESC	quartile	KERATIN_BARRIER	UP	True
GOBP_KERATINOCYTE_DIFFERENTIATION	0.5333315646829451	1.1370045653570704e-23	167	3.9795159787497465e-23	TCGA-CESC	quartile	KERATIN_BARRIER	UP	True
GOBP_TIGHT_JUNCTION_ORGANIZATION	0.13320913956560515	0.020366863452536466	76	0.02851360883355105	TCGA-CESC	quartile	TJ	UP	True
CUSTOM_TJ_CORE	0.16508431771129833	0.0039575670084791926	25	0.006925742264838587	TCGA-CESC	quartile	TJ	UP	True
CUSTOM_CLAUDIN_PAR_FOCAL	0.7187808132060421	1.9333846773508697e-49	5	2.7067385482912177e-48	TCGA-CESC	quartile	TJ	UP	True
CUSTOM_BARRIER_KERATIN	0.561793894640421	1.3262859595009658e-26	30	6.189334477671174e-26	TCGA-CESC	quartile	KERATIN_BARRIER	UP	True
CUSTOM_EMT_CORE	-0.08426821065532106	0.14336094302398897	15	0.14336094302398897	TCGA-CESC	quartile	EMT	DOWN	True
HALLMARK_APICAL_JUNCTION	0.10453521862837557	0.06920272434156549	192	0.07452601082937822	TCGA-CESC	median	TJ	UP	True
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	-0.10505416653590578	0.0678254458284345	194	0.07452601082937822	TCGA-CESC	median	EMT	DOWN	True
KEGG_TIGHT_JUNCTION	0.15064911087033112	0.008626781406198287	127	0.013419437742975113	TCGA-CESC	median	TJ	UP	True
GOBP_CORNIFICATION	0.3250376080858401	6.932575081794041e-09	8	1.3865150163588082e-08	TCGA-CESC	median	KERATIN_BARRIER	UP	True
GOBP_EPIDERMAL_CELL_DIFFERENTIATION	0.49572056704225975	3.386759136479994e-20	229	9.482925582143982e-20	TCGA-CESC	median	KERATIN_BARRIER	UP	True
GOBP_EPITHELIAL_TO_MESENCHYMAL_TRANSITION	-0.11790233318418503	0.04026796204745636	160	0.05125013351494446	TCGA-CESC	median	EMT	DOWN	True
GOBP_ESTABLISHMENT_OF_SKIN_BARRIER	0.6055442660300424	1.0509997732498534e-31	30	7.356998412748974e-31	TCGA-CESC	median	KERATIN_BARRIER	UP	True
GOBP_KERATINIZATION	0.4923696216177421	6.590944244247126e-20	79	1.5378869903243294e-19	TCGA-CESC	median	KERATIN_BARRIER	UP	True
GOBP_KERATINOCYTE_DIFFERENTIATION	0.5333315646829451	1.1370045653570704e-23	167	3.9795159787497465e-23	TCGA-CESC	median	KERATIN_BARRIER	UP	True
GOBP_TIGHT_JUNCTION_ORGANIZATION	0.13320913956560515	0.020366863452536466	76	0.02851360883355105	TCGA-CESC	median	TJ	UP	True
CUSTOM_TJ_CORE	0.16508431771129833	0.0039575670084791926	25	0.006925742264838587	TCGA-CESC	median	TJ	UP	True
CUSTOM_CLAUDIN_PAR_FOCAL	0.7187808132060421	1.9333846773508697e-49	5	2.7067385482912177e-48	TCGA-CESC	median	TJ	UP	True
CUSTOM_BARRIER_KERATIN	0.561793894640421	1.3262859595009658e-26	30	6.189334477671174e-26	TCGA-CESC	median	KERATIN_BARRIER	UP	True
CUSTOM_EMT_CORE	-0.08426821065532106	0.14336094302398897	15	0.14336094302398897	TCGA-CESC	median	EMT	DOWN	True
HALLMARK_APICAL_JUNCTION	0.20779746155008133	3.6369462671659263e-12	192	5.091724774032297e-12	TCGA-BRCA	quartile	TJ	UP	True
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	0.12103207785117394	5.846685082854563e-05	194	6.821132596663658e-05	TCGA-BRCA	quartile	EMT	DOWN	True
KEGG_TIGHT_JUNCTION	0.28534597177645343	5.349990300977351e-22	127	9.362483026710364e-22	TCGA-BRCA	quartile	TJ	UP	True
GOBP_CORNIFICATION	0.19070602371136572	1.918856589136498e-10	8	2.442181113446452e-10	TCGA-BRCA	quartile	KERATIN_BARRIER	UP	True
GOBP_EPIDERMAL_CELL_DIFFERENTIATION	0.29549303852161124	1.523864820427776e-23	229	3.047729640855552e-23	TCGA-BRCA	quartile	KERATIN_BARRIER	UP	True
GOBP_EPITHELIAL_TO_MESENCHYMAL_TRANSITION	0.11882004639767539	7.982208836928161e-05	160	8.59622490130725e-05	TCGA-BRCA	quartile	EMT	DOWN	True
GOBP_ESTABLISHMENT_OF_SKIN_BARRIER	0.3966049709000545	1.2271934034894289e-42	30	8.590353824426002e-42	TCGA-BRCA	quartile	KERATIN_BARRIER	UP	True
GOBP_KERATINIZATION	0.3052354204712295	4.360106273973552e-25	79	1.0173581305938289e-24	TCGA-BRCA	quartile	KERATIN_BARRIER	UP	True
GOBP_KERATINOCYTE_DIFFERENTIATION	0.2780509193098696	6.322202124012852e-21	167	9.834536637353325e-21	TCGA-BRCA	quartile	KERATIN_BARRIER	UP	True
GOBP_TIGHT_JUNCTION_ORGANIZATION	0.3188525320787693	2.410356337428519e-27	76	8.436247180999817e-27	TCGA-BRCA	quartile	TJ	UP	True
CUSTOM_TJ_CORE	0.30829846714453046	1.3866646584985045e-25	25	3.882661043795812e-25	TCGA-BRCA	quartile	TJ	UP	True
CUSTOM_CLAUDIN_PAR_FOCAL	0.42680546003780373	8.614326748471746e-50	5	1.2060057447860445e-48	TCGA-BRCA	quartile	TJ	UP	True
CUSTOM_BARRIER_KERATIN	0.3472199090811796	1.9549706470326854e-32	30	9.123196352819199e-32	TCGA-BRCA	quartile	KERATIN_BARRIER	UP	True
CUSTOM_EMT_CORE	0.032890047740988936	0.2764170257766406	15	0.2764170257766406	TCGA-BRCA	quartile	EMT	DOWN	True
HALLMARK_APICAL_JUNCTION	0.20779746155008133	3.6369462671659263e-12	192	5.091724774032297e-12	TCGA-BRCA	median	TJ	UP	True
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	0.12103207785117394	5.846685082854563e-05	194	6.821132596663658e-05	TCGA-BRCA	median	EMT	DOWN	True
KEGG_TIGHT_JUNCTION	0.28534597177645343	5.349990300977351e-22	127	9.362483026710364e-22	TCGA-BRCA	median	TJ	UP	True
GOBP_CORNIFICATION	0.19070602371136572	1.918856589136498e-10	8	2.442181113446452e-10	TCGA-BRCA	median	KERATIN_BARRIER	UP	True
GOBP_EPIDERMAL_CELL_DIFFERENTIATION	0.29549303852161124	1.523864820427776e-23	229	3.047729640855552e-23	TCGA-BRCA	median	KERATIN_BARRIER	UP	True
GOBP_EPITHELIAL_TO_MESENCHYMAL_TRANSITION	0.11882004639767539	7.982208836928161e-05	160	8.59622490130725e-05	TCGA-BRCA	median	EMT	DOWN	True
GOBP_ESTABLISHMENT_OF_SKIN_BARRIER	0.3966049709000545	1.2271934034894289e-42	30	8.590353824426002e-42	TCGA-BRCA	median	KERATIN_BARRIER	UP	True
GOBP_KERATINIZATION	0.3052354204712295	4.360106273973552e-25	79	1.0173581305938289e-24	TCGA-BRCA	median	KERATIN_BARRIER	UP	True
GOBP_KERATINOCYTE_DIFFERENTIATION	0.2780509193098696	6.322202124012852e-21	167	9.834536637353325e-21	TCGA-BRCA	median	KERATIN_BARRIER	UP	True
GOBP_TIGHT_JUNCTION_ORGANIZATION	0.3188525320787693	2.410356337428519e-27	76	8.436247180999817e-27	TCGA-BRCA	median	TJ	UP	True
CUSTOM_TJ_CORE	0.30829846714453046	1.3866646584985045e-25	25	3.882661043795812e-25	TCGA-BRCA	median	TJ	UP	True
CUSTOM_CLAUDIN_PAR_FOCAL	0.42680546003780373	8.614326748471746e-50	5	1.2060057447860445e-48	TCGA-BRCA	median	TJ	UP	True
CUSTOM_BARRIER_KERATIN	0.3472199090811796	1.9549706470326854e-32	30	9.123196352819199e-32	TCGA-BRCA	median	KERATIN_BARRIER	UP	True
CUSTOM_EMT_CORE	0.032890047740988936	0.2764170257766406	15	0.2764170257766406	TCGA-BRCA	median	EMT	DOWN	True
HALLMARK_APICAL_JUNCTION	0.23932168464676526	4.329565332733038e-05	192	8.659130665466076e-05	TCGA-COAD	quartile	TJ	UP	True
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	0.22536798572005662	0.00012094762647586396	194	0.00018814075229578838	TCGA-COAD	quartile	EMT	DOWN	True
KEGG_TIGHT_JUNCTION	0.17446150440849464	0.003074139359084842	127	0.003586495918932316	TCGA-COAD	quartile	TJ	UP	True
GOBP_CORNIFICATION	0.34459691073970095	2.14412102528127e-09	8	5.00294905898963e-09	TCGA-COAD	quartile	KERATIN_BARRIER	UP	True
