pair_id	ligand	receptor	pathway	annotation	family	direction	in_cellchat_human	d_sdm_prox_median	d_sdm_prox_mean	d_sdm_prox_n_slides	d_sdm_prox_n_neg	d_sdm_prox_n_pos	d_sdm_prox_p	d_sdm_prox_n_patients	d_sdm_prox_n_patients_neg	d_sdm_prox_n_patients_pos	d_sdm_geom_median	d_sdm_geom_mean	d_sdm_geom_n_slides	d_sdm_geom_n_neg	d_sdm_geom_n_pos	d_sdm_geom_p	d_sdm_geom_n_patients	d_sdm_geom_n_patients_neg	d_sdm_geom_n_patients_pos	d_commot_median	d_commot_mean	d_commot_n_slides	d_commot_n_neg	d_commot_n_pos	d_commot_p	d_commot_n_patients	d_commot_n_patients_neg	d_commot_n_patients_pos	d_commot_supply_median	d_commot_supply_mean	d_commot_supply_n_slides	d_commot_supply_n_neg	d_commot_supply_n_pos	d_commot_supply_p	d_commot_supply_n_patients	d_commot_supply_n_patients_neg	d_commot_supply_n_patients_pos	d_expr_median	d_expr_mean	d_expr_n_slides	d_expr_n_neg	d_expr_n_pos	d_expr_p	d_expr_n_patients	d_expr_n_patients_neg	d_expr_n_patients_pos	d_squidpy_median	d_squidpy_mean	d_squidpy_n_slides	d_squidpy_n_neg	d_squidpy_n_pos	d_squidpy_p	d_squidpy_n_patients	d_squidpy_n_patients_neg	d_squidpy_n_patients_pos	d_sdm_prox_q	d_sdm_geom_q	d_commot_q	d_squidpy_q
HLA-A|CD8A	HLA-A	CD8A	MHC-I	Cell-Cell Contact	mhc_control	tumor_to_cd8	True	0.07482423150251791	0.06371412461263921	8	1	7	0.015625	5	1	4	0.10265930134565654	0.08118867204471339	8	1	7	0.0546875	5	1	4	-0.005202976091409307	-0.005242055576068178	8	7	1	0.015625	5	4	1	-0.010480658648066205	-0.011164056657127601	8	8	0	0.0078125	5	5	0	0.10014806937348344	0.10042846946929775	8	1	7	0.0390625	5	1	4	0.0488950906164648	0.044835685764091575	8	1	7	0.078125	5	1	4	0.028124999999999997	0.328125	0.015625	0.1171875
HLA-A|CD8B	HLA-A	CD8B	MHC-I	Cell-Cell Contact	mhc_control	tumor_to_cd8	True	0.038261991527371836	0.03918475461871606	8	1	7	0.0234375	5	1	4	0.014190697354180756	-0.005874742446949459	8	3	5	0.640625	5	3	2	-0.0031677896871748906	-0.002854315881016197	8	8	0	0.0078125	5	5	0	-0.00583483343490121	-0.005620170632087009	8	7	1	0.0234375	5	4	1	0.10014806937348344	0.10042846946929775	8	1	7	0.0390625	5	1	4	0.048895090616464854	0.044835685764091596	8	1	7	0.078125	5	1	4	0.028124999999999997	0.890625	0.015625	0.1171875
HLA-B|CD8A	HLA-B	CD8A	MHC-I	Cell-Cell Contact	mhc_control	tumor_to_cd8	True	0.07070062484812698	0.05667937747438028	8	1	7	0.0234375	5	1	4	0.049468269553768277	-0.012291705111375131	8	2	6	0.546875	5	2	3	-0.0039980959420719085	-0.004807307929294754	8	8	0	0.0078125	5	5	0	-0.00598439295218426	-0.00801471659216971	8	8	0	0.0078125	5	5	0	-0.010811482255909536	0.02581469362663123	8	4	4	0.640625	5	2	3	-0.0070799699161420504	0.007688165395073702	8	5	3	1.0	5	3	2	0.028124999999999997	0.890625	0.015625	1.0
HLA-B|CD8B	HLA-B	CD8B	MHC-I	Cell-Cell Contact	mhc_control	tumor_to_cd8	True	0.01317544012492711	0.00032357952043557577	8	3	5	0.546875	5	1	4	0.02044646025291124	-0.103865616317299	8	3	5	0.9453125	5	2	3	-0.0033999122722631657	-0.0030266702264503996	8	7	1	0.015625	5	5	0	-0.00341713541355871	-0.004171216453152295	8	8	0	0.0078125	5	5	0	-0.010811482255909536	0.02581469362663123	8	4	4	0.640625	5	2	3	-0.0070799699161421	0.0076881653950737075	8	5	3	1.0	5	3	2	0.546875	0.9453125	0.015625	1.0
HLA-C|CD8A	HLA-C	CD8A	MHC-I	Cell-Cell Contact	mhc_control	tumor_to_cd8	True	0.07295218357712704	0.08196086821754678	8	0	8	0.0078125	5	0	5	0.09227429008430112	0.016909817645783344	8	2	6	0.4609375	5	2	3	-0.005232707922675415	-0.005217809290699556	8	7	1	0.015625	5	4	1	-0.006923198888484084	-0.007052955146443448	8	7	1	0.0390625	5	4	1	0.06006782724149008	0.08307893860460784	8	1	7	0.0546875	5	1	4	0.028493805673578898	0.03758025539259385	8	1	7	0.078125	5	1	4	0.028124999999999997	0.890625	0.015625	0.1171875
HLA-C|CD8B	HLA-C	CD8B	MHC-I	Cell-Cell Contact	mhc_control	tumor_to_cd8	True	0.04056644625624084	0.04041883445605446	8	1	7	0.015625	5	1	4	0.06100719954663776	-0.06901945094909946	8	3	5	0.7421875	5	2	3	-0.0031586627934353413	-0.002956088751993158	8	8	0	0.0078125	5	5	0	-0.004551499580637771	-0.004477625917742788	8	7	1	0.0234375	5	4	1	0.06006782724149008	0.08307893860460784	8	1	7	0.0546875	5	1	4	0.028493805673578947	0.03758025539259384	8	1	7	0.078125	5	1	4	0.028124999999999997	0.890625	0.015625	0.1171875
ICAM1|ITGAL	ICAM1	ITGAL	ICAM	Cell-Cell Contact	barrier	tumor_to_cd8	True	0.0652780682585778	0.05046668028702509	8	1	7	0.015625	5	1	4	0.10113396102805564	0.009284405586933546	8	1	7	0.1953125	5	1	4	0.004354778180108213	0.004456398553741527	8	0	8	0.0078125	5	0	5	0.02217823475016146	0.011399150167126832	8	2	6	0.3125	5	1	4	0.030628227744495234	0.04639121666476919	8	2	6	0.078125	5	1	4	0.015279223635267451	0.023103766015563274	8	2	6	0.0390625	5	1	4	0.09375	0.390625	0.03125	0.06696428571428571
ICAM1|ITGAL_ITGB2	ICAM1	ITGAL_ITGB2	ICAM	Cell-Cell Contact	barrier	tumor_to_cd8	True	0.04018292641302375	0.04201746520099815	8	0	8	0.0078125	5	0	5	0.07947728345533886	0.07758701681829137	8	0	8	0.0078125	5	0	5	0.0013353922568959567	0.0016522577227962802	8	0	8	0.0078125	5	0	5	0.006053076074451731	0.010370394429505254	8	2	6	0.1953125	5	0	5	0.030628227744495234	0.04639121666476919	8	2	6	0.078125	5	1	4	0.015279223635267451	0.023103766015563274	8	2	6	0.0390625	5	1	4	0.09375	0.09375	0.03125	0.06696428571428571
IFNG|IFNGR1_IFNGR2	IFNG	IFNGR1_IFNGR2	IFN-II	Secreted Signaling	effector_reverse	cd8_to_tumor	True	0.002970286120299207	-0.004612935846830861	8	4	4	0.9453125	5	2	3	0.010869085327072134	-0.007048662607667337	8	3	5	0.9453125	5	2	3	0.0003067295054721206	0.000606551203080467	8	3	5	0.3125	5	1	4	0.018492274258205467	0.02580706504542639	8	2	6	0.1484375	5	1	4	0.001466526212581644	-0.0001454372297884013	8	3	5	0.9453125	5	2	3	0.0055023851969135	0.0060323430237123376	8	0	8	0.0078125	5	0	5	0.9453125	0.9453125	0.3125	0.0078125
LGALS9|CD44	LGALS9	CD44	GALECTIN	Secreted Signaling	barrier	tumor_to_cd8	True	0.019550776055643378	0.03817919489963667	8	4	4	0.3125	5	1	4	0.025605689261922873	0.10164694869179364	8	3	5	0.3828125	5	1	4	-0.0002893619852815106	-7.973961337611699e-05	8	5	3	0.7421875	5	4	1	-0.014441294799495286	-0.01869604509539239	8	7	1	0.078125	5	4	1	0.008961813185727871	0.009873779060548031	8	3	5	0.1953125	5	2	3	0.00458593441477355	0.004539597667208035	8	2	6	0.109375	5	2	3	0.5104166666666666	0.57421875	0.8096590909090909	0.11931818181818182
LGALS9|HAVCR2	LGALS9	HAVCR2	GALECTIN	Secreted Signaling	barrier	tumor_to_cd8	True	0.004354361218907444	0.015701466762908182	8	3	5	0.640625	5	2	3	0.0008563235086229918	0.0442081207599873	8	4	4	0.640625	5	2	3	8.413850845821341e-05	0.00016518680707401314	8	4	4	0.84375	5	2	3	-0.0011685778194287842	0.0015533109845078316	8	5	3	0.84375	5	3	2	0.008961813185727871	0.009873779060548031	8	3	5	0.1953125	5	2	3	0.00458593441477355	0.004539597667208022	8	2	6	0.109375	5	2	3	0.6988636363636364	0.84375	0.84375	0.11931818181818182
LGALS9|PTPRC	LGALS9	PTPRC	GALECTIN	Secreted Signaling	barrier	tumor_to_cd8	True	-0.00038736377389818506	-0.0037827798335640043	8	4	4	0.9453125	5	2	3	-0.021833748477387158	-0.03656758091562298	8	6	2	0.1953125	5	3	2	-0.0003538543847167701	-0.000332490298101901	8	6	2	0.3828125	5	4	1	-0.011934279337447798	-0.009317514729465256	8	6	2	0.25	5	3	2	0.008961813185727871	0.009873779060548031	8	3	5	0.1953125	5	2	3	0.00458593441477355	0.004539597667208035	8	2	6	0.109375	5	2	3	0.9453125	0.390625	0.5104166666666666	0.11931818181818182
MIF|CD74_CD44	MIF	CD74_CD44	MIF	Secreted Signaling	barrier	tumor_to_cd8	True	0.021430882839982075	0.021670548522187576	8	3	5	0.4609375	5	1	4	0.04648543956935615	-0.05752680397114328	8	2	6	0.7421875	5	2	3	0.0014532722491682533	0.0023641336912869912	8	0	8	0.0078125	5	0	5	-0.004738785582081437	-0.007623110553061189	8	5	3	0.1953125	5	3	2	0.12117178935182812	0.1353903822395141	8	0	8	0.0078125	5	0	5	0.05855998851583841	0.062414662799249676	8	0	8	0.0078125	5	0	5	0.553125	0.84375	0.03125	0.046875
MIF|CD74_CXCR4	MIF	CD74_CXCR4	MIF	Secreted Signaling	barrier	tumor_to_cd8	True	0.010287991335901647	0.019809547088502875	8	2	6	0.3828125	5	2	3	0.037189985403985146	0.014124584223641334	8	1	7	0.1953125	5	1	4	0.0015477862526179708	0.0032871658616417244	8	4	4	0.3125	5	2	3	-0.002059576381707965	-0.011053933095812006	8	7	1	0.0546875	5	4	1	0.12117178935182812	0.1353903822395141	8	0	8	0.0078125	5	0	5	0.05855998851583841	0.06241466279924971	8	0	8	0.0078125	5	0	5	0.5104166666666666	0.390625	0.46875	0.046875
PDCD1LG2|PDCD1	PDCD1LG2	PDCD1	PDL2	Cell-Cell Contact	barrier	tumor_to_cd8	True	-0.017174638997907526	-0.019068681982245983	8	6	2	0.1953125	5	4	1	-0.008669519193521304	-0.0015726050001908234	8	4	4	0.84375	5	3	2	-0.0008465701978902019	-0.00046171257645623726	8	5	3	0.3125	5	2	3	-0.02223797008138925	-0.019676309619393578	8	6	2	0.1953125	5	3	2	-0.0013774373398660112	-0.0008822215918022939	8	7	1	0.1953125	5	4	1	-0.00071091680297665	-0.0008373463224862876	8	6	2	0.109375	5	3	2	0.390625	0.84375	0.46875	0.11931818181818182
SPP1|CD44	SPP1	CD44	SPP1	Secreted Signaling	other	tumor_to_cd8	True	0.024686404479096157	0.027654174419713098	8	3	5	0.3125	5	2	3	0.040103814523311174	0.18469756064308124	8	1	7	0.1484375	5	1	4	-0.003784597634946826	-0.0013617202206055133	8	6	2	0.25	5	4	1	-0.02228590766218184	-0.01661032657234183	8	5	3	0.3828125	5	2	3	-0.009954946096761487	-0.03355305717775866	8	7	1	0.0234375	5	4	1	-0.0083916488049087	-0.016909481473079788	8	8	0	0.0078125	5	5	0	0.3125	0.4453125	0.25	0.01171875
TGFB1|TGFBR1_TGFBR2	TGFB1	TGFBR1_TGFBR2	TGFb	Secreted Signaling	barrier	tumor_to_cd8	True	0.013165399274631683	-0.0038204394430828344	8	3	5	0.3828125	5	2	3	0.015035713955270674	-0.038973379852499324	8	3	5	0.84375	5	1	4	-4.049765068686194e-05	-8.565925330951596e-05	8	4	4	0.7421875	5	3	2	0.0005211277246935477	0.0031107411165583066	8	4	4	0.546875	5	3	2	-0.0080868098898323	-0.007374021105714149	8	6	2	0.1484375	5	3	2	-0.0062375743209311	-0.0053297011806263655	8	7	1	0.0390625	5	4	1	0.5104166666666666	0.84375	0.8096590909090909	0.06696428571428571
