sample	patient	fov	n_tumor_hi	n_tumor_lo	n_cd8	mean_nn_cd8_um_hi	mean_nn_cd8_um_lo
Lung5_Rep1	Lung5	26	417	417	132	62.306005213870456	48.27181535346795
Lung5_Rep1	Lung5	27	758	758	90	69.63467530601969	56.84481186687199
Lung5_Rep1	Lung5	28	494	494	150	59.29752761296583	43.48705059824695
Lung5_Rep1	Lung5	29	295	295	69	68.32495160368802	69.66734175584597
Lung5_Rep1	Lung5	30	113	113	385	22.891218034124368	23.35036133174457
Lung5_Rep2	Lung5	1	186	186	129	52.22468529591602	40.89609543358804
Lung5_Rep2	Lung5	2	492	492	238	90.6375388435156	70.75635387011583
Lung5_Rep2	Lung5	3	590	590	135	96.60676090656372	60.31238143701137
Lung5_Rep2	Lung5	4	346	346	390	33.39310059254031	23.58332013868122
Lung5_Rep2	Lung5	5	562	562	228	96.08561845959288	77.18452863143182
Lung5_Rep2	Lung5	7	733	733	158	87.86875924511277	76.41891971338202
Lung5_Rep2	Lung5	8	764	764	116	91.9687624122671	68.76052852784821
Lung5_Rep2	Lung5	9	264	264	326	25.243276112213085	25.923770001794075
Lung5_Rep2	Lung5	10	429	429	186	56.69389369094625	31.79088504091341
Lung5_Rep2	Lung5	11	425	425	342	67.13799327271842	48.75575773780911
Lung5_Rep2	Lung5	12	535	535	238	54.10755406650798	42.69484341408312
Lung5_Rep2	Lung5	13	309	309	283	45.72742178236219	24.73013634289956
Lung5_Rep2	Lung5	14	251	251	251	29.051076355564884	27.877260934719235
Lung5_Rep2	Lung5	15	265	265	298	29.18760895725829	24.33368456791684
Lung5_Rep2	Lung5	16	519	519	355	59.955899625142266	51.53699076187962
Lung5_Rep2	Lung5	17	488	488	187	53.9396928852513	47.22427912611141
Lung5_Rep2	Lung5	18	260	260	298	29.098393683473528	23.44641256089757
Lung5_Rep2	Lung5	19	255	255	216	32.414432494099195	26.673508529516265
Lung5_Rep2	Lung5	20	190	190	312	28.60756473953732	21.45303237308385
Lung5_Rep2	Lung5	21	120	120	205	32.25385109280338	30.96249650529314
Lung5_Rep2	Lung5	22	146	146	187	52.09523026557186	42.54960827582431
Lung5_Rep2	Lung5	23	191	191	215	49.73728417378744	29.679597642484985
Lung5_Rep2	Lung5	24	90	90	164	37.3991124001069	35.77139477280168
Lung5_Rep2	Lung5	25	127	127	263	25.57280419837075	20.92240577600994
Lung5_Rep2	Lung5	26	264	264	211	40.28899620128808	30.37572320105275
Lung5_Rep2	Lung5	27	762	762	96	67.6378645867993	58.652023940158216
Lung5_Rep2	Lung5	28	650	650	215	57.91599639385939	48.645137459100646
Lung5_Rep2	Lung5	29	560	560	164	53.97337023142085	49.46862576963114
Lung5_Rep2	Lung5	30	174	174	352	40.99722319407423	29.587753327689992
Lung5_Rep3	Lung5	1	192	192	56	82.1802386437274	53.83712834428501
Lung5_Rep3	Lung5	2	333	333	125	114.70651991987305	105.2844464560398
Lung5_Rep3	Lung5	3	458	458	60	93.97729737867836	79.60306794108246
Lung5_Rep3	Lung5	4	422	422	147	74.07356827970405	40.20084872781379
Lung5_Rep3	Lung5	5	448	448	70	170.2980038380351	106.08378151405311
Lung5_Rep3	Lung5	6	267	267	140	39.62679391274116	38.23312640795881
Lung5_Rep3	Lung5	7	612	612	82	99.14068957328873	86.69671780797314
Lung5_Rep3	Lung5	8	714	714	41	111.2897342680292	96.10271472136743
Lung5_Rep3	Lung5	9	245	245	164	38.90116906391777	37.44784488963214
Lung5_Rep3	Lung5	10	432	432	105	111.06750196099944	76.4325686507981
Lung5_Rep3	Lung5	11	343	343	183	72.35227564421199	57.1380869663978
Lung5_Rep3	Lung5	12	470	470	43	130.84201940244904	94.46105094671512
Lung5_Rep3	Lung5	13	308	308	51	109.15063523651044	53.29079094859124
Lung5_Rep3	Lung5	14	221	221	106	41.63907026886237	41.25046609872392
Lung5_Rep3	Lung5	15	263	263	118	61.65351948532975	40.49751686121424
Lung5_Rep3	Lung5	16	388	388	162	50.1629383968486	39.29464819116388
Lung5_Rep3	Lung5	17	412	412	154	59.48049237067993	48.008233380002686
Lung5_Rep3	Lung5	18	246	246	25	88.48545552460028	73.13579689302071
Lung5_Rep3	Lung5	19	216	216	140	38.71729580935165	33.797039459710085
Lung5_Rep3	Lung5	20	195	195	227	41.75608806284596	31.394099426170666
Lung5_Rep3	Lung5	21	87	87	150	35.70569591503671	34.54602424400093
Lung5_Rep3	Lung5	22	80	80	150	45.46541713025242	36.19023331681193
Lung5_Rep3	Lung5	23	65	65	152	35.825565229671525	37.22272742428768
Lung5_Rep3	Lung5	24	98	98	124	52.18453277513769	35.15698783167881
Lung5_Rep3	Lung5	25	94	94	176	34.088993489255614	32.2720832018288
Lung5_Rep3	Lung5	26	389	389	160	47.66721226598755	39.81034854443024
Lung5_Rep3	Lung5	27	775	775	72	83.72920992212654	69.15615739007674
Lung5_Rep3	Lung5	28	440	440	163	60.32008140742206	49.60889433476371
Lung5_Rep3	Lung5	29	241	241	86	74.02107855391101	73.81538880302132
Lung5_Rep3	Lung5	30	114	114	304	25.05448378566445	26.21083100275952
Lung6	Lung6	3	1009	1009	8	172.56027496613785	155.71519990659465
Lung6	Lung6	4	951	951	11	210.62685309009	157.93862588709703
Lung6	Lung6	5	902	902	23	158.8701760708526	168.2370359914395
Lung6	Lung6	6	1037	1037	6	244.2262180921444	301.21429834446343
Lung6	Lung6	7	1070	1070	6	169.5362127076507	220.05685049641687
Lung6	Lung6	8	953	953	7	176.97993946351136	189.18911255368783
Lung6	Lung6	9	876	876	10	230.95312942753336	228.913547316386
Lung6	Lung6	10	379	379	8	158.4490898955318	209.5830576467536
Lung6	Lung6	12	1006	1006	5	230.97267286905975	225.51359340193136
Lung6	Lung6	13	624	624	22	182.70657385875884	144.00312304229075
Lung6	Lung6	14	402	402	72	64.88094443997964	55.78842126843879
Lung6	Lung6	15	122	122	64	46.74133528750432	47.906763421844985
Lung6	Lung6	16	691	691	15	168.3922569347512	154.91808397392495
Lung6	Lung6	18	1008	1008	13	285.4042559064766	326.1647955861217
Lung6	Lung6	19	691	691	27	115.016171173881	105.94368341320008
Lung6	Lung6	20	382	382	30	107.18129989391988	136.5759018945891
Lung6	Lung6	21	776	776	8	249.5767625594005	240.56155645005356
Lung6	Lung6	24	1110	1110	9	375.2791103828402	454.0445629971287
Lung6	Lung6	25	409	409	47	80.61038876760009	84.61504059826784
Lung6	Lung6	26	751	751	19	163.03540733773653	145.22040114146054
Lung6	Lung6	27	979	979	6	263.9133821273828	222.5237920171717
Lung6	Lung6	28	950	950	8	241.84716010217107	291.2053965700318
Lung6	Lung6	30	502	502	27	128.46656379630377	123.95908141171368
Lung9_Rep1	Lung9	1	695	695	113	59.63058124023652	43.78572727289845
Lung9_Rep1	Lung9	2	685	685	93	54.65347114301646	46.05815332382601
Lung9_Rep1	Lung9	3	407	407	125	39.649471341839046	39.8748677156198
Lung9_Rep1	Lung9	4	497	497	94	52.664341589530174	48.96568033838622
Lung9_Rep1	Lung9	5	763	763	42	69.55917571763563	67.42777572119584
Lung9_Rep1	Lung9	6	588	588	63	63.01491166957258	60.44731174743054
Lung9_Rep1	Lung9	7	623	623	134	58.03204405239962	38.83415841786416
Lung9_Rep1	Lung9	8	641	641	54	60.19651390343768	65.15228608059319
Lung9_Rep1	Lung9	9	742	742	37	74.42446712575077	73.02421842093774
Lung9_Rep1	Lung9	10	552	552	96	48.36556721058394	49.92733431855122
Lung9_Rep1	Lung9	11	480	480	56	60.26372290821126	53.44506291067955
Lung9_Rep1	Lung9	12	553	553	49	67.44907691468691	72.79319025357233
Lung9_Rep1	Lung9	13	727	727	109	54.24457726599219	52.73951138487365
Lung9_Rep1	Lung9	14	703	703	77	67.74439610207679	69.16746644915415
Lung9_Rep1	Lung9	15	772	772	70	60.82555776184185	65.98929489689935
Lung9_Rep1	Lung9	16	608	608	57	67.58554019500203	67.4167290677455
Lung9_Rep1	Lung9	17	857	857	49	73.21897774526848	76.60350269875862
Lung9_Rep1	Lung9	18	969	969	37	79.36286575149796	72.98527565134734
Lung9_Rep1	Lung9	19	911	911	54	76.33603794004718	63.67361890189019
Lung9_Rep1	Lung9	20	1033	1033	31	105.74805922932164	108.07190912071572
Lung9_Rep2	Lung9	1	661	661	28	89.72437725241974	95.00539319159626
Lung9_Rep2	Lung9	2	771	771	29	94.42444348499032	87.81788769235608
Lung9_Rep2	Lung9	3	804	804	53	85.45427415151775	74.5946148911324
Lung9_Rep2	Lung9	4	807	807	11	160.02151937307067	135.4371110723365
Lung9_Rep2	Lung9	5	968	968	19	100.95177531260286	98.77373276378908
Lung9_Rep2	Lung9	6	509	509	15	119.63828614735546	107.5120233554427
Lung9_Rep2	Lung9	7	661	661	16	173.04276146661584	183.7434488745781
Lung9_Rep2	Lung9	8	778	778	42	91.46665934285356	91.58424925446803
Lung9_Rep2	Lung9	9	1122	1122	14	155.34096248422574	138.28875573799064
Lung9_Rep2	Lung9	10	896	896	15	132.46385161220715	124.91208584502374
Lung9_Rep2	Lung9	11	768	768	14	132.19478002847583	136.83291065829584
Lung9_Rep2	Lung9	12	581	581	27	128.47779593139245	99.53237344897654
Lung9_Rep2	Lung9	13	804	804	17	105.51781756799186	105.70365087886208
Lung9_Rep2	Lung9	14	1007	1007	22	98.30787538844896	95.99809870409412
Lung9_Rep2	Lung9	15	920	920	16	125.07004143423698	129.478862376879
Lung9_Rep2	Lung9	16	643	643	17	118.88224105303966	101.5993429493065
Lung9_Rep2	Lung9	17	777	777	35	69.9692304672998	69.34216975114128
Lung9_Rep2	Lung9	18	720	720	22	107.7723785355782	112.09173885576124
Lung9_Rep2	Lung9	19	879	879	34	107.08604790130909	111.25568909860138
Lung9_Rep2	Lung9	20	1123	1123	23	101.48305220515574	90.10045525055644
Lung9_Rep2	Lung9	21	488	488	18	98.57983517898217	101.0595146305766
Lung9_Rep2	Lung9	22	836	836	31	86.30481456893747	81.20600865749789
Lung9_Rep2	Lung9	23	443	443	17	107.96368700343642	94.77074203975836
Lung9_Rep2	Lung9	24	573	573	10	145.64811787216175	138.35377799221655
Lung9_Rep2	Lung9	25	773	773	22	110.61247729114064	95.85294896785996
Lung9_Rep2	Lung9	26	343	343	27	81.60057920098532	104.50199300585956
Lung9_Rep2	Lung9	27	637	637	25	85.67077795170373	83.4113185752177
Lung9_Rep2	Lung9	28	647	647	21	84.63026579225158	82.47581611444922
Lung9_Rep2	Lung9	29	578	578	25	92.36469978368146	96.61880098254647
Lung9_Rep2	Lung9	30	498	498	34	82.73691295485679	81.92713599421616
Lung9_Rep2	Lung9	31	412	412	18	93.33085336413752	99.5736124411974
Lung9_Rep2	Lung9	32	656	656	36	73.25351035358402	67.90622829595806
Lung9_Rep2	Lung9	33	553	553	32	69.94394492195565	95.09363208043504
Lung9_Rep2	Lung9	34	659	659	31	76.10376988391813	69.77903454696363
Lung9_Rep2	Lung9	35	602	602	46	76.58506569553359	74.02924507086514
Lung9_Rep2	Lung9	36	334	334	29	86.63954702842545	91.0626195477035
Lung9_Rep2	Lung9	37	440	440	36	63.93265142373375	76.62954241504393
Lung9_Rep2	Lung9	38	456	456	44	62.42763073455115	65.28565263869352
Lung9_Rep2	Lung9	39	702	702	24	80.72811914958295	80.10829655698967
Lung9_Rep2	Lung9	40	730	730	27	87.64082724469515	90.96765373271792
Lung9_Rep2	Lung9	41	476	476	45	55.86545317002772	56.190558136819966
Lung9_Rep2	Lung9	42	442	442	39	58.54576008573884	66.78179730271738
Lung9_Rep2	Lung9	43	319	319	30	64.67192550272169	73.62282566629601
Lung9_Rep2	Lung9	44	537	537	27	79.28325187237598	73.30640254601443
Lung9_Rep2	Lung9	45	606	606	12	117.43467432628356	99.74631776673904
Lung12	Lung12	1	603	603	91	58.946180997836485	48.72118126943355
Lung12	Lung12	2	504	504	148	42.043424864784285	39.54741511289329
Lung12	Lung12	3	378	378	127	65.84268738630216	46.49084114673871
Lung12	Lung12	4	462	462	85	79.62493616847713	59.07895096788484
Lung12	Lung12	5	362	362	19	96.5683652124704	97.87398661224498
Lung12	Lung12	6	376	376	128	52.54178875670165	47.1105248546098
Lung12	Lung12	7	316	316	165	55.68116854224304	32.49882571491197
Lung12	Lung12	8	343	343	126	67.61259828514504	54.74957061016535
Lung12	Lung12	9	404	404	47	70.65327833862607	57.32977700404454
Lung12	Lung12	10	246	246	96	45.624759136212006	51.90288050272048
Lung12	Lung12	11	172	172	205	37.89473708291703	34.211277297163484
Lung12	Lung12	12	161	161	269	31.85127735245385	27.37645101115188
Lung12	Lung12	13	361	361	51	61.84979708737595	67.91455308358091
Lung12	Lung12	14	240	240	50	75.64279966365267	59.60114388748731
Lung12	Lung12	15	146	146	73	80.72525950786793	70.04528839561969
Lung12	Lung12	16	66	66	84	45.80422896071294	39.17569648223007
Lung12	Lung12	17	313	313	104	46.21863888190077	39.23312097395407
Lung12	Lung12	18	228	228	119	42.26218878057298	38.36756147367683
Lung12	Lung12	19	327	327	114	59.43212106331477	42.94408587433546
Lung12	Lung12	20	109	109	131	42.66510415390957	39.33864410428252
Lung12	Lung12	21	364	364	107	47.482361215924	45.61474683181946
Lung12	Lung12	22	294	294	116	46.57100767010572	36.35966711440604
Lung12	Lung12	23	228	228	297	37.38407046953228	26.608096843908147
Lung12	Lung12	24	181	181	258	50.15587601770475	36.05351447967825
Lung12	Lung12	25	321	321	144	40.97714948050012	34.67884435075996
Lung12	Lung12	26	340	340	185	36.99154278178523	35.01735533414018
Lung12	Lung12	27	277	277	277	45.07738260929772	34.732988600716155
Lung12	Lung12	28	373	373	189	41.939149488196776	31.990109746110925
Lung13	Lung13	1	374	374	144	48.35449061741426	49.72772709587243
Lung13	Lung13	2	526	526	167	55.44106921555469	51.09166153934552
Lung13	Lung13	3	336	336	81	58.57742001742241	54.65410767167385
Lung13	Lung13	4	407	407	30	88.30663474075588	135.25088609021404
Lung13	Lung13	5	427	427	193	45.57842473458859	47.90147864500678
Lung13	Lung13	6	616	616	80	76.40576850768733	67.89651525541149
Lung13	Lung13	7	247	247	57	77.13687181355922	64.18327084110838
Lung13	Lung13	8	279	279	154	46.61482844388149	48.98799158998373
Lung13	Lung13	9	551	551	125	46.660536861546014	41.650710551761215
Lung13	Lung13	10	728	728	161	54.06704007786374	47.36593659311748
Lung13	Lung13	11	435	435	134	45.10122307792181	46.89831711929782
Lung13	Lung13	12	274	274	98	46.13940644532176	46.66169859278688
Lung13	Lung13	13	343	343	212	40.424229565216855	44.42471262310719
Lung13	Lung13	14	509	509	204	56.05394601645354	50.37834692031602
Lung13	Lung13	15	556	556	187	54.59054476847636	52.7837932546821
Lung13	Lung13	16	433	433	120	53.43685987851927	51.73598233465712
Lung13	Lung13	17	458	458	155	40.56064615571156	38.5833878335308
Lung13	Lung13	18	396	396	181	41.87013681222818	40.47933686469109
Lung13	Lung13	19	593	593	103	53.85174648942697	54.06629476886337
Lung13	Lung13	20	405	405	120	47.789907535534	49.037680753677016
