tf	target	resource	confidence	effect	reference	program	note
IRF9	IFIT3	DoRothEA	A	Activation	CollecTRI2:19351818;TRRUST:20403236;CollecTRI:20403236;CollecTRI2:21056555;CollecTRI2:20403236;CollecTRI:19351818;CollecTRI:20137113;CollecTRI:21056555;CollecTRI2:20137113;TRRUST:19351818;CollecTRI2:34418997	IFN	DoRothEA via OmniPath; not a lung ChIP peak
IRF9	IL27	DoRothEA	A	Activation	CollecTRI2:20083668;CollecTRI:20083668;DoRothEA:20083668;TRRUST:20083668	IFN	DoRothEA via OmniPath; not a lung ChIP peak
IRF9	IRF7	DoRothEA	A	Activation	CollecTRI2:12768031;CollecTRI2:20562259;CollecTRI:12768031;CollecTRI2:28878077;CollecTRI2:30574148;DoRothEA:10924517;CollecTRI2:15664995;CollecTRI2:9877175;CollecTRI2:28219373;CollecTRI2:11877397	IFN	DoRothEA via OmniPath; not a lung ChIP peak
IRF9	ISG15	DoRothEA	B	Activation	CollecTRI2:26216956;CollecTRI2:11355893	IFN	DoRothEA via OmniPath; not a lung ChIP peak
IRF9	KSR1	DoRothEA	B	Unknown	nan	IFN	DoRothEA via OmniPath; not a lung ChIP peak
IRF9	MX1	DoRothEA	B	Activation	CollecTRI2:9428735	IFN	DoRothEA via OmniPath; not a lung ChIP peak
IRF9	OAS2	DoRothEA	B	Activation	CollecTRI2:18606657	IFN	DoRothEA via OmniPath; not a lung ChIP peak
IRF9	OAS3	DoRothEA	B	Unknown	nan	IFN	DoRothEA via OmniPath; not a lung ChIP peak
IRF9	PML	DoRothEA	A	Activation	CollecTRI:8681971;DoRothEA:8681971;CollecTRI2:8681971;TRRUST:8681971	IFN	DoRothEA via OmniPath; not a lung ChIP peak
IRF9	RSAD2	DoRothEA	B	Activation	CollecTRI2:16849320;CollecTRI2:18606657	IFN	DoRothEA via OmniPath; not a lung ChIP peak
IRF9	SAMD9L	DoRothEA	B	Unknown	nan	IFN	DoRothEA via OmniPath; not a lung ChIP peak
IRF9	CCND2	TRRUST_v2		Repression	15362048	IFN	curated literature TF-target; not a ChIP peak
IRF9	CDKN1A	TRRUST_v2		Activation	15362048	IFN	curated literature TF-target; not a ChIP peak
IRF9	CDKN1B	TRRUST_v2		Activation	15362048	IFN	curated literature TF-target; not a ChIP peak
IRF9	IFIT3	TRRUST_v2		Unknown	19351818;20403236	IFN	curated literature TF-target; not a ChIP peak
IRF9	IL27	TRRUST_v2		Repression	20083668	IFN	curated literature TF-target; not a ChIP peak
IRF9	NCAM1	TRRUST_v2		Activation	17431130	IFN	curated literature TF-target; not a ChIP peak
IRF9	PML	TRRUST_v2		Activation	8681971	IFN	curated literature TF-target; not a ChIP peak
IRF9	SP100	TRRUST_v2		Activation	8681971	IFN	curated literature TF-target; not a ChIP peak
STAT1	A2M	CollecTRI		Activation	CollecTRI2:9854025;CollecTRI2:10490649;CollecTRI:9722518	IFN	CollecTRI via OmniPath; not a lung ChIP peak
STAT1	ABCA1	CollecTRI		Activation	CollecTRI2:18789440;CollecTRI:12006410;CollecTRI2:23686490;CollecTRI2:12006410;CollecTRI2:34233703;PAZAR:17558387	IFN	CollecTRI via OmniPath; not a lung ChIP peak
STAT1	ABCB1	CollecTRI		Activation	CollecTRI:20053773;CollecTRI2:28179302;CollecTRI2:30972167;CollecTRI2:25395162	IFN	CollecTRI via OmniPath; not a lung ChIP peak
STAT1	ABCC8	CollecTRI		Activation	CollecTRI:11438703;CollecTRI:17158780	IFN	CollecTRI via OmniPath; not a lung ChIP peak
STAT1	ABL1	CollecTRI		Activation	CollecTRI:21935931	IFN	CollecTRI via OmniPath; not a lung ChIP peak
STAT1	ACAT1	CollecTRI		Activation	CollecTRI:11399774;DoRothEA:18000807;TRRUST:18000807;CollecTRI:18000807;CollecTRI2:11399774;CollecTRI2:18000807	IFN	CollecTRI via OmniPath; not a lung ChIP peak
STAT1	ACSL1	CollecTRI		Activation	CollecTRI:23426369;CollecTRI2:23426369	IFN	CollecTRI via OmniPath; not a lung ChIP peak
STAT1	ADAMTS4	CollecTRI		Activation	CollecTRI:17208315;CollecTRI2:17208315	IFN	CollecTRI via OmniPath; not a lung ChIP peak
STAT1	ADAR	CollecTRI		Activation	PAZAR:10095120;CollecTRI2:10095120;CollecTRI:10095120;CollecTRI2:26335850	IFN	CollecTRI via OmniPath; not a lung ChIP peak
STAT1	AGT	CollecTRI		Activation	CollecTRI2:22302831;CollecTRI:16949687;CollecTRI2:16949687	IFN	CollecTRI via OmniPath; not a lung ChIP peak
STAT1	AIM2	CollecTRI		Activation	CollecTRI2:17558387;CollecTRI:19122651;CollecTRI:22951020;CollecTRI2:31914678;CollecTRI:17558387;CollecTRI2:21943709;CollecTRI2:22951020;DoRothEA:22951020;CollecTRI2:19122651;ORegAnno:22951020;PAZAR:17558387	IFN	CollecTRI via OmniPath; not a lung ChIP peak
STAT1	AKT1	CollecTRI		Activation	CollecTRI2:32642677;CollecTRI2:26673664;CollecTRI:24218138;CollecTRI2:19889125;CollecTRI2:28322462;CollecTRI2:12439288;CollecTRI2:27406916;CollecTRI2:30286793	IFN	CollecTRI via OmniPath; not a lung ChIP peak
STAT1	APOC2	CollecTRI		Activation	CollecTRI2:22808166;CollecTRI:22808166	IFN	CollecTRI via OmniPath; not a lung ChIP peak
STAT1	APP	CollecTRI		Activation	CollecTRI:19508864;CollecTRI2:9841227;TRRUST:9841227;DoRothEA:9841227;CollecTRI:9841227;CollecTRI2:30382187;CollecTRI2:19508864	IFN	CollecTRI via OmniPath; not a lung ChIP peak
STAT1	ATG4C	CollecTRI		Activation	DoRothEA:22951020;CollecTRI2:22951020;ORegAnno:22951020;CollecTRI:22951020	IFN	CollecTRI via OmniPath; not a lung ChIP peak
STAT1	BACE1	CollecTRI		Activation	CollecTRI:19508864;CollecTRI2:36427805;CollecTRI:17091494;CollecTRI2:30382187;CollecTRI2:19508864;CollecTRI2:31063584;CollecTRI2:17091494	IFN	CollecTRI via OmniPath; not a lung ChIP peak
STAT1	BAX	CollecTRI		Activation	CollecTRI2:17346710;CollecTRI:17346710;CollecTRI:20567883;CollecTRI2:29859868;CollecTRI2:14602726;CollecTRI2:19528263;DoRothEA:17346710;TRRUST:17346710;CollecTRI2:23703473;CollecTRI2:30779746;CollecTRI2:17548649;CollecTRI2:35367814;CollecTRI2:19801665;CollecTRI2:30584667;CollecTRI:19801665;CollecTRI	IFN	CollecTRI via OmniPath; not a lung ChIP peak
STAT1	BCL2L14	CollecTRI		Activation	CollecTRI:16987558;CollecTRI2:16987558	IFN	CollecTRI via OmniPath; not a lung ChIP peak
STAT1	BCL6	CollecTRI		Activation	CollecTRI2:29853448;CollecTRI:19122651;CollecTRI2:15596057;CollecTRI2:28368400;CollecTRI:15596057;CollecTRI2:35503721;DoRothEA:15596057;CollecTRI2:24489092;CollecTRI2:35713502;CollecTRI2:35191465;CollecTRI2:32411135;CollecTRI2:19122651;CollecTRI2:23447690;CollecTRI2:29510136	IFN	CollecTRI via OmniPath; not a lung ChIP peak
STAT1	BCR	CollecTRI		Activation	CollecTRI2:20200400;CollecTRI:20200400	IFN	CollecTRI via OmniPath; not a lung ChIP peak
STAT1	BIRC2	CollecTRI		Activation	CollecTRI:20098684	IFN	CollecTRI via OmniPath; not a lung ChIP peak
STAT1	BRD8	CollecTRI		Activation	DoRothEA:22951020;CollecTRI2:22951020;ORegAnno:22951020;CollecTRI:22951020	IFN	CollecTRI via OmniPath; not a lung ChIP peak
STAT1	BST2	CollecTRI		Activation	CollecTRI:19122651;CollecTRI2:19122651;CollecTRI2:31957537;CollecTRI2:36929425;CollecTRI2:26311886	IFN	CollecTRI via OmniPath; not a lung ChIP peak
STAT1	C1QB	CollecTRI		Activation	CollecTRI:21862594;CollecTRI2:21862594	IFN	CollecTRI via OmniPath; not a lung ChIP peak
STAT1	CASP2	CollecTRI		Activation	CollecTRI2:11287556;CollecTRI:11287556;CollecTRI:9374464;CollecTRI2:9374464	IFN	CollecTRI via OmniPath; not a lung ChIP peak
STAT1	CASP3	CollecTRI		Activation	CollecTRI2:28601953;CollecTRI2:11287556;CollecTRI:9374464;CollecTRI2:22450807;CollecTRI2:19528263;CollecTRI2:23703473;CollecTRI2:24554068;CollecTRI:11287556;CollecTRI2:9374464	IFN	CollecTRI via OmniPath; not a lung ChIP peak
STAT1	CASP4	CollecTRI		Activation	CollecTRI2:21530491;CollecTRI:12198138;CollecTRI2:12198138;CollecTRI:21530491	IFN	CollecTRI via OmniPath; not a lung ChIP peak
STAT1	CASP8	CollecTRI		Activation	CollecTRI2:16886176;CollecTRI2:17565448;CollecTRI2:11948413;CollecTRI2:27987139;CollecTRI:17565448	IFN	CollecTRI via OmniPath; not a lung ChIP peak
STAT1	CCL1	CollecTRI		Activation	CollecTRI2:18981157;CollecTRI:18981157	IFN	CollecTRI via OmniPath; not a lung ChIP peak
STAT1	CCL11	CollecTRI		Repression	CollecTRI:14733929;CollecTRI2:14733929;CollecTRI2:11884466	IFN	CollecTRI via OmniPath; not a lung ChIP peak
STAT1	CCL19	CollecTRI		Activation	CollecTRI2:29061766;CollecTRI2:17182562;CollecTRI:17182562	IFN	CollecTRI via OmniPath; not a lung ChIP peak
STAT1	CCL2	CollecTRI		Activation	CollecTRI:12488502;CollecTRI2:12388243;CollecTRI2:17255531;CollecTRI2:37237244;CollecTRI2:26003840;CollecTRI2:16046307;CollecTRI2:23542035;TRRUST:12388243;CollecTRI2:34724561;CollecTRI2:24760883;CollecTRI2:25847994;CollecTRI2:24451065;CollecTRI2:22558273;CollecTRI2:28391993;CollecTRI2:17167270;Colle	IFN	CollecTRI via OmniPath; not a lung ChIP peak
STAT1	CCL3	CollecTRI		Activation	CollecTRI2:16628196;CollecTRI:16628196;TRRUST:16628196;CollecTRI2:36630565;CollecTRI2:26003840;CollecTRI2:27258786;CollecTRI2:23431040;DoRothEA:16628196	IFN	CollecTRI via OmniPath; not a lung ChIP peak
STAT1	CCL5	CollecTRI		Activation	CollecTRI2:35418466;CollecTRI2:28989066;CollecTRI2:18240103;CollecTRI:11821046;CollecTRI:27109100;CollecTRI2:19380831;CollecTRI2:27109100;CollecTRI2:20067109;CollecTRI2:32494661;CollecTRI2:11821046;CollecTRI2:22427642;DoRothEA:11821046;CollecTRI2:33333124;CollecTRI2:28774718;CollecTRI2:27258786;Coll	IFN	CollecTRI via OmniPath; not a lung ChIP peak
STAT1	CCL8	CollecTRI		Activation	CollecTRI2:10415057;CollecTRI2:28391993;CollecTRI2:12421970;CollecTRI:18981157;CollecTRI2:18981157	IFN	CollecTRI via OmniPath; not a lung ChIP peak
STAT1	CCN2	CollecTRI		Repression	CollecTRI2:17116388;CollecTRI:17116388;CollecTRI2:22814105;CollecTRI2:22180355;CollecTRI2:21816755	IFN	CollecTRI via OmniPath; not a lung ChIP peak
STAT1	CCND1	CollecTRI		Activation	CollecTRI2:21084836;CollecTRI2:26617467;CollecTRI2:35022996;CollecTRI2:25438156;CollecTRI2:29079187;CollecTRI:21084836;CollecTRI2:12963127;CollecTRI2:37456256;CollecTRI2:17981761;CollecTRI2:27499259;CollecTRI2:23123471;CollecTRI2:23950841	IFN	CollecTRI via OmniPath; not a lung ChIP peak
STAT1	CCR1	CollecTRI		Activation	TRRUST:16628196;CollecTRI:16628196;DoRothEA:16628196;CollecTRI2:16628196	IFN	CollecTRI via OmniPath; not a lung ChIP peak
STAT1	CD14	CollecTRI		Activation	CollecTRI2:15944287;CollecTRI2:27191968;CollecTRI:15944287	IFN	CollecTRI via OmniPath; not a lung ChIP peak
STAT1	CD200	CollecTRI		Activation	CollecTRI:19386363;CollecTRI2:19386363	IFN	CollecTRI via OmniPath; not a lung ChIP peak
