gene	n_patients_measured	n_detected	frac
AC018647.3	10	0	0.0
AC018685.1	19	0	0.0
AC018737.3	10	0	0.0
AC018755.17	10	0	0.0
AC018799.1	10	0	0.0
AC018902.1	10	0	0.0
AC019118.4	10	0	0.0
AC019172.2	10	0	0.0
AC019186.1	19	0	0.0
AC019206.1	10	0	0.0
AC019330.1	19	0	0.0
AC020595.1	19	0	0.0
AC020956.3	10	0	0.0
AC021106.1	10	0	0.0
AC021218.2	10	0	0.0
AC021224.1	19	0	0.0
AC022007.5	10	0	0.0
AC022182.1	19	0	0.0
AC022182.3	10	0	0.0
AC022486.1	19	0	0.0
AC022816.2	10	0	0.0
AC023115.2	10	0	0.0
AC023137.2	10	0	0.0
AC023481.1	19	0	0.0
AC024028.1	19	0	0.0
AC024084.1	19	0	0.0
AC024560.2	10	0	0.0
AC024704.2	10	0	0.0
AC025335.1	10	0	0.0
AC026150.8	10	0	0.0
AC026167.1	19	0	0.0
AC026449.1	10	0	0.0
AC027119.1	10	0	0.0
AC034187.2	10	0	0.0
AC060834.3	10	0	0.0
AC061992.2	10	0	0.0
AC062020.1	19	0	0.0
AC062028.1	19	0	0.0
AC064834.1	19	0	0.0
AC064834.2	10	0	0.0
AC064834.3	10	0	0.0
AC064865.1	10	0	0.0
AC067956.1	19	0	0.0
AC067959.1	10	0	0.0
AC067968.3	10	0	0.0
AC068196.1	19	0	0.0
AC068282.3	10	0	0.0
AC068490.2	10	0	0.0
AC068492.1	19	0	0.0
AC068535.3	10	0	0.0
AC068538.4	10	0	0.0
AC068831.16	10	0	0.0
AC069063.1	10	0	0.0
AC069063.2	10	0	0.0
AC069277.2	10	0	0.0
AC069513.4	10	0	0.0
AC073046.25	10	0	0.0
AC073115.6	10	0	0.0
AC073115.7	10	0	0.0
AC073130.2	19	0	0.0
AC073133.1	19	0	0.0
AC073133.2	19	0	0.0
AC073257.2	19	0	0.0
AC073283.4	10	0	0.0
AC073284.4	10	0	0.0
AC073316.2	19	0	0.0
AC073321.4	10	0	0.0
AC073657.1	19	0	0.0
AC073987.1	19	0	0.0
AC074033.1	19	0	0.0
AC074183.4	10	0	0.0
AC078941.1	10	0	0.0
AC079150.3	10	0	0.0
AC079586.1	10	0	0.0
AC079610.2	19	0	0.0
AC079630.2	10	0	0.0
AC079767.4	10	0	0.0
AC079776.1	10	0	0.0
AC079779.6	10	0	0.0
AC079907.1	19	0	0.0
AC079922.3	10	0	0.0
AC079988.3	10	0	0.0
AC083843.1	19	0	0.0
AC083843.2	19	0	0.0
AC084082.3	10	0	0.0
AC084149.2	19	0	0.0
AC084809.3	10	0	0.0
AC087350.1	10	0	0.0
AC087491.2	10	0	0.0
AC090154.1	10	0	0.0
AC090498.1	10	10	1.0
AC090505.4	10	0	0.0
AC090505.6	10	0	0.0
AC091814.2	10	0	0.0
AC091814.3	10	0	0.0
AC092162.1	10	0	0.0
AC092171.4	19	0	0.0
AC092192.1	19	0	0.0
AC092198.1	19	0	0.0
AC092415.1	10	0	0.0
AC092484.1	19	0	0.0
AC092580.3	10	0	0.0
AC092580.4	10	7	0.7
AC092614.2	10	0	0.0
AC092620.3	19	0	0.0
AC092635.1	10	0	0.0
AC092669.3	10	0	0.0
AC092835.2	10	0	0.0
AC092881.1	10	0	0.0
AC093063.3	10	0	0.0
AC093159.1	19	0	0.0
AC093323.3	10	0	0.0
AC093326.3	10	0	0.0
AC093375.1	10	0	0.0
AC093382.1	19	0	0.0
AC093609.1	10	0	0.0
AC093627.10	10	0	0.0
AC093627.7	19	0	0.0
AC093627.8	10	0	0.0
AC093627.9	10	0	0.0
AC093642.3	10	0	0.0
AC093642.4	10	0	0.0
AC093702.1	19	0	0.0
AC093802.1	19	0	0.0
AC093901.1	19	0	0.0
AC093911.1	19	0	0.0
AC096574.5	10	0	0.0
AC096669.2	10	0	0.0
AC096669.3	10	0	0.0
AC097381.1	19	0	0.0
AC097499.1	10	0	0.0
AC097713.4	10	0	0.0
AC097721.2	10	0	0.0
AC098823.3	10	0	0.0
AC098973.1	10	0	0.0
AC098973.2	10	0	0.0
AC099342.1	19	0	0.0
AC099552.4	10	0	0.0
AC099754.1	19	0	0.0
AC100821.1	10	0	0.0
AC102948.2	10	0	0.0
AC104024.1	19	0	0.0
AC104024.2	19	0	0.0
AC104088.1	19	0	0.0
AC104135.2	10	0	0.0
AC104653.1	19	0	0.0
AC104654.1	10	0	0.0
AC104654.2	10	0	0.0
AC104655.3	10	0	0.0
AC104777.2	19	0	0.0
AC104820.2	10	0	0.0
AC105052.1	19	0	0.0
AC106053.1	19	0	0.0
AC106900.6	10	0	0.0
AC107057.1	19	0	0.0
AC107079.1	19	0	0.0
AC107081.1	10	0	0.0
AC108004.2	10	0	0.0
AC108051.3	10	0	0.0
AC108463.1	10	0	0.0
AC108488.4	10	0	0.0
AC108868.5	10	0	0.0
AC108868.6	10	0	0.0
AC108938.5	10	0	0.0
AC109642.1	10	0	0.0
AC109826.1	19	0	0.0
AC109829.1	10	0	0.0
AC109829.2	10	0	0.0
AC110602.1	10	0	0.0
AC110615.1	19	0	0.0
AC110769.3	10	0	0.0
AC112518.3	10	0	0.0
AC112715.2	10	0	0.0
AC112721.1	19	0	0.0
AC112721.2	19	0	0.0
AC113404.1	19	0	0.0
AC113617.1	10	0	0.0
AC114730.2	19	0	0.0
AC114765.2	10	0	0.0
AC115522.3	10	0	0.0
AC116035.1	19	0	0.0
AC116609.1	19	0	0.0
AC116609.3	19	0	0.0
AC122136.2	10	0	0.0
AC123023.1	19	0	0.0
AC124944.5	10	0	0.0
AC125421.1	19	0	0.0
AC128709.3	19	0	0.0
AC128709.4	10	0	0.0
AC129492.1	19	0	0.0
AC131097.4	19	0	0.0
AC131263.1	10	0	0.0
AC133644.2	19	3	0.15789473684210525
AC133680.1	10	0	0.0
AC137934.1	10	0	0.0
AC138035.2	19	0	0.0
AC138517.6	10	0	0.0
AC138645.2	10	0	0.0
AC138969.4	10	0	0.0
AC139099.4	10	0	0.0
AC139099.5	10	0	0.0
AC139099.6	10	0	0.0
AC139712.4	10	0	0.0
AC140542.2	10	0	0.0
AC140912.1	19	0	0.0
AC141928.1	19	0	0.0
AC142472.6	10	0	0.0
AC144450.2	10	0	0.0
AC144525.1	10	0	0.0
AC144652.1	19	0	0.0
AC144831.1	19	0	0.0
AC144831.3	10	0	0.0
AC144836.1	19	0	0.0
AC145110.1	10	0	0.0
AC145343.2	10	0	0.0
AC159540.1	19	1	0.05263157894736842
AC159540.2	19	0	0.0
AC195454.1	10	0	0.0
AC226118.1	19	0	0.0
AC234582.1	19	0	0.0
AC241377.1	10	0	0.0
AC241585.1	10	0	0.0
AC243945.1	10	0	0.0
AC245100.1	19	0	0.0
ACAA1	59	48	0.8135593220338984
ACAA2	59	41	0.6949152542372882
ACACA	59	1	0.01694915254237288
ACACB	59	0	0.0
ACAD10	59	0	0.0
ACAD11	59	0	0.0
ACAD8	59	1	0.01694915254237288
ACAD9	59	2	0.03389830508474576
ACADL	59	0	0.0
ACADM	59	25	0.423728813559322
ACADS	59	3	0.05084745762711865
ACADSB	59	3	0.05084745762711865
ACADVL	59	53	0.8983050847457628
ACAN	59	0	0.0
ACAP1	59	57	0.9661016949152542
ACAP2	59	40	0.6779661016949152
ACAP3	59	1	0.01694915254237288
ACAT1	59	20	0.3389830508474576
ACAT2	59	25	0.423728813559322
ACBD3	59	26	0.4406779661016949
ACBD4	59	0	0.0
ACBD5	59	10	0.1694915254237288
ACBD6	59	22	0.3728813559322034
ACBD7	59	1	0.01694915254237288
ACCS	59	0	0.0
ACCSL	40	0	0.0
ACD	59	13	0.22033898305084745
ACE	59	0	0.0
ACE2	59	0	0.0
ACER1	59	0	0.0
ACER2	59	0	0.0
ACER3	59	6	0.1016949152542373
ACHE	59	0	0.0
ACIN1	59	34	0.576271186440678
ACKR1	59	0	0.0
ACKR2	59	0	0.0
ACKR3	59	0	0.0
ACKR4	59	0	0.0
ACLY	59	19	0.3220338983050847
ACMSD	59	0	0.0
ACO1	59	2	0.03389830508474576
ACO2	59	29	0.4915254237288136
ACOD1	40	0	0.0
ACOT1	59	0	0.0
ACOT11	59	0	0.0
ACOT13	59	11	0.1864406779661017
ACOT2	59	5	0.0847457627118644
ACOT4	59	0	0.0
ACOT7	59	8	0.13559322033898305
ACOT8	59	8	0.13559322033898305
ACOT9	59	15	0.2542372881355932
ACOX1	59	3	0.05084745762711865
ACOX2	59	0	0.0
ACOX3	59	1	0.01694915254237288
ACOXL	59	0	0.0
ACP1	59	57	0.9661016949152542
ACP2	59	0	0.0
ACP5	59	39	0.6610169491525424
ACP6	59	1	0.01694915254237288
ACP7	59	0	0.0
ACPP	19	0	0.0
ACR	59	0	0.0
ACRBP	59	0	0.0
ACRC	10	0	0.0
ACRV1	59	0	0.0
ACSBG1	59	0	0.0
ACSBG2	59	0	0.0
ACSF2	59	0	0.0
ACSF3	59	10	0.1694915254237288
ACSL1	59	12	0.2033898305084746
ACSL3	59	28	0.4745762711864407
ACSL4	59	19	0.3220338983050847
ACSL5	59	16	0.2711864406779661
ACSL6	59	1	0.01694915254237288
ACSM1	59	0	0.0
ACSM2A	59	0	0.0
ACSM2B	59	0	0.0
ACSM3	59	0	0.0
ACSM4	59	0	0.0
ACSM5	59	0	0.0
ACSM6	59	0	0.0
ACSS1	59	10	0.1694915254237288
ACSS2	59	1	0.01694915254237288
ACSS3	59	0	0.0
ACTA1	59	0	0.0
ACTA2	59	2	0.03389830508474576
ACTB	59	59	1.0
ACTBL2	59	0	0.0
ACTC1	59	0	0.0
ACTG1	59	59	1.0
ACTG2	59	0	0.0
ACTL10	59	0	0.0
ACTL6A	59	11	0.1864406779661017
ACTL6B	59	0	0.0
ACTL8	59	0	0.0
ACTN1	59	11	0.1864406779661017
ACTN2	59	0	0.0
ACTN3	59	0	0.0
ACTN4	59	55	0.9322033898305084
ACTR10	59	42	0.711864406779661
ACTR1A	59	31	0.5254237288135594
ACTR1B	59	32	0.5423728813559322
ACTR2	59	57	0.9661016949152542
ACTR3	59	58	0.9830508474576272
ACTR3B	59	0	0.0
ACTR3C	59	0	0.0
ACTR5	59	1	0.01694915254237288
ACTR6	59	22	0.3728813559322034
ACTR8	59	1	0.01694915254237288
ACTRT3	59	0	0.0
ACVR1	59	0	0.0
ACVR1B	59	0	0.0
ACVR1C	59	0	0.0
ACVR2A	59	0	0.0
ACVR2B	59	0	0.0
ACVRL1	59	1	0.01694915254237288
ACY1	59	1	0.01694915254237288
ACY3	59	0	0.0
ACYP1	59	9	0.15254237288135594
ACYP2	59	12	0.2033898305084746
ADA	59	19	0.3220338983050847
ADAD2	59	0	0.0
ADAL	59	0	0.0
ADAM10	59	37	0.6271186440677966
ADAM11	59	0	0.0
ADAM12	59	1	0.01694915254237288
ADAM15	59	3	0.05084745762711865
ADAM17	59	25	0.423728813559322
ADAM18	59	0	0.0
ADAM19	59	6	0.1016949152542373
ADAM2	59	0	0.0
ADAM20	59	0	0.0
ADAM21	59	0	0.0
ADAM22	59	0	0.0
ADAM23	59	0	0.0
ADAM28	59	2	0.03389830508474576
ADAM29	59	0	0.0
ADAM32	59	0	0.0
ADAM33	59	0	0.0
ADAM8	59	33	0.559322033898305
ADAM9	59	3	0.05084745762711865
ADAMDEC1	59	0	0.0
ADAMTS1	59	0	0.0
ADAMTS10	59	1	0.01694915254237288
ADAMTS12	59	0	0.0
ADAMTS13	59	0	0.0
ADAMTS14	59	0	0.0
ADAMTS15	59	0	0.0
ADAMTS16	59	0	0.0
ADAMTS17	59	0	0.0
ADAMTS18	59	0	0.0
ADAMTS19	59	0	0.0
ADAMTS2	59	0	0.0
ADAMTS20	59	0	0.0
ADAMTS3	59	0	0.0
ADAMTS4	59	0	0.0
ADAMTS5	59	0	0.0
ADAMTS6	59	0	0.0
ADAMTS7	59	0	0.0
ADAMTS8	59	0	0.0
ADAMTS9	59	0	0.0
ADAMTSL1	59	0	0.0
ADAMTSL2	59	0	0.0
ADAMTSL3	59	0	0.0
ADAMTSL4	59	2	0.03389830508474576
ADAMTSL5	59	0	0.0
ADAP1	59	4	0.06779661016949153
ADAP2	59	0	0.0
ADAR	59	56	0.9491525423728814
ADARB1	59	5	0.0847457627118644
ADARB2	59	0	0.0
ADAT1	59	1	0.01694915254237288
ADAT2	59	2	0.03389830508474576
ADAT3	59	0	0.0
ADCK1	59	0	0.0
ADCK2	59	4	0.06779661016949153
ADCK5	59	0	0.0
ADCY1	59	0	0.0
ADCY10	59	0	0.0
ADCY2	59	1	0.01694915254237288
ADCY3	59	1	0.01694915254237288
ADCY4	59	0	0.0
ADCY5	59	0	0.0
ADCY6	59	0	0.0
ADCY7	59	20	0.3389830508474576
ADCY9	59	0	0.0
ADCYAP1	59	1	0.01694915254237288
ADCYAP1R1	59	0	0.0
ADD1	59	39	0.6610169491525424
ADD2	59	1	0.01694915254237288
ADD3	59	51	0.864406779661017
ADGB	59	0	0.0
ADGRA1	59	0	0.0
ADGRA2	59	0	0.0
ADGRA3	59	1	0.01694915254237288
ADGRB1	59	0	0.0
ADGRB2	59	0	0.0
ADGRB3	59	1	0.01694915254237288
ADGRD1	59	0	0.0
ADGRD2	59	0	0.0
ADGRE1	59	0	0.0
ADGRE2	59	1	0.01694915254237288
ADGRE3	59	0	0.0
ADGRE5	59	56	0.9491525423728814
ADGRF1	59	1	0.01694915254237288
ADGRF2	59	0	0.0
ADGRF3	59	0	0.0
ADGRF4	59	0	0.0
ADGRF5	59	2	0.03389830508474576
ADGRG1	59	23	0.3898305084745763
ADGRG2	59	0	0.0
ADGRG3	59	1	0.01694915254237288
ADGRG5	59	2	0.03389830508474576
ADGRG6	59	0	0.0
ADGRL1	59	0	0.0
ADGRL2	59	2	0.03389830508474576
ADGRL3	59	0	0.0
ADGRL4	59	0	0.0
ADGRV1	59	0	0.0
ADH1A	59	0	0.0
ADH1B	59	0	0.0
ADH1C	59	0	0.0
ADH4	59	0	0.0
ADH5	59	50	0.847457627118644
ADH6	59	0	0.0
ADH7	59	0	0.0
ADHFE1	59	1	0.01694915254237288
ADI1	59	50	0.847457627118644
ADIPOR1	59	40	0.6779661016949152
ADIPOR2	59	14	0.23728813559322035
ADIRF	59	4	0.06779661016949153
ADK	59	21	0.3559322033898305
ADM	59	4	0.06779661016949153
ADM2	59	0	0.0
ADM5	59	0	0.0
ADNP	59	24	0.4067796610169492
ADNP2	59	7	0.11864406779661017
ADO	59	1	0.01694915254237288
ADORA1	59	0	0.0
ADORA2A	59	9	0.15254237288135594
ADORA2B	59	0	0.0
ADORA3	59	0	0.0
ADPGK	59	35	0.5932203389830508
ADPRH	59	0	0.0
ADPRHL1	59	0	0.0
ADPRHL2	19	6	0.3157894736842105
ADPRM	59	1	0.01694915254237288
ADRA1A	59	0	0.0
ADRA1B	59	0	0.0
ADRA1D	59	0	0.0
ADRA2A	59	0	0.0
ADRA2B	59	0	0.0
ADRA2C	59	0	0.0
ADRB1	59	0	0.0
ADRB2	59	18	0.3050847457627119
ADRB3	59	0	0.0
ADRM1	59	56	0.9491525423728814
ADSL	59	28	0.4745762711864407
ADSS	19	17	0.8947368421052632
ADSSL1	19	0	0.0
ADTRP	59	2	0.03389830508474576
AE000661.50	10	0	0.0
AE000662.92	10	0	0.0
AE000662.93	10	0	0.0
AEBP1	59	0	0.0
AEBP2	59	12	0.2033898305084746
AEN	59	3	0.05084745762711865
AES	19	18	0.9473684210526315
AF003626.1	10	0	0.0
AF011889.2	10	0	0.0
AF011889.5	10	0	0.0
AF015262.2	10	0	0.0
AF038458.5	10	0	0.0
AF064858.10	10	0	0.0
AF064858.11	10	0	0.0
AF064858.6	10	0	0.0
AF064858.8	10	0	0.0
AF064860.7	10	0	0.0
AF067845.1	19	0	0.0
AF067845.2	19	0	0.0
AF127936.3	10	0	0.0
AF127936.5	10	0	0.0
AF127936.7	10	0	0.0
AF127936.9	10	0	0.0
AF131215.6	10	0	0.0
AF131215.8	10	0	0.0
AF131216.1	19	0	0.0
AF131217.1	10	0	0.0
AF146191.4	10	0	0.0
AF165138.7	10	0	0.0
AF186192.1	19	0	0.0
AF240627.2	10	0	0.0
AFAP1	59	1	0.01694915254237288
AFAP1L1	59	0	0.0
AFAP1L2	59	3	0.05084745762711865
AFDN	40	6	0.15
AFDN-AS1	10	0	0.0
AFF1	59	13	0.22033898305084745
AFF2	59	0	0.0
AFF3	59	1	0.01694915254237288
AFF4	59	43	0.7288135593220338
AFG3L2	59	20	0.3389830508474576
AFM	59	0	0.0
AFMID	59	1	0.01694915254237288
AFP	59	0	0.0
AFTPH	59	26	0.4406779661016949
AGA	59	8	0.13559322033898305
AGAP1	59	2	0.03389830508474576
AGAP14	10	0	0.0
AGAP2	59	9	0.15254237288135594
AGAP3	59	2	0.03389830508474576
AGAP4	59	0	0.0
AGAP5	59	0	0.0
AGAP6	59	0	0.0
