accession,confidence,why,host,title,description,excluded_known,px_url
MSV000098579,A,MassIVE mirror of PXD065735 SCLC ICI resistance,MassIVE,ERBB2 signaling drives immune cell evasion and resistance against immunotherapy in small cell lung cancer,"Small cell lung cancer (SCLC) represents ~15% of all lung cancers and is characterized by its highly aggressive phenotype and its dismal outcome. Though the addition of immune checkpoint blockade to carboplatin and etoposide treatment has improved outcome in SCLC patients, SCLC cells finally acquire the ability to evade immunosurveillance and resistance against immune checkpoint blockade. To elaborate molecular mechanisms that mediate SCLC immune evasion, we performed high dimensional profiling of human and murine SCLC specimens. We herein comprehensively analyzed matched human samples of primary and metastatic SCLC and found a loss of MHC-I in SCLC metastases indicating that MHC-I loss mediates SCLC immune evasion. Silencing MHC-I in SCLC cells drastically diminished immune cell infiltration and facilitated the formation of metastasis in mice by circumventing immune surveillance. Using mass spectrometry and phospho-tyrosine kinase analysis, we discovered that ERBB2 signaling suppresses MHC-I expression in SCLC cells and stimulates immune modulating transcripts. Mechanistically, genetic and/or pharmacologic blockade of the ERBB2 signaling axis was sufficient to induce MHC-I expression and to prevent immune evasion in autochthonous murine SCLC in a STING-dependent manner. Finally, we demonstrate that the ERBB2 signaling axis regulates MHC-I expression on SCLC cells and is critical in maintaining immune evasion in SCLC. Most strikingly, we here uncover synergistic treatment eff",False,https://proteomecentral.proteomexchange.org/cgi/GetDataset?ID=MSV000098579
PXD058303,B,SCLC immunopeptidome; ATAD2 as immunotherapy target,PRIDE/iProX?,ATAD2 is a Potential Immunotherapy Target for Patients with Small Cell Lung Cancer Harboring HLA-A*0201,"To identify the immune peptides in SCLC tumour cells that can be processed and presented by HLA-I, we performed LC–MS/MS analysis on 11 SCLC cell lines, representing the heterogeneity of SCLC subtypes. Ten of the cell lines were confirmed positive for HLA-I, and one was HLA-I-deficient. To analyse cell surface antigens on the HLA-I-deficient cells, PBMCs isolated from healthy blood donors were treated with DMS53 cell lysate and matured into DCs to present the tumour cell antigens.",False,https://proteomecentral.proteomexchange.org/cgi/GetDataset?ID=PXD058303
PXD081026,B,NSCLC MUC1-MAPK-Elk-1-PD-L1 axis proteome / nanoparticle study,PRIDE/iProX?,Targeting the MUC1-MAPK-Elk-1-PD-L1 Axis with γδ T Cell Membrane-Camouflaged GO-203 Nanoparticles Induces Apoptosis and Reverses Immunosuppression in Non-Small Cell Lung Cancer,"Non-small cell lung cancer (NSCLC) frequently resists apoptosis and immunotherapy due to MUC1 overexpression, which activates the MAPK-Elk-1-PD-L1 axis to promote immune evasion and suppress γδ T cell-mediated tumor killing. This study aimed to delineate this pathway and evaluate a biomimetic nanotherapeutic approach using γδ T cell membrane-camouflaged, MUC1-targeted nanoparticles loaded with GO-203 to induce tumor cell apoptosis and restore antitumor immunity.",False,https://proteomecentral.proteomexchange.org/cgi/GetDataset?ID=PXD081026
PXD044086,B,Human lung cancer membrane TMT to find new immunotherapy targets (PD-1/PD-L1 context),PRIDE,Human lung cancer TMT-labeling LC-MS,"Although the paradigm of cancer treatment has changed with the recent development of drugs targeting immune checkpoints (PD-1, PD-L1, etc.), there is still a need for new targets for anticancer drugs. To discover new potential targets for immunotherapy, we compared membrane protein expression in non-small cell lung cancer cells versus normal lung cancer cells and NSCLC cell lines with low and high PD-L1 expression using mass spectrometry. As a result, it was confirmed that membrane protein, which is one of the most highly expressed proteins in NSCLC cell lines, is highly expressed in normal cells and highly expressed in cells with low PD-L1 expression.",False,https://proteomecentral.proteomexchange.org/cgi/GetDataset?ID=PXD044086
PXD034772,B,Lung cancer immunopeptidome vs T-cell infiltration / ICI relevance,PRIDE,"The immunopeptidome landscape associated with T cell infiltration, inflammation   and immune-editing in lung cancer","One key barrier to improving efficacy of personalized cancer immunotherapies that are dependent on the tumor antigenic landscape remains patient stratification. While patients with CD3+CD8+ T cell inflamed tumors typically show better response to immune checkpoint inhibitors, it is still unknown if the repertoire of HLA bound peptides presented in highly inflamed and non-inflamed tumors is substantially different. We surveyed 61 tumor regions and adjacent non-malignant lung tissues from eight lung cancer patients and performed deep antigen discovery combining immunopeptidomics, genomics, bulk and spatial transcriptomics and explored the heterogeneous expression and presentation of tumor (neo)antigens. Here we associated diverse immune cell populations with the immunopeptidome in CD3+CD8+ T cell excluded, infiltrated, highly- and lowly-inflamed tumors. We found evidence for lower immune-editing and higher presentation efficiency of tumor-associated antigens in lowly-inflamed and CD3+CD8+ T cell excluded tumors. This could have implications for the choice of combination therapies tailored to the patient’s mutanome and microenvironment.",False,https://proteomecentral.proteomexchange.org/cgi/GetDataset?ID=PXD034772
PXD043057,B,MHC-I immunopeptidome of human NSCLC in ICB-failure context,PRIDE,LC-MSMS of the MHC-I immunopeptidome of human NSCLC samples,"While immune checkpoint blockade (ICB) therapy has significantly improved the outcome of metastatic melanoma and non-small cell lung cancer (NSCLC), most patients do not derive long-term benefits. Previous studies suggest that treatment failure is partly due to insufficient immune recognition of tumor antigens (TAs). Notably, immune targeting of TAs has focused on TAs derived from non-synonymous genomic mutations. We used a proteogenomic approach combining RNA-sequencing and mass spectrometry to study the MHC I-immunopeptidome of cutaneous melanoma and NSCLC samples. The RNA-sequencing of each sample was used to construct sample-specific databases for the mass spectrometry-based identification of MHC I-associated peptides (MAPs). MAPs were then filtered based on their RNA expression in the respective cancer types from The Cancer Genome Atlas (TCGA-SKCM for melanoma MAPs, or TCGA-LUSC and TCGA-LUAD for NSCLC MAPs) vs. benign tissues (from the Genotype-Tissue Expression (GTEx) Project, medullary thymic epithelial cells, purified blood and bone marrow cells, and normal melanocytes for melanoma or bronchial brushing samples for NSCLC). MAPs were classified as mutated tumor-specific antigens (mTSAs, derived from non-synonymous mutations expressed in the sample of origin), or unmutated tumor antigens: aberrantly expressed tumor-specific antigens (aeTSAs, no/low expression in benign tissues and at least two times higher expression in TCGA), tumor-associated antigens (TAAs, significa",False,https://proteomecentral.proteomexchange.org/cgi/GetDataset?ID=PXD043057
PXD022949,B,HLA-I immunopeptidome EGFR-mutant LUAD (+ melanoma),PRIDE,Proteogenomic analysis unveils the HLA Class I presented immunopeptidome in melanoma and EGFR mutant lung adenocarcinoma,"Immune checkpoint inhibitor and adoptive lymphocyte transfer-based therapies have shown great therapeutic potential for cancers with high tumor mutation burden (TMB). Here, we employed mass spectrometry (MS)-based proteogenomic large-scale profiling to identify potential immunogenic human leukocyte antigen (HLA) Class ǀ-presented peptides in both melanoma, a “hot tumor” with high TMB, and EGFR mutant lung adenocarcinoma, a “cold tumor” with low TMB. We used cell line and patient-specific databases constructed using variants identified from whole-exome sequencing, as well as a de novo search algorithm from the PEAKS search algorithm to interrogate the mass spectrometry data of the Class I immunopeptidome. We identified 12 mutant neoantigens. Several classes of tumor-associated antigen-derived peptides were also identified. We constructed a cancer germline (CG) antigen database with 285 antigens and identified 42 Class I-presented CG antigens. We identified more than 1000 post-translationally modified (PTM) peptides representing 58 different PTMs. Our results suggest that PTMs play a critical role impacting HLA-binding affinity dramatically.  Finally, leveraging de novo search and an annotated lncRNA database, we developed a novel non-canonical peptide discovery pipeline to identify 44 lncRNA-derived peptides that are presented by Class I. We validated MS/MS spectra of select peptides using synthetic peptides and performed HLA Class I binding assays to demonstrate binding of se",False,https://proteomecentral.proteomexchange.org/cgi/GetDataset?ID=PXD022949
PXD027766,B,sHLA peptidome of pleural effusions; lung/tumor antigens,PRIDE,Mapping the soluble human leukocyte antigen peptidome of pleural effusions reveals lung and tumor-associated antigens,"Soluble HLA (sHLA) molecules released to the plasma, carry their original peptide cargo and provide insight into the protein synthesis and degradation schemes of their source cells and tissues. Other body fluids, such as pleural effusions, may also contain sHLA-peptide complexes, and can potentially serve as a source of tumor antigens since these fluids are drained from the tumor microenvironment. Thus, we developed a methodology for purifying and analysing large pleural effusion sHLA class I peptidomes of patients inflicted with malignancies or benign diseases. The cleared pleural fluids, the cell pellets present in the pleural effusions, and the primary tumor cells cultured from cancer patients’ effusions, were used for immunoaffinity purification of the HLA molecules. The recovered HLA peptides were analyzed by capillary chromatography coupled to tandem mass spectrometry and the resulting LC-MS/MS data was analyzed with the MaxQuant software tool. Large HLA peptidomes were obtained by the analysis of the pleural effusions. The majority of peptides identified from the pleural effusions were defined as HLA ligands that fit the patients’ HLA consensus sequence motifs. The membranal and soluble HLA peptidomes of each individual patient were somewhat similar to each other. Many of the HLA peptides were derived from known tumor-associated antigens, lung-related proteins, and VEGF pathway proteins. Thus, the pleural effusion HLA peptidome of patients with malignant tumors can ser",False,https://proteomecentral.proteomexchange.org/cgi/GetDataset?ID=PXD027766
PXD042991,B,Multi-target molecule restores immune response in lung cancer (mouse PISA proteome),PRIDE,A multi-target molecule restores immune response in lung cancer through intratumoral CD4+ cytotoxic lymphocytes recruitment,"Background:  Despite current therapeutic treatments including surgery, chemotherapy, radiotherapy and recently immunotherapy, the mortality rate of lung cancer stays high. Regarding lung cancer, epigenetic modifications altering cell cycle, angiogenesis and programmed cancer cell death are therapeutic targets to combine with immunotherapy to improve treatment success. In a recent study, we uncovered a dual function of a molecule called QAPHA ((E)-3-(5-((2-cyanoquinolin-4-yl)(methyl)amino)-2-methoxyphenyl)-N-hydroxyacrylamide) as both a tubulin polymerization and HDAC inhibitors. Here, we investigate the impact of this novel dual inhibitor on the lung cancer immune response.  Methods:  To elucidate the mechanism of action of QAPHA, we conducted a chemical proteomics analysis. Using an in vivo mouse model of lung cancer (TC-1 tumor cells), we assessed the effects of QAPHA on tumor regression. Tumor infiltrating immune cells were characterize by flow cytometry.  Results  In this study, we first show that QAPHA can inhibit HDAC6, leading to upregulation of HSP90, cytochrome C and caspases, found by proteomic analysis. We also confirm that QAPHA induces immunogenic cell death (ICD) by upregulating HMGB1 in vitro and demonstrated its effectiveness as a vaccine in vivo. Remarkably, even at a low concentration (0.5mg/kg), QAPHA achieved complete tumor regression in approximately 60% of intratumorally treated mice, establishing a long-lasting anticancer immune response. Moreover, QAPH",False,https://proteomecentral.proteomexchange.org/cgi/GetDataset?ID=PXD042991
PXD049438,B,Time-serial proteome of lung cancer TIL cell therapy,PRIDE,Impaired T cell and neoantigen retention in time serial analysis of lung cancer patients treated with TIL cell therapy,"Cell therapy with tumor-infiltrating lymphocytes (TIL) has yielded durable responses for multiple cancer types, but the causes of therapeutic resistance remain largely unknown. Here multi-dimensional analysis was performed on time serial tumor and blood in a lung cancer TIL therapy trial. Using T-cell receptor sequencing on both functionally expanded T cells and neoantigen-loaded tetramer-sorted T cells, we identified neoantigen specific TCRs. We then mapped clones into individual transcriptomes and found that neoantigen-reactive clonotypes expressed a dysfunctional program and lacked stem-like features among patients who lacked clinical benefit. Tracking neoantigen-reactive clonotypes over time, decay of antigen-reactive peripheral T-cell clonotypes was associated with the emergence of progressive disease. Further, subclonal neoantigens previously targeted by infused T cells were subsequently absent within tumors at progression, suggesting potential adaptive resistance. Our findings suggest that targeting clonal antigens and circumventing dysfunctional states may be important for conferring clinical responses to TIL therapy.",False,https://proteomecentral.proteomexchange.org/cgi/GetDataset?ID=PXD049438
PXD020191,C,Lehtiö NSCLC proteogenomics; immune-evasion subtypes (not ICI-treated),PRIDE,Human Lung cancer proteomics and proteogenomics LC/MS&MS,"In this project, a cohort of early stage NSCLC samples (141) were analyzed by MS-based proteomics in order to identify molecular subtypes at the phenotype level. In total, close to 14 000 proteins were identified and quantified across samples by HiRIEF-LC-MS and TMT based relative quantification. Further, six identified NSCLC proteome subtypes were investigated in relation to cancer driver pathways, immune phenotypes and neoantigen expression based on the generated MS-data.",False,https://proteomecentral.proteomexchange.org/cgi/GetDataset?ID=PXD020191
PXD020548,C,Lehtiö DIA validation NSCLC tissue cohort,PRIDE,Human lung cancer data independent acquisition validation tissue cohort,"In this project, two NSCLC cohorts were analyzed by Data Independent Acquisition (DIA-MS). A cohort of early stage NSCLC samples (141) as well as an additional cohort of late stage NSCLC samples (84) with the aim to demonstrate utility of MS for subtyping and treatment prediction in a clinical setting. Further, six identified NSCLC proteome subtypes were investigated in relation to cancer driver pathways and immune phenotypes based on the generated MS-data.",False,https://proteomecentral.proteomexchange.org/cgi/GetDataset?ID=PXD020548
MSV000085049,C,MassIVE global companion of excluded PXD019061 (not a new study),MassIVE,,,False,https://proteomecentral.proteomexchange.org/cgi/GetDataset?ID=MSV000085049
