Sample,TACSTD2,CD226,CD44,CD47,CD96,HAVCR2,JUNB,LAG3,LGALS1,LGALS3,LGALS3BP,LGALS8,LGALS9,LTBP1,NECTIN1,NECTIN3,NECTIN4,PVR,SERPINE1,SIRPA,SKIL,SMAD7,TGFB1,TGFB2,TGFB3,TGFBR1,TGFBR2,TGFBR3,THBS1,TIGIT,n_cells,Sample_Origin,slice
BRONCHO_11,1.0680394,0.0036381,0.8408837,0.72159195,0.0112085985,0.005144607,1.9746099,0.02045063,1.9093918,2.63666,1.8351704,0.2590778,0.7345363,0.076434076,0.2622126,0.067502804,0.6827311,0.14415495,0.0035474694,0.016516436,0.24589159,0.0470216,0.12651923,0.016422756,0.0,0.13042767,0.13402179,0.0026083891,0.010109823,0.011665308,203,mLN,mets_mLN_tLB
BRONCHO_58,1.9326209,0.003988473,2.0289462,1.001495,0.01912339,0.014410184,1.584032,0.026589716,2.312951,2.2598102,2.127253,0.1939661,0.21630792,0.013020293,0.13643597,0.006024792,0.28116897,0.17065465,0.08003029,0.01879987,0.21452513,0.073181055,0.06590671,0.012775717,0.008592764,0.04033086,0.20811164,0.014115106,0.0795515,0.04976543,460,tL/B,mets_mLN_tLB
EBUS_06,2.464139,0.007878163,0.028422724,1.8011968,0.006243629,0.0027196407,1.6370782,0.0045464486,0.15417354,2.7941592,0.035378717,0.40673,0.012327097,0.29897577,0.0065749157,0.017309792,0.43126452,0.095672354,0.0,0.0059874393,0.5271529,0.010887269,0.15404433,0.0777967,0.042076577,0.03851105,0.169192,0.1197536,0.0578493,0.003327928,1186,tL/B,mets_mLN_tLB
EBUS_10,1.5767623,0.0025287243,0.20223255,2.1080208,0.00883418,0.008797047,2.1784797,0.010767881,3.9459853,3.0132964,1.2196192,0.19945447,0.18239857,0.0,0.30129412,0.074188456,0.29063332,0.09898272,0.02107309,0.005922898,0.13744184,0.08409828,0.3091596,0.009887938,0.008683563,0.016331822,0.28953254,0.030196024,0.040980805,0.01502098,367,mLN,mets_mLN_tLB
EBUS_12,3.371623,0.0062415907,0.61203176,2.252349,0.004822367,0.022327704,1.5026232,0.0031709245,1.5175267,3.3278797,3.347288,0.460371,1.3864586,0.38268375,0.12040656,0.060234293,0.4697567,0.4055086,0.16166832,0.061212327,0.35127914,0.08010609,0.15123947,0.37960395,0.0010516894,0.05948378,0.3542858,0.017822009,0.52862275,0.0035980802,257,mLN,mets_mLN_tLB
EBUS_13,0.0,0.03203819,0.073691286,0.12235156,0.008004191,0.01327109,1.1003923,0.17503704,2.3188097,0.17621118,0.05312844,0.15722899,0.10034502,0.050792385,0.044280555,0.0049610995,0.0027305132,0.067897685,0.002027885,0.019511431,0.4361164,0.045457557,0.30953366,0.02016144,0.020010857,0.19004916,0.015542609,0.011985184,0.16018514,0.020927748,376,mLN,mets_mLN_tLB
EBUS_15,1.6016876,0.00063658215,0.7744248,1.0156959,0.019410232,0.008250943,0.79202914,0.008749844,4.0211596,2.4887571,1.2510105,0.085659534,0.23588873,0.037860513,0.21900944,0.0458591,0.23433802,0.21304366,0.054891903,0.0056781797,0.13688812,0.07396416,0.29059678,0.17088784,0.020722346,0.112270616,0.15935163,0.00268741,0.027940718,0.009102347,256,mLN,mets_mLN_tLB
EBUS_19,2.428904,0.0,1.5566453,1.2760255,0.01501688,0.0039381715,2.1454883,0.017359562,3.828252,1.7341902,2.2431889,0.2706284,0.8813055,0.16648385,0.36955735,0.2967806,0.6383424,0.15002117,0.0050974474,0.0028546269,0.43214443,0.12143496,0.40651464,0.019133724,0.034922767,0.1081476,0.35574052,0.02102582,0.25661838,0.013628954,217,mLN,mets_mLN_tLB
EBUS_28,1.989944,0.0009873334,0.031316135,1.9159784,0.0054077245,0.0017524351,1.6794302,0.005519669,1.8246669,1.4828504,0.87170017,0.18934211,0.35382947,0.04318432,0.1211004,0.06454123,0.31128982,0.06261341,0.044658143,0.0007966166,0.2585839,0.09057147,0.15621346,0.09735957,0.0007850358,0.056694437,0.30775008,0.00013916485,0.049457785,0.0029284954,4640,tL/B,mets_mLN_tLB
EBUS_49,0.86616135,0.0032560464,0.088051364,0.21289866,0.025203226,0.0036646703,1.2483301,0.016685484,0.7016679,2.5227728,0.059076976,0.14997943,0.0350998,0.07747832,0.012555286,0.0034275951,0.37490016,0.037792854,0.0,0.001356216,0.36730257,0.023985228,0.24514766,0.021417452,0.0046266266,0.018348075,0.17104545,0.066221915,0.05904698,0.0040631634,114,tL/B,mets_mLN_tLB
EBUS_51,1.7361141,0.002617153,1.2651477,0.87398005,0.011640703,0.008952355,2.2035174,0.007430415,1.4639591,2.104303,1.3981045,0.22885224,0.68484867,0.011025924,0.37407252,0.034720607,0.32573053,0.09323017,0.0037598084,0.04945534,0.2913622,0.10861228,0.027401395,0.009131975,0.02706574,0.07711315,0.26041698,0.011309099,0.14889926,0.0077906265,1285,mLN,mets_mLN_tLB
NS_02,0.015661595,0.014953716,0.7313218,0.5202352,0.007418643,0.02064711,1.2144625,0.021050282,1.4927987,2.6157591,1.2059408,0.31612703,0.12202167,0.04745017,0.088251054,0.017270526,0.32605833,0.06617676,0.045992114,0.028309524,0.17523712,0.045567844,0.13482337,0.0057785166,0.1257654,0.032557778,0.13280582,0.0059043253,0.03350758,0.0021312323,181,mBrain,brain_mets
NS_03,0.9190636,0.0007476174,1.1809248,0.5529156,0.0052937036,0.002916699,1.5328193,0.0052347006,1.9180747,5.1228623,2.0379193,0.443481,0.14043753,0.001808113,0.32690066,0.031042054,1.0598736,0.121285126,0.0329209,0.0017350832,0.14289305,0.039849833,0.328611,0.03618815,0.008284259,0.084609,0.06168235,0.0040670275,0.06658902,0.0010887816,2713,mBrain,brain_mets
NS_04,0.94298077,0.0023780805,0.1905925,0.5880779,0.0029333308,0.009641289,2.0243847,0.018448344,2.1070602,2.108736,1.9423367,0.50870174,0.67648405,0.20458572,0.06583887,0.126703,0.36785573,0.25677887,0.014791391,0.019225817,0.2279036,0.021647943,0.13901138,0.0029005115,0.0012122892,0.070648804,0.144029,0.0010403258,0.012208937,0.00089439965,1229,mBrain,brain_mets
NS_06,1.9580051,0.0,0.7427478,0.917658,0.0,0.024588676,1.6790375,0.012004908,2.6158266,2.526301,1.4855288,0.052610617,0.023454338,0.0039069443,0.032249857,0.022554696,0.01936604,0.019837251,0.01450295,0.008956242,0.1514584,0.032151315,0.18474379,0.0881831,0.0,0.0080092475,0.16840217,0.038242783,0.026085097,0.0053339354,83,mBrain,brain_mets
NS_07,1.5250415,0.0016001613,0.63237226,0.45090044,0.0018681209,0.002558295,1.138316,0.008472474,2.3251882,2.4696364,1.1880525,0.48792994,0.006606574,0.090213194,0.06040218,0.04926835,0.5124835,0.07036778,0.00010220647,0.031043649,0.2417576,0.074208744,0.070912555,0.011011265,0.009047804,0.059818458,0.28248066,0.00085511804,0.0133378,0.0020997275,5108,mBrain,brain_mets
NS_12,1.2639741,0.0057016527,0.1095249,1.360521,0.0017728161,0.0027163222,1.3869134,0.019774914,1.0392255,2.9758818,2.3869672,0.39192942,0.09439123,0.03600681,0.12166952,0.020415617,0.20116134,0.13092649,0.020886509,0.0037431829,0.19900231,0.048371967,0.23730619,0.008456763,0.0021798073,0.062224407,0.19231181,0.016745513,0.0064034485,0.0,2811,mBrain,brain_mets
NS_13,1.3978562,0.006996038,1.2401935,0.7673094,0.3724219,0.0069568595,1.8247392,0.025441557,0.33782387,0.9595463,2.286507,0.2989801,0.11005323,0.0096850395,0.14100905,0.6395313,0.21788757,0.062233604,0.007756551,0.0028473018,0.13546492,0.07914829,0.19231227,0.16602877,0.0191352,0.0685264,1.4129488,0.06545433,0.15778692,0.009765445,1352,mBrain,brain_mets
NS_16,0.12988704,0.010587595,0.18227026,0.40802833,0.014036263,0.029450163,2.7828648,0.039220408,0.5987719,2.3770294,1.5965854,0.10961517,0.26324812,0.08862763,0.019000694,0.08799894,0.15047017,0.19149125,0.22147544,0.06366171,0.66543406,0.16073062,0.48945776,0.033612594,0.0038768447,0.12271072,0.4179285,0.23923807,0.21602,0.011609059,79,mBrain,brain_mets
NS_17,1.4360176,0.00099407,0.4147721,0.8953406,0.011638216,0.0065361103,1.769726,0.012705323,0.34241828,3.1848214,1.852622,0.44170073,0.22550437,0.09958621,0.012670819,0.1407972,0.039427467,0.025442524,0.014966388,0.003504394,0.3691063,0.02895274,0.1829533,0.001055808,0.00021093136,0.10767473,0.079465896,0.00095412275,0.023979152,0.0036132259,1112,mBrain,brain_mets
NS_19,1.6368998,0.006073005,0.26911288,1.5073302,0.0046967347,0.018950935,1.4596786,0.004116576,3.8277667,1.7091664,1.9396439,0.41870672,0.27372137,0.049696084,0.037461683,0.06571525,0.5167252,0.042520944,0.19106132,0.030376144,0.33999646,0.047690637,0.0880998,0.018840596,0.00819876,0.07071671,0.09972202,0.03474969,0.0894921,0.0057404283,755,mBrain,brain_mets
BRONCHO_11,1.0680394,0.0036381,0.8408837,0.72159195,0.0112085985,0.005144607,1.9746099,0.02045063,1.9093918,2.63666,1.8351704,0.2590778,0.7345363,0.076434076,0.2622126,0.067502804,0.6827311,0.14415495,0.0035474694,0.016516436,0.24589159,0.0470216,0.12651923,0.016422756,0.0,0.13042767,0.13402179,0.0026083891,0.010109823,0.011665308,203,mLN,tumor_sites_mixed_no_brain
BRONCHO_58,1.9326209,0.003988473,2.0289462,1.001495,0.01912339,0.014410184,1.584032,0.026589716,2.312951,2.2598102,2.127253,0.1939661,0.21630792,0.013020293,0.13643597,0.006024792,0.28116897,0.17065465,0.08003029,0.01879987,0.21452513,0.073181055,0.06590671,0.012775717,0.008592764,0.04033086,0.20811164,0.014115106,0.0795515,0.04976543,460,tL/B,tumor_sites_mixed_no_brain
EBUS_06,2.464139,0.007878163,0.028422724,1.8011968,0.006243629,0.0027196407,1.6370782,0.0045464486,0.15417354,2.7941592,0.035378717,0.40673,0.012327097,0.29897577,0.0065749157,0.017309792,0.43126452,0.095672354,0.0,0.0059874393,0.5271529,0.010887269,0.15404433,0.0777967,0.042076577,0.03851105,0.169192,0.1197536,0.0578493,0.003327928,1186,tL/B,tumor_sites_mixed_no_brain
EBUS_10,1.5767623,0.0025287243,0.20223255,2.1080208,0.00883418,0.008797047,2.1784797,0.010767881,3.9459853,3.0132964,1.2196192,0.19945447,0.18239857,0.0,0.30129412,0.074188456,0.29063332,0.09898272,0.02107309,0.005922898,0.13744184,0.08409828,0.3091596,0.009887938,0.008683563,0.016331822,0.28953254,0.030196024,0.040980805,0.01502098,367,mLN,tumor_sites_mixed_no_brain
EBUS_12,3.371623,0.0062415907,0.61203176,2.252349,0.004822367,0.022327704,1.5026232,0.0031709245,1.5175267,3.3278797,3.347288,0.460371,1.3864586,0.38268375,0.12040656,0.060234293,0.4697567,0.4055086,0.16166832,0.061212327,0.35127914,0.08010609,0.15123947,0.37960395,0.0010516894,0.05948378,0.3542858,0.017822009,0.52862275,0.0035980802,257,mLN,tumor_sites_mixed_no_brain
EBUS_13,0.0,0.03203819,0.073691286,0.12235156,0.008004191,0.01327109,1.1003923,0.17503704,2.3188097,0.17621118,0.05312844,0.15722899,0.10034502,0.050792385,0.044280555,0.0049610995,0.0027305132,0.067897685,0.002027885,0.019511431,0.4361164,0.045457557,0.30953366,0.02016144,0.020010857,0.19004916,0.015542609,0.011985184,0.16018514,0.020927748,376,mLN,tumor_sites_mixed_no_brain
EBUS_15,1.6016876,0.00063658215,0.7744248,1.0156959,0.019410232,0.008250943,0.79202914,0.008749844,4.0211596,2.4887571,1.2510105,0.085659534,0.23588873,0.037860513,0.21900944,0.0458591,0.23433802,0.21304366,0.054891903,0.0056781797,0.13688812,0.07396416,0.29059678,0.17088784,0.020722346,0.112270616,0.15935163,0.00268741,0.027940718,0.009102347,256,mLN,tumor_sites_mixed_no_brain
EBUS_19,2.428904,0.0,1.5566453,1.2760255,0.01501688,0.0039381715,2.1454883,0.017359562,3.828252,1.7341902,2.2431889,0.2706284,0.8813055,0.16648385,0.36955735,0.2967806,0.6383424,0.15002117,0.0050974474,0.0028546269,0.43214443,0.12143496,0.40651464,0.019133724,0.034922767,0.1081476,0.35574052,0.02102582,0.25661838,0.013628954,217,mLN,tumor_sites_mixed_no_brain
EBUS_28,1.989944,0.0009873334,0.031316135,1.9159784,0.0054077245,0.0017524351,1.6794302,0.005519669,1.8246669,1.4828504,0.87170017,0.18934211,0.35382947,0.04318432,0.1211004,0.06454123,0.31128982,0.06261341,0.044658143,0.0007966166,0.2585839,0.09057147,0.15621346,0.09735957,0.0007850358,0.056694437,0.30775008,0.00013916485,0.049457785,0.0029284954,4640,tL/B,tumor_sites_mixed_no_brain
EBUS_49,0.86616135,0.0032560464,0.088051364,0.21289866,0.025203226,0.0036646703,1.2483301,0.016685484,0.7016679,2.5227728,0.059076976,0.14997943,0.0350998,0.07747832,0.012555286,0.0034275951,0.37490016,0.037792854,0.0,0.001356216,0.36730257,0.023985228,0.24514766,0.021417452,0.0046266266,0.018348075,0.17104545,0.066221915,0.05904698,0.0040631634,114,tL/B,tumor_sites_mixed_no_brain
EBUS_51,1.7361141,0.002617153,1.2651477,0.87398005,0.011640703,0.008952355,2.2035174,0.007430415,1.4639591,2.104303,1.3981045,0.22885224,0.68484867,0.011025924,0.37407252,0.034720607,0.32573053,0.09323017,0.0037598084,0.04945534,0.2913622,0.10861228,0.027401395,0.009131975,0.02706574,0.07711315,0.26041698,0.011309099,0.14889926,0.0077906265,1285,mLN,tumor_sites_mixed_no_brain
LUNG_T06,2.5113075,0.0,0.9717379,1.3798252,0.01698312,0.01862742,2.6355646,0.014018527,1.5056229,2.462568,2.1224341,0.3518321,0.4370445,0.12412798,0.080306076,0.08158613,0.4363403,0.12659185,0.06967973,0.051995162,0.6794007,0.18296902,0.2877102,0.2051104,0.006633018,0.101193994,0.48164925,0.014381425,0.579755,0.058434874,100,tLung,tumor_sites_mixed_no_brain
LUNG_T08,2.5613644,0.053725787,1.4839329,1.250017,0.15211937,0.02184183,3.4687014,0.109177545,0.73067033,1.8523855,1.7189261,0.40584314,0.32115513,0.017874451,0.10768182,0.08264035,0.24077724,0.049819045,0.0,0.02184183,0.3001756,0.079651155,0.28055605,0.026802914,0.0,0.06838189,0.29496884,0.09237696,0.24164955,0.011915247,42,tLung,tumor_sites_mixed_no_brain
LUNG_T18,2.4336376,0.0012585631,0.42189932,1.6521015,0.007414217,0.012455458,1.368629,0.010468844,2.0540104,3.0450995,1.9798074,0.34716117,0.6506291,0.46601585,0.15897757,0.09612898,0.45803696,0.11180886,0.15438022,0.015471657,0.42198294,0.056638733,0.11384214,0.16796127,0.017458646,0.093594134,0.21608475,0.009571407,0.07222801,0.01750377,1002,tLung,tumor_sites_mixed_no_brain
LUNG_T19,1.5696722,0.0075652325,1.8285432,0.64308345,0.015234693,0.0064951153,2.114607,0.028677622,0.62713325,1.8167149,1.5344968,0.42934036,0.3894717,0.033664078,0.06820528,0.099477366,0.80597454,0.046690896,0.0,0.044877395,0.28230584,0.11599495,0.19230075,0.17783663,0.022963399,0.14738244,0.28211313,0.025642088,0.052844804,0.031150203,222,tLung,tumor_sites_mixed_no_brain
LUNG_T20,3.022529,0.011817396,1.3841136,2.1705127,0.018468237,0.022872228,2.140611,0.01376623,1.7000734,3.0422196,1.6246582,0.26774624,0.29621568,0.04466221,0.20273736,0.13049443,0.42424566,0.44443154,0.032076564,0.019953422,0.46980134,0.116973534,0.5741512,0.112240024,0.010170759,0.039897073,0.24414364,0.0061920616,0.051667016,0.010885679,434,tLung,tumor_sites_mixed_no_brain
LUNG_T25,2.296697,0.013416176,1.6155698,1.0173845,0.030097757,0.0035735068,2.3879228,0.01124716,0.8696469,1.6854898,1.4279861,0.37406218,0.1016877,0.04677159,0.115147546,0.11630781,0.60433924,0.081423745,0.0,0.01810775,0.26788056,0.18753731,0.15357184,0.08136245,0.0026057996,0.15151085,0.42700475,0.041885182,0.05531479,0.025147414,223,tLung,tumor_sites_mixed_no_brain
LUNG_T28,2.7089825,0.00020786216,0.5536182,2.3268054,0.014307326,0.00898921,1.5708313,0.009513684,0.703381,2.8757133,1.7333316,0.29841173,0.63951755,0.07159775,0.32419708,0.14587261,1.0490689,0.06691093,0.022807254,0.012726454,0.47078606,0.14656843,0.46583304,0.11199318,0.0078042597,0.052618098,0.2826605,0.0024467895,0.1198891,0.011816149,984,tLung,tumor_sites_mixed_no_brain
LUNG_T30,2.1317608,0.0020450263,1.4598048,1.3330424,0.019608364,0.015940873,3.4196115,0.018160569,0.5047653,2.1029992,1.2740666,0.30218694,0.12920037,0.002130499,0.022813393,0.2210725,0.21640968,0.047621284,0.0,0.016923262,0.40745807,0.09776198,0.358571,0.18411708,0.0016565021,0.078576796,0.42390895,0.03051582,0.29179415,0.020677194,784,tLung,tumor_sites_mixed_no_brain
LUNG_T31,1.9569732,0.007113793,0.4038996,2.0550425,0.026705898,0.007842912,1.8241498,0.016185053,1.4641489,3.55177,1.6301553,0.2692893,0.19115962,0.2403472,0.08788106,0.09271532,0.45798102,0.19726808,0.058477517,0.0015703659,0.6356779,0.12455786,0.3607821,0.22807886,0.0074547944,0.08744472,0.62080044,0.038708832,0.18880339,0.011427621,182,tLung,tumor_sites_mixed_no_brain
LUNG_T34,2.3688056,0.00045799557,1.2159528,1.5027117,0.16430527,0.0035673291,2.6679692,0.061404772,0.15232697,3.1203547,2.1045938,0.27404422,0.6506343,0.0028379073,0.2967785,0.08300155,0.35082635,0.06619888,0.0053403256,0.0051025013,0.3935826,0.060396165,0.25719655,0.017012117,0.009251323,0.050162718,0.30381352,0.005698567,0.12742339,0.0012373241,2374,tLung,tumor_sites_mixed_no_brain
