gse,n_samples,char_keys,source_names,titles
GSE176021,110,patientid;cell type;response status,LN;adjacent normal lung;blood;brain metastases;tumor,MD01-024_tumor_1;MD01-010_normal_1;MD01-010_tumor_1;MD01-004_tumor_1;MD01-004_LN_1
GSE176022,102,patientid;cell type;type of antigen tested;gene epitope derived from;epitope tested;cells sequenced;culture condition,peripheral blood,MD01-004_HIV;MD01-004_MP1_H1N1_1;MD01-004_MP1_H1N1_2;MD01-004_MP1_H1N1_3;MD01-004_MP1_H3N2_1
GSE179934,9,cell line;treatment,A549 cell,PC3_1;PC3_2;PC3_3;L996_1;L996_2
GSE179994,47,patient id;disease state;condition;platform,P001;P002;P003;P004;P005;P006;P007;P008;P009;P010;P011;P012,NSCLC.P001.pre.01;NSCLC.P001.post.01;NSCLC.P001.post.02;NSCLC.P001.post.03;NSCLC.P002
GSE180347,144,disease state;group;run;patient id;tissue,LUAD_NC_Pat01_Rep1;LUAD_NC_Pat02_Rep1;LUAD_NC_Pat03_Rep1;LUAD_NC_Pat04_Rep1;LUAD_NC_Pat05_Rep1;LUAD_NC_Pat06_Rep1;LUAD_NC_Pat07_Rep1;LUAD_NC_Pat08_Rep1;LUAD_NC_Pat09_Rep1;LUAD_NC_Pat10_Rep1;LUAD_NC_Pat11_Rep1;LUAD_NC_Pat12_Rep1,RUN_1_01_NC;RUN_1_02_NC;RUN_1_03_NC;RUN_1_04_NC;RUN_1_05_NC
GSE181820,22,tissue;group,NSCLC tissue,NSCLC 1;NSCLC 2;NSCLC 3;NSCLC 4;NSCLC 5
GSE184053,9,phenotype,peripheral blood;primary tumor,tumor infiltrating Temra from NSCLC patient tilTemra_001;tumor infiltrating Temra from NSCLC patient tilTemra_002;tumor infiltrating Temra from NSCLC patient tilTemra_003;peripheral blood Temra from NSCLC patient pTemra_001;peripheral blood Temra from NSCLC patient pTemra_002
GSE190265,34,tissue;disease state,biopsy,13013321;14000702;14008707;14014368;15000683
GSE190266,70,tissue;disease state;pfs_time (6 months);pfs_evt (6 months),biopsy,A14-118-2;A14-3243-1;A14-4829-2;A15-1673-2;A15-1759-1
GSE99995,12,tissue;ifn-gamma level;pd-l1 level;tumor stage;gender;age,"IIIA lung adenocarcinoma, IFN-γ high expression, PD-L1 high expression;IIIA lung adenocarcinoma, IFN-γ high expression, PD-L1 low expression;IIIA lung adenocarcinoma, IFN-γ low expression, PD-L1 high expression;IIIA lung adenocarcinoma, IFN-γ low expression, PD-L1 low expression",lung adenocarcinoma sample_IFN-γ+PD-L1+ [PT 14245];lung adenocarcinoma sample_IFN-γ+PD-L1+ [PT 14634];lung adenocarcinoma sample_IFN-γ+PD-L1+ [PT 14495];lung adenocarcinoma sample_IFN-γ-PD-L1+ [PT 14666];lung adenocarcinoma sample_IFN-γ-PD-L1+ [PT 14571]
