accession,category,n_samples,n_suppl,n_processed_candidates,processed_names,processed_sizes,title
GSE190266,LUNG_ICI_other,70,1,1,GSE190266_TPM_France4.csv.gz,2.0M,MEK inhibition overcomes chemoimmunotherapy resistance by inducing CXCL10 in cancer cells [France4]
GSE99995,LUNG_ICI_other,12,2,0,,,Whole-transcriptome analysis of tumor tissues of lung adenocarcinoma reveals molecular changes under the influence of IFN-γ
GSE117570,LUNG_ICI_single_cell,8,2,0,,,Reprogramming of Tumor-infiltrating Immune Cells in Early Stage of NSCLC
GSE127465,LUNG_ICI_single_cell,40,9,0,,,Single cell transcriptomics of human and mouse lung cancers reveals conserved myeloid populations across individuals and species
GSE128822,LUNG_ICI_single_cell,10,1,1,GSE128822_ICOSpCCRp_ICOSmCCR8m_raw_counts.csv.gz,255K,High-dimensional single cell analysis reveals an effector Treg molecular program that correlates with lung cancer progression
GSE131933,LUNG_ICI_single_cell,8,3,3,GSE131933_T1D7_gene_count.txt.gz;GSE131933_T1T3D0_gene_count.txt.gz;GSE131933_T3D11_gene_count.txt.gz,914M;25M;86M,Effects of durvalumab alone or combined with tremelimumab on preexisting cells in the tumor microenvironment
GSE141383,LUNG_ICI_single_cell,9,2,0,,,Single-cell characterization of macrophages in glioblastoma reveals MARCO as a mesenchymal pro-tumor marker
GSE144945,LUNG_ICI_single_cell,10,2,0,,,Dysregulation of TFH-B-TRM lymphocyte cooperation is associated with unfavorable anti-PD-1 responses in EGFR-mutant lung cancer
GSE145896,LUNG_ICI_single_cell,8,1,1,GSE145896_countData.csv.gz,303K,PD-1 blockade-unresponsive human tumor-infiltrating CD8+ T cells are marked by loss of CD28 expression and rescued by IL-15
GSE146100,LUNG_ICI_single_cell,3,1,1,GSE146100_NormData.txt.gz,219M,Distinct Immune-microenvironment Construction Diversely Responded to Induction Immunotherapy among Multiple Primary Lung Adenocarcinoma
GSE152590,LUNG_ICI_single_cell,8,1,1,GSE152590_TPM_matrix.xlsx,1.4M,RNA seq data of CD8+ T cells in peripheral blood lymphocytes from melanoma and lung cancer patients
GSE154826,LUNG_ICI_single_cell,166,78,0,,,CITEseq analysis of non-small-cell lung cancer lesions
GSE162154,LUNG_ICI_single_cell,6,1,0,,,RNA-seq of human small airawy epithelial cells in patients with COPD and Never-smoker
GSE167235,LUNG_ICI_single_cell,9,2,0,,,A burned-out CD8+ T-cell subset expands in the tumor microenvironment and curbs cancer immunotherapy
GSE173896,LUNG_ICI_single_cell,16,5,1,GSE173896_Arzamasov_raw_count_matrix.txt.gz,212K,Single-cell Transcriptome Analysis Reveals an Anomalous Epithelial Variation and Ectopic Inflammatory Response in Chronic Obstructive Pulmonary Disease
GSE176021,LUNG_ICI_single_cell,110,4,0,,,Distinct transcriptional programs characterize neoantigen-specific T cells in lung cancers treated with neoadjuvant PD-1 blockade [single-cell RNA-seq]
GSE176022,LUNG_ICI_single_cell,102,2,0,,,Distinct transcriptional programs characterize neoantigen-specific T cells in   lung cancers treated with neoadjuvant PD-1 blockade [bulk TCR-seq]
GSE179994,LUNG_ICI_single_cell,47,6,1,GSE179994_all.Tcell.rawCounts.rds.gz,421M,Temporal single cell tracing reveals clonal revival and expansion of precursor exhausted T cells during anti-PD-1 therapy in lung cancer
GSE115246,LUNG_ICI_methylation,81,3,0,,,"Epigenetic prediction of response to anti-PD-1 treatment in non-small-cell lung cancer: a multicenter, retrospective analysis"
GSE119144,LUNG_ICI_methylation,60,2,0,,,DNA methylation loss coupled with mitotic cell division promotes immune evasion of tumours with high mutation load
GSE126043,LUNG_ICI_methylation,18,3,1,GSE126043_norm_beta.txt.gz,61M,Genome-wide identification of differentially methylated promoters and enhancers associated with response to anti-PD-1 therapy in non-small cell lung cancer
GSE126045,LUNG_ICI_methylation,34,2,0,,,Genome-wide identification of differentially methylated promoters and enhancers associated with response to anti-PD-1 therapy in non-small cell lung cancer
GSE138571,LUNG_ICI_methylation,10,2,0,,,In vivo epigenetic CRISPR screen identifies Asf1a as an immunotherapeutic target in Kras-mutant lung adenocarcinoma
GSE142620,LUNG_ICI_methylation,36,2,0,,,Chronic IL-1β-induced inflammation regulates epithelial-to-mesenchymal transition memory phenotypes via epigenetic modifications in non-small cell lung cancer
GSE118933,LUNG_ICI_cellline_invitro,18,1,1,GSE118933_IPF_invasive_non-invasive_RPKM.txt.gz,1.8M,Immune Checkpoint Regulation of Pulmonary Fibrosis [bulk RNA-seq]
GSE129380,LUNG_ICI_cellline_invitro,24,2,0,,,An evolutionarily conserved function of polycomb silences the MHC class I antigen presentation pathway and enables immune evasion in cancer [ChIP-Seq]
GSE129381,LUNG_ICI_cellline_invitro,30,2,2,GSE129381_counts_filtered_anno.txt.gz;GSE129381_quantseq_counts.txt.gz,353K;687K,An evolutionarily conserved function of polycomb silences the MHC class I antigen presentation pathway and enables immune evasion in cancer [RNA-Seq]
GSE129968,LUNG_ICI_cellline_invitro,12,1,1,GSE129968_PDL1.totalnorm.txt.gz,2.4M,EIF5B drives integrated stress response-dependent translation of PD-L1 in lung cancer
GSE133715,LUNG_ICI_cellline_invitro,24,2,0,,,"Transcriptional profiling of HCC515 lung cells with dox-inducible KEAP1 knockdown and/or STK11 re-addition, under different metabolic tstress conditions"
GSE135976,LUNG_ICI_cellline_invitro,4,2,0,,,MET regulates expression of co-stimulatory and co-inhibitory molecules in tumor cells and contributes to suppression of immune cell function
GSE136932,LUNG_ICI_cellline_invitro,24,2,0,,,Effect of Pirfenidone on NSCLC [A549/H1975 0.75 mg/ml Pirf]
GSE136933,LUNG_ICI_cellline_invitro,6,2,0,,,Effect of Pirfenidone on NSCLC  [A549 1.5 mg/ml Pirf 6hrs]
GSE136934,LUNG_ICI_cellline_invitro,8,2,0,,,Effect of Pirfenidone on NSCLC [A549 1.5 mg/ml Pirf 24hrs]
GSE153051,LUNG_ICI_cellline_invitro,2,2,0,,,PD-L1 lncRNA splice promotes lung adenocarcinoma proliferation and metastasis via enhancing c-Myc activity
GSE179934,LUNG_ICI_cellline_invitro,9,3,1,GSE179934_Raw_gene_counts_matrix.txt.gz,2.4M,The immune heterogeneity between pulmonary adenocarcinoma and squamous cell carcinoma: a comprehensive analysis based on lncRNA model
