gene	A006	A015	A021	A027	A028	A033	A037	A062	A063	A066	A068	A072	A074	A100	A101	A102	A103	A104	A110	A111	A112	A117	A120	A124	A126	A131	A134	A138	A143	A144	A148	A150	A153	A156	A157	A158	A159	A162	A163	A165	A168	A169	A177	A182	A183	A185	A186	A187	A188	A190	A191	A192	A193	A194	A195	A196	A197	A198	A199	A200	A201	A202	A203	A204	A205	A206	A207	A208	A209	A210	A211	A212	A213	A214	A215	A216	A217	A218	A219	A220	A221	A222	A232	A233	A234	A239	A240	A241	A243	A247	A249	A250	A252	A255	A258	A259	A260	A261	A262	A263	A264	A265	A266	A267	A268	A269	A270	A271	A272	A273	A274	A275	A276	A277	A278	A279	A280	A281	A282	A283	A284	A285	A306	A307	A310	A315	A316	A320	A322	A323	A375	A377	A379	A380	A381	A425	A426	A428	A430	A432	A433	A434	A483	A486	A488	A490	A492	A493	A496	A499	A500	A503	A504	A508	A509	A510	A511	A512	A514	A517	A519	A521	A522	A524	A530	A532	A534	A537	A538
CLDN10	-0.1631	-1.4471	-0.4759	-1.0266	0.2889	2.2418	1.2436	-0.3472	0.4148	-0.7719	-1.1832	1.5516	-0.4864	-1.4409	1.5057	0.9308	0.423	-0.8741	0.7752	-0.8108	-1.7907	-0.705	-0.8812	0.7468	2.0195	0.775	-0.7706	-0.573	0.7335	2.0669	1.475	-0.0152	-1.7907	2.0367	0.9802	2.0946	1.3774	1.145	1.9197	0.4891	-0.3173	-0.5359	-0.1787	-0.4989	1.5627	1.3509	-0.9082	-1.2899	1.6776	-0.116	1.7558	-0.8787	-0.4127	-0.6713	0.4375	0.4054	1.9551	-0.3125	-1.0486	-0.2134	-0.8906	-1.2988	-1.0103	-0.0344	-0.8073	-1.1531	2.2855	-1.1387	-0.983	1.4818	-0.2134	-0.6449	-0.7503	-0.1349	0.3267	0.0284	-0.2867	0.1893	-1.7907	-0.8291	-0.113	-1.3048	-1.7907	-0.9153	-0.0645	0.4551	1.2345	0.9719	0.2263	1.1678	0.8352	0.8013	-0.1177	-0.1119	-0.2528	1.6756	-0.5669	0.0896	-0.886	1.4309	-0.4242	-0.0259	1.2349	-0.6785	-0.263	0.0218	-0.8502	1.3956	2.1061	-1.7907	1.5691	-0.5041	0.044	-0.7004	0.8057	-0.7991	0.6731	-1.1065	-0.8101	-1.0179	-1.3198	0.1637	1.4916	-1.2008	-0.7648	0.2635	-0.3869	-1.4718	0.6705	0.03	-1.7907	-0.8342	0.6252	0.2065	-0.5785	-0.5386	-0.783	0.9128	-0.4691	-0.6233	-0.7597	-0.8899	-0.5736	-0.5172	1.5992	-0.3996	1.4787	0.8933	0.1435	0.3481	-0.5492	-0.9429	-0.2868	-0.3027	-0.6947	0.0398	-0.2626	-0.7278	0.6943	-0.5234	0.3228	1.1945	0.4476	0.2135	-0.9095	0.4336	-1.0244	0.0021	0.5173
CLDN11	1.0787	-0.3782	0.0914	-0.4193	0.4827	-1.3555	-1.0023	-1.3262	-1.2587	-0.9091	-0.5334	-0.4341	0.1127	0.3789	0.9004	-1.0137	-0.0476	-0.5039	0.4968	0.7639	-0.1259	-0.9077	-1.9519	-0.6367	-1.4299	-2.2372	-1.2391	1.1011	-0.7395	-3.2006	0.349	0.7892	-0.2798	-0.1259	0.4923	-2.1848	-0.0525	1.7548	0.7621	-0.49	0.5518	-0.7528	0.7152	0.2451	-1.3641	-1.0328	-1.7483	-0.1048	1.1487	0.1645	-0.3784	-0.6018	-1.0642	1.5539	-0.9841	0.906	-1.6847	0.0996	0.1811	-0.8849	0.3591	-0.4369	-0.8222	-0.4041	0.8713	-0.6419	0.329	-0.1235	0.5069	-0.0253	1.1433	0.5205	0.1979	0.6322	1.9214	-1.7788	-0.1598	2.1866	-2.0621	1.9643	1.6055	0.7108	-1.9761	-0.3944	0.3232	0.4209	0.0875	0.0253	1.3969	-0.3971	1.3943	-0.6756	1.6182	0.4659	0.6289	-0.9434	-1.6818	-0.9169	-2.8288	-1.311	0.6599	1.0963	-0.1546	0.8903	1.6621	-0.6663	1.0905	-0.0331	-1.6957	1.0446	-0.2949	-1.0198	-0.7791	-0.8565	0.0562	-0.1192	-0.0363	0.8557	-0.4063	0.9512	-0.2825	1.2074	1.2754	-0.3985	-0.5122	-0.0138	-0.1631	0.6218	-0.8615	2.2254	-0.2968	-0.2658	-0.0588	0.7509	-0.0777	0.7907	-0.8674	-0.4658	0.059	1.9331	-0.0544	0.6492	1.0283	-0.2679	0.7161	-0.0083	0.2706	0.2329	0.9098	1.1031	1.0128	-1.4815	-0.0631	0.7165	-0.417	0.2698	-0.1412	-0.8604	0.7042	0.415	-0.3074	0.1939	1.1298	1.6109	0.9703	1.0473	1.443	0.2805	0.5863
CLDN12	-0.7576	-0.6038	-0.5331	-0.6362	1.1902	-0.0417	-0.2891	1.7619	1.015	0.1854	2.1513	-0.0909	-1.5309	0.8959	-0.2966	-0.2949	1.4511	0.3575	-0.7618	0.2197	0.7701	0.6292	0.6598	0.6502	0.3283	1.8655	-0.6874	-0.3081	1.063	2.4097	0.2457	0.7895	-0.8611	1.6003	-0.1371	0.9446	-0.423	-0.0963	0.6983	0.3531	1.5236	-0.6881	1.306	0.6266	-0.7202	2.3769	-0.644	3.0855	-0.1632	0.3743	1.6877	0.4702	0.8005	-0.3081	-0.1445	-0.117	-0.2126	0.9677	0.0957	0.7109	-0.5828	0.06	0.2454	0.2931	0.0255	1.6414	0.8653	-0.2221	-2.7319	1.5134	-0.6571	-0.9287	0.0086	-1.3461	-1.1702	-0.7371	0.0893	-0.8597	0.3066	0.0262	-0.675	-0.5279	0.3224	0.7676	-0.3205	-0.0338	0.1789	-0.8744	-0.8489	-1.0955	0.6526	1.1285	-0.5689	-0.0335	-0.2838	1.7491	0.6502	0.1775	0.5711	0.6934	-1.1005	0.1483	-0.9869	0.0307	-0.8744	0.2961	-0.5702	0.0198	-0.1749	0.6883	1.0401	1.2131	-0.9464	-1.0761	-0.8428	0.459	-0.6859	-1.184	0.0279	-0.8191	-1.5133	1.7768	1.2768	0.5034	0.3742	0.3882	-0.0576	0.0224	0.1108	-0.3839	1.1224	-0.3279	0.0948	-0.25	0.4371	-0.0552	-0.3291	0.2198	0.9097	-0.6088	0.3906	0.3114	-1.228	-1.3391	-0.6297	-0.9324	1.0161	-1.4727	-2.4924	-2.6471	-3.3575	-0.9636	1.7074	-2.8775	0.0152	0.4062	-0.9141	-0.7321	-0.9116	-1.4479	-0.3842	0.5553	-0.8135	-0.5639	-0.7146	-0.6052	-0.5506	0.8956	-0.4748
CLDN14	-1.5435	-0.2968	-1.5435	1.4472	0.0619	-0.5014	0.2522	-0.2226	-0.9812	-0.9646	1.8176	-0.6816	1.0093	-1.5435	1.5828	-0.5385	-0.8551	-1.5435	0.7645	0.4768	1.2971	-0.7745	-1.5435	0.878	-0.8145	-1.5435	-0.8546	-1.5435	1.5503	-0.2132	1.6389	0.1291	0.9091	1.8388	1.0367	-1.5435	0.7987	0.8803	1.8146	-0.5872	0.1062	-0.3427	-0.5844	0.7972	1.0201	0.2505	-0.3657	0.3655	0.8779	0.1167	0.9658	-0.4003	0.8151	0.1303	0.4281	-0.3739	-0.1694	-1.5435	0.1504	-0.0032	1.838	0.9121	-0.9908	-1.5435	-0.1833	0.2651	0.7268	-0.8163	0.3002	0.0676	-0.3518	0.9638	-0.8304	-1.5435	-1.5435	1.102	-1.5435	0.512	-0.1751	-0.2233	-1.5435	-0.8603	-0.666	0.4547	-0.838	-0.1044	1.3518	1.2878	0.1467	2.1279	0.2092	0.8165	-1.5435	0.551	-0.4116	-0.7792	1.5286	0.6391	0.2084	-1.5435	-0.157	-0.406	-0.336	0.0599	-1.5435	-0.9644	-0.8805	-0.5162	0.0455	-0.4238	-0.4111	0.0832	1.0845	-0.8332	1.7107	-0.4726	-0.2365	-1.5435	-1.5435	-0.5114	0.2769	1.2895	1.1306	0.407	0.1415	-1.5435	-0.998	-1.5435	0.3163	-1.5435	0.1227	-0.672	-0.2522	-0.2734	-1.5435	-1.5435	-1.5435	-0.0349	-1.5435	0.5019	1.2262	0.5129	1.1119	1.4648	0.8622	-0.0425	1.0884	1.5983	2.1328	0.3509	0.6894	-0.8206	0.2483	-0.5886	0.6396	0.8194	1.7457	-1.5435	0.0784	0.1446	2.1359	-0.0014	0.2335	0.6191	0.468	0.7358	0.01	-0.4695	1.4277
CLDN15	-0.0868	-2.1812	0.9644	-0.1719	0.3372	-1.6781	-1.6262	-1.0012	0.9445	-0.7715	-0.2686	0.6706	-0.5402	-1.1003	0.8258	-0.1288	-1.6478	-0.1142	0.4545	0.6122	0.9748	-1.0744	-0.0314	0.5598	-1.9788	-0.1674	-0.0266	-0.6583	0.8177	1.2139	0.5115	1.5066	2.4096	-0.2516	-0.0147	-0.8003	0.9569	-0.7986	0.253	-0.4867	-3.6096	0.6633	0.1546	0.6026	-0.9996	-0.4225	-0.2868	-1.2192	-0.06	0.4833	0.3479	-0.448	-1.0018	0.6628	-0.124	-0.7746	-1.2729	-0.9851	-0.0462	-0.5012	0.5745	-0.5055	-1.1307	-1.504	1.0767	-1.0142	-1.2808	-0.0624	1.3	-0.1724	-0.6799	1.609	1.0379	0.9481	0.589	-0.5797	1.0585	0.2758	-0.4114	0.2872	2.3406	1.6862	-1.0699	-0.254	-0.2958	-0.0332	0.3976	0.2661	-0.296	1.1848	-0.7752	-0.7637	0.5757	0.1909	0.0379	0.9503	3.3212	-0.3809	-0.3704	-1.289	-0.3777	0.6398	-0.6703	-0.3668	0.4119	0.4504	0.1184	0.9735	0.6732	-0.0411	0.0174	-0.7051	-0.5523	-1.3791	0.1811	0.184	-0.9029	0.46	-0.28	0.7061	-1.0435	-1.4547	0.3339	0.4127	-1.8	0.3608	-0.8261	-0.5161	0.574	2.6076	-1.0792	-0.6762	2.2486	1.1795	0.0844	0.4812	-0.4346	-1.7619	0.4816	-1.0148	0.5019	0.4966	-0.3725	0.305	0.7525	2.1589	-1.3398	1.4281	2.1335	1.4868	1.1061	-1.0056	0.2668	1.8269	-0.7674	-1.3064	0.7349	-0.2662	-0.4551	0.7023	0.6893	0.007	-0.3134	-0.3753	-0.3606	0.0372	0.5738	-1.1864	0.434
CLDN16	0.9885	1.7302	0.3892	0.7456	1.2934	0.4349	1.7611	1.0801	1.145	0.5108	-1.2563	2.1707	0.6528	0.4324	-0.299	-0.6628	0.6039	-0.3331	-0.5572	0.0068	-0.0584	-1.378	0.5501	2.4858	1.039	3.6556	2.1134	-1.3386	-0.3687	0.4223	-0.3645	-0.5422	0.2888	-0.3503	2.0402	0.2365	1.4542	1.104	0.578	-1.1919	-0.5619	-0.6712	0.6132	1.1789	-0.8178	-0.0547	0.6494	-0.8599	-1.6913	1.7865	0.0541	0.0835	-0.5188	0.0542	-1.744	1.6658	0.2009	-1.3986	0.5441	-0.9918	-0.7494	0.559	0.527	-1.3002	-0.0638	-1.0599	-1.6898	-0.1689	-0.9094	-0.1605	0.3878	-0.9989	-0.6074	-0.6474	-0.2032	-1.5111	-0.4655	0.0514	-0.5084	-0.6429	-1.3309	-0.2354	-2.3083	-0.0575	0.2132	0.2952	-0.8583	0.8662	1.3019	0.1026	0.2182	-0.1646	0.2505	0.1411	-0.5258	0.1686	0.4573	-0.0503	-1.5322	-0.123	-1.2564	-0.4296	-1.7354	-0.602	0.6195	-1.869	0.1032	-0.9747	-0.0738	0.8516	0.9756	1.1545	1.0679	-0.7255	0.2106	1.0854	0.5145	-0.2061	-0.6101	-0.1456	-1.2612	-0.4032	-0.1017	1.068	0.5686	1.8543	0.448	-0.3121	-1.1688	1.4146	-0.0725	0.4556	0.1425	1.867	-0.1328	0.6162	1.2547	-1.1637	1.9626	0.2089	-1.0221	-1.102	-1.6483	-1.6406	-0.0106	-2.3083	0.5093	-0.1752	-1.1156	-0.871	-0.6142	-0.2445	0.2539	-1.5838	0.1444	0.4203	0.0699	-0.4674	0.1388	0.9508	0.4559	-1.3166	1.1328	0.016	-0.9116	-0.7443	0.0738	0.137	0.8738
CLDN17	-0.1425	-0.1425	-0.1425	-0.1425	-0.1425	-0.1425	-0.1425	-0.1425	-0.1425	-0.1425	-0.1425	-0.1425	-0.1425	-0.1425	-0.1425	-0.1425	-0.1425	-0.1425	-0.1425	-0.1425	-0.1425	-0.1425	-0.1425	-0.1425	-0.1425	-0.1425	-0.1425	-0.1425	-0.1425	-0.1425	-0.1425	-0.1425	-0.1425	-0.1425	-0.1425	-0.1425	-0.1425	-0.1425	-0.1425	-0.1425	-0.1425	-0.1425	-0.1425	-0.1425	9.6445	-0.1425	-0.1425	-0.1425	-0.1425	-0.1425	-0.1425	-0.1425	3.6976	-0.1425	-0.1425	-0.1425	-0.1425	-0.1425	-0.1425	3.1963	-0.1425	-0.1425	-0.1425	-0.1425	-0.1425	-0.1425	-0.1425	-0.1425	-0.1425	-0.1425	-0.1425	-0.1425	-0.1425	-0.1425	-0.1425	-0.1425	-0.1425	-0.1425	-0.1425	-0.1425	-0.1425	-0.1425	-0.1425	-0.1425	-0.1425	-0.1425	-0.1425	-0.1425	-0.1425	6.9816	-0.1425	-0.1425	-0.1425	-0.1425	-0.1425	-0.1425	-0.1425	-0.1425	-0.1425	-0.1425	-0.1425	-0.1425	-0.1425	-0.1425	-0.1425	-0.1425	-0.1425	-0.1425	-0.1425	-0.1425	-0.1425	-0.1425	-0.1425	-0.1425	-0.1425	-0.1425	-0.1425	-0.1425	-0.1425	-0.1425	-0.1425	-0.1425	-0.1425	-0.1425	-0.1425	-0.1425	-0.1425	-0.1425	-0.1425	-0.1425	-0.1425	-0.1425	-0.1425	-0.1425	-0.1425	-0.1425	-0.1425	-0.1425	-0.1425	-0.1425	-0.1425	-0.1425	-0.1425	-0.1425	-0.1425	-0.1425	-0.1425	-0.1425	-0.1425	-0.1425	-0.1425	-0.1425	-0.1425	-0.1425	-0.1425	-0.1425	-0.1425	-0.1425	-0.1425	-0.1425	-0.1425	-0.1425	-0.1425	-0.1425	-0.1425	-0.1425	-0.1425	-0.1425	-0.1425
CLDN18	1.1194	0.2498	-1.8982	0.4144	-0.3454	-0.173	0.3182	-2.2193	-1.506	-0.678	-0.7651	1.0954	-1.0464	1.1531	0.592	0.5996	-0.6398	1.2513	-1.5514	0.2501	-1.5917	1.2685	-0.1038	1.0427	0.0422	-1.991	-0.2147	1.4407	-0.1985	-2.1496	0.3722	-0.3179	0.6733	0.0408	-1.849	-0.1264	0.265	0.4659	-1.2425	0.6971	-0.4056	0.8875	-1.4677	1.649	-1.701	-0.0833	-2.5514	0.1334	-0.744	0.4211	-1.3923	0.4228	-1.3795	1.1184	-0.3516	0.538	-1.6757	0.3246	0.6545	-0.8091	-0.1722	1.224	1.192	1.0397	0.6062	0.0566	-1.6176	1.1393	-0.1814	-0.7136	1.2	1.4897	1.2479	1.3057	1.1405	-1.66	0.6706	0.4273	-1.6515	0.4948	1.3665	0.2888	-2.9029	-0.7787	0.2995	0.6949	0.244	1.142	-0.4975	-0.4256	-2.317	-0.1217	1.3175	1.2221	0.7486	-0.3478	-0.8934	-0.6635	-2.0014	-0.0557	0.4337	0.592	0.9516	-1.6267	1.2498	0.3342	1.0237	0.715	-0.8584	0.3444	0.569	0.3963	-1.8037	-0.0939	-0.8654	0.3375	1.4592	0.5959	0.234	1.0424	0.3894	0.3578	-0.2419	-0.3578	0.446	0.9855	0.5359	1.1233	-2.3171	0.2403	0.0726	0.6184	-1.5657	0.8128	-0.2635	0.6525	0.3998	-1.0594	-0.9025	0.6275	-0.3716	0.5205	1.1011	0.4127	-0.3449	-0.1407	0.1504	0.703	-0.3863	-1.7323	0.2945	0.218	0.212	0.97	0.2467	0.0287	0.7159	0.5081	0.529	0.2348	-1.2779	-1.6071	1.0048	-0.0878	1.3388	0.7706	0.2557	0.3569	-0.0971
CLDN19	1.6877	-0.4389	-0.4389	-0.4389	-0.4389	-0.4389	-0.4389	-0.4389	-0.4389	-0.4389	-0.4389	-0.4389	-0.4389	1.1958	-0.4389	-0.4389	-0.4389	-0.4389	-0.4389	-0.4389	-0.4389	-0.4389	6.1286	3.4987	-0.4389	-0.4389	-0.4389	2.1779	-0.4389	4.32	-0.4389	-0.4389	-0.4389	-0.4389	-0.4389	-0.4389	-0.4389	-0.4389	-0.4389	2.5739	-0.4389	-0.4389	-0.4389	-0.4389	0.8816	1.1197	-0.4389	-0.4389	-0.4389	1.8262	-0.4389	-0.4389	-0.4389	-0.4389	-0.4389	1.05	0.631	-0.4389	-0.4389	-0.4389	-0.4389	-0.4389	-0.4389	-0.4389	-0.4389	-0.4389	-0.4389	-0.4389	-0.4389	-0.4389	1.0833	1.9354	-0.4389	-0.4389	2.4015	-0.4389	-0.4389	-0.4389	-0.4389	-0.4389	-0.4389	-0.4389	-0.4389	-0.4389	2.5391	-0.4389	-0.4389	1.4059	1.3248	-0.4389	-0.4389	-0.4389	0.952	-0.4389	-0.4389	-0.4389	-0.4389	-0.4389	-0.4389	-0.4389	-0.4389	-0.4389	-0.4389	-0.4389	2.7981	-0.4389	-0.4389	-0.4389	-0.4389	-0.4389	0.9944	-0.4389	1.0484	-0.4389	-0.4389	-0.4389	-0.4389	-0.4389	1.7173	0.8468	0.9093	-0.4389	-0.4389	-0.4389	0.7614	-0.4389	-0.4389	-0.4389	-0.4389	-0.4389	-0.4389	-0.4389	-0.4389	2.1615	-0.4389	-0.4389	-0.4389	-0.4389	-0.4389	0.8132	-0.4389	-0.4389	1.3421	-0.4389	-0.4389	-0.4389	1.395	-0.4389	-0.4389	-0.4389	-0.4389	-0.4389	-0.4389	1.5162	-0.4389	-0.4389	-0.4389	-0.4389	0.6952	1.5577	-0.4389	-0.4389	0.6883	-0.4389	-0.4389	-0.4389	0.8305	-0.4389	-0.4389
CLDN2	-0.9534	1.4217	-0.4599	-0.8007	0.7766	-1.1194	1.6923	-0.7279	-2.2888	-0.1911	-1.3135	0.8994	-0.7972	1.195	-0.2686	0.8986	-0.2542	0.2811	-0.3358	2.4756	2.0856	-1.8202	0.5591	0.4324	0.954	-1.8593	-0.4688	-1.2265	-1.1972	-0.8023	-1.3962	-0.68	1.6716	-0.2271	-1.0769	-1.0069	0.9371	-0.7812	-0.7544	0.1032	-0.4418	-0.1229	-0.6794	1.0616	-1.3091	0.6457	-0.3017	-0.9584	0.2295	2.1297	-0.7467	-0.9965	-0.3096	-0.2129	-0.2497	0.6012	-1.5309	1.0655	-0.9124	-1.9027	0.9786	2.084	-0.9816	1.8612	1.364	-0.8809	-0.4662	-0.4432	-1.265	-0.839	-0.4798	-0.562	0.4251	-1.0147	-0.58	-1.5408	-1.2232	-0.1632	-1.3414	0.0359	-0.4882	0.4024	-1.7654	-0.4119	0.629	0.1613	0.1581	0.1787	1.1743	-1.0191	-1.3647	-0.1853	-0.2244	-0.284	-0.2894	-0.8024	1.5328	-0.6194	-1.5553	1.2304	-0.0957	1.1266	-0.8701	0.2488	-1.3804	1.2264	-1.1708	-0.9604	0.4126	-0.0553	0.6084	-0.6565	0.3829	1.4192	0.5503	0.474	1.3615	-1.2912	0.7283	-0.3285	2.3027	1.972	-0.7177	0.5486	0.491	-0.0335	0.7542	1.2146	1.3	-0.2247	1.9709	0.0052	-0.0395	-0.62	-0.8524	-0.1143	0.9529	1.3533	0.7354	0.4626	0.6768	0.615	-0.1032	-0.2057	1.0863	1.2465	0.5388	0.105	-0.4033	-0.3807	-0.7806	1.5768	-0.2798	-1.1297	-0.3992	0.0447	1.3299	1.3925	-0.4795	0.2077	-0.2755	0.3615	0.2894	-0.3646	1.0907	-0.7606	2.2363	0.1126	-0.5991
CLDN20	-0.2254	-0.2254	-0.2254	-0.2254	-0.2254	-0.2254	-0.2254	-0.2254	-0.2254	-0.2254	-0.2254	6.3672	-0.2254	-0.2254	-0.2254	-0.2254	-0.2254	-0.2254	-0.2254	-0.2254	-0.2254	-0.2254	-0.2254	-0.2254	-0.2254	-0.2254	-0.2254	-0.2254	-0.2254	-0.2254	-0.2254	-0.2254	-0.2254	-0.2254	-0.2254	-0.2254	-0.2254	-0.2254	-0.2254	-0.2254	-0.2254	-0.2254	-0.2254	-0.2254	-0.2254	-0.2254	-0.2254	-0.2254	-0.2254	-0.2254	-0.2254	-0.2254	-0.2254	-0.2254	-0.2254	-0.2254	-0.2254	2.4565	-0.2254	-0.2254	-0.2254	-0.2254	-0.2254	-0.2254	-0.2254	-0.2254	-0.2254	-0.2254	-0.2254	-0.2254	-0.2254	-0.2254	-0.2254	-0.2254	-0.2254	-0.2254	-0.2254	-0.2254	-0.2254	-0.2254	-0.2254	-0.2254	-0.2254	-0.2254	-0.2254	-0.2254	-0.2254	-0.2254	-0.2254	-0.2254	-0.2254	-0.2254	-0.2254	3.7651	-0.2254	-0.2254	-0.2254	-0.2254	-0.2254	-0.2254	-0.2254	-0.2254	-0.2254	-0.2254	-0.2254	-0.2254	-0.2254	-0.2254	-0.2254	-0.2254	-0.2254	-0.2254	-0.2254	-0.2254	-0.2254	-0.2254	3.8281	-0.2254	-0.2254	-0.2254	-0.2254	-0.2254	-0.2254	-0.2254	5.9398	-0.2254	-0.2254	-0.2254	-0.2254	-0.2254	-0.2254	-0.2254	-0.2254	-0.2254	-0.2254	-0.2254	-0.2254	-0.2254	-0.2254	-0.2254	-0.2254	-0.2254	-0.2254	-0.2254	2.5681	-0.2254	-0.2254	3.5404	4.8339	-0.2254	-0.2254	-0.2254	-0.2254	-0.2254	-0.2254	-0.2254	-0.2254	-0.2254	-0.2254	-0.2254	-0.2254	2.7722	-0.2254	-0.2254	-0.2254	-0.2254	-0.2254	-0.2254	-0.2254
CLDN22	0.8824	-0.9067	1.1519	-0.9067	1.6519	-0.9067	-0.3479	0.5008	-0.9067	0.7215	-0.9067	3.0201	-0.9067	-0.3214	-0.9067	-0.9067	-0.0884	1.5809	1.0888	1.1738	1.073	-0.9067	-0.9067	2.8942	1.1629	1.1119	-0.4018	-0.9067	-0.9067	-0.9067	0.5987	0.5932	-0.9067	0.6404	2.3844	-0.9067	2.0762	2.0094	-0.2841	-0.9067	-0.9067	-0.9067	0.1746	0.4485	-0.1326	-0.9067	-0.2461	-0.9067	-0.9067	-0.9067	-0.9067	-0.9067	1.2469	-0.0876	-0.9067	1.6385	-0.2611	-0.5043	-0.3929	1.0484	-0.9067	0.1453	-0.9067	1.3229	-0.4331	-0.9067	0.0373	-0.3737	-0.9067	-0.9067	1.1835	-0.9067	-0.9067	0.698	-0.4207	0.5281	-0.5084	0.6001	-0.4294	-0.9067	0.0376	-0.9067	-0.9067	-0.3501	0.6161	0.4058	0.2286	0.3744	1.1192	0.9892	1.1061	-0.9067	0.7868	-0.9067	-0.3938	-0.9067	-0.9067	-0.9067	-0.9067	0.0851	-0.9067	-0.9067	-0.3531	-0.9067	1.1042	-0.9067	0.8496	-0.9067	-0.9067	-0.9067	-0.0766	-0.9067	0.3663	0.1651	1.0309	2.0896	-0.9067	-0.1535	-0.9067	-0.4464	0.105	-0.4523	0.8378	-0.9067	0.1876	2.8642	-0.2365	0.3682	0.1943	-0.9067	-0.2873	1.2876	0.9739	2.8602	0.0235	1.1488	-0.2134	-0.9067	-0.9067	1.917	1.3473	-0.9067	-0.9067	-0.9067	-0.9067	0.4559	1.48	-0.0061	-0.9067	0.482	-0.9067	-0.9067	0.8501	-0.2067	-0.4554	-0.9067	0.3201	-0.9067	-0.0216	1.7155	1.5149	1.3842	1.8685	-0.9067	-0.4157	-0.9067	-0.4522	-0.4245	-0.9067
CLDN23	0.4746	-0.5541	-0.5647	0.5616	1.6024	-3.0752	0.575	-1.9703	-2.0534	0.1051	0.0455	1.2254	0.1893	1.1233	0.2946	0.6053	0.757	1.4316	1.1618	-0.0253	-0.1323	0.702	1.5585	0.4569	0.5774	-0.0754	0.5437	-0.7502	0.3173	1.577	-0.0094	-0.6452	1.3362	0.0713	0.9157	0.5815	1.0728	0.8622	1.2772	1.665	-3.0752	0.8957	1.119	-0.2775	0.3237	-0.3495	1.1102	0.5208	-0.5091	-0.251	-0.7267	-0.2911	-0.5563	-0.3702	-1.4261	0.2587	-0.4432	0.1926	0.1579	0.0217	0.0918	1.3471	0.1178	-0.0216	-0.5467	0.0062	0.6417	-0.9664	-1.533	0.0124	0.3129	2.626	1.5466	-3.0752	0.0894	0.2731	0.1404	-1.079	0.627	0.3794	-0.2631	1.4138	1.2497	0.2864	-1.8585	-0.0374	-0.1481	1.3343	0.3642	-0.0042	-0.1151	-0.8869	-0.0329	0.2319	-0.2609	0.6941	1.1516	-0.5196	1.7925	-0.7918	-0.097	-0.4454	0.1312	-0.231	-0.4201	-0.4019	-0.5708	-0.6971	0.5065	-0.8527	-0.1381	0.7076	-1.0677	1.0988	-0.5402	0.7673	1.6443	0.4413	0.512	0.9003	0.2832	0.45	-0.2189	0.9192	1.1941	0.4504	-0.3592	0.6134	-1.5195	1.3299	1.2353	0.849	0.2335	0.555	0.3272	-2.1388	0.3436	0.0398	-3.0752	-1.0708	-1.6571	0.9547	0.0146	-0.0624	-0.6359	-0.9535	-1.0645	-0.807	-3.0752	-0.2324	-1.6114	-0.5255	-0.2748	-0.9855	-1.4793	-0.067	-0.2098	0.8589	-1.5829	-1.1135	-0.0278	-0.5556	-0.5847	-0.3738	-0.2713	-0.1439	0.3571	0.369	-0.6745
CLDN24	-0.2544	-0.2544	-0.2544	-0.2544	-0.2544	-0.2544	-0.2544	-0.2544	-0.2544	-0.2544	-0.2544	-0.2544	-0.2544	-0.2544	-0.2544	-0.2544	-0.2544	-0.2544	-0.2544	-0.2544	-0.2544	-0.2544	-0.2544	-0.2544	-0.2544	-0.2544	-0.2544	-0.2544	-0.2544	-0.2544	-0.2544	-0.2544	-0.2544	6.0233	-0.2544	-0.2544	-0.2544	-0.2544	-0.2544	-0.2544	-0.2544	-0.2544	-0.2544	-0.2544	-0.2544	-0.2544	-0.2544	-0.2544	-0.2544	-0.2544	-0.2544	-0.2544	3.1405	-0.2544	-0.2544	-0.2544	-0.2544	-0.2544	-0.2544	-0.2544	-0.2544	-0.2544	-0.2544	3.8229	-0.2544	-0.2544	-0.2544	-0.2544	-0.2544	-0.2544	-0.2544	-0.2544	-0.2544	-0.2544	-0.2544	-0.2544	-0.2544	-0.2544	2.8835	-0.2544	-0.2544	-0.2544	-0.2544	-0.2544	-0.2544	-0.2544	-0.2544	-0.2544	-0.2544	-0.2544	3.2929	-0.2544	-0.2544	-0.2544	-0.2544	-0.2544	-0.2544	-0.2544	-0.2544	-0.2544	-0.2544	-0.2544	-0.2544	-0.2544	-0.2544	-0.2544	-0.2544	-0.2544	-0.2544	-0.2544	-0.2544	-0.2544	3.246	-0.2544	3.5678	-0.2544	-0.2544	-0.2544	-0.2544	-0.2544	-0.2544	-0.2544	-0.2544	-0.2544	-0.2544	-0.2544	-0.2544	-0.2544	4.4685	-0.2544	-0.2544	-0.2544	-0.2544	-0.2544	-0.2544	-0.2544	-0.2544	-0.2544	-0.2544	-0.2544	-0.2544	-0.2544	-0.2544	-0.2544	-0.2544	-0.2544	-0.2544	-0.2544	-0.2544	-0.2544	-0.2544	-0.2544	-0.2544	-0.2544	-0.2544	-0.2544	-0.2544	-0.2544	-0.2544	-0.2544	4.8501	2.7021	-0.2544	-0.2544	-0.2544	-0.2544	-0.2544	-0.2544	2.1918
