	11LU013	11LU016	11LU022	11LU035	C3L-00001	C3L-00009	C3L-00080	C3L-00083	C3L-00093	C3L-00094	C3L-00095	C3L-00140	C3L-00144	C3L-00263	C3L-00279	C3L-00368	C3L-00412	C3L-00422	C3L-00510	C3L-00604	C3L-00893	C3L-00913	C3L-00973	C3L-01330	C3L-01632	C3L-01682	C3L-01683	C3L-01862	C3L-01889	C3L-01890	C3L-01924	C3L-02219	C3L-02345	C3L-02348	C3L-02350	C3L-02365	C3L-02508	C3L-02549	C3N-00167	C3N-00169	C3N-00175	C3N-00180	C3N-00199	C3N-00203	C3N-00217	C3N-00223	C3N-00293	C3N-00294	C3N-00433	C3N-00546	C3N-00547	C3N-00549	C3N-00550	C3N-00551	C3N-00552	C3N-00556	C3N-00559	C3N-00560	C3N-00572	C3N-00574	C3N-00578	C3N-00579	C3N-00580	C3N-00704	C3N-00737	C3N-00738	C3N-00959	C3N-01016	C3N-01021	C3N-01023	C3N-01024	C3N-01030	C3N-01071	C3N-01072	C3N-01074	C3N-01405	C3N-01410	C3N-01413	C3N-01414	C3N-01415	C3N-01416	C3N-01488	C3N-01489	C3N-01799	C3N-01823	C3N-01842	C3N-02000	C3N-02002	C3N-02003	C3N-02067	C3N-02087	C3N-02089	C3N-02145	C3N-02149	C3N-02155	C3N-02158	C3N-02379	C3N-02380	C3N-02421	C3N-02422	C3N-02423	C3N-02424	C3N-02433	C3N-02529	C3N-02572	C3N-02582	C3N-02586	C3N-02587	C3N-02588	C3N-02729
SHROOM2	9.1222	9.0321	8.7023	8.1822	8.8813	7.8928	8.6915	8.8307	7.6509	10.2117	7.3827	8.7623	9.5417	8.5024	8.1174	9.1121	8.6522	10.1242	9.5918	9.412	9.0719	8.4121	9.9018	10.3517	7.2551	8.9418	7.8822	7.4032	9.4918	7.8787	9.2119	8.4323	8.4817	8.6023	8.4425	8.2826	8.1932	7.8031	9.712	8.9325	8.2009	8.262	9.2819	7.6132	8.892	8.402	9.0172	8.4217	7.3331	7.5331	8.3614	9.7018	8.6522	9.1521	8.7421	7.1643	9.3019	9.1422	9.0422	8.9122	9.9318	9.1023	7.3537	7.5427	9.0416	8.9218	8.2524	9.4113	8.7024	9.032	7.9424	7.2234	6.2289	9.072	8.5725	6.285	9.082	9.3517	9.3318	8.2926	9.4821	7.7727	8.372	8.5419	8.3425	9.3417	9.2819	8.6323	7.8823	8.6326	6.5347	8.105	9.0822	9.4118	9.3121	9.2021	11.4015	9.4418	7.7921	7.6213	8.0224	8.1217	8.6723	7.5333	8.3622	9.382	9.3319	9.5219	9.632	9.1421
STRN	12.0515	11.7416	11.4916	11.3317	11.6718	11.4816	11.8318	9.9915	11.7791	11.9816	11.3117	10.9317	11.7117	11.4716	11.7966	11.2316	11.5016	11.9241	11.8817	11.1116	11.6717	10.8917	11.4116	11.9417	11.0916	11.3217	11.3217	11.3216	11.4717	11.0919	11.1317	11.3616	11.5117	11.2016	11.0816	11.7016	11.2116	11.4816	11.7415	11.4115	11.7118	10.9117	11.5916	12.0516	11.1617	11.5317	11.1066	11.6917	11.4816	11.7116	10.4217	11.5616	11.8116	11.1116	11.0417	11.5516	11.2717	10.9516	10.6417	11.6916	11.2416	11.1916	11.2816	11.7816	11.8718	11.1717	11.8516	11.5219	11.3416	11.3916	11.2617	11.4916	11.3316	11.0617	11.5116	11.9616	11.2816	11.6617	11.4217	11.7716	11.3016	11.1816	11.3517	11.5317	11.4516	11.3317	11.6417	11.6316	11.0217	11.5815	11.4316	11.3041	11.9315	11.3717	12.0915	11.5916	11.3916	11.3417	11.3817	11.0217	11.6016	11.7017	11.3216	11.5016	11.9416	11.7116	11.5416	10.8317	11.3216	11.4216
TBCD	11.7016	11.1216	11.1016	10.8217	11.2218	10.3717	11.8718	11.682	11.1791	12.3616	11.6616	11.3316	11.7617	10.8917	11.1666	11.4016	10.8917	10.7742	12.1117	11.4016	11.1117	9.8918	10.8417	11.5817	11.0516	11.0317	11.3717	10.5317	10.7317	11.2519	11.2516	10.9217	10.8217	12.0716	11.9516	11.7016	10.6517	10.6217	11.5215	11.6115	11.2318	11.7217	10.8317	11.0716	11.7216	11.5017	11.9865	10.9917	11.3816	10.9017	11.7018	10.7117	11.3816	11.3816	11.3516	10.9016	11.2017	11.1716	10.9916	11.1316	11.0016	11.3516	11.5716	11.2217	11.6818	11.6617	10.7117	10.8318	10.8717	11.5116	10.8017	11.5116	10.7717	10.9817	11.6516	11.1416	10.9217	11.3417	11.3617	11.5516	11.0616	11.8616	11.4317	11.7117	11.0316	10.8217	11.1717	11.6616	11.1617	11.1016	11.2416	10.7142	11.6316	10.9717	12.8115	12.0416	11.7715	12.0117	11.3917	10.6217	11.7816	10.8217	11.6116	11.4816	11.3817	11.5116	11.1917	11.1017	11.7415	12.1915
TGFBR1	11.9115	11.9516	11.8316	11.9816	11.6118	12.4416	11.6018	11.3319	12.269	12.0616	11.5716	11.3316	11.3917	11.8116	12.2066	11.6416	11.7716	12.8341	10.9517	11.9716	11.4517	12.3816	12.3416	11.0417	13.8914	11.7917	12.3716	13.7515	11.8916	11.642	11.2017	11.8916	12.2517	11.7016	11.6816	11.0316	12.4115	13.7015	11.1216	12.1915	11.6418	10.9617	11.2816	11.2916	12.9016	11.8217	11.3966	11.3717	12.3616	11.6416	12.1118	11.4416	11.0617	11.2216	12.3216	12.3315	11.5116	11.0216	11.1516	11.9016	12.0316	11.6315	10.9417	11.4316	11.4317	11.9117	11.6516	12.1519	11.8615	11.6816	11.6016	11.7616	10.8116	11.5716	11.2616	11.0417	11.5316	11.7717	11.8417	11.2816	11.8615	11.5116	11.5917	11.5317	11.7116	11.1617	11.8416	11.8616	11.6516	11.4616	12.1316	12.8541	11.7815	11.4717	10.8317	11.6016	11.5115	11.1217	11.9817	11.8117	11.9716	11.6117	11.6016	11.7016	12.1316	11.3916	11.6516	12.1816	10.9816	11.8616
TJP1	11.8715	11.8516	12.3015	12.6016	12.3718	12.6016	12.1318	11.682	12.559	12.5116	12.3216	12.8015	12.3517	13.4915	12.4466	12.5615	13.1315	12.2041	12.0017	12.0616	12.9816	12.1916	12.4716	12.5417	12.8614	12.4817	12.1216	12.7316	12.6816	12.9722	12.5416	11.8016	12.2017	12.4416	12.1915	12.8915	12.9014	13.2615	12.5815	12.3314	12.3518	12.2517	12.3716	13.2815	12.7816	12.2416	13.0465	12.9517	12.0316	12.4716	11.8318	13.0116	12.1316	11.5316	11.9416	12.6015	11.9616	12.3515	12.0115	12.2515	12.0516	12.0215	11.7516	12.0616	11.4217	12.3717	13.1716	13.082	12.3715	12.1316	12.5416	12.2916	12.4114	12.3216	12.8815	12.1016	11.8216	11.7117	12.4717	11.9616	12.2115	12.5016	12.6417	12.2417	12.5515	12.2917	12.1116	12.3116	11.5717	12.4315	11.7216	12.1541	12.0915	11.9816	11.9615	11.4416	12.5914	12.3216	12.8317	13.0018	12.1816	12.1917	11.9816	12.1116	12.7116	12.1716	12.3716	11.9316	11.0616	11.9416
TJP2	11.4916	11.4116	10.9217	11.0817	10.3317	11.2116	10.8517	11.3919	11.5591	12.1116	10.8117	11.1716	11.9617	12.3916	11.2366	12.2815	11.3916	12.0241	12.0317	12.4416	12.0517	11.5816	12.2816	11.2317	11.7415	11.8917	10.9617	11.8216	12.1116	11.432	11.5016	11.3216	11.0317	11.8516	11.9116	11.6916	11.9715	12.7815	10.9716	11.7815	10.5617	11.1817	11.3516	12.1416	11.3017	11.4517	11.3466	11.3717	10.7417	10.8617	11.1917	10.1718	11.3416	10.3317	11.3416	10.8917	11.3916	10.9616	10.8317	11.8116	11.4416	12.4615	11.3516	11.5916	11.5818	11.4817	13.1616	11.4719	11.8915	11.6616	11.2517	11.2216	11.5215	10.8517	11.7016	11.4616	11.5216	11.2417	11.8217	11.0116	11.1016	10.3917	10.5817	10.8917	11.6716	11.2917	11.2617	11.3416	11.0817	11.0216	11.4716	11.0941	11.1616	11.1717	11.6516	11.6916	10.5117	11.5917	11.0217	12.2117	11.6716	10.8317	10.6417	11.4916	11.8516	11.5016	10.7817	11.3217	11.1516	12.0016
TJP3	10.7417	8.8622	8.6823	9.0019	9.3615	8.7722	9.7516	9.7314	8.9397	8.852	9.1819	10.0418	9.5317	9.202	8.8071	10.7817	9.232	9.2044	9.7118	10.5417	10.4517	9.5018	9.232	9.5217	9.792	9.0818	6.8629	10.2318	9.9318	11.2419	10.1418	10.5917	10.3817	10.3417	10.0418	10.4317	9.2822	11.4416	10.4217	9.5521	9.3515	8.272	10.8817	6.9741	9.9218	10.2017	10.4267	10.3317	7.6928	9.9118	10.6417	8.6122	9.6119	10.4017	10.0818	8.9423	9.7818	10.4917	10.0318	10.0218	9.9818	10.5717	9.332	9.6318	8.5214	8.3119	10.9317	9.3213	9.9918	9.6319	10.6017	9.3919	11.5415	10.4117	9.9119	10.3317	9.5719	9.4117	9.9017	10.5017	9.682	10.9117	9.8817	9.7618	9.7419	9.3917	9.6418	10.4017	8.692	9.9119	9.4419	7.3457	9.522	10.4717	9.3521	10.3917	9.0524	10.6517	10.5517	10.0717	9.1819	8.5917	10.4117	9.1921	9.2919	9.9318	12.0016	9.7718	9.9219	10.7717
UBN1	11.8615	11.1216	10.6617	10.9017	11.4118	10.0618	11.2117	11.0618	10.5692	11.0017	10.5717	10.5517	11.4117	10.7717	10.8267	10.9117	10.5517	11.0542	10.7517	11.4116	11.1817	10.6917	11.0717	10.9817	10.1618	11.0217	10.7817	10.6517	10.6017	10.6617	10.7517	11.1416	10.8817	11.1716	10.4017	11.1716	10.2618	10.5217	11.3916	11.0616	11.2318	11.3917	12.1016	10.5917	10.2017	10.5817	11.1066	10.6417	11.0417	11.2716	11.5618	11.7116	11.5516	10.8117	10.6917	11.1516	11.4916	10.7217	10.8017	11.0316	10.8117	11.3516	10.9616	11.0417	10.5017	10.5117	10.6917	10.9718	11.1416	11.1716	11.0717	10.7217	11.1316	11.1816	11.3516	10.4017	10.7817	11.3017	10.4217	11.4116	10.7517	10.8717	10.7517	10.9317	10.7117	11.0317	11.2617	11.1116	10.8217	11.1516	11.1616	11.0641	11.2316	10.6317	11.2316	11.4816	11.3716	11.1717	10.9217	11.9317	11.0617	11.1917	11.0516	11.1316	11.3417	11.5816	11.0017	11.0317	11.6215	11.5116
VAPA	12.3415	11.4716	12.3315	12.5416	12.2518	12.4216	12.8618	10.7118	12.159	12.5516	12.9416	13.8815	11.6317	12.1216	12.0266	11.8816	12.2716	12.1541	12.8817	10.9817	12.5016	12.1916	12.0216	12.6517	13.3214	12.0517	11.6517	12.5516	13.3716	13.0322	12.0416	12.7416	12.5017	12.3816	12.6015	12.2316	12.3115	12.3815	11.5715	12.8414	12.4318	11.2317	12.4716	12.2916	13.3216	11.9916	12.0765	12.1917	11.7116	12.2516	13.0418	11.2316	11.3216	11.9316	11.4816	12.1015	11.8316	12.7715	12.1415	12.1615	11.7616	12.1915	12.7415	12.2416	12.2518	12.9517	12.1816	12.6019	12.0515	12.9416	12.2016	12.2116	12.4014	12.3816	12.7315	11.8416	12.9516	12.6217	12.4317	12.2315	12.0815	11.8816	12.0117	11.8717	13.2915	12.5417	12.2216	12.2016	12.0616	11.7015	11.9316	12.9541	12.4815	13.4216	12.1115	11.5416	12.2315	11.8117	11.9817	12.3717	11.6716	11.8017	11.3816	11.1916	12.1916	12.3516	12.2316	12.4116	12.1815	12.1016
WNK3	6.2371	6.6749	7.9928	6.2939	8.6312	6.5548	10.5517	6.6051	7.8506	8.4522	6.1043	7.5333	6.582	6.9241	8.3573	8.8722	7.6829	9.4344	6.173	6.1958	6.3332	7.3628	7.463	6.7416	6.7168	5.6735	6.6531	6.2851	5.5853	7.5979	6.4142	7.6629	6.3619	8.1626	7.953	6.236	7.0853	6.2861	6.746	6.7765	9.2014	9.2318	9.242	7.3435	9.7618	6.0537	7.8483	6.3516	6.4345	6.3352	9.3716	6.2747	5.9362	5.5691	8.4922	5.8883	8.5222	10.2418	8.4127	7.903	9.0621	10.7417	5.9374	6.4739	11.3517	8.3618	6.9436	8.7709	7.5636	5.4474	5.835	5.8464	10.9116	5.9163	8.7724	5.6569	6.2649	8.2216	5.9325	9.1121	8.8224	6.5443	6.1231	8.7719	6.6147	9.4717	7.6224	9.282	8.872	8.8325	8.8921	5.0921	8.043	9.5918	10.6217	9.322	9.692	8.292	6.8425	7.3012	7.7226	5.9015	6.3856	7.2737	8.3622	7.6831	6.5435	8.782	10.4817	9.0421
WNK4	3.2376	5.6285	6.7447	5.2664	3.6815	5.568	5.6693	3.9792	3.8172	4.3619	3.5179	4.0226	4.6128	4.2977	3.9225	4.0226	5.4979	2.6185	6.0731	3.0017	3.7905	2.4086	3.8202	6.4016	4.3304	5.2641	5.2057	3.8805	5.1765	5.3417	3.236	4.2359	3.3035	3.8246	5.1023	4.3285	2.6012	2.9493	4.4542	3.3474	7.26	3.4719	6.6141	3.7367	4.5904	5.1755	4.1014	6.0515	3.9876	3.5076	4.5861	7.1932	2.8906	3.6115	4.8699	5.2323	4.5808	3.8509	4.0873	4.1036	2.6409	4.5631	4.0634	3.4996	5.0279	4.4643	4.5921	3.3665	3.9289	2.5747	6.0645	4.7419	4.6638	5.0104	3.0409	8.4723	4.0474	4.6609	3.6555	4.8142	4.4435	4.3643	5.8934	5.4343	4.3571	3.1715	4.5882	5.289	3.2988	5.9693	5.11	5.311	5.1236	3.0213	3.3352	5.5194	4.397	6.533	4.9849	3.2429	5.7059	5.5915	6.1064	6.7147	4.7986	5.449	4.7681	3.2539	4.8083	5.38
YBX3	11.1116	10.3817	10.3917	11.1217	10.7017	11.9516	11.3217	11.902	10.6292	11.2217	11.4117	11.6016	11.1117	11.4316	10.4167	10.5517	11.1816	10.4442	10.4017	10.5017	10.1017	12.3216	10.8117	10.1317	11.3215	11.7017	11.0017	10.4417	10.9517	11.1919	10.3617	11.5516	10.9117	10.5117	10.8217	10.4317	10.8816	10.6917	10.4917	10.6317	11.2918	9.3018	10.8117	11.2116	11.2017	10.9117	10.8766	10.9017	10.8217	11.2716	11.3217	8.6422	10.3317	10.7617	11.7016	11.0116	10.0818	10.2618	11.4016	11.1016	11.2516	10.7917	11.4716	10.2917	11.1117	11.7417	10.7917	11.6019	10.6017	11.0417	10.6817	10.7417	10.8416	11.0017	12.1415	10.7317	11.5916	10.2817	11.5317	11.2016	11.0016	10.6317	11.3217	10.6517	11.9616	11.1917	9.9918	10.4117	11.2117	10.5117	10.7617	11.2741	11.0616	11.2817	11.1216	10.4917	9.8619	10.7617	10.5817	11.1117	10.7417	11.3417	10.7617	10.3018	10.4617	9.5719	10.9217	10.4517	9.9819	10.3118
