subset	score	dataset	conditioner	n	rho_unadj	p_unadj	rho_partial	p_partial	attenuation	percent_attenuated
all4	mean	GSE189357	EPCAM	9	-0.4	0.2861051	-0.60323	0.11337438	-0.20323	-50.807499
all4	mean	GSE123902	MUC1	13	-0.20879121	0.49362182	0.048586565	0.88080705	0.25737777	123.27041
all4	mean	GSE131907	MUC1	21	0.081818182	0.72440984	0.13808962	0.56152052	0.056271434	-68.776197
all4	mean	GSE205335	MUC1	22	0.29192547	0.18741679	0.19470885	0.39768101	-0.097216613	33.301861
all4	mean	GSE189357	MUC1	9	-0.4	0.2861051	-0.15212484	0.71913596	0.24787516	61.96879
all4	mean	GSE123902	KRT19	13	-0.20879121	0.49362182	-0.2086168	0.51525533	0.0001744072	0.083531868
all4	mean	GSE131907	KRT19	21	0.081818182	0.72440984	0.18578944	0.43289887	0.10397126	-127.07599
all4	mean	GSE205335	KRT19	22	0.29192547	0.18741679	0.27167212	0.23353834	-0.02025335	6.9378496
all4	mean	GSE189357	KRT19	9	-0.4	0.2861051	-0.23490462	0.57548822	0.16509538	41.273845
author	mean	GSE131907	none	21	0.081818182	0.72440984	0.081818182	0.72440984	0	0
author	mean	GSE205335	none	22	0.29192547	0.18741679	0.29192547	0.18741679	0	0
author	mean	GSE131907	CLDN4	21	0.081818182	0.72440984	0.42167787	0.064051084	0.33985968	-415.38406
author	mean	GSE205335	CLDN4	22	0.29192547	0.18741679	0.40207497	0.070785528	0.1101495	-37.732063
author	mean	GSE131907	CLDN3	21	0.081818182	0.72440984	0.40319038	0.077945696	0.3213722	-392.78824
author	mean	GSE205335	CLDN3	22	0.29192547	0.18741679	0.316954	0.16153421	0.025028536	-8.5736048
author	mean	GSE131907	CLDN7	21	0.081818182	0.72440984	0.28864605	0.21711874	0.20682787	-252.78961
author	mean	GSE205335	CLDN7	22	0.29192547	0.18741679	0.19723038	0.39147654	-0.09469509	32.438105
author	mean	GSE131907	EPCAM	21	0.081818182	0.72440984	0.3056113	0.19007846	0.22379311	-273.52492
author	mean	GSE205335	EPCAM	22	0.29192547	0.18741679	0.33107954	0.14264508	0.039154073	-13.412353
author	mean	GSE131907	MUC1	21	0.081818182	0.72440984	0.13808962	0.56152052	0.056271434	-68.776197
author	mean	GSE205335	MUC1	22	0.29192547	0.18741679	0.19470885	0.39768101	-0.097216613	33.301861
author	mean	GSE131907	KRT19	21	0.081818182	0.72440984	0.18578944	0.43289887	0.10397126	-127.07599
author	mean	GSE205335	KRT19	22	0.29192547	0.18741679	0.27167212	0.23353834	-0.02025335	6.9378496
