dataset	unit_id	unit_type	tissue	n_cells	n_malignant	n_tnk	frac_tnk	malig_def	n_malignant_scored	mal_TACSTD2_pct	mal_TACSTD2_mean	mal_CLDN3_pct	mal_CLDN3_mean	mal_CLDN4_pct	mal_CLDN4_mean	mal_CLDN7_pct	mal_CLDN7_mean	mal_EPCAM_pct	mal_EPCAM_mean	mal_MUC1_pct	mal_MUC1_mean	mal_KRT19_pct	mal_KRT19_mean	mal_KRT8_pct	mal_KRT8_mean	mal_KRT18_pct	mal_KRT18_mean	mal_KRT_mean
GSE189357	TD5	patient	TUMOR	19079	1736	11055	0.57943288	marker_malig	1736	35.080645	0.50967563	21.082949	0.25729037	36.866359	0.53602278	23.041475	0.26458236	31.105991	0.34701809	33.698157	0.50034179	54.896313	0.64508228	43.43318	0.53960482	53.398618	0.66083505	0.61517405
GSE189357	TD6	patient	TUMOR	8999	1211	3392	0.37693077	marker_malig	1211	62.758051	1.4220279	42.113955	0.52049695	63.501239	1.1397018	56.564822	0.80446963	65.152766	1.0774326	64.657308	1.6035221	81.833196	1.512698	61.1891	1.0028477	69.033856	1.3676877	1.2944111
GSE189357	TD7	patient	TUMOR	3507	849	1851	0.52780154	marker_malig	849	34.746761	0.39494612	16.372203	0.1574254	36.631331	0.45111739	23.910483	0.22212076	27.326266	0.24852538	33.68669	0.41362137	60.777385	0.66119033	48.174323	0.5159802	57.714959	0.65487882	0.61068311
GSE189357	TD8	patient	TUMOR	15521	1019	7257	0.46756008	marker_malig	1019	43.375859	0.66429945	26.889107	0.27147402	45.338567	0.68258808	36.506379	0.42143955	41.707556	0.49546674	52.404318	1.4828861	83.807655	1.1428124	51.71737	0.78336886	54.857704	0.90470303	0.94362808
GSE189357	TD9	patient	TUMOR	17573	4889	4345	0.24725431	marker_malig	4889	74.452853	1.1676388	44.221722	0.45326918	78.564124	1.2868212	38.208223	0.36769557	55.655553	0.5939887	66.782573	0.95353853	72.427899	1.0305628	74.330129	1.0529009	84.454899	1.3901462	1.15787
GSE205335	P0031	patient	Lung	6428	319	3824	0.59489732	author_malig	319	60.188088	1.1040167	53.605016	1.0204165	59.247649	1.0321074	51.097179	0.66429722	66.77116	1.1344423	67.711599	1.5218838	77.742947	2.0800233	76.802508	1.8327991	79.310345	1.9238241	1.9455488
GSE205335	P1006	patient	Effusion,Lung	6090	1282	2998	0.49228243	author_malig	1282	79.953198	1.8489514	75.585023	1.6701431	74.180967	1.4544199	73.322933	1.2645423	83.775351	1.8303474	42.901716	0.63672905	87.675507	2.2225657	84.633385	1.9361143	87.675507	2.2382408	2.1323069
GSE205335	P1015	patient	LN	1195	291	473	0.3958159	author_malig	291	47.42268	1.1397956	33.333333	0.63051363	41.580756	1.0137949	37.800687	0.60473677	62.199313	1.4008748	34.707904	0.80565913	88.316151	2.3546774	77.319588	1.6907431	72.164948	1.4800836	1.8418347
GSE205335	P1016	patient	LN,Liver	6924	5336	763	0.11019642	author_malig	5336	13.568216	0.21892851	53.691904	0.65768537	82.646177	1.6930494	21.43928	0.19487004	85.082459	1.352359	34.595202	0.33201085	67.128936	0.9516071	49.11919	0.60055226	45.914543	0.48044733	0.67753556
GSE205335	P1017	patient	LN,Liver	6266	2186	2370	0.37823173	author_malig	2186	69.945105	1.6838526	26.761208	0.46927047	64.31839	1.5546208	40.439158	0.67750274	47.987191	0.79148307	29.551693	0.40219408	92.406221	3.0118605	81.381519	1.8494071	73.78774	1.5114989	2.1242555
GSE205335	P1018	patient	Bronchus	5029	1180	2546	0.50626367	author_malig	1180	68.728814	1.9063417	62.457627	1.5742742	67.033898	2.1044393	72.881356	1.6250436	75.254237	1.7599819	80.169492	2.4095465	90.677966	2.959003	93.559322	3.2060682	92.79661	3.3461215	3.1703975
GSE205335	P1025	patient	LN	1222	980	128	0.10474632	author_malig	980	23.77551	0.30170746	93.979592	2.4489595	92.857143	2.3106944	85.204082	1.4311036	95.204082	2.2546344	38.367347	0.35950726	94.387755	2.2597738	96.632653	2.7314117	96.632653	2.7985165	2.5965673
GSE205335	P1027	patient	LN	4600	1318	2619	0.56934783	author_malig	1318	77.086495	1.8781042	54.400607	1.1125107	78.072838	2.1739978	57.511381	1.1712943	70.257967	1.5427511	55.311077	1.1435435	84.066768	2.3738324	88.163885	2.4166864	88.01214	2.4364552	2.4089913
GSE205335	P1030	patient	LN	861	603	140	0.16260163	author_malig	603	56.55058	1.3220236	71.973466	1.6488508	61.691542	1.4841074	46.932007	0.81852719	45.107794	0.82396208	49.087894	1.0135661	95.854063	2.8336488	86.235489	1.8739908	77.943615	1.4947889	2.0674762
GSE205335	P1037	patient	LN	4983	3671	611	0.1226169	author_malig	3671	71.206756	0.80882577	16.725688	0.13003689	86.052847	1.1972718	41.051485	0.34322078	73.712885	0.79300861	0.46308908	0.0038692101	66.630346	0.84501037	97.739036	1.8529954	99.50967	2.6477141	1.7819066
GSE205335	P1056	patient	LN,Liver	5103	2386	1354	0.26533412	author_malig	2386	71.877619	1.7432708	1.969824	0.021771434	49.706622	0.99668569	31.684828	0.44666733	8.2984074	0.072503073	11.902766	0.16460709	26.948868	0.5269961	84.283319	1.8259423	63.87259	1.034379	1.1291058
GSE205335	P1062	patient	LN	3057	188	1934	0.63264639	author_malig	188	43.617021	1.2877084	39.361702	0.8494103	45.212766	1.3791119	46.808511	1.1055886	42.021277	0.94731341	42.553191	0.84913457	55.851064	1.7616672	55.319149	1.7354874	57.446809	1.6502454	1.7158
GSE205335	P1063	patient	Bronchus,LN	4297	131	3144	0.73167326	author_malig	131	35.877863	0.62559062	29.770992	0.49915631	35.114504	0.69285	33.587786	0.49478802	29.007634	0.41635512	23.664122	0.31758579	37.40458	0.78575799	38.931298	0.78548654	35.877863	0.63997858	0.73707437
GSE205335	P1072	patient	LN	1273	406	586	0.46032993	author_malig	406	68.472906	1.391687	57.635468	1.1195677	58.866995	1.4728426	63.546798	0.95492609	71.674877	1.4589967	20.935961	0.22974675	34.482759	0.65332277	75.615764	1.7882757	78.078818	1.7650751	1.4022245
GSE205335	P1076	patient	LN	6975	849	2089	0.29949821	author_malig	849	56.654888	1.1539716	60.541814	1.3384204	59.363958	1.3062135	57.243816	0.94243516	69.022379	1.6005357	54.416961	1.1577064	83.038869	2.624729	83.156655	2.2445889	81.154299	2.2738722	2.3810634
GSE205335	P1079	patient	LN	1277	543	501	0.39232576	author_malig	543	54.143646	1.0934613	15.469613	0.14776438	51.381215	1.1764318	61.325967	1.2805328	60.405157	1.3027856	72.744015	1.8018322	88.213628	2.3974678	94.290976	2.624784	90.607735	2.5855255	2.5359258
GSE205335	P1084	patient	LN	3534	196	2350	0.66496887	author_malig	196	81.122449	2.3007312	80.612245	2.3485819	86.734694	2.98159	82.653061	2.1203051	85.714286	2.6855967	78.061224	1.9331458	90.816327	3.9171808	91.326531	3.63647	91.836735	3.4627823	3.6721444
GSE205335	P1089	patient	LN	1609	1063	272	0.1690491	author_malig	1063	87.582314	2.4227095	82.126058	1.7680897	87.770461	2.2718277	62.841016	0.94155277	76.763876	1.5427531	78.457197	2.0159866	74.788335	1.4104637	84.101599	1.7179779	84.101599	1.8433383	1.65726
GSE205335	P1090	patient	LN	976	566	247	0.25307377	author_malig	566	70.4947	1.5053766	9.0106007	0.11319062	38.162544	0.74498877	48.409894	0.69265682	61.30742	1.0660269	5.4770318	0.055237359	96.996466	3.370466	88.515901	2.0465912	65.547703	1.1583725	2.1918099
GSE205335	P1115	patient	Liver	4397	3769	271	0.061632932	author_malig	3769	1.4858053	0.022394483	95.462988	1.7258049	88.882993	1.3679335	23.003449	0.20700995	92.570974	1.5241945	30.830459	0.26913597	38.843194	0.36452204	72.353409	0.80488618	81.719289	1.0986768	0.75602835
GSE205335	P1119	patient	LN	2386	1222	621	0.26026823	author_malig	1222	31.914894	0.72680217	25.204583	0.3762205	36.08838	0.86793663	54.255319	1.2648849	51.391162	1.1835737	70.621931	1.8824394	44.271686	1.2080064	68.821604	1.5276024	84.779051	2.3929217	1.7095101
GSE205335	P4001	patient	Lung	2308	27	1801	0.78032929	author_malig	27	44.444444	0.60273311	29.62963	0.34682454	48.148148	0.80669096	37.037037	0.51302406	44.444444	0.64871153	44.444444	1.2113558	51.851852	0.82112562	51.851852	0.8502916	55.555556	0.96344394	0.87828705
GSE131907	BRONCHO_11	sample	mLN	3178	203	809	0.25456262	author_malig	203	69.458128	1.0562433	69.458128	1.1317333	80.788177	1.80596	80.788177	1.411451	86.699507	1.9011808	80.295567	1.9604157	96.059113	2.8802386	92.118227	2.1192253	92.118227	2.0510851	2.350183
GSE131907	BRONCHO_58	sample	tL/B	2813	460	1546	0.54959118	author_malig	460	78.478261	1.7979343	36.73913	0.3546448	72.173913	1.4263533	59.565217	0.7572252	90.434783	2.3203215	74.130435	1.7926344	89.565217	2.5897002	94.565217	2.6430678	96.73913	3.2555886	2.8294522
GSE131907	EBUS_06	sample	tL/B	2303	1186	611	0.26530612	author_malig	1186	78.077572	1.7192006	75.126476	1.5675548	71.163575	1.3552293	70.489039	1.1478279	82.883642	1.7559658	38.195616	0.48489451	90.303541	2.192802	85.413153	1.7978295	88.279933	2.0503332	2.0136549
GSE131907	EBUS_10	sample	mLN	5144	367	1530	0.2974339	author_malig	367	77.929155	1.7169792	62.125341	0.90043729	84.468665	1.9049735	70.572207	1.0895038	89.645777	2.4400849	67.574932	1.19486	97.275204	3.6476787	90.190736	2.3489101	92.098093	2.6717844	2.8894577
GSE131907	EBUS_12	sample	mLN	3115	257	328	0.10529695	author_malig	257	94.163424	3.4289527	87.548638	2.2343763	88.326848	2.3549041	91.828794	2.5502078	94.552529	3.1828477	90.661479	2.6106825	97.276265	4.0829344	96.498054	3.2400456	96.498054	3.5371758	3.6200519
GSE131907	EBUS_13	sample	mLN	3550	376	1150	0.32394366	author_malig	376	0	0	12.5	0.10939462	0.26595745	0.0018434765	19.680851	0.21658327	15.425532	0.14631596	10.904255	0.093255193	0	0	4.787234	0.043933186	3.4574468	0.027480503	0.023804563
GSE131907	EBUS_15	sample	mLN	1105	256	479	0.43348416	author_malig	256	58.59375	1.3513616	41.796875	0.75838212	47.265625	1.1294928	41.015625	0.66956771	76.953125	1.7704068	41.015625	0.91685226	92.96875	2.727595	86.328125	1.9740335	77.734375	1.6713612	2.1243299
GSE131907	EBUS_19	sample	mLN	2112	217	1427	0.67566288	author_malig	217	92.626728	2.4131482	86.635945	1.5014667	94.009217	2.4779035	76.036866	1.0352862	95.391705	2.1579488	93.087558	2.0249197	97.235023	2.7638586	95.391705	2.1348991	95.391705	2.2838533	2.3942037
GSE131907	EBUS_28	sample	tL/B	5182	4640	232	0.044770359	author_malig	4640	85.689655	1.3850456	80.344828	1.1616684	96.336207	2.1979783	68.922414	0.84055081	83.405172	1.2932271	95.344828	2.0693418	97.456897	2.6153051	94.482759	1.984739	94.224138	2.1088861	2.2363101
GSE131907	EBUS_49	sample	tL/B	1775	114	1126	0.6343662	author_malig	114	31.578947	0.70082908	36.842105	0.556745	49.122807	0.95121073	34.210526	0.39540413	61.403509	1.2466098	40.350877	0.84555853	71.929825	1.7646938	90.350877	2.2454554	82.45614	2.0924944	2.0342146
GSE131907	EBUS_51	sample	mLN	3275	1285	1143	0.34900763	author_malig	1285	85.836576	1.5722651	42.023346	0.38271385	85.36965	1.5813289	64.046693	0.65325493	94.63035	2.1113405	91.206226	1.9650276	95.175097	2.253254	96.108949	2.3782762	99.143969	3.0935996	2.5750433
GSE131907	NS_02	sample	mBrain	2313	181	977	0.42239516	author_malig	181	1.1049724	0.011488627	24.861878	0.2364368	58.563536	1.1267277	45.856354	0.52152162	66.850829	1.0470592	71.823204	1.6287701	37.016575	0.39311895	80.662983	1.2947349	76.243094	1.314847	1.0009003
GSE131907	NS_03	sample	mBrain	2990	2713	145	0.048494983	author_malig	2713	63.509031	0.83845681	88.020641	1.6070569	93.144121	2.2649332	88.315518	1.6619688	95.539993	2.3033134	89.237007	1.7685631	99.815702	3.9439219	97.014375	2.5478367	98.599337	3.0284561	3.1734049
GSE131907	NS_04	sample	mBrain	1904	1229	131	0.068802521	author_malig	1229	71.84703	1.1031564	83.889341	1.5671805	89.340928	1.9523516	89.01546	1.882156	92.75834	2.5484602	91.537836	2.4180079	91.293735	2.2343855	96.419854	2.6849093	96.663954	2.9500888	2.6231279
GSE131907	NS_06	sample	mBrain	1070	83	383	0.35794393	author_malig	83	71.084337	1.5272777	43.373494	0.6576507	60.240964	1.4345119	66.26506	1.2893228	69.879518	1.3992244	46.987952	1.1862325	93.975904	2.7945751	75.903614	1.7273805	92.771084	2.2126836	2.2448797
GSE131907	NS_07	sample	mBrain	5730	5108	166	0.028970332	author_malig	5108	73.140172	0.98707125	45.301488	0.48110917	90.407204	1.5931307	53.132341	0.54221812	84.259984	1.3175474	88.214565	1.5395503	85.571652	1.5156901	88.097103	1.4505477	93.735317	1.8654614	1.6105664
GSE131907	NS_12	sample	mBrain	3182	2811	22	0.0069138906	author_malig	2811	67.16471	1.0314058	77.730345	1.4530979	86.339381	1.7288309	82.497332	1.6121729	85.699039	1.8050308	76.698684	1.6743307	91.035219	2.2389196	85.805763	1.7918451	94.912842	2.4239179	2.1515609
GSE131907	NS_13	sample	mBrain	4845	1352	1780	0.36738906	author_malig	1352	61.83432	0.80610718	46.893491	0.56232678	72.411243	0.99594803	49.112426	0.57277571	65.088757	1.0118424	93.121302	1.733375	77.884615	1.4166971	75.073964	1.154431	73.076923	1.2841711	1.2850997
GSE131907	NS_16	sample	mBrain	1317	79	385	0.29233106	author_malig	79	13.924051	0.12715174	25.316456	0.27513645	11.392405	0.10313756	89.873418	1.8258362	67.088608	1.0224065	93.670886	2.9276232	88.607595	2.2210677	97.468354	3.0326453	97.468354	3.1087409	2.7874846
GSE131907	NS_17	sample	mBrain	2409	1112	410	0.1701951	author_malig	1112	70.683453	1.3168199	77.158273	1.6561626	88.219424	2.3008201	77.158273	1.4067853	89.568345	2.3380328	70.323741	1.4079582	93.07554	2.359719	94.874101	2.5325123	93.97482	2.4882153	2.4601489
GSE131907	NS_19	sample	mBrain	3300	755	370	0.11212121	author_malig	755	69.006623	1.0990905	67.549669	0.96878082	67.152318	1.0082935	77.615894	1.2217326	80.13245	1.3505723	74.701987	1.2276445	87.284768	1.7538695	87.417219	1.5942657	85.960265	1.7785694	1.7089016
