library	set	ES	NES
B6AL10-2-RNA	HALLMARK_APICAL_JUNCTION	17789.9847569469	0.9406046605041254
B6AL10-1-RNA	HALLMARK_APICAL_JUNCTION	17585.33235696266	0.9297841340203485
B6AL10-5-RNA	KEGG_TIGHT_JUNCTION	17354.19238927408	0.9175631381169231
B6AL10-4-RNA	KEGG_TIGHT_JUNCTION	17122.955694638174	0.905337027997904
B6AL10-2-RNA	KEGG_TIGHT_JUNCTION	17103.82132692822	0.904325342170756
B6AL10-1-RNA	KEGG_TIGHT_JUNCTION	17082.892318435133	0.9032187688264117
KL47-1-untreated-1-RNA	HALLMARK_INTERFERON_ALPHA_RESPONSE	17045.15078465188	0.9012232717500447
KL155mix-control-2-RNA	GOCC_ADHERENS_JUNCTION	16902.91216527081	0.8937027308321407
KL155mix-control-2-RNA	KEGG_TIGHT_JUNCTION	16840.87000148818	0.8904223936537228
KL47-1-untreated-1-RNA	KEGG_TIGHT_JUNCTION	16840.037475873927	0.8903783757704331
B6AL10-2-RNA	GOCC_ADHERENS_JUNCTION	16822.88838313469	0.8894716568061212
B6AL10-3-RNA	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	16758.05107172081	0.8860435326045736
B6AL10-5-RNA	COMPACT_ISG	16757.222782089397	0.8859997386891656
B6AL10-3-RNA	HALLMARK_INTERFERON_ALPHA_RESPONSE	16736.66122532539	0.8849125935126139
B6AL10-5-RNA	GOCC_ADHERENS_JUNCTION	16692.854271722797	0.8825964012682671
B6AL10-1-RNA	COMPACT_ISG	16662.93959179578	0.8810147311464952
B6AL10-4-RNA	COMPACT_ISG	16622.590761116913	0.8788813792239977
B6AL10-3-RNA	EPITHELIAL_TJ_CORE	16571.85714988074	0.87619895583663
KL47-1-untreated-1-RNA	GOCC_ADHERENS_JUNCTION	16553.493918543318	0.8752280420773503
B6AL10-4-RNA	GOCC_ADHERENS_JUNCTION	16510.704051235305	0.8729656259391604
KLE-RNA	KEGG_TIGHT_JUNCTION	16380.604615722012	0.8660869165392001
B6AL10-5-RNA	GO_BICELLULAR_TIGHT_JUNCTION	16340.806138288826	0.8639826632828839
KLD-RNA	KEGG_TIGHT_JUNCTION	16286.430655405016	0.8611076842811339
B6AL10-2-RNA	COMPACT_ISG	16210.603849264371	0.8570985157393125
KL155mix-control-2-RNA	HALLMARK_INTERFERON_ALPHA_RESPONSE	16202.642048287966	0.8566775537651046
B6AL10-1-RNA	GOCC_ADHERENS_JUNCTION	16188.376116842806	0.8559232753445731
KLC-RNA	HALLMARK_INTERFERON_ALPHA_RESPONSE	16116.547180227637	0.8521254849888
KLE-RNA	HALLMARK_INTERFERON_ALPHA_RESPONSE	16089.287520977196	0.8506841929986702
KL155mix-control-2-RNA	HALLMARK_APICAL_JUNCTION	16087.08667005711	0.8505678280517188
KLC-RNA	KEGG_TIGHT_JUNCTION	16068.733917150494	0.8495974683154462
B6AL10-2-RNA	GO_BICELLULAR_TIGHT_JUNCTION	16062.44530658091	0.849264972448212
B6AL10-3-RNA	KEGG_TIGHT_JUNCTION	16055.483404115126	0.848896877815487
B6AL10-3-RNA	HALLMARK_INTERFERON_GAMMA_RESPONSE	16030.061387497979	0.8475527469667989
B6AL10-4-RNA	GO_BICELLULAR_TIGHT_JUNCTION	15976.878675070562	0.8447408329685059
KLD-RNA	COMPACT_ISG	15973.9101485373	0.8445838789334033
B6AL10-1-RNA	GO_BICELLULAR_TIGHT_JUNCTION	15914.216279976052	0.8414277024813518
KLD-RNA	HALLMARK_INTERFERON_GAMMA_RESPONSE	15886.648032482091	0.839970094595284
KL47-1-untreated-1-RNA	GO_BICELLULAR_TIGHT_JUNCTION	15861.6582903233	0.8386488192675929
KLC-RNA	GOCC_ADHERENS_JUNCTION	15727.721363109558	0.8315672112914168
KL47-1-untreated-1-RNA	HALLMARK_APICAL_JUNCTION	15698.266427877461	0.8300098491164245
B6AL10-3-RNA	HALLMARK_APICAL_JUNCTION	15624.401693467778	0.8261044206193306
B6AL10-3-RNA	GOCC_ADHERENS_JUNCTION	15557.222939669773	0.8225524980194764
KLE-RNA	GOCC_ADHERENS_JUNCTION	15523.73033785119	0.8207816534800696
KL155mix-control-2-RNA	GO_BICELLULAR_TIGHT_JUNCTION	15499.372116479743	0.8194937683662487
KL47-1-untreated-1-RNA	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	15410.18315290286	0.8147781063827166
KLE-RNA	HALLMARK_APICAL_JUNCTION	15325.44311528642	0.8102976711601854
KL47-1-untreated-1-RNA	HALLMARK_INTERFERON_GAMMA_RESPONSE	15216.882165025105	0.804557759790971
KLD-RNA	GOCC_ADHERENS_JUNCTION	15133.724695095734	0.800160999206859
KLE-RNA	GO_BICELLULAR_TIGHT_JUNCTION	14960.831913836042	0.7910196897542535
KLC-RNA	HALLMARK_INTERFERON_GAMMA_RESPONSE	14950.4349042609	0.7904699717081002
KLD-RNA	GO_BICELLULAR_TIGHT_JUNCTION	14932.517041323557	0.7895226057819683
KL155mix-control-2-RNA	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	14882.555182794054	0.7868809870497236
KLC-RNA	HALLMARK_APICAL_JUNCTION	14816.270212842075	0.7833763212217295
KLD-RNA	HALLMARK_APICAL_JUNCTION	14753.787506346867	0.7800726913573276
KLC-RNA	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	14723.685975024167	0.7784811418963655
KL155mix-control-2-RNA	HALLMARK_INTERFERON_GAMMA_RESPONSE	14509.059729780482	0.7671332712095242
KLE-RNA	HALLMARK_INTERFERON_GAMMA_RESPONSE	14356.750734385605	0.7590802822462156
KLC-RNA	GO_BICELLULAR_TIGHT_JUNCTION	14218.705538805476	0.7517814589983671
KLE-RNA	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	13946.448860707544	0.737386511292058
KL47-1-untreated-1-RNA	COMPACT_ISG	13463.745027931112	0.7118646527319816
KLD-RNA	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	13455.90363356394	0.7114500569812048
B6AL10-3-RNA	GO_BICELLULAR_TIGHT_JUNCTION	13378.841313589754	0.707375563477849
B6AL10-3-RNA	COMPACT_ISG	12848.387700376832	0.6793290447435094
KLE-RNA	COMPACT_ISG	12666.060731572423	0.669688924252341
KL155mix-control-2-RNA	COMPACT_ISG	12626.538946415472	0.667599300465814
KLC-RNA	COMPACT_ISG	12391.469105314412	0.6551705215149337
B6AL10-5-RNA	GOCC_GAP_JUNCTION	10861.819468654652	0.5742938036965685
B6AL10-4-RNA	GOCC_GAP_JUNCTION	10624.87440654173	0.5617658767336281
B6AL10-1-RNA	GOCC_GAP_JUNCTION	10211.90711412246	0.5399311778739986
B6AL10-2-RNA	GOCC_GAP_JUNCTION	9910.75311992778	0.5240083508261376
KL155mix-control-2-RNA	GOCC_GAP_JUNCTION	9656.367095096473	0.5105582729428494
KL47-1-untreated-1-RNA	GOCC_GAP_JUNCTION	8253.683524083383	0.4363945947759935
B6AL10-3-RNA	GOCC_GAP_JUNCTION	7512.324609724816	0.39719694174373643
KLC-RNA	GOCC_GAP_JUNCTION	6395.204339818887	0.3381317684693848
KLE-RNA	GOCC_GAP_JUNCTION	4824.740262331074	0.2550970806592946
KLD-RNA	GOCC_GAP_JUNCTION	4225.098267236528	0.22339238484724944
