panel	family	source	n_listed	n_used	n_missing	missing	aliases	genes_used
REACTOME_INTERFERON_ALPHA_BETA_SIGNALING	IFN	MSigDB Reactome 2024.1 mouse	35	34	1	Uba52rt		Abce1,Ifna1,Ifna11,Ifna12,Ifna13,Ifna14,Ifna15,Ifna16,Ifna2,Ifna4,Ifna5,Ifna6,Ifna7,Ifna9,Ifnab,Ifnar1,Ifnar2,Ifnb1,Irf9,Kpna1,Kpnb1,Ptpn1,Ptpn11,Ptpn6,Rnasel,Rps27a,Socs1,Socs3,Stat2,Tyk2,Uba52,Ubb,Ubc,Usp18
REACTOME_INTERFERON_GAMMA_SIGNALING	IFN	MSigDB Reactome 2024.1 mouse	19	19	0			Camk2a,Camk2b,Camk2d,Camk2g,Ifng,Ifngr1,Ifngr2,Jak2,Mapk1,Mapk3,Pias1,Prkcd,Ptpn2,Ptpn6,Raf1,Socs1,Socs3,Sumo1,Ybx1
REACTOME_INTERFERON_SIGNALING	IFN	MSigDB Reactome 2024.1 mouse	138	136	2	Cenps,Uba52rt	Rigi->Ddx58	Abce1,Adar,Arih1,Becn1,Camk2a,Camk2b,Camk2d,Camk2g,Cdk1,Cenpx,Chuk,Dhx9,Dnajc3,Dus2,Eif2ak2,Eif4a1,Eif4a2,Eif4a3,Eif4e,Eif4e2,Eif4e3,Eif4g1,Eif4g2,Eif4g3,Faap100,Faap20,Faap24,Fanca,Fancb,Fancc,Fance,Fancf,Fancg,Fancl,Fancm,Flnb,Hspa1a,Hspa1b,Hspa1l,Hspa2,Hspa8,Ifit1bl2,Ifna1,Ifna11,Ifna12,Ifna13,Ifna14,Ifna15,Ifna16,Ifna2,Ifna4,Ifna5,Ifna6,Ifna7,Ifna9,Ifnab,Ifnar1,Ifnar2,Ifnb1,Ifng,Ifngr1,Ifngr2,Ikbkb,Ikbkg,Ilf2,Ilf3,Irf3,Irf9,Isg15,Jak2,Kpna1,Kpnb1,Map2k6,Mapk1,Mapk3,Mapt,Mavs,Mx2,Nck1,Nedd4,Npm1,Oasl1,Pde12,Pias1,Plcg1,Ppm1b,Ppp2ca,Ppp2cb,Ppp2r1a,Ppp2r1b,Ppp2r5a,Prkcd,Prkra,Ptpn1,Ptpn11,Ptpn2,Ptpn6,Raf1,Ddx58,Rnasel,Rps27a,Snca,Socs1,Socs3,Sphk1,Stat2,Stat3,Sumo1,Tarbp2,Trim25,Trp53,Tuba1a,Tuba1b,Tuba1c,Tuba3a,Tuba3b,Tuba4a,Tuba8,Tubal3,Tubb1,Tubb2a,Tubb2b,Tubb3,Tubb4a,Tubb4b,Tubb6,Tyk2,Uba52,Uba7,Ubb,Ubc,Ube2e1,Ube2l6,Ube2n,Usp18,Ybx1
REACTOME_ANTIVIRAL_MECHANISM_BY_IFN_STIMULATED_GENES	IFN	MSigDB Reactome 2024.1 mouse	92	91	1	Cenps	Rigi->Ddx58	Abce1,Adar,Arih1,Becn1,Cdk1,Cenpx,Chuk,Dhx9,Dnajc3,Dus2,Eif2ak2,Eif4a1,Eif4a2,Eif4a3,Eif4e,Eif4e2,Eif4e3,Eif4g1,Eif4g2,Eif4g3,Faap100,Faap20,Faap24,Fanca,Fancb,Fancc,Fance,Fancf,Fancg,Fancl,Fancm,Flnb,Hspa1a,Hspa1b,Hspa1l,Hspa2,Hspa8,Ifit1bl2,Ikbkb,Ikbkg,Ilf2,Ilf3,Irf3,Isg15,Map2k6,Mapk3,Mapt,Mavs,Mx2,Nck1,Nedd4,Npm1,Oasl1,Pde12,Plcg1,Ppm1b,Ppp2ca,Ppp2cb,Ppp2r1a,Ppp2r1b,Ppp2r5a,Prkra,Ptpn2,Ddx58,Rnasel,Snca,Sphk1,Stat3,Tarbp2,Trim25,Trp53,Tuba1a,Tuba1b,Tuba1c,Tuba3a,Tuba3b,Tuba4a,Tuba8,Tubal3,Tubb1,Tubb2a,Tubb2b,Tubb3,Tubb4a,Tubb4b,Tubb6,Uba7,Ube2e1,Ube2l6,Ube2n,Usp18
REACTOME_ISG15_ANTIVIRAL_MECHANISM	IFN	MSigDB Reactome 2024.1 mouse	28	28	0		Rigi->Ddx58	Arih1,Becn1,Eif2ak2,Eif4a1,Eif4a2,Eif4a3,Eif4e,Eif4e2,Eif4e3,Eif4g1,Eif4g2,Eif4g3,Flnb,Ifit1bl2,Irf3,Isg15,Mapk3,Mx2,Nedd4,Plcg1,Ppm1b,Ddx58,Trim25,Uba7,Ube2e1,Ube2l6,Ube2n,Usp18
REACTOME_OAS_ANTIVIRAL_RESPONSE	IFN	MSigDB Reactome 2024.1 mouse	5	5	0		Rigi->Ddx58	Abce1,Oasl1,Pde12,Ddx58,Rnasel
REACTOME_DDX58_IFIH1_MEDIATED_INDUCTION_OF_INTERFERON_ALPHA_BETA	IFN	MSigDB Reactome 2024.1 mouse	34	33	1	Uba52rt	Rigi->Ddx58	Ager,App,Chuk,Cyld,Ep300,Hmgb1,Hsp90aa1,Hsp90ab1,Ikbkb,Ikbke,Ikbkg,Irf3,Irf7,Mavs,Nfkb1,Nfkb2,Nfkbia,Nfkbib,Nkiras1,Nkiras2,Nlrx1,Pin1,Rela,Ddx58,Rps27a,S100b,Tax1bp1,Tbk1,Tnfaip3,Tomm70a,Uba52,Ubb,Ubc
COMPACT_ISG	IFN	prior public KL vs KP compact ISG	15	15	0			Stat1,Stat2,Irf1,Irf7,Irf9,Isg15,Ifit1,Ifit2,Ifit3,Mx1,Oasl2,Rsad2,Ifih1,Ddx58,Ifnb1
REACTOME_STING_MEDIATED_INDUCTION_OF_HOST_IMMUNE_RESPONSES	STING	MSigDB Reactome 2024.1 mouse	7	7	0		Sting1->Tmem173	Ddx41,Dtx4,Irf3,Nlrp4c,Stat6,Tmem173,Tbk1
REACTOME_NONHOMOLOGOUS_END_JOINING_NHEJ	NHEJ	MSigDB Reactome 2024.1 mouse	66	35	31	H2bc1,H2bc11,H2bc12,H2bc13,H2bc14,H2bc15,H2bc21,H2bc22,H2bc23,H2bc24,H2bc26,H2bc3,H2bc4,H2bc6,H2bc7,H2bc8,H2bc9,H3f4,H4c1,H4c11,H4c12,H4c14,H4c16,H4c17,H4c18,H4c2,H4c3,H4c4,H4c6,H4c8,H4c9	H2ax->H2afx	Abraxas1,Atm,Babam1,Babam2,Bard1,Brca1,Brcc3,Dclre1c,H2afx,Herc2,Kat5,Lig4,Mdc1,Mre11a,Nbn,Nhej1,Nsd2,Paxip1,Pias4,Poll,Polm,Prkdc,Rad50,Rif1,Rnf168,Rnf8,Tdp1,Tdp2,Trp53bp1,Ube2n,Ube2v2,Uimc1,Xrcc4,Xrcc5,Xrcc6
REACTOME_HDR_THROUGH_MMEJ_ALT_NHEJ	NHEJ	MSigDB Reactome 2024.1 mouse	12	12	0			Brca2,Fen1,Lig3,Mre11a,Nbn,Parp1,Parp2,Polq,Rad50,Rad52,Rbbp8,Xrcc1
CORE_NHEJ	NHEJ	enzymatic NHEJ subunits	11	11	0			Xrcc6,Xrcc5,Prkdc,Xrcc4,Lig4,Nhej1,Dclre1c,Paxx,Poll,Polm,Trp53bp1
CORE_CGAS_STING	STING	cGAS-STING core, matrix symbols	6	6	0			Mb21d1,Tmem173,Tbk1,Irf3,Ikbke,Ifnb1
