interaction_name	direction	pathway_name	annotation	ligand	receptor	ligand_genes	receptor_genes	ligand_class	n_q1_detected	n_q4_detected	n_compared	n_q1_gse148071	n_q4_gse148071	n_q1_gse205335	n_q4_gse205335	median_prob_q1	median_prob_q4	delta_median	mwu_u	p	r_rb
APP_CD74	outgoing	APP	Cell-Cell Contact	APP	CD74	APP	CD74	other	12	12	24	6	6	6	6	0.4961851097797282	0.5950408052074717	0.09885569542774353	93.0	0.23658409332187613	0.29166666666666674
HLA-E_CD8A	outgoing	MHC-I	Cell-Cell Contact	HLA-E	CD8A	HLA-E	CD8A	inhibitory	12	5	17	6	2	6	3	0.3400550382314155	0.16759873738129258	-0.1724563008501229	19.0	0.2786037491919845	-0.3666666666666667
HLA-B_CD8A	outgoing	MHC-I	Cell-Cell Contact	HLA-B	CD8A	HLA-B	CD8A	other	12	5	17	6	2	6	3	0.5874681198175555	0.21445431118330102	-0.3730138086342545	20.0	0.3283775048480931	-0.33333333333333337
HLA-DMA_CD4	outgoing	MHC-II	Cell-Cell Contact	HLA-DMA	CD4	HLA-DMA	CD4	other	4	4	8	0	2	4	2	0.20164763581741765	0.015763883558260895	-0.18588375225915676	4.0	0.34285714285714286	-0.5
MIF_CD74_CD44	outgoing	MIF	Secreted Signaling	MIF	CD74_CD44	MIF	CD44|CD74	other	13	11	24	7	5	6	6	0.664492296987188	0.5818579145148857	-0.08263438247230237	55.0	0.3539344599024651	-0.23076923076923073
LAMB1_CD44	outgoing	LAMININ	ECM-Receptor	LAMB1	CD44	LAMB1	CD44	other	6	3	9	3	1	3	2	0.017897404974324217	0.0482599275425016	0.030362522568177383	13.0	0.38095238095238093	0.4444444444444444
HLA-DRA_CD4	outgoing	MHC-II	Cell-Cell Contact	HLA-DRA	CD4	HLA-DRA	CD4	other	4	3	7	0	2	4	1	0.41459486539570894	0.07688727455151295	-0.337707590844196	3.0	0.4	-0.5
HLA-DRB1_CD4	outgoing	MHC-II	Cell-Cell Contact	HLA-DRB1	CD4	HLA-DRB1	CD4	other	4	3	7	0	2	4	1	0.3679289624789132	0.0765030006617864	-0.2914259618171268	3.0	0.4	-0.5
HLA-DPA1_CD4	outgoing	MHC-II	Cell-Cell Contact	HLA-DPA1	CD4	HLA-DPA1	CD4	other	4	3	7	0	2	4	1	0.3076899311731851	0.04163934340697274	-0.2660505877662124	3.0	0.4	-0.5
HLA-DPB1_CD4	outgoing	MHC-II	Cell-Cell Contact	HLA-DPB1	CD4	HLA-DPB1	CD4	other	4	3	7	0	2	4	1	0.26289274437736154	0.03872275578044638	-0.22416998859691517	3.0	0.4	-0.5
HLA-DQB1_CD4	outgoing	MHC-II	Cell-Cell Contact	HLA-DQB1	CD4	HLA-DQB1	CD4	other	4	3	7	0	2	4	1	0.17998432745399864	0.04171632646893436	-0.13826800098506428	3.0	0.4	-0.5
HLA-DQA1_CD4	outgoing	MHC-II	Cell-Cell Contact	HLA-DQA1	CD4	HLA-DQA1	CD4	other	4	3	7	0	2	4	1	0.1099610385921789	0.00564396113296032	-0.10431707745921857	3.0	0.4	-0.5
JAM1_ITGAL_ITGB2	outgoing	JAM	Cell-Cell Contact	F11R	ITGAL_ITGB2	F11R	ITGAL|ITGB2	barrier	9	4	13	3	1	6	3	0.1845379127563379	0.3516962107692996	0.16715829801296167	24.0	0.413986013986014	0.33333333333333326
CDH1_KLRG1	outgoing	CDH1	Cell-Cell Contact	CDH1	KLRG1	CDH1	KLRG1	barrier|inhibitory	6	4	10	1	1	5	3	0.02111978981356455	0.028575931394175583	0.007456141580611034	16.0	0.47619047619047616	0.33333333333333326
NECTIN2_TIGIT	outgoing	NECTIN	Cell-Cell Contact	NECTIN2	TIGIT	NECTIN2	TIGIT	barrier|inhibitory	11	9	20	5	6	6	3	0.0621955712648487	0.11184250407760583	0.04964693281275714	59.0	0.4941245444092638	0.19191919191919182
ITGAV_ITGB1_ADGRE5	outgoing	ADGRE	Cell-Cell Contact	ITGAV_ITGB1	ADGRE5	ITGAV|ITGB1	ADGRE5	other	9	5	14	5	1	4	4	0.1113446483301397	0.0515353913748588	-0.0598092569552809	17.0	0.5184815184815185	-0.24444444444444446
FN1_CD44	outgoing	FN1	ECM-Receptor	FN1	CD44	FN1	CD44	other	5	6	11	3	3	2	3	0.1047998732027765	0.06618076460844301	-0.0386191085943335	11.0	0.5367965367965368	-0.2666666666666667
MIF_CD74_CXCR4	outgoing	MIF	Secreted Signaling	MIF	CD74_CXCR4	MIF	CD74|CXCR4	other	12	11	23	6	5	6	6	0.7405083582885483	0.5522629271423002	-0.18824543114624814	56.0	0.5587598228708937	-0.1515151515151515
PTN_NCL	outgoing	PTN	Secreted Signaling	PTN	NCL	PTN	NCL	other	6	6	12	6	3	0	3	0.4075657864173416	0.25066339930482284	-0.15690238711251875	14.0	0.5887445887445888	-0.2222222222222222
CLEC2B_KLRB1	outgoing	CLEC	Cell-Cell Contact	CLEC2B	KLRB1	CLEC2B	KLRB1	other	9	5	14	4	4	5	1	0.04087734442756724	0.0572696855007779	0.016392341073210658	27.0	0.6063936063936064	0.19999999999999996
LGALS9_CD44	outgoing	GALECTIN	Secreted Signaling	LGALS9	CD44	LGALS9	CD44	inhibitory	7	7	14	1	4	6	3	0.3653450256449405	0.14507317968788083	-0.22027184595705965	20.0	0.6200466200466201	-0.18367346938775508
LAMB3_CD44	outgoing	LAMININ	ECM-Receptor	LAMB3	CD44	LAMB3	CD44	other	12	8	20	6	6	6	2	0.2211423871158739	0.2966295928877133	0.0754872057718394	55.0	0.6238787012780821	0.14583333333333326
LGALS9_CD45	outgoing	GALECTIN	Secreted Signaling	LGALS9	PTPRC	LGALS9	PTPRC	inhibitory	7	6	13	1	4	6	2	0.5081494094271036	0.3597292573362134	-0.1484201520908902	17.0	0.6282051282051282	-0.19047619047619047
HLA-C_CD8A	outgoing	MHC-I	Cell-Cell Contact	HLA-C	CD8A	HLA-C	CD8A	other	12	5	17	6	2	6	3	0.5279708946829611	0.3570723622125314	-0.1708985324704297	25.0	0.6460892049127342	-0.16666666666666663
HLA-F_CD8A	outgoing	MHC-I	Cell-Cell Contact	HLA-F	CD8A	HLA-F	CD8A	inhibitory	11	4	15	5	2	6	2	0.1762995840545115	0.1591626751785914	-0.017136908875920093	18.0	0.6608058608058608	-0.18181818181818177
FN1_ITGA4_ITGB1	outgoing	FN1	ECM-Receptor	FN1	ITGA4_ITGB1	FN1	ITGA4|ITGB1	other	5	6	11	3	3	2	3	0.0574804353230994	0.03320893252755271	-0.024271502795546684	12.0	0.6623376623376623	-0.19999999999999996
PPIA_BSG	outgoing	CypA	Secreted Signaling	PPIA	BSG	PPIA	BSG	other	12	10	22	6	4	6	6	0.5524659168275303	0.5479359347284181	-0.004529982099112262	66.0	0.7168594361961285	0.10000000000000009
HLA-A_CD8A	outgoing	MHC-I	Cell-Cell Contact	HLA-A	CD8A	HLA-A	CD8A	other	12	5	17	6	2	6	3	0.5698468824342071	0.4635543107324388	-0.10629257170176831	26.0	0.7213962508080154	-0.1333333333333333
LAMA5_CD44	outgoing	LAMININ	ECM-Receptor	LAMA5	CD44	LAMA5	CD44	other	7	10	17	2	6	5	4	0.07083417366696106	0.07658503374109285	0.0057508600741317945	31.0	0.7396133278486219	-0.11428571428571432
LGALS9_P4HB	outgoing	GALECTIN	Secreted Signaling	LGALS9	P4HB	LGALS9	P4HB	inhibitory	6	5	11	0	2	6	3	0.1157590790602183	0.06439418565520445	-0.05136489340501385	17.0	0.7922077922077921	0.1333333333333333
COL6A1_CD44	outgoing	COLLAGEN	ECM-Receptor	COL6A1	CD44	COL6A1	CD44	other	6	5	11	3	3	3	2	0.08812436539836555	0.12569382521515488	0.03756945981678933	17.0	0.7922077922077921	0.1333333333333333
COL9A2_CD44	outgoing	COLLAGEN	ECM-Receptor	COL9A2	CD44	COL9A2	CD44	other	3	4	7	1	1	2	3	0.04871695447954925	0.08553194994832905	0.0368149954687798	7.0	0.8571428571428571	0.16666666666666674
HLA-DMB_CD4	outgoing	MHC-II	Cell-Cell Contact	HLA-DMB	CD4	HLA-DMB	CD4	other	4	3	7	0	2	4	1	0.023572375825439897	0.006091030804638365	-0.01748134502080153	5.0	0.8571428571428571	-0.16666666666666663
APP_SORL1	outgoing	APP	Cell-Cell Contact	APP	SORL1	APP	SORL1	other	4	4	8	0	0	4	4	0.21528393988052094	0.20248421056343308	-0.012799729317087866	9.0	0.8857142857142857	0.125
LPAR2_ADGRE5	outgoing	ADGRE	Cell-Cell Contact	LPAR2	ADGRE5	LPAR2	ADGRE5	other	4	6	10	0	1	4	5	0.01834156005885075	0.008535915087459699	-0.009805644971391051	11.0	0.9142857142857143	-0.08333333333333337
CDH1_ITGAE_ITGB7	outgoing	CDH1	Cell-Cell Contact	CDH1	ITGAE_ITGB7	CDH1	ITGAE|ITGB7	barrier|inhibitory	6	4	10	0	0	6	4	0.0651595251258867	0.0593209214958174	-0.0058386036300693	13.0	0.9142857142857143	0.08333333333333326
COL1A1_CD44	outgoing	COLLAGEN	ECM-Receptor	COL1A1	CD44	COL1A1	CD44	other	5	8	13	3	5	2	3	0.06515153037174327	0.07164012452593058	0.006488594154187302	21.0	0.9432789432789432	0.050000000000000044
CD55_ADGRE5	outgoing	ADGRE	Cell-Cell Contact	CD55	ADGRE5	CD55	ADGRE5	other	12	5	17	6	1	6	4	0.05927522408485059	0.0669229127549318	0.0076476886700812055	31.0	0.9592760180995473	0.03333333333333344
LAMC2_CD44	outgoing	LAMININ	ECM-Receptor	LAMC2	CD44	LAMC2	CD44	other	10	7	17	5	6	5	1	0.09260580751820441	0.1261679380338639	0.03356213051565948	34.0	0.9622583299053886	-0.02857142857142858
IGFBP3_TMEM219	outgoing	IGFBP	Secreted Signaling	IGFBP3	TMEM219	IGFBP3	TMEM219	other	10	6	16	6	5	4	1	0.04685669971907193	0.05959284573398228	0.012736146014910354	30.0	1.0	0.0
NECTIN3_TIGIT	outgoing	NECTIN	Cell-Cell Contact	NECTIN3	TIGIT	NECTIN3	TIGIT	barrier	4	3	7	1	1	3	2	0.023041005213332175	0.0279595302456221	0.004918525032289924	6.0	1.0	0.0
PVR_TIGIT	outgoing	PVR	Cell-Cell Contact	PVR	TIGIT	PVR	TIGIT	barrier|inhibitory	4	6	10	1	3	3	3	0.021737052240463094	0.023394510295048028	0.0016574580545849343	12.0	1.0	0.0
