cohort	patient	n_total	n_epithelial	n_mal_high	n_mal_low	n_TNK	n_T	n_CXCL13pos_T	cldn4_median	mean_CLDN4_epithelial	eligible_TNK	eligible_CXCL13T	gate
GSE148071	P22	644	153	76	77	231	178	9	2.4976985454559326	2.254498243331909	True	True	within-patient median CLDN4 log1p(CP10k); CLDN4-only
GSE148071	P23	2387	1466	598	868	32	25	3	0.0	0.7032957077026367	True	False	within-patient median CLDN4 log1p(CP10k); CLDN4-only
GSE148071	P24	386	88	42	46	64	59	5	0.0	1.0395163297653198	True	False	within-patient median CLDN4 log1p(CP10k); CLDN4-only
GSE148071	P25	4029	3212	1606	1606	2	1	0	1.2224781513214111	1.154911756515503	False	False	within-patient median CLDN4 log1p(CP10k); CLDN4-only
GSE148071	P26	570	69	34	35	82	66	0	2.2395665645599365	1.7525181770324707	True	False	within-patient median CLDN4 log1p(CP10k); CLDN4-only
GSE148071	P27	707	34	17	17	87	66	13	0.626962423324585	1.5466817617416382	True	True	within-patient median CLDN4 log1p(CP10k); CLDN4-only
GSE148071	P28	2373	693	346	347	64	57	0	1.904723882675171	1.7190701961517334	True	False	within-patient median CLDN4 log1p(CP10k); CLDN4-only
GSE148071	P29	969	337	168	169	1	0	0	0.9243457913398743	0.8943350315093994	False	False	within-patient median CLDN4 log1p(CP10k); CLDN4-only
GSE148071	P30	742	563	281	282	4	4	2	0.8940805792808533	0.9693586230278015	False	False	within-patient median CLDN4 log1p(CP10k); CLDN4-only
GSE148071	P31	387	339	169	170	4	4	0	1.672812819480896	1.4660685062408447	False	False	within-patient median CLDN4 log1p(CP10k); CLDN4-only
GSE148071	P32	595	381	190	191	79	76	0	2.7925589084625244	2.588397741317749	True	False	within-patient median CLDN4 log1p(CP10k); CLDN4-only
GSE148071	P33	350	311	155	156	0	0	0	2.3640480041503906	2.138610363006592	False	False	within-patient median CLDN4 log1p(CP10k); CLDN4-only
GSE148071	P34	972	428	214	214	14	13	6	1.053239107131958	0.989711582660675	False	False	within-patient median CLDN4 log1p(CP10k); CLDN4-only
GSE148071	P35	1079	673	336	337	15	15	0	0.9544296860694885	0.9373621344566345	True	False	within-patient median CLDN4 log1p(CP10k); CLDN4-only
GSE148071	P36	500	155	67	88	3	3	0	0.0	0.8049286603927612	False	False	within-patient median CLDN4 log1p(CP10k); CLDN4-only
GSE148071	P37	2486	16	1	15	43	30	7	0.0	0.06416956335306168	False	False	within-patient median CLDN4 log1p(CP10k); CLDN4-only
GSE148071	P38	1358	179	89	90	150	98	3	1.689715027809143	1.4660454988479614	True	False	within-patient median CLDN4 log1p(CP10k); CLDN4-only
GSE148071	P39	1896	511	255	256	227	214	12	1.5411001443862915	1.3962640762329102	True	True	within-patient median CLDN4 log1p(CP10k); CLDN4-only
GSE148071	P40	1155	284	142	142	373	289	5	1.7995144128799438	1.7053195238113403	True	False	within-patient median CLDN4 log1p(CP10k); CLDN4-only
GSE148071	P41	6222	5471	2735	2736	3	3	0	1.503844141960144	1.3851574659347534	False	False	within-patient median CLDN4 log1p(CP10k); CLDN4-only
GSE148071	P42	1001	151	14	137	454	419	135	0.0	0.09973248839378357	True	True	within-patient median CLDN4 log1p(CP10k); CLDN4-only
