dataset	analysis	comparison	metric	n	stat	value	p_value	note
GSE205335	spearman_nsclc	malignant TACSTD2 vs T/NK fraction	mal_TACSTD2_mean	12	spearman_rho	-0.0209790209790209	0.9484022252365222	ADC+SQ R+NR
GSE205335	response_recist_nsclc	NR vs R (ADC+SQ only)	mal_CLDN4_mean	4+8	mannwhitney_u	17.0	0.9333333333333332	sensitivity; SCLC/NUT excluded
GSE205335	spearman_nsclc	malignant CLDN4 vs T/NK fraction	mal_CLDN4_mean	12	spearman_rho	-0.0839160839160839	0.7954145018538978	ADC+SQ R+NR
GSE205335	compartment	malignant vs T/NK TACSTD2 (paired patient)	mal_TACSTD2_mean	22	wilcoxon_w	0.0	4.76837158203125e-07	mal med=0.9292; T/NK med=0.0207
GSE131907	compartment_cell	epithelial vs T/NK	TACSTD2_log1p_umi	36467+91227	mannwhitney_u	2891819584.5	0.0	exploratory cell-level; TACSTD2 epi/mal med=1.099 T/NK med=0.000; %pos 74.5 vs 1.6
GSE131907	compartment_cell	malignant vs T/NK	TACSTD2_log1p_umi	24784+91227	mannwhitney_u	1937102774.5	0.0	exploratory cell-level; TACSTD2 epi/mal med=1.099 T/NK med=0.000; %pos 72.1 vs 1.6
GSE131907	compartment_cell	epithelial vs T/NK (tLung)	TACSTD2_log1p_umi	7270+19591	mannwhitney_u	131847047.5	0.0	exploratory cell-level; TACSTD2 epi/mal med=1.792 T/NK med=0.000; %pos 86.0 vs 3.2
GSE131907	compartment_cell	epithelial vs T/NK	CLDN4_log1p_umi	36467+91227	mannwhitney_u	3045919508.5	0.0	exploratory cell-level; CLDN4 epi/mal med=1.609 T/NK med=0.000; %pos 83.6 vs 1.7
GSE131907	compartment_cell	malignant vs T/NK	CLDN4_log1p_umi	24784+91227	mannwhitney_u	2089379553.0	0.0	exploratory cell-level; CLDN4 epi/mal med=1.792 T/NK med=0.000; %pos 85.2 vs 1.7
GSE131907	compartment_cell	epithelial vs T/NK (tLung)	CLDN4_log1p_umi	7270+19591	mannwhitney_u	132010415.0	0.0	exploratory cell-level; CLDN4 epi/mal med=1.609 T/NK med=0.000; %pos 86.2 vs 3.0
GSE131907	spearman_sample	tLung epithelial TACSTD2 vs T/NK fraction	epi_TACSTD2_mean	11	spearman_rho	0.0909090909090909	0.7903727377532903	not ICI-labeled; author annotations; log1p UMI; >=20 epi cells
GSE131907	spearman_sample	tLung epithelial TACSTD2 vs CD8 fraction	epi_TACSTD2_mean	11	spearman_rho	0.3818181818181818	0.2465595757789701	not ICI-labeled; author annotations; log1p UMI; >=20 epi cells
GSE131907	spearman_sample	tLung epithelial TACSTD2 vs B fraction	epi_TACSTD2_mean	11	spearman_rho	0.0272727272727272	0.936558448192612	not ICI-labeled; author annotations; log1p UMI; >=20 epi cells
GSE131907	spearman_sample	tLung epithelial CLDN4 vs T/NK fraction	epi_CLDN4_mean	11	spearman_rho	-0.0454545454545454	0.8944269969053026	not ICI-labeled; author annotations; log1p UMI; >=20 epi cells
GSE131907	spearman_sample	tLung epithelial CLDN4 vs CD8 fraction	epi_CLDN4_mean	11	spearman_rho	0.3363636363636363	0.3118243139003863	not ICI-labeled; author annotations; log1p UMI; >=20 epi cells
GSE131907	spearman_sample	tLung epithelial CLDN4 vs B fraction	epi_CLDN4_mean	11	spearman_rho	0.009090909090909	0.9788365001441937	not ICI-labeled; author annotations; log1p UMI; >=20 epi cells
GSE131907	spearman_sample	tumor_sites epithelial TACSTD2 vs T/NK fraction	epi_TACSTD2_mean	36	spearman_rho	0.168479310471792	0.325979079499522	not ICI-labeled; author annotations; log1p UMI; >=20 epi cells
GSE131907	spearman_sample	tumor_sites epithelial TACSTD2 vs CD8 fraction	epi_TACSTD2_mean	36	spearman_rho	0.2472488582248376	0.1459961038284803	not ICI-labeled; author annotations; log1p UMI; >=20 epi cells
GSE131907	spearman_sample	tumor_sites epithelial TACSTD2 vs B fraction	epi_TACSTD2_mean	36	spearman_rho	-0.0166033850655929	0.9234323922545452	not ICI-labeled; author annotations; log1p UMI; >=20 epi cells
GSE131907	spearman_sample	tumor_sites epithelial CLDN4 vs T/NK fraction	epi_CLDN4_mean	36	spearman_rho	-0.2102960102960103	0.218297133789915	not ICI-labeled; author annotations; log1p UMI; >=20 epi cells
GSE131907	spearman_sample	tumor_sites epithelial CLDN4 vs CD8 fraction	epi_CLDN4_mean	36	spearman_rho	-0.0944658944658944	0.5836780479358336	not ICI-labeled; author annotations; log1p UMI; >=20 epi cells
GSE131907	spearman_sample	tumor_sites epithelial CLDN4 vs B fraction	epi_CLDN4_mean	36	spearman_rho	-0.3003861003861004	0.0750636626165563	not ICI-labeled; author annotations; log1p UMI; >=20 epi cells
GSE131907	spearman_sample	tumor_sites malignant TACSTD2 vs T/NK fraction	mal_TACSTD2_mean	21	spearman_rho	0.0818181818181818	0.7244098408074375	author Malignant cells subtype; mostly mets/PE
GSE131907	spearman_sample	tumor_sites malignant CLDN4 vs T/NK fraction	mal_CLDN4_mean	21	spearman_rho	-0.396103896103896	0.0754763779504724	author Malignant cells subtype; mostly mets/PE
GSE131907	spearman_sample	nLung epithelial TACSTD2 vs T/NK fraction	epi_TACSTD2_mean	11	spearman_rho	-0.2090909090909091	0.5372209352113227	not ICI-labeled; author annotations; log1p UMI; >=20 epi cells
GSE131907	spearman_sample	nLung epithelial TACSTD2 vs CD8 fraction	epi_TACSTD2_mean	11	spearman_rho	0.0727272727272727	0.831716405381337	not ICI-labeled; author annotations; log1p UMI; >=20 epi cells
GSE131907	spearman_sample	nLung epithelial TACSTD2 vs B fraction	epi_TACSTD2_mean	11	spearman_rho	0.6363636363636364	0.0352869812200623	not ICI-labeled; author annotations; log1p UMI; >=20 epi cells
GSE131907	spearman_sample	nLung epithelial CLDN4 vs T/NK fraction	epi_CLDN4_mean	11	spearman_rho	0.2363636363636363	0.4840911622253965	not ICI-labeled; author annotations; log1p UMI; >=20 epi cells
GSE131907	spearman_sample	nLung epithelial CLDN4 vs CD8 fraction	epi_CLDN4_mean	11	spearman_rho	0.4000000000000001	0.22286835013352	not ICI-labeled; author annotations; log1p UMI; >=20 epi cells
GSE131907	spearman_sample	nLung epithelial CLDN4 vs B fraction	epi_CLDN4_mean	11	spearman_rho	0.5	0.1173068030142381	not ICI-labeled; author annotations; log1p UMI; >=20 epi cells
GSE131907	compartment_paired	tumor-site epithelial vs T/NK TACSTD2	epi_TACSTD2_mean	36	wilcoxon_w	1.0	2.703123552440088e-07	mal/epi med=1.348; T/NK med=0.020
