accession	decision	title	n_processed	processed_bytes	geo_matches	rationale	study_url
E-GEOD-43453	exclude_geo_mirror	Silica-mediated airway chronic inflammation promotes lung carcinogenesis through the activation of preneoplastic lesions in the context of an immunosuppressive microenvirontment	16	19727702	E-GEOD-43453;GSE43453	GEO-mirrored series; not an ArrayExpress leftover	https://www.ebi.ac.uk/biostudies/arrayexpress/studies/E-GEOD-43453
E-GEOD-44825	exclude_geo_mirror	Study of the association of DNAhsp65 immunotherapy and conventional drugs in experimental tuberculosis	12	13708073	E-GEOD-44825;GSE44825	GEO-mirrored series; not an ArrayExpress leftover	https://www.ebi.ac.uk/biostudies/arrayexpress/studies/E-GEOD-44825
E-GEOD-46517	exclude_geo_mirror	Human melanoma samples comparing nevi and primary and metastatic melanoma	121	61301548	E-GEOD-46517;GSE46517	GEO-mirrored series; not an ArrayExpress leftover	https://www.ebi.ac.uk/biostudies/arrayexpress/studies/E-GEOD-46517
E-GEOD-48443	exclude_geo_mirror	Knockout mice reveal key roles for claudin-18 in alveolar fluid homeostasis.	7	5661504	E-GEOD-48443;GSE48443	GEO-mirrored series; not an ArrayExpress leftover	https://www.ebi.ac.uk/biostudies/arrayexpress/studies/E-GEOD-48443
E-GEOD-49803	exclude_geo_mirror	Identification of Lgr5-independent spheroid-generating progenitors of the mouse fetal intestinal epithelium	4	2583016	E-GEOD-49803;GSE49803	GEO-mirrored series; not an ArrayExpress leftover	https://www.ebi.ac.uk/biostudies/arrayexpress/studies/E-GEOD-49803
E-GEOD-50927	exclude_geo_mirror	RNAseq on lungs from WT vs claudin 4 KO mice that underwent ventilator-induced lung injury	0	0	E-GEOD-50927;GSE50927	GEO-mirrored series; not an ArrayExpress leftover	https://www.ebi.ac.uk/biostudies/arrayexpress/studies/E-GEOD-50927
E-GEOD-54351	exclude_geo_mirror	Loss of Lkb1 and Pten Leads to Lung Squamous Cell Carcinoma with Elevated Pdl1 Expression: Epithelial Cells	9	6534952	E-GEOD-54351;GSE54351	GEO-mirrored series; not an ArrayExpress leftover	https://www.ebi.ac.uk/biostudies/arrayexpress/studies/E-GEOD-54351
E-GEOD-54352	exclude_geo_mirror	Loss of Lkb1 and Pten Leads to Lung Squamous Cell Carcinoma with Elevated Pdl1 Expression: Stroma Cells	6	4356948	E-GEOD-54352;GSE54352	GEO-mirrored series; not an ArrayExpress leftover	https://www.ebi.ac.uk/biostudies/arrayexpress/studies/E-GEOD-54352
E-GEOD-54353	exclude_geo_mirror	Loss of Lkb1 and Pten Leads to Lung Squamous Cell Carcinoma with Elevated Pdl1 Expression	15	10891900	E-GEOD-54353;GSE54353	GEO-mirrored series; not an ArrayExpress leftover	https://www.ebi.ac.uk/biostudies/arrayexpress/studies/E-GEOD-54353
E-GEOD-54514	exclude_geo_mirror	Whole blood transcriptome of survivors and nonsurvivors of sepsis	163	100772529	E-GEOD-54514;GSE54514	GEO-mirrored series; not an ArrayExpress leftover	https://www.ebi.ac.uk/biostudies/arrayexpress/studies/E-GEOD-54514
E-GEOD-60885	exclude_geo_mirror	Genome-wide DNA methylation identifies trophoblast invasion-related genes: Claudin-4 and Fucosyltransferase IV control mobility via altering matrix metalloproteinase activity	17	197612297	E-GEOD-60885;GSE60885	GEO-mirrored series; not an ArrayExpress leftover	https://www.ebi.ac.uk/biostudies/arrayexpress/studies/E-GEOD-60885
E-GEOD-67070	exclude_geo_mirror	Transcriptome profiling links intrinsic stem cell and proneural properties of basal epithelial cells to human prostate tumorigenesis	0	0	E-GEOD-67070;GSE67070	GEO-mirrored series; not an ArrayExpress leftover	https://www.ebi.ac.uk/biostudies/arrayexpress/studies/E-GEOD-67070
E-GEOD-75748	exclude_geo_mirror	Snapshot and temporal scRNA-seq of progenitor cells to dissect human embryonic stem cells entry into endoderm progenitors	0	0	E-GEOD-75748;GSE64016;GSE75748	GEO-mirrored series; not an ArrayExpress leftover	https://www.ebi.ac.uk/biostudies/arrayexpress/studies/E-GEOD-75748
E-GEOD-76340	exclude_geo_mirror	Gene expression analysis of hematological malignancies and healthy (non-)hematopoietic cell types	166	216566779	E-GEOD-76340;GSE76340	GEO-mirrored series; not an ArrayExpress leftover	https://www.ebi.ac.uk/biostudies/arrayexpress/studies/E-GEOD-76340
E-GEOD-76356	exclude_geo_mirror	DICER controls macrophage polarization and tumor response to immunotherapy	7	21858000	E-GEOD-76356;GSE76356	GEO-mirrored series; not an ArrayExpress leftover	https://www.ebi.ac.uk/biostudies/arrayexpress/studies/E-GEOD-76356
E-GEOD-81089	exclude_geo_mirror	Next Generation Sequencing (RNAseq) of non-small cell lung cancer	0	0	E-GEOD-81089;GSE81089	GEO-mirrored series; not an ArrayExpress leftover	https://www.ebi.ac.uk/biostudies/arrayexpress/studies/E-GEOD-81089
E-GEOD-82071	exclude_geo_mirror	A Basal Stem Cell Signature Identifies Aggressive Prostate Cancer Phenotypes	0	0	E-GEOD-82071;GSE82071	GEO-mirrored series; not an ArrayExpress leftover	https://www.ebi.ac.uk/biostudies/arrayexpress/studies/E-GEOD-82071
E-GEOD-84742	exclude_geo_mirror	Claudin-based barrier differentiation in the colonic epithelial crypt niche involves Hopx/Klf4 and Tcf7l2/Hnf4-alpha cascades	8	12316824	E-GEOD-84742;GSE84742	GEO-mirrored series; not an ArrayExpress leftover	https://www.ebi.ac.uk/biostudies/arrayexpress/studies/E-GEOD-84742
E-GEOD-85131	exclude_geo_mirror	T cell oxygen-sensing proteins establish an immunologically tolerant metastatic niche	0	0	E-GEOD-85131;GSE85131	GEO-mirrored series; not an ArrayExpress leftover	https://www.ebi.ac.uk/biostudies/arrayexpress/studies/E-GEOD-85131
E-MEXP-2115	exclude	RNAi knock down of CDC7 in human IMR90 primary diploid fibroblasts derived from embryonic lung tissue	0	0		query hit failed leftover lung ICI / TACSTD2 / CLDN4 relevance review	https://www.ebi.ac.uk/biostudies/arrayexpress/studies/E-MEXP-2115
E-MTAB-10027	already_covered_exclude	DNA barcoding reveals ongoing immunoediting of clonal cancer populations during metastatic progression and in response to immunotherapy	20	116922959		breast-cancer model; lung is metastatic site	https://www.ebi.ac.uk/biostudies/arrayexpress/studies/E-MTAB-10027
E-MTAB-11377	exclude	Gene expression profiling of Trop2+ cells in mouse Apc-deficient small intestinal hyperplastic epithelium	0	0		Trop2+ mouse intestine; not lung	https://www.ebi.ac.uk/biostudies/arrayexpress/studies/E-MTAB-11377
E-MTAB-11382	exclude	Gene expression profiling of Trop2+ cells in mouse Apc-deficient small intestinal early adenomas	0	0		Trop2+ mouse intestinal adenoma; not lung	https://www.ebi.ac.uk/biostudies/arrayexpress/studies/E-MTAB-11382
E-MTAB-11466	exclude	Gene expression profiling of TROP2+ cells from human CRC (colorectal carcinoma) specimens	16	27495131		TROP2+ human CRC; not lung	https://www.ebi.ac.uk/biostudies/arrayexpress/studies/E-MTAB-11466
E-MTAB-12508	leftover_metadata	scRNA-seq of CD45+ cells isolated from lungs of mice carrying KPneo tumors that received FLT3L and αCD40 (DC-therapy) or rat IgG2a isotype control	0	0		KP lung + FLT3L/aCD40 DC therapy; paper title says refractory to checkpoint inhibitors; no processed files	https://www.ebi.ac.uk/biostudies/arrayexpress/studies/E-MTAB-12508
E-MTAB-12808	exclude	Gene expression profile of NAFLD murine models (Part1 - NGS)	0	0		query hit failed leftover lung ICI / TACSTD2 / CLDN4 relevance review	https://www.ebi.ac.uk/biostudies/arrayexpress/studies/E-MTAB-12808
E-MTAB-13526	leftover_too_large	Single cell RNA-seq atlas of human NSCLC lesions and non-involved tissue	243	10620853255		companion scRNA atlas to skipped E-MTAB-13530; not ICI; annotated h5ads 45–58 GB exceed <2GB rule	https://www.ebi.ac.uk/biostudies/arrayexpress/studies/E-MTAB-13526
E-MTAB-13530	skip_requested	Spatial transcriptomics (10x Visium) of human NSCLC lesions and non-involved tissue	120	939760947		skip_requested: Visium NSCLC atlas, not ICI-labeled; already assigned / hunted elsewhere	https://www.ebi.ac.uk/biostudies/arrayexpress/studies/E-MTAB-13530
E-MTAB-13708	already_covered_exclude	Single cell RNAseq of immune and stromal cells in murine lung cancer	0	0		murine lung cancer vector immunotherapy, not ICI	https://www.ebi.ac.uk/biostudies/arrayexpress/studies/E-MTAB-13708
E-MTAB-13710	leftover_metadata	Transcriptomic profiling of immune and stromal cells from the non small cell lung cancer (NSCLC) environment	0	0		human NSCLC FRC/TLS companion to excluded E-MTAB-13708; no ICI treatment; no processed files	https://www.ebi.ac.uk/biostudies/arrayexpress/studies/E-MTAB-13710
E-MTAB-13770	already_covered_exclude	scRNA-seq of human PBMCs and tumor-infiltrated lymphocytes from melanoma patients analysed prior to checkpoint inhibitor treatment	139	8695978020		melanoma ICI; lung is incidental text	https://www.ebi.ac.uk/biostudies/arrayexpress/studies/E-MTAB-13770
E-MTAB-14030	exclude	scRNA-seq analysis of enriched CD4+ T cells from lung tissues after single or combined AIT treatment strategies with AhR agonist 10-Cl-BBQ in a murine model of OVA-induced allergic airway inflammation (AAI)	22	428148739		allergy immunotherapy (AIT) lung CD4 T cells; not cancer ICI	https://www.ebi.ac.uk/biostudies/arrayexpress/studies/E-MTAB-14030
E-MTAB-14858	exclude	RNA-seq of four glioblastoma (GBM) cell lines treated with irradiation, PARP7i, diABZI alone or in combination with irradiation	0	0		query hit failed leftover lung ICI / TACSTD2 / CLDN4 relevance review	https://www.ebi.ac.uk/biostudies/arrayexpress/studies/E-MTAB-14858
E-MTAB-15782	leftover_duplicate	Transcriptome Profiling of Tumor-Infiltrating Lymphocyte-Mediated Cytotoxicity against Patient-Derived Lung Cancer Organoids	3	20375632		same study as E-MTAB-15784; processed matrix is identical in size to LCP89_CO (co-culture only)	https://www.ebi.ac.uk/biostudies/arrayexpress/studies/E-MTAB-15782
E-MTAB-15784	leftover_analyze	Transcriptome Profiling of Tumor-Infiltrating Lymphocyte-Mediated Cytotoxicity against Patient-Derived Lung Cancer Organoids	42	1145042561		NSCLC patient-derived organoid + autologous TIL co-culture scRNA; processed MTX <2GB; TIL therapy, not ICI	https://www.ebi.ac.uk/biostudies/arrayexpress/studies/E-MTAB-15784
E-MTAB-15883	already_covered_include	Single-cell transcriptome and TCR repertoire of PD-1 fate-mapped immune cells during cyclophosphamide and PD-1 blockade in syngeneic subcutaneous LLC tumor allografts	6	505837273		lung-cancer-model anti-PD-1; processed data	https://www.ebi.ac.uk/biostudies/arrayexpress/studies/E-MTAB-15883
E-MTAB-16433	exclude	Single-cell RNA-sequencing of colorectal cancer PDOX tumors treated with vehicle or the TROP2-targeting antibody-drug conjugate Sacituzumab Govitecan	6	1677416617		TROP2 ADC in CRC PDOX; not lung	https://www.ebi.ac.uk/biostudies/arrayexpress/studies/E-MTAB-16433
E-MTAB-16549	exclude	RNA-seq of two Pancreatic ductal adenocarcinoma (PDAC) cell lines BxPC-3 and PANC-1 treated with 3x8 Gy X-rays without or with the PARP7 inhibitors RBN-2397 and KMR-206	0	0		query hit failed leftover lung ICI / TACSTD2 / CLDN4 relevance review	https://www.ebi.ac.uk/biostudies/arrayexpress/studies/E-MTAB-16549
E-MTAB-16583	exclude	Single-cell RNA-sequencing of primary colorectal cancer tumor tissue and liver metastasis	10	1709685408		CRC primary/liver met scRNA; not lung	https://www.ebi.ac.uk/biostudies/arrayexpress/studies/E-MTAB-16583
E-MTAB-16585	exclude	Single-cell RNA-sequencing of PDOX colorectal tumors	12	5310831498		CRC PDOX scRNA; not lung	https://www.ebi.ac.uk/biostudies/arrayexpress/studies/E-MTAB-16585
E-MTAB-16835	exclude	Single-cell RNA-sequencing of murine colorectal cancer tumors	9	726849992		murine CRC; not lung	https://www.ebi.ac.uk/biostudies/arrayexpress/studies/E-MTAB-16835
E-MTAB-16836	exclude	Timecourse analysis of human colorectal cancer organoids under FOLFIRI chemotherapy	14	3165274301		CRC organoid chemo; not lung	https://www.ebi.ac.uk/biostudies/arrayexpress/studies/E-MTAB-16836
E-MTAB-16843	exclude	Time course analysis of human colorectal cancer organoid treatment with Sacituzumab Govitecan (SG) or untargeted control IgG1-SN-38	6	10569555875		sacituzumab govitecan CRC organoids; not lung	https://www.ebi.ac.uk/biostudies/arrayexpress/studies/E-MTAB-16843
E-MTAB-16849	exclude	Time course analysis of human colorectal cancer liver metastasis models under Sacituzumab Govitecan (SG) treatment or untargeted control	17	49599042204		sacituzumab govitecan CRC liver mets; not lung	https://www.ebi.ac.uk/biostudies/arrayexpress/studies/E-MTAB-16849
E-MTAB-16855	already_covered_exclude	Oncolytic Reovirus mediates innate-driven SARS-CoV-2 elimination in the absence of cell toxicity	7	5256652082		lung epithelial antiviral study; not cancer ICI	https://www.ebi.ac.uk/biostudies/arrayexpress/studies/E-MTAB-16855
E-MTAB-3218	already_covered_exclude	Biopsies from metastatic Clear Cell Renal Carcinoma before or after treatment with nivolumab	0	0		RCC nivolumab biopsies	https://www.ebi.ac.uk/biostudies/arrayexpress/studies/E-MTAB-3218
E-MTAB-3732	already_covered_exclude	A comprehensive human expression map	1	25751784731		generic expression atlas	https://www.ebi.ac.uk/biostudies/arrayexpress/studies/E-MTAB-3732
E-MTAB-6044	exclude	Interleukin-22 immunotherapy modulates pulmonary gene expression evocative of enhanced tissue barrier and reduces bacterial systemic invasion during severe influenza	0	0		IL-22 immunotherapy in bacterial lung infection; not cancer ICI	https://www.ebi.ac.uk/biostudies/arrayexpress/studies/E-MTAB-6044
E-MTAB-8867	already_covered_metadata_only	Comparative cardiac transcriptomics of immune checkpoint inhibitor induced myocarditis	0	0		ICI-myocarditis cohort with 3 NSCLC patients; no processed files	https://www.ebi.ac.uk/biostudies/arrayexpress/studies/E-MTAB-8867
E-MTAB-9451	already_covered_include_context	Single cell RNA sequencing of paired non small cell lung carcinoma tissue and peripheral blood from 5 donors	10	64782729		NSCLC ICOS/Treg profiling motivated by checkpoint response; no ICI-treated samples	https://www.ebi.ac.uk/biostudies/arrayexpress/studies/E-MTAB-9451
