Cancer_type,Cell_Line,sub_clone,Study_ID,GSM_ID,Baseline,cytokines,Cell_treatment,Cell_genotype,SRX_ID,SampleName
Colorectal carcinoma,MC38,clone3,RTM28723893,RTM_C38_clone3_NS_rep1_c07,1,NA,no_treatment,WT,NA,Manguso_C38_clone3_NS_rep1_c07
Colorectal carcinoma,MC38,clone3,RTM28723893,RTM_C38_clone3_NS_rep2_c08,1,NA,no_treatment,WT,NA,Manguso_C38_clone3_NS_rep2_c08
Colorectal carcinoma,MC38,clone3,RTM28723893,RTM_C38_clone3_NS_rep3_c09,1,NA,no_treatment,WT,NA,Manguso_C38_clone3_NS_rep3_c09
Colorectal carcinoma,MC38,clone3,RTM28723893,RTM_C38_clone3_TNF_rep1_d10,0,TNFa,TNFa,WT,NA,Manguso_C38_clone3_TNF_rep1_d10
Colorectal carcinoma,MC38,clone3,RTM28723893,RTM_C38_clone3_TNF_rep2_d11,0,TNFa,TNFa,WT,NA,Manguso_C38_clone3_TNF_rep2_d11
Colorectal carcinoma,MC38,clone3,RTM28723893,RTM_C38_clone3_TNF_rep3_d12,0,TNFa,TNFa,WT,NA,Manguso_C38_clone3_TNF_rep3_d12
Colorectal carcinoma,MC38,clone4,RTM28723893,RTM_C38_clone4_IFNb_rep1_f07,0,IFNb,IFNb,WT,NA,Manguso_C38_clone4_IFNb_rep1_f07
Colorectal carcinoma,MC38,clone4,RTM28723893,RTM_C38_clone4_IFNb_rep2_f08,0,IFNb,IFNb,WT,NA,Manguso_C38_clone4_IFNb_rep2_f08
Colorectal carcinoma,MC38,clone4,RTM28723893,RTM_C38_clone4_IFNb_rep3_f09,0,IFNb,IFNb,WT,NA,Manguso_C38_clone4_IFNb_rep3_f09
Colorectal carcinoma,MC38,clone4,RTM28723893,RTM_C38_clone4_IFNg_rep1_e10,0,IFNg,IFNg,WT,NA,Manguso_C38_clone4_IFNg_rep1_e10
Colorectal carcinoma,MC38,clone4,RTM28723893,RTM_C38_clone4_IFNg_rep2_e11,0,IFNg,IFNg,WT,NA,Manguso_C38_clone4_IFNg_rep2_e11
Colorectal carcinoma,MC38,clone4,RTM28723893,RTM_C38_clone4_IFNg_rep3_e12,0,IFNg,IFNg,WT,NA,Manguso_C38_clone4_IFNg_rep3_e12
Colorectal carcinoma,MC38,clone4,RTM28723893,RTM_C38_clone4_NS_rep1_e07,1,NA,no_treatment,WT,NA,Manguso_C38_clone4_NS_rep1_e07
Colorectal carcinoma,MC38,clone4,RTM28723893,RTM_C38_clone4_NS_rep2_e08,1,NA,no_treatment,WT,NA,Manguso_C38_clone4_NS_rep2_e08
Colorectal carcinoma,MC38,clone4,RTM28723893,RTM_C38_clone4_NS_rep3_e09,1,NA,no_treatment,WT,NA,Manguso_C38_clone4_NS_rep3_e09
Colorectal carcinoma,MC38,clone4,RTM28723893,RTM_C38_clone4_TNF_rep1_f10,0,TNFa,TNFa,WT,NA,Manguso_C38_clone4_TNF_rep1_f10
Colorectal carcinoma,MC38,clone4,RTM28723893,RTM_C38_clone4_TNF_rep2_f11,0,TNFa,TNFa,WT,NA,Manguso_C38_clone4_TNF_rep2_f11
Colorectal carcinoma,MC38,clone4,RTM28723893,RTM_C38_clone4_TNF_rep3_f12,0,TNFa,TNFa,WT,NA,Manguso_C38_clone4_TNF_rep3_f12
Colorectal carcinoma,MC38,clone7,RTM28723893,RTM_C38_clone7_IFNb_rep1_h07,0,IFNb,IFNb,WT,NA,Manguso_C38_clone7_IFNb_rep1_h07
Colorectal carcinoma,MC38,clone7,RTM28723893,RTM_C38_clone7_IFNb_rep2_h08,0,IFNb,IFNb,WT,NA,Manguso_C38_clone7_IFNb_rep2_h08
Colorectal carcinoma,MC38,clone7,RTM28723893,RTM_C38_clone7_IFNb_rep3_h09,0,IFNb,IFNb,WT,NA,Manguso_C38_clone7_IFNb_rep3_h09
Colorectal carcinoma,MC38,clone7,RTM28723893,RTM_C38_clone7_IFNg_rep1_g10,0,IFNg,IFNg,WT,NA,Manguso_C38_clone7_IFNg_rep1_g10
Colorectal carcinoma,MC38,clone7,RTM28723893,RTM_C38_clone7_IFNg_rep2_g11,0,IFNg,IFNg,WT,NA,Manguso_C38_clone7_IFNg_rep2_g11
Colorectal carcinoma,MC38,clone7,RTM28723893,RTM_C38_clone7_IFNg_rep3_g12,0,IFNg,IFNg,WT,NA,Manguso_C38_clone7_IFNg_rep3_g12
Colorectal carcinoma,MC38,clone7,RTM28723893,RTM_C38_clone7_NS_rep1_g07,1,NA,no_treatment,WT,NA,Manguso_C38_clone7_NS_rep1_g07
Colorectal carcinoma,MC38,clone7,RTM28723893,RTM_C38_clone7_NS_rep2_g08,1,NA,no_treatment,WT,NA,Manguso_C38_clone7_NS_rep2_g08
Colorectal carcinoma,MC38,clone7,RTM28723893,RTM_C38_clone7_NS_rep3_g09,1,NA,no_treatment,WT,NA,Manguso_C38_clone7_NS_rep3_g09
Colorectal carcinoma,MC38,clone7,RTM28723893,RTM_C38_clone7_TNF_rep1_h10,0,TNFa,TNFa,WT,NA,Manguso_C38_clone7_TNF_rep1_h10
Colorectal carcinoma,MC38,clone7,RTM28723893,RTM_C38_clone7_TNF_rep2_h11,0,TNFa,TNFa,WT,NA,Manguso_C38_clone7_TNF_rep2_h11
Colorectal carcinoma,MC38,clone7,RTM28723893,RTM_C38_clone7_TNF_rep3_h12,0,TNFa,TNFa,WT,NA,Manguso_C38_clone7_TNF_rep3_h12
Colorectal carcinoma,MC38,parental,RTM28723893,RTM_C38_parental_IFNb_rep1_b07,0,IFNb,IFNb,WT,NA,Manguso_C38_parental_IFNb_rep1_b07
Colorectal carcinoma,MC38,parental,RTM28723893,RTM_C38_parental_IFNb_rep2_b08,0,IFNb,IFNb,WT,NA,Manguso_C38_parental_IFNb_rep2_b08
Colorectal carcinoma,MC38,parental,RTM28723893,RTM_C38_parental_IFNb_rep3_b09,0,IFNb,IFNb,WT,NA,Manguso_C38_parental_IFNb_rep3_b09
Colorectal carcinoma,MC38,parental,RTM28723893,RTM_C38_parental_IFNg_rep1_a10,0,IFNg,IFNg,WT,NA,Manguso_C38_parental_IFNg_rep1_a10
Colorectal carcinoma,MC38,parental,RTM28723893,RTM_C38_parental_IFNg_rep2_a11,0,IFNg,IFNg,WT,NA,Manguso_C38_parental_IFNg_rep2_a11
Colorectal carcinoma,MC38,parental,RTM28723893,RTM_C38_parental_IFNg_rep3_a12,0,IFNg,IFNg,WT,NA,Manguso_C38_parental_IFNg_rep3_a12
Colorectal carcinoma,MC38,parental,RTM28723893,RTM_C38_parental_NS_rep1_a07,1,NA,no_treatment,WT,NA,Manguso_C38_parental_NS_rep1_a07
Colorectal carcinoma,MC38,parental,RTM28723893,RTM_C38_parental_NS_rep2_a08,1,NA,no_treatment,WT,NA,Manguso_C38_parental_NS_rep2_a08
Colorectal carcinoma,MC38,parental,RTM28723893,RTM_C38_parental_NS_rep3_a09,1,NA,no_treatment,WT,NA,Manguso_C38_parental_NS_rep3_a09
Colorectal carcinoma,MC38,parental,RTM28723893,RTM_C38_parental_TNF_rep1_b10,0,TNFa,TNFa,WT,NA,Manguso_C38_parental_TNF_rep1_b10
Colorectal carcinoma,MC38,parental,RTM28723893,RTM_C38_parental_TNF_rep2_b11,0,TNFa,TNFa,WT,NA,Manguso_C38_parental_TNF_rep2_b11
Colorectal carcinoma,MC38,parental,RTM28723893,RTM_C38_parental_TNF_rep3_b12,0,TNFa,TNFa,WT,NA,Manguso_C38_parental_TNF_rep3_b12
Colorectal carcinoma,CT26,parental,RTM28723893,RTM_CT26_IFNb_rep1,0,IFNb,IFNb,WT,NA,Manguso_CT26_IFNb_rep1
Colorectal carcinoma,CT26,parental,RTM28723893,RTM_CT26_IFNb_rep2,0,IFNb,IFNb,WT,NA,Manguso_CT26_IFNb_rep2
Colorectal carcinoma,CT26,parental,RTM28723893,RTM_CT26_IFNb_rep3,0,IFNb,IFNb,WT,NA,Manguso_CT26_IFNb_rep3
Colorectal carcinoma,CT26,parental,RTM28723893,RTM_CT26_IFNg_rep1,0,IFNg,IFNg,WT,NA,Manguso_CT26_IFNg_rep1
Colorectal carcinoma,CT26,parental,RTM28723893,RTM_CT26_IFNg_rep2,0,IFNg,IFNg,WT,NA,Manguso_CT26_IFNg_rep2
Colorectal carcinoma,CT26,parental,RTM28723893,RTM_CT26_IFNg_rep3,0,IFNg,IFNg,WT,NA,Manguso_CT26_IFNg_rep3
Colorectal carcinoma,CT26,parental,RTM28723893,RTM_CT26_nostim_rep1,1,NA,no_treatment,WT,NA,Manguso_CT26_nostim_rep1
Colorectal carcinoma,CT26,parental,RTM28723893,RTM_CT26_nostim_rep2,1,NA,no_treatment,WT,NA,Manguso_CT26_nostim_rep2
Colorectal carcinoma,CT26,parental,RTM28723893,RTM_CT26_nostim_rep3,1,NA,no_treatment,WT,NA,Manguso_CT26_nostim_rep3
Colorectal carcinoma,CT26,parental,RTM28723893,RTM_CT26_TNFa_rep1,0,TNFa,TNFa,WT,NA,Manguso_CT26_TNFa_rep1
Colorectal carcinoma,CT26,parental,RTM28723893,RTM_CT26_TNFa_rep2,0,TNFa,TNFa,WT,NA,Manguso_CT26_TNFa_rep2
Colorectal carcinoma,CT26,parental,RTM28723893,RTM_CT26_TNFa_rep3,0,TNFa,TNFa,WT,NA,Manguso_CT26_TNFa_rep3
Pancreatic ductal adenocarcinoma,KPC,parental,RTM28723893,RTM_KPC_IFNb_rep1,0,IFNb,IFNb,WT,NA,Manguso_KPC_IFNb_rep1
Pancreatic ductal adenocarcinoma,KPC,parental,RTM28723893,RTM_KPC_IFNb_rep2,0,IFNb,IFNb,WT,NA,Manguso_KPC_IFNb_rep2
Pancreatic ductal adenocarcinoma,KPC,parental,RTM28723893,RTM_KPC_IFNb_rep3,0,IFNb,IFNb,WT,NA,Manguso_KPC_IFNb_rep3
Pancreatic ductal adenocarcinoma,KPC,parental,RTM28723893,RTM_KPC_IFNg_rep1,0,IFNg,IFNg,WT,NA,Manguso_KPC_IFNg_rep1
Pancreatic ductal adenocarcinoma,KPC,parental,RTM28723893,RTM_KPC_IFNg_rep2,0,IFNg,IFNg,WT,NA,Manguso_KPC_IFNg_rep2
Pancreatic ductal adenocarcinoma,KPC,parental,RTM28723893,RTM_KPC_IFNg_rep3,0,IFNg,IFNg,WT,NA,Manguso_KPC_IFNg_rep3
Pancreatic ductal adenocarcinoma,KPC,parental,RTM28723893,RTM_KPC_nostim_rep1,1,NA,no_treatment,WT,NA,Manguso_KPC_nostim_rep1
Pancreatic ductal adenocarcinoma,KPC,parental,RTM28723893,RTM_KPC_nostim_rep2,1,NA,no_treatment,WT,NA,Manguso_KPC_nostim_rep2
Pancreatic ductal adenocarcinoma,KPC,parental,RTM28723893,RTM_KPC_nostim_rep3,1,NA,no_treatment,WT,NA,Manguso_KPC_nostim_rep3
Pancreatic ductal adenocarcinoma,KPC,parental,RTM28723893,RTM_KPC_TNFa_rep1,0,TNFa,TNFa,WT,NA,Manguso_KPC_TNFa_rep1
Pancreatic ductal adenocarcinoma,KPC,parental,RTM28723893,RTM_KPC_TNFa_rep2,0,TNFa,TNFa,WT,NA,Manguso_KPC_TNFa_rep2
Pancreatic ductal adenocarcinoma,KPC,parental,RTM28723893,RTM_KPC_TNFa_rep3,0,TNFa,TNFa,WT,NA,Manguso_KPC_TNFa_rep3
Lung carcinoma,LLC,clone7,RTM28723893,RTM_LLC_clone7_IFNb_rep1_f01,0,IFNb,IFNb,WT,NA,Manguso_LLC_clone7_IFNb_rep1_f01
Lung carcinoma,LLC,clone7,RTM28723893,RTM_LLC_clone7_IFNb_rep2_f02,0,IFNb,IFNb,WT,NA,Manguso_LLC_clone7_IFNb_rep2_f02
Lung carcinoma,LLC,clone7,RTM28723893,RTM_LLC_clone7_IFNb_rep3_f03,0,IFNb,IFNb,WT,NA,Manguso_LLC_clone7_IFNb_rep3_f03
Lung carcinoma,LLC,clone7,RTM28723893,RTM_LLC_clone7_IFNg_rep1_b04,0,IFNg,IFNg,WT,NA,Manguso_LLC_clone7_IFNg_rep1_b04
Lung carcinoma,LLC,clone7,RTM28723893,RTM_LLC_clone7_IFNg_rep2_b05,0,IFNg,IFNg,WT,NA,Manguso_LLC_clone7_IFNg_rep2_b05
Lung carcinoma,LLC,clone7,RTM28723893,RTM_LLC_clone7_IFNg_rep3_b06,0,IFNg,IFNg,WT,NA,Manguso_LLC_clone7_IFNg_rep3_b06
Lung carcinoma,LLC,clone7,RTM28723893,RTM_LLC_clone7_NS_rep1_b01,1,NA,no_treatment,WT,NA,Manguso_LLC_clone7_NS_rep1_b01
Lung carcinoma,LLC,clone7,RTM28723893,RTM_LLC_clone7_NS_rep2_b02,1,NA,no_treatment,WT,NA,Manguso_LLC_clone7_NS_rep2_b02
Lung carcinoma,LLC,clone7,RTM28723893,RTM_LLC_clone7_NS_rep3_b03,1,NA,no_treatment,WT,NA,Manguso_LLC_clone7_NS_rep3_b03
Lung carcinoma,LLC,clone7,RTM28723893,RTM_LLC_clone7_TNF_rep1_f04,0,TNFa,TNFa,WT,NA,Manguso_LLC_clone7_TNF_rep1_f04
Lung carcinoma,LLC,clone7,RTM28723893,RTM_LLC_clone7_TNF_rep2_f05,0,TNFa,TNFa,WT,NA,Manguso_LLC_clone7_TNF_rep2_f05
Lung carcinoma,LLC,clone7,RTM28723893,RTM_LLC_clone7_TNF_rep3_f06,0,TNFa,TNFa,WT,NA,Manguso_LLC_clone7_TNF_rep3_f06
Lung carcinoma,LLC,clone8,RTM28723893,RTM_LLC_clone8_fng_rep1_c04,0,IFNg,IFNg,WT,NA,Manguso_LLC_clone8_fng_rep1_c04
Lung carcinoma,LLC,clone8,RTM28723893,RTM_LLC_clone8_fng_rep2_c05,0,IFNg,IFNg,WT,NA,Manguso_LLC_clone8_fng_rep2_c05
Lung carcinoma,LLC,clone8,RTM28723893,RTM_LLC_clone8_fng_rep3_c06,0,IFNg,IFNg,WT,NA,Manguso_LLC_clone8_fng_rep3_c06
Lung carcinoma,LLC,clone8,RTM28723893,RTM_LLC_clone8_IFNb_rep1_g01,0,IFNb,IFNb,WT,NA,Manguso_LLC_clone8_IFNb_rep1_g01
Lung carcinoma,LLC,clone8,RTM28723893,RTM_LLC_clone8_IFNb_rep2_g02,0,IFNb,IFNb,WT,NA,Manguso_LLC_clone8_IFNb_rep2_g02
Lung carcinoma,LLC,clone8,RTM28723893,RTM_LLC_clone8_IFNb_rep3_g03,0,IFNb,IFNb,WT,NA,Manguso_LLC_clone8_IFNb_rep3_g03
Lung carcinoma,LLC,clone8,RTM28723893,RTM_LLC_clone8_TNF_rep1_g04,0,TNFa,TNFa,WT,NA,Manguso_LLC_clone8_TNF_rep1_g04
Lung carcinoma,LLC,clone8,RTM28723893,RTM_LLC_clone8_TNF_rep2_g05,0,TNFa,TNFa,WT,NA,Manguso_LLC_clone8_TNF_rep2_g05
Lung carcinoma,LLC,clone8,RTM28723893,RTM_LLC_clone8_TNF_rep3_g06,0,TNFa,TNFa,WT,NA,Manguso_LLC_clone8_TNF_rep3_g06
Lung carcinoma,LLC,clone9,RTM28723893,RTM_LLC_clone9_IFNb_rep1_h01,0,IFNb,IFNb,WT,NA,Manguso_LLC_clone9_IFNb_rep1_h01
Lung carcinoma,LLC,clone9,RTM28723893,RTM_LLC_clone9_IFNb_rep2_h02,0,IFNb,IFNb,WT,NA,Manguso_LLC_clone9_IFNb_rep2_h02
Lung carcinoma,LLC,clone9,RTM28723893,RTM_LLC_clone9_IFNb_rep3_h03,0,IFNb,IFNb,WT,NA,Manguso_LLC_clone9_IFNb_rep3_h03
Lung carcinoma,LLC,clone9,RTM28723893,RTM_LLC_clone9_IFNg_rep1_d04,0,IFNg,IFNg,WT,NA,Manguso_LLC_clone9_IFNg_rep1_d04
Lung carcinoma,LLC,clone9,RTM28723893,RTM_LLC_clone9_IFNg_rep2_d05,0,IFNg,IFNg,WT,NA,Manguso_LLC_clone9_IFNg_rep2_d05
Lung carcinoma,LLC,clone9,RTM28723893,RTM_LLC_clone9_IFNg_rep3_d06,0,IFNg,IFNg,WT,NA,Manguso_LLC_clone9_IFNg_rep3_d06
Lung carcinoma,LLC,clone9,RTM28723893,RTM_LLC_clone9_NS_rep1_d01,1,NA,no_treatment,WT,NA,Manguso_LLC_clone9_NS_rep1_d01
Lung carcinoma,LLC,clone9,RTM28723893,RTM_LLC_clone9_NS_rep2_d02,1,NA,no_treatment,WT,NA,Manguso_LLC_clone9_NS_rep2_d02
Lung carcinoma,LLC,clone9,RTM28723893,RTM_LLC_clone9_NS_rep3_d03,1,NA,no_treatment,WT,NA,Manguso_LLC_clone9_NS_rep3_d03
Lung carcinoma,LLC,clone9,RTM28723893,RTM_LLC_clone9_TNF_rep1_h04,0,TNFa,TNFa,WT,NA,Manguso_LLC_clone9_TNF_rep1_h04
Lung carcinoma,LLC,clone9,RTM28723893,RTM_LLC_clone9_TNF_rep2_h05,0,TNFa,TNFa,WT,NA,Manguso_LLC_clone9_TNF_rep2_h05
Lung carcinoma,LLC,clone9,RTM28723893,RTM_LLC_clone9_TNF_rep3_h06,0,TNFa,TNFa,WT,NA,Manguso_LLC_clone9_TNF_rep3_h06
Lung carcinoma,LLC,parental,RTM28723893,RTM_LLC_parental_IFNb_rep1_e01,0,IFNb,IFNb,WT,NA,Manguso_LLC_parental_IFNb_rep1_e01
Lung carcinoma,LLC,parental,RTM28723893,RTM_LLC_parental_IFNb_rep2_e02,0,IFNb,IFNb,WT,NA,Manguso_LLC_parental_IFNb_rep2_e02
Lung carcinoma,LLC,parental,RTM28723893,RTM_LLC_parental_IFNb_rep3_e03,0,IFNb,IFNb,WT,NA,Manguso_LLC_parental_IFNb_rep3_e03
Lung carcinoma,LLC,parental,RTM28723893,RTM_LLC_parental_IFNg_rep1_a04,0,IFNg,IFNg,WT,NA,Manguso_LLC_parental_IFNg_rep1_a04
Lung carcinoma,LLC,parental,RTM28723893,RTM_LLC_parental_IFNg_rep3_a06,0,IFNg,IFNg,WT,NA,Manguso_LLC_parental_IFNg_rep3_a06
Lung carcinoma,LLC,parental,RTM28723893,RTM_LLC_parental_NS_rep1_a01,1,NA,no_treatment,WT,NA,Manguso_LLC_parental_NS_rep1_a01
Lung carcinoma,LLC,parental,RTM28723893,RTM_LLC_parental_NS_rep2_a02,1,NA,no_treatment,WT,NA,Manguso_LLC_parental_NS_rep2_a02
Lung carcinoma,LLC,parental,RTM28723893,RTM_LLC_parental_NS_rep3_a03,1,NA,no_treatment,WT,NA,Manguso_LLC_parental_NS_rep3_a03
Lung carcinoma,LLC,parental,RTM28723893,RTM_LLC_parental_TNF_rep1_e04,0,TNFa,TNFa,WT,NA,Manguso_LLC_parental_TNF_rep1_e04
Lung carcinoma,LLC,parental,RTM28723893,RTM_LLC_parental_TNF_rep2_e05,0,TNFa,TNFa,WT,NA,Manguso_LLC_parental_TNF_rep2_e05
Lung carcinoma,LLC,parental,RTM28723893,RTM_LLC_parental_TNF_rep3_e06,0,TNFa,TNFa,WT,NA,Manguso_LLC_parental_TNF_rep3_e06
Pancreatic ductal adenocarcinoma,Panc02,parental,RTM28723893,RTM_Panc02_IFNb_rep1,0,IFNb,IFNb,WT,NA,Manguso_Panc02_IFNb_rep1
Pancreatic ductal adenocarcinoma,Panc02,parental,RTM28723893,RTM_Panc02_IFNb_rep2,0,IFNb,IFNb,WT,NA,Manguso_Panc02_IFNb_rep2
Pancreatic ductal adenocarcinoma,Panc02,parental,RTM28723893,RTM_Panc02_IFNb_rep3,0,IFNb,IFNb,WT,NA,Manguso_Panc02_IFNb_rep3
Pancreatic ductal adenocarcinoma,Panc02,parental,RTM28723893,RTM_Panc02_IFNg_rep1,0,IFNg,IFNg,WT,NA,Manguso_Panc02_IFNg_rep1
Pancreatic ductal adenocarcinoma,Panc02,parental,RTM28723893,RTM_Panc02_IFNg_rep2,0,IFNg,IFNg,WT,NA,Manguso_Panc02_IFNg_rep2
Pancreatic ductal adenocarcinoma,Panc02,parental,RTM28723893,RTM_Panc02_IFNg_rep3,0,IFNg,IFNg,WT,NA,Manguso_Panc02_IFNg_rep3
Pancreatic ductal adenocarcinoma,Panc02,parental,RTM28723893,RTM_Panc02_nostim_rep1,1,NA,no_treatment,WT,NA,Manguso_Panc02_nostim_rep1
Pancreatic ductal adenocarcinoma,Panc02,parental,RTM28723893,RTM_Panc02_nostim_rep2,1,NA,no_treatment,WT,NA,Manguso_Panc02_nostim_rep2
Pancreatic ductal adenocarcinoma,Panc02,parental,RTM28723893,RTM_Panc02_nostim_rep3,1,NA,no_treatment,WT,NA,Manguso_Panc02_nostim_rep3
Pancreatic ductal adenocarcinoma,Panc02,parental,RTM28723893,RTM_Panc02_TNFa_rep1,0,TNFa,TNFa,WT,NA,Manguso_Panc02_TNFa_rep1
Pancreatic ductal adenocarcinoma,Panc02,parental,RTM28723893,RTM_Panc02_TNFa_rep2,0,TNFa,TNFa,WT,NA,Manguso_Panc02_TNFa_rep2
Pancreatic ductal adenocarcinoma,Panc02,parental,RTM28723893,RTM_Panc02_TNFa_rep3,0,TNFa,TNFa,WT,NA,Manguso_Panc02_TNFa_rep3
Renal adenocarcinoma,Renca,parental,RTM28723893,RTM_Renca_IFNb_rep1,0,IFNb,IFNb,WT,NA,Manguso_Renca_IFNb_rep1
Renal adenocarcinoma,Renca,parental,RTM28723893,RTM_Renca_IFNb_rep2,0,IFNb,IFNb,WT,NA,Manguso_Renca_IFNb_rep2
Renal adenocarcinoma,Renca,parental,RTM28723893,RTM_Renca_IFNb_rep3,0,IFNb,IFNb,WT,NA,Manguso_Renca_IFNb_rep3
Renal adenocarcinoma,Renca,parental,RTM28723893,RTM_Renca_IFNg_rep1,0,IFNg,IFNg,WT,NA,Manguso_Renca_IFNg_rep1
Renal adenocarcinoma,Renca,parental,RTM28723893,RTM_Renca_IFNg_rep2,0,IFNg,IFNg,WT,NA,Manguso_Renca_IFNg_rep2
Renal adenocarcinoma,Renca,parental,RTM28723893,RTM_Renca_IFNg_rep3,0,IFNg,IFNg,WT,NA,Manguso_Renca_IFNg_rep3
Renal adenocarcinoma,Renca,parental,RTM28723893,RTM_Renca_nostim_rep2,1,NA,no_treatment,WT,NA,Manguso_Renca_nostim_rep2
Renal adenocarcinoma,Renca,parental,RTM28723893,RTM_Renca_nostim_rep3,1,NA,no_treatment,WT,NA,Manguso_Renca_nostim_rep3
Renal adenocarcinoma,Renca,parental,RTM28723893,RTM_Renca_TNFa_rep1,0,TNFa,TNFa,WT,NA,Manguso_Renca_TNFa_rep1
Renal adenocarcinoma,Renca,parental,RTM28723893,RTM_Renca_TNFa_rep2,0,TNFa,TNFa,WT,NA,Manguso_Renca_TNFa_rep2
Renal adenocarcinoma,Renca,parental,RTM28723893,RTM_Renca_TNFa_rep3,0,TNFa,TNFa,WT,NA,Manguso_Renca_TNFa_rep3
Head and neck squamous cell carcinoma,MOC1,parental,RU31562203_LZ5733,RU_MOC1_S2_R1_001,1,NA,no_treatment,WT,NA,MOC1_ifng_1021_LZ5733_S2_R1_001
Head and neck squamous cell carcinoma,MOC1,parental,RU31562203_LZ5733,RU_MOC1_S3_R1_001,1,NA,no_treatment,WT,NA,MOC1_ifng_480_LZ5733_S3_R1_001
Head and neck squamous cell carcinoma,MOC1,parental,RU31562203_LZ5733,RU_MOC1_S1_R1_001,1,NA,no_treatment,WT,NA,MOC1_ifng_510_LZ5733_S1_R1_001
