pitch,min_tumor,min_fov_cells,min_bins,kernel,feature,target,r2_krt,r2_full,delta,median_delta,score,n_pos,n_sections,best_section,best_section_delta,n_bins
220,15,0,1,gauss80,mean_q4,nk_frac,0.11885662259145457,0.24972933821948762,0.13087271562803304,0.1138059521805046,0.1138059521805046,7,8,LUAD-5 R3,0.19935742839017,2554
220,15,400,1,gauss80,mean_q4,nk_frac,0.11885662259145457,0.24972933821948762,0.13087271562803304,0.1138059521805046,0.1138059521805046,7,8,LUAD-5 R3,0.19935742839017,2554
220,15,0,1,gauss80,mean,nk_frac,0.11885662259145457,0.24259780209491433,0.12374117950345975,0.11258702155367684,0.11258702155367684,7,8,LUAD-5 R3,0.19108549089904336,2554
220,15,400,1,gauss80,mean,nk_frac,0.11885662259145457,0.24259780209491433,0.12374117950345975,0.11258702155367684,0.11258702155367684,7,8,LUAD-5 R3,0.19108549089904336,2554
300,8,0,4,gauss80,mean_p90,nk_frac,0.16778780005497984,0.3057405726037078,0.13795277254872795,0.11258463958500364,0.11258463958500364,7,8,LUAD-5 R3,0.22597903970899014,2218
300,8,400,4,gauss80,mean_p90,nk_frac,0.16778780005497984,0.3057405726037078,0.13795277254872795,0.11258463958500364,0.11258463958500364,7,8,LUAD-5 R3,0.22597903970899014,2218
300,15,0,1,gauss160,mean_p90,nk_frac,0.13782574236580325,0.3244548826547824,0.18662914028897915,0.1119994595339956,0.1119994595339956,7,8,LUAD-5 R3,0.4688129264291754,2010
300,15,400,1,gauss160,mean_p90,nk_frac,0.13782574236580325,0.3244548826547824,0.18662914028897915,0.1119994595339956,0.1119994595339956,7,8,LUAD-5 R3,0.4688129264291754,2010
300,8,0,1,gauss80,mean_p75,nk_frac,0.16792589789780232,0.29490700980684026,0.12698111190903794,0.11169376624611854,0.11169376624611854,6,8,LUAD-5 R3,0.20485570641117357,2218
300,8,400,1,gauss80,mean_p75,nk_frac,0.16792589789780232,0.29490700980684026,0.12698111190903794,0.11169376624611854,0.11169376624611854,6,8,LUAD-5 R3,0.20485570641117357,2218
160,8,0,1,gauss80,mean_p90,nk_frac,0.13212782886050267,0.26510445284894246,0.1329766239884398,0.1115145004414585,0.1115145004414585,7,8,LUAD-5 R3,0.21768753525004148,4998
160,8,400,1,gauss80,mean_p90,nk_frac,0.13212782886050267,0.26510445284894246,0.1329766239884398,0.1115145004414585,0.1115145004414585,7,8,LUAD-5 R3,0.21768753525004148,4998
160,8,0,1,gauss80,mean_q4,nk_frac,0.13212782886050267,0.25526918606115123,0.12314135720064856,0.11106785538636971,0.11106785538636971,7,8,LUAD-5 R3,0.21854642984671824,4998
