human	matched	arm	core	logFC	direction	author_PValue	author_FDR	source
IFI44	Ifi44	ISG	no	0.7495	UP	0.000843269	0.031234037	author edgeR GSE50927_Cldn4lungWTvsKOgenes.csv; match from fable_cldn4_kdko panel_ifn_apm
IFI44L		ISG	no		not detected			author edgeR GSE50927_Cldn4lungWTvsKOgenes.csv; match from fable_cldn4_kdko panel_ifn_apm
IFI6		ISG	no		not detected			author edgeR GSE50927_Cldn4lungWTvsKOgenes.csv; match from fable_cldn4_kdko panel_ifn_apm
USP18	Usp18	ISG	no	0.12	UP	0.529799228	1.0	author edgeR GSE50927_Cldn4lungWTvsKOgenes.csv; match from fable_cldn4_kdko panel_ifn_apm
HERC5		ISG	no		not detected			author edgeR GSE50927_Cldn4lungWTvsKOgenes.csv; match from fable_cldn4_kdko panel_ifn_apm
DDX58	Ddx58	ISG	no	0.1591	UP	0.273179783	0.907447441	author edgeR GSE50927_Cldn4lungWTvsKOgenes.csv; match from fable_cldn4_kdko panel_ifn_apm
IFIH1	Ifih1	ISG	no	0.0557	UP	0.700934367	1.0	author edgeR GSE50927_Cldn4lungWTvsKOgenes.csv; match from fable_cldn4_kdko panel_ifn_apm
XAF1	Xaf1	ISG	no	0.4373	UP	0.002331541	0.063178639	author edgeR GSE50927_Cldn4lungWTvsKOgenes.csv; match from fable_cldn4_kdko panel_ifn_apm
BST2	Bst2	ISG	no	0.4423	UP	0.004688664	0.10006632	author edgeR GSE50927_Cldn4lungWTvsKOgenes.csv; match from fable_cldn4_kdko panel_ifn_apm
ISG20	Isg20	ISG	no	0.2402	UP	0.221918904	0.849964675	author edgeR GSE50927_Cldn4lungWTvsKOgenes.csv; match from fable_cldn4_kdko panel_ifn_apm
STAT1	Stat1	ISG	no	0.3909	UP	0.026232231	0.29079192	author edgeR GSE50927_Cldn4lungWTvsKOgenes.csv; match from fable_cldn4_kdko panel_ifn_apm
STAT2	Stat2	ISG	no	0.4459	UP	0.002832605	0.071324478	author edgeR GSE50927_Cldn4lungWTvsKOgenes.csv; match from fable_cldn4_kdko panel_ifn_apm
IRF1	Irf1	ISG	no	0.3818	UP	0.014730324	0.20707363	author edgeR GSE50927_Cldn4lungWTvsKOgenes.csv; match from fable_cldn4_kdko panel_ifn_apm
IRF7	Irf7	ISG	no	0.2273	UP	0.329109646	0.983132036	author edgeR GSE50927_Cldn4lungWTvsKOgenes.csv; match from fable_cldn4_kdko panel_ifn_apm
IRF9	Irf9	ISG	no	0.3881	UP	0.009614213	0.160767716	author edgeR GSE50927_Cldn4lungWTvsKOgenes.csv; match from fable_cldn4_kdko panel_ifn_apm
GBP1	Gbp2	ISG	no	0.583	UP	0.001937604	0.055191191	author edgeR GSE50927_Cldn4lungWTvsKOgenes.csv; match from fable_cldn4_kdko panel_ifn_apm
GBP2	Gbp2	ISG	no	0.583	UP	0.001937604	0.055191191	author edgeR GSE50927_Cldn4lungWTvsKOgenes.csv; match from fable_cldn4_kdko panel_ifn_apm
HLA-A	H2-K1	MHC-I/APM	yes	-0.0709	down	0.724031147	1.0	author edgeR GSE50927_Cldn4lungWTvsKOgenes.csv; match from fable_cldn4_kdko panel_ifn_apm
HLA-B	H2-K1	MHC-I/APM	no	-0.0709	down	0.724031147	1.0	author edgeR GSE50927_Cldn4lungWTvsKOgenes.csv; match from fable_cldn4_kdko panel_ifn_apm
HLA-C	H2-D1	MHC-I/APM	no	0.3546	UP	0.066866018	0.48248859	author edgeR GSE50927_Cldn4lungWTvsKOgenes.csv; match from fable_cldn4_kdko panel_ifn_apm
HLA-E	H2-T23	MHC-I/APM	no	1.0453	UP	2.91128e-06	0.000365257	author edgeR GSE50927_Cldn4lungWTvsKOgenes.csv; match from fable_cldn4_kdko panel_ifn_apm
HLA-F		MHC-I/APM	no		not detected			author edgeR GSE50927_Cldn4lungWTvsKOgenes.csv; match from fable_cldn4_kdko panel_ifn_apm
B2M	B2m	MHC-I/APM	no	0.6552	UP	0.000930043	0.033588316	author edgeR GSE50927_Cldn4lungWTvsKOgenes.csv; match from fable_cldn4_kdko panel_ifn_apm
TAP1	Tap1	MHC-I/APM	yes	0.1836	UP	0.441394482	1.0	author edgeR GSE50927_Cldn4lungWTvsKOgenes.csv; match from fable_cldn4_kdko panel_ifn_apm
TAP2	Tap2	MHC-I/APM	yes	-0.0086	down	0.962929036	1.0	author edgeR GSE50927_Cldn4lungWTvsKOgenes.csv; match from fable_cldn4_kdko panel_ifn_apm
TAPBP	Tapbp	MHC-I/APM	no	0.1048	UP	0.471505925	1.0	author edgeR GSE50927_Cldn4lungWTvsKOgenes.csv; match from fable_cldn4_kdko panel_ifn_apm
PSMB8	Psmb8	MHC-I/APM	no	0.432	UP	0.026174502	0.290707433	author edgeR GSE50927_Cldn4lungWTvsKOgenes.csv; match from fable_cldn4_kdko panel_ifn_apm
PSMB9	Psmb9	MHC-I/APM	no	0.9018	UP	0.001094233	0.037343278	author edgeR GSE50927_Cldn4lungWTvsKOgenes.csv; match from fable_cldn4_kdko panel_ifn_apm
PSMB10	Psmb10	MHC-I/APM	no	0.3676	UP	0.014323027	0.203986117	author edgeR GSE50927_Cldn4lungWTvsKOgenes.csv; match from fable_cldn4_kdko panel_ifn_apm
NLRC5	Nlrc5	MHC-I/APM	no	0.748	UP	0.004173122	0.092615153	author edgeR GSE50927_Cldn4lungWTvsKOgenes.csv; match from fable_cldn4_kdko panel_ifn_apm
ERAP1	Erap1	MHC-I/APM	no	0.3173	UP	0.032687497	0.32953187	author edgeR GSE50927_Cldn4lungWTvsKOgenes.csv; match from fable_cldn4_kdko panel_ifn_apm
