dataset,set,symbol,log2FC_KDvsCtrl,n_arrays,p_1samp_t
GSE22493,IFN_IMMUNE,IFIT1,-2.864,2,
GSE22493,IFN_IMMUNE,IFIT2,-1.69,2,
GSE22493,IFN_IMMUNE,IFIT3,0.3852,3,0.5215669731339335
GSE22493,IFN_IMMUNE,IFIT5,0.1138,3,0.5199283341985259
GSE22493,IFN_IMMUNE,IFITM2,-0.0963,3,0.9437940432465681
GSE22493,IFN_IMMUNE,IFI27,-1.7197,3,0.01599907287776177
GSE22493,IFN_IMMUNE,IFI35,-0.9349,3,0.05006601961974345
GSE22493,IFN_IMMUNE,IFI44,-1.7582,2,
GSE22493,IFN_IMMUNE,IFI16,-0.6199,3,0.3672445407898254
GSE22493,IFN_IMMUNE,DDX58,-1.0792,2,
GSE22493,IFN_IMMUNE,IFIH1,-0.4575,3,0.535636812143411
GSE22493,IFN_IMMUNE,HERC5,1.1425,3,0.14551807283206722
GSE22493,IFN_IMMUNE,USP18,2.9492,3,0.02317252842372741
GSE22493,IFN_IMMUNE,BST2,-0.1672,3,0.623814857506049
GSE22493,IFN_IMMUNE,GBP1,-2.0892,3,0.20999608751876642
GSE22493,IFN_IMMUNE,GBP2,0.1879,3,0.8283537619052395
GSE22493,IFN_IMMUNE,GBP4,0.396,2,
GSE22493,IFN_IMMUNE,GBP5,-1.6213,3,0.04399724960169839
GSE22493,IFN_IMMUNE,ZBP1,0.071,3,0.9254186277652915
GSE22493,IFN_IMMUNE,STAT1,0.1207,3,0.7691195555738184
GSE22493,IFN_IMMUNE,STAT2,-0.6464,3,0.15381864663438663
GSE22493,IFN_IMMUNE,IRF1,0.4552,3,0.36235264713861537
GSE22493,IFN_IMMUNE,IRF7,0.3147,3,0.5219772606892318
GSE22493,IFN_IMMUNE,JAK2,-0.0291,3,0.983863004682465
GSE22493,IFN_IMMUNE,SOCS1,-1.2332,2,
GSE22493,IFN_IMMUNE,SOCS3,1.7904,3,0.21341296411187935
GSE22493,IFN_IMMUNE,B2M,-1.9045,3,0.030677168940451582
GSE22493,IFN_IMMUNE,TAP1,-1.4995,3,0.0967713788409179
GSE22493,IFN_IMMUNE,TAP2,0.1426,3,0.9043368552485476
GSE22493,IFN_IMMUNE,PSMB8,0.1702,3,0.8288024292071015
GSE22493,IFN_IMMUNE,PSMB9,0.3083,3,0.8587718534100984
GSE22493,IFN_IMMUNE,HLA-A,-0.6758,3,0.010876133371604708
GSE22493,IFN_IMMUNE,HLA-B,-1.2043,3,0.039438203411240366
GSE22493,IFN_IMMUNE,HLA-C,-0.7331,3,0.25420646512595957
GSE22493,IFN_IMMUNE,HLA-E,2.2564,3,0.011026685982038584
GSE22493,IFN_IMMUNE,HLA-F,-0.3532,3,0.24239059264211343
GSE22493,IFN_IMMUNE,TAPBP,0.1894,3,0.5471019817572729
GSE22493,IFN_IMMUNE,CXCL10,-3.7432,2,
GSE22493,IFN_IMMUNE,CXCL11,-2.7973,2,
GSE22493,IFN_IMMUNE,CCL2,0.0107,3,0.9809995502024192
GSE22493,IFN_IMMUNE,IL6,-1.8411,3,0.27091475357552913
GSE22493,IFN_IMMUNE,TNF,-1.0474,3,0.14549773039678343
GSE22493,IFN_IMMUNE,NFKB1,-0.45,3,0.4649683940755284
GSE22493,IFN_IMMUNE,RELA,1.9634,3,0.026127210140421995
GSE22493,IFN_IMMUNE,IL15,0.373,3,0.25123027828244965
GSE22493,IFN_IMMUNE,IFNG,-1.2685,3,0.4202298656824649
GSE22493,IFN_IMMUNE,IFNAR1,0.1696,3,0.8758570655067304
GSE22493,IFN_IMMUNE,IFNAR2,-1.1594,3,0.30648762445832667
GSE22493,IFN_IMMUNE,IFNGR1,-0.5611,3,0.6359000362250286
GSE22493,IFN_IMMUNE,IFNGR2,-0.1268,3,0.8903594053692756
