dataset,set,symbol,logFC_KOvsWT,PValue,FDR
GSE50927,IFN_IMMUNE,Nlrc5,0.748,0.004173122,0.092615153
GSE50927,IFN_IMMUNE,Gbp3,0.7182,0.000512122,0.022326997
GSE50927,IFN_IMMUNE,B2m,0.6552,0.000930043,0.033588316
GSE50927,IFN_IMMUNE,Ifi27l2b,-0.6521,0.605719402,1.0
GSE50927,IFN_IMMUNE,Mx1,0.6267,0.11907033,0.648233013
GSE50927,IFN_IMMUNE,Ifi27l2a,0.6236,0.016289737,0.219629205
GSE50927,IFN_IMMUNE,Gbp2,0.583,0.001937604,0.055191191
GSE50927,IFN_IMMUNE,Ifit1,0.5758,0.000719541,0.02824166
GSE50927,IFN_IMMUNE,Oasl2,0.5421,0.000371281,0.017868407
GSE50927,IFN_IMMUNE,Ifitm1,0.5282,0.000281624,0.014365759
GSE50927,IFN_IMMUNE,Ifi44l,0.4981,0.297090644,0.942741585
GSE50927,IFN_IMMUNE,Ifitm3,0.4712,0.000856338,0.031556571
GSE50927,IFN_IMMUNE,Stat2,0.4459,0.002832605,0.071324478
GSE50927,IFN_IMMUNE,Bst2,0.4423,0.004688664,0.10006632
GSE50927,IFN_IMMUNE,Xaf1,0.4373,0.002331541,0.063178639
GSE50927,IFN_IMMUNE,Psmb8,0.432,0.026174502,0.290707433
GSE50927,IFN_IMMUNE,Stat1,0.3909,0.026232231,0.29079192
GSE50927,IFN_IMMUNE,Irf9,0.3881,0.009614213,0.160767716
GSE50927,IFN_IMMUNE,Il15,0.3848,0.217905259,0.843223601
GSE50927,IFN_IMMUNE,Irf1,0.3818,0.014730324,0.20707363
GSE50927,IFN_IMMUNE,Ifit2,-0.369,0.012872714,0.19255841
GSE50927,IFN_IMMUNE,H2-D1,0.3546,0.066866018,0.48248859
GSE50927,IFN_IMMUNE,Ccl2,0.3132,0.824293302,1.0
GSE50927,IFN_IMMUNE,Ifitm2,0.2933,0.039618678,0.369611412
GSE50927,IFN_IMMUNE,Ifi35,0.2862,0.052181182,0.421508208
GSE50927,IFN_IMMUNE,Ddx60,-0.2756,0.317987931,0.968555719
GSE50927,IFN_IMMUNE,Ifnar1,-0.2611,0.082709975,0.53602588
GSE50927,IFN_IMMUNE,Tnf,0.2444,0.762014194,1.0
GSE50927,IFN_IMMUNE,Mx2,0.2361,0.543320868,1.0
GSE50927,IFN_IMMUNE,Irf7,0.2273,0.329109646,0.983132036
GSE50927,IFN_IMMUNE,Socs3,0.2116,0.15996482,0.739420112
GSE50927,IFN_IMMUNE,Cmpk2,0.2091,0.270340167,0.903648486
GSE50927,IFN_IMMUNE,Ifit3,-0.207,0.315638468,0.967196558
GSE50927,IFN_IMMUNE,Ifngr2,-0.1937,0.233806654,0.864466962
GSE50927,IFN_IMMUNE,Rela,0.1881,0.181399244,0.783786536
GSE50927,IFN_IMMUNE,Tap1,0.1836,0.441394482,1.0
GSE50927,IFN_IMMUNE,Ddx58,0.1591,0.273179783,0.907447441
GSE50927,IFN_IMMUNE,Eif2ak2,-0.1401,0.410928389,1.0
GSE50927,IFN_IMMUNE,Usp18,0.12,0.529799228,1.0
GSE50927,IFN_IMMUNE,Jak2,-0.1161,0.430101073,1.0
GSE50927,IFN_IMMUNE,Ifngr1,0.1152,0.421068811,1.0
GSE50927,IFN_IMMUNE,Tapbp,0.1048,0.471505925,1.0
GSE50927,IFN_IMMUNE,Oas1b,-0.1013,0.74727051,1.0
GSE50927,IFN_IMMUNE,Socs1,0.0799,0.846985594,1.0
GSE50927,IFN_IMMUNE,H2-K1,-0.0709,0.724031147,1.0
GSE50927,IFN_IMMUNE,Ifih1,0.0557,0.700934367,1.0
GSE50927,IFN_IMMUNE,Nfkb1,0.0351,0.806946516,1.0
GSE50927,IFN_IMMUNE,Ifnar2,0.0203,0.897457086,1.0
GSE50927,IFN_IMMUNE,Tap2,-0.0086,0.962929036,1.0
GSE50927,IFN_IMMUNE,Ifnb1,0.0,1.0,1.0
