hugo	set	source
FCER1G	Immune141_UP	Yoshihara Nat Commun 2013 Supp Data 1
IKZF1	Immune141_UP	Yoshihara Nat Commun 2013 Supp Data 1
TYROBP	Immune141_UP	Yoshihara Nat Commun 2013 Supp Data 1
FGL2	Immune141_UP	Yoshihara Nat Commun 2013 Supp Data 1
FLI1	Immune141_UP	Yoshihara Nat Commun 2013 Supp Data 1
IRF8	Immune141_UP	Yoshihara Nat Commun 2013 Supp Data 1
ARHGAP15	Immune141_UP	Yoshihara Nat Commun 2013 Supp Data 1
SH2B3	Immune141_UP	Yoshihara Nat Commun 2013 Supp Data 1
TNFRSF1B	Immune141_UP	Yoshihara Nat Commun 2013 Supp Data 1
DOCK2	Immune141_UP	Yoshihara Nat Commun 2013 Supp Data 1
CD2	Immune141_UP	Yoshihara Nat Commun 2013 Supp Data 1
ARHGEF6	Immune141_UP	Yoshihara Nat Commun 2013 Supp Data 1
CORO1A	Immune141_UP	Yoshihara Nat Commun 2013 Supp Data 1
LY96	Immune141_UP	Yoshihara Nat Commun 2013 Supp Data 1
LYZ	Immune141_UP	Yoshihara Nat Commun 2013 Supp Data 1
ITGAL	Immune141_UP	Yoshihara Nat Commun 2013 Supp Data 1
TNFAIP3	Immune141_UP	Yoshihara Nat Commun 2013 Supp Data 1
RNASE6	Immune141_UP	Yoshihara Nat Commun 2013 Supp Data 1
TGFB1	Immune141_UP	Yoshihara Nat Commun 2013 Supp Data 1
PSTPIP1	Immune141_UP	Yoshihara Nat Commun 2013 Supp Data 1
CST7	Immune141_UP	Yoshihara Nat Commun 2013 Supp Data 1
RGS1	Immune141_UP	Yoshihara Nat Commun 2013 Supp Data 1
FGR	Immune141_UP	Yoshihara Nat Commun 2013 Supp Data 1
SELL	Immune141_UP	Yoshihara Nat Commun 2013 Supp Data 1
MICAL1	Immune141_UP	Yoshihara Nat Commun 2013 Supp Data 1
TRAF3IP3	Immune141_UP	Yoshihara Nat Commun 2013 Supp Data 1
ITGA4	Immune141_UP	Yoshihara Nat Commun 2013 Supp Data 1
MAFB	Immune141_UP	Yoshihara Nat Commun 2013 Supp Data 1
ARHGDIB	Immune141_UP	Yoshihara Nat Commun 2013 Supp Data 1
IL4R	Immune141_UP	Yoshihara Nat Commun 2013 Supp Data 1
RHOH	Immune141_UP	Yoshihara Nat Commun 2013 Supp Data 1
HLA-DPA1	Immune141_UP	Yoshihara Nat Commun 2013 Supp Data 1
NKG7	Immune141_UP	Yoshihara Nat Commun 2013 Supp Data 1
NCF4	Immune141_UP	Yoshihara Nat Commun 2013 Supp Data 1
LPXN	Immune141_UP	Yoshihara Nat Commun 2013 Supp Data 1
ITK	Immune141_UP	Yoshihara Nat Commun 2013 Supp Data 1
SELPLG	Immune141_UP	Yoshihara Nat Commun 2013 Supp Data 1
HLA-DPB1	Immune141_UP	Yoshihara Nat Commun 2013 Supp Data 1
CD3D	Immune141_UP	Yoshihara Nat Commun 2013 Supp Data 1
CD300A	Immune141_UP	Yoshihara Nat Commun 2013 Supp Data 1
IL2RB	Immune141_UP	Yoshihara Nat Commun 2013 Supp Data 1
ADCY7	Immune141_UP	Yoshihara Nat Commun 2013 Supp Data 1
PTGER4	Immune141_UP	Yoshihara Nat Commun 2013 Supp Data 1
SRGN	Immune141_UP	Yoshihara Nat Commun 2013 Supp Data 1
CD247	Immune141_UP	Yoshihara Nat Commun 2013 Supp Data 1
CCR7	Immune141_UP	Yoshihara Nat Commun 2013 Supp Data 1
MSN	Immune141_UP	Yoshihara Nat Commun 2013 Supp Data 1
ALOX5AP	Immune141_UP	Yoshihara Nat Commun 2013 Supp Data 1
PTGER2	Immune141_UP	Yoshihara Nat Commun 2013 Supp Data 1
RAC2	Immune141_UP	Yoshihara Nat Commun 2013 Supp Data 1
GBP2	Immune141_UP	Yoshihara Nat Commun 2013 Supp Data 1
VAV1	Immune141_UP	Yoshihara Nat Commun 2013 Supp Data 1
CLEC2B	Immune141_UP	Yoshihara Nat Commun 2013 Supp Data 1
P2RY14	Immune141_UP	Yoshihara Nat Commun 2013 Supp Data 1
NFKBIA	Immune141_UP	Yoshihara Nat Commun 2013 Supp Data 1
S100A9	Immune141_UP	Yoshihara Nat Commun 2013 Supp Data 1
IFI30	Immune141_UP	Yoshihara Nat Commun 2013 Supp Data 1
MFSD1	Immune141_UP	Yoshihara Nat Commun 2013 Supp Data 1
RASSF2	Immune141_UP	Yoshihara Nat Commun 2013 Supp Data 1
TPP1	Immune141_UP	Yoshihara Nat Commun 2013 Supp Data 1
RHOG	Immune141_UP	Yoshihara Nat Commun 2013 Supp Data 1
CLEC4A	Immune141_UP	Yoshihara Nat Commun 2013 Supp Data 1
GZMB	Immune141_UP	Yoshihara Nat Commun 2013 Supp Data 1
PVRIG	Immune141_UP	Yoshihara Nat Commun 2013 Supp Data 1
S100A8	Immune141_UP	Yoshihara Nat Commun 2013 Supp Data 1
CASP1	Immune141_UP	Yoshihara Nat Commun 2013 Supp Data 1
BCL2A1	Immune141_UP	Yoshihara Nat Commun 2013 Supp Data 1
HLA-E	Immune141_UP	Yoshihara Nat Commun 2013 Supp Data 1
KLRB1	Immune141_UP	Yoshihara Nat Commun 2013 Supp Data 1
GNLY	Immune141_UP	Yoshihara Nat Commun 2013 Supp Data 1
RAB27A	Immune141_UP	Yoshihara Nat Commun 2013 Supp Data 1
IL18RAP	Immune141_UP	Yoshihara Nat Commun 2013 Supp Data 1
TPST2	Immune141_UP	Yoshihara Nat Commun 2013 Supp Data 1
EMP3	Immune141_UP	Yoshihara Nat Commun 2013 Supp Data 1
GMIP	Immune141_UP	Yoshihara Nat Commun 2013 Supp Data 1
LCK	Immune141_UP	Yoshihara Nat Commun 2013 Supp Data 1
IL32	Immune141_UP	Yoshihara Nat Commun 2013 Supp Data 1
PTPRCAP	Immune141_UP	Yoshihara Nat Commun 2013 Supp Data 1
LGALS9	Immune141_UP	Yoshihara Nat Commun 2013 Supp Data 1
CCDC69	Immune141_UP	Yoshihara Nat Commun 2013 Supp Data 1
SAMHD1	Immune141_UP	Yoshihara Nat Commun 2013 Supp Data 1
TAP1	Immune141_UP	Yoshihara Nat Commun 2013 Supp Data 1
GBP1	Immune141_UP	Yoshihara Nat Commun 2013 Supp Data 1
CTSS	Immune141_UP	Yoshihara Nat Commun 2013 Supp Data 1
GZMH	Immune141_UP	Yoshihara Nat Commun 2013 Supp Data 1
ADAM8	Immune141_UP	Yoshihara Nat Commun 2013 Supp Data 1
GLRX	Immune141_UP	Yoshihara Nat Commun 2013 Supp Data 1
PRF1	Immune141_UP	Yoshihara Nat Commun 2013 Supp Data 1
CD69	Immune141_UP	Yoshihara Nat Commun 2013 Supp Data 1
HLA-B	Immune141_UP	Yoshihara Nat Commun 2013 Supp Data 1
HLA-DMA	Immune141_UP	Yoshihara Nat Commun 2013 Supp Data 1
CD74	Immune141_UP	Yoshihara Nat Commun 2013 Supp Data 1
KLRK1	Immune141_UP	Yoshihara Nat Commun 2013 Supp Data 1
PTPRE	Immune141_UP	Yoshihara Nat Commun 2013 Supp Data 1
HLA-DRA	Immune141_UP	Yoshihara Nat Commun 2013 Supp Data 1
VNN2	Immune141_UP	Yoshihara Nat Commun 2013 Supp Data 1
TCIRG1	Immune141_UP	Yoshihara Nat Commun 2013 Supp Data 1
RABGAP1L	Immune141_UP	Yoshihara Nat Commun 2013 Supp Data 1
CSTA	Immune141_UP	Yoshihara Nat Commun 2013 Supp Data 1
ZAP70	Immune141_UP	Yoshihara Nat Commun 2013 Supp Data 1
HLA-F	Immune141_UP	Yoshihara Nat Commun 2013 Supp Data 1
HLA-G	Immune141_UP	Yoshihara Nat Commun 2013 Supp Data 1
CD52	Immune141_UP	Yoshihara Nat Commun 2013 Supp Data 1
CD302	Immune141_UP	Yoshihara Nat Commun 2013 Supp Data 1
CD27	Immune141_UP	Yoshihara Nat Commun 2013 Supp Data 1
