stem	cell_line	gse_id	cancer_type	cancer_group	is_lung	is_llc	is_kl	is_kp	n_baseline	n_icb	mean_baseline	mean_icb	median_baseline	median_icb	delta_mean	delta_median	treatments	stratum_all	stratum_lung	stratum_kl_kp_llc
YTN16_GSE146027_day21_antiCTLA4	YTN16	GSE146027	Gastric adenocarcinoma	Gastric	False	False	False	False	3	5	3.9768461088323135	4.937752145814989	5.13789844844457	4.81342612913274	0.9609060369826756	-0.3244723193118304	antiCTLA4;no_treatment	True	False	False
YTN16_GSE146027_day7_antiCTLA4	YTN16	GSE146027	Gastric adenocarcinoma	Gastric	False	False	False	False	4	5	2.3768808529397325	5.586954268432	2.294341856359835	5.5158288078792	3.210073415492267	3.221486951519365	antiCTLA4;no_treatment	True	False	False
BNL-MEA_GSE148947_antiPD1	BNL-MEA	GSE148947	Hepatocellular carcinoma	Liver	False	False	False	False	3	3	0.14660126103697393	0.09458129715921816	0.176310005371219	0.0738270869335435	-0.05201996387775577	-0.10248291843767549	antiPD1;vehicle	True	False	False
BNL-MEA_GSE148947_regorafenib_5_antiPD1	BNL-MEA	GSE148947	Hepatocellular carcinoma	Liver	False	False	False	False	3	3	0.05333403157349123	0.0856724437193928	0.0449661875199237	0.0604735557997394	0.032338412145901566	0.015507368279815699	antiPD1; regorafenib_5;;regorafenib_5	True	False	False
LLC_GSE155972_Setdb1_KO_antiCTLA4&antiPD1	LLC	GSE155972	Lung carcinoma	Lung	True	True	False	False	10	7	0.2803433444414772	1.004972502977412	0.1774847596373155	0.29875589613712	0.7246291585359348	0.1212711364998045	antiPD1; antiCTL4;;no_treatment	True	True	True
LLC_GSE155972_antiCTLA4&antiPD1	LLC	GSE155972	Lung carcinoma	Lung	True	True	False	False	10	6	0.15694832791755048	0.28954265590410805	0.07891508807559125	0.297849969636445	0.13259432798655757	0.21893488156085375	antiPD1; antiCTL4;;no_treatment	True	True	True
4T1_GSE130472_old_antiCTLA4	4T1	GSE130472	Mammary carcinoma	Mammary	False	False	False	False	7	8	2.514297489980687	2.101033994252919	2.52574704290325	1.952722276979635	-0.4132634957277683	-0.5730247659236147	antiCTLA4; old;;isotype; old;	True	False	False
4T1_GSE130472_old_antiPDL1	4T1	GSE130472	Mammary carcinoma	Mammary	False	False	False	False	7	8	2.514297489980687	1.9181712442543726	2.52574704290325	1.934024474690875	-0.5961262457263146	-0.5917225682123748	antiPDL1; old;;isotype; old;	True	False	False
4T1_GSE130472_young_antiCTLA4	4T1	GSE130472	Mammary carcinoma	Mammary	False	False	False	False	7	12	1.828002337047947	2.022329043801921	2.0041692956078	2.042084475065975	0.1943267067539738	0.03791517945817491	antiCTLA4; young;;isotype; young;	True	False	False
4T1_GSE130472_young_antiPDL1	4T1	GSE130472	Mammary carcinoma	Mammary	False	False	False	False	7	10	1.828002337047947	1.513979847296362	2.0041692956078	1.46919348992629	-0.3140224897515851	-0.5349758056815102	antiPDL1; young;;isotype; young;	True	False	False
4T1_GSE132529_antiPD1	4T1	GSE132529	Mammary carcinoma	Mammary	False	False	False	False	3	3	4.60635116464027	4.618043517048983	4.71476550712754	4.50430625408492	0.011692352408712914	-0.21045925304261992	antiPD1;vehicle	True	False	False
4T1_GSE137818_Brca1_KO_antiPD1	4T1	GSE137818	Mammary carcinoma	Mammary	False	False	False	False	5	5	4.13363209798346	4.004876780464524	4.13196896960058	4.13036998337883	-0.12875531751893554	-0.0015989862217500317	antiPD1;no_treatment	True	False	False
4T1_GSE137818_Brca2_KO_antiPD1	4T1	GSE137818	Mammary carcinoma	Mammary	False	False	False	False	5	3	4.16174288745599	4.219715199100553	3.92360076832232	4.25409640102182	0.05797231164456296	0.3304956326994999	antiPD1;no_treatment	True	False	False
E0771_GSE174053_high.fat.diet_antiPD1	E0771	GSE174053	Mammary adenocarcinoma	Mammary	False	False	False	False	8	8	0.5992002718011491	0.6090158168355533	0.20331010716772252	0.42800483053675253	0.009815545034404183	0.22469472336903	antiPD1; high.fat.diet;;isotype; high.fat.diet;	True	False	False
EMT6_GSE107801_antiPDL1	EMT6	GSE107801	Mammary carcinoma	Mammary	False	False	False	False	10	10	0.14814397911812333	0.19311695139532664	0.1007223640994256	0.1503856554008045	0.044972972277203316	0.049663291301378906	antiPDL1;;isotype	True	False	False
EMT6_GSE107801_antiTGFb_trap_antiPDL1	EMT6	GSE107801	Mammary carcinoma	Mammary	False	False	False	False	10	10	0.09675844901627804	0.7434342386994304	0.07247072518300346	0.30734664094950903	0.6466757896831523	0.23487591576650557	M7824 (anti_PDL1_TGFb_Trap);anti_PDL1(mut)_TGFb_Trap_control	True	False	False
KPB25L_GSE124821_UV_day3_antiCTLA4&antiPD1	KPB25L	GSE124821	Mammary cancer, NOS	Mammary	False	False	False	False	4	3	1.9996642373180524	3.03820159527341	1.9400286385005052	3.35069624041099	1.0385373579553576	1.4106676019104847	antiPD1; antiCTLA4;;no_treatment	True	False	False
KPB25L_GSE124821_UV_day7_antiCTLA4&antiPD1	KPB25L	GSE124821	Mammary cancer, NOS	Mammary	False	False	False	False	4	6	1.9267391105229015	2.2441641278254147	1.7015899288239875	2.5102673166574148	0.31742501730251327	0.8086773878334272	antiPD1; antiCTLA4;;no_treatment	True	False	False
KPB25L_GSE124821_UV_end_antiCTLA4&antiPD1	KPB25L	GSE124821	Mammary cancer, NOS	Mammary	False	False	False	False	6	4	3.376535004092348	2.034580232234338	3.826553757452385	2.016311709252115	-1.3419547718580098	-1.8102420482002701	antiPD1; antiCTLA4;;no_treatment	True	False	False
KPB25L_GSE124821_day3_antiCTLA4&antiPD1	KPB25L	GSE124821	Mammary cancer, NOS	Mammary	False	False	False	False	5	5	3.029181049806108	3.0910298932539133	3.14075395637055	3.08136689931215	0.06184884344780528	-0.05938705705839986	antiPD1; antiCTLA4;;no_treatment	True	False	False
KPB25L_GSE124821_day7_antiCTLA4&antiPD1	KPB25L	GSE124821	Mammary cancer, NOS	Mammary	False	False	False	False	4	4	2.992719406727982	2.7426183942685523	2.94145343192011	2.9066161627199554	-0.25010101245942984	-0.03483726920015462	antiPD1; antiCTLA4;;no_treatment	True	False	False
KPB25L_GSE124821_end_antiCTLA4&antiPD1	KPB25L	GSE124821	Mammary cancer, NOS	Mammary	False	False	False	False	6	3	3.4126520817840915	3.78826684370036	3.5587643125654997	4.26169643735673	0.3756147619162684	0.7029321247912304	antiPD1; antiCTLA4;;no_treatment	True	False	False
T11_GSE124821_Apobec_day3_antiCTLA4&antiPD1	T11	GSE124821	Mammary cancer, NOS	Mammary	False	False	False	False	4	4	0.24153950286932843	0.3745505974293625	0.2359462401717129	0.34704131928100046	0.13301109456003404	0.11109507910928756	antiPD1; antiCTLA4;;no_treatment	True	False	False
T11_GSE124821_Apobec_day7_antiCTLA4&antiPD1	T11	GSE124821	Mammary cancer, NOS	Mammary	False	False	False	False	4	4	0.10494176922714632	0.3964290828959	0.01042709353438265	0.36234716212489304	0.2914873136687537	0.3519200685905104	antiPD1; antiCTLA4;;no_treatment	True	False	False
T11_GSE124821_Apobec_end_antiCTLA4&antiPD1	T11	GSE124821	Mammary cancer, NOS	Mammary	False	False	False	False	4	4	0.09251530525424052	0.34444681183323594	0.02159111120164255	0.28336965461585195	0.25193150657899543	0.2617785434142094	antiPD1; antiCTLA4;;no_treatment	True	False	False
T11_GSE124821_UV_day3_antiCTLA4&antiPD1	T11	GSE124821	Mammary cancer, NOS	Mammary	False	False	False	False	4	3	0.1026740683924566	0.30399366698476965	0.07360314424602721	0.319764739447131	0.20131959859231305	0.2461615952011038	antiPD1; antiCTLA4;;no_treatment	True	False	False
T11_GSE124821_UV_day7_antiCTLA4&antiPD1	T11	GSE124821	Mammary cancer, NOS	Mammary	False	False	False	False	4	4	0.4073534407815702	0.44660604537001763	0.213621311602647	0.4132111016896205	0.039252604588447426	0.1995897900869735	antiPD1; antiCTLA4;;no_treatment	True	False	False
T11_GSE124821_UV_end_antiCTLA4&antiPD1	T11	GSE124821	Mammary cancer, NOS	Mammary	False	False	False	False	4	5	0.2852555138013886	0.2595699589686632	0.33789472959473954	0.284587569053806	-0.025685554832725388	-0.05330716054093354	antiPD1; antiCTLA4;;no_treatment	True	False	False
T11_GSE124821_day3_antiCTLA4&antiPD1	T11	GSE124821	Mammary cancer, NOS	Mammary	False	False	False	False	4	4	0.163628713206281	0.08027609274528794	0.0620502312041325	0.050555026006381856	-0.08335262046099307	-0.011495205197750644	antiPD1; antiCTLA4;;no_treatment	True	False	False
T11_GSE124821_day7_antiCTLA4&antiPD1	T11	GSE124821	Mammary cancer, NOS	Mammary	False	False	False	False	4	4	0.2016015812206086	0.277320336994813	0.194962999482176	0.3215850312077385	0.07571875577420442	0.12662203172556252	antiPD1; antiCTLA4;;no_treatment	True	False	False
T11_GSE124821_end_antiCTLA4&antiPD1	T11	GSE124821	Mammary cancer, NOS	Mammary	False	False	False	False	5	5	0.11854036639830576	0.11108386059021387	0.0412654146334319	0.0429468514458314	-0.007456505808091887	0.0016814368123995033	antiPD1; antiCTLA4;;no_treatment	True	False	False
p53-2225L_GSE124821_day3_antiCTLA4&antiPD1	p53-2225L	GSE124821	Mammary cancer, NOS	Mammary	False	False	False	False	8	5	3.898453633121589	3.78174653612252	4.366542901133945	3.8890733874046	-0.11670709699906867	-0.477469513729345	antiPD1; antiCTLA4;;no_treatment	True	False	False
p53-2225L_GSE124821_end_antiCTLA4&antiPD1	p53-2225L	GSE124821	Mammary cancer, NOS	Mammary	False	False	False	False	6	3	3.394043055323935	3.2997633084773565	3.579376927128025	3.49885884174825	-0.09427974684657858	-0.0805180853797749	antiPD1; antiCTLA4;;no_treatment	True	False	False
p53-2336R_GSE124821_day3_antiCTLA4&antiPD1	p53-2336R	GSE124821	Mammary cancer, NOS	Mammary	False	False	False	False	3	5	0.0	0.17639883432466702	0.0	0.0	0.17639883432466702	0.0	antiPD1; antiCTLA4;;no_treatment	True	False	False
p53-2336R_GSE124821_end_antiCTLA4&antiPD1	p53-2336R	GSE124821	Mammary cancer, NOS	Mammary	False	False	False	False	8	5	0.1517336046719925	2.169555136080314	0.08224873848357489	0.785441743949315	2.0178215314083214	0.70319300546574	antiPD1; antiCTLA4;;no_treatment	True	False	False
B16_GSE109485_intra&extracranial_antiCTLA4&antiPD1	B16	GSE109485	Melanoma	Melanoma	False	False	False	False	3	3	0.004121673363300867	0.0076217986493453335	0.0	0.0077528188424745	0.0035001252860444665	0.0077528188424745	antiPD1; antiCTLA4; intra&extracranial;;isotype; intra&extracranial;	True	False	False
B16_GSE109485_intracranial_antiCTLA4&antiPD1	B16	GSE109485	Melanoma	Melanoma	False	False	False	False	3	3	0.0023855947572956667	0.019042874566411766	0.0020016382809721	0.0251171055882165	0.016657279809116098	0.0231154673072444	antiPD1; antiCTLA4; intracranial;;isotype; intracranial;	True	False	False
B16_GSE149825_antiCTLA4&antiPD1	B16	GSE149825	Melanoma	Melanoma	False	False	False	False	3	3	0.077101880865998	0.079864880532896	0.0	0.0	0.002762999666898011	0.0	antiPD1; antiCTLA4;;vehicle	True	False	False
B16_GSE149825_birinapant_antiCTLA4&antiPD1	B16	GSE149825	Melanoma	Melanoma	False	False	False	False	3	3	0.09546354910708764	2.603828633159003	0.0769801658363189	2.87369761434297	2.5083650840519156	2.7967174485066515	antiPD1; antiCTLA4; birinapant;birinapant	True	False	False
B16_GSE150401_MDK_knockdown_antiPD1	B16	GSE150401	Melanoma	Melanoma	False	False	False	False	4	4	0.0	0.21215404398300575	0.0	0.1621063958169895	0.21215404398300575	0.1621063958169895	antiPD1;isotype	True	False	False
B16_GSE150401_antiPD1	B16	GSE150401	Melanoma	Melanoma	False	False	False	False	4	4	0.0	0.0574797835081895	0.0	0.0	0.0574797835081895	0.0	antiPD1;isotype	True	False	False
B16_GSE151829_Aire_KO_antiCTLA4	B16	GSE151829	Melanoma	Melanoma	False	False	False	False	5	6	0.6228288226342723	1.0310100854793471	0.776238848933823	0.730170707224903	0.40818126284507483	-0.04606814170892004	antiCTLA4;isotype	True	False	False
B16_GSE151829_antiCTLA4	B16	GSE151829	Melanoma	Melanoma	False	False	False	False	3	6	0.14111845486978783	0.34690976943646173	0.115827599152482	0.321601607789782	0.2057913145666739	0.20577400863729997	antiCTLA4;isotype	True	False	False
B16_GSE152925_Man2a1_KO_antiPDL1	B16	GSE152925	Melanoma	Melanoma	False	False	False	False	3	3	0.0	0.020458133410393733	0.0	0.0	0.020458133410393733	0.0	antiPDL1;isotype	True	False	False
B16_GSE152925_antiPDL1	B16	GSE152925	Melanoma	Melanoma	False	False	False	False	6	6	0.0	0.013112900419935384	0.0	0.0	0.013112900419935384	0.0	antiPDL1;isotype;isotype; PBS	True	False	False
B16_GSE152925_swainsonine_antiPDL1	B16	GSE152925	Melanoma	Melanoma	False	False	False	False	3	3	0.07951813931059483	0.06640259869642899	0.0622149948141085	0.0	-0.013115540614165838	-0.0622149948141085	antiPDL1; swainsonine;swainsonine	True	False	False
D3UV2_GSE159344_antiPD1	D3UV2	GSE159344	Melanoma	Melanoma	False	False	False	False	3	3	0.24713071252132446	1.0959844052158763	0.240623292519232	0.33371567818056	0.8488536926945518	0.09309238566132802	antiPD1;isotype	True	False	False
D4M.3A.3_GSE159344_antiPD1	D4M.3A.3	GSE159344	Melanoma	Melanoma	False	False	False	False	3	3	0.049577902420543996	0.21097662239110068	0.0	0.191002897726662	0.1613987199705567	0.191002897726662	antiPD1;isotype	True	False	False
YUMM1.7_GSE103725_BRAF.inhibitor_antiPDL2	YUMM1.7	GSE103725	Melanoma	Melanoma	False	False	False	False	3	4	0.06187295047089236	0.12016964543363072	0.0655941453224401	0.08236495502065394	0.05829669496273836	0.016770809698213845	BRAFi;BRAFi; antiPDL2;	True	False	False
402230_GSE148856_antiPD1	402230	GSE148856	Sarcoma	Sarcoma	False	False	False	False	4	4	0.35402865800400896	0.5920764417419231	0.3434807777595295	0.668633588210434	0.23804778373791413	0.32515281045090444	antiPD1;isotype	True	False	False
402230_GSE148856_radiation_antiPD1	402230	GSE148856	Sarcoma	Sarcoma	False	False	False	False	4	4	0.7853871758966535	0.9710154722618483	0.717414095291941	0.9763494979905245	0.18562829636519473	0.2589354026985835	antiPD1; radiation;;isotype; radiation;	True	False	False
