stem	cell_line	gse_id	cancer_type	cancer_group	is_lung	is_llc	is_kl	is_kp	n_baseline	n_icb	mean_baseline	mean_icb	median_baseline	median_icb	delta_mean	delta_median	treatments	stratum_all	stratum_lung	stratum_kl_kp_llc
YTN16_GSE146027_anti_IL17_day10_antiPD1	YTN16	GSE146027	Gastric adenocarcinoma	Gastric	False	False	False	False	4	4	3.413465443070627	3.3266317630075406	3.432481145214502	3.353301048765934	-0.08683368006308623	-0.07918009644856783	antiPD1; antiIL17;anti_IL17	True	False	False
YTN16_GSE146027_day10_antiPD1	YTN16	GSE146027	Gastric adenocarcinoma	Gastric	False	False	False	False	4	4	3.427513349824552	3.2013399878887547	3.428560233824655	3.2283736939945613	-0.22617336193579707	-0.2001865398300935	antiPD1;no_treatment	True	False	False
YTN16_GSE146027_day14_antiCTLA4	YTN16	GSE146027	Gastric adenocarcinoma	Gastric	False	False	False	False	4	5	3.3653914222565358	3.576354003892387	3.409682181751527	3.5729373576989785	0.21096258163585135	0.16325517594745165	antiCTLA4;no_treatment	True	False	False
YTN16_GSE146027_day21_antiCTLA4	YTN16	GSE146027	Gastric adenocarcinoma	Gastric	False	False	False	False	3	5	4.57481502569454	3.7009044318782487	4.433451199921664	3.9902515255804603	-0.8739105938162912	-0.44319967434120366	antiCTLA4;no_treatment	True	False	False
YTN16_GSE146027_day7_antiCTLA4	YTN16	GSE146027	Gastric adenocarcinoma	Gastric	False	False	False	False	4	5	3.1229297657358894	3.7872941727010456	3.236987714061916	3.7709789898596937	0.6643644069651562	0.5339912757977778	antiCTLA4;no_treatment	True	False	False
BNL-MEA_GSE148947_antiPD1	BNL-MEA	GSE148947	Hepatocellular carcinoma	Liver	False	False	False	False	3	3	1.413089368474382	1.4953292542845233	1.202613414014831	1.410531139392979	0.08223988581014141	0.2079177253781479	antiPD1;vehicle	True	False	False
BNL-MEA_GSE148947_regorafenib_5_antiPD1	BNL-MEA	GSE148947	Hepatocellular carcinoma	Liver	False	False	False	False	3	3	1.032347940775572	1.6356791588350186	1.2234764560234548	1.6056993185168638	0.6033312180594466	0.382222862493409	antiPD1; regorafenib_5;;regorafenib_5	True	False	False
LLC_GSE155972_Setdb1_KO_antiCTLA4&antiPD1	LLC	GSE155972	Lung carcinoma	Lung	True	True	False	False	10	7	1.33751259832848	1.1951915730369334	1.3391816670267833	1.076967055499382	-0.14232102529154655	-0.26221461152740133	antiPD1; antiCTL4;;no_treatment	True	True	True
LLC_GSE155972_antiCTLA4&antiPD1	LLC	GSE155972	Lung carcinoma	Lung	True	True	False	False	10	6	1.0440841358998063	0.8964532932724344	1.0607077174316664	0.8836165387861395	-0.14763084262737192	-0.17709117864552681	antiPD1; antiCTL4;;no_treatment	True	True	True
4T1_GSE130472_old_antiCTLA4	4T1	GSE130472	Mammary carcinoma	Mammary	False	False	False	False	7	8	4.449373242673232	4.357451344404407	4.389725325514986	4.386281392454816	-0.0919218982688248	-0.0034439330601703233	antiCTLA4; old;;isotype; old;	True	False	False
4T1_GSE130472_old_antiPDL1	4T1	GSE130472	Mammary carcinoma	Mammary	False	False	False	False	7	8	4.449373242673232	4.306379951604754	4.389725325514986	4.2919664713010475	-0.14299329106847836	-0.09775885421393848	antiPDL1; old;;isotype; old;	True	False	False
4T1_GSE130472_young_antiCTLA4	4T1	GSE130472	Mammary carcinoma	Mammary	False	False	False	False	7	12	4.123195280018256	3.894351337501298	4.170429141587409	3.967165960370761	-0.22884394251695772	-0.20326318121664766	antiCTLA4; young;;isotype; young;	True	False	False
4T1_GSE130472_young_antiPDL1	4T1	GSE130472	Mammary carcinoma	Mammary	False	False	False	False	7	10	4.123195280018256	4.121246649374951	4.170429141587409	4.195093079365721	-0.0019486306433043055	0.024663937778312217	antiPDL1; young;;isotype; young;	True	False	False
4T1_GSE132529_antiPD1	4T1	GSE132529	Mammary carcinoma	Mammary	False	False	False	False	3	3	3.499735559605918	3.672608130257867	3.4577172714596998	3.6322764597152966	0.17287257065194916	0.1745591882555968	antiPD1;vehicle	True	False	False
4T1_GSE137818_Brca1_KO_antiPD1	4T1	GSE137818	Mammary carcinoma	Mammary	False	False	False	False	5	5	4.384231441627226	4.303849187096475	4.414481444715167	4.355815156466842	-0.08038225453075132	-0.058666288248325316	antiPD1;no_treatment	True	False	False
4T1_GSE137818_Brca2_KO_antiPD1	4T1	GSE137818	Mammary carcinoma	Mammary	False	False	False	False	5	3	4.656648997337583	4.686140643699107	4.6711394591374455	4.705194239116012	0.02949164636152446	0.03405477997856643	antiPD1;no_treatment	True	False	False
E0771_GSE174053_high.fat.diet_antiPD1	E0771	GSE174053	Mammary adenocarcinoma	Mammary	False	False	False	False	8	8	1.2021128477935696	1.2001358076508204	0.909757154150063	1.1394175539915006	-0.0019770401427492423	0.2296603998414376	antiPD1; high.fat.diet;;isotype; high.fat.diet;	True	False	False
EMT6_GSE107801_antiPDL1	EMT6	GSE107801	Mammary carcinoma	Mammary	False	False	False	False	10	10	0.6164087757626392	0.7902078210301712	0.6068639731186596	0.6794789688593645	0.17379904526753198	0.07261499574070496	antiPDL1;;isotype	True	False	False
EMT6_GSE107801_antiTGFb_trap_antiPDL1	EMT6	GSE107801	Mammary carcinoma	Mammary	False	False	False	False	10	10	0.5946578502925932	0.9777721104765067	0.5246990762715924	0.9992348245076771	0.3831142601839135	0.4745357482360847	M7824 (anti_PDL1_TGFb_Trap);anti_PDL1(mut)_TGFb_Trap_control	True	False	False
KPB25L_GSE124821_UV_day3_antiCTLA4&antiPD1	KPB25L	GSE124821	Mammary cancer, NOS	Mammary	False	False	False	False	4	3	5.2603748624392015	5.513025592615519	5.173223221622315	5.300065157400352	0.2526507301763177	0.12684193577803704	antiPD1; antiCTLA4;;no_treatment	True	False	False
KPB25L_GSE124821_UV_day7_antiCTLA4&antiPD1	KPB25L	GSE124821	Mammary cancer, NOS	Mammary	False	False	False	False	4	6	3.721364287360323	3.8126845476185665	3.725783194554161	4.494541967999055	0.09132026025824347	0.768758773444894	antiPD1; antiCTLA4;;no_treatment	True	False	False
KPB25L_GSE124821_UV_end_antiCTLA4&antiPD1	KPB25L	GSE124821	Mammary cancer, NOS	Mammary	False	False	False	False	6	4	5.856454453835713	5.585143300374374	6.705706326787936	5.658136632025284	-0.2713111534613395	-1.047569694762652	antiPD1; antiCTLA4;;no_treatment	True	False	False
KPB25L_GSE124821_day3_antiCTLA4&antiPD1	KPB25L	GSE124821	Mammary cancer, NOS	Mammary	False	False	False	False	5	5	6.266230620061068	5.192161675223562	6.304593741807476	4.39572020201528	-1.0740689448375056	-1.9088735397921957	antiPD1; antiCTLA4;;no_treatment	True	False	False
KPB25L_GSE124821_day7_antiCTLA4&antiPD1	KPB25L	GSE124821	Mammary cancer, NOS	Mammary	False	False	False	False	4	4	6.229139425264373	5.947423365627609	6.147971737794508	5.915445607918569	-0.28171605963676427	-0.23252612987593935	antiPD1; antiCTLA4;;no_treatment	True	False	False
KPB25L_GSE124821_end_antiCTLA4&antiPD1	KPB25L	GSE124821	Mammary cancer, NOS	Mammary	False	False	False	False	6	3	6.500913414049381	6.610418902347843	6.536182454749488	6.613573775418596	0.10950548829846163	0.0773913206691077	antiPD1; antiCTLA4;;no_treatment	True	False	False
T11_GSE124821_Apobec_day3_antiCTLA4&antiPD1	T11	GSE124821	Mammary cancer, NOS	Mammary	False	False	False	False	4	4	1.0868249485406198	0.9997340862975079	1.0609967572275716	1.0522778748919368	-0.08709086224311191	-0.008718882335634781	antiPD1; antiCTLA4;;no_treatment	True	False	False
T11_GSE124821_Apobec_day7_antiCTLA4&antiPD1	T11	GSE124821	Mammary cancer, NOS	Mammary	False	False	False	False	4	4	0.8286072943714938	0.8462689084540799	0.832547910440393	0.8187596387760085	0.01766161408258604	-0.013788271664384455	antiPD1; antiCTLA4;;no_treatment	True	False	False
T11_GSE124821_Apobec_end_antiCTLA4&antiPD1	T11	GSE124821	Mammary cancer, NOS	Mammary	False	False	False	False	4	4	0.8589855625842353	1.074227409985824	0.837665041174446	1.0187528000549289	0.2152418474015887	0.1810877588804829	antiPD1; antiCTLA4;;no_treatment	True	False	False
T11_GSE124821_UV_day3_antiCTLA4&antiPD1	T11	GSE124821	Mammary cancer, NOS	Mammary	False	False	False	False	4	3	0.7482249655086936	0.9247073393360639	0.764000331321286	0.9756666501383384	0.1764823738273703	0.21166631881705245	antiPD1; antiCTLA4;;no_treatment	True	False	False
T11_GSE124821_UV_day7_antiCTLA4&antiPD1	T11	GSE124821	Mammary cancer, NOS	Mammary	False	False	False	False	4	4	0.8501286268681008	1.2145889351773216	0.8675894058097454	1.2245785903071722	0.3644603083092208	0.3569891844974268	antiPD1; antiCTLA4;;no_treatment	True	False	False
T11_GSE124821_UV_end_antiCTLA4&antiPD1	T11	GSE124821	Mammary cancer, NOS	Mammary	False	False	False	False	4	5	1.0505399564682563	0.9394656096745445	1.0790080123322592	0.9616386942778782	-0.11107434679371175	-0.117369318054381	antiPD1; antiCTLA4;;no_treatment	True	False	False
T11_GSE124821_day3_antiCTLA4&antiPD1	T11	GSE124821	Mammary cancer, NOS	Mammary	False	False	False	False	4	4	1.0174850067686687	0.8363623715885701	0.9614180259329922	0.8488145033091157	-0.18112263518009863	-0.11260352262387652	antiPD1; antiCTLA4;;no_treatment	True	False	False
T11_GSE124821_day7_antiCTLA4&antiPD1	T11	GSE124821	Mammary cancer, NOS	Mammary	False	False	False	False	4	4	0.9196740303869977	1.13026016667699	0.9024708096270941	1.1143690629298266	0.21058613628999234	0.2118982533027325	antiPD1; antiCTLA4;;no_treatment	True	False	False
T11_GSE124821_end_antiCTLA4&antiPD1	T11	GSE124821	Mammary cancer, NOS	Mammary	False	False	False	False	5	5	0.9363576263182727	0.9443077781525222	0.8478228441350583	0.863717527737764	0.00795015183424952	0.01589468360270574	antiPD1; antiCTLA4;;no_treatment	True	False	False
p53-2225L_GSE124821_day3_antiCTLA4&antiPD1	p53-2225L	GSE124821	Mammary cancer, NOS	Mammary	False	False	False	False	8	5	5.896967163327134	6.523226007474788	6.1131357914193325	6.658027491437855	0.626258844147654	0.5448917000185229	antiPD1; antiCTLA4;;no_treatment	True	False	False
p53-2225L_GSE124821_end_antiCTLA4&antiPD1	p53-2225L	GSE124821	Mammary cancer, NOS	Mammary	False	False	False	False	6	3	6.298314111104627	6.594078476240455	6.217974828742388	6.61512908430863	0.2957643651358275	0.3971542555662415	antiPD1; antiCTLA4;;no_treatment	True	False	False
p53-2336R_GSE124821_day3_antiCTLA4&antiPD1	p53-2336R	GSE124821	Mammary cancer, NOS	Mammary	False	False	False	False	3	5	3.6002197539924823	3.7199952836866133	3.620615994303588	3.709937211618988	0.11977552969413097	0.08932121731540033	antiPD1; antiCTLA4;;no_treatment	True	False	False
p53-2336R_GSE124821_end_antiCTLA4&antiPD1	p53-2336R	GSE124821	Mammary cancer, NOS	Mammary	False	False	False	False	8	5	3.9797499064469237	4.869712664562923	3.8166950831545208	5.220308285301073	0.889962758115999	1.403613202146552	antiPD1; antiCTLA4;;no_treatment	True	False	False
B16_GSE109485_intra&extracranial_antiCTLA4&antiPD1	B16	GSE109485	Melanoma	Melanoma	False	False	False	False	3	3	0.6703276072071079	0.81883030435342	0.6637981875861733	0.7981708307641284	0.14850269714631203	0.13437264317795516	antiPD1; antiCTLA4; intra&extracranial;;isotype; intra&extracranial;	True	False	False
B16_GSE109485_intracranial_antiCTLA4&antiPD1	B16	GSE109485	Melanoma	Melanoma	False	False	False	False	3	3	0.6823957260441594	0.7609149947926763	0.6655758852931563	0.746407216601772	0.07851926874851689	0.08083133130861575	antiPD1; antiCTLA4; intracranial;;isotype; intracranial;	True	False	False
B16_GSE149825_antiCTLA4&antiPD1	B16	GSE149825	Melanoma	Melanoma	False	False	False	False	3	3	0.3998368326309598	0.41570281506319545	0.3853201471529024	0.4048036598297899	0.015865982432235637	0.01948351267688747	antiPD1; antiCTLA4;;vehicle	True	False	False
B16_GSE149825_birinapant_antiCTLA4&antiPD1	B16	GSE149825	Melanoma	Melanoma	False	False	False	False	3	3	0.3982477633692649	0.8952301188746873	0.4243545319397382	0.7606667329154014	0.4969823555054224	0.3363122009756632	antiPD1; antiCTLA4; birinapant;birinapant	True	False	False
B16_GSE150401_MDK_knockdown_antiPD1	B16	GSE150401	Melanoma	Melanoma	False	False	False	False	4	4	0.6035469421047757	0.6885313489662517	0.5926640619499044	0.6853256118729659	0.08498440686147601	0.09266154992306153	antiPD1;isotype	True	False	False
B16_GSE150401_antiPD1	B16	GSE150401	Melanoma	Melanoma	False	False	False	False	4	4	0.6763725172415347	0.567704755921431	0.6761812205982757	0.5751363450181725	-0.1086677613201037	-0.10104487558010322	antiPD1;isotype	True	False	False
B16_GSE151829_Aire_KO_antiCTLA4	B16	GSE151829	Melanoma	Melanoma	False	False	False	False	5	6	0.7858860715730721	0.8250612875840132	0.8085610229383152	0.8329062518168245	0.039175216010941094	0.024345228878509317	antiCTLA4;isotype	True	False	False
B16_GSE151829_antiCTLA4	B16	GSE151829	Melanoma	Melanoma	False	False	False	False	3	6	0.7539937882852915	0.6691688740166498	0.7509162339485158	0.6894533195864885	-0.0848249142686417	-0.06146291436202733	antiCTLA4;isotype	True	False	False
B16_GSE152925_Man2a1_KO_antiPDL1	B16	GSE152925	Melanoma	Melanoma	False	False	False	False	3	3	0.6332566466402247	0.5525946639612532	0.656423337161803	0.5436972139156393	-0.08066198267897151	-0.11272612324616371	antiPDL1;isotype	True	False	False
B16_GSE152925_antiPDL1	B16	GSE152925	Melanoma	Melanoma	False	False	False	False	6	6	0.5645149884881058	0.5201431545943886	0.5721143164053595	0.4886085501074172	-0.04437183389371713	-0.08350576629794226	antiPDL1;isotype;isotype; PBS	True	False	False
B16_GSE152925_swainsonine_antiPDL1	B16	GSE152925	Melanoma	Melanoma	False	False	False	False	3	3	0.5117272050060322	0.5856138010947568	0.5081699822216906	0.5313616005023228	0.07388659608872461	0.02319161828063221	antiPDL1; swainsonine;swainsonine	True	False	False
D3UV2_GSE159344_antiPD1	D3UV2	GSE159344	Melanoma	Melanoma	False	False	False	False	3	3	1.0457394465674976	1.1699166391472782	1.0716709795196333	1.1449064259329202	0.12417719257978055	0.07323544641328694	antiPD1;isotype	True	False	False
D4M.3A.3_GSE159344_antiPD1	D4M.3A.3	GSE159344	Melanoma	Melanoma	False	False	False	False	3	3	0.8873201943685475	0.8546926368604221	0.9473654614049754	0.7750795717366865	-0.032627557508125404	-0.17228588966828884	antiPD1;isotype	True	False	False
YUMM1.7_GSE103725_BRAF.inhibitor_antiPDL2	YUMM1.7	GSE103725	Melanoma	Melanoma	False	False	False	False	3	4	0.7722606188087472	0.6961403561865377	0.7371198589505086	0.6869565334230241	-0.0761202626222095	-0.05016332552748448	BRAFi;BRAFi; antiPDL2;	True	False	False
402230_GSE148856_antiPD1	402230	GSE148856	Sarcoma	Sarcoma	False	False	False	False	4	4	0.9030737881518403	1.0030037993058398	0.928753072527132	0.9953504610445145	0.09993001115399958	0.0665973885173825	antiPD1;isotype	True	False	False
402230_GSE148856_radiation_antiPD1	402230	GSE148856	Sarcoma	Sarcoma	False	False	False	False	4	4	1.091382066720111	1.0909976079023342	1.107712001396319	1.0682545714607115	-0.00038445881777682267	-0.039457429935607635	antiPD1; radiation;;isotype; radiation;	True	False	False
