"sample","TACSTD2","CD274","EPCAM","ACTB","PTPRC","CD8A"
"SAM025b45c27e05",9994,108,13694,697748,12071,212
"SAMe07c4560772d",6153,18,7187,192434,1042,44
"SAM2dc578e0165f",6354,1610,36616,471200,14593,365
"SAM3785587846ce",8030,48,8316,205689,4797,136
"SAM560f23d6a3ad",710,1593,34263,352582,52790,2304
"SAM52500cabdd36",5319,57,12197,156783,3715,250
"SAM14df63a65411",4753,159,31124,478299,8067,274
"SAMf3a9bce50099",8180,116,9435,435702,16084,672
"SAMffa5c7cad0e5",3129,122,6968,402394,15814,294
"SAMdab9ca8fb5de",5636,99,9698,425232,13297,706
"SAM34430ef08e5b",1038,50,3524,94719,18284,744
"SAM4b0175e8db6e",3329,163,7122,242043,20615,428
"SAMf28c01545593",4681,40,7310,99534,1590,105
"SAMaec7380f9ab0",88,107,64527,270886,6650,519
"SAMaf7578d55754",4002,304,24428,745677,19045,1243
"SAMbd8ee73983b8",5925,52,14263,297819,5679,156
"SAMe94c30c30616",6495,273,8873,278356,12958,506
"SAM54e58f1b0230",11826,25,79389,309341,2190,27
"SAM5e3bae090b8c",4587,86,36672,266467,10232,301
"SAM3cb94b0d5297",4677,108,1859,213314,15289,441
"SAM61b9d4d84c64",13966,166,22812,407843,23725,889
"SAM8a42c0d59187",1220,152,29914,200257,837,37
"SAMcb132b0cdd2c",4569,426,58348,447469,56445,922
"SAMe97af0feefdf",8100,72,17443,560355,12304,462
"SAMee3844cc0b9f",1802,215,5571,354568,23154,766
"SAM73b653ae20d1",2237,6121,3351,1116963,12088,384
"SAMdcae54fcd7fa",3123,330,20132,326243,27105,473
"SAMdad5c29dc105",4237,137,29507,336493,7303,249
"SAMa424c75831b4",3056,79,15083,169419,6084,1003
"SAM28687037e4ff",4583,842,3296,701404,32862,2707
"SAMe50d15fde368",13512,66,23477,310913,1895,98
"SAM45c8e6412c66",2337,1049,14129,546165,21686,2460
"SAM8533e5e261d6",11849,75,20336,245799,1665,102
"SAMaaf505c36f93",17889,85,5513,406315,11744,244
"SAM73663ee4a96e",6991,136,4994,232561,12359,428
"SAM0bdb3428bd13",5140,79,10741,501891,9316,342
"SAM3330c03fdf00",845,514,5242,505787,154419,2916
"SAM0a7c2091dd56",8170,352,1070,563324,9554,384
"SAM7bff231634e9",10959,1681,69148,628786,12482,1390
"SAM5d1dfd5207f5",13979,55,25574,346451,1635,160
"SAMeb587a68006b",1601,97,22804,500149,15297,471
"SAM99a46b9eec27",4613,407,15710,478535,50684,2501
"SAM1ac4e3dee297",6533,22,8199,342876,1230,76
"SAM553c3c35b847",1472,849,5297,418819,72641,5604
"SAM3e04eb914f3d",2492,267,7390,371415,34967,1976
"SAMc2a1820d4e6b",2328,194,11306,413950,46299,2338
"SAM822b226466a1",5339,74,13375,118770,1830,103
"SAMabc151b01ea3",1091,43,12675,257767,4301,267
"SAMe1eb5d988760",3421,317,11141,392373,31205,1427
"SAMe3210d3632b4",4332,479,6342,574173,24923,924
"SAMb15ad09d6e24",4708,876,11114,578405,61286,5496
"SAM7893196e0e89",7058,202,46902,270243,6500,171
"SAM3f446449bf81",3196,205,5375,211774,10186,639
"SAM961d04c42bd9",4497,83,31825,429513,13789,753
"SAMb0d11db9aa79",8681,795,4930,263993,25042,2794
"SAM19fec8f3b3bd",218,221,1242,195255,6802,235
"SAM6083aac8db99",17692,322,30148,693357,23952,1460
"SAM7ee2b6e4d6b3",6762,90,6034,220699,6182,217
"SAMa90d73f8d891",2448,4,818,250504,2470,179
"SAMaff272833538",2797,125,26180,401250,20672,412
"SAM415f36ad349e",1507,439,47534,326589,20373,290
"SAM7c67b05aa109",7590,29,9390,253007,1007,10
"SAMad83c9c53537",4590,139,11838,478760,8850,142
"SAM3e8baff50d7a",751,108,53188,434231,9974,93
"SAM3ee5dcd894f0",6304,126,17478,257318,17234,174
"SAM8a1b0e02ee42",5628,61,73726,486144,3855,260
"SAMd7d57ee3a863",974,783,4945,411195,34201,3900
"SAMeb29625f76a5",6620,128,6188,401890,8360,279
"SAM563d6233dfa2",3819,212,4661,176302,2112,6
"SAM4581bac493af",12472,303,27871,295812,21677,1167
"SAMa1871f491b02",10442,137,18803,178343,6681,375
"SAM30cf07d4874f",1454,255,19886,458026,43196,990
"SAM31291c256373",20169,161,32269,624993,15876,911
"SAMd135d5867fe3",200,894,1285,395624,23391,386
"SAM9e11ec6bea80",11117,3086,15821,588464,32616,5644
"SAM065890737112",10616,172,36437,216041,12638,812
"SAMb470eb8f04be",6510,151,9753,227491,18974,822
"SAM675a12a09c15",1989,72,7350,244443,4307,112
"SAM1e9c4d1d39ae",19690,236,46673,552588,11109,826
"SAM5a2347c0498a",14184,64,32237,325959,7662,129
"SAM0571f17f4045",2119,339,5459,392368,134458,3829
"SAM4b7ea015fd9e",1758,65,1550,47299,2874,32
"SAM9306c5c92444",15499,351,29915,400801,16132,916
"SAMb15ac6e4c4ef",10684,217,14595,186444,14452,799
"SAM28e6031ac18b",5530,137,26195,199972,1301,58
"SAMd86389d0d768",6703,17,13915,151425,2020,91
"SAM63b2189c36d7",8542,48,26092,152634,6786,68
"SAM18be5b395318",4228,175,46419,178055,9356,589
"SAM0d855cff64e6",1997,138,51339,254176,12172,181
"SAM6cbc10abddb0",4921,206,17645,319505,20829,1543
"SAMdee1011782cd",4755,96,3299,331199,21746,1186
"SAMe9475f77504b",879,104,19956,162071,9365,928
"SAMa535fcdf18a0",4599,48,15265,194561,5333,379
"SAM7746b76437e6",3692,26,7080,363928,1151,94
"SAM548551ef782c",1985,263,72158,611608,6892,288
"SAM203dcf14f927",17178,416,15051,418424,44550,3444
"SAMe41b1e773582",11083,92,6438,484469,10549,901
"SAM978a587b207e",8921,392,48554,565137,11676,895
"SAM5234688806a7",2056,15,4034,82948,1000,73
"SAM2c9586161ce6",8280,67,1408,229495,2785,81
"SAM76a431ba6ce1",2640,94,16653,315405,11889,464
"SAM7a9093b9c7e9",2480,64,18254,247845,25759,1672
"SAM8f2275c36e8c",5871,34,28179,400567,5724,205
"SAMab8052a03398",59,270,152,311931,23231,301
"SAMd3bd67996035",3802,411,17031,355575,72521,2196
"SAMfddc359e862b",3719,189,18379,258373,23183,681
"SAM753d4bb52dbe",5689,92,19756,495285,22595,832
"SAMd3601288319e",12382,271,26870,253918,31274,1615
"SAM59f392864f5d",8905,136,22730,339725,23879,1979
"SAM26104d5adc89",4172,67,3046,239870,4155,158
"SAMba1a34b5a060",2818,196,11521,338701,14218,494
"SAM18a4dabbc557",6899,698,53907,376625,16837,1140
"SAMfb7aec7cb0e2",8323,1331,41571,470069,34672,2110
"SAMfed609955db9",3799,181,30366,301277,6897,123
"SAMb8070b7937e7",7256,99,16296,180240,7877,100
"SAMf2aae1443f67",8503,102,9557,290814,4929,190
"SAM2bba8cb35e48",4263,51,1110,240030,9622,968
"SAMcee0fa8c05b4",17703,149,38736,322064,21259,788
"SAM5c139c5c1c4f",3977,73,3173,133795,7078,610
"SAMc1251c7bfee2",191,348,68249,390445,14384,412
"SAM6780ed436b55",1792,223,14505,387550,11516,1156
"SAM85f0a3ac1c45",5090,94,4910,273449,2711,63
"SAM9d2494119c05",5157,35,9520,200022,3797,125
"SAM9410b866974a",8239,188,43448,728650,29267,963
"SAM5d989c86255e",1335,68,10482,306771,7542,219
"SAM27299aed7681",13617,117,12639,367084,7562,404
"SAM49d48750e294",2331,83,8921,391835,7669,168
"SAMd43f8933066b",3469,181,12964,315486,21035,3389
"SAM7aa01fc49a80",3784,267,27119,235275,42248,1416
"SAM0257bbbbd388",14453,135,33158,290507,9890,737
"SAMc919aebc7fdd",3207,160,6048,105663,24020,942
"SAMa321770ac31c",12242,138,5330,408174,8906,1016
"SAM3894ac3956a5",6405,168,28477,619513,22887,757
"SAM3779e979db6b",5545,238,13248,350465,19106,501
"SAM1c0ecfb3eb63",4461,484,2633,519187,28699,763
"SAMbf91f27e7f9b",2217,119,8884,199007,25769,957
"SAMbcb07ba81cee",984,35,1306,60947,4591,310
"SAM9aa6a095a9d6",5411,122,5004,208564,13574,496
"SAM957378bd907f",1372,439,3260,393274,114584,1826
"SAMf82bbdc267c8",8408,29,7174,200343,1421,96
"SAM2624229effe8",1288,56,1765,238037,7227,558
"SAMd2492b2a31bb",1025,450,7334,441636,11157,383
"SAM670649e105b5",6686,187,9144,547924,14201,453
"SAM91c47b054ffb",5564,213,23349,253789,10010,1165
"SAM491e341d5a82",4500,102,27340,292804,4440,133
"SAM5fe7a81a39dd",4019,235,15873,145470,19641,1177
"SAM29da928587ad",2030,114,14508,204637,5656,212
"SAM0a0f2bac4b20",5176,343,29746,527696,20196,802
"SAM8e469834acc1",5731,85,5630,276476,7075,372
"SAM8e43e9caf307",9395,129,48371,296425,5005,522
"SAM99b1f6a9534e",5353,69,29615,241663,4239,287
"SAM12502d970c10",4378,63,11380,151969,5924,165
"SAM9681450bbc90",3704,412,3815,352488,29701,3225
"SAM7d7c54623618",1456,53,15491,284552,6307,263
"SAM181b638b8248",3474,743,9651,332130,29302,1859
"SAMbfdffb97c446",2300,727,29246,398188,20527,1262
"SAM3b15b4c6311d",5512,1356,7744,688957,17720,1925
"SAM00b9e5c52da9",3982,205,2305,297216,19997,671
"SAM59b825252c0d",7494,483,55240,917511,31777,1499
"SAM1c8b086175ca",2106,60,4196,330645,5735,374
"SAMeaa477a5384b",9542,347,2160,215226,21554,2213
"SAM1dda30f1c5be",3963,179,10490,442231,18626,346
"SAM9eebdef2858a",537,248,24075,162065,4346,184
"SAM9daccafc18db",376,54,5527,125646,4605,308
"SAM2eb07dedf07f",277,100,1930,80762,16060,862
"SAM25510f300d79",12856,140,22492,643819,5402,102
"SAMbda79f955628",1218,95,3778,93764,15414,4601
"SAM9b9d48b0b02c",7119,152,23642,239385,8904,612
"SAMff41c4e8c08f",7281,129,6472,360340,31297,820
"SAMc97f35a29d16",1436,4,3688,85724,275,22
"SAM187e056d6a2a",5712,38,8777,538881,3782,103
"SAMbc8dc3a7b54e",5034,27,16916,277546,680,74
"SAM7b40007f4aa4",2015,30,21146,252126,499,222
"SAM568ce160abd9",413,71,494,113953,3722,230
"SAM14938611a2d3",10139,264,19793,276809,8163,460
"SAM1a87df750b9d",2726,178,5610,290738,8615,709
"SAMae02629a97f7",3580,22,8198,181948,1600,45
"SAM47fc46c3d6be",1908,372,8436,305803,23773,1500
"SAM7829a341b9f3",8320,428,7082,341078,5642,414
"SAM0f956e757453",5214,56,14100,352484,5804,262
"SAMaf42c1541269",8181,366,8436,394251,21867,2955
"SAM09c84ec0cf34",2949,31,5157,316460,1790,4
"SAM7538ad9ff524",11205,105,888,287483,3809,299
"SAM95c70496ffb5",3484,129,5195,286821,14364,887
"SAM7edacb3deb65",4128,51,14817,89702,3467,235
"SAMb2e4a082541a",43,500,73,408484,84868,929
"SAM771445e92421",1521,170,823,135824,10878,634
"SAM59fda9035d1d",544,120,582,481295,2995,25
"SAM727c0e92a2a7",3283,633,12639,410376,49562,2056
"SAM6f2a102a99df",2680,637,20158,276585,13862,989
"SAMe56c96c51190",1331,601,3441,384061,24252,1550
"SAM2b672f4336c7",5173,52,5086,164851,6241,263
"SAM1ab1b28d9f2b",3001,43,13080,107768,2802,159
"SAM1bcc62d8290c",26,136,41163,250365,1982,244
"SAM6662f5181f87",7315,251,3807,436895,8527,378
"SAMe0c49ea0df5d",3816,121,3154,444940,7759,211
"SAM59289ca42c99",1585,153,2676,280378,6698,376
"SAM18b9351e265a",198,245,42488,388722,18046,775
"SAM7fb7a13c096b",1981,87,2704,209828,6723,127
"SAM87a8e18eb45b",6232,49,4603,318758,2620,57
"SAM1f3c93814cb9",5903,151,7450,258743,7496,304
"SAM5fc9ae0aed1f",3139,538,6671,739207,18637,1056
"SAM9725303dce0c",18793,203,35817,277298,7824,182
"SAM6ff654a20f98",2663,73,7358,227768,8327,275
"SAM65afda25b920",644,100,249,127257,8368,929
"SAMef0e3d2415fd",146,366,1252,266151,31481,3094
"SAM07a93a28f801",1182,141,12890,198237,2344,167
"SAM94859b440b1d",3736,36,2979,304067,1464,112
"SAM58e7832f4e7d",8121,23,3241,317533,523,22
"SAMc57eadb2d82b",5725,18,15570,230122,465,7
"SAMd5ab7fbfab4e",7575,964,4371,302112,20266,1235
"SAM5767dd75d142",3989,132,8683,229052,4988,236
"SAMaabf4afe4213",1787,49,12739,251109,6598,368
"SAMcc7a42d87e9c",7554,83,6556,558820,4651,447
"SAMce39dd79b441",2358,184,1839,601541,3685,233
"SAM75f12d1a55fc",1572,350,5364,286017,19645,929
"SAM6964a6d7b967",5400,139,17765,166726,1115,67
"SAM3b1066e5801b",370,115,680,119701,22320,606
"SAMf20b827dca51",2966,431,6309,368218,35950,2456
"SAM6792d6e98068",5907,66,8189,304019,1253,24
"SAM31d9176e11fb",5505,307,3607,367936,8141,555
"SAM04c589eb3fb3",3120,29,671,166900,2194,201
"SAM5cc2d9036053",686,26,507,116052,1574,60
"SAMb8101c538753",1703,813,1810,425662,5100,439
"SAM80c6183220e6",1408,247,1403,180401,11225,502
"SAM572f19794c96",5124,519,8310,346185,6870,351
"SAM1abf01dd4544",2762,108,11764,146227,12188,419
"SAM1f83ebd6be9b",3899,51,1772,98944,1733,113
"SAM1f66db567eb5",1996,489,7323,529292,12232,748
"SAM4918c524b83a",16613,54,6290,239688,1733,62
"SAMa0ca029b7afd",4395,56,5096,203758,6401,271
"SAM6157c8f38b72",3436,93,1177,301109,7013,445
"SAMe7e4f7c076a7",8239,1230,4120,635654,16632,947
"SAMbe25e2c88f3e",380,509,1132,77406,20049,6369
"SAM4caabd64e7fd",6087,43,2850,169352,3738,261
"SAMc6eff056c89a",4917,101,3848,182141,16280,531
"SAM5cfa1699bdb7",4989,134,24153,489058,6568,202
"SAMda4d892fddc8",7249,82,5575,216606,6097,202
"SAM3a1c9632ff7b",3046,15,5175,220180,1170,65
"SAM8b4b8b0f9e73",4061,117,2662,195721,15160,766
"SAMe3d4266775a9",6336,108,3075,250415,4780,182
"SAM2de7cffb5f72",3856,156,5160,177101,5436,281
