CCLE_ID,ccle,lineage,lineage_subtype,primary_disease,cell_line_name
NCIH520_LUNG,NCIH520_LUNG,lung,NSCLC,Lung Cancer,NCI-H520
HCC15_LUNG,HCC15_LUNG,lung,NSCLC,Lung Cancer,HCC-15
CALU6_LUNG,CALU6_LUNG,lung,NSCLC,Lung Cancer,Calu-6
SKLU1_LUNG,SKLU1_LUNG,lung,NSCLC,Lung Cancer,SK-LU-1
SW900_LUNG,SW900_LUNG,lung,NSCLC,Lung Cancer,SW 900
PC14_LUNG,PC14_LUNG,lung,NSCLC,Lung Cancer,PC-14
NCIH810_LUNG,NCIH810_LUNG,lung,NSCLC,Lung Cancer,NCI-H810
RERFLCMS_LUNG,RERFLCMS_LUNG,lung,NSCLC,Lung Cancer,RERF-LC-MS
NCIH460_LUNG,NCIH460_LUNG,lung,NSCLC,Lung Cancer,NCI-H460
LU99_LUNG,LU99_LUNG,lung,NSCLC,Lung Cancer,LU99
CAL12T_LUNG,CAL12T_LUNG,lung,NSCLC,Lung Cancer,CAL-12T
LUDLU1_LUNG,LUDLU1_LUNG,lung,NSCLC,Lung Cancer,LUDLU-1
CORL23_LUNG,CORL23_LUNG,lung,NSCLC,Lung Cancer,COR-L23
MORCPR_LUNG,MORCPR_LUNG,lung,NSCLC,Lung Cancer,MOR/CPR
HARA_LUNG,HARA_LUNG,lung,NSCLC,Lung Cancer,HARA
NCIH1568_LUNG,NCIH1568_LUNG,lung,NSCLC,Lung Cancer,NCI-H1568
NCIH1563_LUNG,NCIH1563_LUNG,lung,NSCLC,Lung Cancer,NCI-H1563
NCIH358_LUNG,NCIH358_LUNG,lung,NSCLC,Lung Cancer,NCI-H358
NCIH1650_LUNG,NCIH1650_LUNG,lung,NSCLC,Lung Cancer,NCI-H1650
NCIH1793_LUNG,NCIH1793_LUNG,lung,NSCLC,Lung Cancer,NCI-H1793
NCIH1437_LUNG,NCIH1437_LUNG,lung,NSCLC,Lung Cancer,NCI-H1437
KNS62_LUNG,KNS62_LUNG,lung,NSCLC,Lung Cancer,KNS-62
SW1271_LUNG,SW1271_LUNG,lung,SCLC,Lung Cancer,SW 1271
NCIH1792_LUNG,NCIH1792_LUNG,lung,NSCLC,Lung Cancer,NCI-H1792
NCIH82_LUNG,NCIH82_LUNG,lung,SCLC,Lung Cancer,NCI-H82
IALM_LUNG,IALM_LUNG,lung,NSCLC,Lung Cancer,IA-LM
NCIH1355_LUNG,NCIH1355_LUNG,lung,NSCLC,Lung Cancer,NCI-H1355
HCC95_LUNG,HCC95_LUNG,lung,NSCLC,Lung Cancer,HCC-95
HCC1438_LUNG,HCC1438_LUNG,lung,NSCLC,Lung Cancer,HCC-1438
HCC2108_LUNG,HCC2108_LUNG,lung,NSCLC,Lung Cancer,HCC-2108
HCC1359_LUNG,HCC1359_LUNG,lung,NSCLC,Lung Cancer,HCC-1359
NCIH2110_LUNG,NCIH2110_LUNG,lung,NSCLC,Lung Cancer,NCI-H2110
CHAGOK1_LUNG,CHAGOK1_LUNG,lung,NSCLC,Lung Cancer,ChaGo-K-1
DMS454_LUNG,DMS454_LUNG,lung,SCLC,Lung Cancer,DMS 454
DMS273_LUNG,DMS273_LUNG,lung,SCLC,Lung Cancer,DMS 273
CORL311_LUNG,CORL311_LUNG,lung,SCLC,Lung Cancer,COR-L311
NCIH2286_LUNG,NCIH2286_LUNG,lung,SCLC,Lung Cancer,NCI-H2286
NCIH1339_LUNG,,,,,
NCIH2081_LUNG,NCIH2081_LUNG,lung,SCLC,Lung Cancer,NCI-H2081
NCIH1092_LUNG,NCIH1092_LUNG,lung,SCLC,Lung Cancer,NCI-H1092
NCIH1105_LUNG,NCIH1105_LUNG,lung,SCLC,Lung Cancer,NCI-H1105
NCIH1436_LUNG,NCIH1436_LUNG,lung,SCLC,Lung Cancer,NCI-H1436
NCIH1876_LUNG,NCIH1876_LUNG,lung,SCLC,Lung Cancer,NCI-H1876
CORL24_LUNG,CORL24_LUNG,lung,SCLC,Lung Cancer,COR-L24
CORL88_LUNG,CORL88_LUNG,lung,SCLC,Lung Cancer,COR-L88
CORL95_LUNG,CORL95_LUNG,lung,SCLC,Lung Cancer,COR-L95
NCIH2172_LUNG,NCIH2172_LUNG,lung,NSCLC,Lung Cancer,NCI-H2172
NCIH596_LUNG,NCIH596_LUNG,lung,NSCLC,Lung Cancer,NCI-H596
NCIH650_LUNG,NCIH650_LUNG,lung,NSCLC,Lung Cancer,NCI-H650
SW1573_LUNG,SW1573_LUNG,lung,NSCLC,Lung Cancer,SW 1573
HCC366_LUNG,HCC366_LUNG,lung,NSCLC,Lung Cancer,HCC-366
NCIH292_LUNG,NCIH292_LUNG,lung,NSCLC,Lung Cancer,NCI-H292
HCC1833_LUNG,HCC1833_LUNG,lung,NSCLC,Lung Cancer,HCC-1833
CORL279_LUNG,CORL279_LUNG,lung,SCLC,Lung Cancer,COR-L279
NCIH3255_LUNG,NCIH3255_LUNG,lung,NSCLC,Lung Cancer,NCI-H3255
HCC1195_LUNG,HCC1195_LUNG,lung,NSCLC,Lung Cancer,HCC-1195
NCIH854_LUNG,NCIH854_LUNG,lung,NSCLC,Lung Cancer,NCI-H854
LC1F_LUNG,LC1F_LUNG,lung,NSCLC,Lung Cancer,LC-1F
T3M10_LUNG,T3M10_LUNG,lung,NSCLC,Lung Cancer,T3M-10
NCIH2023_LUNG,NCIH2023_LUNG,lung,NSCLC,Lung Cancer,NCI-H2023
DMS153_LUNG,DMS153_LUNG,lung,SCLC,Lung Cancer,DMS 153
NCIH1618_LUNG,NCIH1618_LUNG,lung,SCLC,Lung Cancer,NCI-H1618
NCIH69_LUNG,NCIH69_LUNG,lung,SCLC,Lung Cancer,NCI-H69
DV90_LUNG,DV90_LUNG,lung,NSCLC,Lung Cancer,DV-90
NCIH1648_LUNG,NCIH1648_LUNG,lung,NSCLC,Lung Cancer,NCI-H1648
NCIH23_LUNG,NCIH23_LUNG,lung,NSCLC,Lung Cancer,NCI-H23
NCIH1373_LUNG,NCIH1373_LUNG,lung,NSCLC,Lung Cancer,NCI-H1373
NCIH1930_LUNG,NCIH1930_LUNG,lung,SCLC,Lung Cancer,NCI-H1930
NCIH1623_LUNG,NCIH1623_LUNG,lung,NSCLC,Lung Cancer,NCI-H1623
NCIH1838_LUNG,NCIH1838_LUNG,lung,NSCLC,Lung Cancer,NCI-H1838
NCIH1836_LUNG,NCIH1836_LUNG,lung,SCLC,Lung Cancer,NCI-H1836
NCIH1755_LUNG,NCIH1755_LUNG,lung,NSCLC,Lung Cancer,NCI-H1755
RERFLCKJ_LUNG,RERFLCKJ_LUNG,lung,NSCLC,Lung Cancer,RERF-LC-KJ
NCIH1693_LUNG,NCIH1693_LUNG,lung,NSCLC,Lung Cancer,NCI-H1693
NCIH524_LUNG,NCIH524_LUNG,lung,SCLC,Lung Cancer,NCI-H524
NCIH209_LUNG,NCIH209_LUNG,lung,SCLC,Lung Cancer,NCI-H209
SBC5_LUNG,SBC5_LUNG,lung,SCLC,Lung Cancer,SBC-5
NCIH196_LUNG,NCIH196_LUNG,lung,SCLC,Lung Cancer,NCI-H196
NCIH889_LUNG,NCIH889_LUNG,lung,SCLC,Lung Cancer,NCI-H889
NCIH211_LUNG,NCIH211_LUNG,lung,SCLC,Lung Cancer,NCI-H211
NCIH2171_LUNG,NCIH2171_LUNG,lung,SCLC,Lung Cancer,NCI-H2171
LOUNH91_LUNG,LOUNH91_LUNG,lung,NSCLC,Lung Cancer,LOU-NH91
LK2_LUNG,LK2_LUNG,lung,NSCLC,Lung Cancer,LK-2
NCIH441_LUNG,NCIH441_LUNG,lung,NSCLC,Lung Cancer,NCI-H441
NCIH2030_LUNG,NCIH2030_LUNG,lung,NSCLC,Lung Cancer,NCI-H2030
NCIH2122_LUNG,NCIH2122_LUNG,lung,NSCLC,Lung Cancer,NCI-H2122
A549_LUNG,A549_LUNG,lung,NSCLC,Lung Cancer,A549
NCIH1975_LUNG,NCIH1975_LUNG,lung,NSCLC,Lung Cancer,NCI-H1975
NCIH647_LUNG,NCIH647_LUNG,lung,NSCLC,Lung Cancer,NCI-H647
HCC44_LUNG,HCC44_LUNG,lung,NSCLC,Lung Cancer,HCC-44
NCIH522_LUNG,NCIH522_LUNG,lung,NSCLC,Lung Cancer,NCI-H522
NCIH661_LUNG,NCIH661_LUNG,lung,NSCLC,Lung Cancer,NCI-H661
HCC78_LUNG,HCC78_LUNG,lung,NSCLC,Lung Cancer,HCC-78
RERFLCAD1_LUNG,RERFLCAD1_LUNG,lung,NSCLC,Lung Cancer,RERF-LC-Ad1
NCIH1155_LUNG,NCIH1155_LUNG,lung,NSCLC,Lung Cancer,NCI-H1155
ABC1_LUNG,ABC1_LUNG,lung,NSCLC,Lung Cancer,ABC-1
NCIH1703_LUNG,NCIH1703_LUNG,lung,NSCLC,Lung Cancer,NCI-H1703
NCIH1581_LUNG,NCIH1581_LUNG,lung,NSCLC,Lung Cancer,NCI-H1581
NCIH1395_LUNG,NCIH1395_LUNG,lung,NSCLC,Lung Cancer,NCI-H1395
NCIH1781_LUNG,NCIH1781_LUNG,lung,NSCLC,Lung Cancer,NCI-H1781
NCIH146_LUNG,NCIH146_LUNG,lung,SCLC,Lung Cancer,NCI-H146
DMS79_LUNG,DMS79_LUNG,lung,SCLC,Lung Cancer,DMS 79
NCIH2106_LUNG,NCIH2106_LUNG,lung,NSCLC,Lung Cancer,NCI-H2106
NCIH526_LUNG,NCIH526_LUNG,lung,SCLC,Lung Cancer,NCI-H526
NCIH2196_LUNG,NCIH2196_LUNG,lung,SCLC,Lung Cancer,NCI-H2196
NCIH446_LUNG,NCIH446_LUNG,lung,SCLC,Lung Cancer,NCI-H446
CALU1_LUNG,CALU1_LUNG,lung,NSCLC,Lung Cancer,Calu-1
NCIH2170_LUNG,NCIH2170_LUNG,lung,NSCLC,Lung Cancer,NCI-H2170
NCIH2444_LUNG,NCIH2444_LUNG,lung,NSCLC,Lung Cancer,NCI-H2444
NCIH1299_LUNG,NCIH1299_LUNG,lung,NSCLC,Lung Cancer,NCI-H1299
NCIH2126_LUNG,NCIH2126_LUNG,lung,NSCLC,Lung Cancer,NCI-H2126
HCC827_LUNG,HCC827_LUNG,lung,NSCLC,Lung Cancer,HCC827
LXF289_LUNG,LXF289_LUNG,lung,NSCLC,Lung Cancer,LXF-289
SCLC21H_LUNG,SCLC21H_LUNG,lung,SCLC,Lung Cancer,SCLC-21H
CALU3_LUNG,CALU3_LUNG,lung,NSCLC,Lung Cancer,Calu-3
NCIH1435_LUNG,NCIH1435_LUNG,lung,NSCLC,Lung Cancer,NCI-H1435
NCIH2009_LUNG,NCIH2009_LUNG,lung,NSCLC,Lung Cancer,NCI-H2009
NCIH1869_LUNG,NCIH1869_LUNG,lung,NSCLC,Lung Cancer,NCI-H1869
HCC4006_LUNG,HCC4006_LUNG,lung,NSCLC,Lung Cancer,HCC4006
SHP77_LUNG,SHP77_LUNG,lung,SCLC,Lung Cancer,SHP-77
NCIH841_LUNG,NCIH841_LUNG,lung,SCLC,Lung Cancer,NCI-H841
NCIH1944_LUNG,NCIH1944_LUNG,lung,NSCLC,Lung Cancer,NCI-H1944
NCIH2405_LUNG,NCIH2405_LUNG,lung,NSCLC,Lung Cancer,NCI-H2405
NCIH727_LUNG,NCIH727_LUNG,lung,lung_carcinoid,Lung Cancer,NCI-H727
HCC2935_LUNG,HCC2935_LUNG,lung,NSCLC,Lung Cancer,HCC2935
LCLC103H_LUNG,LCLC103H_LUNG,lung,NSCLC,Lung Cancer,LCLC-103H
LCLC97TM1_LUNG,LCLC97TM1_LUNG,lung,NSCLC,Lung Cancer,LCLC-97TM1
COLO699_LUNG,,,,,
NCIH2073_LUNG,NCIH2073_LUNG,lung,NSCLC,Lung Cancer,NCI-H2073
HOP62_LUNG,HOP62_LUNG,lung,NSCLC,Lung Cancer,HOP-62
EKVX_LUNG,EKVX_LUNG,lung,NSCLC,Lung Cancer,EKVX
HOP92_LUNG,HOP92_LUNG,lung,NSCLC,Lung Cancer,HOP-92
