accession	pdat	n_samples	gdstype	title
GSE298054	2025/05/26	6	Expression profiling by high throughput sequencing	Non-viral CISH locus-specific integrated IL-15-armored CAR-NK cells achieve potent anti-tumor efficacy via adaptive NK cell differentiation
GSE270431	2025/06/06	12	Expression profiling by high throughput sequencing; Genome binding/occupancy profiling by high throughput sequencing; Other	Neutrophils recruited by NKX2-1 suppression via activation of CXCLs/CXCR2 axis promote lung adenocarcinoma progression
GSE299111	2025/06/06	7	Expression profiling by high throughput sequencing	Regulatory T cells in lung tumor shape an anti-inflammatory myeloid-landscape recovery after chemotherapy
GSE300685	2025/06/30	8	Expression profiling by high throughput sequencing	Tumor-infiltrating natural killer cell profiling for therapeutic stratification in smokers with resectable non-small cell lung cancer
GSE302284	2025/07/10	6	Expression profiling by high throughput sequencing	Eradicating Drug Tolerant Persister Cells in EGFR-Mutated Non-Small Cell Lung Cancer by Targeting TROP2 with CAR-T cellular therapy
GSE253429	2025/07/16	21	Expression profiling by high throughput sequencing	Cellular states associated with metastatic organotropism and survival in patients with pancreatic ductal adenocarcinoma
GSE253430	2025/07/16	17	Other	Cellular states associated with metastatic organotropism and survival in patients with pancreatic ductal adenocarcinoma
GSE273805	2025/09/01	7	Expression profiling by high throughput sequencing	TNF Superfamily Member 14 Drives Post-Influenza Depletion of Alveolar  Macrophages Enabling Secondary Pneumococcal Pneumonia
GSE303762	2025/09/01	38	Expression profiling by high throughput sequencing	Benchmarking long-read RNA-sequencing technologies with LongBench: a cross-platform reference dataset profiling cancer cell lines with bulk and single-cell approaches
GSE303152	2025/09/10	36	Expression profiling by high throughput sequencing	Neuronal-Activity Dependent Mechanisms of Small Cell Lung Cancer Pathogenesis
GSE267533	2025/09/17	6	Expression profiling by high throughput sequencing	TLR4-dependent fibroblast-monocyte axis in tumor-draining lymph nodes contributes to metastasis in triple-negative breast cancer
GSE267534	2025/09/17	3	Other	TLR4-dependent fibroblast-monocyte axis in tumor-draining lymph nodes contributes to metastasis in triple-negative breast cancer
GSE267535	2025/09/17	10	Expression profiling by high throughput sequencing	TLR4-dependent fibroblast-monocyte axis in tumor-draining lymph nodes contributes to metastasis in triple-negative breast cancer
GSE306401	2025/10/14	2	Genome binding/occupancy profiling by high throughput sequencing	Unlocking single cell chromatin accessibility in formalin-fixed paraffin-embedded tissues by scFFPE-ATAC [mouse]
GSE280364	2025/10/28	4	Expression profiling by high throughput sequencing	Activin-A production by recruited alveolar macrophages exacerbates pulmonary fibrosis following acute lung injury
GSE310962	2025/11/25	8	Expression profiling by high throughput sequencing; Genome variation profiling by high throughput sequencing	EGFR-mutant transformed small cell lung cancer harbors intratumoral heterogeneity targetable with MEK inhibitor combination therapy
GSE285329	2025/12/31	2	Expression profiling by high throughput sequencing	TREM2+ Macrophage Infiltration Underlies Breast Cancer Lung Metastasis due to Paclitaxel Treatment
GSE310170	2026/01/20	93	Expression profiling by high throughput sequencing	Embryonic stem cell factors DPPA2/4 amplify active H3K4me3-H2AK119ub chromatin domains in non-small cell lung cancer (RNA-seq)
GSE310173	2026/01/20	300	Expression profiling by high throughput sequencing; Methylation profiling by high throughput sequencing; Genome binding/occupancy profiling by high throughput sequencing	Embryonic stem cell factors DPPA2/4 amplify active H3K4me3-H2AK119ub chromatin domains in non-small cell lung cancer
GSE267026	2026/02/05	24	Expression profiling by high throughput sequencing; Other	The Cd4+ T cell population Partners with Tpex CD8 T cells to mediate Antitumor Immunity in the Tumor Microenvironment.[S1-S3]
GSE267027	2026/02/05	9	Expression profiling by high throughput sequencing; Other	The Cd4+ T cell population Partners with Tpex CD8 T cells to mediate Antitumor Immunity in the Tumor Microenvironment.[P5]
GSE295601	2026/02/05	18	Other; Expression profiling by high throughput sequencing	The Cd4+ T cell population Partners with Tpex CD8 T cells to mediate Antitumor Immunity in the Tumor Microenvironment. [P6]
GSE295977	2026/02/05	2	Genome binding/occupancy profiling by high throughput sequencing; Expression profiling by high throughput sequencing	The Cd4+ T cell population Partners with Tpex CD8 T cells to mediate Antitumor Immunity in the Tumor Microenvironment.[multiome]
GSE308745	2026/02/05	87	Expression profiling by high throughput sequencing; Other	The Cd4+ T cell population Partners with Tpex CD8 T cells to mediate Antitumor Immunity in the Tumor Microenvironment.[PB cohort2]
GSE312336	2026/02/05	9	Expression profiling by high throughput sequencing; Other	The Cd4+ T cell population Partners with Tpex CD8 T cells to mediate Antitumor Immunity in the Tumor Microenvironment.[renal cancer]
GSE318850	2026/02/13	1	Expression profiling by high throughput sequencing	A lymph node-tumor spatiotemporal atlas of exhausted T cell clone evolution
GSE298789	2026/02/18	6	Expression profiling by high throughput sequencing	Multifunctional exosomes inhibiting autophagy ameliorate immune tolerance in non-small cell lung cancer II
GSE311521	2026/03/02	15	Expression profiling by high throughput sequencing; Genome binding/occupancy profiling by high throughput sequencing	Single-cell multimodal profiling of pan-cancer cell lines uncovers gene regulatory principles underlying intrinsic cell states and environmental features
GSE303483	2026/04/13	4	Other	Ki-67 promotes circulating tumor cell intravasation and metastasis in breast cancer
GSE280183	2026/05/08	8	Other	Type-2-immune history imprints local training in nerve-airway associated interstitial macrophages (NAMs) for disease tolerance during respiratory viral infection
GSE300757	2026/06/05	127	Expression profiling by high throughput sequencing	Efferocytosis induces proangiogenic function and chromatin remodeling in tumor-associated macrophages
GSE335847	2026/06/22	13	Other	TrAEL-seq of osimertinib-treated PC9 cells in specific cell cycle stages
GSE329813	2026/06/29	127	Other	Spatial Transcriptomics Unveils Immune Microenvironment Heterogeneity and Response-related Subtypes in NSCLC Treated with Neoadjuvant Chemoimmunotherapy
GSE337162	2026/07/01	6	Expression profiling by high throughput sequencing; Other	Single-cell variant landscape of the human mitochondrial genome reveals cell type-specific and disease-associated changes
GSE337519	2026/07/29	1	Expression profiling by high throughput sequencing	Single-cell transcriptomic landscape of neoadjuvant chemo-immunotherapy response in lung cancer
GSE341473	2026/08/04	20	Expression profiling by high throughput sequencing	RNA-seq datasets of Blood transcriptomics reveals the value of Hub genes in patients with NTM - PD
