set	gene
HALLMARK_INTERFERON_ALPHA_RESPONSE	Ifit2
HALLMARK_INTERFERON_ALPHA_RESPONSE	Ifit3
HALLMARK_INTERFERON_ALPHA_RESPONSE	Ifitm1
HALLMARK_INTERFERON_ALPHA_RESPONSE	Ifitm2
HALLMARK_INTERFERON_ALPHA_RESPONSE	Ifitm3
HALLMARK_INTERFERON_ALPHA_RESPONSE	Il15
HALLMARK_INTERFERON_ALPHA_RESPONSE	Il4ra
HALLMARK_INTERFERON_ALPHA_RESPONSE	Il7
HALLMARK_INTERFERON_ALPHA_RESPONSE	Irf1
HALLMARK_INTERFERON_ALPHA_RESPONSE	Irf2
HALLMARK_INTERFERON_ALPHA_RESPONSE	Irf7
HALLMARK_INTERFERON_ALPHA_RESPONSE	Irf9
HALLMARK_INTERFERON_ALPHA_RESPONSE	Isg15
HALLMARK_INTERFERON_ALPHA_RESPONSE	Isg20
HALLMARK_INTERFERON_ALPHA_RESPONSE	Lamp3
HALLMARK_INTERFERON_ALPHA_RESPONSE	Lap3
HALLMARK_INTERFERON_ALPHA_RESPONSE	Lgals3bp
HALLMARK_INTERFERON_ALPHA_RESPONSE	Lpar6
HALLMARK_INTERFERON_ALPHA_RESPONSE	Ly6e
HALLMARK_INTERFERON_ALPHA_RESPONSE	Mov10
HALLMARK_INTERFERON_ALPHA_RESPONSE	Mvb12a
HALLMARK_INTERFERON_ALPHA_RESPONSE	Mx2
HALLMARK_INTERFERON_ALPHA_RESPONSE	Ncoa7
HALLMARK_INTERFERON_ALPHA_RESPONSE	Nmi
HALLMARK_INTERFERON_ALPHA_RESPONSE	Nub1
HALLMARK_INTERFERON_ALPHA_RESPONSE	Oas1a
HALLMARK_INTERFERON_ALPHA_RESPONSE	Oasl1
HALLMARK_INTERFERON_ALPHA_RESPONSE	Ogfr
HALLMARK_INTERFERON_ALPHA_RESPONSE	Parp12
HALLMARK_INTERFERON_ALPHA_RESPONSE	Parp14
HALLMARK_INTERFERON_ALPHA_RESPONSE	Parp9
HALLMARK_INTERFERON_ALPHA_RESPONSE	Plscr1
HALLMARK_INTERFERON_ALPHA_RESPONSE	Pnpt1
HALLMARK_INTERFERON_ALPHA_RESPONSE	Procr
HALLMARK_INTERFERON_ALPHA_RESPONSE	Psma3
HALLMARK_INTERFERON_ALPHA_RESPONSE	Psmb8
HALLMARK_INTERFERON_ALPHA_RESPONSE	Psmb9
HALLMARK_INTERFERON_ALPHA_RESPONSE	Psme1
HALLMARK_INTERFERON_ALPHA_RESPONSE	Psme2
HALLMARK_INTERFERON_ALPHA_RESPONSE	Ripk2
HALLMARK_INTERFERON_ALPHA_RESPONSE	Rnf31
HALLMARK_INTERFERON_ALPHA_RESPONSE	Rsad2
HALLMARK_INTERFERON_ALPHA_RESPONSE	Rtp4
HALLMARK_INTERFERON_ALPHA_RESPONSE	Samd9l
HALLMARK_INTERFERON_ALPHA_RESPONSE	Sell
HALLMARK_INTERFERON_ALPHA_RESPONSE	Slc25a28
HALLMARK_INTERFERON_ALPHA_RESPONSE	Sp110
HALLMARK_INTERFERON_ALPHA_RESPONSE	Stat2
HALLMARK_INTERFERON_ALPHA_RESPONSE	Tap1
HALLMARK_INTERFERON_ALPHA_RESPONSE	Tdrd7
HALLMARK_INTERFERON_ALPHA_RESPONSE	Tent5a
HALLMARK_INTERFERON_ALPHA_RESPONSE	Tmem140
HALLMARK_INTERFERON_ALPHA_RESPONSE	Trafd1
HALLMARK_INTERFERON_ALPHA_RESPONSE	Trim12c
HALLMARK_INTERFERON_ALPHA_RESPONSE	Trim14
HALLMARK_INTERFERON_ALPHA_RESPONSE	Trim21
HALLMARK_INTERFERON_ALPHA_RESPONSE	Trim25
HALLMARK_INTERFERON_ALPHA_RESPONSE	Trim26
HALLMARK_INTERFERON_ALPHA_RESPONSE	Txnip
HALLMARK_INTERFERON_ALPHA_RESPONSE	Uba7
HALLMARK_INTERFERON_ALPHA_RESPONSE	Ube2l6
HALLMARK_INTERFERON_ALPHA_RESPONSE	Usp18
HALLMARK_INTERFERON_ALPHA_RESPONSE	Wars1
HALLMARK_INTERFERON_GAMMA_RESPONSE	Adar
HALLMARK_INTERFERON_GAMMA_RESPONSE	Apol6
HALLMARK_INTERFERON_GAMMA_RESPONSE	Arid5b
HALLMARK_INTERFERON_GAMMA_RESPONSE	Arl4a
HALLMARK_INTERFERON_GAMMA_RESPONSE	Auts2
HALLMARK_INTERFERON_GAMMA_RESPONSE	B2m
HALLMARK_INTERFERON_GAMMA_RESPONSE	Bank1
HALLMARK_INTERFERON_GAMMA_RESPONSE	Batf2
HALLMARK_INTERFERON_GAMMA_RESPONSE	Bpgm
HALLMARK_INTERFERON_GAMMA_RESPONSE	Bst2
HALLMARK_INTERFERON_GAMMA_RESPONSE	Btg1
HALLMARK_INTERFERON_GAMMA_RESPONSE	C1s1
HALLMARK_INTERFERON_GAMMA_RESPONSE	Casp1
HALLMARK_INTERFERON_GAMMA_RESPONSE	Casp3
HALLMARK_INTERFERON_GAMMA_RESPONSE	Casp4
HALLMARK_INTERFERON_GAMMA_RESPONSE	Casp7
HALLMARK_INTERFERON_GAMMA_RESPONSE	Casp8
HALLMARK_INTERFERON_GAMMA_RESPONSE	Ccl5
HALLMARK_INTERFERON_GAMMA_RESPONSE	Ccl7
HALLMARK_INTERFERON_GAMMA_RESPONSE	Cd274
HALLMARK_INTERFERON_GAMMA_RESPONSE	Cd38
HALLMARK_INTERFERON_GAMMA_RESPONSE	Cd40
HALLMARK_INTERFERON_GAMMA_RESPONSE	Cd69
HALLMARK_INTERFERON_GAMMA_RESPONSE	Cd74
HALLMARK_INTERFERON_GAMMA_RESPONSE	Cd86
HALLMARK_INTERFERON_GAMMA_RESPONSE	Cdkn1a
HALLMARK_INTERFERON_GAMMA_RESPONSE	Cfb
HALLMARK_INTERFERON_GAMMA_RESPONSE	Cfh
HALLMARK_INTERFERON_GAMMA_RESPONSE	Ciita
HALLMARK_INTERFERON_GAMMA_RESPONSE	Cmklr1
HALLMARK_INTERFERON_GAMMA_RESPONSE	Cmpk2
HALLMARK_INTERFERON_GAMMA_RESPONSE	Cmtr1
HALLMARK_INTERFERON_GAMMA_RESPONSE	Cxcl10
HALLMARK_INTERFERON_GAMMA_RESPONSE	Cxcl11
HALLMARK_INTERFERON_GAMMA_RESPONSE	Cxcl9
HALLMARK_INTERFERON_GAMMA_RESPONSE	Ddx60
HALLMARK_INTERFERON_GAMMA_RESPONSE	Dhx58
HALLMARK_INTERFERON_GAMMA_RESPONSE	Eif2ak2
HALLMARK_INTERFERON_GAMMA_RESPONSE	Eif4e3
HALLMARK_INTERFERON_GAMMA_RESPONSE	Epsti1
HALLMARK_INTERFERON_GAMMA_RESPONSE	Fas
HALLMARK_INTERFERON_GAMMA_RESPONSE	Fcgr1
HALLMARK_INTERFERON_GAMMA_RESPONSE	Fgl2
HALLMARK_INTERFERON_GAMMA_RESPONSE	Fpr1
HALLMARK_INTERFERON_GAMMA_RESPONSE	Gbp3
HALLMARK_INTERFERON_GAMMA_RESPONSE	Gch1
HALLMARK_INTERFERON_GAMMA_RESPONSE	Gpr18
HALLMARK_INTERFERON_GAMMA_RESPONSE	Gzma
HALLMARK_INTERFERON_GAMMA_RESPONSE	H2-Aa
HALLMARK_INTERFERON_GAMMA_RESPONSE	H2-DMa
HALLMARK_INTERFERON_GAMMA_RESPONSE	Helz2
HALLMARK_INTERFERON_GAMMA_RESPONSE	Herc6
HALLMARK_INTERFERON_GAMMA_RESPONSE	Hif1a
HALLMARK_INTERFERON_GAMMA_RESPONSE	Icam1
HALLMARK_INTERFERON_GAMMA_RESPONSE	Ido1
HALLMARK_INTERFERON_GAMMA_RESPONSE	Ifi27
HALLMARK_INTERFERON_GAMMA_RESPONSE	Ifi30
HALLMARK_INTERFERON_GAMMA_RESPONSE	Ifi35
HALLMARK_INTERFERON_GAMMA_RESPONSE	Ifi44
HALLMARK_INTERFERON_GAMMA_RESPONSE	Ifi44l
HALLMARK_INTERFERON_GAMMA_RESPONSE	Ifih1
HALLMARK_INTERFERON_GAMMA_RESPONSE	Ifit2
HALLMARK_INTERFERON_GAMMA_RESPONSE	Ifit3
HALLMARK_INTERFERON_GAMMA_RESPONSE	Ifitm2
HALLMARK_INTERFERON_GAMMA_RESPONSE	Ifitm3
HALLMARK_INTERFERON_GAMMA_RESPONSE	Ifnar2
HALLMARK_INTERFERON_GAMMA_RESPONSE	Il10ra
HALLMARK_INTERFERON_GAMMA_RESPONSE	Il15
HALLMARK_INTERFERON_GAMMA_RESPONSE	Il15ra
HALLMARK_INTERFERON_GAMMA_RESPONSE	Il18bp
HALLMARK_INTERFERON_GAMMA_RESPONSE	Il2rb
HALLMARK_INTERFERON_GAMMA_RESPONSE	Il4ra
HALLMARK_INTERFERON_GAMMA_RESPONSE	Il6
HALLMARK_INTERFERON_GAMMA_RESPONSE	Il7
HALLMARK_INTERFERON_GAMMA_RESPONSE	Irf1
HALLMARK_INTERFERON_GAMMA_RESPONSE	Irf2
HALLMARK_INTERFERON_GAMMA_RESPONSE	Irf4
HALLMARK_INTERFERON_GAMMA_RESPONSE	Irf5
HALLMARK_INTERFERON_GAMMA_RESPONSE	Irf7
HALLMARK_INTERFERON_GAMMA_RESPONSE	Irf8
HALLMARK_INTERFERON_GAMMA_RESPONSE	Irf9
HALLMARK_INTERFERON_GAMMA_RESPONSE	Isg15
HALLMARK_INTERFERON_GAMMA_RESPONSE	Isg20
HALLMARK_INTERFERON_GAMMA_RESPONSE	Isoc1
HALLMARK_INTERFERON_GAMMA_RESPONSE	Itgb7
HALLMARK_INTERFERON_GAMMA_RESPONSE	Jak2
HALLMARK_INTERFERON_GAMMA_RESPONSE	Lap3
HALLMARK_INTERFERON_GAMMA_RESPONSE	Lats2
HALLMARK_INTERFERON_GAMMA_RESPONSE	Lcp2
HALLMARK_INTERFERON_GAMMA_RESPONSE	Lgals3bp
HALLMARK_INTERFERON_GAMMA_RESPONSE	Ly6e
HALLMARK_INTERFERON_GAMMA_RESPONSE	Lysmd2
HALLMARK_INTERFERON_GAMMA_RESPONSE	Marchf1
HALLMARK_INTERFERON_GAMMA_RESPONSE	Mettl7b
HALLMARK_INTERFERON_GAMMA_RESPONSE	Mthfd2
HALLMARK_INTERFERON_GAMMA_RESPONSE	Mvp
HALLMARK_INTERFERON_GAMMA_RESPONSE	Mx2
HALLMARK_INTERFERON_GAMMA_RESPONSE	Myd88
HALLMARK_INTERFERON_GAMMA_RESPONSE	Nampt
HALLMARK_INTERFERON_GAMMA_RESPONSE	Ncoa3
HALLMARK_INTERFERON_GAMMA_RESPONSE	Nfkb1
HALLMARK_INTERFERON_GAMMA_RESPONSE	Nfkbia
HALLMARK_INTERFERON_GAMMA_RESPONSE	Nlrc5
HALLMARK_INTERFERON_GAMMA_RESPONSE	Nmi
HALLMARK_INTERFERON_GAMMA_RESPONSE	Nod1
HALLMARK_INTERFERON_GAMMA_RESPONSE	Nup93
HALLMARK_INTERFERON_GAMMA_RESPONSE	Oas2
HALLMARK_INTERFERON_GAMMA_RESPONSE	Oas3
HALLMARK_INTERFERON_GAMMA_RESPONSE	Oasl1
HALLMARK_INTERFERON_GAMMA_RESPONSE	Ogfr
HALLMARK_INTERFERON_GAMMA_RESPONSE	P2ry14
HALLMARK_INTERFERON_GAMMA_RESPONSE	Parp12
HALLMARK_INTERFERON_GAMMA_RESPONSE	Parp14
HALLMARK_INTERFERON_GAMMA_RESPONSE	Pde4b
HALLMARK_INTERFERON_GAMMA_RESPONSE	Peli1
HALLMARK_INTERFERON_GAMMA_RESPONSE	Pfkp
HALLMARK_INTERFERON_GAMMA_RESPONSE	Pim1
HALLMARK_INTERFERON_GAMMA_RESPONSE	Pla2g4a
HALLMARK_INTERFERON_GAMMA_RESPONSE	Plscr1
HALLMARK_INTERFERON_GAMMA_RESPONSE	Pml
HALLMARK_INTERFERON_GAMMA_RESPONSE	Pnp
HALLMARK_INTERFERON_GAMMA_RESPONSE	Pnpt1
HALLMARK_INTERFERON_GAMMA_RESPONSE	Psma2
HALLMARK_INTERFERON_GAMMA_RESPONSE	Psma3
HALLMARK_INTERFERON_GAMMA_RESPONSE	Psmb10
HALLMARK_INTERFERON_GAMMA_RESPONSE	Psmb2
HALLMARK_INTERFERON_GAMMA_RESPONSE	Psmb8
HALLMARK_INTERFERON_GAMMA_RESPONSE	Psmb9
HALLMARK_INTERFERON_GAMMA_RESPONSE	Psme1
HALLMARK_INTERFERON_GAMMA_RESPONSE	Psme2
HALLMARK_INTERFERON_GAMMA_RESPONSE	Ptgs2
HALLMARK_INTERFERON_GAMMA_RESPONSE	Ptpn1
HALLMARK_INTERFERON_GAMMA_RESPONSE	Ptpn2
HALLMARK_INTERFERON_GAMMA_RESPONSE	Ptpn6
HALLMARK_INTERFERON_GAMMA_RESPONSE	Rapgef6
HALLMARK_INTERFERON_GAMMA_RESPONSE	Rbck1
HALLMARK_INTERFERON_GAMMA_RESPONSE	Rigi
HALLMARK_INTERFERON_GAMMA_RESPONSE	Ripk1
HALLMARK_INTERFERON_GAMMA_RESPONSE	Ripk2
HALLMARK_INTERFERON_GAMMA_RESPONSE	Rnf213
HALLMARK_INTERFERON_GAMMA_RESPONSE	Rnf31
HALLMARK_INTERFERON_GAMMA_RESPONSE	Rsad2
HALLMARK_INTERFERON_GAMMA_RESPONSE	Rtp4
HALLMARK_INTERFERON_GAMMA_RESPONSE	Samd9l
HALLMARK_INTERFERON_GAMMA_RESPONSE	Samhd1
HALLMARK_INTERFERON_GAMMA_RESPONSE	Sectm1a
HALLMARK_INTERFERON_GAMMA_RESPONSE	Selp
HALLMARK_INTERFERON_GAMMA_RESPONSE	Serping1
HALLMARK_INTERFERON_GAMMA_RESPONSE	Slamf7
HALLMARK_INTERFERON_GAMMA_RESPONSE	Slc25a28
HALLMARK_INTERFERON_GAMMA_RESPONSE	Socs1
HALLMARK_INTERFERON_GAMMA_RESPONSE	Socs3
HALLMARK_INTERFERON_GAMMA_RESPONSE	Sod2
HALLMARK_INTERFERON_GAMMA_RESPONSE	Sp110
HALLMARK_INTERFERON_GAMMA_RESPONSE	Sppl2a
HALLMARK_INTERFERON_GAMMA_RESPONSE	Sri
HALLMARK_INTERFERON_GAMMA_RESPONSE	Sspn
HALLMARK_INTERFERON_GAMMA_RESPONSE	St3gal5
HALLMARK_INTERFERON_GAMMA_RESPONSE	St8sia4
HALLMARK_INTERFERON_GAMMA_RESPONSE	Stat1
HALLMARK_INTERFERON_GAMMA_RESPONSE	Stat2
HALLMARK_INTERFERON_GAMMA_RESPONSE	Stat3
HALLMARK_INTERFERON_GAMMA_RESPONSE	Stat4
HALLMARK_INTERFERON_GAMMA_RESPONSE	Tap1
HALLMARK_INTERFERON_GAMMA_RESPONSE	Tapbp
HALLMARK_INTERFERON_GAMMA_RESPONSE	Tdrd7
HALLMARK_INTERFERON_GAMMA_RESPONSE	Tnfaip2
HALLMARK_INTERFERON_GAMMA_RESPONSE	Tnfaip3
HALLMARK_INTERFERON_GAMMA_RESPONSE	Tnfaip6
HALLMARK_INTERFERON_GAMMA_RESPONSE	Tnfsf10
HALLMARK_INTERFERON_GAMMA_RESPONSE	Tor1b
HALLMARK_INTERFERON_GAMMA_RESPONSE	Trafd1
HALLMARK_INTERFERON_GAMMA_RESPONSE	Trim14
HALLMARK_INTERFERON_GAMMA_RESPONSE	Trim21
HALLMARK_INTERFERON_GAMMA_RESPONSE	Trim25
HALLMARK_INTERFERON_GAMMA_RESPONSE	Trim26
HALLMARK_INTERFERON_GAMMA_RESPONSE	Txnip
HALLMARK_INTERFERON_GAMMA_RESPONSE	Ube2l6
HALLMARK_INTERFERON_GAMMA_RESPONSE	Upp1
HALLMARK_INTERFERON_GAMMA_RESPONSE	Usp18
HALLMARK_INTERFERON_GAMMA_RESPONSE	Vamp5
HALLMARK_INTERFERON_GAMMA_RESPONSE	Vamp8
HALLMARK_INTERFERON_GAMMA_RESPONSE	Vcam1
HALLMARK_INTERFERON_GAMMA_RESPONSE	Wars1
HALLMARK_INTERFERON_GAMMA_RESPONSE	Xaf1
HALLMARK_INTERFERON_GAMMA_RESPONSE	Xcl1
HALLMARK_INTERFERON_GAMMA_RESPONSE	Zbp1
HALLMARK_INTERFERON_GAMMA_RESPONSE	Znfx1
