accession	title	species	assay	tissue	model_or_GEMM	n_mice_or_samples	cldn4_in_features	processed_matrix	immune_or_GEMM_labels	kl_vs_other	usable_mouse_level	scored_here	assigned_other_agent	notes
GSE266323	Overexpressed Malat1 drives metastasis through inflammatory reprogramming of LUAD TME	Mus musculus	scRNA-seq (10x 3P + antibody)	KPC LUAD tumor	KP GEMM; Malat1 CRISPRa (d10) n=2 vs Tomato control n=2	4 GEX libraries / 4 mice	yes (Cldn4 in features)	yes: 4 MTX triples (no FASTQ)	GEMM KP + TME / inflammatory labels	not KL	yes (n=4)	yes	no	BEST unused KP TME leftover with processed MTX and immune cells.
GSE149813	Single cell transcriptional profiling of distal epithelial cells during early-stage KRAS-driven LUAD	Mus musculus	scRNA-seq (10x)	FACS distal lung epithelium YFP+/-	Kras-G12D Ad-Cre; 2 mice x YFP+/-	4 libraries / 2 mice	expected yes	yes: RAW.tar MTX 65 Mb	GEMM Kras; epithelial-sorted so T/NK is gene score not fraction	not KL	limited (honest n=2 mice)	no	no	Unused leftover. Not scored because n=2 mice after collapsing YFP splits; GSE201247 covers Kras with n=6.
GSE264739	Single-cell analysis identifies PLK1 as a driver of immunosuppressive TME in LUAD	Mus musculus	scRNA-seq (10x)	lung tumor	KP n=3 vs KPP (Plk1) n=3	6 mice	expected yes	yes: RAW.tar MTX 711 Mb	GEMM + immunosuppressive TME	not KL	yes (n=6)	no	no	Strong unused leftover. Not scored here to keep download/runtime on 3 smaller processed sets.
GSE322632	LIF induced tumor plasticity establishes an immunosuppressive myeloid niche in LKB1 mutant lung cancer [10x]	Mus musculus	scRNA-seq (10x + HTO)	CD45+ and extravascular CD45- from KP lungs	sgNeo Lkb1-WT KP vs sgLkb1 KP vs normal; hashed n=2/arm	6 GSM (3 GEX)	unknown in immune-enriched object	yes: GSE322632_LKB1_SeuratObj.RDS (1.9 Gb)	Lkb1 mutant vs WT KP immune niche	yes (sgLkb1 vs sgNeo)	possible but 1.9 Gb Seurat object	no	no	KL-relevant leftover. Skipped (object size); CD45-enriched so Cldn4 may be sparse.
GSE194166	AXL targeting restores PD-1 blockade sensitivity of STK11/LKB1 mutant NSCLC	Mus musculus	scRNA-seq + TCR	sorted immune from KP and KPL tumors +/- treatment	KP vs KPL (STK11/LKB1)	10 samples	epithelial Cldn4 not expected	yes: RAW.tar 238 Mb	immune + KL vs KP	yes but immune-sorted	Cldn4 wrong compartment	no	no	KL leftover but CD45-sorted. Not a Cldn4 tumor-cell table.
GSE232730	CXCL9/10-DC + PD-1 in Lkb1-null NSCLC	Mus musculus	scRNA-seq	CD45+ treated tumors	Lkb1-null murine NSCLC + therapy	4 CD45 libraries	expected yes	yes: RAW.tar MTX	immune; Lkb1-null	Lkb1-null treated	CD45+ so Cldn4 limited	no	no	Cataloged previously; not scored.
GSE246710	LLC orthotopic lung TME scRNA	Mus musculus	scRNA-seq (10x)	lung +/- LLC	LLC (LL/2-Luc2)	2 libraries (mice pooled)	expected yes	yes: RAW.tar 101 Mb	TME	not KL	n effective ~2 pooled	no	no	LLC leftover; too few independent mice.
GSE256051	M2-like CCL8high macrophages in LLC-bearing mice after hypofractionated RT	Mus musculus	scRNA-seq	subcutaneous LLC	LLC +/- RT	4 libraries (NT pools 3 tumors)	expected yes	yes: RAW.tar MTX 328 Mb	immune TME	not KL	pooled NT; not autochthonous lung	no	no	LLC leftover; subcutaneous and pooled.
GSE118931	scRNA of CD45+ cells from LLC tumors	Mus musculus	scRNA-seq	CD45+ LLC	LLC +/- miR-21 in LysM	2 samples	epithelial Cldn4 not expected	yes: RAW.tar + genes.tsv	immune only	not KL	n=2; CD45+	no	no	No epithelial Cldn4.
GSE176185	Club cells employ regeneration mechanisms during lung tumorigenesis	Mus musculus	scRNA-seq	lung +/- induced tumor	club-cell tumorigenesis GEMM	7 samples (2 control, 4 induced, 1 tumor)	expected yes	yes: scaled_count_data.txt.gz 1.0 Gb + metadata	GEMM time course	not KL	possible	no	no	Unused leftover. Scaled matrix is 1 Gb; not scored in this pass.
GSE297023	Aging represses oncogenic KRAS-driven lung tumorigenesis and alters tumor suppression	Mus musculus	scRNA-seq (Parse)	cancer-cell fraction + bulk live cells	KRAS +/- PTEN; young vs old	16 samples	expected yes	yes: Aging_Parse_All_Samples.h5ad 9.9 Gb	GEMM + TME bulk fraction	not KL	yes in principle (n=16)	no	no	Best unused n on paper. No-go here: 9.9 Gb h5ad, no FASTQ reprocess.
GSE277777	Critical role for a high-plasticity cell state in lung cancer	Mus musculus	scRNA-seq	KP tumors with lineage-tracer alleles	KP + Slc4a11/Hopx tracers	32 samples	expected yes	yes: multiple tumor h5ad + RAW.tar	GEMM KP high-plasticity	not KL	yes (large n)	no	no	Unused leftover. Large multi-h5ad dump; same biology family as assigned GSE154989. Not scored.
GSE154978	High-plasticity cell state, 10x Tigit-sorted	Mus musculus	scRNA-seq (10x)	Tigit-sorted lung tumors and allotransplants	K/KP family	6 samples	yes (geneTable)	yes: rawCount/normTPM h5	GEMM; Tigit sort	no KL	possible	no	no	Sister of assigned GSE154989. Tigit-sorted, not unused TME.
GSE138754	KP lung tumours	Mus musculus	RNA-seq (annotated counts)	KP lung tumours 22 weeks	KP	4 samples	expected yes	yes: annotated_combined.counts.txt.gz 438 Kb	GEMM KP	not KL	unclear if sc vs bulk (tiny counts file)	no	no	Likely not droplet scRNA. Not scored.
GSE157881	HKP1 lung CD45+/- 0 Gy vs 4 Gy scRNA	Mus musculus	scRNA-seq	HKP1-bearing lung	HKP1 (Kras/p53 orthotopic)	4 libraries (mice pooled 4/arm)	expected yes	yes: RAW.tar	CD45+/- ; RT not ICB	not KL	pooled libraries	no	no	Used in ICI-pool catalogs. Not this hunt.
GSE133604	KP lung tumors +/- Asf1a KO +/- anti-PD-1	Mus musculus	scRNA-seq (10x)	KP lung	KP GEMM	4 libraries (1/arm)	yes	yes: MTX	GEMM + ICB	not KL	n=1/arm	no	yes	Already scored on public KP PD-1 page.
GSE114601	BET inhibitor and PD-1 in GEMM NSCLC	Mus musculus	bulk RNA-seq	KP nodules	KP	8 mice	yes	yes: count CSV	GEMM + ICB	not KL	yes but bulk	no	yes	Bulk, already scored. Not scRNA leftover.
GSE6135	LKB1 modulates lung cancer differentiation (Ji et al.)	Mus musculus	bulk microarray	primary lung tumors	K, KP, K;Ink4a, KL	25 tumors / 20 mice	yes (1418283_at)	yes: series matrix	GEMM including KL	yes	yes but bulk	no	yes	Best public KL bulk; not scRNA. Prior hunt scored.
E-MTAB-5311	RNA-seq of LLC tumors +/- exercise	Mus musculus	bulk RNA-seq	LLC biopsies	LLC	16 mice	yes	yes: Atlas raw-counts.tsv	immune inferred	not KL	yes but bulk	no	yes	Prior hunt scored. Not scRNA.
GSE244452	FAK inhibition in KRAS/LKB1 LUAD TME	Mus musculus	bulk RNA-seq	syngeneic KL and KP	KL vs KP	6 tumors	unknown	DEG table only	KL vs KP	yes but no counts	no	no	no	No FASTQ. No expression matrix.
GSE50927	WT vs Cldn4 KO lungs after VILI	Mus musculus	bulk RNA-seq	whole lung injury	Cldn4 KO	5 GEO samples	Cldn4 is the KO gene	DE tables only	not tumor GEMM	no	no	no	yes	Not cancer. Assigned elsewhere.
GSE137669	Dietary BCAA enrichment in failing heart	Mus musculus	bulk RNA-seq	heart	not lung	8 samples	n/a	yes	no	no	no	no	yes	Wrong tissue.
GSE76628	Laughney-adjacent / prior mouse Cldn4 page	Mus musculus	mixed (see KL-real rework)	not a true KL lung scRNA in rework audit	assigned elsewhere	assigned	expected yes	processed in original study	assigned	no	no	no	yes	Do not redo. KL-real rework flagged GSE76628 as not KL lung.
GSE295824	Tumor suppressors in Sox2-mediated lung cancers [scRNA-seq]	Mus musculus	scRNA-seq	engineered Sox2hi lines including Lkb1-/- (SNL)	SNL / p53 / Pten variants	16 samples	expected yes	yes: RAW.tar	Lkb1-/- squamous-ish GEMM lines	Lkb1 in SNL background	possible	no	no	Unused leftover. Orthotopic/engineered lines, not classic KL GEMM. Not scored.
GSE338088	MCT2 shapes the immune microenvironment [snRNA-Seq]	Mus musculus	snRNA-seq	lung tumors +/- MCT2 cKO	MCT2 cKO GEMM	6 samples	expected yes	yes: RAW.tar	immune TME	not KL	possible	no	no	Unused leftover. Not scored this pass.
GSE319598	Lineage identity governs oncogene dependence in KRAS-inhibitor resistance [scRNA-Seq]	Mus musculus	scRNA-seq	sorted tumor cells from KcP + sotorasib	KP-like + KRAS inhibitor	9 samples	expected yes	yes: adata_tumor_final.h5ad + RAW.tar	GEMM; tumor-sorted	not KL	possible	no	no	Tumor-sorted so T/NK fraction weak. Not scored.
GSE281744	KRAS-G12D drives immunosuppression in LUAD through paracrine signaling	Mus musculus	scRNA-seq	whole lung lobe	KRAS ON vs OFF	2 samples	expected yes	yes: RAW.tar	immune TME	not KL	n=2	no	no	n=2 too small for mouse-level high-vs-low.
GSE281964	Opposing lineage specifiers induce a hybrid-identity state [scRNA-seq]	Mus musculus	scRNA-seq	tumor cells from KPH +/- Hnf4a delete	KPH GEMM	4 samples	expected yes	yes: RAW.tar	GEMM tumor cells	not KL	n=4 tumor-sorted	no	no	Tumor-sorted leftover. Not scored.
GSE203447	Clearance of a senescent macrophage-enriched niche in KRAS-driven lung cancer	Mus musculus	scRNA-seq	senescent vs not from lung TME	KRAS GEMM	3 samples	expected yes	yes: preprocessed annotated rds.gz	immune / senescent labels	not KL	n=3	no	no	Unused leftover. Small n.
GSE149909	scRNA of murine AT2 after oncogenic KRAS (ex vivo infection)	Mus musculus	scRNA-seq	sorted AT2 infected with Cre vs control	Kras-LSL-G12D AT2	2 pooled samples	expected yes	yes: RAW.tar	epithelial only	not KL	n=2 pooled	no	no	Ex vivo AT2, not tumor-bearing mice.
GSE115900	FoxA1/FoxA2 required for gastric differentiation in NKX2-1-negative LUAD [C1]	Mus musculus	scRNA-seq (Fluidigm C1)	FACS murine LUAD cells	NKX2-1 / FoxA GEMM	134 cells (not 134 mice)	expected yes	yes: TableS2.txt.gz	GEMM	not KL	cell-level plate; honest mouse n unclear	no	no	Plate C1, not droplet TME.
GSE188436	FoxA1 and FoxA2 in NKX2-1-positive LUAD (scRNA-Seq)	Mus musculus	scRNA-seq	murine LUAD WT vs FoxA1/2-neg	GEMM	4 samples	expected yes	yes: RAW.tar	GEMM	not KL	possible	no	no	Unused leftover. Not scored this pass.
GSE300288	Tobacco-associated LUAD development scRNA + spatial	Mus musculus	scRNA + spatial	tobacco LUAD	carcinogen / inflammation	31 samples	expected yes	yes: RAW.tar	immune + GEMM-like	not KL	possible	no	no	Unused leftover. Mixed spatial; not scored this pass.
GSE317576	Respiratory viral infections prime accelerated lung cancer growth [scRNA-Seq]	Mus musculus	scRNA-seq	KP lungs after IAV	KP + influenza	6 samples	expected yes	yes: RAW.tar	GEMM + immune	not KL	possible	no	no	Unused leftover. Not scored this pass.
GSE285606	344SQ parental vs PD1R1 (IgG)	Mus musculus	scRNA-seq	Kras/p53 344SQ	344SQ / PD1R1	4 (2 vs 2)	yes	yes	not ICB vs control	KP-like line	yes	no	yes	Already on mouse ICI leftover page.
GSE297632	anti-PD-1 tolerant LLC scRNA	Mus musculus	scRNA-seq	LLC subcutaneous	LLC aPD-1 residual vs control	2 (1 vs 1)	yes	yes	LLC leftover	not KL	n=1 vs 1	no	yes	Already scored on leftover ICI page.
user_private_8KL	User private 8 KL mice	Mus musculus	private	private	KL	8	n/a	private	n/a	n/a	excluded	no	no	Explicitly not used.
