split	direction	interaction_name	pathway_name	ligand	receptor	focus	ligand_class	n_high	n_low	n_compared	n_GSE189357	n_GSE205335	median_prob_high	median_prob_low	delta_median	mwu_u	p	r_rb	test
between_median	outgoing	COL4A4_CD44	COLLAGEN	COL4A4	CD44	other	other	7	5	12	4	8	0.03448829727209	0.05625189687105159	-0.02176359959896159	13.0	0.5303030303030304	-0.2571428571428571	mannwhitney_between_patient_given_combo
between_median	outgoing	MIF_CD74_CD44	MIF	MIF	CD74_CD44	other	other	16	15	31	9	22	0.790418221005627	0.8650887959244016	-0.0746705749187746	104.0	0.5400804783898523	-0.1333333333333333	mannwhitney_between_patient_given_combo
between_median	outgoing	HLA-A_CD8B	MHC-I	HLA-A	CD8B	MHC-I	other	12	13	25	7	18	0.23639241172042147	0.37360376141350204	-0.13721134969308058	67.0	0.5679151111448195	-0.14102564102564108	mannwhitney_between_patient_given_combo
between_median	outgoing	SFTPD_ADGRE5	ADGRE	SFTPD	ADGRE5	other	other	8	6	14	9	5	0.17867360985129782	0.3683354669330192	-0.1896618570817214	19.0	0.5727605727605728	-0.20833333333333337	mannwhitney_between_patient_given_combo
between_median	outgoing	HLA-A_CD8A	MHC-I	HLA-A	CD8A	MHC-I	other	12	15	27	8	19	0.46730309714060614	0.4438612703113521	0.023441826829254053	102.0	0.5747003688897911	0.1333333333333333	mannwhitney_between_patient_given_combo
between_median	outgoing	HLA-DRB5_CD4	MHC-II	HLA-DRB5	CD4	other	other	8	9	17	8	9	0.06556796485127173	0.11947448193071077	-0.05390651707943904	30.0	0.6058412176059235	-0.16666666666666663	mannwhitney_between_patient_given_combo
between_median	outgoing	PVR_TIGIT	PVR	PVR	TIGIT	other	barrier|inhibitory	8	7	15	0	15	0.048067651202655326	0.03671428017542916	0.011353371027226167	33.0	0.6125874125874127	0.1785714285714286	mannwhitney_between_patient_given_combo
between_median	outgoing	HLA-E_CD8A	MHC-I	HLA-E	CD8A	MHC-I	inhibitory	12	15	27	8	19	0.3196032773528883	0.2815925899913669	0.03801068736152141	100.0	0.6429683678468101	0.11111111111111116	mannwhitney_between_patient_given_combo
between_median	outgoing	COL9A2_CD44	COLLAGEN	COL9A2	CD44	other	other	7	3	10	0	10	0.03484988532113452	0.022837814005333468	0.012012071315801051	13.0	0.6666666666666666	0.23809523809523814	mannwhitney_between_patient_given_combo
between_median	outgoing	MIF_CD74_CXCR4	MIF	MIF	CD74_CXCR4	other	other	16	15	31	9	22	0.8515829061741058	0.8908111312766419	-0.039228225102536096	109.0	0.6781060747462503	-0.09166666666666667	mannwhitney_between_patient_given_combo
between_median	outgoing	COL6A2_CD44	COLLAGEN	COL6A2	CD44	other	other	5	5	10	2	8	0.11311160162620429	0.0425255465295162	0.07058605509668808	15.0	0.6904761904761905	0.19999999999999996	mannwhitney_between_patient_given_combo
between_median	outgoing	PVR_CD226	PVR	PVR	CD226	other	barrier|inhibitory	5	5	10	0	10	0.005416316183796065	0.006617413720568144	-0.001201097536772079	10.0	0.6904761904761905	-0.19999999999999996	mannwhitney_between_patient_given_combo
between_median	outgoing	TGM2_ADGRG1	ADGRG	TGM2	ADGRG1	other	other	5	4	9	2	7	0.04120907667434203	0.1258574190296742	-0.08464834235533217	8.0	0.7301587301587302	-0.19999999999999996	mannwhitney_between_patient_given_combo
between_median	outgoing	HLA-F_CD8B	MHC-I	HLA-F	CD8B	MHC-I	other	11	12	23	7	16	0.05432468595134677	0.05929483105749787	-0.004970145106151097	60.0	0.7349852214121391	-0.09090909090909094	mannwhitney_between_patient_given_combo
between_median	outgoing	CLEC2C_KLRB1	CLEC	CD69	KLRB1	other	other	6	8	14	9	5	0.1579118637812525	0.15874238536617202	-0.0008305215849195302	21.0	0.7545787545787546	-0.125	mannwhitney_between_patient_given_combo
between_median	outgoing	HLA-DMB_CD4	MHC-II	HLA-DMB	CD4	other	other	8	7	15	8	7	0.004948245994971694	0.003402595254048112	0.001545650740923582	25.0	0.778865578865579	-0.1071428571428571	mannwhitney_between_patient_given_combo
between_median	outgoing	HLA-C_CD8A	MHC-I	HLA-C	CD8A	MHC-I	other	12	15	27	8	19	0.4952975803795694	0.47948110656767096	0.015816473811898435	96.0	0.7884125897107042	0.06666666666666665	mannwhitney_between_patient_given_combo
between_median	outgoing	CXCL16_CXCR6	CXCL	CXCL16	CXCR6	T-recruit	recruit	6	5	11	1	10	0.07855903076907889	0.04230067369312069	0.036258357075958196	17.0	0.7922077922077921	0.1333333333333333	mannwhitney_between_patient_given_combo
between_median	outgoing	THBS1_CD47	THBS	THBS1	CD47	other	other	11	6	17	8	9	0.044898503778441984	0.08196131798224823	-0.03706281420380625	30.0	0.807530704589528	-0.09090909090909094	mannwhitney_between_patient_given_combo
between_median	outgoing	CD99_CD99	CD99	CD99	CD99	other	other	15	14	29	9	20	0.5060927382352367	0.48097825520323423	0.025114483032002477	99.0	0.810299496070296	-0.05714285714285716	mannwhitney_between_patient_given_combo
between_median	outgoing	NECTIN3_TIGIT	NECTIN	NECTIN3	TIGIT	other	other	6	6	12	3	9	0.018261531067917988	0.0019196511297013827	0.016341879938216605	20.0	0.8181818181818182	0.11111111111111116	mannwhitney_between_patient_given_combo
between_median	outgoing	IGFBP3_TMEM219	IGFBP	IGFBP3	TMEM219	other	other	6	6	12	1	11	0.11724474709047059	0.10713545885524894	0.010109288235221642	20.0	0.8181818181818182	0.11111111111111116	mannwhitney_between_patient_given_combo
between_median	outgoing	TNFSF10_TNFRSF10B	TRAIL	TNFSF10	TNFRSF10A	other	other	4	3	7	0	7	0.019717942022497145	0.01993021614709814	-0.0002122741246009946	5.0	0.8571428571428571	-0.16666666666666663	mannwhitney_between_patient_given_combo
between_median	outgoing	JAG1_NOTCH2	NOTCH	JAG1	NOTCH2	other	other	6	4	10	2	8	0.0013665622434676995	0.0015229913212515085	-0.00015642907778380894	11.0	0.9142857142857143	-0.08333333333333337	mannwhitney_between_patient_given_combo
between_median	outgoing	LGALS9_HAVCR2	GALECTIN	LGALS9	HAVCR2	other	inhibitory	4	6	10	1	9	0.008271887102900536	0.02383492509292409	-0.015563037990023553	11.0	0.9142857142857143	-0.08333333333333337	mannwhitney_between_patient_given_combo
between_median	outgoing	HLA-E_CD8B	MHC-I	HLA-E	CD8B	MHC-I	inhibitory	12	13	25	7	18	0.15004363690518066	0.1422023268698991	0.007841310035281573	76.0	0.9349733548351885	-0.02564102564102566	mannwhitney_between_patient_given_combo
between_median	outgoing	HLA-B_CD8A	MHC-I	HLA-B	CD8A	MHC-I	other	12	15	27	8	19	0.5282888541202737	0.5310349064454871	-0.0027460523252134106	92.0	0.9416529301610359	0.022222222222222143	mannwhitney_between_patient_given_combo
between_median	outgoing	PPIA_BSG	CypA	PPIA	BSG	other	other	16	15	31	9	22	0.6516623574377749	0.6942655246050609	-0.04260316716728596	118.0	0.9527189705620791	-0.01666666666666672	mannwhitney_between_patient_given_combo
between_median	outgoing	HLA-DOA_CD4	MHC-II	HLA-DOA	CD4	other	other	4	5	9	6	3	0.008177714290539024	0.00423439997755014	0.003943314312988885	10.0	1.0	0.0	mannwhitney_between_patient_given_combo
between_median	outgoing	LAMB1_CD44	LAMININ	LAMB1	CD44	other	other	4	4	8	0	8	0.06525505530109342	0.07132160648890189	-0.006066551187808467	8.0	1.0	0.0	mannwhitney_between_patient_given_combo
between_q4q1	outgoing	CD99_CD99	CD99	CD99	CD99	other	other	7	9	16	5	11	0.28518230751899726	0.5249807778792158	-0.23979847036021856	9.0	0.016433566433566436	-0.7142857142857143	mannwhitney_between_patient_given_combo
between_q4q1	outgoing	MDK_NCL	MK	MDK	NCL	other	other	8	9	17	5	12	0.7536198536304624	0.342983894926281	0.41063595870418135	59.0	0.02739613327848622	0.6388888888888888	mannwhitney_between_patient_given_combo
between_q4q1	outgoing	FN1_CD44	FN1	FN1	CD44	other	other	4	5	9	4	5	0.05156974929977713	0.11626854174281144	-0.06469879244303431	1.0	0.031746031746031744	-0.9	mannwhitney_between_patient_given_combo
between_q4q1	outgoing	JAG1_NOTCH1	NOTCH	JAG1	NOTCH1	other	other	3	4	7	1	6	0.01649181550245371	0.0007948290074601079	0.0156969864949936	12.0	0.05714285714285714	1.0	mannwhitney_between_patient_given_combo
between_q4q1	outgoing	GDF15_TGFBR2	GDF	GDF15	TGFBR2	other	other	3	6	9	5	4	0.10974517772260226	0.024006129632422275	0.08573904809017999	16.0	0.09523809523809523	0.7777777777777777	mannwhitney_between_patient_given_combo
between_q4q1	outgoing	ICAM1_ITGAL	ICAM	ICAM1	ITGAL	other	other	3	9	12	5	7	0.13536240270754504	0.05635313304129444	0.0790092696662506	23.0	0.09999999999999999	0.7037037037037037	mannwhitney_between_patient_given_combo
between_q4q1	outgoing	THBS3_CD47	THBS	THBS3	CD47	other	other	3	3	6	0	6	0.07183039184542526	0.0014357264471962473	0.07039466539822901	9.0	0.1	1.0	mannwhitney_between_patient_given_combo
between_q4q1	outgoing	CLEC2B_KLRB1	CLEC	CLEC2B	KLRB1	other	other	3	8	11	5	6	0.008644981883107751	0.05503196777794602	-0.04638698589483827	4.0	0.13333333333333333	-0.6666666666666667	mannwhitney_between_patient_given_combo
between_q4q1	outgoing	LAMA3_CD44	LAMININ	LAMA3	CD44	other	other	3	6	9	2	7	0.31382520494931565	0.046511558737152056	0.2673136462121636	15.0	0.16666666666666666	0.6666666666666667	mannwhitney_between_patient_given_combo
between_q4q1	outgoing	LAMB2_CD44	LAMININ	LAMB2	CD44	other	other	4	6	10	5	5	0.15416946347122273	0.02184526111344013	0.1323242023577826	19.0	0.17142857142857143	0.5833333333333333	mannwhitney_between_patient_given_combo
between_q4q1	outgoing	HLA-E_KLRK1	MHC-I	HLA-E	KLRK1	MHC-I	inhibitory	4	6	10	0	10	0.16790767785084718	0.40565600442463423	-0.23774832657378706	5.0	0.17142857142857143	-0.5833333333333333	mannwhitney_between_patient_given_combo
between_q4q1	outgoing	LAMA5_CD44	LAMININ	LAMA5	CD44	other	other	6	7	13	4	9	0.1576210389818951	0.08322463670244752	0.07439640227944759	31.0	0.18065268065268064	0.4761904761904763	mannwhitney_between_patient_given_combo
between_q4q1	outgoing	THBS1_CD47	THBS	THBS1	CD47	other	other	4	3	7	4	3	0.18562396712662138	0.08019437587414359	0.10542959125247779	10.0	0.22857142857142856	0.6666666666666667	mannwhitney_between_patient_given_combo
between_q4q1	outgoing	LGALS9_P4HB	GALECTIN	LGALS9	P4HB	other	inhibitory	3	9	12	3	9	0.33852776976149157	0.030667652279406172	0.3078601174820854	20.0	0.2818181818181818	0.4814814814814814	mannwhitney_between_patient_given_combo
between_q4q1	outgoing	HLA-E_CD8B	MHC-I	HLA-E	CD8B	MHC-I	inhibitory	4	7	11	3	8	0.08584637303264309	0.3014102250067266	-0.2155638519740835	8.0	0.3151515151515151	-0.4285714285714286	mannwhitney_between_patient_given_combo
between_q4q1	outgoing	MIF_CD74_CXCR4	MIF	MIF	CD74_CXCR4	other	other	8	9	17	5	12	0.8222163974188157	0.8890355744810029	-0.06681917706218721	25.0	0.3212669683257919	-0.3055555555555556	mannwhitney_between_patient_given_combo
between_q4q1	outgoing	ICAM1_SPN	ICAM	ICAM1	SPN	other	other	4	9	13	5	8	0.13559603379110102	0.06220224274870113	0.0733937910423999	25.0	0.3300699300699301	0.38888888888888884	mannwhitney_between_patient_given_combo
between_q4q1	outgoing	CDH1_KLRG1	CDH1	CDH1	KLRG1	other	barrier	4	6	10	2	8	0.03435371325169501	0.021119789813564587	0.013233923438130426	17.0	0.35238095238095235	0.41666666666666674	mannwhitney_between_patient_given_combo
between_q4q1	outgoing	MIF_CD74_CD44	MIF	MIF	CD74_CD44	other	other	8	9	17	5	12	0.7681143812956208	0.8625647370527637	-0.09445035575714289	26.0	0.37038255861785274	-0.2777777777777778	mannwhitney_between_patient_given_combo
between_q4q1	outgoing	HLA-DPB1_CD4	MHC-II	HLA-DPB1	CD4	other	other	3	7	10	5	5	0.12460886583732335	0.2228792647336901	-0.09827039889636675	6.0	0.3833333333333333	-0.4285714285714286	mannwhitney_between_patient_given_combo
between_q4q1	outgoing	HLA-DRA_CD4	MHC-II	HLA-DRA	CD4	other	other	3	7	10	5	5	0.1997811572981903	0.34398271991872326	-0.14420156262053296	6.0	0.3833333333333333	-0.4285714285714286	mannwhitney_between_patient_given_combo
between_q4q1	outgoing	COL6A1_CD44	COLLAGEN	COL6A1	CD44	other	other	3	4	7	2	5	0.19623477099229647	0.09455584694002792	0.10167892405226855	9.0	0.4	0.5	mannwhitney_between_patient_given_combo
between_q4q1	outgoing	HLA-F_CD8B	MHC-I	HLA-F	CD8B	MHC-I	other	4	7	11	3	8	0.08065048788765614	0.11582656969284057	-0.03517608180518443	9.0	0.4121212121212121	-0.3571428571428571	mannwhitney_between_patient_given_combo
between_q4q1	outgoing	HLA-A_CD8B	MHC-I	HLA-A	CD8B	MHC-I	other	4	7	11	3	8	0.32798705010868096	0.37801806853071634	-0.05003101842203539	9.0	0.4121212121212121	-0.3571428571428571	mannwhitney_between_patient_given_combo
between_q4q1	outgoing	HLA-C_CD8B	MHC-I	HLA-C	CD8B	MHC-I	other	4	7	11	3	8	0.3078376614676906	0.36053132685389855	-0.052693665386207955	9.0	0.4121212121212121	-0.3571428571428571	mannwhitney_between_patient_given_combo
between_q4q1	outgoing	HLA-B_CD8B	MHC-I	HLA-B	CD8B	MHC-I	other	4	7	11	3	8	0.27140588831373436	0.42673045308613633	-0.15532456477240197	9.0	0.4121212121212121	-0.3571428571428571	mannwhitney_between_patient_given_combo
between_q4q1	outgoing	LAMB3_CD44	LAMININ	LAMB3	CD44	other	other	4	9	13	5	8	0.1879237967300465	0.1536349268296225	0.03428886990042401	24.0	0.413986013986014	0.33333333333333326	mannwhitney_between_patient_given_combo
between_q4q1	outgoing	LAMC1_CD44	LAMININ	LAMC1	CD44	other	other	5	5	10	2	8	0.10726860682024125	0.057522082493950626	0.04974652432629063	17.0	0.42063492063492064	0.3600000000000001	mannwhitney_between_patient_given_combo
between_q4q1	outgoing	COL1A1_CD44	COLLAGEN	COL1A1	CD44	other	other	4	4	8	3	5	0.17752179140057273	0.04285039181043943	0.1346713995901333	11.0	0.4857142857142857	0.375	mannwhitney_between_patient_given_combo
between_q4q1	outgoing	HLA-DQB1_CD4	MHC-II	HLA-DQB1	CD4	other	other	3	7	10	5	5	0.10870989953571691	0.14955820168798012	-0.040848302152263205	7.0	0.5166666666666666	-0.33333333333333337	mannwhitney_between_patient_given_combo
between_q4q1	outgoing	HLA-DRB1_CD4	MHC-II	HLA-DRB1	CD4	other	other	3	7	10	5	5	0.2008402606569819	0.26176197832475295	-0.06092171766777105	7.0	0.5166666666666666	-0.33333333333333337	mannwhitney_between_patient_given_combo
between_q4q1	outgoing	HLA-DPA1_CD4	MHC-II	HLA-DPA1	CD4	other	other	3	7	10	5	5	0.1499369831943796	0.25614286795952745	-0.10620588476514786	7.0	0.5166666666666666	-0.33333333333333337	mannwhitney_between_patient_given_combo
between_q4q1	outgoing	HLA-DMA_CD4	MHC-II	HLA-DMA	CD4	other	other	4	7	11	5	6	0.07968017795736393	0.12658012649560133	-0.046899948538237396	10.0	0.5272727272727272	-0.2857142857142857	mannwhitney_between_patient_given_combo
between_q4q1	outgoing	LGALS9_CD44	GALECTIN	LGALS9	CD44	other	inhibitory	3	9	12	3	9	0.3291797137267322	0.05591259038930576	0.2732671233374265	17.0	0.6	0.2592592592592593	mannwhitney_between_patient_given_combo
between_q4q1	outgoing	HLA-E_CD8A	MHC-I	HLA-E	CD8A	MHC-I	inhibitory	4	9	13	4	9	0.2300016548631304	0.23001649486220094	-1.4839999070537235e-05	14.0	0.6041958041958042	-0.2222222222222222	mannwhitney_between_patient_given_combo
between_q4q1	outgoing	SFTPD_ADGRE5	ADGRE	SFTPD	ADGRE5	other	other	3	4	7	5	2	0.055649630280824945	0.40232097846701265	-0.3466713481861877	4.0	0.6285714285714286	-0.33333333333333337	mannwhitney_between_patient_given_combo
between_q4q1	outgoing	APP_CD74	APP	APP	CD74	other	other	8	9	17	5	12	0.49163597007167514	0.3417270247186596	0.14990894535301552	41.0	0.6729740847387906	0.13888888888888884	mannwhitney_between_patient_given_combo
between_q4q1	outgoing	HLA-B_CD8A	MHC-I	HLA-B	CD8A	MHC-I	other	4	9	13	4	9	0.4899782621307877	0.5310349064454871	-0.04105664431469941	15.0	0.7104895104895105	-0.16666666666666663	mannwhitney_between_patient_given_combo
between_q4q1	outgoing	HLA-C_CD8A	MHC-I	HLA-C	CD8A	MHC-I	other	4	9	13	4	9	0.5543027070895723	0.4175877757720539	0.13671493131751838	20.0	0.8251748251748252	0.11111111111111116	mannwhitney_between_patient_given_combo
between_q4q1	outgoing	HLA-A_CD8A	MHC-I	HLA-A	CD8A	MHC-I	other	4	9	13	4	9	0.6176249578480268	0.4935377902759714	0.12408716757205546	20.0	0.8251748251748252	0.11111111111111116	mannwhitney_between_patient_given_combo
between_q4q1	outgoing	HLA-DQA1_CD4	MHC-II	HLA-DQA1	CD4	other	other	3	7	10	5	5	0.054175225180087556	0.0944804810353795	-0.04030525585529194	9.0	0.8333333333333333	-0.1428571428571429	mannwhitney_between_patient_given_combo
between_q4q1	outgoing	HLA-F_CD8A	MHC-I	HLA-F	CD8A	MHC-I	other	3	9	12	4	8	0.2902187191717825	0.14467104405866515	0.14554767511311734	15.0	0.8636363636363636	0.11111111111111116	mannwhitney_between_patient_given_combo
