query_symbol	official_symbol	synonyms
CSF1	CSF1	CSF-1,MCSF,PG-M-CSF
CSF2RB	CSF2RB	CD131,CDw131,IL3RB,IL5RB,SMDP5,betaGMR
CXCL10	CXCL10	C7,IFI10,INP10,IP-10,SCYB10,crg-2,gIP-10,mob-1
CXCL11	CXCL11	H174,I-TAC,IP-9,IP9,SCYB11,SCYB9B,b-R1
CXCL9	CXCL9	CMK,Humig,MIG,SCYB9,crg-10
DCLRE1C	DCLRE1C	A-SCID,DCLREC1C,RS-SCID,SCIDA,SNM1C
DDX58	RIGI	DDX58,RIG-I,RIG1,RLR-1,SGMRT2
DDX60	DDX60	
DHX58	DHX58	D11LGP2,D11lgp2e,LGP2,RLR-3
DNTT	DNTT	TDT
EGR1	EGR1	AT225,G0S30,KROX-24,NGFI-A,TIS8,ZIF-268,ZIF268,ZNF225
EIF2AK2	EIF2AK2	PKR,PPP1R83,PRKR
EIF4E3	EIF4E3	eIF-4E3,eIF4E-3
ELF1	ELF1	EFTUD1,RIA1
ELF1	ELOF1	ELF1
EPSTI1	EPSTI1	BRESI1
FAS	FAS	ALPS1A,APO-1,APT1,CD95,FAS1,FASTM,TNFRSF6
FAS	FASN	FAS,OA-519,SDR27X1
FCGR1A	FCGR1A	CD64,CD64A,FCG1,FCGR1,FCRI,FcgammaRI,IGFR1
FEN1	FEN1	FEN-1,MF1,RAD2
FGL2	FGL2	T49,pT49
FPR1	FPR1	FMLP,FPR
GBP2	GBP2	
GBP4	GBP4	Mpa2
GBP6	GBP6	
GCH1	GCH1	DYT14,DYT5,DYT5a,GCH,GTP-CH-1,GTPCH1,HPABH4B
GMPR	GMPR	GMPR 1,GMPR1,hGMPR-I
GPR18	GPR18	DRV2
GZMA	GZMA	CTLA3,HFSP
H2AX	H2AX	H2A.X,H2A/X,H2AFX
H2BC1	H2BC1	H2BFU,HIST1H2BA,STBP,TH2B,TSH2B,TSH2B.1,bA317E16.3,hTSH2B
H2BC11	H2BC11	H2B/r,H2BFR,H2BJ,HIST1H2BJ
H2BC12	H2BC12	H2B/S,H2BFAiii,H2BFT,H2BK,HIST1H2BK
H2BC12L	H2BC12L	H2B/s,H2BFS,H2BS1
H2BC13	H2BC13	H2B/c,H2BFC,HIST1H2BL,dJ97D16.4
H2BC14	H2BC14	H2B/e,H2BFE,HIST1H2BM,dJ160A22.3
H2BC15	H2BC15	H2B/d,H2BFD,HIST1H2BN
H2BC17	H2BC17	H2B.2,H2B/n,H2BFN,HIST1H2BO,dJ193B12.2
H2BC21	H2BC21	GL105,H2B,H2B-GL105,H2B.1,H2BE,H2BFQ,H2BGL105,H2BQ,HIST2H2BE
H2BC26	H2BC26	H2BU1,H2Bb,HIST3H2BB
H2BC3	H2BC3	H2B.1,H2B/f,H2BFF,HIST1H2BB
H2BC4	H2BC10	H2B/k,H2BC4,H2BC6,H2BC7,H2BC8,H2BFK,HIST1H2BI
H2BC4	H2BC4	H2B.1,H2B/l,H2BC10,H2BC6,H2BC7,H2BC8,H2BFL,HIST1H2BC,dJ221C16.3
H2BC4	H2BC6	H2B.h,H2B/h,H2BC10,H2BC4,H2BC7,H2BC8,H2BFH,HIST1H2BE,dJ221C16.8
H2BC4	H2BC8	H2B.1A,H2B/a,H2BC10,H2BC4,H2BC6,H2BC7,H2BFA,HIST1H2BG,dJ221C16.8
H2BC5	H2BC5	H2B.1B,H2B/a,H2B/b,H2B/g,H2B/h,H2B/k,H2B/l,H2BFA,H2BFB,H2BFG,H2BFH,H2BFK,H2BFL,HIRIP2,HIST1H2BC,HIST1H2BD,HIST1H2BE,HIST1H2BF,HIST1H2BG,HIST1H2BI,dJ221C16.6
H2BC9	H2BC9	H2B/j,H2BFJ,HIST1H2BH
H3-4	H3-4	H3.4,H3/g,H3C16,H3FT,H3t,HIST3H3
H4C15	H4C15	H4/o,HIST2H4B
HELZ2	HELZ2	PDIP-1,PRIC285
HERC2	HERC2	D15F37S1,MRT38,SHEP1,jdf2,p528
HERC6	HERC6	
HIF1A	HIF1A	HIF-1-alpha,HIF-1A,HIF-1alpha,HIF1,HIF1-ALPHA,MOP1,PASD8,bHLHe78
HLA-A	HLA-A	HLAA
HLA-B	HLA-B	AS,B-4901,HLAB
HLA-C	HLA-C	D6S204,HLA-JY3,HLAC,HLC-C,MHC,PSORS1
HLA-DMA	HLA-DMA	D6S222E,DMA,HLADM,RING6
HLA-DQA1	HLA-DQA1	CELIAC1,DQ-A1,DQA1,HLA-DQA,HLA-DQA1*
HLA-DRB1	HLA-DRB1	DRB1,HLA-DR1B,HLA-DRB,SS1
HLA-E	HLA-E	HLA-6.2,QA1
HLA-F	HLA-F	CDA12,HLA-5.4,HLA-CDA12,HLAF
HLA-G	HLA-G	MHC-G
HOXC13	HOXC13	ECTD9,HOX3,HOX3G
ICAM1	ICAM1	BB2,CD54,P3.58
IDO1	IDO1	IDO,IDO-1,INDO
IFI27	IFI27	FAM14D,ISG12,ISG12A,P27
IFI30	IFI30	GILT,IFI-30,IP-30,IP30
IFI35	IFI35	IFP35
IFI44	IFI44	MTAP44,TLDC5,p44
IFI44L	IFI44L	C1orf29,GS3686,TLDC5B
IFI6	IFI6	6-16,FAM14C,G1P3,IFI-6-16,IFI616
IFIH1	IFIH1	AGS7,Hlcd,IDDM19,IMD95,MDA-5,MDA5,RLR-2,SGMRT1
IFIT1	IFIT1	C56,G10P1,IFI-56,IFI-56K,IFI56,IFIT-1,IFNAI1,ISG56,P56,RNM561
IFIT2	IFIT2	G10P2,GARG-39,IFI-54,IFI-54K,IFI54,IFIT-2,ISG-54,ISG-54 K,ISG-54K,ISG54,P54,cig42
IFIT3	IFIT3	CIG-49,GARG-49,IFI60,IFIT4,IRG2,ISG60,P60,RIG-G,cig41
IFIT5	IFIT5	ISG58,P58,RI58
IFITM1	IFITM1	9-27,CD225,DSPA2a,IFI17,LEU13
IFITM2	IFITM2	1-8D,DSPA2c
IFITM3	IFITM3	1-8U,DSPA2b,IP15
IFNA1	IFNA1	IFL,IFN,IFN-ALPHA,IFN-alphaD,IFNA13,IFNA@,leIF D
IFNA10	IFNA10	IFN-alphaC
IFNA14	IFNA14	IFN-alphaH,LEIF2H
IFNA16	IFNA16	IFN-alpha-16,IFN-alphaO
IFNA17	IFNA17	IFN-alphaI,IFNA,INFA,LEIF2C1
IFNA2	IFNA2	IFN-alpha-2,IFN-alphaA,IFNA,IFNA2B,leIF A
IFNA21	IFNA21	IFN-alphaI,LeIF F,leIF-F
IFNA4	IFNA4	IFN-alpha4a,INFA4
IFNA5	IFNA5	IFN-alpha-5,IFN-alphaG,INA5,INFA5,leIF G
IFNA6	IFNA6	IFN-alphaK
IFNA7	IFNA7	IFN-alphaJ,IFNA-J
IFNA8	IFNA8	IFN-alphaB
IFNAR1	IFNAR1	AVP,CRF2-1,IFN-R-1,IFN-alpha-REC,IFNAR,IFNBR,IFRC,IMD106
IFNAR2	IFNAR2	IFN-R,IFN-R-2,IFN-alpha-REC,IFNABR,IFNARB,IMD45
IFNB1	IFNB1	IFB,IFF,IFN-beta,IFNB
IL10RA	IL10RA	CD210,CD210a,CDW210A,HIL-10R,IL-10R1,IL10R
IL15	IL15	IL-15
IL15RA	IL15RA	CD215
IL18BP	IL18BP	FVH,IL18BPa
IL2RB	IL2RB	CD122,IL15RB,IMD63,P70-75
IL4R	IL4R	CD124,IL-4RA,IL4RA
IL6	IL6	BSF-2,BSF2,CDF,HGF,HSF,IFN-beta-2,IFNB2,IL-6
IL7	IL7	IL-7,IMD130
IP6K2	IP6K2	IHPK2,InsP6K2,PIUS
IRF1	IRF1	IMD117,IRF-1,MAR
IRF2	IRF2	IRF-2
IRF3	IRF3	IIAE7
IRF4	IRF4	IMD131,LSIRF,MUM1,NF-EM5,SHEP8
IRF5	IRF5	SLEB10
IRF6	IRF6	LPS,OFC6,PIT,PPS,PPS1,VWS,VWS1
IRF7	IRF7	IMD39,IRF-7,IRF-7H,IRF7A,IRF7B,IRF7C,IRF7H
IRF8	IRF8	H-ICSBP,ICSBP,ICSBP1,IMD32A,IMD32B,IRF-8
IRF9	IRF9	IRF-9,ISGF3,ISGF3G,p48
ISG15	ISG15	G1P2,IFI15,IMD38,IP17,UCRP,hUCRP
ISG20	ISG20	CD25,HEM45
ISOC1	ISOC1	CGI-111
ITGB7	ITGB7	
JAK1	JAK1	AIIDE,JAK1A,JAK1B,JTK3
JAK2	JAK2	JTK10
KAT5	KAT5	ESA1,HTATIP,HTATIP1,NEDFASB,PLIP,TIP,TIP60,ZC2HC5,cPLA2
KLRK1	KLRK1	CD314,D12S2489E,KLR,NKG2-D,NKG2D
KPNA1	KPNA1	IPOA5,NPI-1,RCH2,SRP1
KPNB1	KPNB1	IMB1,IPO1,IPOB,Impnb,NTF97
LAMP3	LAMP3	CD208,DC LAMP,DC-LAMP,DCLAMP,LAMP,LAMP-3,TSC403
LAP3	LAP3	HEL-S-106,LAP,LAPEP,PEPS
LATS2	LATS2	KPM
LCP2	LCP2	IMD81,SLP-76,SLP76
LGALS3BP	LGALS3BP	90K,BTBD17B,CyCAP,M2BP,MAC-2-BP,TANGO10B,gp90
LIG4	LIG4	LIG4S
LPAR6	LPAR6	ARWH1,HYPT8,LAH3,LPA-6,P2RY5,P2Y5
LRIF1	LRIF1	C1orf103,FSHD3,HBiX1,RIF1
LY6E	LY6E	RIG-E,RIGE,SCA-2,SCA2,TSA-1
LYSMD2	LYSMD2	
MARCHF1	MARCHF1	MARCH-I,MARCH1,RNF171
MDC1	MDC1	NFBD1
METTL7B	TMT1B	ALDI,METTL7B
MOV10	MOV10	fSAP113,gb110
MRE11	MRE11	ATLD,HNGS1,MRE11A,MRE11B
MT2A	MT2A	MT-2,MT-II,MT2
MTHFD2	MTHFD2	NMDMC
MVB12A	MVB12A	CFBP,FAM125A
MVP	MMVP1	MVP,PMV
MVP	MVP	LRP,VAULT1
MX1	MX1	IFI-78K,IFI78,MX,MxA,lncMX1-215
MX2	MX2	MXB
MYD88	MYD88	IMD68,MYD88D,WM1
NAMPT	NAMPT	1110035O14Rik,PBEF,PBEF1,VF,VISFATIN
NCOA3	NCOA3	ACTR,AIB-1,AIB1,CAGH16,CTG26,KAT13B,RAC3,SRC-3,SRC3,TNRC14,TNRC16,TRAM-1,bHLHe42,pCIP
NCOA7	NCOA7	ERAP140,ESNA1,NCOA7-AS,Nbla00052,Nbla10993,TLDC4,dJ187J11.3
NFKB1	NFKB1	CVID12,EBP-1,KBF1,NF-kB,NF-kB1,NF-kappa-B1,NF-kappaB,NF-kappabeta,NFKB-p105,NFKB-p50,NFkappaB
NFKBIA	NFKBIA	EDAID2,IKBA,MAD-3,NFKBI
NHEJ1	NHEJ1	IMD124,MCOPCB13,XLF
NLRC5	NLRC5	CLR16.1,NOD27,NOD4
NMI	MYO1C	MMI-beta,MMIb,MyoIC,NMI,myr2
NMI	NMI	
NOD1	NOD1	CARD4,CLR7.1,NLRC1,hNod1
NSD2	NSD2	KMT3F,KMT3G,MMSET,RAUST,REIIBP,TRX5,WHS,WHSC1
NUB1	NUB1	BS4,NUB1L,NYREN18
NUP93	NUP93	NIC96
OAS1	OAS1	E18/E16,IFI-4,IMD100,OIAS,OIASI
OAS2	OAS2	AIAISD2
OAS3	OAS3	p100,p100OAS
OASL	OASL	OASL1,OASLd,TRIP-14,TRIP14,p59 OASL,p59-OASL,p59OASL
OGFR	OGFR	
P2RY14	P2RY14	BPR105,GPR105,P2Y14
PARP12	PARP12	ARTD12,MST109,MSTP109,ZC3H1,ZC3HDC1
PARP14	PARP14	ARTD8,BAL2,PARP-14,pART8
PARP9	PARP9	ARTD9,BAL,BAL1,MGC:7868
PAXIP1	PAXIP1	CAGF28,CAGF29,PACIP1,PAXIP1L,PTIP,TNRC2
PDE4B	PDE4B	DPDE4,PDEIVB
PELI1	PELI1	
PFKP	PFKP	ATP-PFK,PFK-C,PFK-P,PFKF
PIAS4	PIAS4	PIAS-gamma,PIASY,Piasg,ZMIZ6
PIM1	LONP1	CODASS,LON,LONP,LonHS,PIM1,PRSS15,hLON
PIM1	PIM1	PIM
PLA2G4A	PLA2G4A	GURDP,PLA2G4,cPLA2,cPLA2-alpha
PLSCR1	PLSCR1	MMTRA1B
PML	PML	MYL,PP8675,RNF71,TRIM19
PNP	PNP	NP,PRO1837,PUNP
PNP	PPY	PH,PNP,PP
PNPT1	PNPT1	COXPD13,DFNB70,OLD35,PNPASE,SCA25,old-35
POLL	POLL	BETAN,POLKAPPA
POLM	POLM	Pol Mu,Tdt-N
PRKDC	PRKDC	DNA-PKC,DNA-PKcs,DNAPK,DNAPKc,DNPK1,HYRC,HYRC1,IMD26,S473K,XRCC7,p350
PROCR	PROCR	CCCA,CCD41,EPCR
PSMA2	PSMA2	HC3,MU,PMSA2,PSC2
PSMA3	PSMA3	HC8,PSC3
PSMB10	PSMB10	IMD121,LMP10,MECL1,PRAAS5,beta2i
PSMB2	PSMB2	HC7-I
PSMB8	PSMB8	ALDD,D6S216,D6S216E,JMP,LMP7,NKJO,PRAAS1,PSMB5i,RING10
PSMB9	PSMB9	LMP2,PRAAS3,PRAAS6,PSMB6i,RING12,beta1i
PSME1	PSME1	HEL-S-129m,IFI5111,PA28A,PA28alpha,REGalpha
PSME2	PSME2	PA28B,PA28beta,REGbeta
PTGS2	PTGS2	COX-2,COX2,GRIPGHS,PGG/HS,PGHS-2,PHS-2,hCox-2
PTPN1	PTPN1	PTP1B
PTPN11	PTPN11	BPTP3,CFC,JMML,METCDS,NS1,PTP-1D,PTP2C,SH-PTP2,SH-PTP3,SHP2
PTPN2	PTPN2	PTN2,PTPT,TC-PTP,TC45,TC48,TCELLPTP,TCPTP
PTPN6	PTPN6	HCP,HCPH,HPTP1C,PTP-1C,SH-PTP1,SHP-1,SHP-1L,SHP1
RAD50	RAD50	NBSLD,RAD502,hRad50
RAPGEF6	RAPGEF6	KIA001LB,PDZ-GEF2,PDZGEF2,RA-GEF-2,RAGEF2
RBCK1	RBCK1	C20orf18,HOIL-1,HOIL1,PBMEI,PGBM1,RBCK2,RNF54,UBCE7IP3,XAP3,XAP4,ZRANB4
RIPK1	RIPK1	AIEFL,IMD57,RIP,RIP-1,RIP1
RIPK2	RIPK2	CARD3,CARDIAK,CCK,GIG30,RICK,RIP2
RNASEL	RNASEL	PRCA1,RNS4
RNF168	RNF168	RIDL,hRNF168
RNF213	RNF213	ALO17,C17orf27,KIAA1618,MYMY2,MYSTR,NET57
RNF31	RNF31	HOIP,IMD115,Paul,ZIBRA
RNF8	RNF8	hRNF8
RSAD2	RSAD2	SAND,cig33,cig5,vig1
RTP4	RTP4	IFRG28,Z3CXXC4
SAMD9	SAMD9	C7orf5,DRIF1,M7MLS2,MIRAGE,NFTC,OEF1,OEF2
SAMD9L	SAMD9L	ATXPC,C7DELq,C7orf6,DEL7q,DRIF2,M7MLS1,MLSM7,SCA49,UEF1
SAMHD1	SAMHD1	CHBL2,DCIP,HDDC1,MOP-5,SBBI88,hSAMHD1
SECTM1	SECTM1	K12,SECTM
SELL	SELL	CD62L,LAM1,LECAM1,LEU8,LNHR,LSEL,LYAM1,PLNHR,TQ1
SELP	SELENOP	SELP,SEPP,SEPP1,SeP
SELP	SELP	CD62,CD62P,GMP140,GRMP,LECAM3,PADGEM,PSEL
SERPING1	SERPING1	C1IN,C1INH,C1NH,HAE1,HAE2
SLAMF7	SLAMF7	19A,CD319,CRACC,CS1
SLC25A28	SLC25A28	MFRN2,MRS3/4,MRS4L,NPD016
SOCS1	SOCS1	AISIMD,CIS1,CISH1,JAB,SOCS-1,SSI-1,SSI1,TIP-3,TIP3
SOCS3	SOCS3	ATOD4,CIS3,Cish3,SOCS-3,SSI-3,SSI3
SOD2	SOD2	GC1,GClnc1,IPO-B,IPOB,MNSOD,MVCD6,Mn-SOD,lncRNA-GC1
SP110	SP110	IFI41,IFI75,IPR1,VODI
SPPL2A	SPPL2A	IMD86,IMP3,PSL2
SRI	SRI	CP-22,CP22,SCN,V19
SSPN	SSPN	DAGA5,KRAG,NSPN,SPN1,SPN2
ST3GAL5	ST3GAL5	SATI,SIAT9,SIATGM3S,SPDRS,ST3Gal V,ST3GalV
ST8SIA4	ST8SIA4	PST,PST1,SIAT8-D,SIAT8D,ST8SIA-IV,ST8SiaIV
STAT1	STAT1	CANDF7,IMD31A,IMD31B,IMD31C,ISGF-3,STAT91
STAT2	STAT2	IMD44,ISGF-3,P113,PTORCH3,STAT113
STAT3	STAT3	ADMIO,ADMIO1,APRF,HIES
STAT4	STAT4	DPMC,SLEB11
TAP1	SEC14L2	C22orf6,SPF,TAP,TAP1
TAP1	TAP1	ABC17,ABCB2,APT1,D6S114E,MHC1D1,PSF-1,PSF1,RING4,TAP1*0102N,TAP1N
TAPBP	TAPBP	MHC1D3,NGS17,TAPA,TPN,TPSN
TDP1	TDP1	
TDP2	TDP2	AD022,EAP2,EAPII,TTRAP,dJ30M3.3,hTDP2
TDRD7	TDRD7	CATC4,PCTAIRE2BP,TRAP
TENT5A	TENT5A	C6orf37,FAM46A,OI18,XTP11
TMEM140	TMEM140	
TNFAIP2	TNFAIP2	B94,EXOC3L3
TNFAIP3	TNFAIP3	A20,AIFBL1,AISBL,OTUD7C,TNFA1P2
TNFAIP6	TNFAIP6	TSG-6,TSG6
TNFSF10	TNFSF10	APO2L,Apo-2L,CD253,TANCR,TL2,TNLG6A,TRAIL
TOR1B	TOR1B	DQ1
TP53BP1	TP53BP1	53BP1,TDRD30,p202,p53BP1
TRAFD1	TRAFD1	FLN29
TRIM14	TRIM14	
TRIM21	TRIM21	RNF81,RO52,Ro/SSA,SSA,SSA1,TRIM21/Ro52
TRIM25	TRIM25	EFP,RNF147,Z147,ZNF147
TRIM26	TRIM26	RNF95,ZNF173
TRIM5	TRIM5	RNF88,TRIM5alpha
TXNIP	TXNIP	ARRDC6,EST01027,HHCPA78,THIF,VDUP1
TYK2	TYK2	IMD35,JTK1
UBA7	UBA7	D8,UBA1B,UBE1L,UBE2,UBE7
UBE2L6	UBE2L6	RIG-B,UBCH8
UBE2N	UBE2N	HEL-S-71,UBC13,UBCHBEN,UBCHBEN; UBC13,UbcH-ben,UbcH13
UBE2V2	UBE2V2	DDVIT1,DDVit-1,EDAF-1,EDPF-1,EDPF1,MMS2,UEV-2,UEV2
UIMC1	UIMC1	RAP80,X2HRIP110
UPP1	UPP1	UDRPASE,UP,UPASE,UPP
USP18	USP18	ISG43,PTORCH2,UBP43
VAMP5	VAMP5	
VAMP8	VAMP8	EDB,VAMP-8
VCAM1	VCAM1	CD106,INCAM-100
WARS1	WARS1	GAMMA-2,HMN9,HMND9,IFI53,IFP53,NEDMSBA,WARS
XAF1	XAF1	BIRC4BP,HSXIAPAF1,XIAPAF1
XCL1	XCL1	ATAC,LPTN,LTN,SCM-1,SCM-1a,SCM1,SCM1A,SCYC1
XRCC4	XRCC4	SSMED,hXRCC4
XRCC5	XRCC5	KARP-1,KARP1,KU80,KUB2,Ku86,NFIV
XRCC6	XRCC6	CTC75,CTCBF,G22P1,KU70,ML8,TLAA
ZBP1	IGF2BP1	CRD-BP,CRDBP,IMP-1,IMP1,VICKZ1,ZBP1
ZBP1	ZBP1	C20orf183,DAI,DLM-1,DLM1
ZNFX1	ZNFX1	IMD91
