contrast	tissue	adc_monotherapy	n_treat	n_control	paired	transform	expr_kind	gene_sets	ifn_set	apm_set	nhej_set	summary	n_ifn_genes	n_apm_genes	n_nhej_genes	CLDN4_log2FC	CLDN4_welch_p	CLDN4_paired_p	IFN_summary	APM_summary	NHEJ_summary	IFN_sample_welch_p	APM_sample_welch_p	NHEJ_sample_welch_p	signed_score	sign_hit_CLDN4down_sets_up	primary_row	pass_sign	pass_moderate_CLDN4lt-0.25_sets_gt0	pass_strict_CLDN4lt-0.5_sets_gt0.25
GSE312098_combination_vs_control	CRC CX-1, IMMU132+GSK2606414, 48 h	no	3	3	no	log2(x+1)	FPKM	alt_reactomeIFNG_reactomeAPM_reactomeNHEJ	REACTOME_INTERFERON_GAMMA_SIGNALING	REACTOME_ANTIGEN_PRESENTATION_FOLDING_ASSEMBLY_AND_PEPTIDE_LOADING_OF_CLASS_I_MHC	REACTOME_NONHOMOLOGOUS_END_JOINING_NHEJ	mean	94	29	34	-0.613893	6.5549e-05	NA	0.279287	0.379568	-0.0703307	5.77516e-06	4.77904e-05	0.138215	1.20242	no	no	no	no	no
GSE312098_combination_vs_control	CRC CX-1, IMMU132+GSK2606414, 48 h	no	3	3	no	log2(x+0.1)	FPKM	primary_hallmarkG_reactomeAPM_reactomeNHEJ	HALLMARK_INTERFERON_GAMMA_RESPONSE	REACTOME_ANTIGEN_PRESENTATION_FOLDING_ASSEMBLY_AND_PEPTIDE_LOADING_OF_CLASS_I_MHC	REACTOME_NONHOMOLOGOUS_END_JOINING_NHEJ	median	196	29	34	-0.621412	6.5344e-05	NA	0.438406	0.208667	-0.0772807	0.00112364	0.000966324	0.0614087	1.19121	no	no	no	no	no
GSE312098_combination_vs_control	CRC CX-1, IMMU132+GSK2606414, 48 h	no	3	3	no	log2(x+0.1)	FPKM	primary_hallmarkG_reactomeAPM_reactomeNHEJ	HALLMARK_INTERFERON_GAMMA_RESPONSE	REACTOME_ANTIGEN_PRESENTATION_FOLDING_ASSEMBLY_AND_PEPTIDE_LOADING_OF_CLASS_I_MHC	REACTOME_NONHOMOLOGOUS_END_JOINING_NHEJ	mean	196	29	34	-0.621412	6.5344e-05	NA	0.462345	0.425119	-0.134144	0.00112364	0.000966324	0.0614087	1.37473	no	no	no	no	no
GSE312098_combination_vs_control	CRC CX-1, IMMU132+GSK2606414, 48 h	no	3	3	no	log2(x+0.1)	FPKM	alt_hallmarkA_canonicalAPM_coreNHEJ	HALLMARK_INTERFERON_ALPHA_RESPONSE	CANONICAL_APM_18	CLASSICAL_NHEJ_8	median	96	18	8	-0.621412	6.5344e-05	NA	0.667723	0.536851	-0.704561	0.00478013	1.8972e-05	0.00110517	1.12143	no	no	no	no	no
GSE312098_combination_vs_control	CRC CX-1, IMMU132+GSK2606414, 48 h	no	3	3	no	log2(x+0.1)	FPKM	alt_hallmarkA_canonicalAPM_coreNHEJ	HALLMARK_INTERFERON_ALPHA_RESPONSE	CANONICAL_APM_18	CLASSICAL_NHEJ_8	mean	96	18	8	-0.621412	6.5344e-05	NA	0.613926	0.62581	-0.542385	0.00478013	1.8972e-05	0.00110517	1.31876	no	no	no	no	no
GSE312098_combination_vs_control	CRC CX-1, IMMU132+GSK2606414, 48 h	no	3	3	no	log2(x+0.1)	FPKM	alt_reactomeIFNG_reactomeAPM_reactomeNHEJ	REACTOME_INTERFERON_GAMMA_SIGNALING	REACTOME_ANTIGEN_PRESENTATION_FOLDING_ASSEMBLY_AND_PEPTIDE_LOADING_OF_CLASS_I_MHC	REACTOME_NONHOMOLOGOUS_END_JOINING_NHEJ	median	94	29	34	-0.621412	6.5344e-05	NA	0.299885	0.208667	-0.0772807	0.000282752	0.000966324	0.0614087	1.05268	no	no	no	no	no
GSE312098_combination_vs_control	CRC CX-1, IMMU132+GSK2606414, 48 h	no	3	3	no	log2(x+0.1)	FPKM	alt_reactomeIFNG_reactomeAPM_reactomeNHEJ	REACTOME_INTERFERON_GAMMA_SIGNALING	REACTOME_ANTIGEN_PRESENTATION_FOLDING_ASSEMBLY_AND_PEPTIDE_LOADING_OF_CLASS_I_MHC	REACTOME_NONHOMOLOGOUS_END_JOINING_NHEJ	mean	94	29	34	-0.621412	6.5344e-05	NA	0.380816	0.425119	-0.134144	0.000282752	0.000966324	0.0614087	1.2932	no	no	no	no	no
GSE311016_IMMU132_vs_control	CRC PDX, day 29, paired by model	yes	5	5	yes	log2(x+1)	FPKM	primary_hallmarkG_reactomeAPM_reactomeNHEJ	HALLMARK_INTERFERON_GAMMA_RESPONSE	REACTOME_ANTIGEN_PRESENTATION_FOLDING_ASSEMBLY_AND_PEPTIDE_LOADING_OF_CLASS_I_MHC	REACTOME_NONHOMOLOGOUS_END_JOINING_NHEJ	median	196	29	34	-0.437121	0.151255	0.0597131	0.00117506	-0.307433	-0.119339	0.890736	0.410483	0.114079	0.0115238	no	yes	no	no	no
GSE311016_IMMU132_vs_control	CRC PDX, day 29, paired by model	yes	5	5	yes	log2(x+1)	FPKM	primary_hallmarkG_reactomeAPM_reactomeNHEJ	HALLMARK_INTERFERON_GAMMA_RESPONSE	REACTOME_ANTIGEN_PRESENTATION_FOLDING_ASSEMBLY_AND_PEPTIDE_LOADING_OF_CLASS_I_MHC	REACTOME_NONHOMOLOGOUS_END_JOINING_NHEJ	mean	196	29	34	-0.437121	0.151255	0.0597131	0.0244099	-0.220549	-0.138059	0.890736	0.410483	0.114079	0.102923	no	no	no	no	no
GSE311016_IMMU132_vs_control	CRC PDX, day 29, paired by model	yes	5	5	yes	log2(x+1)	FPKM	alt_hallmarkA_canonicalAPM_coreNHEJ	HALLMARK_INTERFERON_ALPHA_RESPONSE	CANONICAL_APM_18	CLASSICAL_NHEJ_8	median	96	18	8	-0.437121	0.151255	0.0597131	0.0514752	-0.00514263	-0.220846	0.820761	0.771019	0.207908	0.262608	no	no	no	no	no
GSE311016_IMMU132_vs_control	CRC PDX, day 29, paired by model	yes	5	5	yes	log2(x+1)	FPKM	alt_hallmarkA_canonicalAPM_coreNHEJ	HALLMARK_INTERFERON_ALPHA_RESPONSE	CANONICAL_APM_18	CLASSICAL_NHEJ_8	mean	96	18	8	-0.437121	0.151255	0.0597131	0.06131	-0.11103	-0.155919	0.820761	0.771019	0.207908	0.231482	no	no	no	no	no
GSE311016_IMMU132_vs_control	CRC PDX, day 29, paired by model	yes	5	5	yes	log2(x+1)	FPKM	alt_reactomeIFNG_reactomeAPM_reactomeNHEJ	REACTOME_INTERFERON_GAMMA_SIGNALING	REACTOME_ANTIGEN_PRESENTATION_FOLDING_ASSEMBLY_AND_PEPTIDE_LOADING_OF_CLASS_I_MHC	REACTOME_NONHOMOLOGOUS_END_JOINING_NHEJ	median	94	29	34	-0.437121	0.151255	0.0597131	0	-0.307433	-0.119339	0.970499	0.410483	0.114079	0.0103488	no	no	no	no	no
GSE311016_IMMU132_vs_control	CRC PDX, day 29, paired by model	yes	5	5	yes	log2(x+1)	FPKM	alt_reactomeIFNG_reactomeAPM_reactomeNHEJ	REACTOME_INTERFERON_GAMMA_SIGNALING	REACTOME_ANTIGEN_PRESENTATION_FOLDING_ASSEMBLY_AND_PEPTIDE_LOADING_OF_CLASS_I_MHC	REACTOME_NONHOMOLOGOUS_END_JOINING_NHEJ	mean	94	29	34	-0.437121	0.151255	0.0597131	-0.00539554	-0.220549	-0.138059	0.970499	0.410483	0.114079	0.0731171	no	no	no	no	no
GSE311016_IMMU132_vs_control	CRC PDX, day 29, paired by model	yes	5	5	yes	log2(x+0.1)	FPKM	primary_hallmarkG_reactomeAPM_reactomeNHEJ	HALLMARK_INTERFERON_GAMMA_RESPONSE	REACTOME_ANTIGEN_PRESENTATION_FOLDING_ASSEMBLY_AND_PEPTIDE_LOADING_OF_CLASS_I_MHC	REACTOME_NONHOMOLOGOUS_END_JOINING_NHEJ	median	196	29	34	-0.44135	0.151361	0.0599491	0.0066872	-0.351684	-0.183388	0.735303	0.444317	0.136651	-0.0870342	no	no	no	no	no
GSE311016_IMMU132_vs_control	CRC PDX, day 29, paired by model	yes	5	5	yes	log2(x+0.1)	FPKM	primary_hallmarkG_reactomeAPM_reactomeNHEJ	HALLMARK_INTERFERON_GAMMA_RESPONSE	REACTOME_ANTIGEN_PRESENTATION_FOLDING_ASSEMBLY_AND_PEPTIDE_LOADING_OF_CLASS_I_MHC	REACTOME_NONHOMOLOGOUS_END_JOINING_NHEJ	mean	196	29	34	-0.44135	0.151361	0.0599491	0.0840059	-0.228539	-0.176882	0.735303	0.444317	0.136651	0.119935	no	no	no	no	no
GSE311016_IMMU132_vs_control	CRC PDX, day 29, paired by model	yes	5	5	yes	log2(x+0.1)	FPKM	alt_hallmarkA_canonicalAPM_coreNHEJ	HALLMARK_INTERFERON_ALPHA_RESPONSE	CANONICAL_APM_18	CLASSICAL_NHEJ_8	median	96	18	8	-0.44135	0.151361	0.0599491	0.106355	0.020129	-0.18639	0.734388	0.815888	0.325363	0.381444	no	no	no	no	no
GSE311016_IMMU132_vs_control	CRC PDX, day 29, paired by model	yes	5	5	yes	log2(x+0.1)	FPKM	alt_hallmarkA_canonicalAPM_coreNHEJ	HALLMARK_INTERFERON_ALPHA_RESPONSE	CANONICAL_APM_18	CLASSICAL_NHEJ_8	mean	96	18	8	-0.44135	0.151361	0.0599491	0.127666	-0.0972091	-0.160763	0.734388	0.815888	0.325363	0.311044	no	no	no	no	no
GSE311016_IMMU132_vs_control	CRC PDX, day 29, paired by model	yes	5	5	yes	log2(x+0.1)	FPKM	alt_reactomeIFNG_reactomeAPM_reactomeNHEJ	REACTOME_INTERFERON_GAMMA_SIGNALING	REACTOME_ANTIGEN_PRESENTATION_FOLDING_ASSEMBLY_AND_PEPTIDE_LOADING_OF_CLASS_I_MHC	REACTOME_NONHOMOLOGOUS_END_JOINING_NHEJ	median	94	29	34	-0.44135	0.151361	0.0599491	0	-0.351684	-0.183388	0.913915	0.444317	0.136651	-0.0937214	no	no	no	no	no
GSE311016_IMMU132_vs_control	CRC PDX, day 29, paired by model	yes	5	5	yes	log2(x+0.1)	FPKM	alt_reactomeIFNG_reactomeAPM_reactomeNHEJ	REACTOME_INTERFERON_GAMMA_SIGNALING	REACTOME_ANTIGEN_PRESENTATION_FOLDING_ASSEMBLY_AND_PEPTIDE_LOADING_OF_CLASS_I_MHC	REACTOME_NONHOMOLOGOUS_END_JOINING_NHEJ	mean	94	29	34	-0.44135	0.151361	0.0599491	0.0213437	-0.228539	-0.176882	0.913915	0.444317	0.136651	0.0572728	no	no	no	no	no
GSE304294_IMMU132_vs_control	ESCC KYSE30, 1 day, n=2 vs 3	yes	2	3	no	log2(x+1)	FPKM	primary_hallmarkG_reactomeAPM_reactomeNHEJ	HALLMARK_INTERFERON_GAMMA_RESPONSE	REACTOME_ANTIGEN_PRESENTATION_FOLDING_ASSEMBLY_AND_PEPTIDE_LOADING_OF_CLASS_I_MHC	REACTOME_NONHOMOLOGOUS_END_JOINING_NHEJ	median	196	29	34	0.910505	3.90333e-05	NA	0.0347636	0.108648	-0.144856	0.000211506	0.0160667	0.0190187	-0.911949	no	yes	no	no	no
GSE304294_IMMU132_vs_control	ESCC KYSE30, 1 day, n=2 vs 3	yes	2	3	no	log2(x+1)	FPKM	primary_hallmarkG_reactomeAPM_reactomeNHEJ	HALLMARK_INTERFERON_GAMMA_RESPONSE	REACTOME_ANTIGEN_PRESENTATION_FOLDING_ASSEMBLY_AND_PEPTIDE_LOADING_OF_CLASS_I_MHC	REACTOME_NONHOMOLOGOUS_END_JOINING_NHEJ	mean	196	29	34	0.910505	3.90333e-05	NA	0.153234	0.148329	-0.216918	0.000211506	0.0160667	0.0190187	-0.82586	no	no	no	no	no
GSE304294_IMMU132_vs_control	ESCC KYSE30, 1 day, n=2 vs 3	yes	2	3	no	log2(x+1)	FPKM	alt_hallmarkA_canonicalAPM_coreNHEJ	HALLMARK_INTERFERON_ALPHA_RESPONSE	CANONICAL_APM_18	CLASSICAL_NHEJ_8	median	96	18	8	0.910505	3.90333e-05	NA	0.167309	0.454774	-0.582152	0.000358905	0.000884784	0.00405881	-0.870574	no	no	no	no	no
GSE304294_IMMU132_vs_control	ESCC KYSE30, 1 day, n=2 vs 3	yes	2	3	no	log2(x+1)	FPKM	alt_hallmarkA_canonicalAPM_coreNHEJ	HALLMARK_INTERFERON_ALPHA_RESPONSE	CANONICAL_APM_18	CLASSICAL_NHEJ_8	mean	96	18	8	0.910505	3.90333e-05	NA	0.252652	0.39206	-0.37292	0.000358905	0.000884784	0.00405881	-0.638712	no	no	no	no	no
GSE304294_IMMU132_vs_control	ESCC KYSE30, 1 day, n=2 vs 3	yes	2	3	no	log2(x+1)	FPKM	alt_reactomeIFNG_reactomeAPM_reactomeNHEJ	REACTOME_INTERFERON_GAMMA_SIGNALING	REACTOME_ANTIGEN_PRESENTATION_FOLDING_ASSEMBLY_AND_PEPTIDE_LOADING_OF_CLASS_I_MHC	REACTOME_NONHOMOLOGOUS_END_JOINING_NHEJ	median	94	29	34	0.910505	3.90333e-05	NA	0.0228471	0.108648	-0.144856	6.7073e-05	0.0160667	0.0190187	-0.923865	no	no	no	no	no
GSE304294_IMMU132_vs_control	ESCC KYSE30, 1 day, n=2 vs 3	yes	2	3	no	log2(x+1)	FPKM	alt_reactomeIFNG_reactomeAPM_reactomeNHEJ	REACTOME_INTERFERON_GAMMA_SIGNALING	REACTOME_ANTIGEN_PRESENTATION_FOLDING_ASSEMBLY_AND_PEPTIDE_LOADING_OF_CLASS_I_MHC	REACTOME_NONHOMOLOGOUS_END_JOINING_NHEJ	mean	94	29	34	0.910505	3.90333e-05	NA	0.11216	0.148329	-0.216918	6.7073e-05	0.0160667	0.0190187	-0.866934	no	no	no	no	no
GSE304294_IMMU132_vs_control	ESCC KYSE30, 1 day, n=2 vs 3	yes	2	3	no	log2(x+0.1)	FPKM	primary_hallmarkG_reactomeAPM_reactomeNHEJ	HALLMARK_INTERFERON_GAMMA_RESPONSE	REACTOME_ANTIGEN_PRESENTATION_FOLDING_ASSEMBLY_AND_PEPTIDE_LOADING_OF_CLASS_I_MHC	REACTOME_NONHOMOLOGOUS_END_JOINING_NHEJ	median	196	29	34	0.918718	3.83246e-05	NA	0.134034	0.135573	-0.175902	0.000927711	0.000624381	0.00304737	-0.825013	no	no	no	no	no
GSE304294_IMMU132_vs_control	ESCC KYSE30, 1 day, n=2 vs 3	yes	2	3	no	log2(x+0.1)	FPKM	primary_hallmarkG_reactomeAPM_reactomeNHEJ	HALLMARK_INTERFERON_GAMMA_RESPONSE	REACTOME_ANTIGEN_PRESENTATION_FOLDING_ASSEMBLY_AND_PEPTIDE_LOADING_OF_CLASS_I_MHC	REACTOME_NONHOMOLOGOUS_END_JOINING_NHEJ	mean	196	29	34	0.918718	3.83246e-05	NA	0.215232	0.17246	-0.236356	0.000927711	0.000624381	0.00304737	-0.767382	no	no	no	no	no
GSE304294_IMMU132_vs_control	ESCC KYSE30, 1 day, n=2 vs 3	yes	2	3	no	log2(x+0.1)	FPKM	alt_hallmarkA_canonicalAPM_coreNHEJ	HALLMARK_INTERFERON_ALPHA_RESPONSE	CANONICAL_APM_18	CLASSICAL_NHEJ_8	median	96	18	8	0.918718	3.83246e-05	NA	0.32034	0.535014	-0.590188	0.00298353	0.00194689	0.0426935	-0.653553	no	no	no	no	no
GSE304294_IMMU132_vs_control	ESCC KYSE30, 1 day, n=2 vs 3	yes	2	3	no	log2(x+0.1)	FPKM	alt_hallmarkA_canonicalAPM_coreNHEJ	HALLMARK_INTERFERON_ALPHA_RESPONSE	CANONICAL_APM_18	CLASSICAL_NHEJ_8	mean	96	18	8	0.918718	3.83246e-05	NA	0.355013	0.476925	-0.309934	0.00298353	0.00194689	0.0426935	-0.396715	no	no	no	no	no
GSE304294_IMMU132_vs_control	ESCC KYSE30, 1 day, n=2 vs 3	yes	2	3	no	log2(x+0.1)	FPKM	alt_reactomeIFNG_reactomeAPM_reactomeNHEJ	REACTOME_INTERFERON_GAMMA_SIGNALING	REACTOME_ANTIGEN_PRESENTATION_FOLDING_ASSEMBLY_AND_PEPTIDE_LOADING_OF_CLASS_I_MHC	REACTOME_NONHOMOLOGOUS_END_JOINING_NHEJ	median	94	29	34	0.918718	3.83246e-05	NA	0.0961017	0.135573	-0.175902	0.000279577	0.000624381	0.00304737	-0.862945	no	no	no	no	no
GSE304294_IMMU132_vs_control	ESCC KYSE30, 1 day, n=2 vs 3	yes	2	3	no	log2(x+0.1)	FPKM	alt_reactomeIFNG_reactomeAPM_reactomeNHEJ	REACTOME_INTERFERON_GAMMA_SIGNALING	REACTOME_ANTIGEN_PRESENTATION_FOLDING_ASSEMBLY_AND_PEPTIDE_LOADING_OF_CLASS_I_MHC	REACTOME_NONHOMOLOGOUS_END_JOINING_NHEJ	mean	94	29	34	0.918718	3.83246e-05	NA	0.208788	0.17246	-0.236356	0.000279577	0.000624381	0.00304737	-0.773826	no	no	no	no	no
GSE304294_combination_vs_control	ESCC KYSE30, IMMU132+IACS010759, 1 day	no	3	3	no	log2(x+1)	FPKM	primary_hallmarkG_reactomeAPM_reactomeNHEJ	HALLMARK_INTERFERON_GAMMA_RESPONSE	REACTOME_ANTIGEN_PRESENTATION_FOLDING_ASSEMBLY_AND_PEPTIDE_LOADING_OF_CLASS_I_MHC	REACTOME_NONHOMOLOGOUS_END_JOINING_NHEJ	median	196	29	34	1.35548	7.2652e-05	NA	0	0.101045	-0.180411	0.0233681	0.00013423	0.00102047	-1.43485	no	no	no	no	no
GSE304294_combination_vs_control	ESCC KYSE30, IMMU132+IACS010759, 1 day	no	3	3	no	log2(x+1)	FPKM	primary_hallmarkG_reactomeAPM_reactomeNHEJ	HALLMARK_INTERFERON_GAMMA_RESPONSE	REACTOME_ANTIGEN_PRESENTATION_FOLDING_ASSEMBLY_AND_PEPTIDE_LOADING_OF_CLASS_I_MHC	REACTOME_NONHOMOLOGOUS_END_JOINING_NHEJ	mean	196	29	34	1.35548	7.2652e-05	NA	0.0361336	0.172078	-0.279844	0.0233681	0.00013423	0.00102047	-1.42711	no	no	no	no	no
