accession	uid	taxon	n_samples	pdat	gpl	suppfile	ftplink	title	summary
GSE112468	200112468	Mus musculus	12	2018/03/29	21581	TXT	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE112nnn/GSE112468/	Tumor-independent host gene expression changes induced by PD-1 pathway inhibitors	Transcriptome analysis was used to identify tumor-independent changes after treatment with mouse neutralizing PD-1 or PD-L1 antibodies.
GSE113972	200113972	Homo sapiens	7	2018/10/18	11154	TSV	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE113nnn/GSE113972/	Non-coding regions are the main source of tumor-specific antigens [human]	Purpose: Tumor-specific antigens (TSAs) represent ideal targets for cancer immunotherapy, but very few of them have been identified. Therefore, the goal of this study was to develop a novel approach, combining RNA-Sequencing and mass spectrometry, to enlarge the landscape of actionable TSAs in seven human primary samples, namely 4 B-ALL and 3 lung tumor biopsies. Methods: We performed RNA-Sequencing on each primary tumor sample (unreplicated) with the Illumina HiSeq2000. Using those RNA-Sequencing data to build a global cancer database for each sample, we performed a transcriptomic-informed mass spectrometry analysis of their MHC I-associated peptides to identify TSAs. Results: We identified a total of 30 TSAs, 90% of which derived from allegedly non-coding regions and would have been missed by standard approaches. Moreover, most of these TSAs derived from non-mutated yet cancer-restricted transcripts that can be shared by multiple tumors. Conclusions: In conclusion, the strategy reported herein is readily applicable to human tumors and should considerably enlarge the landscape of actionable TSAs.
GSE113987	200113987	Mus musculus	20	2018/05/04	11180	CEL	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE113nnn/GSE113987/	Inhaled TLR9 Agonist Renders Lung Tumors Permissive to PD-1 Blockade Promoting Optimal CD4+ and CD8+ T cell Interplay	Currently approved inhibitors of the PD-1/PD-L1 pathway represent a major advance for the treatment of lung cancers, yet they are ineffective in a majority of patients due to lack of pre-existing T cell reactivity. Here we show that a TLR9 agonist delivered by inhalation is able to prime T cell responses against poorly immunogenic lung tumors and to complement the effects of PD-1 blockade. Treatment with inhaled TLR9 agonist causes profound remodeling in tumor-bearing lungs, leading to formation of tertiary lymphoid structures adjacent to the tumors, CD8+ T cell infiltration into the tumors, dendritic cell expansion and antibody production. Inhaled TLR9 agonist treatment increased the pool of functional PD-1lowT-bethigh effector CD8+ T in tumor-bearing lungs. We show by transcriptional profiling, that the effector CD8+ T cells generated by inhaled TLR9 agonist treatment are licensed by PD-1 blockade to become highly functional CTL, leading to a durable rejection of both lung tumors and tumor lesions outside the lungs. CD4+ T cells activated in response to inhaled TLR9 play a critical role in this process by controlling the proliferation, preventing exhaustion, and guiding the differentiation of optimally functional CTL. This study characterizes a strategy to apply localized TLR9 stimulation to a tumor type not accessible for direct injection, a strategy that may expand the therapeutic potential of PD-1 blockade in non-small cell lung cancer. the scope of this experiment was to profile the gene expression of effector CD8 T cells from tumor bearing lungs treated by different drug regimen.
GSE114300	200114300	Mus musculus	62	2018/07/26	21103	TXT	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE114nnn/GSE114300/	Systematic immune reprogramming via PD-1 inhibition enhances early-stage lung cancer survival.	Success of immune checkpoint inhibitors in advanced non-small cell lung cancer (NSCLC) has invigorated their use in neo-adjuvant setting for early-stage disease. However, the cellular and molecular mechanisms of the early immune responses to therapy remain poorly understood. Through an integrated analysis of early-stage NSCLC patients and a Kras-mutant mouse model, we show a prevalent programmed cell death 1/ programmed cell death 1 ligand 1 (PD-1/PD-L1) axis exemplified by increased intratumoral PD-1+ T cells and PD-L1 expression. Notably, tumor progression was associated with spatiotemporal modulation of the immune microenvironment. Importantly, PD-1 inhibition controlled tumor growth, improved overall survival, and reprogrammed tumor-associated lymphoid and myeloid cells. Depletion of T lymphocyte subsets demonstrated synergistic effects of those populations on PD-1 inhibition of tumor growth. Transcriptome analyses revealed T cell subset-specific alterations corresponding to degree of response to the treatment. These results provide insights into temporal evolution of the phenotypic effects of PD-1/PD-L1 activation and inhibition, and motivate targeting this axis early in lung cancer progression.
GSE114601	200114601	Mus musculus	8	2018/08/14	19057	CSV	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE114nnn/GSE114601/	Therapeutic efficacy of BET bromodomain protein inhhibitor and PD-1 blockade in genetically engineered mouse model of non-small cell lung cancer	KRAS mutation is present in about 30% of human lung adenocarcinomas. While recent advances in targeted therapy have shown great promise, KRAS remains undruggable and concurrent alterations in tumor suppressors render KRAS mutant tumors even more resistant to existing therapies. Contributing to the refractoriness of KRAS mutant tumors harboring these co-mutations are immunosuppressive mechanisms such as increased presence of suppressive Tregs in tumors and elevated expression of the inhibitory receptor PD-1 on tumor-infiltrating T cells. BET bromodomain inhibitors demonstrate clinical benefit in hematologic malignancies, and prior reports demonstrate their Treg-disruptive effects in a NSCLC model. Targeting PD-1 inhibitory signals through anti-PD-1 antibody blockade has also shown substantial therapeutic impact in lung cancer although these outcomes are still limited to a minor pool of patients. We therefore hypothesized that the BET bromodomain inhibitor JQ1 would synergize with PD-1 blockade to promote robust anti-tumor response in lung cancer. In the present study, using Kras+/LSL-G12D; Trp53L/L (KP) mouse models of non-small cell lung cancer, we identified cooperative effects between JQ1 and anti-PD-1 antibody that included reduced numbers of tumor-infiltrating Tregs and enhanced activation of tumor-infiltrating T cells, which exhibited a Th1 cytokine profile that favored their demonstrated improved effector function. Furthermore, lung-tumor-bearing mice under this combinatorial treatment regimen showed robust and long-lasting anti-tumor responses compared to either agent alone, culminating in substantial improvement in the survival of treated mice. Thus, combining BET bromodomain inhibition with immune checkpoint blockade offers a promising therapeutic approach for solid malignancies such as lung adenocarcinoma.
GSE115305	200115305	Homo sapiens	12	2018/12/26	18573	TXT	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE115nnn/GSE115305/	Self-associated molecular patterns mediate cancer immune evasion by engagement of Siglec receptors	Cancer immunotherapy targeting inhibitory receptors on T cells has changed the landscape of oncological practice, but most patients do not respond to current approaches. Thus, new targets on T cells for cancer immunotherapy are needed. CD33-related Siglecs are pattern recognition immune receptors binding to a broad range of sialoglycan ligands, which appear to function as self-associated molecular patterns (SAMPs) to dampen unwanted immune responses against self. Naïve T cells in humans have very low levels of inhibitory Siglec expression. Here, we show Siglec-9 in non-small cell lung cancer (NSCLC) are significantly upregulated on tumor-infiltrating T cells. These findings were confirmed in other tumor types including colorectal cancer, and ovarian cancer. Characterization of Siglec-9 expressing T cells showed a co-expression of inhibitory receptors including PD-1 and a distinct phenotype with increased cytokine production upon restimulation, compared to Siglec negative T cells. Functional analysis by reduction of sialoglycan-SAMPs on tumor cells in vitro and in vivo demonstrated an increased tumor cell killing and an inhibition of tumor growth. Overexpression of inhibitory Siglecs on T cells enhanced tumor growth in mice and exchange of inhibitory Siglecs on mouse T cells with an activating Siglec enhanced anti-cancer immunity. Increased T cell expression of Siglec-9 in NSCLC patients also correlated with survival, and analysis of Siglec-9 polymorphisms showed an association with the risk of developing lung and colorectal cancer. Our data identify the sialoglycan-SAMP/Siglec pathway as potential new target to improve T cell activation and cancer immunotherapy.
GSE117712	200117712	Mus musculus	10	2018/07/27	19057	TXT	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE117nnn/GSE117712/	Inhibition of casein kinase 2 disrupts differentiation of myeloid cells in cancer and enhances the efficacy of immunotherapy in mice	The role of myeloid cells as regulators of tumor progression that significantly impact the efficacy of cancer immunotherapies makes them an attractive target for inhibition. Here we explore the effect of a novel, potent, and selective inhibitor of serine/threonine protein kinase CK2 on modulating myeloid cells in the tumor microenvironment. Although inhibition of CK2 caused only a modest effect on dendritic cells in tumor-bearing mice, it substantially reduced the amount of polymorphonuclear myeloid-derived suppressor cells (PMN-MDSC) and tumor-associated macrophages (TAM). This effect was not caused by the induction of apoptosis, but rather by a block of differentiation. Our results implicated downregulation of CCAAT-enhancer binding protein-α (C/EBPα) in this effect. Although CK2 inhibition did not directly affect tumor cells, it dramatically enhanced the antitumor activity of immune checkpoint receptor blockade using anti-CTLA-4 antibody. These results suggest a potential role of CK2 inhibitors in combination therapies against cancer.
GSE120545	200120545	Homo sapiens	4	2018/09/28	23159	CEL	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE120nnn/GSE120545/	Expression date from endothelial cells stimulated with anti-HLA class I and anti-A antibody	While donor specific antibody (DSA) against HLA class II could frequently cause chronic antibody-mediated rejection (ABMR) in organ transplantation, anti-A/B antibody would not do so, because blood group ABO-incompatible transplantation has shown favorable graft outcome. Recently, an increasing attention has been paid to the importance of direct allorecognition of CD4 T-cells against HLA-class II expressed on graft endothelial cells. However, the effect of allo-antibody binding on its allorecognition remains unclear. Microarray analysis and molecular profiling demonstrated that CD275 (PD-L1) expression was increased by anti-A/B ligation-mediated ERK inactivation in endothelial cells despite IFNγ stimulation.
GSE121682	200121682	Homo sapiens	12	2018/12/11	25714	CSV, RCC	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE121nnn/GSE121682/	Immunotherapy Utilizing NK cells and ADCC Mediating Agents with Poly (ADP-ribose) polymerase (PARP) Inhibition	Background: Poly (ADP-ribose) polymerase inhibitors (PARPi) prevent single-stranded DNA repair. Olaparib is a PARPi approved for the treatment of BRCA mutant ovarian and breast carcinoma. Emerging clinical data suggest a benefit of combining olaparib with immunotherapy in prostate cancer patients both with and without somatic BRCA mutations.   Methods: We examined if olaparib, when combined with IgG1 antibody-dependent cellular cytotoxicity (ADCC)-mediating monoclonal antibodies (mAbs) cetuximab (anti-EGFR), or avelumab (anti-PD-L1), would increase tumor cell sensitivity to killing by natural killer (NK) cells independently of BRCA status or mAb target upregulation. BRCA mutant and BRCA wildtype (WT) prostate carcinoma cell lines were pretreated with olaparib and then exposed to NK cells in the presence or absence of cetuximab or avelumab.  Results: NK-mediated killing was significantly increased in both cell lines and was further increased using the ADCC-mediating mAbs. Pre-exposure of NK cells to recombinant IL-15/IL-15RA further increased the lysis of olaparib treated tumor cells. In addition, olaparib treated tumor cells were killed to a significantly greater degree by engineered high-affinity NK cells (haNK). We show here for the first time that (a) olaparib significantly increased tumor cell sensitivity to NK killing and ADCC in both BRCA WT and BRCA mutant prostate carcinoma cells, independent of PD-L1 or EGFR modulation; (b) mechanistically, treatment with olaparib upregulated death receptor TRAIL-R2, and (c) olaparib significantly enhanced NK killing of additional tumor types, including breast, non-small cell lung carcinoma, and chordoma. Conclusions: These studies support the combined use of NK- and ADCC-mediating agents with correctly timed PARP inhibition.
GSE124199	200124199	Homo sapiens	14	2018/12/21	16791	TXT	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE124nnn/GSE124199/	Wnt1 silences CC/CXC motif chemokine genes in dendritic cells and induces adaptive immune resistance in lung adenocarcinoma	Lung adenocarcinoma (LUAD)-derived oncogenic Wnts increase cancer cell proliferative/stemness potential, but whether they also impact the immune microenvironment is unknown. Here we show that LUAD cells use paracrine Wnt1 signaling to induce immune resistance. Wnt1 correlated strongly with tolerogenic genes on the TCGA expression data. In another cohort, Wnt1 was inversely associated with T cell abundance. Altering Wnt1 expression profoundly affected growth of murine lung adenocarcinomas  and this was strongly dependent on conventional dendritic cells and T cells. Mechanistically, Wnt1 lead to transcriptional silencing of CC/CXC chemokines in dendritic cells and T cell cross-tolerance. Wnt-target genes were up-regulated in human intratumoral dendritic cells and decreased upon silencing Wnt1, accompanied by enhanced T cell cytotoxicity. siWnt1-loaded nanoparticles as single therapy or part of combinatorial immunotherapies acted at both arms of the cancer-immune ecosystem to halt tumor growth. Collectively, our studies show that Wnt1 enhances adaptive immune rejection of lung adenocarcinomas and highlight its potential targeting as a novel therapeutic strategy 
GSE43453	200043453	Mus musculus	16	2016/01/03	16499	TXT	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE43nnn/GSE43453/	Silica-mediated airway chronic inflammation promotes lung carcinogenesis through the activation of preneoplastic lesions in the context of an immunosuppressive microenvirontment	Basic studies on preneoplastic lesions are important to determine the molecular alterations that take place in early steps of lung carcinogenesis. Little is known about the molecular events preceding the development of lung cancer in the context of an inflammatory environment. In this study we report the generation of a chemical-induced lung carcinogenesis mouse model in the presence of silicotic chronic inflammation. Silica-induced lung inflammation, strongly promoted incidence of lung cancer in mice treated with NDMA, a carcinogen found in tobacco smoke. Histological and molecular analysis revealed that permanent inflammation contributed to lung tumorigenesis through the adquisition of preneoplastic changes in lung epithelial cells. Inflammatory milieu increased the expression of PDCD1, TGFβ-1, MCP-1, LAG3, and Foxp3 and the presence of regulatory T cells within preneoplastic lesions. In addition concomitant chronic inflammation changed the K-ras mutational profile of the generated tumors from Q61R to G12D transition. In summary, these data identify early molecular mechanisms underlying lung carcinogenesis in an inflammatory context at different steps, providing a novel approach for the identification of drivers from preneoplastic to neoplastic lesions
GSE54781	200054781	Homo sapiens	41	2017/01/21	18153		ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE54nnn/GSE54781/	Expression of putative targets of immunotherapy in acute myeloid leukemia and healthy tissues	This SuperSeries is composed of the SubSeries listed below.
GSE57133	200057133	Mus musculus	15	2015/03/05	1261	CEL	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE57nnn/GSE57133/	ErbB2 Pathway Activation upon Smad4 Loss Promotes Lung Tumor Growth and Metastasis [expression]	Lung cancer remains the leading cause of cancer death. Genome sequencing of lung tumors from patients with Squamous Cell Carcinoma has identified SMAD4 to be frequently mutated. Here we used a novel mouse model to determine the molecular mechanisms regulated by loss of Smad4 which lead to lung cancer progression. Mice with ablation of Pten and Smad4 in airway epithelium developed metastatic adenosquamous tumors. Comparative transcriptomic and in vivo cistromic analyses determined that loss of PTEN and SMAD4 resulted in activation of the ELF3 and the ErbB2 pathway due to decreased ERRFI1’s expression, a negative regulator of ERBB2 in mice and human cells. The combinatorial inhibition of ErbB2 and Akt signaling attenuated tumor progression and cell invasion, respectively. Expression profiles analysis of human lung tumors substantiated the importance of the ErbB2/Akt/ELF3 signaling pathway as both prognostic biomarkers and therapeutic drug targets for treating lung cancer. 
