accession	location	filename	listed_size	listed_bytes	status	stored_bytes	url
GSE109020	suppl	GSE109020_BRG1_PlusDox_L012-L004_S_vs_L012-L004_G_macs1_peaks.bed.gz	89K	91136	downloaded	91104	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE109nnn/GSE109020/suppl/GSE109020_BRG1_PlusDox_L012-L004_S_vs_L012-L004_G_macs1_peaks.bed.gz
GSE109020	suppl	GSE109020_BRG1_PlusDox_L012-L004_S_vs_L012-L004_G_macs1_peaks.xls.gz	122K	124928	downloaded	124677	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE109nnn/GSE109020/suppl/GSE109020_BRG1_PlusDox_L012-L004_S_vs_L012-L004_G_macs1_peaks.xls.gz
GSE109020	suppl	GSE109020_RAW.tar	1.2G	1288490188	downloaded	1236049920	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE109nnn/GSE109020/suppl/GSE109020_RAW.tar
GSE109020	suppl	filelist.txt	407	407	downloaded	407	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE109nnn/GSE109020/suppl/filelist.txt
GSE109020	matrix	GSE109020_series_matrix.txt.gz	3.3K	3379	downloaded	3388	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE109nnn/GSE109020/matrix/GSE109020_series_matrix.txt.gz
GSE110390	suppl	GSE110390_CP1108_NSCLC_21gene_expression.txt.gz	11K	11264	downloaded	11529	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE110nnn/GSE110390/suppl/GSE110390_CP1108_NSCLC_21gene_expression.txt.gz
GSE110390	suppl	GSE110390_CP1108_UBC_21gene_expression.txt.gz	5.5K	5632	downloaded	5662	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE110nnn/GSE110390/suppl/GSE110390_CP1108_UBC_21gene_expression.txt.gz
GSE110390	matrix	GSE110390_series_matrix.txt.gz	6.7K	6860	downloaded	6867	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE110nnn/GSE110390/matrix/GSE110390_series_matrix.txt.gz
GSE111360	suppl	GSE111360_RAW.tar	744M	780140544	downloaded	780298240	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE111nnn/GSE111360/suppl/GSE111360_RAW.tar
GSE111360	suppl	GSE111360_readme_data_processing.txt	652	652	downloaded	652	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE111nnn/GSE111360/suppl/GSE111360_readme_data_processing.txt
GSE111360	suppl	filelist.txt	7.2K	7372	downloaded	7399	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE111nnn/GSE111360/suppl/filelist.txt
GSE111360	matrix	GSE111360-GPL20301_series_matrix.txt.gz	5.0K	5120	downloaded	5154	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE111nnn/GSE111360/matrix/GSE111360-GPL20301_series_matrix.txt.gz
GSE111360	matrix	GSE111360-GPL24676_series_matrix.txt.gz	6.7K	6860	downloaded	6847	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE111nnn/GSE111360/matrix/GSE111360-GPL24676_series_matrix.txt.gz
GSE113972	suppl	GSE113972_RAW.tar	18M	18874368	downloaded	19025920	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE113nnn/GSE113972/suppl/GSE113972_RAW.tar
GSE113972	suppl	filelist.txt	660	660	downloaded	660	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE113nnn/GSE113972/suppl/filelist.txt
GSE113972	matrix	GSE113972_series_matrix.txt.gz	2.5K	2560	downloaded	2530	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE113nnn/GSE113972/matrix/GSE113972_series_matrix.txt.gz
GSE115305	suppl	GSE115305_siglec9_counts_all.txt.gz	580K	593920	downloaded	593483	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE115nnn/GSE115305/suppl/GSE115305_siglec9_counts_all.txt.gz
GSE115305	matrix	GSE115305_series_matrix.txt.gz	2.8K	2867	downloaded	2887	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE115nnn/GSE115305/matrix/GSE115305_series_matrix.txt.gz
GSE121682	suppl	GSE121682_1_processed_22rv1_NT_vs_olaparib_6h_RatioData.csv.gz	14K	14336	downloaded	14647	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE121nnn/GSE121682/suppl/GSE121682_1_processed_22rv1_NT_vs_olaparib_6h_RatioData.csv.gz
GSE121682	suppl	GSE121682_2_processed_22rv1_NT_vs_olaparib_12h_RatioData.csv.gz	12K	12288	downloaded	12149	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE121nnn/GSE121682/suppl/GSE121682_2_processed_22rv1_NT_vs_olaparib_12h_RatioData.csv.gz
GSE121682	suppl	GSE121682_3_processed_22rv1_NT_vs_olaparib_18h_RatioData.csv.gz	14K	14336	downloaded	14570	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE121nnn/GSE121682/suppl/GSE121682_3_processed_22rv1_NT_vs_olaparib_18h_RatioData.csv.gz
GSE121682	suppl	GSE121682_4_processed_DU145_NT_vs_olaparib_6h_RatioData.csv.gz	14K	14336	downloaded	14664	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE121nnn/GSE121682/suppl/GSE121682_4_processed_DU145_NT_vs_olaparib_6h_RatioData.csv.gz
GSE121682	suppl	GSE121682_5_processed_DU145_NT_vs_olaprib_12h_RatioData.csv.gz	15K	15360	downloaded	14907	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE121nnn/GSE121682/suppl/GSE121682_5_processed_DU145_NT_vs_olaprib_12h_RatioData.csv.gz
GSE121682	suppl	GSE121682_6_processed_DU145_NT_vs_olaparib_18h_RatioData.csv.gz	14K	14336	downloaded	14611	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE121nnn/GSE121682/suppl/GSE121682_6_processed_DU145_NT_vs_olaparib_18h_RatioData.csv.gz
GSE121682	suppl	GSE121682_RAW.tar	110K	112640	downloaded	112640	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE121nnn/GSE121682/suppl/GSE121682_RAW.tar
GSE121682	suppl	filelist.txt	1.0K	1024	downloaded	1042	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE121nnn/GSE121682/suppl/filelist.txt
GSE121682	matrix	GSE121682_series_matrix.txt.gz	19K	19456	downloaded	19233	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE121nnn/GSE121682/matrix/GSE121682_series_matrix.txt.gz
GSE124199	suppl	GSE124199_Processed_data_matrix_Human_DCsubsets_LungCancer.txt.gz	323K	330752	downloaded	330902	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE124nnn/GSE124199/suppl/GSE124199_Processed_data_matrix_Human_DCsubsets_LungCancer.txt.gz
GSE124199	matrix	GSE124199_series_matrix.txt.gz	2.9K	2969	downloaded	2973	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE124nnn/GSE124199/matrix/GSE124199_series_matrix.txt.gz
GSE72094	suppl	GSE72094_RAW.tar	2.1G	2254857830	skipped_ge_2gb	0	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE72nnn/GSE72094/suppl/GSE72094_RAW.tar
GSE72094	suppl	filelist.txt	40K	40960	downloaded	40872	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE72nnn/GSE72094/suppl/filelist.txt
GSE72094	matrix	GSE72094_series_matrix.txt.gz	101M	105906176	downloaded	105955906	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE72nnn/GSE72094/matrix/GSE72094_series_matrix.txt.gz
GSE81089	suppl	GSE81089_FPKM_cufflinks.tsv.gz	23M	24117248	downloaded	24162817	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE81nnn/GSE81089/suppl/GSE81089_FPKM_cufflinks.tsv.gz
GSE81089	suppl	GSE81089_readcounts_featurecounts.tsv.gz	10M	10485760	downloaded	10929047	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE81nnn/GSE81089/suppl/GSE81089_readcounts_featurecounts.tsv.gz
GSE81089	matrix	GSE81089_series_matrix.txt.gz	13K	13312	downloaded	13152	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE81nnn/GSE81089/matrix/GSE81089_series_matrix.txt.gz
GSE84789	suppl	GSE84789_fcount_primary_output.txt.gz	4.6M	4823449	downloaded	4813521	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE84nnn/GSE84789/suppl/GSE84789_fcount_primary_output.txt.gz
GSE84789	matrix	GSE84789_series_matrix.txt.gz	9.1K	9318	downloaded	9283	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE84nnn/GSE84789/matrix/GSE84789_series_matrix.txt.gz
GSE84797	suppl	GSE84797_RAW.tar	270K	276480	downloaded	276480	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE84nnn/GSE84797/suppl/GSE84797_RAW.tar
GSE84797	suppl	filelist.txt	2.3K	2355	downloaded	2339	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE84nnn/GSE84797/suppl/filelist.txt
GSE84797	matrix	GSE84797_series_matrix.txt.gz	70K	71680	downloaded	71552	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE84nnn/GSE84797/matrix/GSE84797_series_matrix.txt.gz
GSE90728	suppl	GSE90728_All_Counts.lung_cancer.xlsx.gz	6.8M	7130316	downloaded	7128547	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE90nnn/GSE90728/suppl/GSE90728_All_Counts.lung_cancer.xlsx.gz
GSE90728	matrix	GSE90728_series_matrix.txt.gz	7.4K	7577	downloaded	7542	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE90nnn/GSE90728/matrix/GSE90728_series_matrix.txt.gz
GSE90729	suppl	GSE90729_All_Counts.HNSCC.xlsx.gz	4.2M	4404019	downloaded	4407170	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE90nnn/GSE90729/suppl/GSE90729_All_Counts.HNSCC.xlsx.gz
GSE90729	matrix	GSE90729_series_matrix.txt.gz	6.0K	6144	downloaded	6116	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE90nnn/GSE90729/matrix/GSE90729_series_matrix.txt.gz
GSE91061	suppl	GSE91061_BMS038109Sample.hg19KnownGene.fpkm.csv.gz	16M	16777216	downloaded	16354905	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE91nnn/GSE91061/suppl/GSE91061_BMS038109Sample.hg19KnownGene.fpkm.csv.gz
GSE91061	suppl	GSE91061_BMS038109Sample.hg19KnownGene.raw.csv.gz	3.4M	3565158	downloaded	3591833	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE91nnn/GSE91061/suppl/GSE91061_BMS038109Sample.hg19KnownGene.raw.csv.gz
GSE91061	suppl	GSE91061_BMS038109Sample.hg19KnownGene.rld.csv.gz	18M	18874368	downloaded	19253751	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE91nnn/GSE91061/suppl/GSE91061_BMS038109Sample.hg19KnownGene.rld.csv.gz
GSE91061	suppl	GSE91061_BMS038109Sample_Cytolytic_Score_20161026.txt.gz	1.8K	1843	downloaded	1825	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE91nnn/GSE91061/suppl/GSE91061_BMS038109Sample_Cytolytic_Score_20161026.txt.gz
GSE91061	matrix	GSE91061_series_matrix.txt.gz	5.6K	5734	downloaded	5771	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE91nnn/GSE91061/matrix/GSE91061_series_matrix.txt.gz
GSE93157	suppl	GSE93157_raw_data_values.txt.gz	83K	84992	downloaded	84883	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE93nnn/GSE93157/suppl/GSE93157_raw_data_values.txt.gz
GSE93157	matrix	GSE93157_series_matrix.txt.gz	239K	244736	downloaded	244536	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE93nnn/GSE93157/matrix/GSE93157_series_matrix.txt.gz
GSE99254	suppl	GSE99254_NSCLC.TCell.S11769.norm.centered.txt.gz	342M	358612992	downloaded	359063140	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE99nnn/GSE99254/suppl/GSE99254_NSCLC.TCell.S11769.norm.centered.txt.gz
GSE99254	suppl	GSE99254_NSCLC.TCell.S12346.TPM.txt.gz	327M	342884352	downloaded	342644092	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE99nnn/GSE99254/suppl/GSE99254_NSCLC.TCell.S12346.TPM.txt.gz
GSE99254	suppl	GSE99254_NSCLC.TCell.S12346.count.txt.gz	68M	71303168	downloaded	71104708	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE99nnn/GSE99254/suppl/GSE99254_NSCLC.TCell.S12346.count.txt.gz
GSE99254	matrix	GSE99254-GPL16791_series_matrix.txt.gz	3.9K	3993	downloaded	4002	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE99nnn/GSE99254/matrix/GSE99254-GPL16791_series_matrix.txt.gz
GSE99254	matrix	GSE99254-GPL20301_series_matrix.txt.gz	4.4K	4505	downloaded	4524	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE99nnn/GSE99254/matrix/GSE99254-GPL20301_series_matrix.txt.gz
GSE99531	suppl	GSE99531_RAW.tar	4.6M	4823449	downloaded	4833280	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE99nnn/GSE99531/suppl/GSE99531_RAW.tar
GSE99531	suppl	filelist.txt	2.6K	2662	downloaded	2710	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE99nnn/GSE99531/suppl/filelist.txt
GSE99531	matrix	GSE99531_series_matrix.txt.gz	4.9K	5017	downloaded	4972	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE99nnn/GSE99531/matrix/GSE99531_series_matrix.txt.gz
